LR_comb	lig_cell_type	lig_expr	ligand	rec_cell_type	rec_expr	receptor	LR_expr	lig_nr	rec_nr	rand_expr	av_diff	log2fc	pvalue	LR_cell_comb	p.adj	PI
CDH2-CDH2	Myofibroblast_Mesothelium	0.053634550349341	CDH2	Fibroblasts	0.0185541913068586	CDH2	0.0721887416561997	42	56	0.245924710081309	-0.173735968425109	-1.00646725490948	0	Myofibroblast_Mesothelium--Fibroblasts	0	-1.71309104594884
CLCF1-LIFR	Epithelial	0.0951708915582196	CLCF1	Fibroblasts	0.141792984491817	LIFR	0.236963876050036	29	38	0.601931472764826	-0.364967596714789	-1.05873625518759	0	Epithelial--Fibroblasts	0	-1.9424727296022
COL1A1-CD44	Fibroblasts	4.09805737796772	COL1A1	Epithelial	0.146744252419146	CD44	4.24480163038687	38	29	4.95408192085186	-0.709280290464998	-0.218158739152429	0	Fibroblasts--Epithelial	0	-0.40025775961824
COL1A1-ITGA1	Fibroblasts	4.09805737796772	COL1A1	Epithelial	0.0815735358640476	ITGA1	4.17963091383177	38	29	4.93656671509385	-0.756935801262081	-0.234954244079482	0	Fibroblasts--Epithelial	0	-0.43107262039291
COL1A1-ITGA10	Fibroblasts	4.09805737796772	COL1A1	Epithelial	0	ITGA10	4.09805737796772	38	29	4.87201355732202	-0.773956179354292	-0.244108345081509	0	Fibroblasts--Epithelial	0	-0.447867730103506
COL1A1-ITGA11	Fibroblasts	4.09805737796772	COL1A1	Epithelial	0.0275119963680272	ITGA11	4.12556937433575	38	29	4.89607279842547	-0.77050342408972	-0.24164874836285	0	Fibroblasts--Epithelial	0	-0.443355086346948
COL1A1-ITGA2	Fibroblasts	4.09805737796772	COL1A1	Epithelial	0.0334181707766118	ITGA2	4.13147554874433	38	29	4.8728989034757	-0.741423354731371	-0.232926272010404	0	Fibroblasts--Epithelial	0	-0.427351882181408
COL1A1-ITGA3	Fibroblasts	4.09805737796772	COL1A1	Epithelial	0.212564072496454	ITGA3	4.31062145046417	38	29	5.00761664107457	-0.696995190610391	-0.211668301877628	0	Fibroblasts--Epithelial	0	-0.388349697201639
COL1A1-ITGA3	Myofibroblast_Mesothelium	3.62150945153511	COL1A1	Epithelial	0	ITGA3	3.62150945153511	35	35	3.95815599584104	-0.336646544305924	-0.124936423497689	0	Myofibroblast_Mesothelium--Epithelial	0	-0.144678276870488
COL1A1-ITGA9	Fibroblasts	4.09805737796772	COL1A1	Epithelial	0.0589869542107986	ITGA9	4.15704433217852	38	29	4.90658338980291	-0.749539057624387	-0.233974295997485	0	Fibroblasts--Epithelial	0	-0.429274701018393
COL1A1-ITGAV	Fibroblasts	4.09805737796772	COL1A1	Epithelial	0.228692182493968	ITGAV	4.32674956046169	38	29	5.0509351615807	-0.724185601119006	-0.218586623448313	0	Fibroblasts--Epithelial	0	-0.401042802703435
COL1A1-ITGB1	Fibroblasts	4.09805737796772	COL1A1	Epithelial	1.32157946837305	ITGB1	5.41963684634077	38	29	6.21901455277582	-0.799377706435059	-0.195126237518214	0	Fibroblasts--Epithelial	0	-0.35799982606797
COL1A1-ITGB8	Fibroblasts	4.09805737796772	COL1A1	Epithelial	0.118702322768644	ITGB8	4.21675970073636	38	29	4.93337211460755	-0.716612413871191	-0.221576474347924	0	Fibroblasts--Epithelial	0	-0.406528308474694
COL1A1-SDC1	Fibroblasts	4.09805737796772	COL1A1	Epithelial	0.287913238481793	SDC1	4.38597061644951	38	29	5.17178272808365	-0.785812111634148	-0.232870741496201	0	Fibroblasts--Epithelial	0	-0.427249999858051
COL1A1-SDC4	Fibroblasts	4.09805737796772	COL1A1	Epithelial	0.19572371640283	SDC4	4.29378109437055	38	29	5.23050529151682	-0.936724197146269	-0.278809301989605	0	Fibroblasts--Epithelial	0	-0.511533881285922
COL1A2-CD44	Fibroblasts	4.19540542879659	COL1A2	Epithelial	0.146744252419146	CD44	4.34214968121574	38	29	4.95746041980066	-0.615310738584916	-0.187155117867815	0	Fibroblasts--Epithelial	0	-0.343375142659396
COL1A2-ITGA1	Fibroblasts	4.19540542879659	COL1A2	Epithelial	0.0815735358640476	ITGA1	4.27697896466064	38	29	4.93994521404264	-0.662966249382	-0.203472600673368	0	Fibroblasts--Epithelial	0	-0.373312972038748
COL1A2-ITGA10	Fibroblasts	4.19540542879659	COL1A2	Epithelial	0	ITGA10	4.19540542879659	38	29	4.8753920562708	-0.679986627474212	-0.212015904266241	0	Fibroblasts--Epithelial	0	-0.388987446364677
COL1A2-ITGA11	Fibroblasts	4.19540542879659	COL1A2	Epithelial	0.0275119963680272	ITGA11	4.22291742516462	38	29	4.89945129737426	-0.676533872209638	-0.209764485440089	0	Fibroblasts--Epithelial	0	-0.384856748420516
COL1A2-ITGA2	Fibroblasts	4.19540542879659	COL1A2	Epithelial	0.0334181707766118	ITGA2	4.2288235995732	38	29	4.87627740242449	-0.647453802851291	-0.201091899062205	0	Fibroblasts--Epithelial	0	-0.368945077830587
COL1A2-ITGA3	Fibroblasts	4.19540542879659	COL1A2	Epithelial	0.212564072496454	ITGA3	4.40796950129305	38	29	5.01099514002335	-0.60302563873031	-0.181126464522156	0	Fibroblasts--Epithelial	0	-0.332314319283614
COL1A2-ITGA3	Myofibroblast_Mesothelium	3.87199092739106	COL1A2	Epithelial	0	ITGA3	3.87199092739106	35	35	4.16876563943072	-0.296774712039654	-0.103956631455392	0	Myofibroblast_Mesothelium--Epithelial	0	-0.12038335888897
COL1A2-ITGA9	Fibroblasts	4.19540542879659	COL1A2	Epithelial	0.0589869542107986	ITGA9	4.25439238300739	38	29	4.9099618887517	-0.655569505744306	-0.202328211226435	0	Fibroblasts--Epithelial	0	-0.371213350644072
COL1A2-ITGAV	Fibroblasts	4.19540542879659	COL1A2	Epithelial	0.228692182493968	ITGAV	4.42409761129056	38	29	5.05431366052948	-0.630216049238924	-0.188150276564433	0	Fibroblasts--Epithelial	0	-0.345200969082489
COL1A2-ITGB1	Fibroblasts	4.19540542879659	COL1A2	Epithelial	1.32157946837305	ITGB1	5.51698489716965	38	29	6.22239305172462	-0.705408154554978	-0.170674803934286	0	Fibroblasts--Epithelial	0	-0.313138565575814
COL1A2-ITGB8	Fibroblasts	4.19540542879659	COL1A2	Epithelial	0.118702322768644	ITGB8	4.31410775156524	38	29	4.93675061355635	-0.622642861991109	-0.190371452808751	0	Fibroblasts--Epithelial	0	-0.349276180695473
COL1A2-SDC1	Fibroblasts	4.19540542879659	COL1A2	Epithelial	0.287913238481793	SDC1	4.48331866727839	38	29	5.17516122703245	-0.691842559754065	-0.202822591841178	0	Fibroblasts--Epithelial	0	-0.372120395110979
COL1A2-SDC4	Fibroblasts	4.19540542879659	COL1A2	Epithelial	0.19572371640283	SDC4	4.39112914519942	38	29	5.23388379046561	-0.842754645266187	-0.248108184874888	0	Fibroblasts--Epithelial	0	-0.455206271391148
COL2A1-SDC4	Endothelial	0.305988665277433	COL2A1	Myofibroblast_Mesothelium	0.58453039055646	SDC4	0.890519055833892	7	14	0.386097176490412	0.504421879343481	1.02693997606673	0	Endothelial--Myofibroblast_Mesothelium	0	0.63968295851507
COL4A1-ITGB1	Fibroblasts	2.46587580210481	COL4A1	Myofibroblast_Mesothelium	1.7311064312758	ITGB1	4.19698223338061	56	42	3.84331000885081	0.353672224529794	0.123916677651201	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.210916500156871
COL4A1-SDC1	Fibroblasts	2.46587580210481	COL4A1	Myofibroblast_Mesothelium	0.436710875253376	SDC1	2.90258667735818	56	42	2.62831040195012	0.274276275408063	0.138198103408959	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.235224675579031
COL6A2-ITGA3	Myofibroblast_Mesothelium	2.21313291613287	COL6A2	Epithelial	0	ITGA3	2.21313291613287	35	35	2.51713547148461	-0.304002555351737	-0.178140437123134	0	Myofibroblast_Mesothelium--Epithelial	0	-0.206289333105548
COL6A2-SDC4	Fibroblasts	2.35411927030853	COL6A2	Epithelial	0.19572371640283	SDC4	2.54984298671137	38	29	3.01339005176878	-0.463547065057413	-0.232579454834087	0	Fibroblasts--Epithelial	0	-0.426715573654283
COL6A6-ITGA10	Fibroblasts	0.060487453183162	COL6A6	Myofibroblast_Mesothelium	0	ITGA10	0.060487453183162	56	42	0.215521729982401	-0.155034276799239	-0.975278854353536	0	Fibroblasts--Myofibroblast_Mesothelium	0	-1.66000579208764
COL6A6-ITGA3	Fibroblasts	0.060487453183162	COL6A6	Myofibroblast_Mesothelium	0	ITGA3	0.060487453183162	56	42	0.238192736541378	-0.177705283358217	-1.07538516223434	0	Fibroblasts--Myofibroblast_Mesothelium	0	-1.83039506092582
COL6A6-ITGB8	Fibroblasts	0.060487453183162	COL6A6	Myofibroblast_Mesothelium	0.0245971687483534	ITGB8	0.0850846219315154	56	42	0.234904298956104	-0.149819677024589	-0.855563863700167	0	Fibroblasts--Myofibroblast_Mesothelium	0	-1.4562409129485
COL9A1-ITGA1	Epithelial	0	COL9A1	Fibroblasts	0.191573151565444	ITGA1	0.191573151565444	29	38	0.532216277286393	-0.340643125720949	-1.11656029936144	0	Epithelial--Fibroblasts	0	-2.04856301259068
COL9A2-ITGA1	Epithelial	0.0317123433085134	COL9A2	Fibroblasts	0.191573151565444	ITGA1	0.223285494873957	29	38	0.62453673850677	-0.401251243632812	-1.16425006693702	0	Epithelial--Fibroblasts	0	-2.13605984907165
CTF1-IL6ST	Neural	0	CTF1	Muscle	0.172426379664593	IL6ST	0.172426379664593	18	17	0.397203168671966	-0.224776789007372	-0.867969081155062	0	Neural--Muscle	0	-0.329710159328364
CTF1-LIFR	Epithelial	0	CTF1	Fibroblasts	0.141792984491817	LIFR	0.141792984491817	29	38	0.472956572077676	-0.331163587585859	-1.24465340626056	0	Epithelial--Fibroblasts	0	-2.28357656368275
DLK1-NOTCH1	Epithelial	0.0659819860488814	DLK1	Fibroblasts	0.164492818424878	NOTCH1	0.230474804473759	29	38	0.851463416145289	-0.62098861167153	-1.52560790150978	0	Epithelial--Fibroblasts	0	-2.79904624993058
DLK1-NOTCH1	Fibroblasts	0.108744567802443	DLK1	Epithelial	0.0511106849433018	NOTCH1	0.159855252745745	38	29	0.859189465430476	-0.69933421268473	-1.88410759191899	0	Fibroblasts--Epithelial	0	-3.4567887885266
DLK1-NOTCH2	Fibroblasts	0.19188642518243	DLK1	Myofibroblast_Mesothelium	0.420447394309478	NOTCH2	0.612333819491909	56	42	1.08582797449265	-0.47349415500074	-0.735269344506643	0	Fibroblasts--Myofibroblast_Mesothelium	0	-1.2514896279942
DLK1-NOTCH3	Epithelial	0.0659819860488814	DLK1	Fibroblasts	0.314682188684144	NOTCH3	0.380664174733025	29	38	0.90501416111319	-0.524349986380165	-1.06411464535218	0	Epithelial--Fibroblasts	0	-1.95234050939409
DLK1-NOTCH4	Fibroblasts	0.19188642518243	DLK1	Myofibroblast_Mesothelium	0.19677382342855	NOTCH4	0.38866024861098	56	42	0.798434930921162	-0.409774682310181	-0.878582271015127	0	Fibroblasts--Myofibroblast_Mesothelium	0	-1.49542015824527
DLL1-NOTCH1	Fibroblasts	0.647360236478453	DLL1	Myofibroblast_Mesothelium	0.66896950345675	NOTCH1	1.3163297399352	56	42	0.862927101699752	0.453402638235451	0.556658694413518	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.947479434028022
DLL1-NOTCH1	Epithelial	0.283788572381809	DLL1	Fibroblasts	0.164492818424878	NOTCH1	0.448281390806686	29	38	1.12046104346733	-0.672179652660645	-1.15443783258576	0	Epithelial--Fibroblasts	0	-2.11805725631032
DLL1-NOTCH2	Fibroblasts	0.647360236478453	DLL1	Myofibroblast_Mesothelium	0.420447394309478	NOTCH2	1.06780763078793	56	42	0.752552859985792	0.315254770802138	0.45394145124823	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.772646136002016
DLL1-NOTCH2	Fibroblasts	0.595290457600077	DLL1	Epithelial	0.445762158552466	NOTCH2	1.04105261615254	38	29	0.541878070399145	0.499174545753397	0.829994140994714	0	Fibroblasts--Epithelial	0	1.52279755861026
DLL1-NOTCH3	Fibroblasts	0.647360236478453	DLL1	Myofibroblast_Mesothelium	0.809338448650038	NOTCH3	1.45669868512849	56	42	1.02546911422743	0.43122957090106	0.467963257067187	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.796512416677635
DLL1-NOTCH3	Epithelial	0.283788572381809	DLL1	Fibroblasts	0.314682188684144	NOTCH3	0.598470761065953	29	38	1.17401178843523	-0.57554102736928	-0.867106998078968	0	Epithelial--Fibroblasts	0	-1.59088884428273
DLL1-NOTCH4	Fibroblasts	0.647360236478453	DLL1	Myofibroblast_Mesothelium	0.19677382342855	NOTCH4	0.844134059907003	56	42	0.465159816414307	0.378974243492697	0.740332834077686	0	Fibroblasts--Myofibroblast_Mesothelium	0	1.26010810872777
DLL3-NOTCH1	Epithelial	0	DLL3	Fibroblasts	0.164492818424878	NOTCH1	0.164492818424878	29	38	0.839463338886374	-0.674970520461496	-1.82860831333133	0	Epithelial--Fibroblasts	0	-3.35496377342874
DLL3-NOTCH2	Epithelial	0	DLL3	Fibroblasts	0.383777466033936	NOTCH2	0.383777466033936	29	38	0.84551443134672	-0.461736965312783	-0.966755906830573	0	Epithelial--Fibroblasts	0	-1.77371557458141
DLL3-NOTCH3	Epithelial	0	DLL3	Fibroblasts	0.314682188684144	NOTCH3	0.314682188684144	29	38	0.893014083854273	-0.57833189517013	-1.25980809721671	0	Epithelial--Fibroblasts	0	-2.31138100861758
DLL4-NOTCH1	Epithelial	0.0636495832812663	DLL4	Fibroblasts	0.164492818424878	NOTCH1	0.228142401706144	29	38	0.842926455506547	-0.614784053800403	-1.52282322364755	0	Epithelial--Fibroblasts	0	-2.79393717693757
DLL4-NOTCH2	Epithelial	0.0636495832812663	DLL4	Fibroblasts	0.383777466033936	NOTCH2	0.447427049315202	29	38	0.848977547966894	-0.40155049865169	-0.793707232148983	0	Epithelial--Fibroblasts	0	-1.4562216474435
DLL4-NOTCH3	Epithelial	0.0636495832812663	DLL4	Fibroblasts	0.314682188684144	NOTCH3	0.37833177196541	29	38	0.896477200474448	-0.518145428509037	-1.05882517455756	0	Epithelial--Fibroblasts	0	-1.94263587075322
EFNA1-EPHA2	Epithelial	2.85363257807713	EFNA1	Myofibroblast_Mesothelium	0.0542594458195871	EPHA2	2.90789202389672	35	35	3.39991436551317	-0.492022341616458	-0.218566844555368	0	Epithelial--Myofibroblast_Mesothelium	0	-0.253103727207906
EFNA1-EPHA2	Fibroblasts	2.25895025029852	EFNA1	Epithelial	0	EPHA2	2.25895025029852	38	29	0.900938819282613	1.3580114310159	1.23679119826336	0	Fibroblasts--Epithelial	0	2.26915170144327
EFNA1-EPHA2	Fibroblasts	1.29917542322839	EFNA1	Myofibroblast_Mesothelium	0.126974241737282	EPHA2	1.42614966496567	56	42	0.986156207393305	0.439993457572369	0.490664848236109	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.835152414522144
EFNA1-EPHA2	Fibroblasts	0.481088887732655	EFNA1	Neural	0.0427294802882015	EPHA2	0.523818368020857	68	28	0.926731605998138	-0.402913237977282	-0.718861163632723	0	Fibroblasts--Neural	0	-1.05528821245772
EFNA1-EPHA3	Epithelial	2.85363257807713	EFNA1	Myofibroblast_Mesothelium	0.0345682438002192	EPHA3	2.88820082187735	35	35	3.45595196272108	-0.567751140843732	-0.25095872733413	0	Epithelial--Myofibroblast_Mesothelium	0	-0.290614019673648
EFNA1-EPHA3	Fibroblasts	2.25895025029852	EFNA1	Epithelial	0.0554283243422083	EPHA3	2.31437857464072	38	29	0.912047499232985	1.40233107540774	1.25437490568137	0	Fibroblasts--Epithelial	0	2.30141268426825
EFNA1-EPHA3	Fibroblasts	0.481088887732655	EFNA1	Neural	0.0365950733655096	EPHA3	0.517683961098165	68	28	0.920597199075446	-0.402913237977282	-0.724472812521276	0	Fibroblasts--Neural	0	-1.06352611321538
EFNA1-EPHA4	Fibroblasts	2.25895025029852	EFNA1	Epithelial	0.0680350701024799	EPHA4	2.326985320401	38	29	0.983116367523456	1.34386895287754	1.16397713128767	0	Fibroblasts--Epithelial	0	2.13555909163258
EFNA1-EPHA4	Fibroblasts	0.481088887732655	EFNA1	Neural	0.235953350621454	EPHA4	0.717042238354109	68	28	1.11995547633139	-0.402913237977282	-0.57834592802022	0	Fibroblasts--Neural	0	-0.849011841839437
EFNA1-EPHA7	Epithelial	2.85363257807713	EFNA1	Myofibroblast_Mesothelium	0.277367485214545	EPHA7	3.13100006329167	35	35	3.66521747604436	-0.534217412752677	-0.220752417387598	0	Epithelial--Myofibroblast_Mesothelium	0	-0.255634653758304
EFNA1-EPHA7	Fibroblasts	2.25895025029852	EFNA1	Epithelial	0.133074664627508	EPHA7	2.39202491492602	38	29	1.0233268792689	1.36869803565712	1.14954069058427	0	Fibroblasts--Epithelial	0	2.10907242676069
EFNA1-EPHA7	Fibroblasts	0.481088887732655	EFNA1	Neural	0.28825159996265	EPHA7	0.769340487695305	68	28	1.17225372567258	-0.402913237977282	-0.54939317435285	0	Fibroblasts--Neural	0	-0.806509198479254
EFNA5-EPHA3	Epithelial	0	EFNA5	Myofibroblast_Mesothelium	0.0345682438002192	EPHA3	0.0345682438002192	35	35	0.200888155858436	-0.166319912058217	-1.16088932312126	0	Epithelial--Myofibroblast_Mesothelium	0	-1.34432747636351
EFNB1-EPHB1	Muscle	0.389279356716346	EFNB1	Fibroblasts	0.112750443799556	EPHB1	0.502029800515902	26	71	0.428077450707487	0.0739523498084134	0.189085363661239	0	Muscle--Fibroblasts	0	0.222315974697298
EFNB1-EPHB1	Neural	0.352341100989472	EFNB1	Fibroblasts	0.117724728084831	EPHB1	0.470065829074303	28	68	0.391163529317315	0.0789022997569893	0.214925086617215	0	Neural--Fibroblasts	0	0.315510034402805
EFNB2-EPHB1	Muscle	0.227335903684489	EFNB2	Fibroblasts	0.112750443799556	EPHB1	0.340086347484045	26	71	0.266133997675633	0.0739523498084134	0.265414874120002	0	Muscle--Fibroblasts	0	0.31205993576987
EFNB2-EPHB1	Neural	0.192895053993401	EFNB2	Fibroblasts	0.117724728084831	EPHB1	0.310619782078232	28	68	0.231717482321243	0.0789022997569893	0.307848084925767	0	Neural--Fibroblasts	0	0.451920999053755
EFNB3-EPHB1	Neural	0.338898913375343	EFNB3	Fibroblasts	0.117724728084831	EPHB1	0.456623641460174	28	68	0.377721341703184	0.0789022997569893	0.220532856369872	0	Neural--Fibroblasts	0	0.323742240588838
EFNB3-EPHB1	Muscle	0.160359656417261	EFNB3	Fibroblasts	0.112750443799556	EPHB1	0.273110100216817	26	71	0.199157750408404	0.0739523498084134	0.31869497492936	0	Muscle--Fibroblasts	0	0.374703692610955
F11R-JAM2	Epithelial	0.108201376528329	F11R	Fibroblasts	0.0726634738751031	JAM2	0.180864850403432	29	38	0.553521532203814	-0.372656681800383	-1.21835868490647	0	Epithelial--Fibroblasts	0	-2.23533340688846
FGF1-FGFR1	Muscle	0.0793304787236039	FGF1	Fibroblasts	1.00182775639136	FGFR1	1.08115823511497	26	71	0.834208177577028	0.246950057537937	0.338386270937513	0	Muscle--Fibroblasts	0	0.397855615003787
FGF1-FGFR3	Epithelial	0.0510707969958911	FGF1	Fibroblasts	0.867582536735322	FGFR3	0.918653333731213	29	38	0.313917582760636	0.604735750970577	1.29924772057895	0	Epithelial--Fibroblasts	0	2.38374123286753
FGF1-FGFR3	Muscle	0.0793304787236039	FGF1	Fibroblasts	0.110290402653355	FGFR3	0.189620881376959	26	71	0.374543290150579	-0.18492240877362	-0.71237407987329	0	Muscle--Fibroblasts	0	-0.837569523360131
FGF2-FGFR1	Muscle	0.246314798538775	FGF2	Fibroblasts	1.00182775639136	FGFR1	1.24814255493014	26	71	1.0011924973922	0.246950057537937	0.291906371901702	0	Muscle--Fibroblasts	0	0.34320715434085
FGF2-FGFR3	Epithelial	0	FGF2	Fibroblasts	0.867582536735322	FGFR3	0.867582536735322	29	38	0.308000722965764	0.559581813769558	1.24581302267921	0	Epithelial--Fibroblasts	0	2.2857041221365
FGF2-FGFR3	Muscle	0.246314798538775	FGF2	Fibroblasts	0.110290402653355	FGFR3	0.356605201192131	26	71	0.54152760996575	-0.18492240877362	-0.490564063733824	0	Muscle--Fibroblasts	0	-0.576777736090892
FGF7-FGFR1	Muscle	0.605664198495529	FGF7	Fibroblasts	1.00182775639136	FGFR1	1.60749195488689	26	71	1.36054189734895	0.246950057537937	0.225375036898246	0	Muscle--Fibroblasts	0	0.2649833389021
FGF9-FGFR1	Muscle	0.0426998157601032	FGF9	Fibroblasts	1.00182775639136	FGFR1	1.04452757215147	26	71	0.797577514613527	0.246950057537937	0.350643778161811	0	Muscle--Fibroblasts	0	0.412267305116466
FGF9-FGFR3	Epithelial	0.0340963993353309	FGF9	Fibroblasts	0.867582536735322	FGFR3	0.901678936070653	29	38	0.352360555362825	0.549318380707828	1.14687512090812	0	Epithelial--Fibroblasts	0	2.10418188260543
FGF9-FGFR3	Muscle	0.0426998157601032	FGF9	Fibroblasts	0.110290402653355	FGFR3	0.152990218413459	26	71	0.337912627187078	-0.18492240877362	-0.791561444632032	0	Muscle--Fibroblasts	0	-0.930673589371238
FN1-CD44	Fibroblasts	3.77128580382428	FN1	Myofibroblast_Mesothelium	0.211793347982711	CD44	3.98307915180699	56	42	3.42673176237135	0.556347389435649	0.211325684104629	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.359693905045339
FN1-ITGA2B	Fibroblasts	3.77128580382428	FN1	Myofibroblast_Mesothelium	0.0592805825112611	ITGA2B	3.83056638633554	56	42	3.30550859030305	0.525057796032488	0.206866945439189	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.352104760692423
FN1-ITGA3	Fibroblasts	3.77128580382428	FN1	Myofibroblast_Mesothelium	0	ITGA3	3.77128580382428	56	42	3.28171084355188	0.489574960272394	0.195059514824963	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.332007530939318
FN1-ITGA3	Myofibroblast_Mesothelium	3.07154300479871	FN1	Epithelial	0	ITGA3	3.07154300479871	35	35	3.45121902630204	-0.379676021503325	-0.163129438651814	0	Myofibroblast_Mesothelium--Epithelial	0	-0.188906368777485
FN1-ITGA3	Fibroblasts	2.61300708172851	FN1	Pericytes	0	ITGA3	2.61300708172851	9	3	3.53030542981815	-0.917298348089645	-0.420198118644756	0	Fibroblasts--Pericytes	0	-0.307604546570969
FN1-ITGA5	Fibroblasts	3.77128580382428	FN1	Myofibroblast_Mesothelium	0.591113032871084	ITGA5	4.36239883669537	56	42	3.84689821597263	0.515500620722738	0.177100148408766	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.301439194365597
FN1-ITGA8	Fibroblasts	3.77128580382428	FN1	Myofibroblast_Mesothelium	0.540195632545318	ITGA8	4.3114814363696	56	42	3.77447316827055	0.537008268099054	0.187263060884951	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.318737317358462
FN1-ITGAV	Fibroblasts	3.77128580382428	FN1	Myofibroblast_Mesothelium	0.699242147830978	ITGAV	4.47052795165526	56	42	4.01229987118837	0.458228080466888	0.152415353270231	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.259423618283385
FN1-ITGB1	Fibroblasts	3.77128580382428	FN1	Myofibroblast_Mesothelium	1.7311064312758	ITGB1	5.50239223510008	56	42	4.86181375887056	0.640578476229516	0.175175408172296	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.29816312626821
FN1-ITGB6	Fibroblasts	3.77128580382428	FN1	Myofibroblast_Mesothelium	0	ITGB6	3.77128580382428	56	42	3.28339022932119	0.487895574503095	0.194343238291978	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.330788368657492
FN1-ITGB8	Fibroblasts	3.77128580382428	FN1	Myofibroblast_Mesothelium	0.0245971687483534	ITGB8	3.79588297257264	56	42	3.27842240596662	0.517460566606023	0.205600620973517	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.349949371043305
FN1-SDC1	Fibroblasts	3.77128580382428	FN1	Myofibroblast_Mesothelium	0.436710875253376	SDC1	4.20799667907766	56	42	3.64681415196987	0.561182527107783	0.201352718307693	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.342719087111673
FN1-SDC4	Endothelial	3.4340016896177	FN1	Myofibroblast_Mesothelium	0.58453039055646	SDC4	4.01853208017416	7	14	3.21539654642143	0.803135533752731	0.312948788378897	0	Endothelial--Myofibroblast_Mesothelium	0	0.194936424211137
FN1-SDC4	Fibroblasts	3.77128580382428	FN1	Myofibroblast_Mesothelium	0.172326030488782	SDC4	3.94361183431306	56	42	3.45933100613006	0.484280828183008	0.184038407671899	0	Fibroblasts--Myofibroblast_Mesothelium	0	0.313248689170488
FN1-SDC4	Myofibroblast_Mesothelium	3.07154300479871	FN1	Epithelial	0.208002363669768	SDC4	3.27954536846848	35	35	3.67198786867609	-0.392442500207615	-0.158495854297218	0	Myofibroblast_Mesothelium--Epithelial	0	-0.18354060768565
GAS6-AXL	Fibroblasts	0.930904323193624	GAS6	Pericytes	0.539866450267882	AXL	1.47077077346151	9	3	0.70238623532381	0.768384538137698	0.969103897560173	0	Fibroblasts--Pericytes	0	0.709429080621792
