	Endothelial|Epithelial	Endothelial|Fibroblasts	Endothelial|Muscle	Endothelial|Myofibroblast_Mesothelium	Endothelial|Neural	Endothelial|Pericytes	Epithelial|Endothelial	Epithelial|Fibroblasts	Epithelial|Muscle	Epithelial|Myofibroblast_Mesothelium	Epithelial|Neural	Epithelial|Pericytes	Fibroblasts|Endothelial	Fibroblasts|Epithelial	Fibroblasts|Muscle	Fibroblasts|Myofibroblast_Mesothelium	Fibroblasts|Neural	Fibroblasts|Pericytes	Muscle|Endothelial	Muscle|Epithelial	Muscle|Fibroblasts	Muscle|Myofibroblast_Mesothelium	Muscle|Neural	Muscle|Pericytes	Myofibroblast_Mesothelium|Endothelial	Myofibroblast_Mesothelium|Epithelial	Myofibroblast_Mesothelium|Fibroblasts	Myofibroblast_Mesothelium|Muscle	Myofibroblast_Mesothelium|Neural	Myofibroblast_Mesothelium|Pericytes	Neural|Endothelial	Neural|Epithelial	Neural|Fibroblasts	Neural|Muscle	Neural|Myofibroblast_Mesothelium	Neural|Pericytes	Pericytes|Endothelial	Pericytes|Epithelial	Pericytes|Fibroblasts	Pericytes|Muscle	Pericytes|Myofibroblast_Mesothelium	Pericytes|Neural
THBS2_SDC1	0.234	0.057	0.077	0.187	0.128	0.173	1.0	1.0	1.0	1.0	1.0	1.0	0.061	0.744	0.129	0.461	0.214	0.516	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LAMC2_ITGAV	0.456	0.133	0.109	0.088	0.277	0.073	0.041	0.071	0.02	0.026	0.11	0.012	0.532	0.865	0.395	0.453	0.683	0.197	1.0	1.0	1.0	1.0	1.0	1.0	0.748	0.619	0.661	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LAMC2_ITGA1	1.0	1.0	1.0	1.0	1.0	1.0	0.201	0.22	0.0	0.34	0.0	0.127	0.97	0.815	1.0	0.935	1.0	1.0	0.185	0.128	0.135	0.13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.26	0.128	0.174	1.0	0.14	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SPP1_ITGA9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.024	0.994	0.0	0.895	0.0	0.352	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LAMC2_ITGA7	0.368	0.651	1.0	0.521	1.0	1.0	0.076	0.36	0.419	0.822	0.08	0.0	0.412	0.695	0.902	0.941	0.569	0.003	0.453	0.229	0.481	0.371	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.443	0.164	0.319	1.0	0.287	1.0	0.134	0.063	0.15	1.0	0.109	1.0
NTS_NTSR1	1.0	0.086	0.008	1.0	0.011	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.004	1.0	0.005	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.23	0.027	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
TNXB_ITGA9	0.627	0.562	0.193	0.627	0.471	0.582	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.999	0.0	0.874	0.002	0.171	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LAMC2_ITGA2	0.367	0.296	0.29	0.344	0.303	0.255	0.029	0.176	0.174	0.259	0.151	0.119	0.07	0.906	0.389	0.69	0.38	0.257	1.0	1.0	1.0	1.0	1.0	1.0	0.787	0.682	0.796	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LAMC2_SV2B	0.162	0.659	1.0	0.489	1.0	1.0	0.017	0.028	0.013	0.681	0.001	0.047	0.812	0.917	0.782	0.974	0.633	0.496	1.0	1.0	1.0	1.0	1.0	1.0	0.757	0.282	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
APELA_APLNR	0.043	0.002	0.116	0.001	0.023	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.861	0.651	0.666	0.186	0.43	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.633	0.354	0.238	0.455	0.235	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.132	0.105	0.083	0.112	0.022	0.074
COL4A1_ITGA1	0.044	0.003	0.005	0.017	0.003	0.039	1.0	1.0	1.0	1.0	1.0	1.0	0.702	0.931	0.711	0.741	0.709	0.897	0.121	0.472	0.115	0.215	0.177	0.301	0.429	0.787	0.408	0.433	0.416	0.602	0.131	0.526	0.126	0.241	0.236	0.335	0.0	0.0	0.0	0.0	0.0	0.0
LAMA4_ITGAV	0.559	0.171	0.275	0.485	0.408	0.219	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.389	0.113	0.312	0.193	0.038	0.079	0.394	0.079	0.309	0.256	0.122	0.005	0.06	0.005	0.018	0.03	0.007	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LAMB1_ITGA6	0.173	0.015	0.086	0.142	0.064	0.068	0.357	0.356	0.545	0.627	0.475	0.494	0.365	0.788	0.562	0.653	0.468	0.514	0.066	0.387	0.061	0.269	0.167	0.183	0.059	0.283	0.051	0.162	0.116	0.114	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CD99_PILRA	0.197	0.0	0.101	0.01	0.144	0.14	1.0	1.0	1.0	1.0	1.0	1.0	0.091	0.769	0.486	0.15	0.686	0.561	0.213	1.0	0.163	0.289	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
THBS2_ITGA3	0.464	0.54	0.362	0.541	0.37	0.401	1.0	1.0	1.0	1.0	1.0	1.0	0.201	0.7	0.001	0.651	0.004	0.14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
COL4A1_ITGAV	0.027	0.001	0.001	0.002	0.003	0.016	1.0	1.0	1.0	1.0	1.0	1.0	0.446	0.794	0.384	0.378	0.446	0.746	1.0	1.0	1.0	1.0	1.0	1.0	0.366	0.677	0.272	0.304	0.356	0.494	1.0	1.0	1.0	1.0	1.0	1.0	0.001	0.004	0.0	0.0	0.0	0.001
CADM3_CADM3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.632	0.973	0.091	0.972	0.02	1.0	0.322	0.401	0.191	0.396	0.046	1.0	0.595	0.708	0.517	0.16	0.095	1.0	0.346	0.436	0.213	0.123	0.437	1.0	1.0	1.0	1.0	1.0	1.0	1.0
THBS2_CD47	0.572	0.164	0.162	0.572	0.164	0.378	1.0	1.0	1.0	1.0	1.0	1.0	0.097	0.911	0.0	0.781	0.0	0.196	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LAMC3_CD44	1.0	1.0	1.0	1.0	1.0	1.0	0.127	0.238	0.226	0.333	0.29	0.167	0.0	0.928	0.013	0.375	0.158	0.132	1.0	1.0	1.0	1.0	1.0	1.0	0.025	0.595	0.069	0.024	0.091	0.109	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
NCAM1_NCAM2	0.339	0.043	0.009	0.338	0.014	0.266	1.0	1.0	1.0	1.0	1.0	1.0	0.833	0.956	0.092	0.949	0.072	0.842	0.165	0.22	0.054	0.218	0.015	0.197	1.0	1.0	1.0	1.0	1.0	1.0	0.196	0.259	0.07	0.023	0.255	0.229	1.0	1.0	1.0	1.0	1.0	1.0
TNXB_ITGA2B	1.0	0.138	0.109	0.299	0.043	0.065	1.0	1.0	1.0	1.0	1.0	1.0	0.013	1.0	0.258	0.681	0.11	0.132	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
COL4A2_ITGB1	0.168	0.021	0.036	0.152	0.055	0.107	1.0	1.0	1.0	1.0	1.0	1.0	0.014	0.387	0.025	0.358	0.108	0.238	1.0	1.0	1.0	1.0	1.0	1.0	0.304	0.722	0.296	0.336	0.395	0.544	0.094	0.469	0.084	0.124	0.449	0.308	0.022	0.122	0.005	0.02	0.111	0.037
LAMC1_CD44	0.351	0.155	0.19	0.183	0.16	0.175	0.143	0.137	0.114	0.218	0.13	0.196	0.029	0.704	0.0	0.188	0.012	0.207	1.0	1.0	1.0	1.0	1.0	1.0	0.52	0.708	0.556	0.465	0.513	0.668	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
NRG3_ERBB2	1.0	1.0	1.0	1.0	1.0	1.0	0.435	0.119	0.024	1.0	0.322	1.0	0.66	1.0	0.034	1.0	0.559	1.0	0.319	1.0	0.125	1.0	0.28	1.0	0.368	1.0	0.083	0.018	0.281	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
TNC_ITGAV	0.555	0.457	0.344	0.555	0.412	0.541	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.97	0.0	0.334	0.027	0.068	0.065	0.388	0.076	0.187	0.094	0.108	0.08	0.711	0.159	0.037	0.097	0.182	0.078	0.451	0.09	0.052	0.225	0.12	1.0	1.0	1.0	1.0	1.0	1.0
LAMC1_ITGB4	0.192	0.084	0.167	0.054	0.103	0.046	0.356	0.437	0.748	0.339	0.75	0.514	0.052	0.008	0.736	0.012	0.664	0.196	1.0	1.0	1.0	1.0	1.0	1.0	0.481	0.346	0.7	0.72	0.722	0.62	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FGF1_FGFR1	1.0	1.0	1.0	1.0	1.0	1.0	0.72	0.586	0.306	1.0	0.317	1.0	0.14	0.84	0.0	0.782	0.0	0.356	0.003	0.121	0.03	0.116	0.0	0.027	0.612	0.675	0.497	0.265	0.266	1.0	0.001	0.121	0.007	0.0	0.118	0.03	1.0	1.0	1.0	1.0	1.0	1.0
JAG1_NOTCH3	0.167	0.021	0.107	0.12	0.098	0.011	1.0	1.0	1.0	1.0	1.0	1.0	0.105	0.948	0.654	0.675	0.641	0.049	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.005	0.096	0.006	0.073	0.072	0.003	0.005	0.095	0.006	0.067	0.069	0.055
LAMA3_ITGA1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.806	0.733	0.187	1.0	0.252	0.07	0.011	0.003	0.004	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.022	0.002	0.024	0.001	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
WNT5A_MCAM	0.477	0.031	0.013	0.088	0.005	0.018	0.235	0.351	0.291	0.612	0.231	0.288	0.148	0.991	0.397	0.554	0.219	0.413	1.0	1.0	1.0	1.0	1.0	1.0	0.012	0.604	0.052	0.026	0.013	0.026	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LAMA4_ITGB1	0.148	0.016	0.018	0.13	0.06	0.079	1.0	1.0	1.0	1.0	1.0	1.0	0.005	0.365	0.019	0.291	0.112	0.163	0.08	0.411	0.083	0.341	0.205	0.254	0.321	0.704	0.312	0.33	0.461	0.513	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
TNC_ITGA9	0.55	0.153	0.058	0.547	0.126	0.38	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.992	0.0	0.886	0.002	0.4	0.06	0.439	0.073	0.437	0.059	0.286	0.497	0.704	0.533	0.204	0.411	0.612	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LAMA2_SV2B	0.485	0.098	0.192	0.07	0.066	0.048	0.542	0.652	0.484	0.788	0.316	0.431	0.646	0.99	0.833	0.581	0.609	0.308	1.0	1.0	1.0	1.0	1.0	1.0	0.217	0.658	0.2	0.337	0.139	0.064	0.267	1.0	0.345	0.231	0.438	0.229	1.0	1.0	1.0	1.0	1.0	1.0
EFNB3_EPHB4	1.0	1.0	1.0	1.0	1.0	1.0	0.668	0.663	0.664	0.75	0.661	0.659	0.0	0.991	0.054	0.35	0.07	0.065	1.0	1.0	1.0	1.0	1.0	1.0	0.158	0.683	0.276	0.339	0.386	0.275	0.057	0.452	0.11	0.159	0.295	0.148	1.0	1.0	1.0	1.0	1.0	1.0
GDF6_BMPR2	0.566	0.175	0.381	0.545	0.397	0.127	1.0	1.0	1.0	1.0	1.0	1.0	0.334	0.964	0.557	0.75	0.593	0.04	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.01	0.382	0.006	0.036	0.071	0.0	1.0	1.0	1.0	1.0	1.0	1.0
VWF_ITGA2B	1.0	0.015	0.026	0.143	0.004	0.012	1.0	1.0	1.0	1.0	1.0	1.0	0.066	1.0	0.355	0.811	0.156	0.217	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.002	0.001	0.045	0.001
APLN_APLNR	0.545	0.002	0.031	0.394	0.036	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.001	0.997	0.429	0.967	0.478	0.009	1.0	1.0	1.0	1.0	1.0	1.0	0.051	0.702	0.33	0.466	0.494	0.04	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.112	0.018	0.07	0.111	0.069
LAMC3_ITGA7	0.404	0.054	0.239	0.125	0.066	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.956	0.61	0.723	0.066	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.036	0.425	0.105	0.323	0.305	0.003	0.0	0.066	0.001	0.023	0.003	0.001
PECAM1_PECAM1	0.135	0.002	0.17	0.002	0.13	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.964	0.966	0.321	0.958	0.003	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.057	0.444	0.088	0.444	0.1	0.035	1.0	1.0	1.0	1.0	1.0	1.0
LAMA3_SV2B	0.356	0.56	0.124	1.0	0.149	0.028	0.513	0.685	0.467	0.744	0.261	0.372	0.606	0.785	0.117	0.995	0.135	0.062	1.0	1.0	1.0	1.0	1.0	1.0	0.555	0.467	0.655	0.177	0.209	0.049	0.111	0.262	0.17	0.014	0.463	0.014	1.0	1.0	1.0	1.0	1.0	1.0
LAMC2_SV2A	0.28	0.273	0.15	0.34	0.292	1.0	0.352	0.265	0.051	0.391	0.135	1.0	0.764	0.851	0.127	0.728	0.336	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
COL4A1_ITGB1	0.019	0.002	0.007	0.005	0.005	0.017	1.0	1.0	1.0	1.0	1.0	1.0	0.464	0.771	0.43	0.502	0.449	0.659	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.122	0.454	0.106	0.177	0.224	0.348	0.0	0.0	0.0	0.0	0.0	0.0
OCLN_OCLN	1.0	1.0	1.0	1.0	1.0	1.0	0.173	0.369	0.41	0.157	0.497	0.226	0.805	0.623	0.956	0.789	0.982	0.707	0.178	0.077	0.376	0.155	0.374	0.226	1.0	1.0	1.0	1.0	1.0	1.0	0.215	0.092	0.424	0.411	0.188	0.233	1.0	1.0	1.0	1.0	1.0	1.0
TNXB_SDC1	0.175	0.099	0.182	0.093	0.109	0.419	0.287	0.355	0.458	0.522	0.431	0.611	0.034	0.551	0.504	0.159	0.315	0.854	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
WNT5A_FZD7	0.593	0.161	0.154	0.35	0.135	0.226	0.698	0.654	0.395	0.756	0.347	0.379	0.037	0.974	0.002	0.313	0.0	0.056	1.0	1.0	1.0	1.0	1.0	1.0	0.665	0.727	0.618	0.357	0.316	0.365	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
EFNB2_EPHB4	0.568	0.13	0.35	0.261	0.28	0.081	0.255	0.507	0.486	0.54	0.302	0.083	0.117	0.981	0.749	0.82	0.572	0.064	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.018	0.397	0.074	0.225	0.164	0.048	1.0	1.0	1.0	1.0	1.0	1.0
