ip	d_ori	d_shu	d_rat	p_val	pathway
COL9A3 - SDC1	[10.00817276]	6.7225503722838456	[1.48874641]	0.0	COLLAGEN
FN1 - SDC1	[38.74082504]	19.149628808066886	[2.0230588]	0.0	FN1
TNC - SDC1	[15.60123447]	6.548598982009394	[2.38237744]	0.0	TENASCIN
TNXB - SDC1	[14.20565067]	6.8077437113364505	[2.08668999]	0.0	TENASCIN
THBS2 - SDC1	[23.2814479]	9.271735718924687	[2.51101289]	0.0	THBS
THBS3 - SDC1	[10.01276327]	6.485306484892358	[1.5439152]	0.0	THBS
COL1A2 - SDC1	[53.20560829]	27.524107149117366	[1.93305483]	0.0	COLLAGEN
LAMB2 - (ITGA9+ITGB1)	[22.60871095]	14.290426421437926	[1.58208792]	0.0	LAMININ
JAM2 - F11R	[8.36509457]	4.543912407677537	[1.84094538]	0.0	JAM
JAM3 - F11R	[11.22279995]	4.802884311462129	[2.33667922]	0.0	JAM
LAMB1 - ITGA3	[19.51373305]	11.434212983048454	[1.7066092]	0.0	LAMININ
SEMA3B - NRP1	[21.05269368]	9.137407951196373	[2.30401157]	0.0	SEMA3
SEMA3B - PLXNA1	[15.44437984]	9.01879400244207	[1.71246619]	0.0	SEMA3
LAMA5 - ITGA3	[13.56497633]	9.385136180150225	[1.44536809]	0.0	LAMININ
SEMA3B - PLXNA3	[13.94433134]	8.986730004792404	[1.55165798]	0.0	SEMA3
LAMA4 - ITGA3	[14.74513411]	9.49036451926481	[1.55369523]	0.0	LAMININ
LAMC1 - ITGB1	[14.63400578]	10.051023895277675	[1.45597164]	0.0	LAMININ
LAMB3 - ITGB1	[37.50848342]	11.422529819731679	[3.28372821]	0.0	LAMININ
SEMA3B - NRP2	[33.44451803]	8.981304311519978	[3.72379299]	0.0	SEMA3
SEMA3F - NRP2	[8.64652171]	5.7373579947504565	[1.50705633]	0.0	SEMA3
LAMB3 - ITGA1	[30.23337297]	8.511014504088575	[3.5522643]	0.0	LAMININ
LAMB2 - ITGA1	[18.08658917]	11.199403765604222	[1.61496001]	0.0	LAMININ
COL1A1 - ITGA1	[36.08943899]	27.62474659555057	[1.30641701]	0.0	COLLAGEN
LAMB2 - ITGA3	[17.70107899]	12.457662393210928	[1.42089892]	0.0	LAMININ
COL1A1 - ITGB1	[13.30393592]	19.336664788112	[0.68801606]	0.0	COLLAGEN
COL1A2 - ITGB1	[12.86790884]	20.140630788302328	[0.63890297]	0.0	COLLAGEN
COL2A1 - ITGA1	[15.48497449]	6.87222315911142	[2.25327003]	0.0	COLLAGEN
COL2A1 - ITGB1	[17.96504778]	11.703736509945418	[1.53498396]	0.0	COLLAGEN
COL4A1 - ITGB1	[8.50736485]	11.581398551577546	[0.73457146]	0.0	COLLAGEN
COL4A2 - ITGA1	[17.95912735]	13.088487446558831	[1.37213161]	0.0	COLLAGEN
COL4A2 - ITGB1	[8.29073431]	10.09734721113633	[0.82108044]	0.0	COLLAGEN
LAMA5 - ITGA1	[14.15907421]	8.883033801847454	[1.59394578]	0.0	LAMININ
COL6A1 - ITGA1	[23.92605891]	17.484021720974184	[1.36845282]	0.0	COLLAGEN
COL6A1 - ITGB1	[9.82065586]	11.962838519989276	[0.82093024]	0.0	COLLAGEN
COL6A2 - ITGB1	[10.27317735]	13.129639246699384	[0.78244171]	0.0	COLLAGEN
COL9A2 - ITGA1	[11.96328164]	6.664592759957943	[1.79505066]	0.0	COLLAGEN
COL9A2 - ITGB1	[17.69415074]	12.315626864622256	[1.43672352]	0.0	COLLAGEN
COL9A3 - ITGB1	[18.26276687]	13.80975710794774	[1.32245388]	0.0	COLLAGEN
COL1A2 - ITGA1	[35.92749239]	27.773609660325928	[1.29358383]	0.0	COLLAGEN
JAM2 - JAM2	[1.62573642e-09]	4.327355720087616	[3.75688185e-10]	0.0	JAM
LAMC1 - ITGA3	[10.91248632]	7.555367905374008	[1.44433553]	0.0	LAMININ
THBS2 - ITGA3	[18.88116851]	9.349213718061717	[2.01954614]	0.0	THBS
COL6A1 - ITGA3	[31.73518656]	21.10012026097328	[1.50402871]	0.0	COLLAGEN
JAM3 - JAM3	[1.97705639e-09]	4.836334243477885	[4.0879234e-10]	0.0	JAM
L1CAM - L1CAM	[3.36391315e-09]	5.51286463274638	[6.10193316e-10]	0.0	L1CAM
MPZL1 - MPZL1	[7.21096914e-09]	6.5464254383702185	[1.10151245e-09]	0.0	MPZ
NCAM1 - NCAM1	[8.78756566e-09]	7.403940348512642	[1.18687688e-09]	0.0	NCAM
NCAM1 - L1CAM	[9.98592053]	7.311551193547848	[1.36577318]	0.0	NCAM
DLL1 - NOTCH3	[9.74188074]	6.488602447427528	[1.50138351]	0.0	NOTCH
JAG1 - NOTCH2	[16.12377917]	6.744622758993857	[2.39061246]	0.0	NOTCH
JAG1 - NOTCH3	[10.28489984]	6.781980312582763	[1.51650394]	0.0	NOTCH
DLL1 - NOTCH2	[13.09429649]	6.365900032484404	[2.05694347]	0.0	NOTCH
OCLN - OCLN	[3.18619954e-10]	4.868980227388	[6.54387446e-11]	0.0	OCLN
PECAM1 - PECAM1	[4.17168366e-09]	5.857506460854357	[7.12194461e-10]	0.0	PECAM1
PTPRM - PTPRM	[1.25423557e-09]	4.5153836311698665	[2.77769437e-10]	0.0	PTPRM
POSTN - ITGB5	[18.04888043]	13.045089889685785	[1.38357655]	0.0	PERIOSTIN
SEMA4G - PLXNB2	[15.35890598]	10.043582965996752	[1.52922578]	0.0	SEMA4
COL4A1 - ITGA3	[25.39763505]	16.31910331789273	[1.55631315]	0.0	COLLAGEN
COL1A2 - ITGA3	[51.4551496]	34.41184403396987	[1.4952744]	0.0	COLLAGEN
COL1A1 - ITGA3	[50.93664909]	34.56627331350177	[1.47359389]	0.0	COLLAGEN
MIF - CD74	[36.80763711]	11.951592044471367	[3.0797267]	0.0	MIF
MIF - CD44	[18.60448054]	11.792504021975924	[1.5776531]	0.0	MIF
SPP1 - ITGAV	[13.06009683]	6.582553876424973	[1.98404708]	0.0	SPP1
SPP1 - ITGB1	[24.85345017]	14.92180835275066	[1.66557897]	0.0	SPP1
SPP1 - ITGB5	[14.16690871]	6.235396216955175	[2.27201419]	0.0	SPP1
SPP1 - ITGA9	[19.8867431]	5.734955155856153	[3.46763707]	0.0	SPP1
SPP1 - ITGA5	[21.09024873]	6.981096787935809	[3.0210509]	0.0	SPP1
NAMPT - ITGA5	[9.7345276]	5.896132402977482	[1.65100221]	0.0	VISFATIN
ANGPTL2 - ITGB1	[16.54674256]	11.440264185682596	[1.44636018]	0.0	ANGPTL
THBS2 - ITGB1	[16.27514682]	11.334687659172625	[1.43587078]	0.0	THBS
COL4A2 - ITGA3	[22.79109425]	15.076172671937284	[1.51172945]	0.0	COLLAGEN
LAMA5 - (ITGA9+ITGB1)	[17.34176348]	10.51953556054131	[1.64852938]	0.0	LAMININ
FN1 - ITGB1	[10.45738901]	14.505910192572482	[0.7209054]	0.0	FN1
COL9A3 - (ITGA9+ITGB1)	[12.28452326]	4.687717292511419	[2.62057682]	0.0	COLLAGEN
SEMA3B - (NRP1+PLXNA1)	[21.25793479]	11.613070140382485	[1.83051807]	0.0	SEMA3
LAMA4 - ITGB4	[20.33061405]	10.040328176962257	[2.02489537]	0.0	LAMININ
LAMB1 - (ITGA3+ITGB1)	[17.08831517]	12.913706779244066	[1.32326957]	0.0	LAMININ
LAMA5 - ITGB4	[18.98974991]	10.028703010435713	[1.89353996]	0.0	LAMININ
LAMB2 - (ITGA3+ITGB1)	[19.2353428]	14.430559320188019	[1.33295892]	0.0	LAMININ
LAMB3 - (ITGA3+ITGB1)	[16.65163261]	9.04187659622169	[1.84161246]	0.0	LAMININ
LAMA4 - ITGA9	[12.67859551]	9.668113181517047	[1.31138261]	0.0	LAMININ
THBS1 - (ITGA3+ITGB1)	[6.83013696]	4.386213297711216	[1.55718304]	0.0	THBS
SEMA3B - (NRP1+PLXNA3)	[18.70689098]	11.818978501337796	[1.58278408]	0.0	SEMA3
VIP - VIPR1	[24.58819958]	7.111972986636826	[3.45729654]	0.0	VIP
COL9A3 - ITGA9	[7.2996442]	4.519653925058049	[1.61508919]	0.0	COLLAGEN
COL1A1 - (ITGA3+ITGB1)	[54.802711]	40.893610796385815	[1.34012893]	0.0	COLLAGEN
COL1A2 - (ITGA3+ITGB1)	[54.77877672]	41.04491029397689	[1.33460583]	0.0	COLLAGEN
PRSS3 - PARD3	[13.1357736]	7.82280423362659	[1.6791643]	0.0	PARs
COL4A1 - (ITGA3+ITGB1)	[24.55018098]	18.48089775992037	[1.32840846]	0.0	COLLAGEN
PRSS3 - F2R	[11.88263986]	7.665477317774738	[1.55015003]	0.0	PARs
COL4A2 - (ITGA3+ITGB1)	[23.20019565]	17.40788273305737	[1.33274081]	0.0	COLLAGEN
COL6A1 - (ITGA3+ITGB1)	[34.06198544]	25.07265450453412	[1.35853128]	0.0	COLLAGEN
THBS2 - (ITGA3+ITGB1)	[15.79229966]	10.048124362822296	[1.57166642]	0.0	THBS
LAMB3 - ITGAV	[18.09956518]	8.128990979394978	[2.22654512]	0.0	LAMININ
SEMA3B - (NRP2+PLXNA1)	[26.19767158]	12.35439554904288	[2.12051423]	0.0	SEMA3
LAMB3 - (ITGA1+ITGB1)	[34.13557391]	8.852290030146785	[3.85612918]	0.0	LAMININ
COL4A2 - (ITGA1+ITGB1)	[21.34670104]	14.787010385217311	[1.44361169]	0.0	COLLAGEN
LAMA4 - (ITGA9+ITGB1)	[15.44264039]	10.726262848985552	[1.43970371]	0.0	LAMININ
LGALS9 - CD44	[9.93221744]	5.518648464964904	[1.79975541]	0.0	GALECTIN
COL6A1 - (ITGA1+ITGB1)	[29.8885575]	20.43341087105623	[1.46272973]	0.0	COLLAGEN
GAS6 - AXL	[12.64166723]	6.1047048253730924	[2.07080729]	0.0	GAS
SEMA3C - (NRP1+NRP2)	[9.02988245]	5.6636714369743135	[1.59435139]	0.0	SEMA3
SEMA3F - (NRP2+PLXNA3)	[7.04618566]	4.178689304440814	[1.68621909]	0.0	SEMA3
COL6A2 - (ITGA1+ITGB1)	[23.92416916]	18.85873156772248	[1.26859906]	0.0	COLLAGEN
LAMA5 - ITGA9	[14.30488486]	9.53250274144716	[1.50064314]	0.0	LAMININ
COL9A2 - (ITGA1+ITGB1)	[15.4866866]	6.225132001129942	[2.48776839]	0.0	COLLAGEN
COL9A3 - (ITGA1+ITGB1)	[9.94385188]	6.0129802474166825	[1.65373101]	0.0	COLLAGEN
FN1 - (ITGA3+ITGB1)	[35.6308365]	27.534071221336347	[1.2940635]	0.0	FN1
LAMB2 - ITGA9	[18.04832245]	12.720258785865335	[1.41886441]	0.0	LAMININ
FN1 - (ITGA5+ITGB1)	[29.30198484]	22.301552642088925	[1.31389887]	0.0	FN1
LAMA4 - (ITGA1+ITGB1)	[14.66321728]	9.749071876868456	[1.5040629]	0.0	LAMININ
LAMA5 - (ITGA1+ITGB1)	[18.53178187]	9.757388938769367	[1.89925624]	0.0	LAMININ
LAMB3 - ITGA9	[23.48975096]	8.301612614814804	[2.82954072]	0.0	LAMININ
SEMA3B - (NRP2+PLXNA3)	[24.71063023]	11.299436614584856	[2.18689047]	0.0	SEMA3
LAMB2 - (ITGA1+ITGB1)	[21.98551616]	12.507006902368614	[1.75785592]	0.0	LAMININ
COL6A2 - (ITGA3+ITGB1)	[31.71972706]	22.915271662855268	[1.38421781]	0.0	COLLAGEN
LAMB1 - ITGB4	[26.19309351]	12.258600724305387	[2.13671153]	0.0	LAMININ
COL9A2 - ITGA9	[10.96729039]	5.070876078812578	[2.16279992]	0.0	COLLAGEN
PTN - NCL	[12.23623866]	8.994339538418082	[1.36043771]	0.0	PTN
COL6A3 - (ITGA3+ITGB1)	[17.96567231]	13.609181638851847	[1.32011408]	0.0	COLLAGEN
SPP1 - (ITGA5+ITGB1)	[27.67975121]	6.8037533322016825	[4.0683061]	0.0	SPP1
SPP1 - (ITGA9+ITGB1)	[25.50829917]	6.048218575722102	[4.21748964]	0.0	SPP1
COL2A1 - (ITGA9+ITGB1)	[15.39860619]	6.140289297362008	[2.50779816]	0.0	COLLAGEN
SPP1 - (ITGAV+ITGB1)	[13.66311864]	6.255297447122532	[2.18424763]	0.0	SPP1
SPP1 - CD44	[15.31545624]	6.3340893512483945	[2.4179413]	0.0	SPP1
CDH1 - ITGA1	[19.79589103]	7.04042801074939	[2.81174539]	0.0	CDH1
MIF - ACKR3	[18.6800184]	11.902087328840446	[1.56947415]	0.0	MIF
COL1A2 - (ITGA9+ITGB1)	[59.6074778]	40.50579559484101	[1.47157899]	0.0	COLLAGEN
MIF - (CD74+CD44)	[26.51578646]	15.08063976495591	[1.75826668]	0.0	MIF
COL4A2 - (ITGA9+ITGB1)	[25.63572776]	17.189200881143456	[1.49138566]	0.0	COLLAGEN
IHH - PTCH2	[11.46457567]	6.038916998652733	[1.89844896]	0.0	HH
COL6A1 - (ITGA9+ITGB1)	[38.96693908]	24.62619944875859	[1.5823367]	0.0	COLLAGEN
IHH - PTCH1	[16.71681951]	6.513618867411061	[2.56644115]	0.0	HH
COL6A2 - (ITGA9+ITGB1)	[35.18967963]	22.49655247896505	[1.56422544]	0.0	COLLAGEN
CDH1 - ITGB1	[27.82691835]	11.481410222127359	[2.42364987]	0.0	CDH1
CDH1 - ITGAE	[11.93763616]	6.334010878293201	[1.88468829]	0.0	CDH1
COL9A2 - (ITGA9+ITGB1)	[15.90584584]	5.372394335090811	[2.96066239]	0.0	COLLAGEN
CXCL12 - ACKR3	[18.97927899]	12.25056837191324	[1.54925701]	0.0	CXCL
COL1A1 - (ITGA9+ITGB1)	[61.43094873]	40.42653620346703	[1.51956993]	0.0	COLLAGEN
LAMC1 - ITGB4	[14.4165908]	7.877776058603509	[1.83003308]	0.0	LAMININ
LAMA5 - (ITGA7+ITGB1)	[21.08527841]	11.337743438234453	[1.85974207]	0.0	LAMININ
COL9A3 - (ITGA3+ITGB1)	[7.21284265]	4.442468442906947	[1.62361146]	0.0	COLLAGEN
PTN - SDC4	[27.63329482]	9.545195064489878	[2.8949953]	0.0	PTN
PTN - SDC1	[21.20117027]	9.105689912869424	[2.3283431]	0.0	PTN
MDK - LRP1	[23.60248178]	16.69627861183506	[1.41363727]	0.0	MK
LAMB3 - (ITGA6+ITGB1)	[17.12439811]	9.338634434936026	[1.83371544]	0.0	LAMININ
COL6A2 - ITGA9	[29.59078824]	20.225381865813354	[1.46305214]	0.0	COLLAGEN
LAMA4 - (ITGA7+ITGB1)	[19.61455853]	11.512770997757778	[1.70372177]	0.0	LAMININ
NAMPT - (ITGA5+ITGB1)	[14.48697406]	5.6956029067080225	[2.54353653]	0.0	VISFATIN
LAMB1 - (ITGA7+ITGB1)	[21.11505256]	14.193996065107347	[1.48760451]	0.0	LAMININ
LAMB2 - (ITGA7+ITGB1)	[28.28908512]	15.740601881470575	[1.79720479]	0.0	LAMININ
COL2A1 - (ITGA1+ITGB1)	[18.75219543]	6.647889214558572	[2.82077436]	0.0	COLLAGEN
LAMC1 - (ITGA7+ITGB1)	[13.51512994]	8.806601584948208	[1.53465895]	0.0	LAMININ
MDK - SDC4	[43.64389684]	23.486837695869752	[1.85822789]	0.0	MK
MDK - SDC1	[40.36707197]	21.23382166522038	[1.90107427]	0.0	MK
TNXB - (ITGA9+ITGB1)	[10.67789736]	5.554902806997875	[1.92224738]	0.0	TENASCIN
LAMB2 - ITGB4	[24.16286447]	13.373137785422745	[1.80682087]	0.0	LAMININ
LAMB3 - (ITGA7+ITGB1)	[27.13384636]	9.6154542812801	[2.82189958]	0.0	LAMININ
DLL1 - NOTCH1	[9.58830755]	7.061552621545035	[1.35781861]	0.002	NOTCH
JAG1 - NOTCH1	[10.33229908]	7.101050777474782	[1.45503805]	0.002	NOTCH
SPP1 - (ITGAV+ITGB5)	[9.0578831]	5.45742126413481	[1.65973683]	0.002	SPP1
MDK - (ITGA6+ITGB1)	[42.19103385]	33.348989187248634	[1.26513681]	0.002	MK
SEMA3B - (NRP2+PLXNA2)	[20.07289646]	14.59492036325693	[1.37533443]	0.002	SEMA3
THBS1 - ITGB1	[17.33003174]	14.035964894551116	[1.23468759]	0.002	THBS
COL1A2 - (ITGA1+ITGB1)	[41.84829356]	32.543998980622305	[1.28589893]	0.002	COLLAGEN
COL1A1 - (ITGA1+ITGB1)	[42.6273053]	32.8413594870274	[1.29797627]	0.002	COLLAGEN
WNT5B - FZD7	[6.63089277]	4.633552200323968	[1.43106034]	0.002	ncWNT
COL4A5 - ITGA3	[7.50988479]	5.035769194222909	[1.49130838]	0.002	COLLAGEN
LAMB2 - CD44	[14.91046692]	11.898584535138461	[1.25312947]	0.002	LAMININ
TNXB - ITGA9	[8.16208294]	5.250567290050321	[1.55451449]	0.002	TENASCIN
LAMB1 - (ITGA9+ITGB1)	[16.42917972]	12.98074006797662	[1.26565817]	0.002	LAMININ
COL6A3 - (ITGA9+ITGB1)	[17.40465005]	13.548703226905339	[1.28459896]	0.002	COLLAGEN
COL2A1 - CD44	[9.28316954]	6.038156960084323	[1.53741773]	0.002	COLLAGEN
COL4A2 - CD44	[16.77079665]	13.978783935471144	[1.19973216]	0.002	COLLAGEN
COL2A1 - (ITGA3+ITGB1)	[9.32048424]	6.044207887668398	[1.54205223]	0.002	COLLAGEN
TNC - ITGB1	[14.54933384]	11.651094693092196	[1.24875252]	0.002	TENASCIN
LAMA4 - (ITGA3+ITGB1)	[13.92660603]	10.660579522110687	[1.30636482]	0.002	LAMININ
L1CAM - ITGAV	[8.09042256]	5.835346563366966	[1.38645108]	0.004	L1CAM
COL4A1 - (ITGA9+ITGB1)	[24.78455515]	18.38537867355398	[1.34805791]	0.004	COLLAGEN
COL6A1 - CD44	[23.4412986]	19.425113860821952	[1.20675219]	0.004	COLLAGEN
MDK - NCL	[22.50836416]	17.33814912960155	[1.29819879]	0.004	MK
COL9A2 - (ITGA3+ITGB1)	[8.39454542]	5.260218793481288	[1.5958548]	0.004	COLLAGEN
JAM2 - (ITGAV+ITGB1)	[3.99760307]	5.035253079900803	[0.79392297]	0.004	JAM
CD46 - JAG1	[10.04637856]	7.192358558748777	[1.39681281]	0.006	CD46
COL9A3 - ITGA1	[8.4369353]	6.6913874503324875	[1.26086486]	0.006	COLLAGEN
SEMA3C - PLXND1	[8.09045324]	6.288751883606299	[1.28649586]	0.006	SEMA3
COL9A3 - ITGA3	[6.94815992]	4.879190906099277	[1.42403937]	0.006	COLLAGEN
LAMA5 - (ITGA6+ITGB1)	[13.9680484]	11.036375016603891	[1.26563735]	0.006	LAMININ
FGF7 - FGFR2	[6.60291012]	4.901309511094183	[1.34717265]	0.006	FGF
LAMB2 - (ITGA6+ITGB1)	[18.47794277]	15.194983692078976	[1.21605545]	0.006	LAMININ
COL6A2 - CD44	[21.51353293]	17.82353789511956	[1.20702933]	0.006	COLLAGEN
FN1 - ITGA5	[23.25334108]	19.59203256444589	[1.18687742]	0.006	FN1
COL6A2 - ITGA1	[19.90379944]	16.450063342798916	[1.20995275]	0.006	COLLAGEN
THBS3 - ITGA3	[6.98919292]	5.21260219383614	[1.34082607]	0.006	THBS
LAMA5 - (ITGA3+ITGB1)	[13.41886003]	10.55030026672376	[1.27189366]	0.008	LAMININ
THBS2 - CD36	[11.7435]	9.511900780017806	[1.23461128]	0.008	THBS
JAM2 - ITGA3	[7.07209639]	4.882960616728589	[1.44832141]	0.008	JAM
COL4A1 - ITGA9	[20.23891199]	16.606788714841418	[1.21871316]	0.008	COLLAGEN
LAMA4 - (ITGA6+ITGB4)	[26.49781382]	19.199603295087442	[1.38012299]	0.008	LAMININ
COL1A1 - CD44	[36.12038049]	30.96433821341165	[1.1665155]	0.008	COLLAGEN
COL2A1 - ITGAV	[7.79115659]	6.101226962302951	[1.27698193]	0.01	COLLAGEN
LAMC1 - (ITGA9+ITGB1)	[10.74305752]	8.425476339750078	[1.27506827]	0.01	LAMININ
LAMB1 - ITGA9	[14.0115565]	11.593835788591162	[1.20853501]	0.01	LAMININ
LAMA4 - ITGA1	[10.61508463]	8.874999783401233	[1.1960659]	0.012	LAMININ
NCAM1 - FGFR1	[6.23873977]	7.285909693273954	[0.85627465]	0.012	NCAM
LAMB3 - ITGA3	[10.27267854]	8.290416238103145	[1.23910287]	0.012	LAMININ
NAMPT - ITGB1	[17.09132764]	14.086392177262773	[1.21332187]	0.012	VISFATIN
GAS6 - TYRO3	[7.62898993]	6.095766659175027	[1.25152263]	0.013999999999999999	GAS
COL6A3 - ITGA9	[14.92458358]	12.231380034857173	[1.22018804]	0.013999999999999999	COLLAGEN
FN1 - CD44	[24.50327353]	21.291909081265672	[1.15082558]	0.013999999999999999	FN1
SEMA4D - PLXNB2	[14.6675651]	12.433012876158474	[1.17972733]	0.013999999999999999	SEMA4
THBS1 - SDC4	[7.63250522]	6.076323862038662	[1.25610573]	0.016	THBS
COL4A5 - ITGB1	[14.94521243]	12.43359672398612	[1.20200235]	0.018000000000000002	COLLAGEN
LAMC1 - (ITGA6+ITGB4)	[16.86072756]	13.599514648139673	[1.23980362]	0.018000000000000002	LAMININ
GRN - SORT1	[12.60594327]	10.347623618256307	[1.21824525]	0.018000000000000002	GRN
CLCF1 - CNTFR	[6.25817127]	4.746162780884093	[1.31857493]	0.018000000000000002	LIFR
MDK - ITGA6	[33.03940728]	28.642366108288908	[1.15351529]	0.022000000000000002	MK
HSPG2 - DAG1	[13.31789379]	11.253979844521767	[1.18339414]	0.022000000000000002	HSPG
THBS2 - CD47	[11.28976541]	9.218539049984566	[1.22468054]	0.022000000000000002	THBS
SEMA3C - PLXNA2	[6.61928052]	5.302973572211542	[1.24822054]	0.022000000000000002	SEMA3
COL1A2 - CD44	[35.73089738]	31.153764254195327	[1.14692071]	0.024	COLLAGEN
TNXB - ITGB1	[15.11757902]	12.83953507976079	[1.17742418]	0.024	TENASCIN
LAMB2 - DAG1	[13.3567026]	11.578443472984828	[1.15358361]	0.024	LAMININ
SEMA3F - (NRP2+PLXNA1)	[5.74133795]	4.300533010214506	[1.33502939]	0.024	SEMA3
FN1 - ITGAV	[18.69190988]	21.11051853537829	[0.88543111]	0.024	FN1
LAMA5 - ITGB1	[11.42544036]	9.74079930804348	[1.1729469]	0.026000000000000002	LAMININ
LAMC1 - (ITGA1+ITGB1)	[9.78808231]	8.052512308983482	[1.21553149]	0.026000000000000002	LAMININ
PTN - SDC2	[10.60095189]	8.928501899642708	[1.18731586]	0.026000000000000002	PTN
