ip	d_ori	d_shu	d_rat	p_val	pathway	ip_type
BMP4 - (BMPR1A+BMPR2)	14.122212362666563	8.344656440842726	1.6923659425384756	0.0	BMP	Secreted Signaling
IHH - PTCH2	16.75509677003383	9.168758017404565	1.8274118193793012	0.0	HH	Secreted Signaling
CNTN2 - CNTNAP2	3.9529874124555295e-23	2.9035080009270207	1.3614522195886615e-23	0.0	CNTN	Cell-Cell Contact
LAMA5 - ITGB4	18.85484935377524	13.685022006388788	1.377772673290035	0.0	LAMININ	ECM-Receptor
BMP4 - BMPR2	14.605169060974175	10.059535836270555	1.4518730584281963	0.002	BMP	Secreted Signaling
SEMA3A - NRP1	22.84971683802642	12.941842777295012	1.7655690330370606	0.002	SEMA3	Secreted Signaling
COL6A3 - SDC4	56.56434502670501	43.381873469545006	1.3038704994244745	0.002	COLLAGEN	ECM-Receptor
THBS3 - SDC4	13.484100635371824	7.9603084586145885	1.6939168507696996	0.002	THBS	ECM-Receptor
COL6A2 - ITGAV	30.48077167960384	38.403746539644345	0.7936926582967215	0.002	COLLAGEN	ECM-Receptor
LAMC3 - ITGB4	10.422525686893454	6.416635354564856	1.6242976436986978	0.002	LAMININ	ECM-Receptor
COL1A1 - (ITGA2+ITGB1)	278.9409016410202	352.30413059355686	0.7917616553943454	0.002	COLLAGEN	ECM-Receptor
MDK - ITGB1	31.980283094948838	41.78134002714867	0.7654202348265684	0.002	MK	Secreted Signaling
LAMB2 - ITGB4	26.01157398558963	19.73759769836754	1.317869296106942	0.002	LAMININ	ECM-Receptor
SEMA3B - (NRP2+PLXNA1)	20.710354539246033	13.083838092849867	1.5828959661740198	0.002	SEMA3	Secreted Signaling
LAMC1 - SV2A	33.349055370273035	25.23330010376544	1.321628769647	0.002	LAMININ	ECM-Receptor
LAMC3 - SV2A	9.433263960936065	6.41880292237106	1.4696297853387723	0.002	LAMININ	ECM-Receptor
SEMA3B - (NRP1+PLXNA2)	19.435989550291584	13.04216658178057	1.4902423940392657	0.002	SEMA3	Secreted Signaling
LAMA2 - (ITGA2+ITGB1)	3.5819083296729777	5.791525903393516	0.6184740238447654	0.002	LAMININ	ECM-Receptor
LAMA4 - (ITGA9+ITGB1)	27.88419945482533	22.03552206822149	1.2654204138434508	0.002	LAMININ	ECM-Receptor
SEMA3B - PLXNA1	19.692235950091213	12.604218711539648	1.5623527646392086	0.002	SEMA3	Secreted Signaling
NRXN2 - NLGN3	7.105668123831727	3.9063917148760545	1.8189850487272963	0.002	NRXN	Cell-Cell Contact
DLL1 - NOTCH2	20.82515101259685	13.17004414139961	1.5812514209526194	0.002	NOTCH	Cell-Cell Contact
LAMC1 - (ITGA9+ITGB1)	24.653621212885856	18.001422302808546	1.3695374064436812	0.002	LAMININ	ECM-Receptor
COL1A2 - ITGAV	134.33865944261336	179.89710094610558	0.7467527755372733	0.002	COLLAGEN	ECM-Receptor
COL4A1 - ITGB1	23.081595499786822	29.33831491078061	0.7867389647285195	0.002	COLLAGEN	ECM-Receptor
COL4A2 - (ITGA9+ITGB1)	34.15635621538236	26.19701981024844	1.3038260253565246	0.002	COLLAGEN	ECM-Receptor
COL2A1 - (ITGA9+ITGB1)	17.658056708902883	10.884288094033378	1.6223437450707314	0.002	COLLAGEN	ECM-Receptor
COL1A2 - (ITGA9+ITGB1)	160.74138876840433	203.30814401300913	0.7906293648429497	0.002	COLLAGEN	ECM-Receptor
COL4A1 - ITGA1	40.80100637518045	32.35774478152509	1.260934797856373	0.002	COLLAGEN	ECM-Receptor
BMP2 - (BMPR1A+ACVR2A)	7.23106741139396	4.426474952145898	1.6335950139937947	0.002	BMP	Secreted Signaling
TNXB - ITGA9	13.019593130706074	8.989881026797326	1.4482497701467743	0.002	TENASCIN	ECM-Receptor
COL4A5 - SDC4	15.138125358424894	10.023135657222065	1.510318315158917	0.002	COLLAGEN	ECM-Receptor
LAMC3 - ITGA1	14.871292896481895	10.678662931362163	1.3926175020288727	0.002	LAMININ	ECM-Receptor
ITGA9 - ITGB1	31.735877605963207	25.063143481718974	1.266236919926318	0.002	VCAM	Cell-Cell Contact
MDK - SDC4	94.74970926608273	71.97047746954706	1.3165079987995671	0.002	MK	Secreted Signaling
PYY - NPY1R	41.02758210208179	27.430375010059187	1.4956989135961967	0.002	NPY	Secreted Signaling
LAMC1 - CD44	21.109248978532914	16.175924766699424	1.3049794236178374	0.002	LAMININ	ECM-Receptor
LAMB2 - ITGA9	20.09683125473877	14.95589810179113	1.3437395145352027	0.002	LAMININ	ECM-Receptor
COL1A2 - CD44	158.92619063385035	198.49184551361273	0.8006686129730759	0.002	COLLAGEN	ECM-Receptor
COL1A1 - ITGA2	249.08987248316095	317.6248131223202	0.7842267423459583	0.004	COLLAGEN	ECM-Receptor
SEMA3G - PLXNA1	12.194927938155594	8.856004138092521	1.3770237398265532	0.004	SEMA3	Secreted Signaling
FN1 - SDC4	101.60043539316426	81.41098535764557	1.2479941735973918	0.004	FN1	ECM-Receptor
COL1A2 - ITGA9	159.72126956157928	195.97657450630825	0.8150018437863757	0.004	COLLAGEN	ECM-Receptor
TNC - ITGA9	6.72215728677644	9.059374143701069	0.7420112228669039	0.004	TENASCIN	ECM-Receptor
COL9A3 - SDC1	12.345967627069893	7.832410743314722	1.5762666223305095	0.004	COLLAGEN	ECM-Receptor
LAMA3 - (ITGA3+ITGB1)	3.234739303136792	4.874130691346874	0.6636546100168136	0.004	LAMININ	ECM-Receptor
COL1A2 - (ITGA2+ITGB1)	281.0245827659064	356.16466631021655	0.7890299329162996	0.004	COLLAGEN	ECM-Receptor
SEMA3B - PLXNA2	16.92058596782224	11.962381482906087	1.4144830602502763	0.004	SEMA3	Secreted Signaling
COL4A1 - SDC4	55.84518637754361	42.878604385896075	1.3024021461834843	0.004	COLLAGEN	ECM-Receptor
LAMB2 - (ITGA9+ITGB1)	23.13197413874599	17.111726765691774	1.3518199802678321	0.004	LAMININ	ECM-Receptor
BMP5 - (BMPR1A+BMPR2)	8.712723732689202	5.844825428399335	1.4906730473685457	0.004	BMP	Secreted Signaling
ANGPTL4 - ITGAV	7.843492829384785	9.88287510640232	0.7936448396786495	0.004	ANGPTL	Secreted Signaling
SEMA3A - (NRP1+PLXNA3)	14.019251624445358	10.280850360962779	1.363627631200391	0.004	SEMA3	Secreted Signaling
LAMA3 - ITGB8	2.1179398519031665	3.577108298673358	0.5920815572423812	0.004	LAMININ	ECM-Receptor
FGF2 - FGFR4	11.232369466143505	7.224857864186892	1.5546837982545738	0.004	FGF	Secreted Signaling
PTN - NCL	33.03658451118373	25.252429497701844	1.3082537073983438	0.004	PTN	Secreted Signaling
NAMPT - INSR	6.330120006087263	8.362342252563314	0.7569793025568748	0.004	VISFATIN	Secreted Signaling
MDK - LRP1	35.39866062027325	45.32738503689511	0.7809552788333105	0.004	MK	Secreted Signaling
THBS3 - SDC1	12.016735390108465	8.178884351462635	1.4692389418563554	0.006	THBS	ECM-Receptor
LAMB2 - SV2A	27.994863727834563	22.65172383175372	1.2358822637856242	0.006	LAMININ	ECM-Receptor
COL4A6 - SDC1	9.58914515588753	6.921420598320495	1.3854302046337665	0.006	COLLAGEN	ECM-Receptor
THBS4 - (ITGA3+ITGB1)	7.351297893522655	4.858159581522305	1.5131857589616529	0.006	THBS	ECM-Receptor
SEMA3A - PLXNA4	22.812652695225445	15.75148159569828	1.4482861536946192	0.006	SEMA3	Secreted Signaling
WNT2B - (FZD10+LRP6)	4.097675972822803e-30	6.428220787535744	6.374510316708717e-31	0.006	WNT	Secreted Signaling
LAMB2 - (ITGA1+ITGB1)	21.976360292834137	16.864849810279818	1.3030866292944183	0.006	LAMININ	ECM-Receptor
SEMA3G - PLXNA2	9.387561026676236	6.865964012970575	1.3672604471771308	0.006	SEMA3	Secreted Signaling
SEMA3G - PLXNA3	12.141911775678409	8.883202250429845	1.3668395060003142	0.006	SEMA3	Secreted Signaling
COL1A2 - ITGA1	146.15681404006327	181.12485401079775	0.8069395823024383	0.006	COLLAGEN	ECM-Receptor
SPP1 - (ITGAV+ITGB1)	16.667219660949396	12.705938970717549	1.3117660724926448	0.006	SPP1	Secreted Signaling
COL6A3 - ITGA1	39.59171956977555	33.23123387736983	1.1914008283856456	0.006	COLLAGEN	ECM-Receptor
SEMA3B - PLXNA3	17.69584464631389	12.117672017649229	1.460333686250967	0.006	SEMA3	Secreted Signaling
LAMC1 - ITGB4	27.49317250214569	21.96160223129831	1.2518746224701278	0.008	LAMININ	ECM-Receptor
NRG1 - ERBB3	18.74832215260497	13.784865264206575	1.3600656802418214	0.008	NRG	Secreted Signaling
COL6A1 - SDC4	63.53285891775634	52.39622583573767	1.2125464745673105	0.008	COLLAGEN	ECM-Receptor
LAMB2 - ITGA6	12.984799665533409	15.693697113570998	0.8273894654373639	0.008	LAMININ	ECM-Receptor
LAMB3 - (ITGA2+ITGB1)	14.795128059306972	10.225943739100577	1.4468227516972705	0.008	LAMININ	ECM-Receptor
COL9A1 - SDC4	9.76674553594377	6.798177985565444	1.4366710546092611	0.008	COLLAGEN	ECM-Receptor
LAMA4 - SV2A	43.93294130600499	34.48926901941715	1.2738147996488745	0.008	LAMININ	ECM-Receptor
CXCL12 - ACKR3	28.50404736477175	23.11225450011394	1.2332871881724574	0.008	CXCL	Secreted Signaling
SEMA3B - PLXNA4	26.316421502608677	18.741521171785998	1.404177455041704	0.008	SEMA3	Secreted Signaling
MDK - ITGA6	56.73341549301151	65.67028147108387	0.8639130855254905	0.008	MK	Secreted Signaling
