Endothelial	Epithelial	Fibroblasts	Muscle	Myofibroblast_Mesothelium	Neural	Pericytes
PYY / NPY1R	0.865572656102797	5.55111260842221	11.1354078421476	0	4.62679054111199	1.75989315533611	92.9532476349339
CCL28 / CCR10	6.32814023055691	3.90773753932094	10.916589049179	15.7184799512638	12.9955602430913	21.6921522429693	100
ITGB2 / ICAM1	100	10.8402191801444	13.7270079206717	5.49781294490783	15.3822782932167	7.50897941146654	32.8801847887339
LTA / TNFRSF14	67.3886915339258	100	20.2912070669874	23.4274105913859	35.989715944465	7.28417524378748	19.9934036987708
TNFSF14 / TNFRSF14	67.3886915339258	100	20.2912070669874	23.4274105913859	35.989715944465	7.28417524378748	19.9934036987708
EDN3 / EDNRA	4.58510374626169	3.96842609315664	23.514232960074	20.3975981507735	22.4889905480803	12.728907607092	97.8646323935651
EDN3 / EDNRB	23.543313213742	52.1379581218595	16.2997486209573	1.93822664485182	41.1759418553376	97.8646323935651	14.0955070979331
VSIR / IGSF11	1.30046200559456	2.9922974374265	5.40091299274062	0	10.6249914912832	88.2656424119946	0
GZMA / F2R	45.4561847550998	8.46405578293372	27.8760182309939	9.86720562892893	100	14.2285914286534	34.4089712494275
NAMPT / INSR	100	75.8049038918388	36.2882306686439	83.3173571835682	25.3729818055345	35.4523747256522	19.9419124985234
TGFA / EGFR + ERBB2	12.6563625402971	95.9061480514139	43.8274884317411	36.1421716660815	84.1189372303142	18.000317712761	54.5692890423865
OSM / OSMR + IL6ST	100	17.0216482476416	39.1863408946622	15.1681187520241	61.0829697035503	18.7195678358782	31.5910746435303
CXCL2 / ACKR1	85.7990448488477	5.48963266322539	5.86720936466665	4.52664401272725	3.14921362398593	3.31902596740729	3.39511265808628
WNT11 / FZD10	2.5209345893925	4.57554901849747	28.8894725649273	8.06146066594853	62.1617875945531	0	73.9562959165396
NAMPT / ITGA5 + ITGB1	100	11.5255592101039	35.743094878711	54.8152197978518	51.2035796054575	10.3514307782381	35.4285377085816
CD96 / NECTIN1	47.216238307108	100	72.253505147936	0	49.2223971395067	42.2915355667955	61.0048963215833
SEMA6B / PLXNA2	100	77.4453261569992	16.2879051581169	43.6931604425322	65.9736729659014	31.6340741617631	32.0165654457654
LIF / LIFR + IL6ST	100	18.3559692139985	25.1400012504052	13.8817325238425	38.4308373310057	24.581344863822	28.4973670706579
OSM / LIFR + IL6ST	100	18.3559692139985	25.1400012504052	13.8817325238425	38.4308373310057	24.581344863822	28.4973670706579
WNT11 / FZD2	14.6227331378706	8.37300567758026	73.0897007331766	73.718163130607	73.9562959165396	24.7898878052592	35.3296479501028
ITGA4 / ITGB1 + VCAM1	37.6874614701904	19.161097908809	79.1689097316681	52.3690099351643	97.9229792173338	36.4526234939252	78.2690522557865
CD226 / PVR	61.7308321707287	100	22.3954637861413	30.1055000728874	33.9972644973567	28.7252184735045	27.0668603585389
CD96 / PVR	61.7308321707287	100	22.3954637861413	30.1055000728874	33.9972644973567	28.7252184735045	27.0668603585389
WNT11 / FZD9	73.9562959165396	26.9079289897601	10.8583348556229	0	0	46.9246381974696	42.1461002698803
HLA-E / CD8B	4.61973310538781	77.8998234059559	17.5253924679162	0	5.97751688606707	16.592739631696	5.53303335399703
SEMA4D / PLXNB1	37.5949299076352	95.8047060764708	30.6162000853339	20.3503559798376	15.6290420188315	50.4864443243206	37.1419848714967
WNT11 / FZD6	73.9562959165396	7.49626576013814	2.64025096105445	9.48005701335305	1.85653355155523	1.28550471059908	0
CCL19 / ACKR4	43.4537745043588	9.23900250026557	68.8639661666045	0	5.14388176747405	14.2846758672221	0
SEMA7A / ITGB1 + ITGA1	60.1873507115464	17.2242799379026	28.6350331901761	74.8959060033925	58.9181172522034	58.0395699257314	94.0484708117752
CD226 / NECTIN2	100	90.4518350532237	51.0680452961545	25.7863841309867	59.5774729106583	50.9495036601884	72.872634527261
TGFB1 / ACVR1B + TGFBR2	95.2333760096495	37.696236696429	30.6577668356977	17.8156321307241	32.041021391204	42.3569553214373	42.8292101139671
WNT11 / FZD4	73.9562959165396	3.00817078306743	16.0800985697363	21.8195373811486	8.75175663348879	2.94682890921399	22.592176000126
WNT11 / FZD8	41.3848363426768	14.1450067841136	42.4232106600753	0	73.9562959165396	48.0062314889055	27.0615924073372
WNT11 / FZD5	23.2762461353691	73.9562959165396	9.585860622621	8.0634535977929	4.61921186833782	23.3096508974187	20.7927490939285
GZMA / PARD3	32.2317768684549	35.8127174135767	63.6103767183652	63.5420268048251	77.7625796278889	53.8090695533449	100
TGFB1 / ACVR1 + TGFBR1	51.255023716936	19.5071493514421	48.1562608055009	90.9801780197899	73.6864699090314	42.6586559948871	42.9317658725274
WNT11 / FZD1	11.7056116351816	8.79567265166691	44.6484432600723	22.6942985590024	73.9562959165396	18.3978599823732	32.6175072619442
ADGRE5 / CD55	43.0839546332909	82.1688504960055	22.1500717669169	13.864230142232	34.4050123542409	24.596299348706	47.601628833366
WNT11 / FZD7	7.90001467911458	17.8050777017309	51.154886085186	73.9562959165396	42.8113992609087	28.1754803257942	35.8678964252348
TNFSF14 / LTBR	100	59.5945041410858	69.6522885353925	91.5569335796747	77.5345425567058	36.5377556336821	86.8308521950841
TGFB1 / TGFBR1 + TGFBR2	80.3986297222307	14.1375880844398	22.7505052817612	37.2091185795155	29.6723696013308	39.7624794366524	26.4686593357807
IL16 / CD4	13.7504525638381	2.68819370409979	13.7106427781639	7.68653372437162	58.2408741426031	2.80564526833286	41.2132851028655
HLA-DPA1 / CD4	13.7504525638381	2.68819370409979	13.7106427781639	7.68653372437162	58.2408741426031	2.80564526833286	41.2132851028655
HLA-DPB1 / CD4	13.7504525638381	2.68819370409979	13.7106427781639	7.68653372437162	58.2408741426031	2.80564526833286	41.2132851028655
HLA-DQA1 / CD4	13.7504525638381	2.68819370409979	13.7106427781639	7.68653372437162	58.2408741426031	2.80564526833286	41.2132851028655
HLA-DMA / CD4	13.7504525638381	2.68819370409979	13.7106427781639	7.68653372437162	58.2408741426031	2.80564526833286	41.2132851028655
HLA-DMB / CD4	13.7504525638381	2.68819370409979	13.7106427781639	7.68653372437162	58.2408741426031	2.80564526833286	41.2132851028655
HLA-DQA2 / CD4	13.7504525638381	2.68819370409979	13.7106427781639	7.68653372437162	58.2408741426031	2.80564526833286	41.2132851028655
HLA-DOA / CD4	13.7504525638381	2.68819370409979	13.7106427781639	7.68653372437162	58.2408741426031	2.80564526833286	41.2132851028655
HLA-DOB / CD4	13.7504525638381	2.68819370409979	13.7106427781639	7.68653372437162	58.2408741426031	2.80564526833286	41.2132851028655
HLA-DQB1 / CD4	13.7504525638381	2.68819370409979	13.7106427781639	7.68653372437162	58.2408741426031	2.80564526833286	41.2132851028655
HLA-DRA / CD4	13.7504525638381	2.68819370409979	13.7106427781639	7.68653372437162	58.2408741426031	2.80564526833286	41.2132851028655
HLA-DRB1 / CD4	13.7504525638381	2.68819370409979	13.7106427781639	7.68653372437162	58.2408741426031	2.80564526833286	41.2132851028655
HLA-DRB5 / CD4	13.7504525638381	2.68819370409979	13.7106427781639	7.68653372437162	58.2408741426031	2.80564526833286	41.2132851028655
WNT4 / FZD9 + LRP6	50.3364089257167	14.7906283004538	11.9410254281048	0	0	48.8453957506873	25.6133354993243
CXCL6 / ACKR1	58.4179408474495	3.73772268397035	3.99480309143909	3.08205321677906	2.14420306806554	2.25982308983422	2.31162818630346
WNT11 / FZD3	16.119964324921	16.3356356004465	23.4536722704338	33.3123979176909	41.660009452626	73.9562959165396	18.5830394254105
ENTPD1 / TMIGD3	56.3417875612154	0	8.793689923984	14.1617071948116	0	27.8269911680426	0
RETN / CAP1	96.8029195246055	58.6984423604404	50.134656883592	84.0879496756994	54.7923403381937	81.7089220586609	100
ENTPD1 / ADORA2B	0	56.3417875612154	3.14402975503716	0	12.3509497349487	16.1260735224408	3.96849985161582
SEMA7A / PLXNC1	16.0833066744783	45.7714937870524	17.2843709311431	58.9393885795415	57.7452879279479	16.6250232513761	26.5812474677794
TNF / TNFRSF1A	100	68.1789376328529	59.0937139317549	61.6097284210752	70.485989285449	35.5001058504418	76.7584681859774
LTA / TNFRSF1A	100	68.1789376328529	59.0937139317549	61.6097284210752	70.485989285449	35.5001058504418	76.7584681859774
WNT4 / FZD9 + LRP5	50.4764000546347	36.9882089829206	16.9299857040227	0	0	27.3771708837032	33.7578563361896
IL11 / IL11RA + IL6ST	82.5791338309387	25.1284556557673	57.6658017629973	45.7235221663261	69.9314570798261	57.2084648055506	44.8928185651708
CXCL1 / ACKR1	50.6329943762392	3.23962277498994	3.46244389187247	2.67132974782451	1.85846026600606	1.95867242389916	2.00357382097232
IL1A / IL1R1 + IL1RAP	0	11.0650204229647	16.2477359634202	3.80519132563956	24.5181303107868	0	50.1386851911589
IL1B / IL1R1 + IL1RAP	0	11.0650204229647	16.2477359634202	3.80519132563956	24.5181303107868	0	50.1386851911589
CD46 / JAG1	36.5993537713718	18.1707897287255	7.94076275978718	9.4681294732337	21.5802078260384	19.1724918705472	58.1044153456126
RETN / TLR4	47.3816013493772	2.4830465487957	0.662152702596862	0	1.1462378318226	1.94142402046102	0
WNT4 / FZD10 + LRP5	9.31926339480286	15.2526313075225	27.6149831528785	17.7966825767164	44.1215496994897	0	44.7181407277224
BMP7 / BMPR1A + ACVR2B	27.5981280086532	29.2474464478942	37.4539664487801	24.8590197951152	60.663720529291	64.5114868890558	56.443496202133
WNT4 / FZD6 + LRP6	50.3364089257167	7.80672666993043	5.88820080868749	12.6483262495248	4.91529539760046	8.08462727532833	0
WNT4 / FZD6 + LRP5	50.4764000546347	19.522959516944	8.34829103360476	19.299126791249	7.62500989418514	4.53132212455454	0
WNT4 / FZD5 + LRP5	28.3176538350023	61.3212136967921	15.9070824146667	17.7988822639147	12.027433147259	19.2954976976741	23.7111227634328
WNT4 / FZD8 + LRP6	37.6543603454922	10.7237842190664	23.6027047992346	0	31.023143208525	49.4051217378326	20.5240996426605
WNT4 / FZD3 + LRP6	23.5004777621958	11.5242986687861	17.5495277388689	23.7099442261378	23.2840167997867	61.3212136967921	17.0077089138812
THBS1 / CD36	45.0596855392343	1.33877500563198	2.29849661547222	1.29065028524424	1.05922575276305	0.992041470597095	2.66798311756149
CCL2 / ACKR2	0	43.8467911993298	0	0	0	9.46418705975372	0
GRN / SORT1	45.5654023225244	47.5527392809997	14.3813528002376	37.4669861010401	9.81150281176819	20.3439349828646	46.3191676584143
CCL2 / ACKR1	43.8467911993298	2.80542490384958	2.99838190959472	2.3132986527928	1.60937586725186	1.69615686088859	1.73504024525641
BMP7 / BMPR1A + ACVR2A	22.4764910208602	35.269704147995	50.2849008987719	42.6357151831422	60.2912652129755	65.0831953808414	60.3048356576999
MAG / MAG	31.2874603074041	0	9.3152661420266	22.2102726621884	17.8640376346714	40.6023900306566	0
SEMA4D / PLXNB2	95.8047060764708	76.8430620910548	88.8233556001261	88.7918301652916	94.2373206781787	51.1413614652959	82.1633976654062
PDGFB / PDGFRA	4.27450366387291	2.39769616795806	26.3761881023021	2.48823602366557	39.4420285238609	3.37744015797574	2.74581762583225
THBS1 / SDC4	3.45845650162821	45.0596855392343	6.64402873462592	9.53108560304291	9.10971897089345	3.36365215292455	4.21453150964304
WNT4 / FZD4 + LRP6	50.3364089257167	4.94535794186569	14.5312963956852	19.1889121160207	10.6720005288286	12.2405414010311	18.75281509758
WNT4 / FZD8 + LRP5	37.7590812925353	26.8178987210707	33.4639145719272	0	48.1256475509499	27.6908895825206	27.0503467689654
SEMA4A / NRP1 + PLXNA2	49.01213028046	7.97806345400757	8.80276897276933	9.57460692223471	13.209419365747	12.6240220587616	14.536433213354
THBS1 / SDC1	9.19866600656301	45.0596855392343	17.4117486654469	0	26.4997430042086	17.147888190703	11.7669659088188
WNT4 / FZD4 + LRP5	50.4764000546347	12.3672861850948	20.6024718497658	29.2789133208143	16.5552836687684	6.86065469416033	24.7158296887937
WNT4 / FZD2 + LRP5	22.4447656451776	20.6330703584109	43.9241198563036	53.8169941443682	48.1256475509499	19.8987309967367	30.9076380355051
MIF / ACKR3	10.468446329493	13.9810834597983	6.77700076274074	4.40073921801486	42.9271450972956	5.15774021400079	25.0142038132738
ITGB2 / CD226	29.2913255392708	6.73690348128697	0	0	7.77142488218442	32.1648996242667	0
BMP7 / ACVR1 + BMPR2	52.2337541064491	16.2555023005102	31.3486921541383	45.758072970551	52.9309294201652	28.1271458410499	30.9373816011608
SEMA4A / PLXNB1	19.232955018379	49.01213028046	15.662750283658	10.4109113151645	7.99556383977973	25.8280442366339	19.0012357007143
SEMA3E / PLXND1	38.6990393168357	1.06884849021022	3.01121248049583	1.01393496507856	4.48530767327961	2.37649625939019	4.11832421136979
GAS6 / MERTK	40.7177525320135	7.98530979054	5.32464022154254	4.75633727444677	4.76579083194985	1.94581089122616	4.55054330024642
HBEGF / EGFR	3.39095937317374	31.4835616061445	10.594247773941	5.85393951101101	34.2287437014628	3.24209653935724	24.6249862622798
PDGFB / PDGFRB	2.69878145159828	1.91319333682029	12.7021396063582	3.60260889510757	8.45960880420866	2.77033023340266	39.4420285238609
BMP7 / ACVR1 + ACVR2B	52.2337541064491	31.2162613686412	33.8237351969712	24.0424929389159	60.663720529291	47.7116011514034	44.1968873687009
GAS6 / AXL	3.26325601169711	3.51881000572052	14.859852148852	27.6339040615325	19.4525479704825	18.8551404588867	39.0233397982204
HBEGF / ERBB4	0	0.437792450746242	0	6.15371346528137	0	34.2287437014628	11.4322960287102
BMP7 / BMPR1A + BMPR2	27.5981280086532	15.2302650020542	34.7132821764573	47.3121004818954	52.9309294201652	38.0310858651214	39.5098859868055
WNT4 / FZD10 + LRP6	9.29341737167304	6.09913284467492	19.4773475766643	11.6636493362805	28.4419893459138	0	33.9293090757443
ADM / CALCRL	34.0200615879713	1.03572876323713	2.92043714981021	0.743225840065234	3.54521449347508	1.64848851544569	2.06113076991487
WNT4 / FZD7 + LRP5	16.4973712278183	30.0881234919822	36.7467163517839	53.9038469448894	36.6158163991749	21.214058621834	31.1421875660916
TNF / TNFRSF1B	33.9426126518275	2.95218073188417	5.17397763871281	0	6.15504456087164	0.209839580882619	4.43839092392219
LTA / TNFRSF1B	33.9426126518275	2.95218073188417	5.17397763871281	0	6.15504456087164	0.209839580882619	4.43839092392219
CD99 / CD99L2	36.1354459627517	8.39498143569094	27.7840225579435	17.2042016623516	39.6602861976095	38.4513711563154	28.8107846339798
CXCL10 / ACKR1	30.9153534771416	1.97803990175252	2.11408940219106	1.63105311912489	1.13473352217467	1.19592078400143	1.22333655467104
THBS1 / CD47	18.9549527386981	16.6616149167352	14.5677651490271	12.9333812634074	23.7852439108685	45.0596855392343	16.614657961452
RARRES2 / CMKLR1	22.2403896074042	1.86205355984267	9.14100887027644	0	0	0	25.1115751292711
AREG / EGFR	2.74598532297025	25.4952621282475	8.57917942789272	4.7404967768006	27.7182995973074	2.62543679619351	19.9412152765712
SEMA4A / NRP1 + PLXNA3	39.6045616157709	6.79001871381647	16.2821924311821	11.3386395210144	12.6155531753044	22.4450294989331	23.344766105306
HBEGF / EGFR + ERBB2	4.33211389584624	32.827469610464	15.0015986860889	12.3710113077257	28.7928554289586	6.16128261534999	18.6783820860289
WNT4 / FZD1 + LRP5	20.0815787908123	21.1474348266408	34.330342534381	29.8600524852959	48.1256475509499	17.1424051451508	29.6976132022742
EREG / EGFR	2.64531180913304	24.5605529718726	8.2646489270845	4.56670033882901	26.7020892793895	2.52918284122175	19.2101289902449
GUCA2A / GUCY2C	2.55724734989969	29.5557086455665	2.8170891868264	0.772628373074128	1.35442579918912	1.44632008742812	1.28855131736499
SPP1 / ITGA9 + ITGB1	22.3655371941093	5.44504830545896	10.6023387307438	31.3615882287682	19.9429390549418	2.84789332707091	8.12550120655871
EDA / EDAR	0	0.628052177629455	0.757626080767439	0	27.6128038190578	0	0
TGFB1 / ACVR1C + TGFBR2	25.5132136906816	37.696236696429	9.5583096551007	12.9139815264847	14.0577513258503	9.01004933691699	18.0950840479217
CCL25 / ACKR4	17.1130799728582	3.63852830875766	27.1201886073002	0	2.02577707142289	5.62562868911669	0
CCL21 / ACKR4	16.7973572924126	3.57140036262874	26.6198427516818	0	1.98840309970131	5.52184032537759	0
CCL8 / ACKR4	16.7430752069419	3.5598590792971	26.5338184709387	0	1.98197740635387	5.50399602979704	0
SPP1 / ITGA5 + ITGB1	32.8968952031059	3.79155113491982	11.7583684645963	18.0325054122515	16.8443879230463	3.40529933513905	11.654888921985
IGF1 / ITGA6 + ITGB4	28.6124359683793	11.1339981344604	1.80322025577351	0.975265831136043	2.36869664556181	4.6237883750164	1.64481961794321
WNT4 / FZD5 + LRP6	28.2391177206126	24.5207676624935	11.2195532188407	11.6650909746319	7.75322099434302	34.4263556396327	17.9905067536649
CCL8 / ACKR2	0	26.5338184709387	0	0	0	5.72723828927191	0
EREG / ERBB4	0	0.341525041281877	0	4.80055615779734	0	26.7020892793895	8.91841640141711
GUCA2B / GUCY2C	2.37726729622435	27.4755664846409	2.61882136456309	0.718250490519112	1.25910078964443	1.34452752247454	1.19786257922948
SCT / SCTR	3.58565647152038	26.4454641610572	3.40973044676071	0	1.7149481754205	0	13.8035768374168
SEMA4A / NRP1 + PLXNA1	36.1970410026375	6.90039170904211	21.383599367531	10.8960572004427	15.9372462643924	21.8036706233536	25.6903775377341
SPP1 / ITGA8 + ITGB1	10.2739491463576	4.36088623065976	17.3730185105591	12.4268733771696	32.2136198528855	4.12828660495289	17.9991278492462
WNT4 / FZD2 + LRP6	22.3825173850488	8.25063128926527	30.9804769644088	35.2707615774302	31.023143208525	35.5026235033895	23.4507693442132
CCL8 / ACKR1	26.5338184709387	1.6976985794512	1.81446621564747	1.39988913312337	0.973911338666517	1.02642672391824	1.04995694435469
RARRES2 / GPR1	25.1115751292711	0.406558331707398	0	0	0	7.95189839174466	0
WNT4 / FZD7 + LRP6	16.4516174573462	12.0314625407668	25.9181243284657	35.3276834562571	23.6035829885938	37.8493852876005	23.6287307573518
TNFSF12 / TNFRSF12A	7.68312977496648	32.3846157045247	8.95584668801073	18.9951430432391	7.60857382477179	16.8794661896016	8.2764123529141
TNFSF10 / TNFRSF10B	18.4858837754799	26.969114353376	5.02370442865658	8.15643678467338	7.42237082045344	1.27661120720044	5.99464621597808
PDGFA / PDGFRA	2.53727080190451	1.42323061510404	15.6564450986752	1.47697349389413	23.4121000263231	2.00478955496957	1.62986943917287
SPP1 / ITGAV + ITGB5	20.8346559724368	14.5814514615897	13.8782604463635	9.01760215462803	23.3765507593494	7.44084892248053	32.8968952031059
THBS1 / ITGAV + ITGB3	37.1051060979332	22.6893687300552	27.8803200901166	20.3861958422339	35.5147551838948	27.1688491953018	45.0596855392343
AREG / EGFR + ERBB2	3.50812848704093	26.5835534491281	12.1482345494852	10.0179954233776	23.3163390395694	4.98938199209029	15.1256790248893
MDK / PTPRZ1	0.21300642172173	0.14804449798341	2.01615438619137	1.3016094947677	0.171763254688757	23.6076315484438	0
GAS6 / TYRO3	15.0816421181845	27.143773196884	36.5772254164047	24.9142270353738	30.4685624970452	40.7244505753048	21.9855011897351
EREG / EGFR + ERBB2	3.37951322503333	25.608945277112	11.7028550899576	9.65071494578728	22.4615137201121	4.80646090623521	14.5711402792261
SPP1 / ITGAV + ITGB6	0	23.3438261141689	8.11923269376049	0	0	9.73835241527696	7.04433794238523
CD99 / CD99	35.1900738051645	15.0955388767751	32.3739782805111	29.1814995827332	32.8227869393092	21.9594206798158	39.6602861976095
IL1A / IL1R2	7.3609190965024	23.8466117526651	1.88595108747607	9.36522199275019	0	0	5.06225909737382
IL1B / IL1R2	7.3609190965024	23.8466117526651	1.88595108747607	9.36522199275019	0	0	5.06225909737382
SPP1 / ITGA4 + ITGB1	5.02866965549628	2.48767132535544	10.50621919615	6.19758651880208	18.361744370197	10.2317708668556	26.0496092766615
NRXN2 / NLGN1	1.71307237329915	1.06832039100902	13.8134018903646	12.5028556172587	21.6284773740567	19.5701924474435	5.66270642638279
MDK / SDC2	2.77742872308682	4.33109037069818	9.6492928555081	4.23525538585394	19.760751922099	6.56512442334574	23.6076315484438
SEMA4A / NRP1 + PLXNA4	16.0732635216082	2.28665440714456	7.31156150978294	5.49037183107968	14.2742242508644	22.4450294989331	0
HBEGF / ERBB2 + ERBB4	0	3.87105742543667	0	12.6838098829475	0	20.0195189964958	12.726763901962
PRSS3 / F2RL2	3.38651305640437	1.18431767885468	6.29774286014019	0	12.7379510518157	21.4321759100816	0
PDGFA / PDGFRB	1.60194958674046	1.13563818717473	7.53976846886751	2.13844578903832	5.02147619988358	1.64441969537983	23.4121000263231
IHH / PTCH1	4.68420493986668	1.84849957620322	11.2939300295494	4.25333124624085	24.6291396147566	4.23856126196439	5.22476739035195
SEMA4A / PLXNB2	49.01213028046	39.3116614475083	45.4405848617304	45.4244569617291	48.2102813892431	26.1630891999864	42.0334586429168
MDK / SDC4	1.81195154470548	23.6076315484438	3.48093379896648	4.99351814111967	4.77275609896268	1.76228173217566	2.20807371019772
NECTIN1 / CADM3	0	0.0820290450517231	1.98514253015201	0	4.03630134687988	21.4487269988493	0.951517774468907
THBS1 / ITGA3 + ITGB1	31.3821877799966	27.5477075387646	15.6216325934636	9.90721108648023	15.1721825753833	17.9736807125157	25.5039240638759
PRSS3 / F2RL3	21.4321759100816	0.612041413512774	1.31663181087364	0	2.121745651052	0.930963054348825	1.06457762749219
COL9A2 / ITGA11 + ITGB1	7.55662838021252	5.13387197675402	11.1006105831258	0	22.3469586195056	0	10.8227556025739
NECTIN1 / NECTIN4	1.39535976899033	21.4487269988493	0.959929472235788	0	2.63566660490204	2.36599225901789	0
WNT4 / FZD1 + LRP6	20.0258845875344	8.45631233924696	24.2138121275074	19.5697810448716	31.023143208525	30.5848828204504	22.5326787016261
LRRC4B / PTPRF	4.36248292962544	25.1797621950422	4.63557468874097	9.20528569945797	4.3149123197003	10.6950748366343	4.30663284125365
COL9A2 / SDC4	1.75157189464623	22.8209545891245	3.36493866362462	4.82711916714803	4.61371357714935	1.70355722897054	2.13449408368047
IHH / PTCH2	5.73241016726364	7.01394899240653	17.5955000863358	6.72701212169672	24.6291396147566	3.95830850903491	12.7278566775392
MDK / SDC1	4.81935715310419	23.6076315484438	9.12234832952995	0	13.8837224779807	8.98410677738845	6.16493862072376
