Epithelial	Fibroblasts	Immune	Muscle	Myofibroblast_Mesothelium	Neural	Pericytes
TNXB / SDC1	100	38.6415228093108	10.6864443655802	0	58.810315001277	38.0559428799654	26.1141767147334
DHH / PTCH1	7.50533557045445	45.855966575392	9.21956279556333	17.2695080411679	100	17.2095384908405	21.2137633391851
PROS1 / AXL	8.64053401828904	36.4887725652043	100	67.8558057166023	47.766262517188	46.2993120656622	95.8228760534441
COL4A1 / SDC4	100	14.7449514019374	31.7467618597488	21.1521351935402	20.217005205155	7.46488155137203	9.35321997747492
TNN / SDC4	100	14.7449514019374	31.7467618597488	21.1521351935402	20.217005205155	7.46488155137203	9.35321997747492
TNXB / SDC4	100	14.7449514019374	31.7467618597488	21.1521351935402	20.217005205155	7.46488155137203	9.35321997747492
EFNA1 / EPHA3	9.21568188718654	54.9927732270274	14.2634036216071	38.3847146183213	67.6938356553564	27.1767442810288	100
LAMB1 / SV2B	1.61239660516928	0	0	0	0	85.1089507763978	0
LAMA5 / SV2A	15.5371237850308	24.0080328134504	0	49.7149072204856	38.1101645633367	100	33.4706311166962
LAMB2 / SV2A	15.5371237850308	24.0080328134504	0	49.7149072204856	38.1101645633367	100	33.4706311166962
LAMC1 / SV2A	15.5371237850308	24.0080328134504	0	49.7149072204856	38.1101645633367	100	33.4706311166962
HLA-F / CD8B	76.7863668621985	17.2748943015259	68.6784973709018	0	5.89207760005576	16.3555722837612	5.45394726720668
DHH / PTCH2	28.4782542229129	71.4417976492909	18.6259598789495	27.3132242007602	100	16.0716475319474	51.6780402264368
PTHLH / PTH1R	10.2604343698757	64.0340001545545	13.6717801056807	28.2027758849558	85.9162285587347	1.1455514603367	48.5819622388535
HBEGF / EGFR + ERBB2	95.9061480514139	43.8274884317411	14.1165026083456	36.1421716660815	84.1189372303142	18.000317712761	54.5692890423865
PROS1 / TYRO3	66.652275999873	89.8163754198935	3.73235750095116	61.1775645427166	74.8163868796829	100	53.985998286413
CD99 / PILRA	13.1803593425422	13.7133100025218	88.7287439879482	0	5.63454836272634	4.67661662869022	6.46394428740997
TNN / ITGA8 + ITGB1	13.2562243449893	52.8105111540095	15.1580932957418	37.775216476953	97.9229792173338	12.549167875767	54.7137586636044
TNXB / ITGA8 + ITGB1	13.2562243449893	52.8105111540095	15.1580932957418	37.775216476953	97.9229792173338	12.549167875767	54.7137586636044
HLA-C / CD8B	75.0642895941532	16.8874726275987	67.1382541746299	0	5.75993678767921	15.9887681180389	5.33163234342822
TNFSF12 / TNFRSF12A	100	27.6546332052334	9.38737738335411	58.6548354210827	23.4944082529555	52.1218665788993	25.5566174643775
LAMA4 / SV2B	1.53813108200277	0	0	0	0	81.1889098042831	0
CLDN11 / CLDN11	6.71363292946478	14.6103746097158	0	0	8.54230821177318	85.5249649589714	12.1203354757139
TNN / ITGA9 + ITGB1	16.5518608119129	32.2289950625577	28.9122117309265	95.3329730211357	60.6225570279923	8.65702769057072	24.6999030041946
TNXB / ITGA9 + ITGB1	16.5518608119129	32.2289950625577	28.9122117309265	95.3329730211357	60.6225570279923	8.65702769057072	24.6999030041946
COL4A1 / ITGA9 + ITGB1	16.5518608119129	32.2289950625577	28.9122117309265	95.3329730211357	60.6225570279923	8.65702769057072	24.6999030041946
LAMA5 / ITGA9 + ITGB1	16.5518608119129	32.2289950625577	28.9122117309265	95.3329730211357	60.6225570279923	8.65702769057072	24.6999030041946
LAMB2 / ITGA9 + ITGB1	16.5518608119129	32.2289950625577	28.9122117309265	95.3329730211357	60.6225570279923	8.65702769057072	24.6999030041946
LAMC1 / ITGA9 + ITGB1	16.5518608119129	32.2289950625577	28.9122117309265	95.3329730211357	60.6225570279923	8.65702769057072	24.6999030041946
COL4A1 / ITGA1 + ITGB1	17.2242799379026	28.6350331901761	18.3551222449274	74.8959060033925	58.9181172522034	58.0395699257314	94.0484708117752
LAMA5 / ITGA1 + ITGB1	17.2242799379026	28.6350331901761	18.3551222449274	74.8959060033925	58.9181172522034	58.0395699257314	94.0484708117752
LAMB2 / ITGA1 + ITGB1	17.2242799379026	28.6350331901761	18.3551222449274	74.8959060033925	58.9181172522034	58.0395699257314	94.0484708117752
LAMC1 / ITGA1 + ITGB1	17.2242799379026	28.6350331901761	18.3551222449274	74.8959060033925	58.9181172522034	58.0395699257314	94.0484708117752
CD1D / CEACAM5	80.61314479311	6.25509171049851	0	0	7.23869970737313	0	3.87945602640788
PSAP / GPR37L1	75.0953294849854	31.7771744425253	0	0	0	38.7861602831911	0
LAMA5 / ITGA7 + ITGB1	13.488675612192	23.8754374151113	11.8759514608301	31.9951403670943	12.6464267526113	25.2960684824884	94.0484708117752
LAMB2 / ITGA7 + ITGB1	13.488675612192	23.8754374151113	11.8759514608301	31.9951403670943	12.6464267526113	25.2960684824884	94.0484708117752
LAMC1 / ITGA7 + ITGB1	13.488675612192	23.8754374151113	11.8759514608301	31.9951403670943	12.6464267526113	25.2960684824884	94.0484708117752
COL4A2 / ITGA11 + ITGB1	17.622327173014	38.1035196050501	0	0	76.7072918642827	0	37.1497655192241
HLA-F / LILRB1	1.47187402349706	1.54919638740461	76.7863668621985	0	0	2.752264402861	2.29013627779102
LAMB1 / CD44	3.64083945041289	11.4115017999097	85.1089507763978	33.3480264175545	20.3431001078103	20.4307207516315	3.28711201601235
BMP6 / BMPR1A + ACVR2B	35.696407119089	45.7124363647349	0	30.3403475844919	74.0398608552072	78.7360463742403	68.8890916766227
CD46 / JAG1	28.4822298929361	12.4469345485838	8.53851994472885	14.8410412722134	33.826402133028	30.0523713734965	91.0771265517505
PSAP / GPR37	7.05968632641182	32.5301194596468	20.6081664732763	0	62.6579577363443	19.5323675226662	75.0953294849854
FN1 / ITGA4 + ITGB7	1.57150111363087	4.25301422139898	76.5328439163992	0	4.67515426565767	0	11.2197001941937
FN1 / ITGA2B + ITGB3	11.2400765347674	37.3423585364467	0	76.5328439163992	32.5108910072168	0	45.2586388198276
JAM2 / JAM3	8.62122822604078	50.9271649154541	14.5800315377909	55.8312112582991	85.6746952766389	61.7274927757177	62.8042703241976
JAM3 / JAM3	8.62122822604078	50.9271649154541	14.5800315377909	55.8312112582991	85.6746952766389	61.7274927757177	62.8042703241976
BMP6 / BMPR1A + ACVR2A	43.0465517897306	61.3725474332767	0	52.0367427529916	73.5852804312869	79.4338146088989	73.6018431120849
EFNA3 / EPHA1	78.1713883776612	10.9500551451594	0	4.98618878272135	5.04895726681959	7.41297719983626	12.2716708654126
LAMB1 / SV2A	13.2234830342698	20.432984829581	0	42.3118359148149	32.4351611990145	85.1089507763978	28.4865029616586
LAMA4 / CD44	3.4731456921382	10.8858983915616	81.1889098042831	31.81204660928	19.4061153935708	19.4897003101195	3.13571062209137
AGRN / DAG1	51.4067890292142	35.3724028952287	14.705602308876	48.2981593268633	43.3761637847832	100	69.877369938478
HSPG2 / DAG1	51.4067890292142	35.3724028952287	14.705602308876	48.2981593268633	43.3761637847832	100	69.877369938478
LAMA5 / DAG1	51.4067890292142	35.3724028952287	14.705602308876	48.2981593268633	43.3761637847832	100	69.877369938478
LAMB2 / DAG1	51.4067890292142	35.3724028952287	14.705602308876	48.2981593268633	43.3761637847832	100	69.877369938478
LAMC1 / DAG1	51.4067890292142	35.3724028952287	14.705602308876	48.2981593268633	43.3761637847832	100	69.877369938478
MAG / MAG	0	17.6791907453285	31.2874603074041	42.1522735812203	33.9036721023168	77.0581738754312	0
CD99 / CD99L2	18.781411583356	62.158941874901	32.6539524241113	38.4895660412011	88.7287439879482	86.0241363442284	64.4560334522847
TNFSF9 / TNFRSF9	19.1677237204419	0	73.7555134298219	0	16.6708580271486	1.76930145183865	0
EFNA3 / EPHA7	4.62360530156051	36.5262485229979	6.79999861040183	44.0702806288361	78.1713883776612	31.1909287387765	7.00962303104972
LTA / TNFRSF1B	2.10643415568064	3.69172628938497	71.3518021756159	0	4.39173521889414	0.149724322637508	3.16687191181745
COL4A2 / CD44	3.35103006348766	10.5031507491231	78.3343118003342	30.6935366431862	18.7237973479112	18.8044434229788	3.0254591936098
INHBB / ACVR1B + ACVR2B	73.2488750203746	47.2496468508145	18.4966824681929	15.4426248296843	58.9125019524207	76.671555085645	74.3334291034613
EFNA3 / EPHA2	78.1713883776612	8.92063804744673	7.63546954512519	5.96147069420204	6.40599860991883	20.934297018226	14.0406122338438
COL4A2 / SDC1	78.3343118003342	30.2695709618427	8.37115264970286	0	46.0686555238591	29.8108609541491	20.4563606118095
INHBB / ACVR1B + ACVR2A	88.3313405067566	63.4363736253243	22.1144688907608	26.4856522640492	58.5507985429004	77.35102755225	79.418631509012
LAMA4 / SV2A	12.6144214160084	19.491860106695	0	40.3629911825231	30.9412271335913	81.1889098042831	27.1744405082588
CLEC2D / KLRB1	0	0	69.2008509947611	0	0.762281149793776	3.50018148763743	1.58829995027685
GAS6 / MERTK	15.0296290904806	10.021823782572	76.6499238120416	8.95218682046	8.96997992637371	3.66232704083596	8.56484967482399
FGF18 / FGFR1	17.7181323979536	80.5030933193492	12.3640849334071	74.0365812196272	52.1747126219571	46.912744941458	44.8998555851697
LTA / TNFRSF14	71.3518021756159	14.4781419254815	60.3707606510256	16.7158796600349	25.6793109242607	5.19739031007243	14.2656538553192
LAMB1 / ITGA9 + ITGB1	14.0871150709889	27.4297595435199	24.6068800504422	81.1368930822349	51.5952222203477	7.36790543586696	21.021828289658
FN1 / CD44	3.27396583838972	10.2616079523612	76.5328439163992	29.9876720069076	18.2932029019736	18.3719943451327	2.95588217881026
TNN / ITGAV + ITGB6	70.9605753675042	24.680847975568	0	0	0	29.6026489890679	21.4133823234484
TNXB / ITGAV + ITGB6	70.9605753675042	24.680847975568	0	0	0	29.6026489890679	21.4133823234484
EFNB1 / EPHB3	20.5351350491871	68.2797818732933	3.8183160906816	12.9293016999648	66.528742899187	29.3422196936921	44.1013865031948
FN1 / SDC1	76.5328439163992	29.5734563385696	8.17863978652235	0	45.0092065866701	29.1252953652379	19.9859221051395
SEMA6A / PLXNA2	77.4453261569992	16.2879051581169	7.6385529854183	43.6931604425322	65.9736729659014	31.6340741617631	32.0165654457654
COL4A2 / SDC4	78.3343118003342	11.5503562060014	24.8686074217252	16.569379534936	15.8368518940959	5.84756358997739	7.32678050052635
EFNA3 / EPHA3	7.20402647968237	42.9886143389461	11.1499006409199	30.0058643419449	52.9172111778843	21.2444383203269	78.1713883776612
LAMB1 / ITGA1 + ITGB1	14.6594039339384	24.3709763026322	15.6218519563829	63.7431197739645	50.1445914105581	49.3968689989237	80.0436667291486
GAS6 / AXL	6.62296274197209	27.9686163711782	76.6499238120416	52.0114233838226	36.6128038272844	35.4883874238295	73.4481614894719
INHBB / ACVR1C + ACVR2A	88.3313405067566	19.7778431076555	31.8983364406801	19.1986016294629	25.6887118483684	16.4538874245824	33.5538948372491
LAMB1 / ITGA7 + ITGB1	11.4800702871685	20.3201342772767	10.1074976830267	27.2307282658697	10.7632411198531	21.5292184731249	80.0436667291486
GRN / SORT1	59.8199285707022	18.0913131455293	78.6467423766128	47.1323517049046	12.3425780774259	25.5920637995344	58.2681322396044
FN1 / SDC4	76.5328439163992	11.2847306419937	24.2966997026325	16.1883306126579	15.4726490382315	5.71308614625563	7.15828524651835
LAMA4 / ITGA9 + ITGB1	13.4382753455145	26.1663697321669	23.4735095046453	77.3998014798714	49.2187931465068	7.02854640342928	20.053581971821
LAMA5 / ITGAV + ITGB8	70.9605753675042	39.8319755460787	0	29.9963315138894	36.4318716537869	66.7733997852624	27.3074369265626
LAMB2 / ITGAV + ITGB8	70.9605753675042	39.8319755460787	0	29.9963315138894	36.4318716537869	66.7733997852624	27.3074369265626
LAMC1 / ITGAV + ITGB8	70.9605753675042	39.8319755460787	0	29.9963315138894	36.4318716537869	66.7733997852624	27.3074369265626
COL4A1 / ITGAV + ITGB8	70.9605753675042	39.8319755460787	0	29.9963315138894	36.4318716537869	66.7733997852624	27.3074369265626
SEMA6B / PLXNA2	74.433117804561	15.6543928934576	7.34145419011367	41.9937305432687	63.4076504748082	30.4036781244536	30.7712925463187
LAMA4 / ITGA1 + ITGB1	13.9842051032209	23.2484712691986	14.9023236439	60.807169572195	47.8349770742732	47.1216940777959	76.3569281396797
IL15 / IL15RA + IL2RB	4.87473727674711	9.18034231364938	66.1437423695754	0	0	0	6.85245698615695
GAS6 / TYRO3	51.0889187728944	68.8441833300857	2.86084918087208	46.8925566120548	57.3467035421992	76.6499238120416	41.3802265557056
FN1 / ITGA8 + ITGB1	10.1453654871584	40.4173860729507	11.6009198827322	28.9104474653883	74.9432408426901	9.60423506316764	41.8739955188117
HBEGF / ERBB2 + ERBB4	11.3093762926252	0	0	37.0560193315112	0	58.487448943796	37.181510408219
LAMA4 / ITGA7 + ITGB1	10.9513086765749	19.3842073483328	9.64195551993376	25.976505654394	10.2674960096423	20.5376022242772	76.3569281396797
SEMA4A / PLXNB1	75.80317284023	24.2243330398318	5.3384272134744	16.1017304355438	12.3661041508239	39.9461865907757	29.3877035288431
COL4A2 / ITGA9 + ITGB1	12.9657862571612	25.2463614824183	22.6481820856768	74.6784283349049	47.4882628436429	6.78142306377294	19.3484990336859
EFNB1 / EPHB2	68.2797818732933	47.2662512700322	31.4467968026522	47.0524738864016	57.2132100314592	16.8463439242878	1.24983140723506
DLL4 / NOTCH2	24.7607867332495	65.1180166714562	40.7839911360725	100	57.572698592253	53.6342458621743	55.0736864219357
JAG2 / NOTCH2	24.7607867332495	65.1180166714562	40.7839911360725	100	57.572698592253	53.6342458621743	55.0736864219357
COL4A2 / ITGA1 + ITGB1	13.492521151919	22.4310561833217	14.378358690674	58.6691925343827	46.1531016752275	45.4648976731954	73.6722223691423
LAMB1 / DAG1	43.7517787706006	30.1050809685293	12.5157838304341	41.1060566474062	36.9169978842808	85.1089507763978	59.4718963847806
COL4A1 / ITGA10 + ITGB1	26.3811077464774	43.4955084592353	33.1567201547681	65.656696540737	66.3674982122006	38.2558525245771	90.6391717614165
BMP6 / BMPR1A + BMPR2	18.5884856995467	42.3674407001044	0	57.7442548179308	64.6020160816474	46.4168086140781	48.2216790421834
CXCL10 / CXCR3	0.124281515672268	1.62478160734399	60.2668252025384	0	0	0	0
PVR / CD226	4.15874658153724	0	61.7308321707287	0	4.79736525129552	19.8556602049395	0
VWF / ITGAV + ITGB3	50.3540325648725	61.8742003111422	32.1724412850699	45.2426500501945	78.8171394426874	60.2952481140717	100
TNN / ITGAV + ITGB3	50.3540325648725	61.8742003111422	32.1724412850699	45.2426500501945	78.8171394426874	60.2952481140717	100
TNXB / ITGAV + ITGB3	50.3540325648725	61.8742003111422	32.1724412850699	45.2426500501945	78.8171394426874	60.2952481140717	100
JAG1 / NOTCH3	2.61073851433361	10.5067430024997	0.53512462133707	2.91527875376269	6.97435319211857	4.35112417943471	62.9889373357845
POMC / MC1R	61.4980510900704	41.1271121269727	36.4417935519917	26.1072598578733	32.2229015226547	82.8602020456065	19.0258112713271
LAMA4 / DAG1	41.7366115782068	28.7184682822149	11.9393181947299	39.212749013016	35.2166344917857	81.1889098042831	56.7326748529562
COL6A2 / ITGA11 + ITGB1	13.3498446835336	28.8654309745401	0	0	58.1098297874533	0	28.1429118210221
IGF2 / IGF2R	79.8713655109111	20.1883414135602	20.7449659941944	34.3621276727847	20.8586747240287	44.5527901359624	26.3862494227195
COL9A3 / ITGA11 + ITGB1	13.208700931687	28.5602457590565	0	0	57.495452647509	0	27.8453655756184
SEMA3G / NRP2 + PLXNA3	14.0574787214945	32.5637755558137	52.2052510319818	78.2792623930108	21.5157867725104	47.0203378147285	35.3550724829761
JAM2 / ITGAV + ITGB1	43.3824859985848	65.2923114673747	35.1998541315857	64.1234904974697	86.9350588338371	57.5651858152235	94.0484708117752
INHBB / ACVR1C + ACVR2B	73.2488750203746	14.7312346040928	26.6799715300125	11.1938644841603	25.8474064331217	16.3093520017521	31.4054273617976
APP / CD74	4.33263945408264	6.0234525734541	59.9613425615232	5.20906621750784	5.06967944344271	3.48827658476335	3.79363481505279
CD99 / CD99	33.7720256904809	72.4276778137824	35.1900738051645	65.2854039620323	73.4317610518019	49.1280321557658	88.7287439879482
LAMB1 / ITGAV + ITGB8	60.3938011601778	33.9005764607789	0	25.5295630228812	31.0067837127419	56.8301399549663	23.2410730521241
MDK / PTPRZ1	0.348358787228692	4.74414859320296	0	3.06277579524393	0.404170637267002	55.5503649752607	0
NAMPT / INSR	62.6880656350517	30.0091269712797	28.7918578669751	68.9006078434575	20.9825890822555	29.3179026635426	16.4912803184819
ENTPD1 / TMIGD3	0	15.6077581216777	40.2336148446154	25.1353530085016	0	49.3896135933005	0
GUCA2B / GUCY2C	56.7195230972025	5.40619604541432	7.4281244640635	1.48272922086426	2.59924017799105	2.7755919030259	2.47282232626072
MIF / CD74 + CXCR4	1.9420479707998	2.57995582509833	55.5902266276308	1.83927872909891	4.81354543398025	2.52291233240877	3.55269533623486
SELE / GLG1	63.0340760305783	80.8531345536724	20.9148581648636	69.3768866189036	72.0835160655025	74.9815001986204	60.3617282810494
COL6A2 / CD44	2.53858247200848	7.95669208793561	59.3423834241014	23.2519770488862	14.1842665855932	14.2453602519359	2.29194532223361
SEMA3G / NRP2 + PLXNA1	14.2859856074409	42.7663985254327	23.995848106319	75.2237796308741	27.1809240229673	45.6767480907028	38.9074431444044
LAMA4 / ITGAV + ITGB8	57.6121175317234	32.33914669937	0	24.3536945374054	29.5786394170052	54.2125953249101	22.1706103361685
COL6A2 / SDC1	59.3423834241014	22.9308006264128	6.34159078982589	0	34.8994426209796	22.583303539486	15.4967748741045
COL9A3 / CD44	2.51174282982798	7.87256845951881	58.7149748782679	23.0061411342122	14.0343007507432	14.094748492771	2.2677132978561
CSF1 / CSF1R	1.13650278887276	0.558772861260721	52.8326920110882	0	2.05296734347554	0	3.34440113595544
