TFPI	SERPING1	SERPINE2	SERPINA1	PSAP	PLAU	PLAT	LRPAP1	A2M	HSP90B1	LAMB1	COL18A1	JAM2	ADAM15	ADAM17	FN1	COL1A1	COL4A1	JAG2	JAG1	DLL1	DLL4	CALM3	CALM1	CALM2	SEMA3F	VEGFC	VEGFA	SEMA3B	VEGFB	MDK	PTN	LAMB2	PRND	GAS6	PROS1	TNFSF12	THBS1	TGFB1	SELE	PSEN1	NID1	NECTIN2	EFNA1	CTGF	CD99	BMP2	ADM	APOE
ITGB1	0	0	0	0	0	0	0	0	0	0	0.124822975832743	0.0885726481273005	0.177918065691644	0.0960889624155033	0.215323106219401	0.433977464142074	0.501195220221716	0.124822975832743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TYRO3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10344723287092	0.11534147820572	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF12A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257607230910452	0	0	0	0	0	0	0	0	0	0	0	0
TGFBR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.766590481304378	0	0	0	0	0	0	0	0	0	0
RPSA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0942608801914102	0.183058774412581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAMP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.433279748880135	0
PTPRZ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036053745508898	0.543818006275361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPRF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.362065829933115	0	0	0	0	0	0	0
NOTCH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.472021739664591	0.504296567444277	0.438676797398796	0.40640196961911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NECTIN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.701519442218339	0	0	0	0	0	0
NCSTN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030033644369182	0	0	0	0	0	0	0	0
MYLK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0458417051574741	0.359634844152914	0.0882737719686937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186794032584459	0	0	0	0
LRP1	0.02413170054837	0.02413170054837	0.140964001971249	0.303365764930636	0.02413170054837	0.02413170054837	0.02413170054837	0.486493867489844	0.46789770935035	0.02413170054837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDLR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62702143137423
GLG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.702508526929455	0	0	0	0	0	0	0	0	0
EPHA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71841881023812	0	0	0	0	0
CD99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393198602007303	0	0	0
BMPR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.830081918965643	0	0
CD47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0340051521904172	0	0	0	0	0	0	0	0	0	0	0
