gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Endothelial	Epithelial	Fibroblasts	Immune	Muscle	Myofibroblast_Mesothelium	Neural	Pericytes
SPP1	P10451	False	OSTP_HUMAN		CPI-SC0411F313E	0.018	0.006	0.021	0.059	0.0	0.015	0.179	0.006
SPP1	P10451	False	OSTP_HUMAN		CPI-SC039D2D108	0.018	0.006	0.021	0.059	0.0	0.015	0.179	0.006
MDK	P21741	False	MK_HUMAN		CPI-SC0926171F3	1.245	0.487	2.202	0.529	1.793	2.241	2.208	1.985
SPP1	P10451	False	OSTP_HUMAN		CPI-SC0B1A05D68	0.018	0.006	0.021	0.059	0.0	0.015	0.179	0.006
SPP1	P10451	False	OSTP_HUMAN		CPI-SC028967BC9	0.018	0.006	0.021	0.059	0.0	0.015	0.179	0.006
ANGPT2	O15123	False	ANGP2_HUMAN		CPI-SS0BAB460FF	0.058	0.039	0.04	0.015	0.011	0.019	0.043	0.603
ANGPT1	Q15389	False	ANGP1_HUMAN		CPI-SS0DE9B07A8	0.011	0.006	0.021	0.0	0.023	0.111	0.005	0.269
C3	P01024	False	CO3_HUMAN		CPI-SC0617AED61	0.014	0.111	0.018	0.035	0.018	0.015	0.011	0.006
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SS0B134D80B	0.88	0.477	0.619	1.064	0.269	0.521	0.365	0.39
ANGPTL4	Q9BY76	False	ANGL4_HUMAN		CPI-SS06F63AD8F	0.046	0.023	0.218	0.019	0.039	0.094	0.123	0.368
PTN	P21246	False	PTN_HUMAN		CPI-SS01B806614	0.26	0.159	1.214	0.188	0.95	1.377	0.734	0.975
ANGPTL4	Q9BY76	False	ANGL4_HUMAN		CPI-SS0728EF204	0.046	0.023	0.218	0.019	0.039	0.094	0.123	0.368
PTN	P21246	False	PTN_HUMAN		CPI-SS0AAADE913	0.26	0.159	1.214	0.188	0.95	1.377	0.734	0.975
MDK	P21741	False	MK_HUMAN		CPI-SS09E894567	1.245	0.487	2.202	0.529	1.793	2.241	2.208	1.985
ANGPTL4	Q9BY76	False	ANGL4_HUMAN		CPI-SS004A2C2A0	0.046	0.023	0.218	0.019	0.039	0.094	0.123	0.368
PTN	P21246	False	PTN_HUMAN		CPI-SS0229615A6	0.26	0.159	1.214	0.188	0.95	1.377	0.734	0.975
MDK	P21741	False	MK_HUMAN		CPI-SS013923296	1.245	0.487	2.202	0.529	1.793	2.241	2.208	1.985
ANGPTL4	Q9BY76	False	ANGL4_HUMAN		CPI-SS0ADC22434	0.046	0.023	0.218	0.019	0.039	0.094	0.123	0.368
PTN	P21246	False	PTN_HUMAN		CPI-SS08A159F6C	0.26	0.159	1.214	0.188	0.95	1.377	0.734	0.975
MDK	P21741	False	MK_HUMAN		CPI-SS0C0849037	1.245	0.487	2.202	0.529	1.793	2.241	2.208	1.985
ANGPTL4	Q9BY76	False	ANGL4_HUMAN		CPI-SS0958724F2	0.046	0.023	0.218	0.019	0.039	0.094	0.123	0.368
ANGPTL4	Q9BY76	False	ANGL4_HUMAN		CPI-SS0BA377E84	0.046	0.023	0.218	0.019	0.039	0.094	0.123	0.368
ANGPTL2	Q9UKU9	False	ANGL2_HUMAN		CPI-SS072DE2CA2	0.067	0.016	0.197	0.012	0.257	0.132	0.033	0.071
NRG1	Q02297	False	NRG1_HUMAN		CPI-SC0C6400443	0.007	0.004	0.008	0.0	0.0	0.1	0.011	0.0
NRG2	O14511	False	NRG2_HUMAN		CPI-SC0C5E947B0	0.011	0.003	0.02	0.0	0.008	0.055	0.068	0.004
NRG1	Q02297	False	NRG1_HUMAN		CPI-SC02133EB36	0.007	0.004	0.008	0.0	0.0	0.1	0.011	0.0
NRG2	O14511	False	NRG2_HUMAN		CPI-SC07D690F42	0.011	0.003	0.02	0.0	0.008	0.055	0.068	0.004
EREG	O14944	False	EREG_HUMAN		CPI-SC085FA039E	0.022	0.341	0.041	0.091	0.048	0.034	0.029	0.017
BTC	P35070	False	BTC_HUMAN		CPI-SC09FC1B7CA	0.0	0.007	0.006	0.0	0.066	0.009	0.063	0.035
NRG3	P56975	False	NRG3_HUMAN		CPI-SC05F42AD59	0.001	0.0	0.016	0.0	0.0	0.0	0.005	0.0
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SC00F7281E2	0.617	0.109	0.051	0.211	0.037	0.064	0.139	0.157
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS02B906C26	0.007	0.004	0.008	0.0	0.0	0.1	0.011	0.0
NRG2	O14511	False	NRG2_HUMAN		CPI-SS053613259	0.011	0.003	0.02	0.0	0.008	0.055	0.068	0.004
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0BD5C2A23	0.007	0.004	0.008	0.0	0.0	0.1	0.011	0.0
NRG2	O14511	False	NRG2_HUMAN		CPI-SS0E063192D	0.011	0.003	0.02	0.0	0.008	0.055	0.068	0.004
EREG	O14944	False	EREG_HUMAN		CPI-SS0FC42EC80	0.022	0.341	0.041	0.091	0.048	0.034	0.029	0.017
BTC	P35070	False	BTC_HUMAN		CPI-SS0F0D7F25C	0.0	0.007	0.006	0.0	0.066	0.009	0.063	0.035
NRG3	P56975	False	NRG3_HUMAN		CPI-SS0D5E30C6C	0.001	0.0	0.016	0.0	0.0	0.0	0.005	0.0
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS060B846D1	0.617	0.109	0.051	0.211	0.037	0.064	0.139	0.157
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0579FA162	0.066	0.08	0.027	0.0	0.014	0.036	0.003	0.062
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.051	0.014	0.053	0.081	0.053	0.284	0.022	0.023
IGF2	P01344	False	IGF2_HUMAN		CPI-SS042A6F835	0.066	0.08	0.027	0.0	0.014	0.036	0.003	0.062
IGF2	P01344	False	IGF2_HUMAN		CPI-SC078AA674E	0.066	0.08	0.027	0.0	0.014	0.036	0.003	0.062
IGF1	P05019	False	IGF1_HUMAN		CPI-SC089CBCA1A	0.051	0.014	0.053	0.081	0.053	0.284	0.022	0.023
PTN	P21246	False	PTN_HUMAN		CPI-SS0A08FD80E	0.26	0.159	1.214	0.188	0.95	1.377	0.734	0.975
MDK	P21741	False	MK_HUMAN		CPI-SS024B70001	1.245	0.487	2.202	0.529	1.793	2.241	2.208	1.985
PTN	P21246	False	PTN_HUMAN		CPI-SS04E690D72	0.26	0.159	1.214	0.188	0.95	1.377	0.734	0.975
MDK	P21741	False	MK_HUMAN		CPI-SS027E12A36	1.245	0.487	2.202	0.529	1.793	2.241	2.208	1.985
MDK	P21741	False	MK_HUMAN		CPI-SC0548D4C1F	1.245	0.487	2.202	0.529	1.793	2.241	2.208	1.985
MDK	P21741	False	MK_HUMAN		CPI-SS006C6537E	1.245	0.487	2.202	0.529	1.793	2.241	2.208	1.985
CORT	O00230	False	CORT_HUMAN		CPI-SS06CE0CF64	0.03	0.0	0.003	0.0	0.0	0.002	0.0	0.0
SST	P61278	False	SMS_HUMAN		CPI-SS0A512249D	0.208	0.097	0.093	0.025	0.14	0.104	0.147	0.119
SMS	P61278	False	SMS_HUMAN		CPI-SS0A512249D	0.208	0.097	0.093	0.025	0.14	0.104	0.147	0.119
CORT	O00230	False	CORT_HUMAN		CPI-SS0C272BD3D	0.03	0.0	0.003	0.0	0.0	0.002	0.0	0.0
SST	P61278	False	SMS_HUMAN		CPI-SS0FE594C97	0.208	0.097	0.093	0.025	0.14	0.104	0.147	0.119
SMS	P61278	False	SMS_HUMAN		CPI-SS0FE594C97	0.208	0.097	0.093	0.025	0.14	0.104	0.147	0.119
CORT	O00230	False	CORT_HUMAN		CPI-SS008509DBD	0.03	0.0	0.003	0.0	0.0	0.002	0.0	0.0
SST	P61278	False	SMS_HUMAN		CPI-SS098B7BE0A	0.208	0.097	0.093	0.025	0.14	0.104	0.147	0.119
SMS	P61278	False	SMS_HUMAN		CPI-SS098B7BE0A	0.208	0.097	0.093	0.025	0.14	0.104	0.147	0.119
CORT	O00230	False	CORT_HUMAN		CPI-SS0AB20B9AD	0.03	0.0	0.003	0.0	0.0	0.002	0.0	0.0
SST	P61278	False	SMS_HUMAN		CPI-SS05A3441B9	0.208	0.097	0.093	0.025	0.14	0.104	0.147	0.119
SMS	P61278	False	SMS_HUMAN		CPI-SS05A3441B9	0.208	0.097	0.093	0.025	0.14	0.104	0.147	0.119
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SC0C06CDBBD	0.003	0.003	0.013	0.0	0.01	0.007	0.008	0.0
WNT4	P56705	False	WNT4_HUMAN		CPI-SC0B53118EB	0.007	0.0	0.016	0.016	0.007	0.026	0.018	0.002
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SC0A973833C	0.065	0.049	0.141	0.017	0.054	0.176	0.039	0.043
WNT6	Q9Y6F9	False	WNT6_HUMAN		CPI-SC04A17E55A	0.002	0.001	0.001	0.0	0.0	0.003	0.016	0.094
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SC0E8D0FEA9	0.003	0.003	0.013	0.0	0.01	0.007	0.008	0.0
WNT4	P56705	False	WNT4_HUMAN		CPI-SC08E88D327	0.007	0.0	0.016	0.016	0.007	0.026	0.018	0.002
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SC02F58CC8C	0.065	0.049	0.141	0.017	0.054	0.176	0.039	0.043
WNT6	Q9Y6F9	False	WNT6_HUMAN		CPI-SC0E2A7F68D	0.002	0.001	0.001	0.0	0.0	0.003	0.016	0.094
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SC07D95D8F1	0.003	0.003	0.013	0.0	0.01	0.007	0.008	0.0
WNT4	P56705	False	WNT4_HUMAN		CPI-SC0CFEC9AB1	0.007	0.0	0.016	0.016	0.007	0.026	0.018	0.002
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SC01ECB5380	0.065	0.049	0.141	0.017	0.054	0.176	0.039	0.043
WNT6	Q9Y6F9	False	WNT6_HUMAN		CPI-SC07A2652A3	0.002	0.001	0.001	0.0	0.0	0.003	0.016	0.094
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SC0238858D3	0.003	0.003	0.013	0.0	0.01	0.007	0.008	0.0
WNT4	P56705	False	WNT4_HUMAN		CPI-SC0BBCC77A4	0.007	0.0	0.016	0.016	0.007	0.026	0.018	0.002
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SC034ACA96A	0.065	0.049	0.141	0.017	0.054	0.176	0.039	0.043
WNT6	Q9Y6F9	False	WNT6_HUMAN		CPI-SC04224B098	0.002	0.001	0.001	0.0	0.0	0.003	0.016	0.094
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SC0916BE5A5	0.003	0.003	0.013	0.0	0.01	0.007	0.008	0.0
WNT4	P56705	False	WNT4_HUMAN		CPI-SC0F5F1246D	0.007	0.0	0.016	0.016	0.007	0.026	0.018	0.002
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SC0C6349617	0.065	0.049	0.141	0.017	0.054	0.176	0.039	0.043
WNT6	Q9Y6F9	False	WNT6_HUMAN		CPI-SC0E813ADB8	0.002	0.001	0.001	0.0	0.0	0.003	0.016	0.094
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SC06E9CD488	0.003	0.003	0.013	0.0	0.01	0.007	0.008	0.0
WNT4	P56705	False	WNT4_HUMAN		CPI-SC0281AB653	0.007	0.0	0.016	0.016	0.007	0.026	0.018	0.002
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SC0E2E03198	0.065	0.049	0.141	0.017	0.054	0.176	0.039	0.043
WNT6	Q9Y6F9	False	WNT6_HUMAN		CPI-SC0D9F9EAC4	0.002	0.001	0.001	0.0	0.0	0.003	0.016	0.094
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SC0456F779D	0.003	0.003	0.013	0.0	0.01	0.007	0.008	0.0
WNT4	P56705	False	WNT4_HUMAN		CPI-SC0A0D98C8D	0.007	0.0	0.016	0.016	0.007	0.026	0.018	0.002
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SC0F9D57E34	0.065	0.049	0.141	0.017	0.054	0.176	0.039	0.043
WNT6	Q9Y6F9	False	WNT6_HUMAN		CPI-SC095353D95	0.002	0.001	0.001	0.0	0.0	0.003	0.016	0.094
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SC0761E791E	0.003	0.003	0.013	0.0	0.01	0.007	0.008	0.0
WNT4	P56705	False	WNT4_HUMAN		CPI-SC09E254C91	0.007	0.0	0.016	0.016	0.007	0.026	0.018	0.002
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SC0D3E2A22C	0.065	0.049	0.141	0.017	0.054	0.176	0.039	0.043
WNT6	Q9Y6F9	False	WNT6_HUMAN		CPI-SC07AB5E202	0.002	0.001	0.001	0.0	0.0	0.003	0.016	0.094
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SC02C203FD7	0.003	0.003	0.013	0.0	0.01	0.007	0.008	0.0
WNT4	P56705	False	WNT4_HUMAN		CPI-SC000D56BAC	0.007	0.0	0.016	0.016	0.007	0.026	0.018	0.002
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SC065ECDD42	0.065	0.049	0.141	0.017	0.054	0.176	0.039	0.043
WNT6	Q9Y6F9	False	WNT6_HUMAN		CPI-SC0CA5B26F5	0.002	0.001	0.001	0.0	0.0	0.003	0.016	0.094
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SC03A513E23	0.003	0.003	0.013	0.0	0.01	0.007	0.008	0.0
WNT4	P56705	False	WNT4_HUMAN		CPI-SC0968CCEC2	0.007	0.0	0.016	0.016	0.007	0.026	0.018	0.002
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SC02D618124	0.065	0.049	0.141	0.017	0.054	0.176	0.039	0.043
WNT6	Q9Y6F9	False	WNT6_HUMAN		CPI-SC0F5ED1270	0.002	0.001	0.001	0.0	0.0	0.003	0.016	0.094
EREG	O14944	False	EREG_HUMAN		CPI-SS004C23DCE	0.022	0.341	0.041	0.091	0.048	0.034	0.029	0.017
BTC	P35070	False	BTC_HUMAN		CPI-SS0CC966B71	0.0	0.007	0.006	0.0	0.066	0.009	0.063	0.035
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS09B2ACA25	0.617	0.109	0.051	0.211	0.037	0.064	0.139	0.157
EGF	P01133	False	EGF_HUMAN		CPI-SS09947DDD9	0.0	0.018	0.001	0.0	0.012	0.0	0.0	0.0
TGFA	P01135	False	TGFA_HUMAN		CPI-SS07E5C3060	0.007	0.008	0.002	0.016	0.0	0.0	0.0	0.006
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	0.089	0.706	0.097	0.196	0.17	0.102	0.087	0.095
EREG	O14944	False	EREG_HUMAN		CPI-SC0635885D0	0.022	0.341	0.041	0.091	0.048	0.034	0.029	0.017
BTC	P35070	False	BTC_HUMAN		CPI-SC0012A9818	0.0	0.007	0.006	0.0	0.066	0.009	0.063	0.035
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SC017C5955C	0.617	0.109	0.051	0.211	0.037	0.064	0.139	0.157
EGF	P01133	False	EGF_HUMAN		CPI-SC071625F4B	0.0	0.018	0.001	0.0	0.012	0.0	0.0	0.0
TGFA	P01135	False	TGFA_HUMAN		CPI-SC0F8F6FB88	0.007	0.008	0.002	0.016	0.0	0.0	0.0	0.006
AREG	P15514	False	AREG_HUMAN		CPI-SC01AC9F398	0.089	0.706	0.097	0.196	0.17	0.102	0.087	0.095
MSTN	O14793	False	GDF8_HUMAN		CPI-SC0A1E7CCAA	0.001	0.001	0.004	0.0	0.0	0.006	0.014	0.012
INHBA	P08476	False	INHBA_HUMAN		CPI-SC0FD3AE9DD	0.002	0.006	0.018	0.054	0.021	0.202	0.011	0.09
INHBB	P09529	False	INHBB_HUMAN		CPI-SC0801782AE	0.06	0.001	0.002	0.0	0.0	0.0	0.0	0.0
GDF10	P55107	False	GDF10_HUMAN		CPI-SC05D4ADB3D	0.012	0.002	0.092	0.0	0.021	0.008	0.003	0.0
MSTN	O14793	False	GDF8_HUMAN		CPI-SC01653E39F	0.001	0.001	0.004	0.0	0.0	0.006	0.014	0.012
INHBA	P08476	False	INHBA_HUMAN		CPI-SC0CA6F0499	0.002	0.006	0.018	0.054	0.021	0.202	0.011	0.09
INHBB	P09529	False	INHBB_HUMAN		CPI-SC04BDF1619	0.06	0.001	0.002	0.0	0.0	0.0	0.0	0.0
GDF11	O95390	False	GDF11_HUMAN		CPI-SC02AF48EC8	0.108	0.039	0.095	0.014	0.129	0.097	0.096	0.232
MSTN	O14793	False	GDF8_HUMAN		CPI-SC0714B4284	0.001	0.001	0.004	0.0	0.0	0.006	0.014	0.012
GDF11	O95390	False	GDF11_HUMAN		CPI-SC08FD210B3	0.108	0.039	0.095	0.014	0.129	0.097	0.096	0.232
MSTN	O14793	False	GDF8_HUMAN		CPI-SC0466A8119	0.001	0.001	0.004	0.0	0.0	0.006	0.014	0.012
GDF11	O95390	False	GDF11_HUMAN		CPI-SC0778F55B3	0.108	0.039	0.095	0.014	0.129	0.097	0.096	0.232
INHBB	P09529	False	INHBB_HUMAN		CPI-SC0C23F0F29	0.06	0.001	0.002	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	False	INHBB_HUMAN		CPI-SC0DDE5B056	0.06	0.001	0.002	0.0	0.0	0.0	0.0	0.0
SEMA3E	O15041	False	SEM3E_HUMAN		CPI-SS0F3A089DE	0.002	0.001	0.01	0.02	0.051	0.013	0.027	0.002
SEMA3C	Q99985	False	SEM3C_HUMAN		CPI-SS0E7B91F39	0.03	0.107	0.058	0.015	0.152	0.102	0.266	0.015
SEMA3C	Q99985	False	SEM3C_HUMAN		CPI-SC00A136C08	0.03	0.107	0.058	0.015	0.152	0.102	0.266	0.015
SEMA3D	O95025	False	SEM3D_HUMAN		CPI-SC06F4B01FB	0.033	0.029	0.129	0.016	0.058	0.028	0.09	0.008
SEMA3B	Q13214	False	SEM3B_HUMAN		CPI-SC0783F1AA2	0.147	0.44	0.121	0.044	0.085	0.055	0.72	0.043
SEMA3A	Q14563	False	SEM3A_HUMAN		CPI-SC025D74F89	0.049	0.037	0.257	0.024	0.216	0.508	0.025	0.129
SEMA3C	Q99985	False	SEM3C_HUMAN		CPI-SC0159FB8D9	0.03	0.107	0.058	0.015	0.152	0.102	0.266	0.015
SEMA3D	O95025	False	SEM3D_HUMAN		CPI-SC03AC818E8	0.033	0.029	0.129	0.016	0.058	0.028	0.09	0.008
SEMA3B	Q13214	False	SEM3B_HUMAN		CPI-SC0CC3F53A3	0.147	0.44	0.121	0.044	0.085	0.055	0.72	0.043
SEMA3A	Q14563	False	SEM3A_HUMAN		CPI-SC08974B687	0.049	0.037	0.257	0.024	0.216	0.508	0.025	0.129
