id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	Endothelial|Endothelial	Endothelial|Epithelial	Endothelial|Fibroblasts	Endothelial|Immune	Endothelial|Muscle	Endothelial|Myofibroblast_Mesothelium	Endothelial|Neural	Endothelial|Pericytes	Epithelial|Endothelial	Epithelial|Epithelial	Epithelial|Fibroblasts	Epithelial|Immune	Epithelial|Muscle	Epithelial|Myofibroblast_Mesothelium	Epithelial|Neural	Epithelial|Pericytes	Fibroblasts|Endothelial	Fibroblasts|Epithelial	Fibroblasts|Fibroblasts	Fibroblasts|Immune	Fibroblasts|Muscle	Fibroblasts|Myofibroblast_Mesothelium	Fibroblasts|Neural	Fibroblasts|Pericytes	Immune|Endothelial	Immune|Epithelial	Immune|Fibroblasts	Immune|Immune	Immune|Muscle	Immune|Myofibroblast_Mesothelium	Immune|Neural	Immune|Pericytes	Muscle|Endothelial	Muscle|Epithelial	Muscle|Fibroblasts	Muscle|Immune	Muscle|Muscle	Muscle|Myofibroblast_Mesothelium	Muscle|Neural	Muscle|Pericytes	Myofibroblast_Mesothelium|Endothelial	Myofibroblast_Mesothelium|Epithelial	Myofibroblast_Mesothelium|Fibroblasts	Myofibroblast_Mesothelium|Immune	Myofibroblast_Mesothelium|Muscle	Myofibroblast_Mesothelium|Myofibroblast_Mesothelium	Myofibroblast_Mesothelium|Neural	Myofibroblast_Mesothelium|Pericytes	Neural|Endothelial	Neural|Epithelial	Neural|Fibroblasts	Neural|Immune	Neural|Muscle	Neural|Myofibroblast_Mesothelium	Neural|Neural	Neural|Pericytes	Pericytes|Endothelial	Pericytes|Epithelial	Pericytes|Fibroblasts	Pericytes|Immune	Pericytes|Muscle	Pericytes|Myofibroblast_Mesothelium	Pericytes|Neural	Pericytes|Pericytes
CPI-SS0666DE74B	NPY_NPY1R	simple:P01303	simple:P25929	NPY	NPY1R	False	False	False	user_curated	False	0.016																																																0.336																
CPI-SS0BAB460FF	ANGPT2_TEK	simple:O15123	simple:Q02763	ANGPT2	TEK	False	False	False	user_curated	False	0.016																																																									0.518							
CPI-SS0DE9B07A8	ANGPT1_TEK	simple:Q15389	simple:Q02763	ANGPT1	TEK	False	False	False	user_curated	False	0.016																																																									0.351							
CPI-SS052119104	AREG_EGFR	simple:P15514	simple:P00533	AREG	EGFR	False	False	False	user_curated	False	0.016										0.407																																																						
CPI-SC0D3E2A22C	WNT2B_Q9ULV1_O75197	simple:Q93097	complex:Q9ULV1_O75197	WNT2B		False	False	False	user_curated	False	0.016																																									0.155																							
CPI-SS06C0074BD	CCL21_CCR7	simple:O00585	simple:P32248	CCL21	CCR7	False	False	False	user_curated	False	0.016				0.278																																																												
CPI-SS0A6674B21	PRSS3_F2RL1	simple:P35030	simple:P55085	PRSS3	F2RL1	False	False	False	user_curated	False	0.016										0.626																																																						
CPI-SS0D53C1FD0	WNT5B_FZD6	simple:Q9H1J7	simple:O60353	WNT5B	FZD6	False	False	False	user_curated	False	0.016																																									0.178																							
CPI-SS0911EECCC	CXCL8_ACKR1	simple:P10145	simple:Q16570	CXCL8	ACKR1	False	False	False	user_curated	False	0.016																									0.768																																							
CPI-SC01AC9F398	AREG_P00533_P04626	simple:P15514	complex:P00533_P04626	AREG		False	False	False	user_curated	False	0.016										0.407																																																						
CPI-SS042E21C6C	WNT5B_FZD5	simple:Q9H1J7	simple:Q13467	WNT5B	FZD5	False	False	False	user_curated	False	0.016																																										0.184																						
CPI-SS004C23DCE	EREG_EGFR	simple:O14944	simple:P00533	EREG	EGFR	False	False	False	user_curated	False	0.016										0.224																																																						
CPI-SC02D618124	WNT2B_Q9UP38_O75197	simple:Q93097	complex:Q9UP38_O75197	WNT2B		False	False	False	user_curated	False	0.016																																													0.151																			
CPI-SS08BF22309	GUCA2A_GUCY2C	simple:Q02747	simple:P25092	GUCA2A	GUCY2C	False	False	False	user_curated	False	0.016										0.396																																																						
CPI-SS041A22E65	F2_F2RL1	simple:P00734	simple:P55085	F2	F2RL1	False	False	False	user_curated	False	0.031										0.458																								0.445																														
CPI-SS0B0CF0EDF	TNFSF15_TNFRSF25	simple:O95150	simple:Q93038	TNFSF15	TNFRSF25	False	False	False	user_curated	False	0.031									0.225	0.116																																																						
CPI-SS09C4988F8	PROS1_TYRO3	simple:P07225	simple:Q06418	PROS1	TYRO3	False	False	False	user_curated	False	0.031		0.119					0.146																																																									
CPI-SS0958724F2	ANGPTL4_CDH5	simple:Q9BY76	simple:P33151	ANGPTL4	CDH5	False	False	False	user_curated	False	0.031																	0.879																																								0.954							
CPI-SS0D8632EB4	EDN1_EDNRA	simple:P05305	simple:P25101	EDN1	EDNRA	False	False	False	user_curated	False	0.031								0.398								0.678																																																
CPI-SS041A22E65	THRB_F2RL1	simple:P00734	simple:P55085	THRB	F2RL1	False	False	False	user_curated	False	0.031										0.458																								0.445																														
CPI-SS0CBFF3136	F2_PARD3	simple:P00734	simple:Q8TEW0	F2	PARD3	False	False	False	user_curated	False	0.031																0.168																								0.155																								
CPI-SC05FD083DD	OSM_P42702_P40189	simple:P13725	complex:P42702_P40189	OSM		False	False	False	user_curated	False	0.031																									0.409					0.183																																		
CPI-SS06DA9B4FE	PDGFC_PDGFRA	simple:Q9NRA1	simple:P16234	PDGFC	PDGFRA	False	False	False	user_curated	False	0.031																																			0.342			0.462																										
CPI-SS0CBFF3136	THRB_PARD3	simple:P00734	simple:Q8TEW0	THRB	PARD3	False	False	False	user_curated	False	0.031																0.168																								0.155																								
CPI-SC0CC3F53A3	SEMA3B_O14786_P51805	simple:Q13214	complex:O14786_P51805	SEMA3B		False	False	False	user_curated	False	0.031															0.298																																								0.438									
CPI-SC095832FFD	SEMA3F_O60462_O75051	simple:Q13275	complex:O60462_O75051	SEMA3F		False	False	False	user_curated	False	0.031	0.203																																								0.236																							
CPI-SC089CBCA1A	IGF1_P23229_P16144	simple:P05019	complex:P23229_P16144	IGF1		False	False	False	user_curated	False	0.031																																									0.248	0.198																						
CPI-SS0988182B5	IHH_PTCH1	simple:Q14623	simple:Q13635	IHH	PTCH1	False	False	False	user_curated	False	0.031											0.239			0.426																																																		
CPI-SS0E23CEB91	LGALS9_HAVCR2	simple:O00182	simple:Q8TDQ0	LGALS9	HAVCR2	False	False	False	user_curated	False	0.031				0.26								0.157																																																				
CPI-SS0728EF204	ANGPTL4_SDC1	simple:Q9BY76	simple:P18827	ANGPTL4	SDC1	False	False	False	user_curated	False	0.031																		0.163																																								0.238						
CPI-SS004A2C2A0	ANGPTL4_SDC4	simple:Q9BY76	simple:P31431	ANGPTL4	SDC4	False	False	False	user_curated	False	0.031																		0.199																																								0.274						
CPI-SC0CDC67E88	SEMA3B_O60462_P51805	simple:Q13214	complex:O60462_P51805	SEMA3B		False	False	False	user_curated	False	0.031															0.296																																								0.436									
CPI-SC02CDF4AC3	TGFB2_P36896_P37173	simple:P61812	complex:P36896_P37173	TGFB2		False	False	False	user_curated	False	0.031																																																	0.14	0.145														
CPI-SS07CCAD9BF	GRN_SORT1	simple:P28799	simple:Q99523	GRN	SORT1	False	False	False	user_curated	False	0.031		0.374								0.464																																																						
CPI-SS0BCF193A1	WNT5B_FZD2	simple:Q9H1J7	simple:Q14332	WNT5B	FZD2	False	False	False	user_curated	False	0.031																																													0.177	0.177																		
CPI-SC07644E062	SEMA3F_O60462_P51805	simple:Q13275	complex:O60462_P51805	SEMA3F		False	False	False	user_curated	False	0.031							0.144																																								0.177																	
CPI-SS01FAD473B	NRTN_GFRA2	simple:Q99748	simple:O00451	NRTN	GFRA2	False	False	False	user_curated	False	0.031																																			0.224					0.16																								
CPI-SS0E928B8C8	FGF7_FGFR2	simple:P21781	simple:P21802	FGF7	FGFR2	False	False	False	user_curated	False	0.031																																					0.393																								0.256			
CPI-SS0E41702C1	IGF1_IGF1R	simple:P05019	simple:P08069	IGF1	IGF1R	False	False	False	user_curated	False	0.047																																									0.334	0.227					0.229																	
CPI-SS09B2ACA25	HBEGF_EGFR	simple:Q99075	simple:P00533	HBEGF	EGFR	False	False	False	user_curated	False	0.047		0.362																								0.159																																0.132						
CPI-SS0C85BC9AF	PROS1_AXL	simple:P07225	simple:P30530	PROS1	AXL	False	False	False	user_curated	False	0.047				0.202	0.158			0.197																																																								
CPI-SS0C8E4D226	ADM_CALCRL	simple:P35318	simple:Q16602	ADM	CALCRL	False	False	False	user_curated	False	0.047	0.55								0.569																																0.509																							
CPI-SC0B03C32CA	SEMA3C_O60462_O75051	simple:Q99985	complex:O60462_O75051	SEMA3C		False	False	False	user_curated	False	0.047									0.188																								0.21																0.268															
CPI-SC010BDC6FF	SEMA3B_O60462_O75051	simple:Q13214	complex:O60462_O75051	SEMA3B		False	False	False	user_curated	False	0.047	0.208								0.355																																								0.495															
CPI-SC0109F58EB	SEMA3C_O60462_P51805	simple:Q99985	complex:O60462_P51805	SEMA3C		False	False	False	user_curated	False	0.047															0.129																								0.152																0.209									
CPI-SC017C5955C	HBEGF_P00533_P04626	simple:Q99075	complex:P00533_P04626	HBEGF		False	False	False	user_curated	False	0.047		0.362																								0.159																																0.132						
CPI-SC08974B687	SEMA3A_O14786_P51805	simple:Q14563	complex:O14786_P51805	SEMA3A		False	False	False	user_curated	False	0.047																							0.207																0.186								0.332																	
CPI-SS06D2BC14F	ARTN_GFRA1	simple:Q5T4W7	simple:P56159	ARTN	GFRA1	False	False	False	user_curated	False	0.047																																																													0.2	0.208	0.336	
CPI-SS0B3C76C9D	PDGFD_PDGFRB	simple:Q9GZP0	simple:P09619	PDGFD	PDGFRB	False	False	False	user_curated	False	0.047																																											0.365			0.302		0.764																
CPI-SS06F5E4F78	GDNF_GFRA1	simple:P39905	simple:P56159	GDNF	GFRA1	False	False	False	user_curated	False	0.047																																					0.216	0.224	0.353																									
CPI-SS0611C625F	WNT5B_FZD7	simple:Q9H1J7	simple:O75084	WNT5B	FZD7	False	False	False	user_curated	False	0.047																																											0.189		0.231	0.174																		
CPI-SC00A136C08	SEMA3C_O14786_O75051	simple:Q99985	complex:O14786_O75051	SEMA3C		False	False	False	user_curated	False	0.047									0.188																								0.21																0.268															
CPI-SC02C3EC870	ANGPT2_P08648_P05556	simple:O15123	complex:P08648_P05556	ANGPT2		False	False	False	user_curated	False	0.047																																																									0.628				0.409	0.391		
CPI-SS0B2FB23BC	CXCL2_ACKR1	simple:P19875	simple:Q16570	CXCL2	ACKR1	False	False	False	user_curated	False	0.047	0.413								0.646																0.57																																							
CPI-SC0783F1AA2	SEMA3B_O14786_O75051	simple:Q13214	complex:O14786_O75051	SEMA3B		False	False	False	user_curated	False	0.047	0.208								0.355																																								0.495															
CPI-SS0AB1F04A0	CSF1_CSF1R	simple:P09603	simple:P07333	CSF1	CSF1R	False	False	False	user_curated	False	0.047				0.278																																								0.354																0.308				
CPI-SC025D74F89	SEMA3A_O14786_O75051	simple:Q14563	complex:O14786_O75051	SEMA3A		False	False	False	user_curated	False	0.047																	0.263																0.242								0.388																							
CPI-SC0159FB8D9	SEMA3C_O14786_P51805	simple:Q99985	complex:O14786_P51805	SEMA3C		False	False	False	user_curated	False	0.047															0.132																								0.154																0.211									
CPI-SS052BBD9F9	CXCL1_ACKR1	simple:P09341	simple:Q16570	CXCL1	ACKR1	False	False	False	user_curated	False	0.062	0.194								0.319																0.218																0.254																							
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	False	False	False	user_curated	False	0.062											0.349			0.469																																													0.411			0.531		
CPI-SS0391314C7	PRSS3_F2R	simple:P35030	simple:P25116	PRSS3	F2R	False	False	False	user_curated	False	0.062									0.421		0.348			0.646		0.375																																																
CPI-SS05162C56B	NTF3_NTRK3	simple:P20783	simple:Q16288	NTF3	NTRK3	False	False	False	user_curated	False	0.062																																														0.183		0.327														0.273		0.417
CPI-SS0AAADE913	PTN_SDC1	simple:P21246	simple:P18827	PTN	SDC1	False	False	False	user_curated	False	0.062																		0.661																0.529								0.743																0.542						
CPI-SS0E7B91F39	SEMA3C_PLXND1	simple:Q99985	simple:Q9Y4D7	SEMA3C	PLXND1	False	False	False	user_curated	False	0.062									0.735																								0.757																0.815					0.212										
CPI-SS0229615A6	PTN_SDC4	simple:P21246	simple:P31431	PTN	SDC4	False	False	False	user_curated	False	0.062																		0.697																0.566								0.779																0.578						
CPI-SS0B543764D	WNT5B_FZD1	simple:Q9H1J7	simple:Q9UP38	WNT5B	FZD1	False	False	False	user_curated	False	0.062																																											0.221		0.16	0.302		0.188																
CPI-SS0DBFB8BEA	CCL2_ACKR1	simple:P13500	simple:Q16570	CCL2	ACKR1	False	False	False	user_curated	False	0.078	0.57																0.505																								0.475								0.457								0.56							
CPI-SS04E690D72	PTN_PTPRZ1	simple:P21246	simple:P23471	PTN	PTPRZ1	False	False	False	user_curated	False	0.078																							0.849																0.718								0.931								0.609								0.73	
CPI-SS0569F0E0D	CXCL3_ACKR1	simple:P19876	simple:Q16570	CXCL3	ACKR1	False	False	False	user_curated	False	0.078	0.262								0.412																0.403																0.21																0.221							
CPI-SS09E894567	MDK_SDC1	simple:P21741	simple:P18827	MDK	SDC1	False	False	False	user_curated	False	0.078																		1.155																0.951								1.174								1.158								1.047						
CPI-SS013923296	MDK_SDC4	simple:P21741	simple:P31431	MDK	SDC4	False	False	False	user_curated	False	0.078																		1.192																0.987								1.211								1.194								1.083						
CPI-SS012A0AEC9	GDF15_TGFBR2	simple:Q99988	simple:P37173	GDF15	TGFBR2	False	False	False	user_curated	False	0.094									0.841	0.444		0.466		0.454	0.517	0.467																																																
CPI-SS0FEEB187C	PDGFB_PDGFRA	simple:P01127	simple:P16234	PDGFB	PDGFRA	False	False	False	user_curated	False	0.094			0.377			0.498																																													0.322			0.442					0.342			0.462		
CPI-SS0E64BD55B	PDGFA_PDGFRB	simple:P04085	simple:P09619	PDGFA	PDGFRB	False	False	False	user_curated	False	0.094											0.296			0.232		0.694																																											0.358			0.295		0.756
CPI-SS027E12A36	MDK_PTPRZ1	simple:P21741	simple:P23471	MDK	PTPRZ1	False	False	False	user_curated	False	0.094							0.865																1.344																1.139								1.363								1.347								1.235	
CPI-SS09B92F236	EDN1_EDNRB	simple:P05305	simple:P24530	EDN1	EDNRB	False	False	False	user_curated	False	0.094		0.324					0.435		0.535	0.604				0.578	0.715																																																	
CPI-SS0BDA0E5E0	GAS6_TYRO3	simple:Q14393	simple:Q06418	GAS6	TYRO3	False	False	False	user_curated	False	0.094		0.201					0.228			0.162					0.189																																											0.246					0.273	
CPI-SC0BE78B635	ANGPTL4_P08648_P05556	simple:Q9BY76	complex:P08648_P05556	ANGPTL4		False	False	False	user_curated	False	0.094																	0.435				0.217	0.198																																			0.51				0.292	0.273		
CPI-SS001865B32	TNFSF10_TNFRSF10B	simple:P50591	simple:O14763	TNFSF10	TNFRSF10B	False	False	False	user_curated	False	0.094	0.269	0.313		0.305					0.278	0.321		0.313																																																				
CPI-SC0485E5143	ANGPTL2_P08648_P05556	simple:Q9UKU9	complex:P08648_P05556	ANGPTL2		False	False	False	user_curated	False	0.094																	0.425				0.206	0.188											0.455				0.236	0.218																										
CPI-SS06F63AD8F	ANGPTL4_SDC3	simple:Q9BY76	simple:O75056	ANGPTL4	SDC3	False	False	False	user_curated	False	0.094																	0.184				0.217		0.26																																		0.259				0.292		0.336	
CPI-SS0F7FF099C	GAS6_MERTK	simple:Q14393	simple:Q12866	GAS6	MERTK	False	False	False	user_curated	False	0.094	0.228			0.228					0.19			0.19																																													0.274			0.274				
CPI-SS058209EC7	F2_F2R	simple:P00734	simple:P25116	F2	F2R	False	False	False	user_curated	False	0.109									0.253		0.18			0.478		0.207																	0.24					0.465		0.195																								
CPI-SS058209EC7	THRB_F2R	simple:P00734	simple:P25116	THRB	F2R	False	False	False	user_curated	False	0.109									0.253		0.18			0.478		0.207																	0.24					0.465		0.195																								
CPI-SS0703338F5	LGALS9_CD44	simple:O00182	simple:P16070	LGALS9	CD44	False	False	False	user_curated	False	0.125				0.565	0.311	0.248	0.248					0.462	0.209	0.145	0.145																																																	
CPI-SS0BA377E84	ANGPTL4_CDH11	simple:Q9BY76	simple:P55287	ANGPTL4	CDH11	False	False	False	user_curated	False	0.125																			0.365		0.308	0.341		0.32																																			0.441		0.383	0.416		0.395
CPI-SS0ADC22434	ANGPTL4_SDC2	simple:Q9BY76	simple:P34741	ANGPTL4	SDC2	False	False	False	user_curated	False	0.141																			0.251			0.4		0.458																																		0.248	0.326		0.246	0.475	0.281	0.533
CPI-SS0AE964947	GAS6_AXL	simple:Q14393	simple:P30530	GAS6	AXL	False	False	False	user_curated	False	0.141				0.284	0.24			0.279				0.246	0.202			0.24																																												0.33	0.286			0.325
CPI-SS05A26A1DE	PDGFB_PDGFRB	simple:P01127	simple:P09619	PDGFB	PDGFRB	False	False	False	user_curated	False	0.141			0.324			0.261		0.723																																											0.269			0.205		0.667			0.288			0.225		0.687
CPI-SC02D41C57E	POSTN_P06756_P18084	simple:Q15063	complex:P06756_P18084	POSTN		False	False	False	user_curated	False	0.156																																	0.779	0.765				0.794		0.815	0.703	0.688				0.717		0.739														0.314		0.336
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	False	False	False	user_curated	False	0.156				0.638								0.429					0.662			0.953								0.464								0.681					0.462			0.754								0.481								0.677				
CPI-SS0B134D80B	NAMPT_INSR	simple:P43490	simple:P06213	NAMPT	INSR	False	False	False	user_curated	False	0.172	0.578	0.545			0.555				0.377								0.448	0.414			0.425				0.671	0.637			0.647												0.399																							
CPI-SS098B7BE0A	SMS_SSR4	simple:P61278	simple:P31391	SMS	SSR4	False	False	False	user_curated	False	0.188		0.462				0.421	0.446	0.43		0.406								0.405																0.428					0.412			0.41								0.431					0.416			0.417						
CPI-SS098B7BE0A	SST_SSR4	simple:P61278	simple:P31391	SST	SSR4	False	False	False	user_curated	False	0.188		0.462				0.421	0.446	0.43		0.406								0.405																0.428					0.412			0.41								0.431					0.416			0.417						
CPI-SS02EF3E1BA	TNFSF12_TNFRSF12A	simple:O43508	simple:Q9NP84	TNFSF12	TNFRSF12A	False	False	False	user_curated	False	0.188		0.39			0.27		0.251			0.334																								0.369								0.382			0.262		0.243			0.362								0.38			0.259		0.24	
CPI-SS0F592009B	FGF7_FGFR1	simple:P21781	simple:P11362	FGF7	FGFR1	False	False	False	user_curated	False	0.188																																	0.492		0.454		0.441	0.398	0.388	0.384																	0.355		0.317		0.304	0.261	0.251	0.247
CPI-SS05A3441B9	SMS_SSR3	simple:P61278	simple:P32745	SMS	SSR3	False	False	False	user_curated	False	0.203	0.258	0.289	0.268	0.274		0.259	0.269	0.307																										0.255						0.273										0.258						0.276		0.244						0.262
CPI-SS05A3441B9	SST_SSR3	simple:P61278	simple:P32745	SST	SSR3	False	False	False	user_curated	False	0.203	0.258	0.289	0.268	0.274		0.259	0.269	0.307																										0.255						0.273										0.258						0.276		0.244						0.262
CPI-SS01B806614	PTN_SDC3	simple:P21246	simple:O75056	PTN	SDC3	False	False	False	user_curated	False	0.203																	0.682				0.715		0.758										0.55				0.583		0.627		0.764				0.796		0.84								0.519		0.563				0.596		0.639	
CPI-SS0A512249D	SMS_SSTR1	simple:P61278	simple:P30872	SMS	SSTR1	False	False	False	user_curated	False	0.219	0.149	0.161	0.175	0.16	0.163	0.177	0.167	0.176																											0.141			0.143													0.145			0.147	0.136	0.146								
CPI-SS0A512249D	SMS_SSR1	simple:P61278	simple:P30872	SMS	SSR1	False	False	False	user_curated	False	0.219	0.149	0.161	0.175	0.16	0.163	0.177	0.167	0.176																											0.141			0.143													0.145			0.147	0.136	0.146								
CPI-SC025C09D3C	NAMPT_P08648_P05556	simple:P43490	complex:P08648_P05556	NAMPT		False	False	False	user_curated	False	0.219	0.766				0.548	0.529			0.565								0.636				0.417	0.399			0.858				0.64	0.621			0.461								0.587								0.509								0.521							
CPI-SS0A512249D	SST_SSR1	simple:P61278	simple:P30872	SST	SSR1	False	False	False	user_curated	False	0.219	0.149	0.161	0.175	0.16	0.163	0.177	0.167	0.176																											0.141			0.143													0.145			0.147	0.136	0.146								
CPI-SS0A512249D	SST_SSTR1	simple:P61278	simple:P30872	SST	SSTR1	False	False	False	user_curated	False	0.219	0.149	0.161	0.175	0.16	0.163	0.177	0.167	0.176																											0.141			0.143													0.145			0.147	0.136	0.146								
CPI-SS0976BA7F0	CXCL12_ACKR3	simple:P48061	simple:P25106	CXCL12	ACKR3	False	False	False	user_curated	False	0.25						0.764		0.561						0.555			0.71	0.75				1.08		0.877						0.59								0.808		0.605		0.551				0.88		0.677						0.608								0.804		0.6
CPI-SC0548D4C1F	MDK_P23229_P05556	simple:P21741	complex:P23229_P05556	MDK		False	False	False	user_curated	False	0.25	1.028																1.507	1.217					1.187										1.302	1.013					0.983		1.526	1.236					1.206		1.51	1.22					1.19		1.398	1.108					1.078	
CPI-SS08A159F6C	PTN_SDC2	simple:P21246	simple:P34741	PTN	SDC2	False	False	False	user_curated	False	0.328																		0.671	0.749		0.669	0.898	0.704	0.956											0.617			0.767		0.824		0.752	0.831		0.751	0.98	0.785	1.038						0.658		0.716			0.63			0.779	0.585	0.837
CPI-SS0FE594C97	SMS_SSTR2	simple:P61278	simple:P30874	SMS	SSTR2	False	False	False	user_curated	False	0.359			0.331			0.36	0.322	0.376			0.275			0.305		0.321			0.274			0.303		0.319											0.297			0.326		0.343			0.279			0.308		0.325			0.3			0.33	0.292	0.346			0.286			0.316		0.332
CPI-SS0FE594C97	SST_SSTR2	simple:P61278	simple:P30874	SST	SSTR2	False	False	False	user_curated	False	0.359			0.331			0.36	0.322	0.376			0.275			0.305		0.321			0.274			0.303		0.319											0.297			0.326		0.343			0.279			0.308		0.325			0.3			0.33	0.292	0.346			0.286			0.316		0.332
CPI-SS0FE594C97	SMS_SSR2	simple:P61278	simple:P30874	SMS	SSR2	False	False	False	user_curated	False	0.359			0.331			0.36	0.322	0.376			0.275			0.305		0.321			0.274			0.303		0.319											0.297			0.326		0.343			0.279			0.308		0.325			0.3			0.33	0.292	0.346			0.286			0.316		0.332
CPI-SS0FE594C97	SST_SSR2	simple:P61278	simple:P30874	SST	SSR2	False	False	False	user_curated	False	0.359			0.331			0.36	0.322	0.376			0.275			0.305		0.321			0.274			0.303		0.319											0.297			0.326		0.343			0.279			0.308		0.325			0.3			0.33	0.292	0.346			0.286			0.316		0.332
CPI-SS0C0849037	MDK_SDC2	simple:P21741	simple:P34741	MDK	SDC2	False	False	False	user_curated	False	0.422																		1.165	1.243		1.164	1.393	1.198	1.45											1.039			1.188		1.246		1.184	1.263		1.183	1.412	1.217	1.469		1.168	1.246		1.166	1.395	1.201	1.453		1.056	1.135		1.055	1.284	1.089	1.342
CPI-SS006C6537E	MDK_LRP1	simple:P21741	simple:Q07954	MDK	LRP1	False	False	False	user_curated	False	0.422																		1.217	1.341		1.291	1.364	1.181	1.231											1.136		1.086	1.16				1.237	1.36		1.31	1.384	1.201	1.25		1.22	1.344		1.294	1.367	1.184	1.234		1.109	1.232		1.182	1.256	1.073	1.123
CPI-SS0A08FD80E	PTN_NCL	simple:P21246	simple:P19338	PTN	NCL	False	False	False	user_curated	False	0.438																	0.955	0.884	0.926	0.895	0.922	0.992	0.995	1.134									0.823		0.794			0.861	0.864	1.002	1.036	0.966	1.008	0.977	1.004	1.074	1.077	1.215								0.894	0.836		0.807		0.803	0.873	0.876	1.014
CPI-SS024B70001	MDK_NCL	simple:P21741	simple:P19338	MDK	NCL	False	False	False	user_curated	False	0.578																	1.449	1.378	1.42	1.389	1.417	1.487	1.49	1.628									1.244		1.216			1.282	1.285	1.423	1.468	1.398	1.44	1.408	1.436	1.506	1.509	1.647	1.452	1.381	1.423	1.392	1.42	1.49	1.492	1.631	1.34	1.27	1.312	1.281	1.308	1.378	1.381	1.519
CPI-SC00E673985	BMP8B_P36894_P27037	simple:P34820	complex:P36894_P27037	BMP8B		False	False	False	user_curated	False	1.5779999999999998																																																																
