ligand	receptor	cell_from_mean_exprs	cell_from	cell_to_mean_exprs	cell_to	comm_type
SMS	SSR4	0.233797228328773	Pericytes	0.685087257519463	Neural	other
PTN	SDC3	0.733904083568652	Neural	0.216136823847781	Muscle	other
EDN1	EDNRA	0.396603706564768	Endothelial	0.397383321959773	Pericytes	other
CCL2	ACKR1	0.684269687430496	Neural	0.229293946731821	Endothelial	other
SMS	SSR2	0.180183798561836	Fibroblasts	0.869125058522604	Fibroblasts	other
SMS	SSR2	0.185088145176421	Epithelial	0.843259315272621	Neural	other
PTN	SDC2	1.21362401320889	Fibroblasts	0.127763264735099	Epithelial	other
SMS	SSR4	0.233797228328773	Pericytes	0.65579457167959	Pericytes	other
SMS	SSR4	0.268298348303119	Neural	0.568184435535739	Fibroblasts	other
SMS	SSR2	0.180183798561836	Fibroblasts	0.843259315272621	Neural	other
PTN	SDC2	1.21362401320889	Fibroblasts	0.124936219004911	Muscle	other
PTN	SDC2	0.259927351456744	Endothelial	0.582924382337642	Myofibroblast_Mesothelium	other
HBEGF	ERBB2	0.616680824884419	Endothelial	0.245301026220917	Fibroblasts	other
SMS	SSR4	0.265073067170453	Muscle	0.568184435535739	Fibroblasts	other
SMS	SSR3	0.405791006626766	Endothelial	0.37026691071036	Epithelial	other
PTN	SDC1	1.37686059244296	Myofibroblast_Mesothelium	0.108332747790584	Epithelial	other
SMS	SSR4	0.233797228328773	Pericytes	0.635237326501439	Myofibroblast_Mesothelium	other
SMS	SSR4	0.233797228328773	Pericytes	0.634257959647238	Immune	other
BMP4	BMPR2	0.240911505889321	Fibroblasts	0.613858353568455	Endothelial	other
SMS	SSR2	0.233797228328773	Pericytes	0.632478409215018	Epithelial	other
BMP4	BMPR2	0.704496207675955	Myofibroblast_Mesothelium	0.209608015782947	Neural	other
PTN	SDC3	0.972666908857605	Pericytes	0.150285147155975	Endothelial	other
BMP2	BMPR2	0.630680976730458	Epithelial	0.231304010057697	Muscle	other
SMS	SSR2	0.198808899087586	Myofibroblast_Mesothelium	0.729539104652663	Muscle	other
NAMPT	INSR	0.521268248275625	Myofibroblast_Mesothelium	0.276867060168507	Endothelial	other
NAMPT	INSR	0.6191202245811	Fibroblasts	0.230678317444239	Muscle	other
PTN	SDC3	0.950228060303547	Muscle	0.150285147155975	Endothelial	other
SMS	SSR4	0.198808899087586	Myofibroblast_Mesothelium	0.716011848179603	Epithelial	other
PTN	SDC2	0.733904083568652	Neural	0.193665256997067	Neural	other
SMS	SSR4	0.268298348303119	Neural	0.528247076809181	Endothelial	other
SMS	SSR2	0.198808899087586	Myofibroblast_Mesothelium	0.70948604544528	Endothelial	other
SMS	SSR4	0.265073067170453	Muscle	0.528247076809181	Endothelial	other
SMS	SSR2	0.268298348303119	Neural	0.520779592681158	Immune	other
PTN	SDC2	1.37686059244296	Myofibroblast_Mesothelium	0.101426351763857	Immune	other
SMS	SSR2	0.265073067170453	Muscle	0.520779592681158	Immune	other
SMS	SSR3	0.405791006626766	Endothelial	0.339503568599768	Immune	other
CXCL2	ACKR1	0.595992804111169	Endothelial	0.229293946731821	Endothelial	other
CXCL3	ACKR1	0.594631530892301	Epithelial	0.229293946731821	Endothelial	other
SMS	SSR4	0.198808899087586	Myofibroblast_Mesothelium	0.685087257519463	Neural	other
SMS	SSR2	0.185088145176421	Epithelial	0.729539104652663	Muscle	other
EREG	ERBB2	0.341315853255309	Epithelial	0.395262273052471	Epithelial	other
SMS	SSR4	0.268298348303119	Neural	0.50194057853864	Muscle	other
SMS	SSR3	0.405791006626766	Endothelial	0.331383855728858	Neural	other
PTN	SDC3	1.37686059244296	Myofibroblast_Mesothelium	0.0968936103407912	Fibroblasts	other
SMS	SSR3	0.405791006626766	Endothelial	0.32840574231432	Fibroblasts	other
SMS	SSR4	0.265073067170453	Muscle	0.50194057853864	Muscle	other
SMS	SSR4	0.233797228328773	Pericytes	0.568184435535739	Fibroblasts	other
PTN	SDC4	0.733904083568652	Neural	0.180912163544083	Epithelial	other
SMS	SSR4	0.185088145176421	Epithelial	0.716011848179603	Epithelial	other
CXCL3	ACKR1	0.577454709780903	Immune	0.229293946731821	Endothelial	other
BMP2	BMPR2	0.630680976730458	Epithelial	0.209608015782947	Neural	other
NAMPT	INSR	0.476552237078759	Epithelial	0.276867060168507	Endothelial	other
PTN	SDC1	1.21362401320889	Fibroblasts	0.108332747790584	Epithelial	other
SMS	SSR2	0.180183798561836	Fibroblasts	0.729539104652663	Muscle	other
SMS	SSR2	0.185088145176421	Epithelial	0.70948604544528	Endothelial	other
PTN	SDC2	0.18782730202359	Immune	0.696403866263886	Pericytes	other
SMS	SSR4	0.198808899087586	Myofibroblast_Mesothelium	0.65579457167959	Pericytes	other
NAMPT	INSR	0.6191202245811	Fibroblasts	0.209878808868896	Epithelial	other
SMS	SSR4	0.180183798561836	Fibroblasts	0.716011848179603	Epithelial	other
SMS	SSR2	0.180183798561836	Fibroblasts	0.70948604544528	Endothelial	other
BMP2	BMPR2	0.207183468659604	Pericytes	0.613858353568455	Endothelial	other
SMS	SSR4	0.185088145176421	Epithelial	0.685087257519463	Neural	other
SMS	SSR4	0.198808899087586	Myofibroblast_Mesothelium	0.635237326501439	Myofibroblast_Mesothelium	other
SMS	SSR3	0.405791006626766	Endothelial	0.31103056373386	Myofibroblast_Mesothelium	other
SMS	SSR4	0.198808899087586	Myofibroblast_Mesothelium	0.634257959647238	Immune	other
SMS	SSR2	0.198808899087586	Myofibroblast_Mesothelium	0.632478409215018	Epithelial	other
SMS	SSR3	0.405791006626766	Endothelial	0.307898686291103	Endothelial	other
SMS	SSR3	0.405791006626766	Endothelial	0.307070847421277	Muscle	other
CSF1	CSF1R	0.323477437195816	Myofibroblast_Mesothelium	0.385176581116777	Immune	other
FGF7	FGFR1	0.316154731500444	Pericytes	0.393608056733745	Endothelial	other
PTN	SDC2	0.972666908857605	Pericytes	0.127763264735099	Epithelial	other
SMS	SSR4	0.233797228328773	Pericytes	0.528247076809181	Endothelial	other
SMS	SSR4	0.180183798561836	Fibroblasts	0.685087257519463	Neural	other
PTN	SDC2	1.21362401320889	Fibroblasts	0.101426351763857	Immune	other
BMP4	BMPR2	0.704496207675955	Myofibroblast_Mesothelium	0.17361108082415	Pericytes	other
SMS	SSR2	0.233797228328773	Pericytes	0.520779592681158	Immune	other
PTN	SDC2	0.972666908857605	Pericytes	0.124936219004911	Muscle	other
FGF7	FGFR1	0.591242024832629	Muscle	0.205363872457701	Myofibroblast_Mesothelium	other
PTN	SDC2	0.950228060303547	Muscle	0.127763264735099	Epithelial	other
SMS	SSR4	0.185088145176421	Epithelial	0.65579457167959	Pericytes	other
NAMPT	INSR	0.521268248275625	Myofibroblast_Mesothelium	0.230678317444239	Muscle	other
PTN	SDC2	0.950228060303547	Muscle	0.124936219004911	Muscle	other
SMS	SSR4	0.180183798561836	Fibroblasts	0.65579457167959	Pericytes	other
PTN	SDC3	1.21362401320889	Fibroblasts	0.0968936103407912	Fibroblasts	other
SMS	SSR4	0.185088145176421	Epithelial	0.635237326501439	Myofibroblast_Mesothelium	other
SMS	SSR4	0.185088145176421	Epithelial	0.634257959647238	Immune	other
SMS	SSR4	0.233797228328773	Pericytes	0.50194057853864	Muscle	other
SMS	SSR2	0.185088145176421	Epithelial	0.632478409215018	Epithelial	other
SMS	SSR1	0.405791006626766	Endothelial	0.28650098468308	Myofibroblast_Mesothelium	other
SMS	SSR1	0.405791006626766	Endothelial	0.286029987323848	Fibroblasts	other
AREG	ERBB2	0.705783113604258	Epithelial	0.163605130141535	Pericytes	other
SMS	SSR1	0.405791006626766	Endothelial	0.284197489481485	Pericytes	other
FGF7	FGFR2	0.591242024832629	Muscle	0.194720733937543	Muscle	other
SMS	SSR4	0.180183798561836	Fibroblasts	0.635237326501439	Myofibroblast_Mesothelium	other
SMS	SSR4	0.180183798561836	Fibroblasts	0.634257959647238	Immune	other
SMS	SSR2	0.180183798561836	Fibroblasts	0.632478409215018	Epithelial	other
SMS	SSR4	0.198808899087586	Myofibroblast_Mesothelium	0.568184435535739	Fibroblasts	other
PTN	SDC2	1.37686059244296	Myofibroblast_Mesothelium	0.0819316455808347	Endothelial	other
BMP4	BMPR2	0.704496207675955	Myofibroblast_Mesothelium	0.158496015668603	Fibroblasts	other
PTN	SDC3	1.37686059244296	Myofibroblast_Mesothelium	0.0805789780898168	Myofibroblast_Mesothelium	other
PTN	SDC2	0.158756679010457	Epithelial	0.696403866263886	Pericytes	other
PTN	SDC3	0.733904083568652	Neural	0.150285147155975	Endothelial	other
NAMPT	INSR	0.476552237078759	Epithelial	0.230678317444239	Muscle	other
BMP2	BMPR2	0.630680976730458	Epithelial	0.17361108082415	Pericytes	other
PTN	SDC2	0.18782730202359	Immune	0.582924382337642	Myofibroblast_Mesothelium	other
NAMPT	INSR	0.521268248275625	Myofibroblast_Mesothelium	0.209878808868896	Epithelial	other
FGF7	FGFR1	0.591242024832629	Muscle	0.184652343724531	Neural	other
IGF1	IGF1R	0.284056349312765	Myofibroblast_Mesothelium	0.383354596015511	Endothelial	other
EDN1	EDNRB	0.956593998615523	Epithelial	0.113737570833348	Endothelial	other
SMS	SSR3	0.268298348303119	Neural	0.404266271590408	Pericytes	other
NAMPT	INSR	0.389244717780021	Pericytes	0.276867060168507	Endothelial	other
SMS	SSR3	0.265073067170453	Muscle	0.404266271590408	Pericytes	other
NAMPT	INSR	1.06422374423031	Immune	0.100470157439441	Fibroblasts	other
IL1B	IL1R2	1.3374767353794	Immune	0.0790015325062694	Immune	other
PTN	SDC1	0.972666908857605	Pericytes	0.108332747790584	Epithelial	other
BMP5	BMPR2	0.171421881466048	Pericytes	0.613858353568455	Endothelial	other
SMS	SSR4	0.185088145176421	Epithelial	0.568184435535739	Fibroblasts	other
BMP5	BMPR2	0.410462829888125	Myofibroblast_Mesothelium	0.256188902571486	Myofibroblast_Mesothelium	other
SMS	SSR4	0.198808899087586	Myofibroblast_Mesothelium	0.528247076809181	Endothelial	other
GDNF	GFRA1	0.211712316409652	Muscle	0.494053697716057	Neural	other
FGF7	FGFR1	0.591242024832629	Muscle	0.176729449045044	Pericytes	other
NAMPT	INSR	1.06422374423031	Immune	0.098155947662836	Neural	other
SMS	SSR2	0.198808899087586	Myofibroblast_Mesothelium	0.520779592681158	Immune	other
EREG	ERBB2	0.341315853255309	Epithelial	0.301895459655109	Muscle	other
PTN	SDC1	0.950228060303547	Muscle	0.108332747790584	Epithelial	other
NAMPT	INSR	1.06422374423031	Immune	0.0963947566897723	Immune	other
SMS	SSR4	0.180183798561836	Fibroblasts	0.568184435535739	Fibroblasts	other
NAMPT	INSR	0.36511807674158	Neural	0.276867060168507	Endothelial	other
HBEGF	ERBB2	0.616680824884419	Endothelial	0.163605130141535	Pericytes	other
FGF7	FGFR1	0.316154731500444	Pericytes	0.316866661224843	Fibroblasts	other
NAMPT	INSR	0.476552237078759	Epithelial	0.209878808868896	Epithelial	other
BMP2	BMPR2	0.630680976730458	Epithelial	0.158496015668603	Fibroblasts	other
EDN1	EDNRB	0.396603706564768	Endothelial	0.251878087470282	Epithelial	other
SMS	SSR4	0.198808899087586	Myofibroblast_Mesothelium	0.50194057853864	Muscle	other
PTN	SDC2	1.21362401320889	Fibroblasts	0.0819316455808347	Endothelial	other
SMS	SSR3	0.268298348303119	Neural	0.37026691071036	Epithelial	other
SMS	SSR1	0.405791006626766	Endothelial	0.244454039302977	Neural	other
PTN	SDC2	0.972666908857605	Pericytes	0.101426351763857	Immune	other
SMS	SSR3	0.265073067170453	Muscle	0.37026691071036	Epithelial	other
PTN	SDC3	1.21362401320889	Fibroblasts	0.0805789780898168	Myofibroblast_Mesothelium	other
SMS	SSR4	0.185088145176421	Epithelial	0.528247076809181	Endothelial	other
SMS	SSR2	0.185088145176421	Epithelial	0.520779592681158	Immune	other
PTN	SDC2	0.950228060303547	Muscle	0.101426351763857	Immune	other
EREG	ERBB2	0.341315853255309	Epithelial	0.279687410526471	Myofibroblast_Mesothelium	other
AREG	ERBB2	0.705783113604258	Epithelial	0.135210594401558	Neural	other
SMS	SSR4	0.180183798561836	Fibroblasts	0.528247076809181	Endothelial	other
BMP5	BMPR2	0.410462829888125	Myofibroblast_Mesothelium	0.231304010057697	Muscle	other
SMS	SSR3	0.233797228328773	Pericytes	0.404266271590408	Pericytes	other
PTN	SDC3	0.972666908857605	Pericytes	0.0968936103407912	Fibroblasts	other
SMS	SSR2	0.180183798561836	Fibroblasts	0.520779592681158	Immune	other
PTN	SDC2	0.733904083568652	Neural	0.127763264735099	Epithelial	other
SMS	SSR1	0.405791006626766	Endothelial	0.230898521759115	Muscle	other
SMS	SSR4	0.185088145176421	Epithelial	0.50194057853864	Muscle	other
PTN	SDC2	0.158756679010457	Epithelial	0.582924382337642	Myofibroblast_Mesothelium	other
FGF7	FGFR1	0.316154731500444	Pericytes	0.291413948610675	Muscle	other
PTN	SDC3	0.950228060303547	Muscle	0.0968936103407912	Fibroblasts	other
PTN	SDC2	0.733904083568652	Neural	0.124936219004911	Muscle	other
CCL2	ACKR1	0.399153745318295	Immune	0.229293946731821	Endothelial	other
SMS	SSR1	0.405791006626766	Endothelial	0.225381001085609	Immune	other
EDN1	EDNRA	0.956593998615523	Epithelial	0.0954804997318376	Fibroblasts	other
SMS	SSR3	0.268298348303119	Neural	0.339503568599768	Immune	other
SMS	SSR4	0.180183798561836	Fibroblasts	0.50194057853864	Muscle	other
SMS	SSR3	0.265073067170453	Muscle	0.339503568599768	Immune	other
NAMPT	INSR	0.389244717780021	Pericytes	0.230678317444239	Muscle	other
SMS	SSR3	0.268298348303119	Neural	0.331383855728858	Neural	other
CXCL2	ACKR1	0.386992923054955	Pericytes	0.229293946731821	Endothelial	other
NAMPT	INSR	0.880076677148492	Endothelial	0.100470157439441	Fibroblasts	other
CSF1	CSF1R	0.229540155003026	Pericytes	0.385176581116777	Immune	other
SMS	SSR3	0.268298348303119	Neural	0.32840574231432	Fibroblasts	other
ARTN	GFRA1	0.17798532797003	Pericytes	0.494053697716057	Neural	other
SMS	SSR3	0.265073067170453	Muscle	0.331383855728858	Neural	other
PTN	SDC1	1.37686059244296	Myofibroblast_Mesothelium	0.0637108302251813	Myofibroblast_Mesothelium	other
EDN1	EDNRA	0.956593998615523	Epithelial	0.0913174612006791	Myofibroblast_Mesothelium	other
SMS	SSR3	0.265073067170453	Muscle	0.32840574231432	Fibroblasts	other
FGF7	FGFR2	0.591242024832629	Muscle	0.146505619136431	Myofibroblast_Mesothelium	other
SMS	SSR3	0.233797228328773	Pericytes	0.37026691071036	Epithelial	other
NAMPT	INSR	0.880076677148492	Endothelial	0.098155947662836	Neural	other
BMP5	BMPR2	0.410462829888125	Myofibroblast_Mesothelium	0.209608015782947	Neural	other
NPY	NPY1R	0.503347339315938	Myofibroblast_Mesothelium	0.168965466726786	Pericytes	other
NAMPT	INSR	0.880076677148492	Endothelial	0.0963947566897723	Immune	other
NAMPT	INSR	0.36511807674158	Neural	0.230678317444239	Muscle	other
EREG	ERBB2	0.341315853255309	Epithelial	0.245301026220917	Fibroblasts	other
SMS	SSR3	0.268298348303119	Neural	0.31103056373386	Myofibroblast_Mesothelium	other
HBEGF	ERBB2	0.211082099005755	Immune	0.395262273052471	Epithelial	other
HBEGF	ERBB2	0.616680824884419	Endothelial	0.135210594401558	Neural	other
NTF3	NTRK3	0.171644744684981	Myofibroblast_Mesothelium	0.481452828448609	Pericytes	other
SMS	SSR3	0.268298348303119	Neural	0.307898686291103	Endothelial	other
BMP2	BMPR2	0.13436854494076	Muscle	0.613858353568455	Endothelial	other
SMS	SSR3	0.265073067170453	Muscle	0.31103056373386	Myofibroblast_Mesothelium	other
SMS	SSR3	0.268298348303119	Neural	0.307070847421277	Muscle	other
AREG	EGFR	0.705783113604258	Epithelial	0.116666629107212	Myofibroblast_Mesothelium	other
NAMPT	INSR	0.389244717780021	Pericytes	0.209878808868896	Epithelial	other
SMS	SSR3	0.265073067170453	Muscle	0.307898686291103	Endothelial	other
SMS	SSR3	0.265073067170453	Muscle	0.307070847421277	Muscle	other
SMS	SSR1	0.405791006626766	Endothelial	0.199931166976932	Epithelial	other
SMS	SSR3	0.198808899087586	Myofibroblast_Mesothelium	0.404266271590408	Pericytes	other
PTN	SDC3	1.37686059244296	Myofibroblast_Mesothelium	0.0581229386277306	Immune	other
PTN	SDC2	0.972666908857605	Pericytes	0.0819316455808347	Endothelial	other
PTN	SDC1	0.733904083568652	Neural	0.108332747790584	Epithelial	other
