Epithelial	Endothelial	interaction type	LRscore
HRAS	CAV1	autocrine|paracrine	0.774068672540908
LAMA5	BCAM	autocrine|paracrine	0.774030502311813
COL1A2	ITGA1	autocrine|paracrine	0.773519327573461
UBC	ERBB2	autocrine|paracrine	0.773467241399249
UBC	TLR4	autocrine|paracrine	0.773426687006536
JAG1	NOTCH4	autocrine|paracrine	0.773208137772089
COL5A1	ITGB1	autocrine|paracrine	0.772752437554239
SEMA3B	NRP2	autocrine|paracrine	0.772283608099348
NPNT	ITGB1	autocrine|paracrine	0.770835499620649
EFNB2	EPHB4	autocrine|paracrine	0.770045452683302
SCT	RAMP3	autocrine|paracrine	0.76794986414657
COL6A1	ITGA1	autocrine|paracrine	0.767718651235657
CLCF1	IL6ST	autocrine|paracrine	0.767025445898271
JAG1	NOTCH1	autocrine|paracrine	0.766617244646738
APOB	LSR	autocrine|paracrine	0.7662459785454
GNAI2	UNC5B	autocrine|paracrine	0.765929976381714
SEMA3C	PLXND1	autocrine|paracrine	0.765462833479353
APOA1	LRP1	autocrine|paracrine	0.765295465066523
ADAM10	NOTCH1	autocrine|paracrine	0.764879416900806
VTN	ITGB1	autocrine|paracrine	0.764597956248399
CXCL12	ITGB1	autocrine|paracrine	0.763898187910877
LAMB3	ITGB4	autocrine|paracrine	0.762946729537527
FN1	ITGA2	autocrine|paracrine	0.762206120857703
CALR	ITGAV	autocrine|paracrine	0.761453572059618
SPTAN1	PTPRA	autocrine|paracrine	0.760035601235181
LAMC1	ITGB1	autocrine|paracrine	0.75958688392675
ADAM9	ITGB1	autocrine|paracrine	0.759040874104701
HLA-B	CANX	autocrine|paracrine	0.758727290347565
CLCF1	LIFR	autocrine|paracrine	0.758345351364371
GNAI2	IGF1R	autocrine|paracrine	0.757503826297376
NAMPT	INSR	autocrine|paracrine	0.7563130123268
GNAI2	F2R	autocrine|paracrine	0.755532737791778
COL6A3	ITGB1	autocrine|paracrine	0.755422638338172
HSP90AA1	FGFR3	autocrine|paracrine	0.75386990096179
COL16A1	ITGB1	autocrine|paracrine	0.752204890316139
UBB	RIPK1	autocrine|paracrine	0.751988451416424
LAMA5	ITGA6	autocrine|paracrine	0.75136706057323
LAMC2	ITGB4	autocrine|paracrine	0.750644998272161
FN1	FLT4	autocrine|paracrine	0.750025492906539
FGG	ITGB1	autocrine|paracrine	0.749627209742517
CALM3	INSR	autocrine|paracrine	0.74905120129235
APOA2	LDLR	autocrine|paracrine	0.746829724672139
UBA52	SMAD3	autocrine|paracrine	0.746065726518052
COL1A1	ITGAV	autocrine|paracrine	0.745407993319783
COL4A1	CD93	autocrine|paracrine	0.744212076002328
COL4A1	ITGB1	autocrine|paracrine	0.742005282250712
BST1	CAV1	autocrine|paracrine	0.741168730869278
RTN4	TNFRSF19	autocrine|paracrine	0.739996017896736
HSP90B1	LRP1	autocrine|paracrine	0.73906709778305
SEMA4A	PLXND1	autocrine|paracrine	0.738798116101764
SEMA4A	PLXND1	autocrine|paracrine	0.738798116101764
EDN1	EDNRB	autocrine|paracrine	0.738106420806716
VTN	KDR	autocrine|paracrine	0.736634388048098
LAMC1	ITGA6	autocrine|paracrine	0.733070294489818
COL1A2	ITGAV	autocrine|paracrine	0.732769827904682
ADAM9	ITGA6	autocrine|paracrine	0.732485271492786
FGA	CDH5	autocrine|paracrine	0.730126474826462
APOE	LRP5	autocrine|paracrine	0.730076201910318
B2M	TFRC	autocrine|paracrine	0.728792520308853
CTGF	LRP6	autocrine|paracrine	0.728198734555145
RPS27A	ADRB2	autocrine|paracrine	0.727805647013845
ARF1	CHRM3	autocrine|paracrine	0.727159804602841
ADM	RAMP3	autocrine|paracrine	0.726661578995671
GSTP1	TRAF2	autocrine|paracrine	0.72631325496007
APOE	SCARB1	autocrine|paracrine	0.725975920897521
SEMA3C	NRP1	autocrine|paracrine	0.725334928438709
HSP90B1	ERBB2	autocrine|paracrine	0.724557762226596
HSP90B1	TLR4	autocrine|paracrine	0.724511570563484
UBA52	TGFBR1	autocrine|paracrine	0.724005675050953
UBC	ADRB2	autocrine|paracrine	0.723620358017915
CXCL1	ACKR1	autocrine|paracrine	0.723207467664881
CXCL1	ACKR1	autocrine|paracrine	0.723207467664881
COL18A1	ITGB1	autocrine|paracrine	0.721219826420266
HSPG2	ITGA2	autocrine|paracrine	0.721154863916265
HSP90AA1	ERBB2	autocrine|paracrine	0.720612124321012
GNAI2	S1PR1	autocrine|paracrine	0.719453703568486
COL6A2	ITGA2	autocrine|paracrine	0.718666149327138
VTN	ITGA5	autocrine|paracrine	0.716857426730921
TIMP3	KDR	autocrine|paracrine	0.71525248859294
VEGFA	ITGAV	autocrine|paracrine	0.714761296919601
EFNA1	EPHA4	autocrine|paracrine	0.714336236294937
SEMA6A	PLXNA2	autocrine|paracrine	0.714206790884035
JAG1	CD46	autocrine|paracrine	0.711252421017954
LAMA3	SDC2	autocrine|paracrine	0.710797513705772
COL2A1	ITGA2	autocrine|paracrine	0.710612014295055
SERPINA1	LRP1	autocrine|paracrine	0.710265950611995
UBB	ERBB2	autocrine|paracrine	0.710152587389055
UBB	TLR4	autocrine|paracrine	0.71010494651714
CEL	CXCR4	autocrine|paracrine	0.710052995707658
CALM1	ABCA1	autocrine|paracrine	0.709688867203788
FABP5	RXRA	autocrine|paracrine	0.708719497648312
FBN1	ITGB1	autocrine|paracrine	0.706295450209005
APP	NCSTN	autocrine|paracrine	0.704805904334953
ADM2	RAMP2	autocrine|paracrine	0.704547078338499
ARF1	PLD2	autocrine|paracrine	0.70155554936372
POMC	RAMP2	autocrine|paracrine	0.701256455347023
ADAM17	ITGB1	autocrine|paracrine	0.700626628079878
MUC2	AGR2	autocrine|paracrine	0.700268660122091
FGG	ITGA5	autocrine|paracrine	0.700041649712071
CDH1	ITGAE	autocrine|paracrine	0.698601642546489
MDK	SDC3	autocrine|paracrine	0.698097724315669
LAMB1	ITGA2	autocrine|paracrine	0.697604626458952
CDH1	LRP5	autocrine|paracrine	0.697602374249236
PLAU	ITGB1	autocrine|paracrine	0.697208211765807
PIGF	FLT1	autocrine|paracrine	0.69583388078757
NID1	ITGB1	autocrine|paracrine	0.693931702800176
UBA52	RIPK1	autocrine|paracrine	0.693298388601323
FGA	ITGB1	autocrine|paracrine	0.693196568723478
TNFSF10	TNFRSF10B	autocrine|paracrine	0.692271086558377
B2M	HLA-F	autocrine|paracrine	0.690788739598818
CYR61	ITGAV	autocrine|paracrine	0.690233387450781
COL18A1	KDR	autocrine|paracrine	0.690191260130237
P4HB	MTTP	autocrine|paracrine	0.689050608902723
FN1	ITGAV	autocrine|paracrine	0.688432128984219
COL6A2	ITGA1	autocrine|paracrine	0.686845221747198
SEMA4G	PLXNB2	autocrine|paracrine	0.683766631104914
CALM2	ABCA1	autocrine|paracrine	0.683148897828878
TGFB1	CAV1	autocrine|paracrine	0.683148526254974
FN1	PLAUR	autocrine|paracrine	0.681238110552482
RPS19	C5AR1	autocrine|paracrine	0.681117858982968
LGALS3BP	VANGL1	autocrine|paracrine	0.680510693336353
RTN4	RTN4R	autocrine|paracrine	0.680276661772648
RGMB	BMPR2	autocrine|paracrine	0.680153466732684
CALR	LRP1	autocrine|paracrine	0.679471205031343
COL2A1	ITGA1	autocrine|paracrine	0.678287907368772
COL7A1	ITGB1	autocrine|paracrine	0.67495759740213
GNAS	ADCY9	autocrine|paracrine	0.673828058315987
LAMA3	ITGA3	autocrine|paracrine	0.671601777359739
GNAS	ADCY1	autocrine|paracrine	0.671277991158727
DUSP18	RPSA	autocrine|paracrine	0.670490483176546
CALM1	CACNA1C	autocrine|paracrine	0.669700748334351
VIM	CD44	autocrine|paracrine	0.668591836409729
COL18A1	ITGA5	autocrine|paracrine	0.668496226257678
PSEN1	NCSTN	autocrine|paracrine	0.667999754967373
HMGB1	TLR4	autocrine|paracrine	0.667459007564325
APOE	LRP1	autocrine|paracrine	0.667457931107763
APOE	VLDLR	autocrine|paracrine	0.666864651903105
LAMA5	ITGA2	autocrine|paracrine	0.666079813805367
BMP2	ACVR2B	autocrine|paracrine	0.665177900540722
LAMB1	ITGA1	autocrine|paracrine	0.664513546244087
APOB	LRP1	autocrine|paracrine	0.664231917191639
CYR61	ITGB5	autocrine|paracrine	0.664123930339765
APOB	VLDLR	autocrine|paracrine	0.663635782988999
COL9A2	ITGB1	autocrine|paracrine	0.661996997063568
CGN	F11R	autocrine|paracrine	0.661554789522126
CALM1	KCNQ1	autocrine|paracrine	0.660971363239167
NECTIN2	NECTIN3	autocrine|paracrine	0.660499936131885
EFNB1	EPHB4	autocrine|paracrine	0.660394856545177
BMP7	ENG	autocrine|paracrine	0.65933706238475
COL1A1	DDR2	autocrine|paracrine	0.658250866195714
IGFBP4	LRP6	autocrine|paracrine	0.657682572256128
CALM1	PDE1C	autocrine|paracrine	0.657642455229696
ADAM17	NOTCH1	autocrine|paracrine	0.656943412507677
BMP4	BMPR2	autocrine|paracrine	0.656689860873156
PTN	PLXNB2	autocrine|paracrine	0.656113834730819
APOB	MTTP	autocrine|paracrine	0.655637193608257
CD55	ADGRE5	autocrine|paracrine	0.655029061562624
COL3A1	DDR2	autocrine|paracrine	0.654807267282185
VEGFA	ITGA9	autocrine|paracrine	0.653233012207382
HSPA1A	TLR4	autocrine|paracrine	0.653059388650467
DUSP18	ITGB1	autocrine|paracrine	0.65295121861893
HSPA8	ADRB2	autocrine|paracrine	0.652789132423309
UBB	ADRB2	autocrine|paracrine	0.652630697667548
FBN1	ITGA5	autocrine|paracrine	0.652110799224558
HBEGF	CD9	autocrine|paracrine	0.651720445647445
APOC2	LDLR	autocrine|paracrine	0.650979612987407
LIF	IL6ST	autocrine|paracrine	0.65010305273596
CALR	ITGA3	autocrine|paracrine	0.64971360038698
EFNB2	EPHA4	autocrine|paracrine	0.649332834180596
CDH1	PTPRF	autocrine|paracrine	0.649284051155406
APOB	TLR4	autocrine|paracrine	0.647492966256835
FN1	NT5E	autocrine|paracrine	0.64666064549244
APOC3	SDC2	autocrine|paracrine	0.646454002250472
UBA52	ERBB2	autocrine|paracrine	0.646219997137485
UBA52	TLR4	autocrine|paracrine	0.646167083715667
ADAM17	ITGA5	autocrine|paracrine	0.645920445073348
AREG	ERBB3	autocrine|paracrine	0.64569817816537
LAMA4	ITGB1	autocrine|paracrine	0.645644635365758
C3	CD46	autocrine|paracrine	0.644531698768185
LAMC1	ITGA2	autocrine|paracrine	0.644476527154504
PLAU	ITGA5	autocrine|paracrine	0.642196373754206
QDPR	DYSF	autocrine|paracrine	0.642092970155198
COMP	ITGB1	autocrine|paracrine	0.641617405912745
LAMB1	ITGB4	autocrine|paracrine	0.641495795235016
CALM2	CACNA1C	autocrine|paracrine	0.641352530747809
THBS2	ITGB1	autocrine|paracrine	0.64112120209753
CALM3	ABCA1	autocrine|paracrine	0.641064582199773
PCSK9	LDLR	autocrine|paracrine	0.639828735570531
COL6A3	ITGA2	autocrine|paracrine	0.639265328711185
LIF	LIFR	autocrine|paracrine	0.639116309108541
FGA	ITGA5	autocrine|paracrine	0.637834485660448
TGM2	ADGRG1	autocrine|paracrine	0.636861965378597
FGB	ITGAV	autocrine|paracrine	0.636317186317692
UBA52	ACVR1	autocrine|paracrine	0.635261076389651
SEMA6D	KDR	autocrine|paracrine	0.635176777626627
APOC3	LRP1	autocrine|paracrine	0.634884357860414
CGN	TGFBR1	autocrine|paracrine	0.633899347849502
VEGFA	SIRPA	autocrine|paracrine	0.632991285066999
COL5A2	ITGA1	autocrine|paracrine	0.632726648026671
CALM2	KCNQ1	autocrine|paracrine	0.632285308096279
HLA-A	ERBB2	autocrine|paracrine	0.630381818972172
DLL4	NOTCH4	autocrine|paracrine	0.630174645728155
TNFSF15	TNFRSF25	autocrine|paracrine	0.630071080189438
GNAI2	EDNRB	autocrine|paracrine	0.629835074946728
CALM2	PDE1C	autocrine|paracrine	0.62883290252898
GCG	RAMP2	autocrine|paracrine	0.627931137385318
LAMB2	ITGB4	autocrine|paracrine	0.62710456979531
FN1	COL13A1	autocrine|paracrine	0.626934046627136
APOA4	LRP1	autocrine|paracrine	0.62660951694795
COL5A1	ITGA1	autocrine|paracrine	0.626190055368273
SPINT1	ST14	autocrine|paracrine	0.626138931996421
ANGPT2	TIE1	autocrine|paracrine	0.625941577949027
SEMA3C	NRP2	autocrine|paracrine	0.625798026094244
TGFB1	ENG	autocrine|paracrine	0.625649437465514
LAMB3	ITGA3	autocrine|paracrine	0.624351655744125
FN1	ITGA9	autocrine|paracrine	0.624210412894152
PSAP	SORT1	autocrine|paracrine	0.623752039546201
SHBG	CLDN4	autocrine|paracrine	0.623553522670725
COL4A1	ITGA2	autocrine|paracrine	0.622658693914288
ADAM15	ITGB1	autocrine|paracrine	0.622479447839493
LEFTY1	ACVR1B	autocrine|paracrine	0.621951844300211
DLL4	NOTCH1	autocrine|paracrine	0.621462011412303
HSPG2	CHRM3	autocrine|paracrine	0.620903873316834
BMP2	ACVR1	autocrine|paracrine	0.620587828650633
DUSP18	ITGA6	autocrine|paracrine	0.620548592889919
PSAP	LRP1	autocrine|paracrine	0.620089167240444
THBS1	CD47	autocrine|paracrine	0.619957979772158
MDK	LRP1	autocrine|paracrine	0.618850357079855
FN1	IL17RC	autocrine|paracrine	0.618429296162732
CCL2	ACKR1	autocrine|paracrine	0.618351546010166
CCL2	ACKR1	autocrine|paracrine	0.618351546010166
P4HB	GPR162	autocrine|paracrine	0.617935352395849
TGFB1	ITGB1	autocrine|paracrine	0.617891336617441
LRPAP1	SORT1	autocrine|paracrine	0.61757219085721
GAS6	MERTK	autocrine|paracrine	0.615926700750959
DLL1	NOTCH4	autocrine|paracrine	0.615090451162234
CDH1	ERBB3	autocrine|paracrine	0.61489606038314
ADM2	CALCRL	autocrine|paracrine	0.614457810893699
EGF	CAV1	autocrine|paracrine	0.614022967919813
EFEMP2	AQP1	autocrine|paracrine	0.614019665918183
LAMB1	ITGAV	autocrine|paracrine	0.613939885167694
LRPAP1	LRP1	autocrine|paracrine	0.613886397730165
LRPAP1	VLDLR	autocrine|paracrine	0.613252922610808
LAMA4	ITGA6	autocrine|paracrine	0.612964187542628
TNC	ITGB1	autocrine|paracrine	0.611385737756403
CALR	HLA-F	autocrine|paracrine	0.610772496220192
GNAS	AVPR2	autocrine|paracrine	0.61044449209081
PTMA	VIPR1	autocrine|paracrine	0.610426499421801
PROC	PROCR	autocrine|paracrine	0.609856927064562
GPC3	LRP1	autocrine|paracrine	0.609471582291289
LAMC1	ITGA1	autocrine|paracrine	0.608831623505609
LAMC2	ITGA3	autocrine|paracrine	0.608547842284294
THBS2	ITGA6	autocrine|paracrine	0.608276686684454
PTGS2	CAV1	autocrine|paracrine	0.608013552765213
SEMA3A	NRP1	autocrine|paracrine	0.607498602996016
LAMA5	ITGB4	autocrine|paracrine	0.607413428714244
FN1	SDC2	autocrine|paracrine	0.606765614454147
DLL1	NOTCH1	autocrine|paracrine	0.606244496436177
CXCL12	ACKR3	autocrine|paracrine	0.603811764992214
COL6A3	ITGA1	autocrine|paracrine	0.603419456020237
DCN	MET	autocrine|paracrine	0.602815088882662
THBS2	NOTCH4	autocrine|paracrine	0.602731740209646
THBS2	CD36	autocrine|paracrine	0.601072776336417
LIPH	LPAR4	autocrine|paracrine	0.600395211596631
TGFB1	TGFBR2	autocrine|paracrine	0.600022418744622
MFGE8	ITGAV	autocrine|paracrine	0.600020142831591
