Immune	Fibroblasts	interaction type	LRscore
TGFB1	TGFBR3	autocrine|paracrine	0.736300200850076
UBA52	NOTCH1	autocrine|paracrine	0.735293235141699
CALR	ITGAV	autocrine|paracrine	0.734012207914566
FBLN1	ITGB1	autocrine|paracrine	0.732478628846939
APOC3	LRP1	autocrine|paracrine	0.732166180649008
PLAU	MRC2	autocrine|paracrine	0.73030507523912
COL1A1	ITGAV	autocrine|paracrine	0.730241577398424
TNF	TNFRSF1A	autocrine|paracrine	0.727162989911912
CALM1	PTPRA	autocrine|paracrine	0.726787883335873
COL1A1	ITGA5	autocrine|paracrine	0.726048933229552
PLAU	LRP1	autocrine|paracrine	0.725924724860427
TGFB1	ENG	autocrine|paracrine	0.724113381205597
UBA52	TGFBR2	autocrine|paracrine	0.723737319488322
LTB	TNFRSF1A	autocrine|paracrine	0.721147464639007
COL6A3	ITGB1	autocrine|paracrine	0.720870464882849
LRPAP1	LDLR	autocrine|paracrine	0.719323093454964
NID1	ITGB1	autocrine|paracrine	0.719270011972982
HLA-C	DDR1	autocrine|paracrine	0.718821012522271
COL1A1	CD44	autocrine|paracrine	0.718146285177944
UBA52	FGFR2	autocrine|paracrine	0.716362151171516
TGFB1	ITGAV	autocrine|paracrine	0.71600492190791
ICAM4	ITGB1	autocrine|paracrine	0.714434123210173
COL1A2	ITGAV	autocrine|paracrine	0.714283983589437
A2M	LRP1	autocrine|paracrine	0.712901770809123
VEGFA	GPC1	autocrine|paracrine	0.710560472575975
APP	LRP1	autocrine|paracrine	0.709546210388951
TGFB1	TGFBR2	autocrine|paracrine	0.708186712486784
FYN	THY1	autocrine|paracrine	0.705380100321315
COL1A2	CD44	autocrine|paracrine	0.701765406280799
UBA52	SMAD3	autocrine|paracrine	0.699391985531072
VEGFA	NRP1	autocrine|paracrine	0.69819870668487
CALM3	MYLK	autocrine|paracrine	0.697533177241423
PKM	CD44	autocrine|paracrine	0.69692684176602
UBC	RIPK1	autocrine|paracrine	0.69671806419032
RPS27A	RIPK1	autocrine|paracrine	0.696437544327739
C3	CD81	autocrine|paracrine	0.696362534376506
LAMB2	RPSA	autocrine|paracrine	0.693884349602323
CALM1	INSR	autocrine|paracrine	0.690800161070309
COL1A1	ITGA1	autocrine|paracrine	0.690352173231787
HSP90B1	ASGR1	autocrine|paracrine	0.689395564568898
COL5A2	ITGB1	autocrine|paracrine	0.689217085310203
UBA52	TGFBR1	autocrine|paracrine	0.688688696945309
COL4A1	ITGB1	autocrine|paracrine	0.688145136976272
COL16A1	ITGB1	autocrine|paracrine	0.68733069938715
ARF1	INSR	autocrine|paracrine	0.685630961460228
UBA52	ACVR1	autocrine|paracrine	0.685618853083826
MMP2	SDC2	autocrine|paracrine	0.684797864219331
TGFB1	ACVRL1	autocrine|paracrine	0.683934738745053
HSP90AA1	EGFR	autocrine|paracrine	0.683873299840716
GNAI2	IGF1R	autocrine|paracrine	0.683663873104708
TGFB1	SMAD3	autocrine|paracrine	0.683071096400342
FABP5	RXRA	autocrine|paracrine	0.68119203006238
CALM1	PDE1A	autocrine|paracrine	0.678292139517742
APOC3	SDC2	autocrine|paracrine	0.678089301897352
SPTAN1	PTPRA	autocrine|paracrine	0.677541549579246
APOA4	LRP1	autocrine|paracrine	0.676676017405924
HBEGF	CD9	autocrine|paracrine	0.676133407912529
VEGFA	TYRO3	autocrine|paracrine	0.675887344171399
COL1A1	DDR1	autocrine|paracrine	0.674623484490342
CALM2	INSR	autocrine|paracrine	0.67319625290603
COL1A2	ITGA1	autocrine|paracrine	0.673091271667252
GNAI2	EDNRA	autocrine|paracrine	0.672623157071064
TGFB1	TGFBR1	autocrine|paracrine	0.672059175380936
C1QA	CSPG4	autocrine|paracrine	0.67195133491515
APOC3	LDLR	autocrine|paracrine	0.671437026416409
MUC2	AGR2	autocrine|paracrine	0.669449635807535
PSEN1	NOTCH3	autocrine|paracrine	0.668034594015497
ARPC5	LDLR	autocrine|paracrine	0.667622087908547
APOE	LRP1	autocrine|paracrine	0.666995353563015
PTN	PLXNB2	autocrine|paracrine	0.666471184086501
VEGFA	NRP2	autocrine|paracrine	0.665399583054165
APP	CAV1	autocrine|paracrine	0.665210939088887
TGFB1	ITGB5	autocrine|paracrine	0.66480591414167
UBC	ADRB2	autocrine|paracrine	0.664311314408638
TGM2	ITGB1	autocrine|paracrine	0.664176791415088
RPS27A	ADRB2	autocrine|paracrine	0.664015274901845
PDAP1	PDGFRB	autocrine|paracrine	0.663727207220352
COL3A1	DDR1	autocrine|paracrine	0.662877227833828
VEGFA	ITGAV	autocrine|paracrine	0.661611503579201
HBEGF	ERBB2	autocrine|paracrine	0.660355760073558
CALM2	PDE1A	autocrine|paracrine	0.660326263884767
PDGFB	PDGFRA	autocrine|paracrine	0.659940336328453
MDK	SDC3	autocrine|paracrine	0.659205936376419
PDGFB	LRP1	autocrine|paracrine	0.658476990627239
MFGE8	PDGFRB	autocrine|paracrine	0.656231344335866
SEMA4A	PLXNB2	autocrine|paracrine	0.652779147947979
PSEN1	NOTCH2	autocrine|paracrine	0.652626849695214
PLAT	LRP1	autocrine|paracrine	0.652292419552605
GNAI2	EDNRB	autocrine|paracrine	0.651062561862196
PSEN1	NCSTN	autocrine|paracrine	0.647051624034594
APOB	LRP1	autocrine|paracrine	0.646977972784833
APP	CD74	autocrine|paracrine	0.646337388047532
GPC3	LRP1	autocrine|paracrine	0.644225783748702
CYR61	CAV1	autocrine|paracrine	0.642141054631488
UBB	RIPK1	autocrine|paracrine	0.641924634193665
HMGB1	SDC1	autocrine|paracrine	0.641922880661547
IL1B	IL1R1	autocrine|paracrine	0.641143985121011
SPP1	ITGB1	autocrine|paracrine	0.640645464127536
LAMC1	ITGB1	autocrine|paracrine	0.640533396296881
SERPINE2	LRP1	autocrine|paracrine	0.637519782328123
OSM	IL6ST	autocrine|paracrine	0.63634737521347
HSPG2	ITGB1	autocrine|paracrine	0.634102139439227
FN1	SDC2	autocrine|paracrine	0.633962119426365
VEGFA	SIRPA	autocrine|paracrine	0.633255523356586
SCT	RAMP2	autocrine|paracrine	0.632723656106327
PDGFB	PDGFRB	autocrine|paracrine	0.631668960012957
LAMB1	ITGB1	autocrine|paracrine	0.631201279836804
CD55	ADGRE5	autocrine|paracrine	0.63092792022163
GNAS	ADCY7	autocrine|paracrine	0.630799829240164
LAMB2	ITGB1	autocrine|paracrine	0.629048303938232
ADAM15	ITGB1	autocrine|paracrine	0.627232604401235
PDGFA	PDGFRA	autocrine|paracrine	0.625389225802886
HLA-C	NOTCH4	autocrine|paracrine	0.624652254421043
TNFSF14	LTBR	autocrine|paracrine	0.624407189064344
SEMA7A	ITGB1	autocrine|paracrine	0.624398607860176
FGB	ITGB1	autocrine|paracrine	0.623239027285484
COL9A2	ITGB1	autocrine|paracrine	0.617757642062018
GSTP1	TRAF2	autocrine|paracrine	0.616510384735848
LYPD3	AGR2	autocrine|paracrine	0.615193683738933
SEMA4D	PLXNB2	autocrine|paracrine	0.615077996560642
PSEN1	NOTCH1	autocrine|paracrine	0.614583950199023
ICAM1	EGFR	autocrine|paracrine	0.611815055222479
APP	GPC1	autocrine|paracrine	0.611503241108234
ADM	RAMP2	autocrine|paracrine	0.610836862832502
APOA4	LDLR	autocrine|paracrine	0.610065761360792
ARF1	PLD2	autocrine|paracrine	0.608428353463046
GNAI2	UNC5B	autocrine|paracrine	0.607551535242931
UBB	ADRB2	autocrine|paracrine	0.606965875574049
CTGF	LRP1	autocrine|paracrine	0.60668949425041
HMGB1	THBD	autocrine|paracrine	0.604498757926568
CXCL12	ACKR3	autocrine|paracrine	0.602142768588541
HSPA8	ADRB2	autocrine|paracrine	0.601093764139828
COL1A1	CD36	autocrine|paracrine	0.600652421908716
