Endothelial	Muscle	interaction type	LRscore
LAMA4	ITGB1	autocrine|paracrine	0.845740600336317
HSP90B1	ERBB2	autocrine|paracrine	0.845630211137492
NID1	ITGB1	autocrine|paracrine	0.844192213157395
COL1A2	ITGA1	autocrine|paracrine	0.843858573134231
TIMP2	ITGB1	autocrine|paracrine	0.843747316011353
COL1A1	ITGA1	autocrine|paracrine	0.842689384581705
HBEGF	CD9	autocrine|paracrine	0.841467003208894
TGFB1	ITGB1	autocrine|paracrine	0.841035005794429
APOA1	LRP1	autocrine|paracrine	0.840370601635765
LAMA5	ITGB1	autocrine|paracrine	0.838598347277843
PRND	RPSA	autocrine|paracrine	0.838574393860476
UBB	TGFBR1	autocrine|paracrine	0.835833854613874
CALR	LRP1	autocrine|paracrine	0.833941939739872
RPS27A	TGFBR2	autocrine|paracrine	0.833193243448016
HSPA8	LDLR	autocrine|paracrine	0.833069641157208
UBB	FGFR2	autocrine|paracrine	0.832641610033033
HLA-A	ERBB2	autocrine|paracrine	0.832454895395004
CALM1	INSR	autocrine|paracrine	0.832395057617139
MADCAM1	CD44	autocrine|paracrine	0.831066675260434
UBB	LDLR	autocrine|paracrine	0.827955046547784
COL5A2	ITGB1	autocrine|paracrine	0.827104687538796
FN1	ITGA5	autocrine|paracrine	0.822782245048148
COL1A2	CD44	autocrine|paracrine	0.822580544040271
COL3A1	DDR2	autocrine|paracrine	0.82199055114435
UBC	TGFBR2	autocrine|paracrine	0.821507807952487
COL1A1	CD44	autocrine|paracrine	0.821285768673676
APP	LRP1	autocrine|paracrine	0.821023353689973
IGFBP4	LRP6	autocrine|paracrine	0.820581170255285
COL6A1	ITGA1	autocrine|paracrine	0.820335269674031
FBLN1	ITGB1	autocrine|paracrine	0.82026117347654
FN1	ITGA9	autocrine|paracrine	0.819177162770805
UBA52	ERBB2	autocrine|paracrine	0.818631621499348
PSAP	LRP1	autocrine|paracrine	0.818181489972954
AGRN	LRP1	autocrine|paracrine	0.817113855353634
MDK	SDC3	autocrine|paracrine	0.815893084855203
ICAM4	ITGB1	autocrine|paracrine	0.815836997571128
LAMB1	ITGA1	autocrine|paracrine	0.814450939807949
COL1A1	DDR2	autocrine|paracrine	0.814040318107041
COL9A3	ITGB1	autocrine|paracrine	0.812200880184242
LAMC1	ITGA1	autocrine|paracrine	0.810634753909394
CALM1	CACNA1C	autocrine|paracrine	0.810060694675592
TGM2	ITGB1	autocrine|paracrine	0.809764556614299
PKM	CD44	autocrine|paracrine	0.806467742186692
VEGFC	ITGB1	autocrine|paracrine	0.80330997665393
HRAS	CAV1	autocrine|paracrine	0.803062587247701
UBB	TGFBR2	autocrine|paracrine	0.801326334171096
ADAM17	ITGB1	autocrine|paracrine	0.8008807536724
GPC3	CD81	autocrine|paracrine	0.799669123150338
VCAN	ITGB1	autocrine|paracrine	0.798970254003557
ARF1	INSR	autocrine|paracrine	0.798187015795895
RPS27A	SMAD3	autocrine|paracrine	0.797524389403352
HSPG2	COL13A1	autocrine|paracrine	0.797123715182216
JAM3	ITGB1	autocrine|paracrine	0.796391559073906
COL6A3	ITGB1	autocrine|paracrine	0.794813299684143
ADAM15	ITGA5	autocrine|paracrine	0.794354457556072
NAMPT	INSR	autocrine|paracrine	0.793807365067471
THBS1	ITGB1	autocrine|paracrine	0.793806212839235
HBEGF	CD44	autocrine|paracrine	0.793213041468338
LUM	ITGB1	autocrine|paracrine	0.791214143956363
FABP5	RXRA	autocrine|paracrine	0.790803927156438
ADAM15	ITGA9	autocrine|paracrine	0.790318454029084
COL1A1	ITGA5	autocrine|paracrine	0.788752183860977
COL5A1	ITGA1	autocrine|paracrine	0.787705364576532
UBA52	TGFBR1	autocrine|paracrine	0.787669054456204
HBEGF	ERBB2	autocrine|paracrine	0.786629882942094
COL18A1	ITGA5	autocrine|paracrine	0.786471447015484
APOA1	LDLR	autocrine|paracrine	0.784794272107795
FN1	IL17RC	autocrine|paracrine	0.78461904108673
UBA52	NOTCH1	autocrine|paracrine	0.78403521435241
FYN	THY1	autocrine|paracrine	0.784003098926737
UBC	SMAD3	autocrine|paracrine	0.783988034857412
UBA52	FGFR2	autocrine|paracrine	0.783782512947567
APP	CD74	autocrine|paracrine	0.78194550455928
CALM2	INSR	autocrine|paracrine	0.781733457907472
COL4A1	CD47	autocrine|paracrine	0.780957399247592
CTGF	LRP1	autocrine|paracrine	0.779468679115484
FN1	SDC2	autocrine|paracrine	0.779398271496668
UBA52	LDLR	autocrine|paracrine	0.778092382317804
CALM1	PTPRA	autocrine|paracrine	0.776699882608802
VEGFC	NRP2	autocrine|paracrine	0.773989313999985
HSPG2	CHRM3	autocrine|paracrine	0.773718701164443
HSP90AA1	FGFR3	autocrine|paracrine	0.770880562002156
PLAU	ITGB1	autocrine|paracrine	0.768006035895717
COL3A1	DDR1	autocrine|paracrine	0.765177574391459
DLL4	NOTCH2	autocrine|paracrine	0.763576469263737
COL5A2	ITGA1	autocrine|paracrine	0.763408563409911
VEGFA	ITGB1	autocrine|paracrine	0.761478177140399
COL16A1	ITGB1	autocrine|paracrine	0.761209468054107
FN1	PLAUR	autocrine|paracrine	0.761097266864742
COL4A1	ITGAV	autocrine|paracrine	0.761043242480581
UBB	SMAD3	autocrine|paracrine	0.76079955404523
FBN1	ITGA5	autocrine|paracrine	0.759629486081389
JAG2	NOTCH2	autocrine|paracrine	0.759302304076976
CALM3	INSR	autocrine|paracrine	0.759250112700987
HLA-C	DDR1	autocrine|paracrine	0.757733454639338
COL1A1	DDR1	autocrine|paracrine	0.755444876608536
GNAI2	S1PR3	autocrine|paracrine	0.755343270039283
CALM2	CACNA1C	autocrine|paracrine	0.754638088423946
GNAI2	IGF1R	autocrine|paracrine	0.752532630940817
FN1	ITGAV	autocrine|paracrine	0.75228171158771
GNAS	ADRB3	autocrine|paracrine	0.747020520307442
FN1	COL13A1	autocrine|paracrine	0.746614315894253
CALM1	PDE1A	autocrine|paracrine	0.746127036880367
UBA52	TGFBR2	autocrine|paracrine	0.746112607387682
LRPAP1	LRP1	autocrine|paracrine	0.744304377392788
JAG1	NOTCH2	autocrine|paracrine	0.744292491251105
APP	NCSTN	autocrine|paracrine	0.743748713080342
TFPI	LRP1	autocrine|paracrine	0.742720601841667
SERPINA1	LRP1	autocrine|paracrine	0.741680667320422
B2M	TFRC	autocrine|paracrine	0.741430169700462
UBA52	ACVR1	autocrine|paracrine	0.738627883026799
TGFB1	TGFBR3	autocrine|paracrine	0.736884355092508
GNAI2	EDNRA	autocrine|paracrine	0.735018444867422
APOE	LRP1	autocrine|paracrine	0.733791367090027
GNAI2	F2R	autocrine|paracrine	0.733388274992619
CYR61	ITGA5	autocrine|paracrine	0.733089895509825
PDGFB	LRP1	autocrine|paracrine	0.732061478684752
SEMA3B	NRP2	autocrine|paracrine	0.731013301705843
SPTAN1	PTPRA	autocrine|paracrine	0.729433766465936
DLL4	NOTCH1	autocrine|paracrine	0.729418172248893
APOC3	LRP1	autocrine|paracrine	0.728442746199703
VEGFA	NRP2	autocrine|paracrine	0.7280328402887
CTGF	ITGA5	autocrine|paracrine	0.727096729003903
COL18A1	GPC4	autocrine|paracrine	0.725073482668183
SERPING1	LRP1	autocrine|paracrine	0.724925718576045
JAG2	NOTCH1	autocrine|paracrine	0.724749082879774
PLAT	LRP1	autocrine|paracrine	0.724461157930472
SEMA3F	NRP2	autocrine|paracrine	0.723910076013738
DLL1	NOTCH2	autocrine|paracrine	0.723723593090284
COL6A3	ITGA1	autocrine|paracrine	0.723201995411774
COL5A1	SDC3	autocrine|paracrine	0.721335975109427
JAG1	CD46	autocrine|paracrine	0.719646559778147
MMP2	SDC2	autocrine|paracrine	0.71735683988225
SEMA3G	NRP2	autocrine|paracrine	0.717064126608609
ADAM15	ITGAV	autocrine|paracrine	0.716442306906866
EFNB2	EPHB4	autocrine|paracrine	0.716101071566774
NECTIN2	NECTIN3	autocrine|paracrine	0.713746378351613
ACTR2	LDLR	autocrine|paracrine	0.713022311483226
FN1	ITGA8	autocrine|paracrine	0.712344265477763
CALR	ITGAV	autocrine|paracrine	0.712324812160598
COL1A2	ITGAV	autocrine|paracrine	0.711313761619864
TGFB3	ITGB1	autocrine|paracrine	0.711185207114678
COL1A1	ITGAV	autocrine|paracrine	0.709493752580604
COL4A5	ITGB1	autocrine|paracrine	0.709240745210795
JAG1	NOTCH1	autocrine|paracrine	0.708412004502903
PGF	NRP2	autocrine|paracrine	0.707889684551816
NPNT	ITGB1	autocrine|paracrine	0.707792308605151
TGFB1	TGFBR1	autocrine|paracrine	0.707448581500727
SEMA4C	PLXNB2	autocrine|paracrine	0.706875822065618
ADAM9	ITGB1	autocrine|paracrine	0.706788781659967
THBS1	LRP1	autocrine|paracrine	0.705974231256832
EFNB2	EPHB2	autocrine|paracrine	0.705951438003968
LGALS3BP	ITGB1	autocrine|paracrine	0.703763464985799
RPS27A	RIPK1	autocrine|paracrine	0.702452951915485
PTN	PLXNB2	autocrine|paracrine	0.701516499920711
NID1	PTPRF	autocrine|paracrine	0.701049738645486
SEMA4A	PLXNB2	autocrine|paracrine	0.700385970560654
CALM1	ABCA1	autocrine|paracrine	0.699998547127269
UBA52	SMAD3	autocrine|paracrine	0.698559788809566
VCAN	CD44	autocrine|paracrine	0.696944826448135
EFNB2	PECAM1	autocrine|paracrine	0.696637367256103
EFNB1	ERBB2	autocrine|paracrine	0.696506972257139
ARPC5	LDLR	autocrine|paracrine	0.695509828693596
SERPINE2	LRP1	autocrine|paracrine	0.695097273682751
GSTP1	TRAF2	autocrine|paracrine	0.693833879656918
PTGS2	CAV1	autocrine|paracrine	0.692802194929448
TNFSF12	TNFRSF12A	autocrine|paracrine	0.689888317540319
BMP2	BMPR2	autocrine|paracrine	0.689854985301814
DLL1	NOTCH1	autocrine|paracrine	0.686173856128879
UBC	RIPK1	autocrine|paracrine	0.685070521661329
LAMA5	BCAM	autocrine|paracrine	0.684969440507738
APP	TNFRSF21	autocrine|paracrine	0.684745375601941
HSPG2	ITGA2	autocrine|paracrine	0.680959626840587
CTGF	LRP6	autocrine|paracrine	0.680475165559027
EFNA1	EPHA7	autocrine|paracrine	0.679607914852016
CALM2	PDE1A	autocrine|paracrine	0.6794316768958
ARF1	CHRM3	autocrine|paracrine	0.678716528656107
ADAM10	NOTCH1	autocrine|paracrine	0.678093666041179
FBN1	ITGAV	autocrine|paracrine	0.673961081460057
PLAU	LRP1	autocrine|paracrine	0.673701523914607
ADAM10	AXL	autocrine|paracrine	0.672432625177026
DUSP18	RPSA	autocrine|paracrine	0.671015445881504
COL4A2	ITGB5	autocrine|paracrine	0.670058609853475
PTN	SDC3	autocrine|paracrine	0.669443743441041
LRPAP1	LDLR	autocrine|paracrine	0.668476233751612
CXCL12	ACKR3	autocrine|paracrine	0.66762029059391
MAPK1	FGFR2	autocrine|paracrine	0.66756212231969
MFAP2	NOTCH1	autocrine|paracrine	0.666954740867672
LAMA3	ITGB1	autocrine|paracrine	0.666933278855265
LAMB1	ITGAV	autocrine|paracrine	0.666799579234246
GAS6	AXL	autocrine|paracrine	0.666635218154328
COL18A1	GPC1	autocrine|paracrine	0.665288746510231
HBEGF	CD82	autocrine|paracrine	0.665091240960804
GNAS	PTGDR	autocrine|paracrine	0.664423456594486
P4HB	MTTP	autocrine|paracrine	0.664238253755983
PSEN1	CD44	autocrine|paracrine	0.664013964226122
COL4A1	ITGB8	autocrine|paracrine	0.663012556262728
TGM2	ITGA9	autocrine|paracrine	0.661326031550358
LAMC1	ITGAV	autocrine|paracrine	0.661209854736472
P4HB	GPR162	autocrine|paracrine	0.660871232280147
EFNA1	EPHA2	autocrine|paracrine	0.660410786593723
APOA4	LRP1	autocrine|paracrine	0.660225662019733
GNAI2	CNR1	autocrine|paracrine	0.659153169483908
B2M	CD3D	autocrine|paracrine	0.658277659008825
TGFB1	TGFBR2	autocrine|paracrine	0.657028110669884
APOE	LDLR	autocrine|paracrine	0.65628525668322
UBB	RIPK1	autocrine|paracrine	0.655923721013872
CALM1	FAS	autocrine|paracrine	0.655772417607567
TGFB1	SDC2	autocrine|paracrine	0.654314310015179
ADAM17	ITGA5	autocrine|paracrine	0.654089906975847
FN1	ITGB8	autocrine|paracrine	0.652298831239424
VEGFC	ITGA9	autocrine|paracrine	0.651999451191989
CALM3	PDE1A	autocrine|paracrine	0.651113443106907
APP	GPC1	autocrine|paracrine	0.651089715399321
MDK	SDC4	autocrine|paracrine	0.650923720256232
COL5A2	DDR1	autocrine|paracrine	0.650434249988477
APOC3	LDLR	autocrine|paracrine	0.650121901216663
TNC	ITGB1	autocrine|paracrine	0.647491789016087
B2M	HFE	autocrine|paracrine	0.647263988888115
PSAP	SORT1	autocrine|paracrine	0.646756034339239
PSEN1	NOTCH2	autocrine|paracrine	0.6466876218682
HSPG2	PTPRS	autocrine|paracrine	0.646431826971764
FGB	ITGB1	autocrine|paracrine	0.646203848227246
B2M	KLRD1	autocrine|paracrine	0.64485608280851
CALM1	PDE1B	autocrine|paracrine	0.64313511640809
ADAM17	NOTCH1	autocrine|paracrine	0.642743128752622
CYR61	ITGAV	autocrine|paracrine	0.642415312288634
SEMA6A	PLXNA2	autocrine|paracrine	0.641469562209926
FAT4	DCHS1	autocrine|paracrine	0.640762989877241
LAMC2	ITGB1	autocrine|paracrine	0.640438771904763
MFNG	NOTCH2	autocrine|paracrine	0.63960146931577
LAMB3	ITGB1	autocrine|paracrine	0.639479565018151
HSP90AA1	EGFR	autocrine|paracrine	0.638231155012596
DUSP18	ITGB1	autocrine|paracrine	0.637711029931768
APOE	LRP5	autocrine|paracrine	0.636670258146973
COL14A1	CD44	autocrine|paracrine	0.634727799934601
GPC3	LRP1	autocrine|paracrine	0.634038727134958
CD14	ITGB1	autocrine|paracrine	0.63101372231583
TIMP3	ADAM17	autocrine|paracrine	0.627823987122445
LAMA4	ITGAV	autocrine|paracrine	0.627695049040909
COL18A1	ITGB5	autocrine|paracrine	0.627443612749231
ARF1	PLD2	autocrine|paracrine	0.627372355377525
CALM2	ABCA1	autocrine|paracrine	0.627239029648517
BST1	CAV1	autocrine|paracrine	0.626787498780404
RTN4	RTN4R	autocrine|paracrine	0.626707694379769
COL4A1	ITGA2	autocrine|paracrine	0.626679201600196
CALM1	KCNQ1	autocrine|paracrine	0.626153533242524
NID1	ITGAV	autocrine|paracrine	0.624928643598164
GNAI2	UNC5B	autocrine|paracrine	0.623443261308355
LAMC2	CD151	autocrine|paracrine	0.622897550413922
COL4A5	ITGA1	autocrine|paracrine	0.621968755754919
LAMB3	CD151	autocrine|paracrine	0.621919173802829
ADM	RAMP2	autocrine|paracrine	0.620203644376116
DUSP18	CD151	autocrine|paracrine	0.620115669328954
TGFB1	ITGAV	autocrine|paracrine	0.619331876839239
SORBS1	ITGA1	autocrine|paracrine	0.617990371051023
NID1	COL13A1	autocrine|paracrine	0.617827791105697
NID2	COL13A1	autocrine|paracrine	0.616231111475284
COL6A2	ITGA2	autocrine|paracrine	0.615785737568927
FN1	ITGA2	autocrine|paracrine	0.615480272392348
EFNB2	EPHB3	autocrine|paracrine	0.615466833350571
COL2A1	ITGB1	autocrine|paracrine	0.615340366566693
BMP2	ACVR1	autocrine|paracrine	0.614048100136906
HRAS	INSR	autocrine|paracrine	0.613783952184866
GPC6	LRP1	autocrine|paracrine	0.612826596617447
VWF	SIRPA	autocrine|paracrine	0.611914411885311
SEMA3A	NRP2	autocrine|paracrine	0.610041332661295
MDK	PTPRZ1	autocrine|paracrine	0.609195441664637
ICAM1	IL2RG	autocrine|paracrine	0.609106193998592
PLAU	ITGA5	autocrine|paracrine	0.60881740911868
EDN1	EDNRA	autocrine|paracrine	0.607627119176786
RTN4	LINGO1	autocrine|paracrine	0.60697527380722
SERPINE1	LRP1	autocrine|paracrine	0.606452295361267
APOC3	SDC2	autocrine|paracrine	0.606101988702314
APOB	LRP1	autocrine|paracrine	0.605733189086628
PSEN1	NOTCH1	autocrine|paracrine	0.604390991640545
THBS1	LRP5	autocrine|paracrine	0.604178895316099
TGFB1	SMAD3	autocrine|paracrine	0.601697171557082
HLA-B	CD3D	autocrine|paracrine	0.601663112411841
HMGB1	THBD	autocrine|paracrine	0.600919950999187
VCAM1	ITGB1	autocrine|paracrine	0.600553110509266
