Fibroblasts	Fibroblasts	interaction type	LRscore
COL1A1	ITGA1	autocrine	0.835394319169075
GPC3	LRP1	autocrine	0.835233176281749
MMP2	SDC2	autocrine	0.834304041626635
RPS27A	FGFR2	autocrine	0.831843945129559
LAMB2	RPSA	autocrine	0.830109130890756
APOA1	LDLR	autocrine	0.828312245059515
COL1A2	ITGA1	autocrine	0.827431901891883
COL4A1	ITGB1	autocrine	0.827409126184035
VEGFA	ITGB1	autocrine	0.826304752976552
COL1A1	DDR1	autocrine	0.825167281737945
HSP90B1	ERBB2	autocrine	0.823917512493663
CYR61	CAV1	autocrine	0.820355062671847
RPS27A	SMAD3	autocrine	0.8200474567854
GPC6	LRP1	autocrine	0.816453998834936
COL3A1	DDR1	autocrine	0.815114751727096
PLAT	LRP1	autocrine	0.813212636016712
PSAP	LRP1	autocrine	0.812906595245251
RPS27A	TGFBR1	autocrine	0.812488378012302
THBS1	LRP1	autocrine	0.808603584032152
UBC	TGFBR2	autocrine	0.807435684415401
CALM1	MYLK	autocrine	0.807288322844733
UBA52	LDLR	autocrine	0.805413598188084
TNC	ITGB1	autocrine	0.804538720667742
APP	LRP1	autocrine	0.801775523071824
UBC	FGFR2	autocrine	0.801682670964193
APOE	LRP1	autocrine	0.801266159917398
CALM2	MYLK	autocrine	0.801179274534666
HSPG2	ITGB1	autocrine	0.800409220901403
CTGF	LRP1	autocrine	0.799922387304069
UBA52	ERBB2	autocrine	0.798414397175705
MDK	SDC3	autocrine	0.797849988502319
LGALS3BP	ITGB1	autocrine	0.795371659063058
COL6A2	ITGA1	autocrine	0.791745979310203
FN1	ITGA8	autocrine	0.79117320291769
LAMA4	ITGB1	autocrine	0.79094427770643
UBC	SMAD3	autocrine	0.788308764941899
SERPINE2	LRP1	autocrine	0.787062216015656
SERPINA1	LRP1	autocrine	0.786162126414167
LAMB2	ITGB1	autocrine	0.785193869826138
CXCL12	ACKR3	autocrine	0.784906806160202
UBB	TGFBR2	autocrine	0.784900060008124
LRPAP1	LRP1	autocrine	0.782833222930036
AGRN	ITGB1	autocrine	0.780026718960015
UBC	TGFBR1	autocrine	0.779774509538196
COL18A1	ITGB1	autocrine	0.779458020867175
UBB	FGFR2	autocrine	0.778658339591413
COL1A1	CD36	autocrine	0.773953151254603
FN1	ITGAV	autocrine	0.771894568595006
FN1	IL17RC	autocrine	0.771061160620562
CALM3	MYLK	autocrine	0.76998497596973
GNAS	PTGIR	autocrine	0.76966349546435
FN1	PLAUR	autocrine	0.769584804130463
FN1	ITGA5	autocrine	0.768143757155975
VCAM1	ITGB1	autocrine	0.768136911645485
LAMC1	ITGB1	autocrine	0.76772803751508
COL6A1	ITGA1	autocrine	0.767592153673959
APP	CAV1	autocrine	0.766893222421249
GNAI2	CAV1	autocrine	0.765973373993497
B2M	TFRC	autocrine	0.765183929122022
APOC3	LRP1	autocrine	0.764323510156507
UBB	SMAD3	autocrine	0.764188461030289
COL1A2	CD36	autocrine	0.763858777445339
HSPG2	LRP1	autocrine	0.763467883521355
VCAN	CD44	autocrine	0.763241490085884
HLA-A	APLP2	autocrine	0.762537143764946
FN1	CD44	autocrine	0.761055784849897
TFPI	LRP1	autocrine	0.760337128698593
COL5A1	SDC3	autocrine	0.758140363076239
HSP90AA1	FGFR3	autocrine	0.75662269773494
MFAP2	NOTCH1	autocrine	0.755388350200455
UBB	TGFBR1	autocrine	0.754984038483309
SERPING1	LRP1	autocrine	0.753881628863401
HLA-B	CANX	autocrine	0.753007694689506
APP	CD74	autocrine	0.751611531303682
THBS2	NOTCH3	autocrine	0.751366810817023
APOE	LDLR	autocrine	0.750873733710357
COL5A1	ITGA1	autocrine	0.746628428607531
PTN	SDC3	autocrine	0.745547231649755
UBA52	NOTCH1	autocrine	0.743586378378861
CYR61	ITGAV	autocrine	0.742339345002192
CALR	ITGAV	autocrine	0.741490043325878
MFGE8	PDGFRB	autocrine	0.741122059404284
GNAS	ADCY9	autocrine	0.740708560917968
AGRN	LRP1	autocrine	0.74053578968854
CALM1	PTPRA	autocrine	0.738999071697147
CYR61	ITGA5	autocrine	0.73826733477804
GNAI2	F2R	autocrine	0.73600760335344
UBA52	TGFBR2	autocrine	0.73226067560283
COL5A2	ITGA1	autocrine	0.732078242173297
IGFBP4	LRP6	autocrine	0.73201300636427
LRPAP1	LDLR	autocrine	0.729345601450934
COL14A1	CD44	autocrine	0.728445789120208
NCAM1	FGFR1	autocrine	0.727799198407137
COL9A1	ITGB1	autocrine	0.727080602711724
UBA52	FGFR2	autocrine	0.725026597636285
RPS27A	RIPK1	autocrine	0.722770869424508
APP	GPC1	autocrine	0.722697717540081
MDK	SDC1	autocrine	0.721775561898438
HLA-A	ERBB2	autocrine	0.721350984155536
FABP5	RXRA	autocrine	0.721286599899082
MDK	PTPRZ1	autocrine	0.720716737047275
MDK	GPC2	autocrine	0.719939644926527
FBN1	ITGAV	autocrine	0.71843640505573
COL5A2	DDR1	autocrine	0.717602038849877
A2M	LRP1	autocrine	0.714213656950826
APOC3	SDC2	autocrine	0.714204967154482
FBN1	ITGA5	autocrine	0.714132108734128
VEGFA	GPC1	autocrine	0.711575617442209
COL4A5	ITGB1	autocrine	0.709333009433605
FYN	THY1	autocrine	0.709142600582669
APP	NCSTN	autocrine	0.708926297718266
JAM3	ITGB1	autocrine	0.708484987478706
COL6A3	ITGA1	autocrine	0.70836978857008
UBA52	SMAD3	autocrine	0.708363785997914
PDAP1	PDGFRB	autocrine	0.708203462675792
APOC3	LDLR	autocrine	0.707977610648072
NID1	ITGAV	autocrine	0.707443158698722
FN1	COL13A1	autocrine	0.706288906733389
GNAS	ADRB3	autocrine	0.706236081017773
THBS2	CD47	autocrine	0.704456267634446
GPC3	IGF1R	autocrine	0.704114880921953
CALM1	INSR	autocrine	0.703964655817989
MDK	ITGA6	autocrine	0.703493501662874
TGFB1	ITGB1	autocrine	0.702421090687649
COL1A1	CD93	autocrine	0.702392360653159
HSP90B1	ASGR1	autocrine	0.702154014366276
TGM2	ITGB1	autocrine	0.700292649157424
VEGFA	NRP1	autocrine	0.699238856207723
LAMB1	ITGAV	autocrine	0.698061320830358
HSP90AA1	EGFR	autocrine	0.69800289559618
UBA52	TGFBR1	autocrine	0.697841932784049
IGFBP4	FZD8	autocrine	0.696277632411863
CALM2	INSR	autocrine	0.695814371072009
DCN	EGFR	autocrine	0.694915253568212
UBA52	ACVR1	autocrine	0.694822352219911
SEMA4A	PLXNB2	autocrine	0.694433494373411
CYR61	ITGB5	autocrine	0.693858010078975
ARF1	INSR	autocrine	0.692522558679163
RPS27A	ADRB2	autocrine	0.691916965319834
CALM1	PDE1A	autocrine	0.691751545468596
COL1A2	CD93	autocrine	0.690380767542172
THBS1	CD47	autocrine	0.687747067868405
ADAM17	ITGB1	autocrine	0.687142127812282
ACTR2	LDLR	autocrine	0.684008410023382
HMGB1	SDC1	autocrine	0.683850985530702
CALM2	PDE1A	autocrine	0.683416230431907
APOA4	LRP1	autocrine	0.683297547201898
ADAM9	ITGB1	autocrine	0.683247924841297
ARPC5	LDLR	autocrine	0.683181189288733
MDK	TSPAN1	autocrine	0.683078159801041
VCAM1	EZR	autocrine	0.682569230359103
COL1A1	ITGA11	autocrine	0.680902886674605
NAMPT	INSR	autocrine	0.680613682771536
UBC	RIPK1	autocrine	0.680558566456768
TGFB3	ITGB1	autocrine	0.679302614478658
COL6A1	ITGA6	autocrine	0.678665153867854
NCAM1	ROBO1	autocrine	0.677413160646494
VEGFA	TYRO3	autocrine	0.676968812424006
COL9A3	ITGB1	autocrine	0.676495932874163
EFEMP2	PLSCR4	autocrine	0.675907602516522
MDK	SDC4	autocrine	0.674360709970193
NID1	PTPRF	autocrine	0.673759500521241
PKM	CD44	autocrine	0.672935316076461
FN1	ITGB8	autocrine	0.669939745426182
LAMA5	ITGB1	autocrine	0.66860262898712
COL1A2	ITGA11	autocrine	0.668433391680949
SPTAN1	PTPRA	autocrine	0.668172630202694
COL4A1	CD47	autocrine	0.667955830044411
CTGF	ITGA5	autocrine	0.667624205539913
VEGFA	NRP2	autocrine	0.666498778599314
ICAM1	CAV1	autocrine	0.665551599634876
COL4A1	ITGAV	autocrine	0.66443893150555
VEGFA	ITGAV	autocrine	0.662716835515035
RTN4	NGFR	autocrine	0.662188544333969
THBS1	LRP5	autocrine	0.662071043240806
EFNB1	ERBB2	autocrine	0.661056949337782
MDK	ITGA4	autocrine	0.658969837288277
NECTIN2	NECTIN3	autocrine	0.658241409607381
PTN	SDC1	autocrine	0.658221543522743
PTN	PTPRZ1	autocrine	0.657035780374548
GNAS	ADCY7	autocrine	0.656488904001859
COL11A1	ITGB1	autocrine	0.655939927262715
LAMB1	ITGA1	autocrine	0.655657258536869
TNC	ITGA8	autocrine	0.655576301594207
CALM3	INSR	autocrine	0.655203155258435
CTGF	LRP6	autocrine	0.654120237604771
GNAI2	IGF1R	autocrine	0.653866966476435
VEGFB	NRP1	autocrine	0.651691041245423
APOE	LRP5	autocrine	0.65153694235823
UBB	RIPK1	autocrine	0.649617968792149
FGF7	FGFR1	autocrine	0.649166703150619
HMGB1	THBD	autocrine	0.648408809064428
UBC	ADRB2	autocrine	0.647299227151997
COL18A1	GPC1	autocrine	0.647004553162027
VCAN	EGFR	autocrine	0.646866005630793
P4HB	MTTP	autocrine	0.646815215350144
SEMA3A	NRP1	autocrine	0.645671489018467
APOB	LRP1	autocrine	0.645647296634998
GSTP1	TRAF2	autocrine	0.643611141628121
GNAI2	EDNRA	autocrine	0.642330358660246
CALM3	PDE1A	autocrine	0.642001395281144
NCAM1	PTPRA	autocrine	0.641917962174519
NCAM1	GFRA1	autocrine	0.641851492687201
SEMA4C	PLXNB2	autocrine	0.641047297144025
FN1	ITGA6	autocrine	0.640569570427277
LTBP3	ITGB5	autocrine	0.638487846168848
LAMA2	RPSA	autocrine	0.638192944864742
RTN4	LINGO1	autocrine	0.634725696832146
VEGFA	SIRPA	autocrine	0.634402296337807
COL1A1	ITGA2	autocrine	0.634020019555601
NID1	COL13A1	autocrine	0.632134786805211
FAT4	DCHS1	autocrine	0.631907285860435
TNC	ITGAV	autocrine	0.629639464175804
VEGFB	TYRO3	autocrine	0.627774466884651
COL4A2	ITGB5	autocrine	0.627637121305366
MUC2	AGR2	autocrine	0.627566859212521
P4HB	GPR162	autocrine	0.626806638110284
FN1	ITGA9	autocrine	0.626312883514141
LAMB3	ITGB1	autocrine	0.62567018075478
COL7A1	ITGB1	autocrine	0.625666730944553
BMP4	BMPR2	autocrine	0.625414119116226
TNC	ITGA5	autocrine	0.624686853717713
MFGE8	ITGAV	autocrine	0.622875278367944
COL1A2	ITGA2	autocrine	0.620738916214083
EFNB1	EPHB3	autocrine	0.620571266460041
GNAI2	EDNRB	autocrine	0.619902115069071
COL4A1	ITGA1	autocrine	0.619884186207352
ADAM15	ITGB1	autocrine	0.618353479767488
COL3A1	ITGA2	autocrine	0.618063995223572
C3	CD81	autocrine	0.618010026804856
APOA4	LDLR	autocrine	0.617279892911427
VCAM1	MSN	autocrine	0.617130040242739
COL1A2	ITGA2B	autocrine	0.616123850127426
ARF1	PLD2	autocrine	0.616064666687124
UBB	ADRB2	autocrine	0.614959783125308
HRAS	CAV1	autocrine	0.613192020638475
HSPA8	ADRB2	autocrine	0.612697028673511
SEMA3A	NRP2	autocrine	0.610349641462087
NCAM1	FGFR2	autocrine	0.61030822609805
LAMA4	ITGAV	autocrine	0.609780657876897
TGFB1	CAV1	autocrine	0.607116873346249
VEGFC	ITGB1	autocrine	0.606921765416907
SCT	RAMP2	autocrine	0.604495902008843
UBA52	EGFR	autocrine	0.603113141972801
CXCL12	SDC4	autocrine	0.602763001598528
VEGFA	EPHB2	autocrine	0.600417122602695
ADM	RAMP2	autocrine	0.600337001459904
HRAS	SDC2	autocrine	0.60029426652951
