Pericytes	Muscle	interaction type	LRscore
UBC	FGFR2	autocrine|paracrine	0.857362283535816
APOE	LRP1	autocrine|paracrine	0.853462148609302
UBC	LDLR	autocrine|paracrine	0.853245965909121
UBB	TGFBR1	autocrine|paracrine	0.852180172501065
UBB	FGFR2	autocrine|paracrine	0.84924845645319
MDK	SDC3	autocrine|paracrine	0.848389917034657
VCAN	ITGB1	autocrine|paracrine	0.846553317251182
LAMB2	ITGB1	autocrine|paracrine	0.845798807066245
A2M	LRP1	autocrine|paracrine	0.845149830362552
UBB	LDLR	autocrine|paracrine	0.844940333721567
CALR	LRP1	autocrine|paracrine	0.844775851509353
VEGFA	ITGB1	autocrine|paracrine	0.84471136012003
AGRN	ITGB1	autocrine|paracrine	0.842813677783709
RPS27A	TGFBR2	autocrine|paracrine	0.842459887993988
LAMC1	ITGB1	autocrine|paracrine	0.84041344709986
LAMB1	ITGB1	autocrine|paracrine	0.840180355739458
APOA1	LRP1	autocrine|paracrine	0.839870499566537
COL1A1	DDR1	autocrine|paracrine	0.839207614460172
COL5A2	ITGA1	autocrine|paracrine	0.837627281342352
LAMA4	ITGB1	autocrine|paracrine	0.83603945177215
HSPA8	LDLR	autocrine|paracrine	0.835526760372911
GPC3	CD81	autocrine|paracrine	0.834299794949142
LGALS3BP	ITGB1	autocrine|paracrine	0.834232487204664
TIMP2	ITGB1	autocrine|paracrine	0.833264739406243
UBC	TGFBR2	autocrine|paracrine	0.829726691310461
FBLN1	ITGB1	autocrine|paracrine	0.829236933630429
COL18A1	ITGA5	autocrine|paracrine	0.827607941837426
FBN1	ITGB1	autocrine|paracrine	0.82695031613057
COL3A1	DDR1	autocrine|paracrine	0.825711105986183
SERPINE2	LRP1	autocrine|paracrine	0.821424656930791
CTGF	ITGA5	autocrine|paracrine	0.820640191767509
UBB	TGFBR2	autocrine|paracrine	0.820370199208455
PKM	CD44	autocrine|paracrine	0.820258344120825
VEGFA	NRP2	autocrine|paracrine	0.820180892988618
PGF	NRP2	autocrine|paracrine	0.820147365818013
PTN	PLXNB2	autocrine|paracrine	0.819704911516081
UBA52	ERBB2	autocrine|paracrine	0.819306441724225
COL5A1	ITGA1	autocrine|paracrine	0.818639809353212
THBS1	ITGB1	autocrine|paracrine	0.817852211470092
ANGPT1	ITGB1	autocrine|paracrine	0.813774755703822
TGFB1	CAV1	autocrine|paracrine	0.813300882804656
ARF1	INSR	autocrine|paracrine	0.811476673464451
LUM	ITGB1	autocrine|paracrine	0.811473174828528
CYR61	ITGA5	autocrine|paracrine	0.811224347011878
PLAT	LRP1	autocrine|paracrine	0.811068315933801
CALM2	INSR	autocrine|paracrine	0.809328402643036
RPS27A	SMAD3	autocrine|paracrine	0.80831668659718
COL1A1	ITGAV	autocrine|paracrine	0.804931226313724
CALM1	INSR	autocrine|paracrine	0.804218267403631
HLA-A	APLP2	autocrine|paracrine	0.80326457378633
APOE	LDLR	autocrine|paracrine	0.801366419718737
HLA-B	CANX	autocrine|paracrine	0.799950179473213
TFPI	LRP1	autocrine|paracrine	0.79963574900475
COL1A2	ITGAV	autocrine|paracrine	0.798302748876659
HRAS	CAV1	autocrine|paracrine	0.796948453687713
PTN	SDC3	autocrine|paracrine	0.796650522742034
UBC	SMAD3	autocrine|paracrine	0.793500288667499
APP	LRP1	autocrine|paracrine	0.79337809259953
LAMC3	ITGB1	autocrine|paracrine	0.78884795917659
UBA52	TGFBR1	autocrine|paracrine	0.788429304058904
APOE	LRP5	autocrine|paracrine	0.787348130124951
FN1	CD44	autocrine|paracrine	0.786467484684416
JAG1	NOTCH2	autocrine|paracrine	0.785751727550973
CTGF	LRP6	autocrine|paracrine	0.78527993234608
UBA52	NOTCH1	autocrine|paracrine	0.784804920243014
CALM2	CACNA1C	autocrine|paracrine	0.784715247765988
UBA52	FGFR2	autocrine|paracrine	0.784552871986334
APOA1	LDLR	autocrine|paracrine	0.78416477374773
UBB	SMAD3	autocrine|paracrine	0.782674556725992
PSAP	LRP1	autocrine|paracrine	0.781644796102696
LAMC1	ITGA1	autocrine|paracrine	0.780318114477342
LAMB1	ITGA1	autocrine|paracrine	0.780020223417456
COL4A1	CD47	autocrine|paracrine	0.779821739701021
CALM1	CACNA1C	autocrine|paracrine	0.779125488058842
UBA52	LDLR	autocrine|paracrine	0.778877295107153
TGFB1	ITGB1	autocrine|paracrine	0.777400797110565
COL9A1	ITGB1	autocrine|paracrine	0.776306207475438
HSPG2	ITGB1	autocrine|paracrine	0.77591229123827
COL18A1	GPC4	autocrine|paracrine	0.774649124048353
HSP90AA1	FGFR3	autocrine|paracrine	0.774321731379249
LAMA5	ITGB1	autocrine|paracrine	0.770913011104188
AGRN	LRP1	autocrine|paracrine	0.769803579166373
FABP5	RXRA	autocrine|paracrine	0.769435975099926
CALM3	INSR	autocrine|paracrine	0.76928824685572
VCAM1	ITGB1	autocrine|paracrine	0.768516775331434
ADAM17	ITGB1	autocrine|paracrine	0.766142660373879
LRPAP1	LRP1	autocrine|paracrine	0.764477778460232
JAG1	CD46	autocrine|paracrine	0.763833838473275
VCAN	CD44	autocrine|paracrine	0.761467252836242
COL4A1	ITGAV	autocrine|paracrine	0.759836086299739
GPC6	LRP1	autocrine|paracrine	0.759144538828155
COL5A1	SDC3	autocrine|paracrine	0.758982337693435
JAM3	ITGB1	autocrine|paracrine	0.756082173430251
HLA-A	ERBB2	autocrine|paracrine	0.755855732193974
PTGS2	CAV1	autocrine|paracrine	0.754340560295601
JAG1	NOTCH1	autocrine|paracrine	0.753764122596836
ARPC5	LDLR	autocrine|paracrine	0.750820487079855
APP	CD74	autocrine|paracrine	0.750101392606621
FN1	ITGA5	autocrine|paracrine	0.749528546966862
SERPINA1	LRP1	autocrine|paracrine	0.748767142403409
COL5A2	DDR1	autocrine|paracrine	0.748413497227369
UBA52	TGFBR2	autocrine|paracrine	0.746973852332292
FN1	ITGA9	autocrine|paracrine	0.744895319793302
TGFB3	ITGB1	autocrine|paracrine	0.744698687576646
CALM1	PTPRA	autocrine|paracrine	0.742061346835068
NGF	MAGED1	autocrine|paracrine	0.74110009312384
UBA52	ACVR1	autocrine|paracrine	0.739505653371853
NID1	PTPRF	autocrine|paracrine	0.738769272720189
CYR61	ITGAV	autocrine|paracrine	0.73759227688241
THBS1	LRP1	autocrine|paracrine	0.736867748295206
SERPING1	LRP1	autocrine|paracrine	0.735770714895264
MFAP2	NOTCH1	autocrine|paracrine	0.733104373705796
B2M	TFRC	autocrine|paracrine	0.732173903967272
SEMA4A	PLXNB2	autocrine|paracrine	0.728623802094004
CALR	ITGAV	autocrine|paracrine	0.728510153294549
HBEGF	CD9	autocrine|paracrine	0.72767398265893
LAMA3	ITGB1	autocrine|paracrine	0.726967153567506
GSTP1	TRAF2	autocrine|paracrine	0.726231375386801
COL4A5	ITGB1	autocrine|paracrine	0.723988855753303
FGF7	FGFR1	autocrine|paracrine	0.721718426247507
COL18A1	GPC1	autocrine|paracrine	0.721504219107171
COL16A1	ITGB1	autocrine|paracrine	0.720171928504795
COL5A3	SDC3	autocrine|paracrine	0.719648107258879
MFGE8	PDGFRB	autocrine|paracrine	0.71944033096197
NAMPT	INSR	autocrine|paracrine	0.719125828697474
COL14A1	CD44	autocrine|paracrine	0.71794341415216
SEMA3A	NRP2	autocrine|paracrine	0.717660920001249
RPS27A	RIPK1	autocrine|paracrine	0.716511433144715
CALM2	PDE1A	autocrine|paracrine	0.715249201310447
VEGFA	ITGA9	autocrine|paracrine	0.713907335178781
ADAM9	ITGB1	autocrine|paracrine	0.713849126198959
IGFBP4	LRP6	autocrine|paracrine	0.713569619903579
PLAU	ITGB1	autocrine|paracrine	0.712582293560814
VEGFC	ITGB1	autocrine|paracrine	0.711815099501819
BST1	CAV1	autocrine|paracrine	0.710282646432804
CALM1	PDE1A	autocrine|paracrine	0.708525738030453
APP	NCSTN	autocrine|paracrine	0.708406579266229
APOC3	LRP1	autocrine|paracrine	0.706336364061829
HLA-C	DDR1	autocrine|paracrine	0.705343438837319
MFGE8	ITGAV	autocrine|paracrine	0.703740392977006
MDK	SDC4	autocrine|paracrine	0.701900363508099
ADAM15	ITGB1	autocrine|paracrine	0.701444546087955
FN1	IL17RC	autocrine|paracrine	0.70131696995922
PDGFB	LRP1	autocrine|paracrine	0.700220247789276
UBA52	SMAD3	autocrine|paracrine	0.699517379344615
UBC	RIPK1	autocrine|paracrine	0.69725661470235
ARF1	CHRM3	autocrine|paracrine	0.696885848859556
APOE	VLDLR	autocrine|paracrine	0.696761065256207
COL4A2	ITGB5	autocrine|paracrine	0.696469602623326
GAS6	AXL	autocrine|paracrine	0.695501382644663
FN1	SDC2	autocrine|paracrine	0.694862255241714
LRPAP1	LDLR	autocrine|paracrine	0.692157818417664
FBN1	ITGA5	autocrine|paracrine	0.691986663677169
COL18A1	ITGB5	autocrine|paracrine	0.687025093182196
GPC3	LRP1	autocrine|paracrine	0.686060925663962
COL1A1	ITGA2	autocrine|paracrine	0.685031837723117
HSPG2	LRP1	autocrine|paracrine	0.683497174562938
UBB	RIPK1	autocrine|paracrine	0.683398464442986
CXCL12	ACKR3	autocrine|paracrine	0.681857760519611
GNAI2	S1PR3	autocrine|paracrine	0.680523953048896
NECTIN2	NECTIN3	autocrine|paracrine	0.680358754348251
FGF7	FGFR2	autocrine|paracrine	0.67948638361358
HGF	ITGB1	autocrine|paracrine	0.677519878722727
TNFSF12	TNFRSF12A	autocrine|paracrine	0.67735608668871
GNAI2	IGF1R	autocrine|paracrine	0.677221084017574
COL1A2	ITGA2	autocrine|paracrine	0.675969254589336
TGM2	ITGB1	autocrine|paracrine	0.675028972220291
ACTR2	LDLR	autocrine|paracrine	0.674898728466091
VEGFC	NRP2	autocrine|paracrine	0.674383805618859
ANGPT1	ITGA5	autocrine|paracrine	0.672603584408399
FN1	PLAUR	autocrine|paracrine	0.672495091929283
APOE	SCARB1	autocrine|paracrine	0.67221944832427
P4HB	MTTP	autocrine|paracrine	0.671645283780503
P4HB	GPR162	autocrine|paracrine	0.668315449778905
NID1	ITGAV	autocrine|paracrine	0.667700085279459
COL1A1	CD36	autocrine|paracrine	0.667681484980791
CALM2	ABCA1	autocrine|paracrine	0.66602157510468
TNC	ITGB1	autocrine|paracrine	0.665097566285988
GNAS	PTGDR	autocrine|paracrine	0.664984375290546
GDF11	BMPR2	autocrine|paracrine	0.66382424011249
COL3A1	ITGA2	autocrine|paracrine	0.663778949449864
CALM3	PDE1A	autocrine|paracrine	0.663663036980212
CYR61	ITGB5	autocrine|paracrine	0.662725760937411
FN1	ITGAV	autocrine|paracrine	0.661862632701188
COL4A1	ITGB8	autocrine|paracrine	0.661530421238274
NID1	COL13A1	autocrine|paracrine	0.660969684549897
COL7A1	ITGB1	autocrine|paracrine	0.659362130724155
HBEGF	CD44	autocrine|paracrine	0.658827133077539
CALM1	ABCA1	autocrine|paracrine	0.658690423228059
COL1A2	CD36	autocrine|paracrine	0.658368646248333
GNAI2	EDNRA	autocrine|paracrine	0.656807601108317
FN1	COL13A1	autocrine|paracrine	0.655075077168209
GNAI2	F2R	autocrine|paracrine	0.654922170257961
SERPINE1	LRP1	autocrine|paracrine	0.654571644330966
BMP2	BMPR2	autocrine|paracrine	0.651623278585613
HBEGF	ERBB2	autocrine|paracrine	0.649854266977462
TGFB1	TGFBR3	autocrine|paracrine	0.648960075377244
B2M	CD3D	autocrine|paracrine	0.647460079718861
ARF1	PLD2	autocrine|paracrine	0.646934851496744
FYN	THY1	autocrine|paracrine	0.646888793670643
COL1A2	ITGA2B	autocrine|paracrine	0.646241383869769
APP	TNFRSF21	autocrine|paracrine	0.645148125096261
THBS2	ITGB1	autocrine|paracrine	0.644421468332651
RGMA	BMPR2	autocrine|paracrine	0.643428114191705
HSP90AA1	EGFR	autocrine|paracrine	0.642741295115876
COL6A2	ITGA2	autocrine|paracrine	0.641215013121783
THBS1	LRP5	autocrine|paracrine	0.640318853540308
PSEN1	CD44	autocrine|paracrine	0.63903795141828
COL4A5	ITGA1	autocrine|paracrine	0.63888969774664
B2M	HFE	autocrine|paracrine	0.636290394974298
SEMA4C	PLXNB2	autocrine|paracrine	0.635172866651855
EFNB1	ERBB2	autocrine|paracrine	0.633587438559206
SPTAN1	PTPRA	autocrine|paracrine	0.633188708231416
PDAP1	PDGFRB	autocrine|paracrine	0.633037035139442
VEGFA	TYRO3	autocrine|paracrine	0.63261762852691
VCAM1	EZR	autocrine|paracrine	0.632258702383769
MMP2	SDC2	autocrine|paracrine	0.631721179195434
BMP5	BMPR2	autocrine|paracrine	0.629819755912134
ARTN	GFRA1	autocrine|paracrine	0.628767411565882
VEGFA	ITGAV	autocrine|paracrine	0.625854577863901
MDK	TSPAN1	autocrine|paracrine	0.625608327053402
JAG1	NOTCH3	autocrine|paracrine	0.625438794439015
COL4A1	ITGA2	autocrine|paracrine	0.625127618277084
APOC3	LDLR	autocrine|paracrine	0.624922645142851
GAS6	TYRO3	autocrine|paracrine	0.623881166633241
ICAM4	ITGB1	autocrine|paracrine	0.622578433611269
APOA4	LRP1	autocrine|paracrine	0.622576388578528
EFEMP2	PLSCR4	autocrine|paracrine	0.622169870345948
PRSS23	TMEM222	autocrine|paracrine	0.622072111930149
PSEN1	NOTCH2	autocrine|paracrine	0.621158463930318
COL6A3	ITGA2	autocrine|paracrine	0.621139645372806
RGMA	NEO1	autocrine|paracrine	0.620367058229413
APOE	SORL1	autocrine|paracrine	0.620364806449628
PDGFA	PDGFRB	autocrine|paracrine	0.618867518922707
LAMC1	ITGAV	autocrine|paracrine	0.618236939878176
LAMB1	ITGAV	autocrine|paracrine	0.6178269075667
FGB	ITGB1	autocrine|paracrine	0.617229384822953
VCAM1	MSN	autocrine|paracrine	0.616037929843648
RTN4	RTN4R	autocrine|paracrine	0.615271633533179
TGFB1	TGFBR1	autocrine|paracrine	0.61482938819277
FN1	ITGA8	autocrine|paracrine	0.614811766421558
DUSP18	RPSA	autocrine|paracrine	0.612671725785621
CALM1	FAS	autocrine|paracrine	0.611752220308865
NPPC	NPR3	autocrine|paracrine	0.611661903188597
TFPI	VLDLR	autocrine|paracrine	0.611571653396189
LAMA4	ITGAV	autocrine|paracrine	0.610595021215054
CALM3	ABCA1	autocrine|paracrine	0.610375309309392
APP	GPC1	autocrine|paracrine	0.609674856904755
COL6A1	ITGA2	autocrine|paracrine	0.608553965831089
CD55	ADGRE5	autocrine|paracrine	0.608028278729519
LPL	LRP1	autocrine|paracrine	0.607500615994113
PLAU	LRP1	autocrine|paracrine	0.607269063537865
THBS1	CD47	autocrine|paracrine	0.607180082916035
VEGFB	TYRO3	autocrine|paracrine	0.607035181668091
TGFB3	TGFBR3	autocrine|paracrine	0.606929409497311
APOB	LRP1	autocrine|paracrine	0.606901766739274
HMGB1	THBD	autocrine|paracrine	0.606771325680332
CALM2	PDE1B	autocrine|paracrine	0.606339770814524
ADAM17	ITGA5	autocrine|paracrine	0.606330824624682
VEGFA	NRP1	autocrine|paracrine	0.605854519660227
PGF	NRP1	autocrine|paracrine	0.605800237744838
HRAS	INSR	autocrine|paracrine	0.604686143640366
VCAM1	ITGA9	autocrine|paracrine	0.603646671528814
BDNF	DDR1	autocrine|paracrine	0.602168149837061
MDK	GPC2	autocrine|paracrine	0.602100137405346
DLL4	NOTCH2	autocrine|paracrine	0.60192655861165
