Immune	Immune	interaction type	LRscore
ICAM4	ITGB2	autocrine	0.698643687533545
VCAN	ITGB1	autocrine	0.698055201631613
CALM3	MYLK	autocrine	0.69767646320375
GNAS	PTGDR	autocrine	0.697322144765493
UBB	SMAD3	autocrine	0.695064050565615
LTB	TNFRSF1A	autocrine	0.693827286204187
TGFB1	SDC2	autocrine	0.693239434433183
UBC	FGFR2	autocrine	0.692902064323621
TGFB1	ENG	autocrine	0.692626401588927
RPS27A	FGFR2	autocrine	0.692619572062184
IL1B	IL1R1	autocrine	0.691066811952102
APOE	LDLR	autocrine	0.69063199649518
UBB	RIPK1	autocrine	0.689818045759376
ICAM1	ITGAM	autocrine	0.689081092154683
MDK	LRP1	autocrine	0.688183196307533
LAMB2	RPSA	autocrine	0.68751115396854
THBS1	CD36	autocrine	0.687461609841763
CALM1	INSR	autocrine	0.686360404022915
COL5A1	ITGB1	autocrine	0.684960000143317
UBA52	ERBB2	autocrine	0.68491437959938
PLAT	ITGB2	autocrine	0.683526843232527
CD14	TLR4	autocrine	0.683434089967115
MUC2	AGR2	autocrine	0.681260489053263
ARF1	INSR	autocrine	0.681151239670473
THBS1	CD47	autocrine	0.680291410484558
CALM3	ABCA1	autocrine	0.67876091506571
APOB	ITGB2	autocrine	0.678454460809704
FN1	ITGB1	autocrine	0.676146702110249
ANXA1	FPR3	autocrine	0.676064901174648
ACTR2	ADRB2	autocrine	0.675670530455999
C1QB	LRP1	autocrine	0.674220697750461
FABP5	RXRA	autocrine	0.673658280225143
GNAI2	IGF1R	autocrine	0.672562601454358
FBLN1	ITGB1	autocrine	0.671813537077432
APOB	LDLR	autocrine	0.671335327007472
GNAI2	CXCR3	autocrine	0.669984281183971
CALM2	INSR	autocrine	0.668624977899879
HMGB1	THBD	autocrine	0.666380778852865
ADAM28	ITGA4	autocrine	0.66633052010653
CALR	ITGAV	autocrine	0.665539390387848
TGFB1	ITGB5	autocrine	0.664802416667894
CD99	PILRA	autocrine	0.662590373774638
COL1A1	ITGAV	autocrine	0.661246065097834
PTMA	VIPR1	autocrine	0.660501100112097
COL6A3	ITGB1	autocrine	0.65879921483024
VEGFA	SIRPA	autocrine	0.658534642754782
NID1	ITGB1	autocrine	0.657012198139321
COL1A1	ITGA1	autocrine	0.656532530514882
SPP1	CD44	autocrine	0.654306216516565
GNAI2	ADCY7	autocrine	0.653940188555228
ICAM4	ITGB1	autocrine	0.651623292479336
TNFSF14	TNFRSF14	autocrine	0.647860166702123
MDK	ITGA6	autocrine	0.646654591209866
FN1	C5AR1	autocrine	0.645736332010961
TGFB1	ITGAV	autocrine	0.645137618201883
COL1A2	ITGAV	autocrine	0.643201238975863
HSP90B1	ASGR1	autocrine	0.641859628103392
CALR	HLA-F	autocrine	0.641057933459317
GNAI2	F2R	autocrine	0.639765873917679
CTGF	ITGB2	autocrine	0.639758037306301
HBEGF	CD9	autocrine	0.639025834393731
GAS6	AXL	autocrine	0.638921983865922
PTN	PLXNB2	autocrine	0.638591050160495
COL1A2	ITGA1	autocrine	0.638373935704587
CALM3	SELL	autocrine	0.638327976607724
UBB	FGFR2	autocrine	0.637777637549528
LRPAP1	LRP1	autocrine	0.637489819543734
C3	CD81	autocrine	0.634229137098718
CALM1	PTPRA	autocrine	0.633169397054504
LTB	CD40	autocrine	0.632888217921463
UBA52	SMAD3	autocrine	0.628586561257596
LYPD3	AGR2	autocrine	0.62786551120485
GSTP1	TRAF2	autocrine	0.627657935123493
CD36	TLR4	autocrine	0.627535146533928
APP	CAV1	autocrine	0.626249570371086
SEMA4A	PLXNB2	autocrine	0.624399499515047
COL5A2	ITGB1	autocrine	0.623780509852942
UBA52	RIPK1	autocrine	0.622817516113573
COL4A1	ITGB1	autocrine	0.622606446380121
GNAS	VIPR1	autocrine	0.622278774432955
COL16A1	ITGB1	autocrine	0.621714938211232
LRPAP1	SORL1	autocrine	0.620115691649306
UBC	LRP2	autocrine	0.619910354222771
RPS27A	LRP2	autocrine	0.619597580218328
THBS1	ITGA4	autocrine	0.61865995333332
SERPINA1	LRP1	autocrine	0.618578291963492
VEGFA	FLT1	autocrine	0.61854318380041
LRPAP1	SORT1	autocrine	0.615908383095737
VEGFA	NRP1	autocrine	0.614269597788197
FN1	ITGB7	autocrine	0.613350479915158
MMP9	LRP1	autocrine	0.610829068490309
TGFB1	SMAD3	autocrine	0.610561998655576
OSM	IL6ST	autocrine	0.609763017494341
GNAI2	S1PR4	autocrine	0.609261978232279
HSP90AA1	CFTR	autocrine	0.60901308944388
B2M	KLRD1	autocrine	0.607684440553565
FYN	SPN	autocrine	0.607626820179096
ITGB2	THY1	autocrine	0.606703076293941
VCAN	SELL	autocrine	0.60569873170343
FGB	ITGB2	autocrine	0.605192586075174
ARF1	PLD2	autocrine	0.604187459655272
CYR61	CAV1	autocrine	0.602100821051372
RARRES2	CCRL2	autocrine	0.60030210768606
