Muscle	Pericytes	interaction type	LRscore
APOA1	LRP1	autocrine|paracrine	0.813532200080208
UBC	ADRB2	autocrine|paracrine	0.812982655359024
PTN	PLXNB2	autocrine|paracrine	0.812126511157128
HSP90B1	LRP1	autocrine|paracrine	0.811873724053212
FN1	IL17RC	autocrine|paracrine	0.809805108907057
HSP90AA1	ERBB2	autocrine|paracrine	0.808721958986958
PLAT	LRP1	autocrine|paracrine	0.8086780694103
LUM	ITGB1	autocrine|paracrine	0.807719836981888
FN1	PLAUR	autocrine|paracrine	0.80719362577999
FN1	ITGA8	autocrine|paracrine	0.806050633228472
VCAN	ITGB1	autocrine|paracrine	0.805880039092175
UBB	TGFBR2	autocrine|paracrine	0.804941642640136
PDGFC	PDGFRB	autocrine|paracrine	0.8047457649429
COL1A1	DDR1	autocrine|paracrine	0.80464461437603
LAMC1	ITGA1	autocrine|paracrine	0.800926818985321
RPS27A	TGFBR1	autocrine|paracrine	0.799794388699428
UBB	ERBB2	autocrine|paracrine	0.798635026332159
TGM2	ITGB1	autocrine|paracrine	0.794970614502819
TGFB1	CAV1	autocrine|paracrine	0.793700384237346
COL3A1	DDR1	autocrine|paracrine	0.793587128489332
MDK	ITGA4	autocrine|paracrine	0.79233952104737
FN1	ITGA4	autocrine|paracrine	0.792115167172145
COL4A1	ITGAV	autocrine|paracrine	0.790796123754681
RPS27A	SMAD3	autocrine|paracrine	0.790503211228769
IGFBP4	LRP6	autocrine|paracrine	0.79024601828511
GNAS	PTGDR	autocrine|paracrine	0.790052458578196
CALM2	CACNA1C	autocrine|paracrine	0.788394055922463
CTGF	LRP6	autocrine|paracrine	0.78550599051026
LAMB1	ITGA7	autocrine|paracrine	0.784302902909635
CALM1	CACNA1C	autocrine|paracrine	0.783141609548857
ADAM9	ITGB1	autocrine|paracrine	0.780899955723588
TLN1	ITGB5	autocrine|paracrine	0.780406537883024
UBB	ADRB2	autocrine|paracrine	0.77817674774439
ARPC5	LDLR	autocrine|paracrine	0.778096099699205
HLA-B	CANX	autocrine|paracrine	0.778067463541336
HSPA8	ADRB2	autocrine|paracrine	0.776733475805037
FN1	ITGA5	autocrine|paracrine	0.776633156653595
CALM1	PTPRA	autocrine|paracrine	0.775935006240278
THBS2	NOTCH3	autocrine|paracrine	0.774128295723176
HSP90B1	ERBB2	autocrine|paracrine	0.774117261483507
GNAI2	EDNRA	autocrine|paracrine	0.771903539758241
DLK1	NOTCH3	autocrine|paracrine	0.771411519488107
UBA52	TGFBR2	autocrine|paracrine	0.768747451443525
UBC	TGFBR1	autocrine|paracrine	0.768396104077843
RPS27A	RIPK1	autocrine|paracrine	0.76763470581834
TNC	ITGA7	autocrine|paracrine	0.766193274882929
APP	NCSTN	autocrine|paracrine	0.765880275719585
FGF7	NRP1	autocrine|paracrine	0.764883478255781
SORBS1	ITGB5	autocrine|paracrine	0.764627752362907
PSAP	LRP1	autocrine|paracrine	0.764343250526558
COL1A1	CD36	autocrine|paracrine	0.764116872395782
COL4A1	CD47	autocrine|paracrine	0.763370806616638
LTBP3	ITGB5	autocrine|paracrine	0.762771593110079
CALR	LRP1	autocrine|paracrine	0.762021709328693
UBA52	ERBB2	autocrine|paracrine	0.761617168781577
APP	LRP1	autocrine|paracrine	0.761464777486789
APOC3	SDC2	autocrine|paracrine	0.759961215070976
UBC	SMAD3	autocrine|paracrine	0.758088525475356
JAG1	NOTCH3	autocrine|paracrine	0.758053977967583
COL4A5	ITGB1	autocrine|paracrine	0.757960695488479
CTGF	ITGA5	autocrine|paracrine	0.757594241691862
BST1	CAV1	autocrine|paracrine	0.757573547499228
HLA-A	APLP2	autocrine|paracrine	0.756766479470605
TGFB1	ITGB1	autocrine|paracrine	0.755553681758042
FYN	THY1	autocrine|paracrine	0.755455204769021
COL1A2	CD36	autocrine|paracrine	0.753587747435861
ANOS1	SDC2	autocrine|paracrine	0.752977681499957
B2M	TFRC	autocrine|paracrine	0.752282442610234
HSP90AA1	EGFR	autocrine|paracrine	0.751757444885467
CYR61	ITGA5	autocrine|paracrine	0.751455269836022
THBS2	ITGB1	autocrine|paracrine	0.748817883368021
AGRN	ITGB1	autocrine|paracrine	0.748592580670258
NID1	ITGAV	autocrine|paracrine	0.746978058764176
PTGS2	CAV1	autocrine|paracrine	0.746589308539749
HRAS	CAV1	autocrine|paracrine	0.745940210868016
JAM3	ITGB1	autocrine|paracrine	0.742481849264196
GNAI2	F2R	autocrine|paracrine	0.741005989393662
LRPAP1	LDLR	autocrine|paracrine	0.740522494379019
CALR	ITGAV	autocrine|paracrine	0.739556702531084
UBA52	AGTR1	autocrine|paracrine	0.739379645591276
HSP90AA1	FGFR3	autocrine|paracrine	0.738776245691137
UBA52	ADRB2	autocrine|paracrine	0.738628801841563
LAMB1	ITGAV	autocrine|paracrine	0.738350816770085
GPC3	LRP1	autocrine|paracrine	0.737495810889006
FGF7	FGFR1	autocrine|paracrine	0.734180245234182
LAMC1	ITGA7	autocrine|paracrine	0.73408376049751
UBC	RIPK1	autocrine|paracrine	0.732877322885088
VEGFB	NRP1	autocrine|paracrine	0.732569257713697
COL1A1	CD44	autocrine|paracrine	0.732167031978698
COL4A5	ITGA1	autocrine|paracrine	0.731566903653201
ICAM1	CAV1	autocrine|paracrine	0.730683779618977
SERPINA1	LRP1	autocrine|paracrine	0.729473085062128
RTN4	NGFR	autocrine|paracrine	0.729282850975007
UBB	TGFBR1	autocrine|paracrine	0.728067751379738
VIM	CD44	autocrine|paracrine	0.727076910721986
COL9A2	ITGB1	autocrine|paracrine	0.726612513519182
CALM2	PDE1A	autocrine|paracrine	0.725879942433294
TGFB1	SDC2	autocrine|paracrine	0.725755346574883
RTN4	CNTNAP1	autocrine|paracrine	0.724616297120987
COL1A2	CD44	autocrine|paracrine	0.720732984120627
APP	CD74	autocrine|paracrine	0.720383015419197
CALM1	PDE1A	autocrine|paracrine	0.719627609493581
LRPAP1	LRP1	autocrine|paracrine	0.71926360621774
TNC	ITGAV	autocrine|paracrine	0.717771429276391
UBB	SMAD3	autocrine|paracrine	0.716627253994038
SPTAN1	PTPRA	autocrine|paracrine	0.713716045954235
LAMA4	ITGAV	autocrine|paracrine	0.713445518588161
CALM2	EGFR	autocrine|paracrine	0.711817523343909
THBS1	LRP1	autocrine|paracrine	0.711630346036507
LTBP1	ITGB5	autocrine|paracrine	0.710611336349999
NPNT	ITGB1	autocrine|paracrine	0.709345624617259
TIMP3	ADAM17	autocrine|paracrine	0.705668927132239
CALM1	EGFR	autocrine|paracrine	0.70537463106576
NCAM1	CACNA1C	autocrine|paracrine	0.703387293830142
GNAI2	S1PR3	autocrine|paracrine	0.702952808128832
COL1A1	CD93	autocrine|paracrine	0.702039238538575
FN1	ITGA3	autocrine|paracrine	0.701627338025664
VEGFA	NRP1	autocrine|paracrine	0.700992192857067
FBN1	ITGAV	autocrine|paracrine	0.698062272775748
HSP90B1	ASGR1	autocrine|paracrine	0.697456056996045
A2M	LRP1	autocrine|paracrine	0.697445991912867
UBA52	EGFR	autocrine|paracrine	0.695899376532765
NCAM1	FGFR1	autocrine|paracrine	0.695241086645447
NCAM1	PTPRA	autocrine|paracrine	0.694563993583419
COL4A6	ITGB1	autocrine|paracrine	0.691141169531615
PSEN1	NOTCH3	autocrine|paracrine	0.689905446233065
COL1A2	CD93	autocrine|paracrine	0.689863816726305
UBB	RIPK1	autocrine|paracrine	0.688868484839989
ARPC5	ADRB2	autocrine|paracrine	0.688581315596883
FABP5	RXRA	autocrine|paracrine	0.687625824834372
FST	BMPR2	autocrine|paracrine	0.687229160314897
RGMA	BMPR2	autocrine|paracrine	0.68721344479474
COL6A1	ITGA6	autocrine|paracrine	0.68682703162561
GSTP1	TRAF2	autocrine|paracrine	0.68577070281158
ACTR2	LDLR	autocrine|paracrine	0.685381007053636
CALM2	PDE1B	autocrine|paracrine	0.685319458776095
MDK	ITGA6	autocrine|paracrine	0.684416203912215
FN1	ITGA6	autocrine|paracrine	0.684121734981495
VCAM1	ITGB1	autocrine|paracrine	0.683734323030389
UBA52	TGFBR1	autocrine|paracrine	0.683222787216844
APOC3	LDLR	autocrine|paracrine	0.682791042618596
LAMC1	ITGAV	autocrine|paracrine	0.681773917628002
VEGFA	ITGAV	autocrine|paracrine	0.681382609535035
CALM1	FAS	autocrine|paracrine	0.679890769393117
UBA52	ACVR1	autocrine|paracrine	0.679544297975145
SEMA4A	PLXNB2	autocrine|paracrine	0.678817366418511
CALM1	PDE1B	autocrine|paracrine	0.678551678007782
PDGFA	PDGFRB	autocrine|paracrine	0.678375690795113
APP	GPC1	autocrine|paracrine	0.678367416644469
APOE	LDLR	autocrine|paracrine	0.676811500033211
COL9A1	ITGB1	autocrine|paracrine	0.675104998022444
LAMC2	ITGB1	autocrine|paracrine	0.673141053250333
COL18A1	ITGB1	autocrine|paracrine	0.672678609193703
FN1	CD44	autocrine|paracrine	0.672211767180914
TNC	ITGA8	autocrine|paracrine	0.671918399420693
UBA52	SMAD3	autocrine|paracrine	0.670748816509164
EFEMP2	PLSCR4	autocrine|paracrine	0.670630248284703
HRAS	SDC2	autocrine|paracrine	0.66882858819439
COL9A3	ITGB1	autocrine|paracrine	0.668621083087878
CALM2	INSR	autocrine|paracrine	0.66703718477551
COL5A2	DDR1	autocrine|paracrine	0.665257873682966
CALM3	PDE1A	autocrine|paracrine	0.665177378257872
PRSS23	TMEM222	autocrine|paracrine	0.664913119091897
SEMA3A	NRP1	autocrine|paracrine	0.662656979382665
COL4A6	ITGA1	autocrine|paracrine	0.660722450086137
CALM1	INSR	autocrine|paracrine	0.660071240270867
APOC3	LRP1	autocrine|paracrine	0.658980422744407
HLA-A	ERBB2	autocrine|paracrine	0.657894655983718
LAMC2	CD151	autocrine|paracrine	0.657217898589581
NID1	PTPRF	autocrine|paracrine	0.65655158098558
SERPING1	LRP1	autocrine|paracrine	0.656050036053186
ADAM9	ITGB5	autocrine|paracrine	0.655850375714028
APP	NGFR	autocrine|paracrine	0.653642756038127
APOE	LRP1	autocrine|paracrine	0.652780287905533
THBS1	CD47	autocrine|paracrine	0.65128770058486
CALM3	EGFR	autocrine|paracrine	0.649504544254868
MFGE8	ITGAV	autocrine|paracrine	0.648862038016292
DLK1	NOTCH1	autocrine|paracrine	0.645922129986026
ADAM10	NOTCH1	autocrine|paracrine	0.644906381298873
WNT5A	MCAM	autocrine|paracrine	0.644086914585769
GPC3	IGF1R	autocrine|paracrine	0.64364673516798
ADAM15	ITGB1	autocrine|paracrine	0.643611798318927
EDN1	EDNRA	autocrine|paracrine	0.642767102586483
JAG1	CD46	autocrine|paracrine	0.640803525589979
UBA52	RIPK1	autocrine|paracrine	0.640748835471821
FGF7	FGFR3	autocrine|paracrine	0.639972466440893
PSAP	SORT1	autocrine|paracrine	0.63965177502031
MDK	SDC3	autocrine|paracrine	0.639517085720922
ARF1	INSR	autocrine|paracrine	0.638945629200675
SEMA4C	PLXNB2	autocrine|paracrine	0.638627809606849
P4HB	GPR162	autocrine|paracrine	0.637952813614671
GNAI2	IGF1R	autocrine|paracrine	0.637406757355804
RTN4	RTN4R	autocrine|paracrine	0.636594164629503
VEGFC	ITGB1	autocrine|paracrine	0.635090014615838
ADAM17	ITGB1	autocrine|paracrine	0.634840143118339
C3	CD81	autocrine|paracrine	0.631703226059829
TNC	ITGA5	autocrine|paracrine	0.631458236267633
MDK	TSPAN1	autocrine|paracrine	0.630763722734837
PLAU	ITGB1	autocrine|paracrine	0.629515393381329
FGF2	SDC2	autocrine|paracrine	0.62919054081167
JAG1	NOTCH1	autocrine|paracrine	0.628760593798596
CTGF	ERBB4	autocrine|paracrine	0.628532737831774
HSP90AA1	CFTR	autocrine|paracrine	0.628480371112653
PDGFD	PDGFRB	autocrine|paracrine	0.628043817211619
FGF7	FGFR4	autocrine|paracrine	0.62706245986112
TFPI	LRP1	autocrine|paracrine	0.626693520984393
APOA4	LDLR	autocrine|paracrine	0.623932197309818
TGFB1	ITGB5	autocrine|paracrine	0.623021452795607
ADAM9	ITGAV	autocrine|paracrine	0.622885322901439
SEMA3C	NRP1	autocrine|paracrine	0.62246273466274
DCN	EGFR	autocrine|paracrine	0.621974809369424
CALM3	PDE1B	autocrine|paracrine	0.620332911593818
TNC	EGFR	autocrine|paracrine	0.619946223787151
VEGFB	TYRO3	autocrine|paracrine	0.619092896226303
THBS1	ITGA4	autocrine|paracrine	0.617700502015099
GDNF	GFRA2	autocrine|paracrine	0.615582614775644
P4HB	MTTP	autocrine|paracrine	0.615263464563865
APP	TNFRSF21	autocrine|paracrine	0.614544391136848
VEGFA	GPC1	autocrine|paracrine	0.614392764590124
THBS1	LRP5	autocrine|paracrine	0.611570610466069
FBN1	ITGA5	autocrine|paracrine	0.609004924379838
AGRN	LRP1	autocrine|paracrine	0.608769877441055
GNAI2	EGFR	autocrine|paracrine	0.608651768396597
RGMA	NEO1	autocrine|paracrine	0.608056071353201
SEMA4A	PLXND1	autocrine|paracrine	0.60799404271018
SEMA4A	PLXND1	autocrine|paracrine	0.60799404271018
COL1A2	ITGA2B	autocrine|paracrine	0.607928605396349
CALM2	ABCA1	autocrine|paracrine	0.605988383106514
GNAI2	UNC5B	autocrine|paracrine	0.605695990081438
ANOS1	FGFR1	autocrine|paracrine	0.605611453020016
ADAM10	AXL	autocrine|paracrine	0.605442875468163
DLL1	NOTCH3	autocrine|paracrine	0.605026954933073
RPS27A	FGFR2	autocrine|paracrine	0.604661624791943
VEGFA	NRP2	autocrine|paracrine	0.604125198168523
CXCL12	CD4	autocrine|paracrine	0.601957473195977
NECTIN2	NECTIN3	autocrine|paracrine	0.600601678019783
CALM3	INSR	autocrine|paracrine	0.600476124639886
