Fibroblasts	Myofibroblast_Mesothelium	interaction type	LRscore
GPC3	LRP1	autocrine|paracrine	0.841618343878336
HSPA8	LDLR	autocrine|paracrine	0.841076668920771
LAMB2	RPSA	autocrine|paracrine	0.840818067756428
GNAI2	F2R	autocrine|paracrine	0.840777151598353
PTN	PLXNB2	autocrine|paracrine	0.839535039193399
COL1A1	DDR1	autocrine|paracrine	0.838575954022357
COL5A1	ITGA1	autocrine|paracrine	0.837120149323292
HSP90B1	ERBB2	autocrine|paracrine	0.83323236011021
RPS27A	TGFBR1	autocrine|paracrine	0.833120505937587
TNC	ITGB1	autocrine|paracrine	0.829230052214483
COL3A1	DDR1	autocrine|paracrine	0.829134752614051
COL5A2	ITGA1	autocrine|paracrine	0.82655940308982
UBC	TGFBR2	autocrine|paracrine	0.825982337262976
HSPG2	ITGB1	autocrine|paracrine	0.825509067215549
UBC	FGFR2	autocrine|paracrine	0.824337129470835
APOA1	LDLR	autocrine|paracrine	0.823567753035763
GPC6	LRP1	autocrine|paracrine	0.823413049706548
LGALS3BP	ITGB1	autocrine|paracrine	0.82096330811852
PLAT	LRP1	autocrine|paracrine	0.820267527713121
PSAP	LRP1	autocrine|paracrine	0.819970487042143
LAMA4	ITGB1	autocrine|paracrine	0.816962209345639
THBS1	LRP1	autocrine|paracrine	0.81579312529811
HLA-A	APLP2	autocrine|paracrine	0.815361128060148
LAMB2	ITGB1	autocrine|paracrine	0.8117571393679
VCAN	CD44	autocrine|paracrine	0.811470541867438
FN1	COL13A1	autocrine|paracrine	0.809822559745095
FN1	CD44	autocrine|paracrine	0.809619017536496
APP	LRP1	autocrine|paracrine	0.809161017432499
COL6A3	ITGA1	autocrine|paracrine	0.809030652989954
UBA52	ERBB2	autocrine|paracrine	0.808765233642668
APOE	LRP1	autocrine|paracrine	0.808666103390283
CTGF	LRP1	autocrine|paracrine	0.807360337149226
AGRN	ITGB1	autocrine|paracrine	0.807071964909366
COL18A1	ITGB1	autocrine|paracrine	0.806555847042261
HSP90AA1	EGFR	autocrine|paracrine	0.805993357268688
UBB	TGFBR2	autocrine|paracrine	0.805093274578931
DCN	EGFR	autocrine|paracrine	0.803699309190276
UBB	FGFR2	autocrine|paracrine	0.803297607322926
UBC	TGFBR1	autocrine|paracrine	0.803134013276128
FN1	IL17RC	autocrine|paracrine	0.80273778309352
FN1	ITGA5	autocrine|paracrine	0.800917430081528
UBA52	LDLR	autocrine|paracrine	0.800188961338738
VCAM1	ITGB1	autocrine|paracrine	0.796262164624319
LAMC1	ITGB1	autocrine|paracrine	0.795889708437715
SERPINE2	LRP1	autocrine|paracrine	0.794855640454798
SERPINA1	LRP1	autocrine|paracrine	0.793979870646093
FN1	ITGAV	autocrine|paracrine	0.792498759445154
LRPAP1	LRP1	autocrine|paracrine	0.790740274730018
RPS27A	SMAD3	autocrine|paracrine	0.786615330323664
COL1A1	ITGA11	autocrine|paracrine	0.784543132347902
ICAM1	CAV1	autocrine|paracrine	0.783730281247363
MDK	SDC3	autocrine|paracrine	0.782572762906523
GNAS	ADCY9	autocrine|paracrine	0.782373883303418
COL14A1	CD44	autocrine|paracrine	0.781735944942085
APOC3	SDC2	autocrine|paracrine	0.781478231804353
HLA-B	CANX	autocrine|paracrine	0.780812723112518
UBB	TGFBR1	autocrine|paracrine	0.780231989384367
RPS27A	RIPK1	autocrine|paracrine	0.778881651538379
COL1A2	ITGA11	autocrine|paracrine	0.774784052586588
CYR61	ITGA5	autocrine|paracrine	0.774021749036943
MDK	ITGA6	autocrine|paracrine	0.772882799062897
APOC3	LRP1	autocrine|paracrine	0.772708826918989
HSPG2	LRP1	autocrine|paracrine	0.771874557051994
CYR61	ITGB5	autocrine|paracrine	0.771819641386422
TFPI	LRP1	autocrine|paracrine	0.768821380493199
LAMB1	ITGA1	autocrine|paracrine	0.768568346763241
VCAN	EGFR	autocrine|paracrine	0.767039409077168
FABP5	RXRA	autocrine|paracrine	0.765799004940293
FN1	PLAUR	autocrine|paracrine	0.764825283643432
CYR61	ITGAV	autocrine|paracrine	0.764799729075562
CALM1	PTPRA	autocrine|paracrine	0.764472591047344
HSP90AA1	FGFR3	autocrine|paracrine	0.76424315518416
CALR	ITGAV	autocrine|paracrine	0.764000925034697
SERPING1	LRP1	autocrine|paracrine	0.762523033420651
MDK	SDC1	autocrine|paracrine	0.761928385293591
COL9A1	ITGB1	autocrine|paracrine	0.758621064082356
UBA52	TGFBR2	autocrine|paracrine	0.755858481578403
CALM1	PDE1A	autocrine|paracrine	0.753928210131191
UBA52	FGFR2	autocrine|paracrine	0.753747957290439
B2M	TFRC	autocrine|paracrine	0.752990446727971
THBS2	CD47	autocrine|paracrine	0.752825056883611
NID1	COL13A1	autocrine|paracrine	0.75265371063642
FBN1	ITGA5	autocrine|paracrine	0.752076351196876
COL6A1	ITGA6	autocrine|paracrine	0.751815004741415
IGFBP4	FZD8	autocrine|paracrine	0.751667183619211
UBA52	ACVR1	autocrine|paracrine	0.751473157728276
UBC	SMAD3	autocrine|paracrine	0.750772188568379
AGRN	LRP1	autocrine|paracrine	0.749490069940328
TNC	ITGA8	autocrine|paracrine	0.749479761392767
GNAS	PTGIR	autocrine|paracrine	0.747886110863258
CALM2	PDE1A	autocrine|paracrine	0.746658457400279
APOE	LDLR	autocrine|paracrine	0.744648979840387
APP	NCSTN	autocrine|paracrine	0.743626952274079
HRAS	CAV1	autocrine|paracrine	0.742720123982887
FBN1	ITGAV	autocrine|paracrine	0.742256974263562
COL4A5	ITGB1	autocrine|paracrine	0.742197265449182
UBC	RIPK1	autocrine|paracrine	0.742165252778093
MFAP2	NOTCH1	autocrine|paracrine	0.74150323495804
JAM3	ITGB1	autocrine|paracrine	0.741410171109734
MDK	ITGA4	autocrine|paracrine	0.741107990677053
COL5A1	SDC3	autocrine|paracrine	0.740836940301575
COL4A1	ITGA1	autocrine|paracrine	0.73987152364713
THBS1	CD47	autocrine|paracrine	0.73783278187684
TGFB1	CAV1	autocrine|paracrine	0.737809472319337
COL5A2	DDR1	autocrine|paracrine	0.736627273099319
TGFB1	ITGB1	autocrine|paracrine	0.735775737909342
APP	CD74	autocrine|paracrine	0.735173994634006
HLA-A	ERBB2	autocrine|paracrine	0.734342189731961
TGM2	ITGB1	autocrine|paracrine	0.733795452813462
PKM	CD44	autocrine|paracrine	0.733128017672333
UBA52	EGFR	autocrine|paracrine	0.732007319141093
NID1	ITGAV	autocrine|paracrine	0.731846634344411
IGFBP4	LRP6	autocrine|paracrine	0.731125943306423
UBA52	NOTCH1	autocrine|paracrine	0.729271436199371
EFEMP2	PLSCR4	autocrine|paracrine	0.727961883567288
FN1	ITGA9	autocrine|paracrine	0.727694798469978
PTN	SDC3	autocrine|paracrine	0.727666489177359
HMGB1	SDC1	autocrine|paracrine	0.727409969662242
GPC3	IGF1R	autocrine|paracrine	0.727269896398037
UBA52	TGFBR1	autocrine|paracrine	0.726847787957521
LTBP3	ITGB5	autocrine|paracrine	0.724960646982997
UBB	SMAD3	autocrine|paracrine	0.723873052223178
A2M	LRP1	autocrine|paracrine	0.723737447910581
LAMB1	ITGAV	autocrine|paracrine	0.722940891856325
LRPAP1	LDLR	autocrine|paracrine	0.722781531475014
LGALS1	CD69	autocrine|paracrine	0.721792927880637
GNAI2	EDNRB	autocrine|paracrine	0.721614658391602
ADAM17	ITGB1	autocrine|paracrine	0.721530408857557
FYN	THY1	autocrine|paracrine	0.720997391027957
COL4A1	CD47	autocrine|paracrine	0.719923288691903
CALM1	EGFR	autocrine|paracrine	0.719297408319943
FN1	ITGA6	autocrine|paracrine	0.71879834811015
ADAM9	ITGB1	autocrine|paracrine	0.717888509379955
COL4A2	ITGB5	autocrine|paracrine	0.71554908952016
UBB	RIPK1	autocrine|paracrine	0.714690190275283
TGFB3	ITGB1	autocrine|paracrine	0.7141941809563
COL9A3	ITGB1	autocrine|paracrine	0.711563203737924
CALM2	EGFR	autocrine|paracrine	0.711396195080459
THBS2	NOTCH3	autocrine|paracrine	0.711160395303892
CALM3	PDE1A	autocrine|paracrine	0.710006268770803
CXCL12	CD4	autocrine|paracrine	0.709860516787689
CTGF	ITGA5	autocrine|paracrine	0.709228091120853
MDK	SDC4	autocrine|paracrine	0.708019893956392
APP	GPC1	autocrine|paracrine	0.706607216118471
LAMA5	ITGB1	autocrine|paracrine	0.704151335864153
PTN	SDC1	autocrine|paracrine	0.703782160830314
GNAI2	UNC5B	autocrine|paracrine	0.702027821544989
CXCL12	CXCR4	autocrine|paracrine	0.701921412498659
APOC3	LDLR	autocrine|paracrine	0.701107686462659
SEMA4A	PLXNB2	autocrine|paracrine	0.700674593381684
MFGE8	PDGFRB	autocrine|paracrine	0.700268108826077
COL1A1	CD36	autocrine|paracrine	0.699183030329878
NCAM1	GFRA1	autocrine|paracrine	0.69800714865916
SPTAN1	PTPRA	autocrine|paracrine	0.697731335772685
VEGFA	GPC1	autocrine|paracrine	0.695112016403085
TFPI	F3	autocrine|paracrine	0.693460866869509
APOA4	LRP1	autocrine|paracrine	0.693409346870269
COL11A1	ITGB1	autocrine|paracrine	0.692221676090903
RTN4	RTN4R	autocrine|paracrine	0.691026468441388
COL4A1	ITGAV	autocrine|paracrine	0.69086206137024
GNAI2	AGTR2	autocrine|paracrine	0.690375774373082
VEGFA	ITGAV	autocrine|paracrine	0.689212140905198
COL18A1	GPC4	autocrine|paracrine	0.688541855488428
NCAM1	ROBO1	autocrine|paracrine	0.687995017817285
DCN	MET	autocrine|paracrine	0.687627515395532
COL1A2	CD36	autocrine|paracrine	0.687099609894947
NECTIN2	NECTIN3	autocrine|paracrine	0.687048066816827
VCAN	ITGA4	autocrine|paracrine	0.68517129632667
HSP90B1	ASGR1	autocrine|paracrine	0.684206241023182
NCAM1	FGFR1	autocrine|paracrine	0.68279281261776
FN1	ITGA4	autocrine|paracrine	0.682564617070513
HRAS	SDC2	autocrine|paracrine	0.682459523667447
THBS1	LRP5	autocrine|paracrine	0.680918355761435
MDK	TSPAN1	autocrine|paracrine	0.680583468268192
BMP4	BMPR2	autocrine|paracrine	0.679763624828416
GNAI2	IGF1R	autocrine|paracrine	0.679162454233824
RTN4	LINGO1	autocrine|paracrine	0.679150383982957
TGFB1	SDC2	autocrine|paracrine	0.676899046287831
ACTR2	LDLR	autocrine|paracrine	0.676831996248832
ARPC5	LDLR	autocrine|paracrine	0.67599488774326
HSPG2	COL13A1	autocrine|paracrine	0.675777787643387
EFNB1	ERBB2	autocrine|paracrine	0.675595015200725
NCAM1	PTPRA	autocrine|paracrine	0.672669679038995
CALM3	EGFR	autocrine|paracrine	0.671884299597206
APOE	LRP5	autocrine|paracrine	0.670679536029154
TNC	ITGA5	autocrine|paracrine	0.669000642995244
VCAM1	MSN	autocrine|paracrine	0.668890842287771
NID1	PTPRF	autocrine|paracrine	0.665832727883094
CALM1	INSR	autocrine|paracrine	0.665376051936354
GNAI2	EGFR	autocrine|paracrine	0.665007958214032
PDAP1	PDGFRB	autocrine|paracrine	0.664506237327044
LAMB3	ITGB1	autocrine|paracrine	0.663506450680441
COL7A1	ITGB1	autocrine|paracrine	0.663503162031935
UBA52	SMAD3	autocrine|paracrine	0.662716708468899
LAMC1	ITGA1	autocrine|paracrine	0.662275719523107
TNC	ITGAV	autocrine|paracrine	0.657389851266442
CALM2	INSR	autocrine|paracrine	0.656681491765668
VEGFA	TYRO3	autocrine|paracrine	0.656674873527755
ADAM15	ITGB1	autocrine|paracrine	0.656523307206826
APOB	LRP1	autocrine|paracrine	0.656356643228698
VCAM1	EZR	autocrine|paracrine	0.656243193603064
COL1A1	CD93	autocrine|paracrine	0.656044185794923
LAMA2	RPSA	autocrine|paracrine	0.655985804696102
VEGFA	EGFR	autocrine|paracrine	0.653847918150573
ARF1	INSR	autocrine|paracrine	0.653177276773924
CTGF	LRP6	autocrine|paracrine	0.65309752931877
TIMP3	AGTR2	autocrine|paracrine	0.652981957302504
UBA52	RIPK1	autocrine|paracrine	0.652476445543528
C3	CD81	autocrine|paracrine	0.651310721434104
MFGE8	ITGAV	autocrine|paracrine	0.650851446110059
CALM1	FAS	autocrine|paracrine	0.649209760209657
SEMA4C	PLXNB2	autocrine|paracrine	0.647825810076498
SEMA3A	PLXNA2	autocrine|paracrine	0.646183046741431
CALM1	CACNA1C	autocrine|paracrine	0.646161883926417
VEGFC	ITGB1	autocrine|paracrine	0.645579601227598
NCAM1	FGFR2	autocrine|paracrine	0.64514744246736
GSTP1	TRAF2	autocrine|paracrine	0.64475608951143
MDK	GPC2	autocrine|paracrine	0.643753890977516
COL1A2	CD93	autocrine|paracrine	0.643112432427956
EFEMP2	LINGO1	autocrine|paracrine	0.642412725555523
NAMPT	INSR	autocrine|paracrine	0.640535515223454
CXCL12	SDC4	autocrine|paracrine	0.639870629308871
PDGFD	PDGFRA	autocrine|paracrine	0.639711332102947
THBS2	ITGA6	autocrine|paracrine	0.639285229909042
LAMA4	ITGAV	autocrine|paracrine	0.638163925315455
FST	BMPR2	autocrine|paracrine	0.637862032257662
CALM2	CACNA1C	autocrine|paracrine	0.637240265467998
GNAI2	EDNRA	autocrine|paracrine	0.637193321405617
LAMB1	ITGA6	autocrine|paracrine	0.635885883839221
COL18A1	ITGA5	autocrine|paracrine	0.63443078608912
VEGFA	NRP1	autocrine|paracrine	0.634164208188358
COL18A1	ITGB5	autocrine|paracrine	0.631515977543575
COL18A1	GPC1	autocrine|paracrine	0.628778001612345
SEMA4A	PLXND1	autocrine|paracrine	0.626021244485501
SEMA4A	PLXND1	autocrine|paracrine	0.626021244485501
GNAI2	ADCY9	autocrine|paracrine	0.624769906690503
COL1A1	ITGA2	autocrine|paracrine	0.624298999934784
GNAS	ADCY7	autocrine|paracrine	0.623680574641003
VEGFA	EPHB2	autocrine|paracrine	0.623093058357914
FGF7	FGFR4	autocrine|paracrine	0.622334368307359
FN1	ITGB8	autocrine|paracrine	0.621912309844592
FAT4	DCHS1	autocrine|paracrine	0.621659565777477
PLAU	ITGB1	autocrine|paracrine	0.620991390224044
THBS1	ITGA6	autocrine|paracrine	0.620874422097019
TNC	EGFR	autocrine|paracrine	0.620398974749281
GNAI2	S1PR3	autocrine|paracrine	0.618878265465409
P4HB	MTTP	autocrine|paracrine	0.617774069299837
EFNB1	EPHB3	autocrine|paracrine	0.61750789705987
APOE	VLDLR	autocrine|paracrine	0.616278674677608
CALM1	ABCA1	autocrine|paracrine	0.615957643752672
SCT	RAMP2	autocrine|paracrine	0.614306661852188
PDGFA	PDGFRA	autocrine|paracrine	0.614291342768722
ARF1	PLD2	autocrine|paracrine	0.614163773923531
ANOS1	SDC2	autocrine|paracrine	0.613794814757603
CALM3	INSR	autocrine|paracrine	0.613745928934117
CALM1	PDE1C	autocrine|paracrine	0.612555146067778
COL1A2	ITGA2	autocrine|paracrine	0.610881633767182
EDN1	ADGRL4	autocrine|paracrine	0.610295559992486
MUC2	AGR2	autocrine|paracrine	0.610199633210521
ADM	RAMP2	autocrine|paracrine	0.610184399072826
APOA4	LDLR	autocrine|paracrine	0.609453299412212
LAMA2	ITGB1	autocrine|paracrine	0.608877660169201
COL3A1	ITGA2	autocrine|paracrine	0.608181073567701
VEGFA	ITGA9	autocrine|paracrine	0.608102510105338
CALM2	ABCA1	autocrine|paracrine	0.606737958107108
LAMC1	ITGAV	autocrine|paracrine	0.606423668666271
THBS1	SDC1	autocrine|paracrine	0.606322782400884
VEGFB	TYRO3	autocrine|paracrine	0.606187835626195
CD14	ITGB1	autocrine|paracrine	0.605789312352129
THBS1	SCARB1	autocrine|paracrine	0.605520157712323
EDN1	EDNRB	autocrine|paracrine	0.60519276567578
VCL	ITGB5	autocrine|paracrine	0.604723502083433
CALM1	GLP2R	autocrine|paracrine	0.604201577331816
CALM2	PDE1C	autocrine|paracrine	0.603306383303899
BMP2	ENG	autocrine|paracrine	0.602499643417968
OLFM2	ROBO2	autocrine|paracrine	0.602236422084744
JAG1	CD46	autocrine|paracrine	0.600170683462743
