Epithelial	Immune	interaction type	LRscore
LAMB3	ITGB1	autocrine|paracrine	0.817787480272599
UBC	TGFBR1	autocrine|paracrine	0.817761222741406
LGALS3BP	ITGB1	autocrine|paracrine	0.81667289421255
CALM1	MYLK	autocrine|paracrine	0.812680360403242
CYR61	ITGB2	autocrine|paracrine	0.812503452463574
COL1A2	ITGB1	autocrine|paracrine	0.811411063679645
APOA1	LRP1	autocrine|paracrine	0.809681199889705
LAMC2	ITGB1	autocrine|paracrine	0.807614041770921
COL6A1	ITGB1	autocrine|paracrine	0.806337902252357
F10	ITGB2	autocrine|paracrine	0.805036732620121
PSEN1	CD44	autocrine|paracrine	0.803878830447639
LAMB2	RPSA	autocrine|paracrine	0.802746559594545
UBB	TGFBR2	autocrine|paracrine	0.801670784533367
CTGF	ITGB2	autocrine|paracrine	0.80147370613182
B2M	KLRC1	autocrine|paracrine	0.800554422609185
CALM1	ABCA1	autocrine|paracrine	0.798886103030699
VEGFA	ITGB1	autocrine|paracrine	0.797235683737261
LGALS1	ITGB1	autocrine|paracrine	0.796771057685227
RPS27A	ERBB2	autocrine|paracrine	0.796506975595379
HLA-C	CD3D	autocrine|paracrine	0.795364464981308
LGALS1	CD69	autocrine|paracrine	0.79460475354015
MDK	ITGB1	autocrine|paracrine	0.793225338439949
COL1A1	CD36	autocrine|paracrine	0.793217491366732
UBC	ERBB2	autocrine|paracrine	0.79307771226402
CALM2	MYLK	autocrine|paracrine	0.792806962678434
HSP90B1	TLR4	autocrine|paracrine	0.792559034299473
HLA-A	CD3D	autocrine|paracrine	0.787073584949006
HSP90B1	LRP1	autocrine|paracrine	0.787032652709805
COL1A2	CD36	autocrine|paracrine	0.782259366021123
UBB	TLR4	autocrine|paracrine	0.780633494961568
HSPA8	ADRB2	autocrine|paracrine	0.780229422445003
UBB	ADRB2	autocrine|paracrine	0.780109551260817
CALM2	ABCA1	autocrine|paracrine	0.777949095156417
FN1	ITGB1	autocrine|paracrine	0.776135008576423
FGB	ITGB2	autocrine|paracrine	0.772865759674848
COL1A1	CD93	autocrine|paracrine	0.770780083350818
CALM1	SELL	autocrine|paracrine	0.768414137156714
ACTR2	LDLR	autocrine|paracrine	0.764083630927217
UBB	TGFBR1	autocrine|paracrine	0.763033667937983
SERPINA1	LRP1	autocrine|paracrine	0.761819618113257
CALM3	MYLK	autocrine|paracrine	0.760174365447625
COL1A2	CD93	autocrine|paracrine	0.758994190341581
VTN	PLAUR	autocrine|paracrine	0.758441390199234
VCAN	CD44	autocrine|paracrine	0.757718858912642
ARPC5	LDLR	autocrine|paracrine	0.756754716521638
HLA-C	LILRB2	autocrine|paracrine	0.755379936490249
B2M	CD3G	autocrine|paracrine	0.755348496557469
C3	CD81	autocrine|paracrine	0.755224141001633
HSP90B1	TLR2	autocrine|paracrine	0.75518265416361
CDH1	ITGB7	autocrine|paracrine	0.754491413550938
RPS27A	SMAD3	autocrine|paracrine	0.752932248079113
FN1	C5AR1	autocrine|paracrine	0.751665297447761
UBA52	TGFBR2	autocrine|paracrine	0.750842218501579
UBC	SMAD3	autocrine|paracrine	0.749000067225138
GNAS	ADCY7	autocrine|paracrine	0.748907395524184
RPS27A	RIPK1	autocrine|paracrine	0.7483213058638
HSP90B1	ERBB2	autocrine|paracrine	0.747017387785994
HLA-A	LILRB2	autocrine|paracrine	0.74598644057892
CALM2	SELL	autocrine|paracrine	0.745316160536864
HMGB1	TLR4	autocrine|paracrine	0.744631703144239
UBC	RIPK1	autocrine|paracrine	0.74434065802538
GNAS	PTGIR	autocrine|paracrine	0.743840392852967
CALM3	ABCA1	autocrine|paracrine	0.743732817907208
HSP90AA1	ERBB2	autocrine|paracrine	0.743279485506516
B2M	LILRB1	autocrine|paracrine	0.740106774236577
GNAI2	C5AR1	autocrine|paracrine	0.739097305904843
MUC2	AGR2	autocrine|paracrine	0.737777472015502
FBLN1	ITGB1	autocrine|paracrine	0.7367538249438
HSPG2	ITGB1	autocrine|paracrine	0.736657559384386
CALR	LRP1	autocrine|paracrine	0.734455740198872
COL6A2	ITGB1	autocrine|paracrine	0.734256221225304
VEGFA	NRP2	autocrine|paracrine	0.733899384639387
UBB	ERBB2	autocrine|paracrine	0.733354547735071
FGB	ITGB1	autocrine|paracrine	0.733000355221003
LAMA3	SDC2	autocrine|paracrine	0.732233540134262
HSPA1A	TLR4	autocrine|paracrine	0.73223319235284
TGM2	ITGB1	autocrine|paracrine	0.73220798538257
PROC	ITGB2	autocrine|paracrine	0.732151063190657
APOB	TLR4	autocrine|paracrine	0.727406828290062
APOB	ADRB2	autocrine|paracrine	0.726800247361943
CXCL12	CXCR4	autocrine|paracrine	0.726570264382819
COL2A1	ITGB1	autocrine|paracrine	0.726478537749558
UBA52	TLR4	autocrine|paracrine	0.726254446965676
UBA52	ADRB2	autocrine|paracrine	0.725646268902214
AGRN	ITGB1	autocrine|paracrine	0.725419478806447
TNFSF10	TNFRSF10B	autocrine|paracrine	0.725003230271509
FN1	ITGB7	autocrine|paracrine	0.724836722534617
COL14A1	CD44	autocrine|paracrine	0.724742890018805
APOE	LRP1	autocrine|paracrine	0.723665154698347
CYR61	CAV1	autocrine|paracrine	0.72080192556523
APOB	LRP1	autocrine|paracrine	0.720756286837912
HBEGF	CD44	autocrine|paracrine	0.720597822920662
SEMA3B	NRP2	autocrine|paracrine	0.718900269817708
B2M	HLA-F	autocrine|paracrine	0.718266857866043
THBS1	ITGB1	autocrine|paracrine	0.718155046656651
APOA2	LDLR	autocrine|paracrine	0.717534096893696
APP	CAV1	autocrine|paracrine	0.716651165548369
ICAM1	ITGB2	autocrine|paracrine	0.714543969284644
LAMB1	ITGB1	autocrine|paracrine	0.713897185553497
HLA-B	CANX	autocrine|paracrine	0.713280277469894
APOE	SORL1	autocrine|paracrine	0.708532827804406
HLA-E	KLRC1	autocrine|paracrine	0.708347967695846
CALM3	SELL	autocrine|paracrine	0.707959089851761
CALM1	INSR	autocrine|paracrine	0.706801766965467
UBA52	TGFBR1	autocrine|paracrine	0.705935259855587
GNAI2	CAV1	autocrine|paracrine	0.705535819856478
SPON2	ITGB2	autocrine|paracrine	0.703708475392516
MDK	ITGA4	autocrine|paracrine	0.702606332858822
HLA-B	CD3D	autocrine|paracrine	0.702184720341551
RPS27A	FGFR2	autocrine|paracrine	0.701853938048155
LAMB2	ITGB1	autocrine|paracrine	0.701057937249118
LUM	ITGB1	autocrine|paracrine	0.700466005526816
CDH1	ITGAE	autocrine|paracrine	0.698579869907705
COL1A1	ITGA5	autocrine|paracrine	0.698326538497161
UBC	FGFR2	autocrine|paracrine	0.697435500800309
FGG	ITGB2	autocrine|paracrine	0.697240596521772
TIMP2	ITGB1	autocrine|paracrine	0.696446097151091
C3	ITGB2	autocrine|paracrine	0.69446329275712
APOC3	LRP1	autocrine|paracrine	0.694073758435522
PLAU	PLAUR	autocrine|paracrine	0.690003745216318
HSP90AA1	FGFR3	autocrine|paracrine	0.689885405671947
UBA52	NOTCH1	autocrine|paracrine	0.688502463252758
VCAN	ITGB1	autocrine|paracrine	0.687728783003295
ARF1	INSR	autocrine|paracrine	0.687246587484959
APOA4	LRP1	autocrine|paracrine	0.686477923238462
FGA	PLAUR	autocrine|paracrine	0.685939647531838
CD55	ADGRE2	autocrine|paracrine	0.685413424408622
RARRES2	CCRL2	autocrine|paracrine	0.68459772034613
COL5A2	ITGB1	autocrine|paracrine	0.684568274714604
SCT	RAMP2	autocrine|paracrine	0.684415507049507
LAMA5	ITGB1	autocrine|paracrine	0.683299786218479
GNAS	PTGDR	autocrine|paracrine	0.683060942307094
BMP2	ENG	autocrine|paracrine	0.683022887152511
SCT	ADRB2	autocrine|paracrine	0.682028996517703
VEGFA	SIRPA	autocrine|paracrine	0.681786168444807
UBB	SMAD3	autocrine|paracrine	0.681661492931388
FN1	ITGA4	autocrine|paracrine	0.68103788749282
PSAP	LRP1	autocrine|paracrine	0.68046991449716
THBS1	CD36	autocrine|paracrine	0.680268295786885
CALM2	INSR	autocrine|paracrine	0.680116827377778
MDK	LRP1	autocrine|paracrine	0.67932617389332
ICAM1	IL2RG	autocrine|paracrine	0.679178242570772
COL5A1	ITGB1	autocrine|paracrine	0.678485499346263
HSP90B1	ASGR1	autocrine|paracrine	0.677060039295524
LAMB3	CD151	autocrine|paracrine	0.676873034461287
UBB	RIPK1	autocrine|paracrine	0.676292298603989
NPNT	ITGB1	autocrine|paracrine	0.676106672136162
GAS6	AXL	autocrine|paracrine	0.676028015415132
LRPAP1	LRP1	autocrine|paracrine	0.674735864095022
THBS1	CD47	autocrine|paracrine	0.67301156350535
LAMB3	ITGA6	autocrine|paracrine	0.672685175909054
UBA52	ERBB2	autocrine|paracrine	0.672177226729342
GPC3	LRP1	autocrine|paracrine	0.670643522248913
APOC3	SDC2	autocrine|paracrine	0.670448060427748
DUSP18	RPSA	autocrine|paracrine	0.669549384858828
VTN	ITGB1	autocrine|paracrine	0.668399918198037
FABP5	RXRA	autocrine|paracrine	0.668022774769347
GSTP1	TRAF2	autocrine|paracrine	0.667560648821685
CXCL12	ITGB1	autocrine|paracrine	0.667538528753935
ADAM10	AXL	autocrine|paracrine	0.667292387103047
CALR	ITGAV	autocrine|paracrine	0.666134180011142
CGN	TGFBR2	autocrine|paracrine	0.665448881456184
HLA-C	CD3G	autocrine|paracrine	0.663904911844269
JAG1	CD46	autocrine|paracrine	0.663011156808041
LAMC1	ITGB1	autocrine|paracrine	0.662245645655836
LAMC2	CD151	autocrine|paracrine	0.662082928642545
ADAM9	ITGB1	autocrine|paracrine	0.661577057732807
CDH1	IGF1R	autocrine|paracrine	0.660183112451482
APOB	ITGAM	autocrine|paracrine	0.660088672218442
PSAP	SORT1	autocrine|paracrine	0.660082871268825
EFNB2	PECAM1	autocrine|paracrine	0.65978236192656
SPINT1	ST14	autocrine|paracrine	0.658472958034291
LRPAP1	SORL1	autocrine|paracrine	0.658189699247624
CD99	PILRA	autocrine|paracrine	0.657977372643009
LAMC2	ITGA6	autocrine|paracrine	0.65780029286889
COL6A3	ITGB1	autocrine|paracrine	0.657156348076908
HLA-A	ERBB2	autocrine|paracrine	0.656884105289592
COL6A1	ITGA6	autocrine|paracrine	0.655953745036434
PLAT	ITGB2	autocrine|paracrine	0.65567727356081
CALM1	PTPRA	autocrine|paracrine	0.655336622343847
APOC3	TLR2	autocrine|paracrine	0.654425739417736
LRPAP1	SORT1	autocrine|paracrine	0.654168904205049
APP	LRP1	autocrine|paracrine	0.654156695569331
COL16A1	ITGB1	autocrine|paracrine	0.653239218063826
HLA-A	CD3G	autocrine|paracrine	0.652614159020288
HLA-B	LILRB2	autocrine|paracrine	0.651960442163824
FGG	ITGB1	autocrine|paracrine	0.650110917605431
SEMA4G	PLXNB2	autocrine|paracrine	0.648007322260345
B2M	HFE	autocrine|paracrine	0.647533424926396
NAMPT	INSR	autocrine|paracrine	0.646805774552511
COL1A1	ITGAV	autocrine|paracrine	0.646652284976919
P4HB	MTTP	autocrine|paracrine	0.645938235437845
HLA-C	LILRB1	autocrine|paracrine	0.645638904234511
HMGB1	THBD	autocrine|paracrine	0.644174392122449
VEGFA	FLT1	autocrine|paracrine	0.643041779433387
CTGF	LRP1	autocrine|paracrine	0.64269131651391
COL1A1	ITGA1	autocrine|paracrine	0.64184567365771
CALR	HLA-F	autocrine|paracrine	0.641672819580133
EFNA1	EPHA2	autocrine|paracrine	0.640979127198812
COL4A1	ITGB1	autocrine|paracrine	0.640910689542123
ICAM1	ITGAX	autocrine|paracrine	0.64047150622993
PLAU	ITGB2	autocrine|paracrine	0.639133605586133
GPC3	IGF1R	autocrine|paracrine	0.639131055524091
VEGFA	NRP1	autocrine|paracrine	0.638882420737842
APOB	OLR1	autocrine|paracrine	0.638533622854938
CYR61	ITGA5	autocrine|paracrine	0.6379050195806
COL4A2	CD93	autocrine|paracrine	0.637880501713398
CALM3	INSR	autocrine|paracrine	0.637843284611666
PTMA	VIPR1	autocrine|paracrine	0.637622088122523
MDK	ITGA6	autocrine|paracrine	0.637239767262133
SCT	GPR84	autocrine|paracrine	0.636245010215788
FN1	ITGA5	autocrine|paracrine	0.635959961488018
ADM	RAMP2	autocrine|paracrine	0.635322177127363
FGA	ITGB2	autocrine|paracrine	0.634755615465532
HLA-A	LILRB1	autocrine|paracrine	0.634072739841036
HEBP1	FPR3	autocrine|paracrine	0.633883094612969
ADM	ADRB2	autocrine|paracrine	0.632763616489481
FN1	SDC2	autocrine|paracrine	0.631919548680685
MMP1	CD44	autocrine|paracrine	0.631904309141574
COL1A2	ITGAV	autocrine|paracrine	0.631535081453746
SEMA6D	TYROBP	autocrine|paracrine	0.63018684952014
IL18	CD48	autocrine|paracrine	0.629927942182763
RPS27A	LRP2	autocrine|paracrine	0.62985331596249
SHBG	CLDN4	autocrine|paracrine	0.629280071797192
CLCF1	IL6ST	autocrine|paracrine	0.628982808931269
APOE	SCARB1	autocrine|paracrine	0.628108942702665
TGM2	ITGA4	autocrine|paracrine	0.627408751421656
COL1A2	ITGA1	autocrine|paracrine	0.626641560642231
APP	NCSTN	autocrine|paracrine	0.624976729229389
UBC	LRP2	autocrine|paracrine	0.62493805704331
SPTAN1	PTPRA	autocrine|paracrine	0.623678089272028
UBB	FGFR2	autocrine|paracrine	0.623222095082568
CTGF	ITGA5	autocrine|paracrine	0.621390346663205
SEMA3B	NRP1	autocrine|paracrine	0.621291241013007
VTN	CD47	autocrine|paracrine	0.619509382784162
PTN	PLXNB2	autocrine|paracrine	0.618970074676069
MFAP2	NOTCH1	autocrine|paracrine	0.618952366333445
COL6A1	ITGA1	autocrine|paracrine	0.618932268660822
EDN1	EDNRB	autocrine|paracrine	0.61858015087982
C3	ITGAX	autocrine|paracrine	0.617966053360259
APOC2	LDLR	autocrine|paracrine	0.616291208859052
COL18A1	ITGB1	autocrine|paracrine	0.616193413336958
GAS6	MERTK	autocrine|paracrine	0.615946156029119
UBA52	SMAD3	autocrine|paracrine	0.614852822944821
FN1	ITGA6	autocrine|paracrine	0.613538196408272
CGN	TGFBR1	autocrine|paracrine	0.613082149576997
ARF1	PLD2	autocrine|paracrine	0.610913671813816
THBS1	ITGA4	autocrine|paracrine	0.610779659688895
APOB	MTTP	autocrine|paracrine	0.610510781461717
FGB	TLR4	autocrine|paracrine	0.61049355846865
VEGFA	ITGAV	autocrine|paracrine	0.610332232511614
GNAI2	IGF1R	autocrine|paracrine	0.609151856766491
UBA52	RIPK1	autocrine|paracrine	0.609003147621555
CEACAM1	CD209	autocrine|paracrine	0.608426923683235
HSPG2	LRP1	autocrine|paracrine	0.607035278439206
GNAS	VIPR1	autocrine|paracrine	0.606477144964067
GNAI2	CXCR3	autocrine|paracrine	0.606366459200139
ACTR2	ADRB2	autocrine|paracrine	0.605733604491273
PCSK9	LDLR	autocrine|paracrine	0.604705040289898
ZG16B	CXCR4	autocrine|paracrine	0.603138162276084
CYR61	ITGB5	autocrine|paracrine	0.603084391803378
PSEN1	NOTCH2	autocrine|paracrine	0.602785740735574
