Fibroblasts	Endothelial	interaction type	LRscore
SEMA4A	PLXND1	autocrine|paracrine	0.830994112183048
MDK	SDC3	autocrine|paracrine	0.830949423271048
EFEMP2	AQP1	autocrine|paracrine	0.830897306653629
ICAM1	CAV1	autocrine|paracrine	0.830011970563652
CALM1	MYLK	autocrine|paracrine	0.829114085202767
HSPG2	ITGB1	autocrine|paracrine	0.828511770292564
COL5A2	ITGA1	autocrine|paracrine	0.826605936733579
LAMB2	RPSA	autocrine|paracrine	0.826471618320326
RPS27A	RIPK1	autocrine|paracrine	0.824371527705679
LGALS3BP	ITGB1	autocrine|paracrine	0.824027561150579
COL1A1	DDR2	autocrine|paracrine	0.823840903906504
CALM2	MYLK	autocrine|paracrine	0.823545693336711
LRPAP1	LDLR	autocrine|paracrine	0.823496024868348
CTGF	ITGA5	autocrine|paracrine	0.823466155809376
LAMA4	ITGB1	autocrine|paracrine	0.82007993425499
CXCL12	ACKR3	autocrine|paracrine	0.819343961540438
GPC3	IGF1R	autocrine|paracrine	0.819268844845382
UBC	TGFBR1	autocrine|paracrine	0.816554538929429
IGFBP4	LRP6	autocrine|paracrine	0.815226889588022
LAMB2	ITGB1	autocrine|paracrine	0.814943440549138
TIMP3	KDR	autocrine|paracrine	0.814029526218531
COL3A1	DDR2	autocrine|paracrine	0.813729325445224
VEGFB	FLT1	autocrine|paracrine	0.8136626555892
UBB	SMAD3	autocrine|paracrine	0.812679543563086
AGRN	ITGB1	autocrine|paracrine	0.810319039210438
HSP90B1	ASGR1	autocrine|paracrine	0.810016793130114
COL18A1	ITGB1	autocrine|paracrine	0.809809560841905
COL6A3	ITGA1	autocrine|paracrine	0.80908080326754
VEGFB	NRP1	autocrine|paracrine	0.807851306923158
HLA-A	APLP2	autocrine|paracrine	0.807681447260026
APOC3	LDLR	autocrine|paracrine	0.807600310759124
SEMA3A	NRP1	autocrine|paracrine	0.803717702613797
HLA-B	CANX	autocrine|paracrine	0.802918121417343
HLA-C	NOTCH4	autocrine|paracrine	0.801813966738447
TNC	PTPRB	autocrine|paracrine	0.801632645757442
VCAM1	ITGB1	autocrine|paracrine	0.799646008392436
LAMC1	ITGB1	autocrine|paracrine	0.799278178879996
LAMA4	ITGA6	autocrine|paracrine	0.798465220402163
ANGPTL4	TIE1	autocrine|paracrine	0.798329795623863
CALM1	INSR	autocrine|paracrine	0.797878553063083
DCN	MET	autocrine|paracrine	0.797194587130941
COL5A1	SDC3	autocrine|paracrine	0.796079922556627
FN1	ITGAV	autocrine|paracrine	0.796077543797459
HRAS	CAV1	autocrine|paracrine	0.795487865725331
CALM3	MYLK	autocrine|paracrine	0.794962533204454
UBB	TGFBR1	autocrine|paracrine	0.794814896731231
LAMB1	ITGA2	autocrine|paracrine	0.794621780907967
TNC	ITGA5	autocrine|paracrine	0.794463006479131
UBC	RIPK1	autocrine|paracrine	0.793203161442255
CALM2	INSR	autocrine|paracrine	0.791548233925225
RPS27A	ERBB2	autocrine|paracrine	0.791357915951134
RPS27A	TLR4	autocrine|paracrine	0.791319700268172
TGFB1	CAV1	autocrine|paracrine	0.791301375458369
FN1	PLAUR	autocrine|paracrine	0.790613062015328
GNAI2	UNC5B	autocrine|paracrine	0.790334013982058
ANGPTL2	TIE1	autocrine|paracrine	0.790124370749707
ACTR2	LDLR	autocrine|paracrine	0.789375461413582
ARF1	INSR	autocrine|paracrine	0.788978234299313
ARPC5	LDLR	autocrine|paracrine	0.788738882563797
COL18A1	KDR	autocrine|paracrine	0.785711496571037
SCT	RAMP2	autocrine|paracrine	0.785060659573647
HSP90AA1	FGFR3	autocrine|paracrine	0.785013128703857
PTN	SDC3	autocrine|paracrine	0.784901758816252
CCL2	ACKR1	autocrine|paracrine	0.783406238537323
CCL2	ACKR1	autocrine|paracrine	0.783406238537323
VCAM1	MSN	autocrine|paracrine	0.783262225915809
GNAI2	IGF1R	autocrine|paracrine	0.78253694472564
ADM	RAMP2	autocrine|paracrine	0.782116105212048
GNAI2	F2R	autocrine|paracrine	0.780710429007478
COL1A1	CD44	autocrine|paracrine	0.780339958694264
NAMPT	INSR	autocrine|paracrine	0.779616312567308
CALM1	PTPRA	autocrine|paracrine	0.778321166739665
CXCL12	CXCR4	autocrine|paracrine	0.777075718617353
LAMC1	ITGA6	autocrine|paracrine	0.775847501720475
MDK	LRP1	autocrine|paracrine	0.775352750816054
COL1A2	CD44	autocrine|paracrine	0.770446201859401
UBB	RIPK1	autocrine|paracrine	0.769477451524673
CYR61	ITGAV	autocrine|paracrine	0.768716820071376
LAMB1	ITGA1	autocrine|paracrine	0.768626083955096
COL18A1	ITGA5	autocrine|paracrine	0.768461512424141
COL4A1	ITGA2	autocrine|paracrine	0.768181093115399
CALR	ITGAV	autocrine|paracrine	0.767927282687522
VEGFA	NRP2	autocrine|paracrine	0.76789349458708
BMP4	BMPR2	autocrine|paracrine	0.766671359209755
UBA52	SMAD3	autocrine|paracrine	0.764801256876182
FN1	NT5E	autocrine|paracrine	0.763786089893124
COL9A1	ITGB1	autocrine|paracrine	0.762443567791296
VIM	CD44	autocrine|paracrine	0.760495601215074
CALM3	INSR	autocrine|paracrine	0.75929683994914
FGF7	NRP1	autocrine|paracrine	0.756411525572301
UBC	ERBB2	autocrine|paracrine	0.756064364676593
UBC	TLR4	autocrine|paracrine	0.756021677519478
B2M	TFRC	autocrine|paracrine	0.755434454337141
HSP90AA1	ERBB2	autocrine|paracrine	0.754593633885643
CTGF	LRP6	autocrine|paracrine	0.753371993728066
FABP5	RXRA	autocrine|paracrine	0.751437247144261
LAMB1	ITGB4	autocrine|paracrine	0.750064831195023
HSPA1A	TLR4	autocrine|paracrine	0.74996174073774
BMP2	ENG	autocrine|paracrine	0.748854680529261
NCAM1	FGFR1	autocrine|paracrine	0.748743556084588
COL4A5	CD93	autocrine|paracrine	0.748375963401515
FN1	COL13A1	autocrine|paracrine	0.748050794372614
GNAI2	S1PR1	autocrine|paracrine	0.747103406505278
CYR61	ITGB5	autocrine|paracrine	0.746795836155839
FBN1	ITGAV	autocrine|paracrine	0.746425020908371
COL4A5	ITGB1	autocrine|paracrine	0.746192841859035
ADAM10	NOTCH1	autocrine|paracrine	0.746182088451883
TGFB1	ENG	autocrine|paracrine	0.746135398984039
FN1	ITGA9	autocrine|paracrine	0.745852943203952
JAM3	ITGB1	autocrine|paracrine	0.74541376195399
RPS27A	ADRB2	autocrine|paracrine	0.744145523848087
UBA52	TGFBR1	autocrine|paracrine	0.743809915592322
SERPING1	SELE	autocrine|paracrine	0.743796643093342
SEMA3D	NRP1	autocrine|paracrine	0.743448752836192
FN1	IL17RC	autocrine|paracrine	0.741167202849173
COL4A1	ITGA1	autocrine|paracrine	0.739933997553233
TNC	ITGA2	autocrine|paracrine	0.739929165381801
TGFB1	ITGB1	autocrine|paracrine	0.739835952315814
TGM2	ITGB1	autocrine|paracrine	0.737875256432706
SEMA3B	NRP1	autocrine|paracrine	0.737199168177595
APOA4	LDLR	autocrine|paracrine	0.736320081257949
NID1	ITGAV	autocrine|paracrine	0.736123180911416
HSPG2	ITGA2	autocrine|paracrine	0.734884465386925
FST	BMPR2	autocrine|paracrine	0.731652189574626
FN1	SDC2	autocrine|paracrine	0.731627193070342
THBS2	CD47	autocrine|paracrine	0.731105065074013
EFNB2	PECAM1	autocrine|paracrine	0.730496909719525
MMP2	SDC2	autocrine|paracrine	0.729830708807379
UBB	ERBB2	autocrine|paracrine	0.729530640569845
UBB	TLR4	autocrine|paracrine	0.729484971500965
ARF1	CHRM3	autocrine|paracrine	0.727944066540697
HMGB1	TLR4	autocrine|paracrine	0.727674073161607
LAMB1	ITGAV	autocrine|paracrine	0.727306546609565
PGF	FLT1	autocrine|paracrine	0.727120808943099
VCAN	SELP	autocrine|paracrine	0.726480208246731
ADAM17	ITGB1	autocrine|paracrine	0.725727925765527
TGFB1	TGFBR2	autocrine|paracrine	0.725132857548895
TGFB3	ENG	autocrine|paracrine	0.725083845590535
APP	NCSTN	autocrine|paracrine	0.723679471277341
COL1A1	DDR1	autocrine|paracrine	0.722164186368383
ADAM9	ITGB1	autocrine|paracrine	0.722119780553538
SEMA3A	NRP2	autocrine|paracrine	0.721686986314535
EFNB1	EPHB4	autocrine|paracrine	0.720598918592176
PSEN1	NOTCH4	autocrine|paracrine	0.720560499929668
HSP90B1	LRP1	autocrine|paracrine	0.720019377646089
EDN1	ADGRL4	autocrine|paracrine	0.719856288441617
B2M	HLA-F	autocrine|paracrine	0.719728247794306
PGF	NRP1	autocrine|paracrine	0.719540770212412
TGFB3	ITGB1	autocrine|paracrine	0.718459131287084
APOA1	LRP1	autocrine|paracrine	0.717295683849042
COL9A3	ITGB1	autocrine|paracrine	0.715851794673293
THBS1	CD47	autocrine|paracrine	0.715293600073236
RTN4	TNFRSF19	autocrine|paracrine	0.714581971332303
GSTP1	TRAF2	autocrine|paracrine	0.714494997809822
UBA52	RIPK1	autocrine|paracrine	0.714436980833386
SPTAN1	PTPRA	autocrine|paracrine	0.714036237783042
PSEN1	NOTCH1	autocrine|paracrine	0.713007489137675
LGALS1	CD69	autocrine|paracrine	0.712777507362727
GNAS	ADCY9	autocrine|paracrine	0.711830489420273
GNAS	ADCY1	autocrine|paracrine	0.709449419890845
VCAM1	EZR	autocrine|paracrine	0.709432581328183
LAMA5	ITGB1	autocrine|paracrine	0.708504984384966
COL3A1	DDR1	autocrine|paracrine	0.708282925549039
SEMA3C	PLXND1	autocrine|paracrine	0.706046790764169
ADM	CALCRL	autocrine|paracrine	0.705802650885905
LAMA5	BCAM	autocrine|paracrine	0.705425477752838
HSP90B1	ERBB2	autocrine|paracrine	0.704873828419075
HSP90B1	TLR4	autocrine|paracrine	0.704825680538023
PIGF	FLT1	autocrine|paracrine	0.704344351764085
UBC	ADRB2	autocrine|paracrine	0.703854299409888
DLL1	NOTCH4	autocrine|paracrine	0.703519565755347
TGFB3	TGFBR2	autocrine|paracrine	0.703032860091155
CALM1	ABCA1	autocrine|paracrine	0.702559726163648
SEMA4A	PLXNB2	autocrine|paracrine	0.702401525515545
ARF1	PLD2	autocrine|paracrine	0.70238328652354
APOB	LDLR	autocrine|paracrine	0.702226293750087
TIMP3	ADAM17	autocrine|paracrine	0.700321605705532
SLIT2	ROBO4	autocrine|paracrine	0.698320855526565
LTBP3	ITGB5	autocrine|paracrine	0.696816601013169
COL11A1	ITGB1	autocrine|paracrine	0.696675256093831
COL4A1	CD47	autocrine|paracrine	0.696477778674716
DLL1	NOTCH1	autocrine|paracrine	0.695700469622668
LAMC1	ITGA2	autocrine|paracrine	0.695555127773923
COL4A1	ITGAV	autocrine|paracrine	0.695520298307716
CALM2	ABCA1	autocrine|paracrine	0.694387553715452
FN1	ITGA3	autocrine|paracrine	0.694039336332035
VEGFA	ITGAV	autocrine|paracrine	0.693884223557055
IGFBP4	FZD8	autocrine|paracrine	0.69365098621838
POMC	RAMP2	autocrine|paracrine	0.693647500249129
ADAM9	ITGA6	autocrine|paracrine	0.693140167287589
JAG1	NOTCH4	autocrine|paracrine	0.69266594910219
SEMA3A	PLXNA2	autocrine|paracrine	0.69216497595732
THBS1	LRP5	autocrine|paracrine	0.691189467804057
TGFB1	ACVRL1	autocrine|paracrine	0.690698545780164
NCAM1	PTPRA	autocrine|paracrine	0.689725286732895
RPS19	C5AR1	autocrine|paracrine	0.687775876375623
CALR	LRP1	autocrine|paracrine	0.687255976062489
COL4A2	ITGB5	autocrine|paracrine	0.686857971236529
THBS1	SCARB1	autocrine|paracrine	0.686751928415053
BMP2	BMPR2	autocrine|paracrine	0.685640859881384
JAG1	NOTCH1	autocrine|paracrine	0.684688901447081
ADAM17	NOTCH1	autocrine|paracrine	0.684055715511657
APOE	LRP5	autocrine|paracrine	0.681125887628877
NID1	COL13A1	autocrine|paracrine	0.679658239966754
LAMA5	ITGA6	autocrine|paracrine	0.678737189515447
EFNA1	EPHA2	autocrine|paracrine	0.676837248131498
APOE	SCARB1	autocrine|paracrine	0.676611396532227
FAT4	DCHS1	autocrine|paracrine	0.676440355914829
P4HB	MTTP	autocrine|paracrine	0.674467939438858
RGMA	BMPR2	autocrine|paracrine	0.674437232548097
UBB	ADRB2	autocrine|paracrine	0.674089535617054
GDF11	BMPR2	autocrine|paracrine	0.674020009932563
ANXA1	DYSF	autocrine|paracrine	0.673855305094062
ADAM17	ITGA5	autocrine|paracrine	0.673470905392657
FGF7	FGFR1	autocrine|paracrine	0.673446697454455
RGMB	BMPR2	autocrine|paracrine	0.673031658568981
HSPA8	ADRB2	autocrine|paracrine	0.671988922950957
UBA52	ERBB2	autocrine|paracrine	0.669054461527227
UBA52	TLR4	autocrine|paracrine	0.66900321405245
LAMB3	ITGB1	autocrine|paracrine	0.668176362641902
COL7A1	ITGB1	autocrine|paracrine	0.668173096808527
TGFB3	ACVRL1	autocrine|paracrine	0.667100974397289
NID1	PTPRF	autocrine|paracrine	0.667051400371402
GREM1	KDR	autocrine|paracrine	0.666076377977025
GPC3	LRP1	autocrine|paracrine	0.665878926023624
FYN	THY1	autocrine|paracrine	0.664481497837585
DLK1	NOTCH4	autocrine|paracrine	0.664444297221799
COL3A1	MAG	autocrine|paracrine	0.664217095497392
VCAN	CD44	autocrine|paracrine	0.663808440634079
LAMC1	ITGA1	autocrine|paracrine	0.662348324519519
TNC	ITGAV	autocrine|paracrine	0.662305924255086
GNAI2	EDNRB	autocrine|paracrine	0.662169852862834
LAMB2	ITGB4	autocrine|paracrine	0.662137328654196
CALM1	CACNA1C	autocrine|paracrine	0.662057228667794
ADAM15	ITGB1	autocrine|paracrine	0.66124065243674
FN1	CD44	autocrine|paracrine	0.661112367984198
SEMA3C	NRP1	autocrine|paracrine	0.66026500711948
UBA52	ACVR1	autocrine|paracrine	0.658429001509116
CLCF1	IL6ST	autocrine|paracrine	0.657872029383945
CALR	ITGA3	autocrine|paracrine	0.657857176502123
BST1	CAV1	autocrine|paracrine	0.657557950395049
DLK1	NOTCH1	autocrine|paracrine	0.656098422986823
MFGE8	ITGAV	autocrine|paracrine	0.655812217455096
CALM3	ABCA1	autocrine|paracrine	0.653680657433826
MDK	SDC1	autocrine|paracrine	0.653450871194316
CALM2	CACNA1C	autocrine|paracrine	0.653321365068643
CALM1	KCNQ1	autocrine|paracrine	0.653230434670232
RTN4	RTN4R	autocrine|paracrine	0.651772257014532
TNFSF12	TNFRSF25	autocrine|paracrine	0.651467315833891
SEMA6D	KDR	autocrine|paracrine	0.650443797783885
VEGFC	ITGB1	autocrine|paracrine	0.650367204835222
FN1	ITGA8	autocrine|paracrine	0.650319161321124
CALM1	PDE1C	autocrine|paracrine	0.649865782200906
SEMA4C	PLXNB2	autocrine|paracrine	0.649705213959405
C1QA	CD93	autocrine|paracrine	0.649392094433737
CLCF1	LIFR	autocrine|paracrine	0.646996769832903
PTMA	VIPR1	autocrine|paracrine	0.646136469683145
FGF2	NRP1	autocrine|paracrine	0.64601553518496
CALM2	KCNQ1	autocrine|paracrine	0.644388956373071
PTGS2	CAV1	autocrine|paracrine	0.643750618207768
MDK	GPC2	autocrine|paracrine	0.643595911453379
LAMA4	ITGAV	autocrine|paracrine	0.643206142001465
CALM2	PDE1C	autocrine|paracrine	0.640985665057714
SEMA3B	NRP2	autocrine|paracrine	0.639826814125238
TGFB1	TGFBR3	autocrine|paracrine	0.639537808539301
SEMA3F	NRP1	autocrine|paracrine	0.639353719949073
LAMC1	ITGB4	autocrine|paracrine	0.63926266249977
VEGFC	FLT1	autocrine|paracrine	0.637819432220668
HSPG2	CHRM3	autocrine|paracrine	0.637085526033159
LAMB3	ITGA6	autocrine|paracrine	0.636403679822932
GPC6	LRP1	autocrine|paracrine	0.636204933903223
PSAP	SORT1	autocrine|paracrine	0.634370078173796
LAMA2	RPSA	autocrine|paracrine	0.63226664228759
WNT5A	MCAM	autocrine|paracrine	0.631574993725854
PLAT	LRP1	autocrine|paracrine	0.631218214544707
PSAP	LRP1	autocrine|paracrine	0.630749382331368
BMP7	ENG	autocrine|paracrine	0.630677677646483
VEGFA	ITGA9	autocrine|paracrine	0.630182620055737
ANGPT2	TIE1	autocrine|paracrine	0.62978569261295
NCAM1	ROBO3	autocrine|paracrine	0.628442897492327
COL4A5	ITGA2	autocrine|paracrine	0.627811726407067
TNFSF10	TNFRSF10D	autocrine|paracrine	0.627054400981098
GCG	RAMP2	autocrine|paracrine	0.62693827244954
PLAU	ITGB1	autocrine|paracrine	0.625918676874583
THBS1	LRP1	autocrine|paracrine	0.624193684343572
COL14A1	CD44	autocrine|paracrine	0.621643548728925
GNAS	VIPR1	autocrine|paracrine	0.621357875715679
CXCL1	ACKR1	autocrine|paracrine	0.621336556611859
CXCL1	ACKR1	autocrine|paracrine	0.621336556611859
JAG1	CD46	autocrine|paracrine	0.619534174974915
CALR	HLA-F	autocrine|paracrine	0.619290905269373
PGF	NRP2	autocrine|paracrine	0.619007034890648
TNC	NT5E	autocrine|paracrine	0.618970393564685
NID1	ITGA3	autocrine|paracrine	0.618463197460645
C3	CD81	autocrine|paracrine	0.617680903968962
RPS27A	FGFR2	autocrine|paracrine	0.617559289443982
EFEMP2	PLSCR4	autocrine|paracrine	0.616764402196488
FN1	C5AR1	autocrine|paracrine	0.615968139000865
VEGFC	KDR	autocrine|paracrine	0.615655170804154
WNT5A	LDLR	autocrine|paracrine	0.615616357507886
TGFB3	TGFBR3	autocrine|paracrine	0.614217125797849
LAMB3	CD151	autocrine|paracrine	0.614141669740023
APP	LRP1	autocrine|paracrine	0.613927897603556
LAMA2	ITGB1	autocrine|paracrine	0.613864506524234
NCAM1	ROBO1	autocrine|paracrine	0.613583009761581
APOE	LRP1	autocrine|paracrine	0.613168722672471
THBS2	NOTCH3	autocrine|paracrine	0.61284856416839
APOE	VLDLR	autocrine|paracrine	0.612534813271531
LAMC1	ITGAV	autocrine|paracrine	0.611639020555565
CALM1	SCN4A	autocrine|paracrine	0.611417904966199
HMGB1	SDC1	autocrine|paracrine	0.611229429830247
CTGF	LRP1	autocrine|paracrine	0.611170288144348
CD14	ITGB1	autocrine|paracrine	0.610790364856526
WNT2B	FZD4	autocrine|paracrine	0.610650858232782
CDH1	PTPRM	autocrine|paracrine	0.610381895014892
VEGFA	SIRPA	autocrine|paracrine	0.609399927862808
TGFB1	CD109	autocrine|paracrine	0.608324445909874
UBA52	ADRB2	autocrine|paracrine	0.607879942449056
LAMB1	ITGA3	autocrine|paracrine	0.607809797728387
EFNA5	EPHA2	autocrine|paracrine	0.606051233783106
VIP	RAMP2	autocrine|paracrine	0.604415458034223
FGF13	FGFR1	autocrine|paracrine	0.603435563263012
ADAM15	ITGA5	autocrine|paracrine	0.603411225733942
CXCL12	ADRA2A	autocrine|paracrine	0.602755090799539
CALM2	SCN4A	autocrine|paracrine	0.602159626452344
P4HB	GPR162	autocrine|paracrine	0.601944223772587
SCT	RAMP3	autocrine|paracrine	0.601577592343083
CALM3	KCNQ1	autocrine|paracrine	0.600850503891723
TIMP2	ITGA3	autocrine|paracrine	0.600553948960071
