Immune	Muscle	interaction type	LRscore
TGFB1	ENG	autocrine|paracrine	0.657402708438374
GNAI2	EDNRA	autocrine|paracrine	0.656780329092085
SEMA7A	ITGB1	autocrine|paracrine	0.656272862918445
TNFSF14	LTBR	autocrine|paracrine	0.655887314211384
FGB	ITGB1	autocrine|paracrine	0.655157339919064
GNAI2	F2R	autocrine|paracrine	0.654894827138027
B2M	HFE	autocrine|paracrine	0.654361083155074
SEMA4A	PLXNB2	autocrine|paracrine	0.652738916576006
B2M	KLRD1	autocrine|paracrine	0.651975575005593
SPTAN1	PTPRA	autocrine|paracrine	0.651898497136012
APOA4	LRP1	autocrine|paracrine	0.650664426042482
COL9A2	ITGB1	autocrine|paracrine	0.649879452995635
FN1	CD44	autocrine|paracrine	0.649841778653994
CALM2	PDE1A	autocrine|paracrine	0.648766855408615
ADAM17	ITGA5	autocrine|paracrine	0.643682142912338
APOE	LRP1	autocrine|paracrine	0.640618574594872
PLAU	ITGA5	autocrine|paracrine	0.639878344254327
ARF1	CHRM3	autocrine|paracrine	0.638355100261512
UBB	RIPK1	autocrine|paracrine	0.635611543994805
PTN	SDC3	autocrine|paracrine	0.632563629297556
VEGFA	TYRO3	autocrine|paracrine	0.63249650391379
ADAM17	NOTCH1	autocrine|paracrine	0.632185942864355
COL5A2	ITGA1	autocrine|paracrine	0.632078330700164
PDGFB	LRP1	autocrine|paracrine	0.631797955147655
PSEN1	NCSTN	autocrine|paracrine	0.631586633684674
COL4A1	ITGA1	autocrine|paracrine	0.630914840356941
FABP5	RXRA	autocrine|paracrine	0.629972890591892
APP	CD74	autocrine|paracrine	0.629564333074203
LAMA5	ITGB1	autocrine|paracrine	0.627798365922936
APOC3	LDLR	autocrine|paracrine	0.627592678955672
ADAM9	ITGB1	autocrine|paracrine	0.626535643490892
VEGFA	ITGAV	autocrine|paracrine	0.625732542658017
PLAT	LRP1	autocrine|paracrine	0.625405099487165
ARPC5	LDLR	autocrine|paracrine	0.623554081554906
HLA-B	CD3D	autocrine|paracrine	0.6235480768894
PLAU	MRC2	autocrine|paracrine	0.622601051824016
COL4A5	ITGB1	autocrine|paracrine	0.621876191265494
MUC2	AGR2	autocrine|paracrine	0.620416175518022
APOB	LRP1	autocrine|paracrine	0.619919156055091
IGFBP4	LRP6	autocrine|paracrine	0.619736280038219
SEMA4D	ERBB2	autocrine|paracrine	0.619341918925987
LGALS3BP	ITGB1	autocrine|paracrine	0.617375696554834
GPC3	LRP1	autocrine|paracrine	0.617080868342528
HSP90AA1	EGFR	autocrine|paracrine	0.616573931470636
THBS1	LRP5	autocrine|paracrine	0.616044108695353
GNAS	PTGDR	autocrine|paracrine	0.615548902005457
SEMA4D	PLXNB2	autocrine|paracrine	0.61503597300515
CALM1	ABCA1	autocrine|paracrine	0.613971654613776
TNF	TNFRSF21	autocrine|paracrine	0.61342167915664
COL5A1	SDC3	autocrine|paracrine	0.611144925764174
SERPINE2	LRP1	autocrine|paracrine	0.610172819049231
HLA-B	KLRD1	autocrine|paracrine	0.609571477866779
LAMB3	ITGB1	autocrine|paracrine	0.606058560083331
VEGFA	NRP1	autocrine|paracrine	0.605730070593134
COL18A1	ITGB1	autocrine|paracrine	0.602936303453226
OSM	IL6ST	autocrine|paracrine	0.601881463121513
FN1	ITGA5	autocrine|paracrine	0.601251156470112
TGFB1	ITGB5	autocrine|paracrine	0.601129070767598
