Fibroblasts	Immune	interaction type	LRscore
PSEN1	CD44	autocrine|paracrine	0.727942738182656
CXCL12	ACKR3	autocrine|paracrine	0.727704498135656
UBA52	TGFBR1	autocrine|paracrine	0.726546418043092
HSP90AA1	FGFR3	autocrine|paracrine	0.726184092284052
AGRN	ITGB1	autocrine|paracrine	0.726112251046981
UBC	RIPK1	autocrine|paracrine	0.725494321346757
COL18A1	ITGB1	autocrine|paracrine	0.725453227196305
CYR61	ITGA5	autocrine|paracrine	0.7243518506029
COL4A1	CD93	autocrine|paracrine	0.724023387786302
THBS2	ITGA4	autocrine|paracrine	0.723413473232326
MFAP2	NOTCH1	autocrine|paracrine	0.722609241541273
GPC3	LRP1	autocrine|paracrine	0.722241974016428
GNAS	PTGDR	autocrine|paracrine	0.720433957080922
CALM3	SELL	autocrine|paracrine	0.7192536174171
RPS27A	FGFR2	autocrine|paracrine	0.719150535554467
CD55	ADGRE5	autocrine|paracrine	0.717246605765955
COL5A1	ITGA1	autocrine|paracrine	0.716430531598356
HLA-C	CD3D	autocrine|paracrine	0.715798928152031
FABP5	RXRA	autocrine|paracrine	0.714302946708336
COL1A1	DDR2	autocrine|paracrine	0.714079009153545
VEGFA	NRP2	autocrine|paracrine	0.713862302514778
VCAM1	ITGB1	autocrine|paracrine	0.712382827672207
LAMC1	ITGB1	autocrine|paracrine	0.711912509182911
UBA52	NOTCH1	autocrine|paracrine	0.709833258023437
FN1	ITGAV	autocrine|paracrine	0.709311698205018
COL5A1	SDC3	autocrine|paracrine	0.70826746892809
SPON2	ITGAM	autocrine|paracrine	0.707826714550655
THBS1	ITGA4	autocrine|paracrine	0.707330781817526
HMGB1	THBD	autocrine|paracrine	0.706753322005206
APOA4	LDLR	autocrine|paracrine	0.706286606682416
ICAM1	IL2RG	autocrine|paracrine	0.704339559515923
UBB	SMAD3	autocrine|paracrine	0.702145429719572
COL5A2	ITGA1	autocrine|paracrine	0.700841032422708
TGFB1	CXCR4	autocrine|paracrine	0.700196805580256
COL3A1	DDR2	autocrine|paracrine	0.699961626474987
CALM1	INSR	autocrine|paracrine	0.699631734618488
FBN1	ITGA5	autocrine|paracrine	0.699455812085115
COL1A1	DDR1	autocrine|paracrine	0.699334766323866
UBB	RIPK1	autocrine|paracrine	0.696968137263749
GPC6	LRP1	autocrine|paracrine	0.695283003396691
UBA52	ERBB2	autocrine|paracrine	0.694129301574426
PTN	SDC3	autocrine|paracrine	0.694125239655291
CYR61	ITGB5	autocrine|paracrine	0.693854676145342
GPC3	IGF1R	autocrine|paracrine	0.693409451233589
JAM3	ITGB2	autocrine|paracrine	0.692507176969211
CALM2	INSR	autocrine|paracrine	0.691414450171048
PLAT	LRP1	autocrine|paracrine	0.690712410513592
TIMP3	ADAM17	autocrine|paracrine	0.690646977328976
CSF1	CSF1R	autocrine|paracrine	0.690333843491324
PSAP	LRP1	autocrine|paracrine	0.690282101687229
CXCL12	SDC4	autocrine|paracrine	0.690067738879749
ARF1	INSR	autocrine|paracrine	0.688096366686657
COL3A1	DDR1	autocrine|paracrine	0.684810718260376
THBS1	LRP1	autocrine|paracrine	0.684254255690477
CYR61	ITGAM	autocrine|paracrine	0.68422049635511
F10	ITGB2	autocrine|paracrine	0.683064358802274
B2M	HFE	autocrine|paracrine	0.678637935223983
APOB	ITGB2	autocrine|paracrine	0.677183231446067
UBC	FGFR2	autocrine|paracrine	0.676633610703604
NAMPT	INSR	autocrine|paracrine	0.67609624110633
COL6A3	ITGA1	autocrine|paracrine	0.675593289121514
CYR61	ITGAV	autocrine|paracrine	0.675061203582566
APP	LRP1	autocrine|paracrine	0.674774288664267
CALR	ITGAV	autocrine|paracrine	0.674087500840693
APOE	LRP1	autocrine|paracrine	0.674071242058453
CTGF	LRP1	autocrine|paracrine	0.6722192473786
PTMA	VIPR1	autocrine|paracrine	0.672177956442405
PSAP	SORT1	autocrine|paracrine	0.670217699649618
APOB	LDLR	autocrine|paracrine	0.670049640058214
FN1	ITGA9	autocrine|paracrine	0.667891620399667
SEMA4A	PLXNB2	autocrine|paracrine	0.667725434953803
VCAM1	MSN	autocrine|paracrine	0.667580352397225
ICAM1	ITGAX	autocrine|paracrine	0.667180923241195
COL9A1	ITGB1	autocrine|paracrine	0.665750003549085
SEMA3A	NRP2	autocrine|paracrine	0.661639133029154
PLTP	ABCA1	autocrine|paracrine	0.661518176785536
THBS2	ITGA6	autocrine|paracrine	0.660409834367765
VEGFA	SIRPA	autocrine|paracrine	0.659644854846155
APOE	SORL1	autocrine|paracrine	0.657508429304126
LAMB1	ITGA6	autocrine|paracrine	0.657102784962735
BGN	TLR4	autocrine|paracrine	0.656852903457823
HSP90B1	ASGR1	autocrine|paracrine	0.655595205546996
SERPINE2	LRP1	autocrine|paracrine	0.654694124025567
GSTP1	TRAF2	autocrine|paracrine	0.654412503579472
SERPINA1	LRP1	autocrine|paracrine	0.653480853261222
VCAM1	ITGB7	autocrine|paracrine	0.653007068101696
CTGF	ITGA5	autocrine|paracrine	0.651724672445318
CALM3	INSR	autocrine|paracrine	0.650510857560689
CALR	HLA-F	autocrine|paracrine	0.649902600891211
RPS27A	LRP2	autocrine|paracrine	0.649239419953716
LRPAP1	LRP1	autocrine|paracrine	0.64900861404607
GNAS	VIPR1	autocrine|paracrine	0.648230113490725
FBN1	ITGAV	autocrine|paracrine	0.647877456621029
CALM1	PTPRA	autocrine|paracrine	0.647535643774381
APP	NCSTN	autocrine|paracrine	0.646393565058191
COL4A5	ITGB1	autocrine|paracrine	0.64595619469225
SEMA6D	TYROBP	autocrine|paracrine	0.645546158558021
UBB	FGFR2	autocrine|paracrine	0.645510868228124
JAM3	ITGB1	autocrine|paracrine	0.645015804511307
ADAM10	AXL	autocrine|paracrine	0.644442147329369
THBS1	ITGA6	autocrine|paracrine	0.642474231929674
GNAI2	IGF1R	autocrine|paracrine	0.642267179831553
MUC2	AGR2	autocrine|paracrine	0.640069621272642
GNAI2	CXCR3	autocrine|paracrine	0.639578145359298
UBA52	SMAD3	autocrine|paracrine	0.638579548194071
LTBP3	ITGB5	autocrine|paracrine	0.638484223416863
HBEGF	CD44	autocrine|paracrine	0.63840942298612
TGFB1	ITGB1	autocrine|paracrine	0.638305672648626
FGF2	CD44	autocrine|paracrine	0.638251555950896
TGM2	ITGB1	autocrine|paracrine	0.635956315780643
NID1	ITGAV	autocrine|paracrine	0.635526923860758
UBA52	RIPK1	autocrine|paracrine	0.632875066170378
LRPAP1	SORL1	autocrine|paracrine	0.63186774910324
LAMA2	RPSA	autocrine|paracrine	0.631276410172175
P4HB	MTTP	autocrine|paracrine	0.630418162529901
ADAM28	ITGA4	autocrine|paracrine	0.628201801386284
LRPAP1	SORT1	autocrine|paracrine	0.627712457492844
COL4A2	ITGB5	autocrine|paracrine	0.627633453232175
PLAT	ITGAM	autocrine|paracrine	0.626896419439607
ICAM1	CAV1	autocrine|paracrine	0.62660762246806
LAMB1	ITGAV	autocrine|paracrine	0.625061133342149
HSP90AA1	CFTR	autocrine|paracrine	0.624652191767974
APOC3	LRP1	autocrine|paracrine	0.624562954776707
HSPG2	LRP1	autocrine|paracrine	0.623449901517538
GNAI2	ADCY7	autocrine|paracrine	0.62288787017494
MDK	TSPAN1	autocrine|paracrine	0.622856980172578
ADAM17	ITGB1	autocrine|paracrine	0.62150858523631
SEMA3A	PLXNA3	autocrine|paracrine	0.621402060712802
SERPINE1	PLAUR	autocrine|paracrine	0.620339226634982
LAMB1	ITGA1	autocrine|paracrine	0.620133349500368
VEGFA	FLT1	autocrine|paracrine	0.619708333802064
TFPI	LRP1	autocrine|paracrine	0.619389775256896
MADCAM1	CD44	autocrine|paracrine	0.6188975321356
PLAU	PLAUR	autocrine|paracrine	0.617947473767889
ADAM9	ITGB1	autocrine|paracrine	0.617252482979377
VEGFA	NRP1	autocrine|paracrine	0.615439685697314
TGFB3	ITGB1	autocrine|paracrine	0.612950819520026
FN1	ITGA3	autocrine|paracrine	0.612928180383876
SEMA4C	PLXNB2	autocrine|paracrine	0.612278297545637
DCN	MET	autocrine|paracrine	0.611958832106002
FYN	SPN	autocrine|paracrine	0.611950930838632
ARF1	PLD2	autocrine|paracrine	0.611853716174982
SERPING1	LRP1	autocrine|paracrine	0.611079713082802
MDK	LRP2	autocrine|paracrine	0.610023835617131
COL9A3	ITGB1	autocrine|paracrine	0.609896917288172
FN1	IL17RC	autocrine|paracrine	0.609364175584217
HLA-B	CD3G	autocrine|paracrine	0.608215396913467
GNAI2	F2R	autocrine|paracrine	0.60820370058452
TNC	ITGA5	autocrine|paracrine	0.607939546310889
BGN	TLR2	autocrine|paracrine	0.607145210350416
CEL	CXCR4	autocrine|paracrine	0.606849642973252
CTGF	ITGAM	autocrine|paracrine	0.606759915890627
ACTR2	ADRB2	autocrine|paracrine	0.604886141187899
VCAM1	ITGA4	autocrine|paracrine	0.604020906418675
ARPC5	ADRB2	autocrine|paracrine	0.603971714588397
CCL21	CCR7	autocrine|paracrine	0.60257367370038
UBC	LRP2	autocrine|paracrine	0.601996228457617
LAMA5	ITGB1	autocrine|paracrine	0.601336247143599
ICAM1	SPN	autocrine|paracrine	0.600438771675885
