Pericytes	Fibroblasts	interaction type	LRscore
FABP5	RXRA	autocrine|paracrine	0.807256931249301
FBN1	ITGB1	autocrine|paracrine	0.806230107726932
UBC	SMAD3	autocrine|paracrine	0.805346165366557
UBA52	ERBB2	autocrine|paracrine	0.803427921551571
PSAP	LRP1	autocrine|paracrine	0.800888057938239
COL1A1	ITGA1	autocrine|paracrine	0.798967529748318
UBC	TGFBR1	autocrine|paracrine	0.797322172572411
THBS1	ITGB1	autocrine|paracrine	0.796310961837978
UBB	SMAD3	autocrine|paracrine	0.79498099806978
CALM3	MYLK	autocrine|paracrine	0.794937929750506
COL1A2	ITGA1	autocrine|paracrine	0.792188722756239
ANGPT1	ITGB1	autocrine|paracrine	0.791874008229544
COL4A1	CD47	autocrine|paracrine	0.789867618727815
AGRN	LRP1	autocrine|paracrine	0.789809769339162
LUM	ITGB1	autocrine|paracrine	0.78937181149044
MDK	SDC3	autocrine|paracrine	0.789327965114876
GNAI2	CAV1	autocrine|paracrine	0.78925054670756
GNAS	PTGIR	autocrine|paracrine	0.787389956309269
COL4A1	ITGAV	autocrine|paracrine	0.787230656620457
COL1A1	DDR1	autocrine|paracrine	0.787054180714554
UBB	TGFBR1	autocrine|paracrine	0.786642929100319
ARPC5	LDLR	autocrine|paracrine	0.785124173674648
LRPAP1	LRP1	autocrine|paracrine	0.784817446596472
COL18A1	GPC4	autocrine|paracrine	0.783961929712026
COL18A1	ITGA5	autocrine|paracrine	0.782386016863661
GPC6	LRP1	autocrine|paracrine	0.779812127402435
APP	CAV1	autocrine|paracrine	0.778234676069983
B2M	TFRC	autocrine|paracrine	0.77633132498559
HLA-A	APLP2	autocrine|paracrine	0.775870401676713
PDGFA	PDGFRA	autocrine|paracrine	0.775293274511231
FN1	SDC2	autocrine|paracrine	0.774635034277975
CTGF	ITGA5	autocrine|paracrine	0.774089411147143
JAG1	CD46	autocrine|paracrine	0.771868474901344
COL3A1	DDR1	autocrine|paracrine	0.770377841223407
SERPINA1	LRP1	autocrine|paracrine	0.770055481504902
CYR61	ITGAV	autocrine|paracrine	0.766745221917905
COL6A2	ITGA1	autocrine|paracrine	0.765576827612185
HSP90AA1	FGFR3	autocrine|paracrine	0.765006460019068
LAMC3	ITGB1	autocrine|paracrine	0.764862772477594
PDAP1	PDGFRB	autocrine|paracrine	0.764106020663257
CALM1	PTPRA	autocrine|paracrine	0.763472381174098
APP	CD74	autocrine|paracrine	0.763467172345324
CTGF	LRP6	autocrine|paracrine	0.763377903644153
CYR61	ITGA5	autocrine|paracrine	0.762935742684031
GNAI2	F2R	autocrine|paracrine	0.761336612475108
JAG1	NOTCH3	autocrine|paracrine	0.760190490909218
GNAS	ADCY9	autocrine|paracrine	0.759968420533167
THBS1	LRP1	autocrine|paracrine	0.758839638244638
CALR	ITGAV	autocrine|paracrine	0.758341521347755
SERPING1	LRP1	autocrine|paracrine	0.757804099989729
NGF	MAGED1	autocrine|paracrine	0.757739044490423
ICAM1	CAV1	autocrine|paracrine	0.754893897824452
PDGFA	PDGFRB	autocrine|paracrine	0.753022948390445
COL4A1	ITGA1	autocrine|paracrine	0.75291692481404
TGFB1	ITGB1	autocrine|paracrine	0.752523235218258
APOE	LRP5	autocrine|paracrine	0.752160666378182
COL9A1	ITGB1	autocrine|paracrine	0.751345442800253
COL4A2	ITGB5	autocrine|paracrine	0.751224939438548
HSPG2	ITGB1	autocrine|paracrine	0.750921674582767
COL6A3	ITGA1	autocrine|paracrine	0.749744176640349
UBA52	NOTCH1	autocrine|paracrine	0.749535736820117
JAG1	NOTCH2	autocrine|paracrine	0.747442969244892
LAMA5	ITGB1	autocrine|paracrine	0.745547702144771
VCAM1	ITGB1	autocrine|paracrine	0.742974605379967
COL18A1	ITGB5	autocrine|paracrine	0.742855129767885
ADAM17	ITGB1	autocrine|paracrine	0.740427007602623
COL6A1	ITGA1	autocrine|paracrine	0.739639952644697
ARF1	INSR	autocrine|paracrine	0.739631119481281
UBA52	TGFBR2	autocrine|paracrine	0.738380359611585
CALM2	INSR	autocrine|paracrine	0.73692956202803
HLA-A	ERBB2	autocrine|paracrine	0.736196757371435
APP	GPC1	autocrine|paracrine	0.735447666973279
MFGE8	ITGAV	autocrine|paracrine	0.735304568464787
HSP90B1	ASGR1	autocrine|paracrine	0.733419055041784
LRPAP1	LDLR	autocrine|paracrine	0.731651008705191
UBA52	FGFR2	autocrine|paracrine	0.731250945068149
CALM1	INSR	autocrine|paracrine	0.730525143995334
FGF7	FGFR1	autocrine|paracrine	0.730048718198929
APOC3	LRP1	autocrine|paracrine	0.729923254865065
JAM3	ITGB1	autocrine|paracrine	0.729650613780011
SEMA4A	PLXNB2	autocrine|paracrine	0.728658896547153
COL1A1	CD36	autocrine|paracrine	0.728350921634001
PKM	CD44	autocrine|paracrine	0.727487109328803
CXCL12	ACKR3	autocrine|paracrine	0.726751616192545
CALM2	PDE1A	autocrine|paracrine	0.725546221952783
PDGFB	PDGFRA	autocrine|paracrine	0.725405908966545
PDGFB	LRP1	autocrine|paracrine	0.724106503030157
PTN	SDC3	autocrine|paracrine	0.72399010178554
APP	NCSTN	autocrine|paracrine	0.722065925550103
RPS27A	RIPK1	autocrine|paracrine	0.722035865515284
MMP2	SDC2	autocrine|paracrine	0.721382233396661
CYR61	ITGB5	autocrine|paracrine	0.72113097037868
COL1A2	CD36	autocrine|paracrine	0.720025343086092
FN1	ITGA8	autocrine|paracrine	0.719323622697118
CALM1	PDE1A	autocrine|paracrine	0.718970360479343
TGFB3	ITGB1	autocrine|paracrine	0.717494490367227
ACTR2	LDLR	autocrine|paracrine	0.715696622918991
JAG1	NOTCH1	autocrine|paracrine	0.715253373257195
UBA52	SMAD3	autocrine|paracrine	0.714816954342947
MDK	SDC1	autocrine|paracrine	0.711207315008503
VEGFA	GPC1	autocrine|paracrine	0.710667637834932
GPC3	LRP1	autocrine|paracrine	0.710609115449084
MDK	GPC2	autocrine|paracrine	0.709329745456404
APOE	VLDLR	autocrine|paracrine	0.708814170695899
HSPG2	LRP1	autocrine|paracrine	0.708160557738675
HSP90AA1	EGFR	autocrine|paracrine	0.707625666271412
UBA52	TGFBR1	autocrine|paracrine	0.704430776619355
UBC	RIPK1	autocrine|paracrine	0.703000738435268
NID1	ITGAV	autocrine|paracrine	0.701475237677461
UBA52	ACVR1	autocrine|paracrine	0.701448871109569
PDGFB	PDGFRB	autocrine|paracrine	0.700103845276044
LAMA3	ITGB1	autocrine|paracrine	0.698638138001396
VEGFA	NRP1	autocrine|paracrine	0.698308505604436
PGF	NRP1	autocrine|paracrine	0.698260615058671
NECTIN2	NECTIN3	autocrine|paracrine	0.697040471298196
FN1	ITGAV	autocrine|paracrine	0.695960936301191
COL4A5	ITGB1	autocrine|paracrine	0.695480266548577
FN1	IL17RC	autocrine|paracrine	0.694959733108622
COL5A2	ITGA1	autocrine|paracrine	0.693743325982967
HMGB1	SDC1	autocrine|paracrine	0.69335319985998
FN1	PLAUR	autocrine|paracrine	0.693187897518378
MFAP2	NOTCH1	autocrine|paracrine	0.692679865598809
MDK	ITGA6	autocrine|paracrine	0.692526645052373
FN1	ITGA5	autocrine|paracrine	0.691460610745044
COL16A1	ITGB1	autocrine|paracrine	0.691437122548942
RPS27A	ADRB2	autocrine|paracrine	0.691135116547066
COL4A1	ITGB8	autocrine|paracrine	0.689372029782354
UBB	RIPK1	autocrine|paracrine	0.689288356034393
CALM3	INSR	autocrine|paracrine	0.687555329616402
IGFBP4	LRP6	autocrine|paracrine	0.687265968388613
ADAM9	ITGB1	autocrine|paracrine	0.684749263050687
GNAI2	IGF1R	autocrine|paracrine	0.683690037755977
PLAU	ITGB1	autocrine|paracrine	0.683410736320396
FN1	CD44	autocrine|paracrine	0.682995836145806
VEGFC	ITGB1	autocrine|paracrine	0.682600359126159
SERPINE1	LRP1	autocrine|paracrine	0.680435190811984
GNAS	ADCY7	autocrine|paracrine	0.679295958147863
COL5A1	SDC3	autocrine|paracrine	0.678297603421953
COL5A2	DDR1	autocrine|paracrine	0.678106574174055
VEGFA	TYRO3	autocrine|paracrine	0.676001493479425
APOC3	SDC2	autocrine|paracrine	0.675594169520818
FYN	THY1	autocrine|paracrine	0.67536146515316
CALM3	PDE1A	autocrine|paracrine	0.674977804573422
VEGFB	NRP1	autocrine|paracrine	0.674950025022142
GNAI2	EDNRA	autocrine|paracrine	0.672649797663479
MDK	TSPAN1	autocrine|paracrine	0.671708577113411
ADAM15	ITGB1	autocrine|paracrine	0.67166342742501
UBC	ADRB2	autocrine|paracrine	0.670948255287924
OLFM2	ROBO2	autocrine|paracrine	0.670305569287211
ARF1	PLD2	autocrine|paracrine	0.669293386061395
APOC3	LDLR	autocrine|paracrine	0.668915507830198
FGF7	NRP1	autocrine|paracrine	0.668845693761502
GAS6	TYRO3	autocrine|paracrine	0.667754883048697
NID1	PTPRF	autocrine|paracrine	0.667427478448202
RTN4	NGFR	autocrine|paracrine	0.666724145124959
EFEMP2	PLSCR4	autocrine|paracrine	0.666283062679689
TGFB1	CAV1	autocrine|paracrine	0.665626634133572
VEGFA	NRP2	autocrine|paracrine	0.665515598110366
PGF	NRP2	autocrine|paracrine	0.665464995810084
COL5A1	ITGA1	autocrine|paracrine	0.66466627044165
SLIT3	ROBO2	autocrine|paracrine	0.664153899716404
MDK	SDC4	autocrine|paracrine	0.662832756274934
VEGFA	ITGAV	autocrine|paracrine	0.661728164351803
GSTP1	TRAF2	autocrine|paracrine	0.661262030304935
ARTN	GFRA2	autocrine|paracrine	0.660325070215492
SPTAN1	PTPRA	autocrine|paracrine	0.659490108562919
FGF7	FGFR4	autocrine|paracrine	0.659425022146044
HMGB1	THBD	autocrine|paracrine	0.658444226561061
UBB	ADRB2	autocrine|paracrine	0.656479147957526
LAMC1	ITGAV	autocrine|paracrine	0.654437635213722
LAMB1	ITGAV	autocrine|paracrine	0.654044726875483
P4HB	MTTP	autocrine|paracrine	0.654010613634102
TGFB1	SDC2	autocrine|paracrine	0.653489263697169
VCAM1	EZR	autocrine|paracrine	0.652323977334826
VEGFB	TYRO3	autocrine|paracrine	0.65177714844715
VCAN	CD44	autocrine|paracrine	0.651253155723485
GNAI2	EDNRB	autocrine|paracrine	0.65109004684886
APOA4	LRP1	autocrine|paracrine	0.649552973247076
COL1A1	CD93	autocrine|paracrine	0.648902613585662
IGFBP4	FZD8	autocrine|paracrine	0.648429470594302
MDK	ITGA4	autocrine|paracrine	0.647182091934563
LAMA4	ITGAV	autocrine|paracrine	0.647106730022157
APOE	SORL1	autocrine|paracrine	0.646744732960886
HGF	ITGB1	autocrine|paracrine	0.646554772995283
COL6A1	ITGA6	autocrine|paracrine	0.64496448744582
TIMP3	ADAM17	autocrine|paracrine	0.644893234751056
TGM2	ITGB1	autocrine|paracrine	0.643950379574783
ADM	RAMP2	autocrine|paracrine	0.643211692481547
HBEGF	CD9	autocrine|paracrine	0.64239631487953
HRAS	CAV1	autocrine|paracrine	0.642032792178827
HSPA8	ADRB2	autocrine|paracrine	0.640492318872316
PLAU	MRC2	autocrine|paracrine	0.639812707354364
RTN4	LINGO1	autocrine|paracrine	0.639429248125944
COL1A2	CD93	autocrine|paracrine	0.639347779252856
CALM2	ABCA1	autocrine|paracrine	0.635995040783569
SEMA4C	PLXNB2	autocrine|paracrine	0.635213995793249
LPL	LRP1	autocrine|paracrine	0.634922878284701
PLAU	LRP1	autocrine|paracrine	0.634697775509306
APOB	LRP1	autocrine|paracrine	0.634340684832345
P4HB	GPR162	autocrine|paracrine	0.634179123281088
TNC	ITGB1	autocrine|paracrine	0.633584743221496
VEGFA	SIRPA	autocrine|paracrine	0.633376542812265
PTN	SDC1	autocrine|paracrine	0.632908927291915
COL5A3	SDC3	autocrine|paracrine	0.6321770388876
FBN1	ITGAV	autocrine|paracrine	0.632152332329938
NGF	KIDINS220	autocrine|paracrine	0.631091497552219
HRAS	SDC2	autocrine|paracrine	0.629515676468508
CALM2	CACNA1C	autocrine|paracrine	0.629165223087546
HLA-C	DDR1	autocrine|paracrine	0.628967412478393
CALM1	ABCA1	autocrine|paracrine	0.628372549083396
NAMPT	INSR	autocrine|paracrine	0.628210589644593
COL7A1	ITGB1	autocrine|paracrine	0.62761179505315
FBN1	ITGA5	autocrine|paracrine	0.627213429795969
CALM2	EGFR	autocrine|paracrine	0.62677896364002
GAS6	AXL	autocrine|paracrine	0.626159591100022
HBEGF	ERBB2	autocrine|paracrine	0.62588451824326
COL1A1	ITGA11	autocrine|paracrine	0.625609504054187
NID1	COL13A1	autocrine|paracrine	0.625443993538903
TFPI	VLDLR	autocrine|paracrine	0.625189363956629
CALM1	CACNA1C	autocrine|paracrine	0.621484830086049
THBS1	CD47	autocrine|paracrine	0.621277459298561
GDF11	BMPR2	autocrine|paracrine	0.620431841417157
FN1	COL13A1	autocrine|paracrine	0.619287487013957
CALM1	EGFR	autocrine|paracrine	0.619079070611478
SEMA4A	PLXND1	autocrine|paracrine	0.618421396908246
SEMA4A	PLXND1	autocrine|paracrine	0.618421396908246
GNAS	ADCY1	autocrine|paracrine	0.615920597583064
COL1A2	ITGA11	autocrine|paracrine	0.615796089487593
DUSP18	RPSA	autocrine|paracrine	0.613715317911928
VCL	ITGB5	autocrine|paracrine	0.613358289218075
FGF7	FGFR2	autocrine|paracrine	0.613012427872765
APOE	SCARB1	autocrine|paracrine	0.61266444288594
THBS2	ITGB1	autocrine|paracrine	0.612097799610377
PTMA	VIPR1	autocrine|paracrine	0.611325537998105
UBA52	EGFR	autocrine|paracrine	0.610615035760039
LAMC1	ITGA1	autocrine|paracrine	0.60933572673588
EFNB1	ERBB2	autocrine|paracrine	0.609173827356019
LAMB1	ITGA1	autocrine|paracrine	0.608922181663355
NPPC	NPR3	autocrine|paracrine	0.607680782329537
BMP2	BMPR2	autocrine|paracrine	0.607586983461182
GNAI2	UNC5B	autocrine|paracrine	0.607580381753292
ANGPT1	ITGA5	autocrine|paracrine	0.606074624767573
EFNB2	EPHB3	autocrine|paracrine	0.603878863162385
GNAI2	ADCY9	autocrine|paracrine	0.602201299365888
GNAS	PTGDR	autocrine|paracrine	0.600846085296874
