Epithelial	Neural	interaction type	LRscore
HLA-C	DDR1	autocrine|paracrine	0.784408303273177
SERPINA1	LRP1	autocrine|paracrine	0.783101433013756
COL3A1	DDR1	autocrine|paracrine	0.782998627011639
CALM1	MYLK	autocrine|paracrine	0.781498219729248
UBB	ERBB2	autocrine|paracrine	0.780879823197883
SPTAN1	PTPRA	autocrine|paracrine	0.780009788703828
GNAI2	EDNRB	autocrine|paracrine	0.776238842958426
APP	GPC1	autocrine|paracrine	0.77199193801152
FBLN1	ITGB1	autocrine|paracrine	0.769762154231926
HSPG2	ITGB1	autocrine|paracrine	0.769674185799402
COL6A2	ITGB1	autocrine|paracrine	0.767478885773623
MDK	SDC3	autocrine|paracrine	0.766625922490961
FGB	ITGB1	autocrine|paracrine	0.766330059736592
TGM2	ITGB1	autocrine|paracrine	0.765604972293587
CTGF	LRP6	autocrine|paracrine	0.765468837311558
RTN4	TNFRSF19	autocrine|paracrine	0.763480378541729
HBEGF	CD9	autocrine|paracrine	0.762185483554989
COL1A1	CD44	autocrine|paracrine	0.761695595397865
UBB	TGFBR1	autocrine|paracrine	0.760646511095829
COL2A1	ITGB1	autocrine|paracrine	0.76035619883283
SCT	RAMP2	autocrine|paracrine	0.759691078115866
AGRN	ITGB1	autocrine|paracrine	0.759384866943036
CALM2	MYLK	autocrine|paracrine	0.759296444525319
CALR	LRP1	autocrine|paracrine	0.757403967844106
BMP2	BMPR2	autocrine|paracrine	0.75649031830968
HLA-B	CANX	autocrine|paracrine	0.754398806172957
APOE	LDLR	autocrine|paracrine	0.754025862475776
THBS1	ITGB1	autocrine|paracrine	0.752712715113395
APOB	LDLR	autocrine|paracrine	0.751326767231878
UBA52	LDLR	autocrine|paracrine	0.75024078643738
COL1A2	CD44	autocrine|paracrine	0.749594350044032
LAMB1	ITGB1	autocrine|paracrine	0.74879430511083
EFNA1	EPHA2	autocrine|paracrine	0.747232928621112
APOE	LRP1	autocrine|paracrine	0.747224958939056
MFAP2	NOTCH1	autocrine|paracrine	0.745857292612557
APOB	LRP1	autocrine|paracrine	0.744476526281424
CDH1	PTPRF	autocrine|paracrine	0.743504680733542
LAMB3	ITGA6	autocrine|paracrine	0.743182662284117
RTN4	LINGO1	autocrine|paracrine	0.741934154309299
COL6A2	ITGA1	autocrine|paracrine	0.740461383717399
RPS27A	RIPK1	autocrine|paracrine	0.738991769799877
APOC3	SDC2	autocrine|paracrine	0.737615439646597
LAMB2	ITGB1	autocrine|paracrine	0.736944053898204
LUM	ITGB1	autocrine|paracrine	0.736396461587934
UBC	RIPK1	autocrine|paracrine	0.73491583366817
NECTIN2	NECTIN3	autocrine|paracrine	0.73445815792611
COL2A1	ITGA1	autocrine|paracrine	0.73279922128953
TIMP2	ITGB1	autocrine|paracrine	0.732674730618752
CALR	ITGAV	autocrine|paracrine	0.732005875071655
APP	NGFR	autocrine|paracrine	0.731485795399857
LAMC2	ITGA6	autocrine|paracrine	0.730217960272627
COL6A1	ITGA6	autocrine|paracrine	0.728600958542117
UBA52	ERBB2	autocrine|paracrine	0.72654044730581
APOC3	LDLR	autocrine|paracrine	0.72645671297273
VEGFA	NRP1	autocrine|paracrine	0.725634577977323
VCAN	ITGB1	autocrine|paracrine	0.72458638210879
PKM	CD44	autocrine|paracrine	0.724098043434533
CDH1	IGF1R	autocrine|paracrine	0.723476255720548
CALM3	MYLK	autocrine|paracrine	0.723228507300948
COL5A2	ITGB1	autocrine|paracrine	0.721647927487763
LAMA5	ITGB1	autocrine|paracrine	0.720467664386713
LAMB1	ITGA1	autocrine|paracrine	0.720396708601841
APOA4	LDLR	autocrine|paracrine	0.719339788266847
APOC3	LRP1	autocrine|paracrine	0.719177441498849
HSP90B1	ASGR1	autocrine|paracrine	0.718742749789762
B2M	TFRC	autocrine|paracrine	0.718416590176561
ADM	RAMP2	autocrine|paracrine	0.717473934742868
COL5A1	ITGB1	autocrine|paracrine	0.715983535086637
THBS1	CD47	autocrine|paracrine	0.715516870714388
CGN	TGFBR2	autocrine|paracrine	0.71516512919102
COL1A1	ITGAV	autocrine|paracrine	0.71472162198573
RPS27A	SMAD3	autocrine|paracrine	0.714616872971332
NPNT	ITGB1	autocrine|paracrine	0.713765104012367
HLA-A	ERBB2	autocrine|paracrine	0.712699437415591
PSEN1	NOTCH1	autocrine|paracrine	0.712687724160146
CYR61	CAV1	autocrine|paracrine	0.712681846819969
CALM1	ABCA1	autocrine|paracrine	0.712620649278159
APOE	SORL1	autocrine|paracrine	0.712388262937841
MDK	ITGA6	autocrine|paracrine	0.712104213249368
APOA4	LRP1	autocrine|paracrine	0.711946224238331
APOB	LSR	autocrine|paracrine	0.711154806468086
CDH1	ITGAE	autocrine|paracrine	0.710933396663004
SEMA3B	NRP1	autocrine|paracrine	0.710353465077676
UBC	SMAD3	autocrine|paracrine	0.710309509848859
GNAS	ADCY1	autocrine|paracrine	0.709956751831724
VEGFA	TYRO3	autocrine|paracrine	0.70968574427
CALM1	INSR	autocrine|paracrine	0.708674298841377
APP	CAV1	autocrine|paracrine	0.708459194720728
LRPAP1	LDLR	autocrine|paracrine	0.708305513043248
FN1	CD44	autocrine|paracrine	0.706931674093267
VTN	ITGB1	autocrine|paracrine	0.706565508204543
PSAP	LRP1	autocrine|paracrine	0.706217400160116
CXCL12	ITGB1	autocrine|paracrine	0.705759616759601
VEGFA	RET	autocrine|paracrine	0.705669781989885
MDK	LRP1	autocrine|paracrine	0.705125884018092
GPC3	IGF1R	autocrine|paracrine	0.704590732861732
VEGFA	NRP2	autocrine|paracrine	0.704263566554205
FN1	SDC2	autocrine|paracrine	0.703466421662273
PTN	PTPRZ1	autocrine|paracrine	0.703350627768788
UBA52	TGFBR1	autocrine|paracrine	0.703196643654613
MUC2	AGR2	autocrine|paracrine	0.702036315868227
COL1A2	ITGAV	autocrine|paracrine	0.701170838854146
LAMC1	ITGB1	autocrine|paracrine	0.700802492749139
LRPAP1	LRP1	autocrine|paracrine	0.700742196281325
IGFBP4	LRP6	autocrine|paracrine	0.700647089159676
ADAM9	ITGB1	autocrine|paracrine	0.700175673790698
SPINK1	NRSN1	autocrine|paracrine	0.698430742871724
GNAI2	CAV1	autocrine|paracrine	0.697158289808588
GPC3	LRP1	autocrine|paracrine	0.696830038711201
COL6A3	ITGB1	autocrine|paracrine	0.696027501805577
COL16A1	ITGB1	autocrine|paracrine	0.692346572615671
COL5A2	ITGA1	autocrine|paracrine	0.691446103223828
DUSP18	RPSA	autocrine|paracrine	0.691369628845794
GSTP1	TRAF2	autocrine|paracrine	0.691076612476167
FN1	ITGA6	autocrine|paracrine	0.690921581282357
APP	NCSTN	autocrine|paracrine	0.690767268217885
CLCF1	IL6ST	autocrine|paracrine	0.690404688134921
FGG	ITGB1	autocrine|paracrine	0.689403329347297
ARF1	INSR	autocrine|paracrine	0.689189090220473
SEMA3B	NRP2	autocrine|paracrine	0.688303456354384
CALM2	ABCA1	autocrine|paracrine	0.686230202503132
COL5A1	ITGA1	autocrine|paracrine	0.685435014221647
P4HB	MTTP	autocrine|paracrine	0.684098278724412
CALM2	INSR	autocrine|paracrine	0.682083127877591
VEGFA	ITGAV	autocrine|paracrine	0.681957103647531
JAG1	NOTCH1	autocrine|paracrine	0.681622808719212
APP	LRP1	autocrine|paracrine	0.681030592615695
COL4A1	ITGB1	autocrine|paracrine	0.680728885060918
ADAM10	NOTCH1	autocrine|paracrine	0.679516669613078
COL2A1	DDR1	autocrine|paracrine	0.679303764767741
APP	CD74	autocrine|paracrine	0.677345980498204
GNAI2	IGF1R	autocrine|paracrine	0.677303930160811
LIPH	LPAR2	autocrine|paracrine	0.676663680271662
CTGF	LRP1	autocrine|paracrine	0.670006704588528
LAMC1	ITGA1	autocrine|paracrine	0.669375130791712
PSEN1	CD44	autocrine|paracrine	0.667582131382787
COL1A1	ITGA2	autocrine|paracrine	0.666106232362926
VTN	CD47	autocrine|paracrine	0.665512931768533
UBB	RIPK1	autocrine|paracrine	0.66548626967838
COL6A3	ITGA1	autocrine|paracrine	0.664338810712291
BMP2	ACVR2B	autocrine|paracrine	0.663210001683641
COL3A1	ITGA2	autocrine|paracrine	0.662701227498705
LRPAP1	SORL1	autocrine|paracrine	0.662393754089217
FN1	ITGB8	autocrine|paracrine	0.661125777283038
LAMB3	ITGA2	autocrine|paracrine	0.660898739842751
MDK	GPC2	autocrine|paracrine	0.660218615738863
ARF1	CHRM3	autocrine|paracrine	0.658224865187208
COL18A1	ITGB1	autocrine|paracrine	0.657286832107946
FN1	IL17RC	autocrine|paracrine	0.657191860026904
CYR61	ITGAV	autocrine|paracrine	0.655966090555121
EDN1	EDNRA	autocrine|paracrine	0.655159958747722
FN1	ITGAV	autocrine|paracrine	0.65406543793166
PSEN1	NCSTN	autocrine|paracrine	0.653072320222751
PTN	SDC3	autocrine|paracrine	0.65216458611929
COL1A2	ITGA2	autocrine|paracrine	0.651372611210173
CXCL2	ADRA2A	autocrine|paracrine	0.650944091608975
APOB	MTTP	autocrine|paracrine	0.650422686034544
BMP2	BMPR1A	autocrine|paracrine	0.649857260459719
NAMPT	INSR	autocrine|paracrine	0.648871122508203
COL4A1	ITGA1	autocrine|paracrine	0.648251322797498
APOE	LRP5	autocrine|paracrine	0.648095569701789
JAG1	CD46	autocrine|paracrine	0.647356300343363
EREG	ERBB2	autocrine|paracrine	0.647332474131705
P4HB	GPR162	autocrine|paracrine	0.646471892042388
F10	F3	autocrine|paracrine	0.646364875384423
FABP5	RXRA	autocrine|paracrine	0.645876370771718
LAMC2	ITGA2	autocrine|paracrine	0.645760118964306
BMP2	ENG	autocrine|paracrine	0.645335842618393
CALM3	ABCA1	autocrine|paracrine	0.644342079941574
HSP90AA1	FGFR3	autocrine|paracrine	0.644204977651795
SPINT1	ST14	autocrine|paracrine	0.644082862115046
COL6A1	ITGA2	autocrine|paracrine	0.643883774168969
COL5A1	SDC3	autocrine|paracrine	0.643754891164431
RPS27A	FGFR2	autocrine|paracrine	0.64342336088833
FBN1	ITGB1	autocrine|paracrine	0.640645187063451
CALM3	INSR	autocrine|paracrine	0.639931866307897
UBC	FGFR2	autocrine|paracrine	0.638584901532089
RTN4	RTN4R	autocrine|paracrine	0.638146677168222
COL4A1	CD47	autocrine|paracrine	0.637914024223244
UBB	SMAD3	autocrine|paracrine	0.637613091449255
GNAS	ADCY9	autocrine|paracrine	0.635760758392569
ACTR2	LDLR	autocrine|paracrine	0.635680761279448
HSPG2	LRP1	autocrine|paracrine	0.635530677131878
PSEN1	NOTCH2	autocrine|paracrine	0.635071246920889
RPS27A	ADRB2	autocrine|paracrine	0.634977171528937
ADAM17	ITGB1	autocrine|paracrine	0.634365205954542
COL5A2	DDR1	autocrine|paracrine	0.633808702082749
GNAI2	F2R	autocrine|paracrine	0.633577195139037
VEGFB	NRP1	autocrine|paracrine	0.632063090033583
PLAU	ITGB1	autocrine|paracrine	0.630589107827037
UBC	ADRB2	autocrine|paracrine	0.630089993355647
NID1	ITGB1	autocrine|paracrine	0.626977404038512
ARPC5	LDLR	autocrine|paracrine	0.6263137617615
FGA	ITGB1	autocrine|paracrine	0.626168088508896
SHBG	CLDN4	autocrine|paracrine	0.622831946433399
AGRN	LRP1	autocrine|paracrine	0.622190354692353
THBS1	ITGA6	autocrine|paracrine	0.621630904205317
HMGB1	SDC1	autocrine|paracrine	0.617217017892462
TFPI	LRP1	autocrine|paracrine	0.616941293537399
LAMB1	ITGA6	autocrine|paracrine	0.616693140170098
UBA52	ACVR1	autocrine|paracrine	0.616122657575341
GAS6	TYRO3	autocrine|paracrine	0.614784291800296
THBS1	LRP1	autocrine|paracrine	0.613649387063329
VEGFB	TYRO3	autocrine|paracrine	0.613571592974376
COL18A1	GPC1	autocrine|paracrine	0.613453741376019
LAMA3	ITGA3	autocrine|paracrine	0.612397301891303
SEMA4G	PLXNB2	autocrine|paracrine	0.612368034568135
FN1	PLAUR	autocrine|paracrine	0.611033307144924
CDH1	LRP5	autocrine|paracrine	0.611013827658434
CALM1	PDE1C	autocrine|paracrine	0.610104512301078
CGN	TGFBR1	autocrine|paracrine	0.60995658038438
FYN	THY1	autocrine|paracrine	0.609489424303492
VEGFB	RET	autocrine|paracrine	0.60895866576072
CALM1	KCNQ3	autocrine|paracrine	0.607333762367601
COL7A1	ITGB1	autocrine|paracrine	0.606208035157007
VCAN	CD44	autocrine|paracrine	0.605101481501801
CALM1	CACNA1C	autocrine|paracrine	0.601225124880858
BMP2	ACVR1	autocrine|paracrine	0.601162867100525
FN1	ITGA2	autocrine|paracrine	0.600885582204738
JAG1	NOTCH2	autocrine|paracrine	0.6003205761926
