Muscle	Neural	interaction type	LRscore
HBEGF	CD9	autocrine|paracrine	0.651625516855298
COL1A1	CD93	autocrine|paracrine	0.651512874954112
COL1A2	CD36	autocrine|paracrine	0.65094210832356
TNFSF12	TNFRSF12A	autocrine|paracrine	0.650706081474228
VEGFA	RET	autocrine|paracrine	0.649954482626265
HSP90AA1	FGFR3	autocrine|paracrine	0.649741349181299
P4HB	MTTP	autocrine|paracrine	0.649718768148328
RPS27A	ADRB2	autocrine|paracrine	0.648528188401977
HMGB1	THBD	autocrine|paracrine	0.648473904956525
VEGFA	NRP2	autocrine|paracrine	0.64841470090413
GNAI2	F2R	autocrine|paracrine	0.647865936398246
A2M	LRP1	autocrine|paracrine	0.64468398200964
RGMA	NEO1	autocrine|paracrine	0.643979100842512
FBN1	ITGAV	autocrine|paracrine	0.642246750577982
UBB	SMAD3	autocrine|paracrine	0.640305915971398
COL1A2	CD93	autocrine|paracrine	0.638336439223289
COL4A6	ITGB1	autocrine|paracrine	0.63819209547589
UBA52	ACVR1	autocrine|paracrine	0.636970103361992
PRSS23	TMEM222	autocrine|paracrine	0.636705916065488
HSPG2	PTPRS	autocrine|paracrine	0.636207470773483
HLA-A	ERBB2	autocrine|paracrine	0.636132012422959
LAMB1	ITGA2	autocrine|paracrine	0.635678136482692
COL14A1	CD44	autocrine|paracrine	0.635057910297921
COL1A1	ITGA5	autocrine|paracrine	0.632075972396485
SEMA3A	NRP1	autocrine|paracrine	0.631837978576466
BTC	ERBB3	autocrine|paracrine	0.63076293385578
VCAM1	ITGB1	autocrine|paracrine	0.630194878843736
GNAS	ADCY7	autocrine|paracrine	0.629488288917462
CALM2	KCNQ3	autocrine|paracrine	0.629404420219866
LRPAP1	SORL1	autocrine|paracrine	0.628209795557796
RTN4	RTN4R	autocrine|paracrine	0.626938907799094
PTN	PTPRS	autocrine|paracrine	0.626237503609467
APOC3	SDC2	autocrine|paracrine	0.625408186658704
TGFB1	TGFBR2	autocrine|paracrine	0.625402824850161
SEMA4A	PLXNB2	autocrine|paracrine	0.625107435177227
DLK1	NOTCH1	autocrine|paracrine	0.624702457698139
LAMC1	ITGAV	autocrine|paracrine	0.624566764330426
VEGFA	ITGAV	autocrine|paracrine	0.624143891820392
ADAM10	NOTCH1	autocrine|paracrine	0.623661302841373
CALM2	CACNA1C	autocrine|paracrine	0.623426240271804
NCAM1	ROBO3	autocrine|paracrine	0.623161241866695
CALM1	KCNQ3	autocrine|paracrine	0.622097204151394
DKK2	LRP6	autocrine|paracrine	0.621595320463682
COL9A1	ITGB1	autocrine|paracrine	0.620914658781749
LAMC2	ITGB1	autocrine|paracrine	0.618808102121234
UBA52	RIPK1	autocrine|paracrine	0.618525433239969
COL18A1	ITGB1	autocrine|paracrine	0.618312374854242
DCN	ERBB4	autocrine|paracrine	0.618172993131153
ANOS1	SDC2	autocrine|paracrine	0.61648555654948
CALM1	CACNA1C	autocrine|paracrine	0.616073051234508
NLGN2	NRXN3	autocrine|paracrine	0.61580791751581
LAMC2	CD151	autocrine|paracrine	0.614956303761921
ACTR2	LDLR	autocrine|paracrine	0.614829671132136
C3	CD81	autocrine|paracrine	0.614726351298521
TIMP3	ADAM17	autocrine|paracrine	0.614324471962094
COL9A3	ITGB1	autocrine|paracrine	0.613967668295381
UBC	FGFR2	autocrine|paracrine	0.613836450237963
FN1	MAG	autocrine|paracrine	0.61378580962102
APOC3	LDLR	autocrine|paracrine	0.611987720162336
TNC	ITGA2	autocrine|paracrine	0.611274831734002
ANOS1	FGFR1	autocrine|paracrine	0.610836421266225
SEMA3A	PLXNA3	autocrine|paracrine	0.610431986708752
P4HB	GPR162	autocrine|paracrine	0.610329994686434
GDNF	GFRA2	autocrine|paracrine	0.609926581481222
JAG1	NOTCH1	autocrine|paracrine	0.607137982253997
SEMA3A	NRP2	autocrine|paracrine	0.607116660926736
GDNF	RET	autocrine|paracrine	0.606579265299506
LAMA5	BCAM	autocrine|paracrine	0.605878161237991
CDH1	ERBB3	autocrine|paracrine	0.605480156182889
APOE	LDLR	autocrine|paracrine	0.605444752391217
UBC	ADRB2	autocrine|paracrine	0.605119546018688
RSPO3	LRP6	autocrine|paracrine	0.605049891522301
COL4A6	ITGA1	autocrine|paracrine	0.603905271719265
ADM	RAMP2	autocrine|paracrine	0.603878890531478
APOC3	LRP1	autocrine|paracrine	0.603325623233156
ADAM9	ITGA6	autocrine|paracrine	0.602604285115242
CYR61	ITGB5	autocrine|paracrine	0.601316404311499
TIMP3	KDR	autocrine|paracrine	0.600692833477547
SERPING1	LRP1	autocrine|paracrine	0.600207136071016
