Immune	Myofibroblast_Mesothelium	interaction type	LRscore
RPS27A	TGFBR1	autocrine|paracrine	0.814580008413889
GPC3	CD81	autocrine|paracrine	0.812079562462993
C1QB	LRP1	autocrine|paracrine	0.808771349335207
THBS1	ITGB1	autocrine|paracrine	0.806075941684854
LUM	ITGB1	autocrine|paracrine	0.803033576358028
UBA52	ERBB2	autocrine|paracrine	0.802018882437414
COL6A2	ITGB1	autocrine|paracrine	0.801449217587643
UBB	TGFBR2	autocrine|paracrine	0.799761447656565
COL1A1	DDR2	autocrine|paracrine	0.798243443991828
UBB	FGFR2	autocrine|paracrine	0.797928987652347
ADAM17	ITGB1	autocrine|paracrine	0.797853065371669
CXCL12	ITGB1	autocrine|paracrine	0.796348423625389
COL1A1	ITGA1	autocrine|paracrine	0.79543615754982
HSP90AA1	EGFR	autocrine|paracrine	0.795435569737883
PLAU	ITGB1	autocrine|paracrine	0.795171364010474
TGFB1	ENG	autocrine|paracrine	0.794390582871503
UBA52	LDLR	autocrine|paracrine	0.79321741336371
CXCL12	ACKR3	autocrine|paracrine	0.792059777398255
CALM3	MYLK	autocrine|paracrine	0.790124871764541
TGFB1	TGFBR3	autocrine|paracrine	0.790079409041539
COL6A1	ITGB1	autocrine|paracrine	0.789803013687809
COL3A1	DDR2	autocrine|paracrine	0.789567888034988
IL1B	IL1R1	autocrine|paracrine	0.786303253605737
VCAN	ITGB1	autocrine|paracrine	0.784851036502238
APP	CAV1	autocrine|paracrine	0.783470832319144
LRPAP1	LRP1	autocrine|paracrine	0.782312685834529
COL1A2	ITGA1	autocrine|paracrine	0.782184819404983
B2M	TFRC	autocrine|paracrine	0.778455916728815
UBB	TGFBR1	autocrine|paracrine	0.774410628349656
COL5A1	ITGB1	autocrine|paracrine	0.774303047966959
COL1A1	CD44	autocrine|paracrine	0.772827302583644
SERPINA1	LRP1	autocrine|paracrine	0.768209267405859
FN1	ITGB1	autocrine|paracrine	0.767139439699603
CYR61	CAV1	autocrine|paracrine	0.765679552943825
UBC	SMAD3	autocrine|paracrine	0.764608332504426
RPS27A	SMAD3	autocrine|paracrine	0.764369370275971
FBLN1	ITGB1	autocrine|paracrine	0.763598089087656
COL1A1	ITGA5	autocrine|paracrine	0.762936496077859
MMP9	LRP1	autocrine|paracrine	0.762332028874047
COL1A2	CD44	autocrine|paracrine	0.758555946808933
CALR	ITGAV	autocrine|paracrine	0.756960821488926
MMP2	SDC2	autocrine|paracrine	0.756634545324331
UBC	RIPK1	autocrine|paracrine	0.756324134202938
RPS27A	RIPK1	autocrine|paracrine	0.756079444976671
PKM	CD44	autocrine|paracrine	0.75431618686894
COL1A1	ITGAV	autocrine|paracrine	0.753406217650182
CALM1	PTPRA	autocrine|paracrine	0.753054951638755
COL6A3	ITGB1	autocrine|paracrine	0.752884690358375
HSP90AA1	FGFR3	autocrine|paracrine	0.752112110502855
NID1	ITGB1	autocrine|paracrine	0.751404496506179
APOC3	SDC2	autocrine|paracrine	0.750898748936594
LTB	LTBR	autocrine|paracrine	0.750198600946715
THBS1	LRP1	autocrine|paracrine	0.748289485382455
GNAI2	EDNRB	autocrine|paracrine	0.747828700509187
UBA52	TGFBR2	autocrine|paracrine	0.747827647343058
TGFB1	ITGB5	autocrine|paracrine	0.747473303822389
ICAM4	ITGB1	autocrine|paracrine	0.746927394771316
UBA52	FGFR2	autocrine|paracrine	0.745671058656841
TNF	TNFRSF1A	autocrine|paracrine	0.744296472792759
HBEGF	CD9	autocrine|paracrine	0.743671059455692
UBA52	ACVR1	autocrine|paracrine	0.743347052741196
CALM1	PDE1A	autocrine|paracrine	0.742171806700359
TGFB1	ACVRL1	autocrine|paracrine	0.741841012377537
APOC3	LRP1	autocrine|paracrine	0.741308400790676
ACTR2	LDLR	autocrine|paracrine	0.740261891936086
TGFB1	ITGAV	autocrine|paracrine	0.739956740320612
ICAM1	EGFR	autocrine|paracrine	0.739105667961235
LTB	TNFRSF1A	autocrine|paracrine	0.738522870550345
COL1A2	ITGAV	autocrine|paracrine	0.738327900190316
HLA-C	DDR1	autocrine|paracrine	0.737794131081801
PLAU	LRP1	autocrine|paracrine	0.735202939866708
TGFB1	TGFBR2	autocrine|paracrine	0.733133052360248
FABP5	RXRA	autocrine|paracrine	0.729708236017194
GNAI2	UNC5B	autocrine|paracrine	0.729394605487179
CALM2	PDE1A	autocrine|paracrine	0.72633400404453
GNAS	PTGIR	autocrine|paracrine	0.726181205235596
HRAS	CAV1	autocrine|paracrine	0.726065865228232
C3	CD81	autocrine|paracrine	0.725862592765436
UBA52	EGFR	autocrine|paracrine	0.723478943283051
COL5A2	ITGB1	autocrine|paracrine	0.723469078609758
COL4A1	ITGB1	autocrine|paracrine	0.722467698851118
A2M	LRP1	autocrine|paracrine	0.72245229095304
COL16A1	ITGB1	autocrine|paracrine	0.721706647801508
UBA52	NOTCH1	autocrine|paracrine	0.720689216918723
APP	LRP1	autocrine|paracrine	0.719164382764543
UBA52	TGFBR1	autocrine|paracrine	0.718218424385575
FYN	THY1	autocrine|paracrine	0.71732711497248
UBB	SMAD3	autocrine|paracrine	0.717100110562748
ANXA1	EGFR	autocrine|paracrine	0.713729337776124
LRPAP1	LDLR	autocrine|paracrine	0.712611730685413
FN1	SDC2	autocrine|paracrine	0.712520869187556
LAMB2	RPSA	autocrine|paracrine	0.710182172135712
UBB	RIPK1	autocrine|paracrine	0.707782934406441
GNAI2	IGF1R	autocrine|paracrine	0.707755055382697
C1QA	CSPG4	autocrine|paracrine	0.706851943526274
SPTAN1	PTPRA	autocrine|paracrine	0.706632111535571
CALM1	EGFR	autocrine|paracrine	0.706530505852472
PDGFB	PDGFRA	autocrine|paracrine	0.703540224953079
TGFB1	TGFBR1	autocrine|paracrine	0.702484867411095
NAMPT	INSR	autocrine|paracrine	0.700260766732084
TGM2	ITGB1	autocrine|paracrine	0.699987223476593
COL1A1	DDR1	autocrine|paracrine	0.695314811592432
GNAI2	EGFR	autocrine|paracrine	0.694294191832624
VEGFA	GPC1	autocrine|paracrine	0.694063839145261
CALM2	EGFR	autocrine|paracrine	0.68941953336891
HMGB1	SDC1	autocrine|paracrine	0.688628394979527
VEGFA	ITGAV	autocrine|paracrine	0.68815278005303
APOA4	LRP1	autocrine|paracrine	0.686902358295591
PSEN1	NCSTN	autocrine|paracrine	0.685860072839792
COL3A1	DDR1	autocrine|paracrine	0.683965597654229
OSM	IL6ST	autocrine|paracrine	0.683126477597135
PLAU	MRC2	autocrine|paracrine	0.678414623579363
SPP1	ITGB1	autocrine|paracrine	0.677747685760562
LAMC1	ITGB1	autocrine|paracrine	0.677641366484546
APOE	LRP1	autocrine|paracrine	0.677381901277497
HBEGF	ERBB2	autocrine|paracrine	0.67490911115629
PTN	PLXNB2	autocrine|paracrine	0.673014482479489
HSPG2	ITGB1	autocrine|paracrine	0.671533562129638
PDGFA	PDGFRA	autocrine|paracrine	0.6712119913033
HSP90B1	ASGR1	autocrine|paracrine	0.671039172694994
COL6A2	ITGA1	autocrine|paracrine	0.669965434071323
FN1	ITGA8	autocrine|paracrine	0.66993433065884
PDGFB	LRP1	autocrine|paracrine	0.668997377790951
LAMB1	ITGB1	autocrine|paracrine	0.668774448150873
GNAI2	EDNRA	autocrine|paracrine	0.667696115497794
LAMB2	ITGB1	autocrine|paracrine	0.666725002803891
ADAM15	ITGB1	autocrine|paracrine	0.664995507285749
APOC3	LDLR	autocrine|paracrine	0.664115305421766
HRAS	SDC2	autocrine|paracrine	0.663670884419627
MMP9	CD44	autocrine|paracrine	0.66367068854741
PLAT	LRP1	autocrine|paracrine	0.662905789670175
PSEN1	CD44	autocrine|paracrine	0.662551375141291
SEMA7A	ITGB1	autocrine|paracrine	0.662294032343892
FGB	ITGB1	autocrine|paracrine	0.661187961943839
CD55	ADGRE5	autocrine|paracrine	0.661079540705754
ARPC5	LDLR	autocrine|paracrine	0.660258370108636
SEMA4A	PLXNB2	autocrine|paracrine	0.659453807716489
APOB	LRP1	autocrine|paracrine	0.657668426454279
COL9A2	ITGB1	autocrine|paracrine	0.655953905003403
VEGFA	TYRO3	autocrine|paracrine	0.655560032191945
GPC3	LRP1	autocrine|paracrine	0.654955132423026
COL6A1	ITGA1	autocrine|paracrine	0.653937063285609
THBS1	CD47	autocrine|paracrine	0.653881188481302
UBA52	SMAD3	autocrine|paracrine	0.653028478215255
MUC2	AGR2	autocrine|paracrine	0.652955431381258
VEGFA	EGFR	autocrine|paracrine	0.652728751662248
CALM1	INSR	autocrine|paracrine	0.651345440533598
GNAI2	S1PR3	autocrine|paracrine	0.650075267415574
SERPINE2	LRP1	autocrine|paracrine	0.64834097470994
LGALS1	CD69	autocrine|paracrine	0.6461756793093
ARF1	INSR	autocrine|paracrine	0.645854789324614
IHH	HHIP	autocrine|paracrine	0.644733097413619
TGFB1	CXCR4	autocrine|paracrine	0.642673252939453
UBA52	RIPK1	autocrine|paracrine	0.642652678152621
SCT	RAMP2	autocrine|paracrine	0.6422486028625
PSEN1	NOTCH2	autocrine|paracrine	0.638539222571494
MDK	SDC3	autocrine|paracrine	0.638202211594532
TNFSF14	LTBR	autocrine|paracrine	0.636892301674424
HBEGF	CD44	autocrine|paracrine	0.636735273418463
APP	NCSTN	autocrine|paracrine	0.636604884113628
TGFB1	SMAD3	autocrine|paracrine	0.635502257402518
CALM1	FAS	autocrine|paracrine	0.634873273186572
LAMA5	ITGB1	autocrine|paracrine	0.634040185991825
COL5A1	ITGA1	autocrine|paracrine	0.633072847777055
VEGFA	NRP1	autocrine|paracrine	0.633017120403339
ADAM9	ITGB1	autocrine|paracrine	0.632786253166886
CALM2	INSR	autocrine|paracrine	0.632689626323623
NECTIN2	NECTIN3	autocrine|paracrine	0.629273579865431
COL4A5	ITGB1	autocrine|paracrine	0.628158502547498
TLN1	ITGB5	autocrine|paracrine	0.628088464318488
IL1A	IL1R1	autocrine|paracrine	0.628046683995966
CALM3	PDE1A	autocrine|paracrine	0.627794462623767
IL1RN	IL1R1	autocrine|paracrine	0.627191719456789
APP	CD74	autocrine|paracrine	0.626396093030711
MDK	ITGA6	autocrine|paracrine	0.625159987766478
LGALS3BP	ITGB1	autocrine|paracrine	0.623687533928676
SEMA4D	PLXNB2	autocrine|paracrine	0.622057787638564
VEGFA	EPHB2	autocrine|paracrine	0.62193195197656
ADAM17	ITGA5	autocrine|paracrine	0.621617156355946
PSEN1	NOTCH3	autocrine|paracrine	0.621147204217335
ADM	RAMP2	autocrine|paracrine	0.620589054751013
CTGF	LRP1	autocrine|paracrine	0.617879404544105
PLAU	ITGA5	autocrine|paracrine	0.617717700542446
GSTP1	TRAF2	autocrine|paracrine	0.617690680379749
PDAP1	PDGFRB	autocrine|paracrine	0.616971813339969
VCAN	CD44	autocrine|paracrine	0.61612903240645
PLAU	ITGB5	autocrine|paracrine	0.614750552647372
IGFBP4	FZD8	autocrine|paracrine	0.614359994301425
PRND	RPSA	autocrine|paracrine	0.61380200530765
LAMB3	ITGB1	autocrine|paracrine	0.612439891848594
MDK	SDC1	autocrine|paracrine	0.610669691348047
SEMA4D	ERBB2	autocrine|paracrine	0.610294866210122
OSM	LIFR	autocrine|paracrine	0.610081307880029
COL18A1	ITGB1	autocrine|paracrine	0.609335610165044
MFGE8	PDGFRB	autocrine|paracrine	0.609047622622426
DCN	EGFR	autocrine|paracrine	0.608465872038005
PSAP	GPR37	autocrine|paracrine	0.607761376271607
VEGFA	ITGA9	autocrine|paracrine	0.606924356125934
ARF1	PLD2	autocrine|paracrine	0.606513801032316
JAM3	ITGB1	autocrine|paracrine	0.605381433393354
PLAU	ITGAV	autocrine|paracrine	0.605369144960878
COL6A3	ITGA1	autocrine|paracrine	0.605087541352293
APOA4	LDLR	autocrine|paracrine	0.602186715882636
ADAM12	ITGB1	autocrine|paracrine	0.601236886210857
CALM1	ABCA1	autocrine|paracrine	0.601097191571814
ICAM1	IL2RG	autocrine|paracrine	0.600215690946096
