Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	interaction type	LRscore
ICAM1	CAV1	autocrine	0.793223088135597
AGRN	ITGB1	autocrine	0.791541527886596
HSP90AA1	EGFR	autocrine	0.791303442127874
A2M	LRP1	autocrine	0.789594120955453
RPS27A	SMAD3	autocrine	0.789527182731608
COL9A1	ITGB1	autocrine	0.788849509119245
JAM3	ITGB1	autocrine	0.788080105497649
APOE	LRP1	autocrine	0.787852730333278
UBB	TGFBR1	autocrine	0.786112892075691
COL4A2	ITGB5	autocrine	0.786097921664114
LAMB1	ITGA1	autocrine	0.784664297932887
MDK	SDC3	autocrine	0.784040501643022
BMP4	BMPR2	autocrine	0.784013844884773
GNAS	ADCY9	autocrine	0.783148306987244
COL4A1	CD47	autocrine	0.782049887694727
RPS27A	RIPK1	autocrine	0.781869773105057
NID1	COL13A1	autocrine	0.781424877161521
SERPINA1	LRP1	autocrine	0.781005085687459
MDK	ITGA6	autocrine	0.774397092541801
DCN	EGFR	autocrine	0.773677328904887
CALR	ITGAV	autocrine	0.773104936536053
B2M	TFRC	autocrine	0.772993648354594
VCAN	EGFR	autocrine	0.770075878238603
COL1A1	ITGA11	autocrine	0.768930713655637
APOC3	SDC2	autocrine	0.768431232715745
PKM	CD44	autocrine	0.767533106487647
HLA-A	ERBB2	autocrine	0.766769167914258
GPC3	LRP1	autocrine	0.766667405858412
THBS1	LRP1	autocrine	0.764875170685425
CTGF	LRP6	autocrine	0.763701009243522
MDK	SDC1	autocrine	0.763493366753817
NID1	ITGAV	autocrine	0.762273623714356
UBA52	TGFBR2	autocrine	0.761815450133814
COL1A2	ITGA11	autocrine	0.761707556561785
SERPING1	LRP1	autocrine	0.761448549723306
APP	NCSTN	autocrine	0.760457982729446
FN1	ITGA9	autocrine	0.75991560345522
UBA52	FGFR2	autocrine	0.759740053181012
APOC3	LRP1	autocrine	0.759299511447542
PTGS2	CAV1	autocrine	0.759031366223714
COL6A1	ITGA6	autocrine	0.758922173257885
NPNT	ITGB1	autocrine	0.758888952992228
COL18A1	ITGB1	autocrine	0.758479163333809
CALM1	PTPRA	autocrine	0.757728237826398
UBA52	ACVR1	autocrine	0.757502798424774
PLAU	LRP1	autocrine	0.757270772304269
COL4A1	ITGAV	autocrine	0.75726148321009
TGFB1	SDC2	autocrine	0.756939700192522
HSPG2	LRP1	autocrine	0.75561017770059
EFEMP2	PLSCR4	autocrine	0.755017650723747
TFPI	F3	autocrine	0.75461707236154
APP	CD74	autocrine	0.752375173123849
FN1	ITGA6	autocrine	0.751712663095064
GNAI2	EDNRB	autocrine	0.750987792187954
UBC	SMAD3	autocrine	0.750499323189532
LRPAP1	LDLR	autocrine	0.749998803159353
GNAS	PTGIR	autocrine	0.748743846864101
HRAS	CAV1	autocrine	0.747495723124067
HSP90AA1	FGFR3	autocrine	0.747382787773423
CALM1	PDE1A	autocrine	0.74698185058195
LAMC1	ITGA1	autocrine	0.744811089093905
ANGPT1	ITGB1	autocrine	0.743035922724833
MDK	ITGA4	autocrine	0.742763629444698
DLL1	NOTCH2	autocrine	0.742731650287985
VEGFA	GPC1	autocrine	0.741982114123948
UBC	RIPK1	autocrine	0.741886203844586
ADAM9	ITGB1	autocrine	0.741402897391652
LAMB1	ITGAV	autocrine	0.741141399461921
PTN	SDC3	autocrine	0.739989289012772
CALM2	PDE1A	autocrine	0.739914714201561
UBA52	EGFR	autocrine	0.738344790922035
VEGFA	ITGAV	autocrine	0.73664559550889
UBA52	NOTCH1	autocrine	0.735650241572815
HMGB1	SDC1	autocrine	0.735271510468309
BMP5	BMPR2	autocrine	0.734799900530732
UBA52	TGFBR1	autocrine	0.733262811755252
GNAI2	UNC5B	autocrine	0.73270208813991
MFAP2	NOTCH1	autocrine	0.732094880623299
AGRN	LRP1	autocrine	0.730870066712744
UBB	SMAD3	autocrine	0.730741636696469
DLL1	NOTCH3	autocrine	0.728219134056308
EFNB1	ERBB2	autocrine	0.727761190692594
MFGE8	PDGFRB	autocrine	0.725516242843591
APP	GPC1	autocrine	0.724969742187708
COL4A6	ITGB1	autocrine	0.722672929856243
GNAI2	AGTR2	autocrine	0.721774159002879
UBB	RIPK1	autocrine	0.721699377042903
RTN4	RTN4R	autocrine	0.721135201449123
FBN1	ITGA5	autocrine	0.720611020314366
CALM3	PDE1A	autocrine	0.720008005065
SEMA3A	PLXNA2	autocrine	0.719550067204399
APOE	LDLR	autocrine	0.71928913424677
FN1	ITGA4	autocrine	0.718056499862418
PDGFD	PDGFRB	autocrine	0.717945233229527
PTN	SDC1	autocrine	0.716765036487567
FYN	THY1	autocrine	0.716281330362388
LGALS1	CD69	autocrine	0.71612997034215
FAT4	DCHS1	autocrine	0.715000149738596
JAG1	CD46	autocrine	0.712193233958644
LAMA4	ITGAV	autocrine	0.711787645965522
BMP4	BMPR1A	autocrine	0.711770660230051
CALM1	EGFR	autocrine	0.711747223462812
EDIL3	ITGB5	autocrine	0.711243311412078
GNAI2	IGF1R	autocrine	0.711222312721899
LAMA5	BCAM	autocrine	0.711032129983171
FBN1	ITGAV	autocrine	0.710025915526112
COL4A5	ITGA1	autocrine	0.709967064208544
RTN4	LINGO1	autocrine	0.709930619583463
MDK	SDC4	autocrine	0.709804277401334
BMP2	ENG	autocrine	0.70926725576707
ACTR2	LDLR	autocrine	0.708338634025223
COL7A1	ITGB1	autocrine	0.707792920078885
DLL1	NOTCH1	autocrine	0.70765951139341
VEGFA	TYRO3	autocrine	0.706962866882395
COL14A1	CD44	autocrine	0.705623409640251
VEGFA	EGFR	autocrine	0.704363568352919
CALM2	EGFR	autocrine	0.704085804347691
TNC	ITGA8	autocrine	0.703478216079747
NECTIN2	NECTIN3	autocrine	0.703373428027525
PLAU	MRC2	autocrine	0.703305229079122
EDIL3	ITGAV	autocrine	0.703076726571242
NID1	PTPRF	autocrine	0.700686729226225
APOA4	LRP1	autocrine	0.699519851119567
PDAP1	PDGFRB	autocrine	0.698807268409209
GNAI2	EGFR	autocrine	0.697852973290068
HSP90B1	ASGR1	autocrine	0.697765740149527
LAMC1	ITGAV	autocrine	0.696350322930211
COL5A2	DDR1	autocrine	0.696066497081167
COL5A1	SDC3	autocrine	0.696040150262254
THBS2	ITGB1	autocrine	0.694573987955827
BMP2	BMPR2	autocrine	0.693987930520797
IGFBP4	FZD8	autocrine	0.693357181318422
ADAM17	ITGB1	autocrine	0.692835958827004
VCL	ITGB5	autocrine	0.691943374339717
TGFB1	ENG	autocrine	0.689525256717215
VCAN	ITGA4	autocrine	0.688841978836617
COL4A5	CD47	autocrine	0.688690487289167
ARPC5	LDLR	autocrine	0.688545180909934
HRAS	SDC2	autocrine	0.6878836200183
LTBP3	ITGB5	autocrine	0.687511664034552
VEGFA	NRP1	autocrine	0.686173669559318
ADM	RAMP2	autocrine	0.685524364294017
APOC3	LDLR	autocrine	0.685195130922392
TGFB1	TGFBR3	autocrine	0.683890249488754
CALM3	EGFR	autocrine	0.682613098233357
MDK	TSPAN1	autocrine	0.682460324944394
SCT	RAMP2	autocrine	0.680904684421802
COL1A1	CD36	autocrine	0.679908860886306
VCAM1	MSN	autocrine	0.67928694918864
NCAM1	GFRA1	autocrine	0.679030900652173
SPTAN1	PTPRA	autocrine	0.678834862172507
MFGE8	ITGAV	autocrine	0.678350225331589
TIMP3	AGTR2	autocrine	0.677710243024028
INHBA	ENG	autocrine	0.676361263692199
ARF1	INSR	autocrine	0.675950095796493
VEGFA	EPHB2	autocrine	0.675872003715732
EFNB1	EPHB3	autocrine	0.674514670344745
EFEMP2	LINGO1	autocrine	0.67416856077094
THBS1	CD47	autocrine	0.673977297200375
GNAI2	EDNRA	autocrine	0.671417993122589
COL1A2	CD36	autocrine	0.671093236310369
INHBA	TGFBR3	autocrine	0.670601471855017
IGFBP4	LRP6	autocrine	0.670109537024234
UBA52	SMAD3	autocrine	0.669953960156478
NCAM1	ROBO1	autocrine	0.668688258898715
SLIT3	ROBO2	autocrine	0.668514775191267
VCAM1	EZR	autocrine	0.666838617135404
CXCL12	CD4	autocrine	0.665648112102659
LAMB3	ITGB1	autocrine	0.665424702421118
LAMA2	RPSA	autocrine	0.664984969197751
VEGFC	ITGB1	autocrine	0.664722976449697
ADAM28	ITGA4	autocrine	0.663554941754378
NCAM1	FGFR1	autocrine	0.663321673760384
CLCF1	IL6ST	autocrine	0.662183147409851
VEGFA	ITGA9	autocrine	0.661841377838858
HLA-C	DDR1	autocrine	0.661531022583726
FN1	ITGB8	autocrine	0.660815750333459
WNT5A	FZD1	autocrine	0.660783941881579
UBA52	RIPK1	autocrine	0.659820637690243
NPNT	ITGA8	autocrine	0.659767244470092
GNAI2	ADCY9	autocrine	0.659540337018608
COL4A5	ITGAV	autocrine	0.657928343550414
EFEMP1	EGFR	autocrine	0.657312811115113
LAMC3	ITGB1	autocrine	0.657139274207853
LAMB1	ITGA6	autocrine	0.657092633516159
CXCL12	CXCR4	autocrine	0.657083639654219
CALM1	INSR	autocrine	0.657066988997823
GSTP1	TRAF2	autocrine	0.656244679254245
SEMA3A	NRP1	autocrine	0.656208114926812
HSPG2	COL13A1	autocrine	0.655718021940388
COL9A3	ITGB1	autocrine	0.654735707617541
F10	F3	autocrine	0.654179027904416
GNAI2	S1PR3	autocrine	0.653892200023606
BMP5	BMPR1A	autocrine	0.653373358536285
CD14	ITGB1	autocrine	0.65306159329838
NCAM1	PTPRA	autocrine	0.6528930428624
COL11A1	ITGB1	autocrine	0.652133961175794
LAMA3	ITGB1	autocrine	0.651685589577978
SEMA3A	PLXNA3	autocrine	0.65105615795883
TLN1	ITGB5	autocrine	0.650025346586834
CALM2	INSR	autocrine	0.648669624825579
DCN	MET	autocrine	0.647636561197694
MDK	GPC2	autocrine	0.645734507676147
PLAU	ITGA5	autocrine	0.644846844633313
PLAU	ITGB5	autocrine	0.641968218378314
APOE	LRP5	autocrine	0.641510119758765
FGB	ITGB1	autocrine	0.641195248171401
CALM1	FAS	autocrine	0.640716029813363
TGFB3	ITGB1	autocrine	0.640645640762397
SEMA3A	PLXNA1	autocrine	0.640073079861143
ARF1	PLD2	autocrine	0.638078861485297
HGF	ITGB1	autocrine	0.638019442556787
CALM1	CACNA1C	autocrine	0.637635546517389
C3	CD81	autocrine	0.637069563599818
WNT5A	MCAM	autocrine	0.635939342223765
COL1A1	CD93	autocrine	0.635447149673533
SERPINE1	LRP1	autocrine	0.635370361556725
INHBA	BAMBI	autocrine	0.634150507559158
ADM	PTH1R	autocrine	0.633289040605968
PLAU	ITGAV	autocrine	0.632853764515587
TFPI	VLDLR	autocrine	0.632074251436618
BST1	CAV1	autocrine	0.630931638757991
SEMA4C	PLXNB2	autocrine	0.630020927506417
TGFB1	ITGB5	autocrine	0.629829507242997
ANOS1	SDC2	autocrine	0.629436527638094
JAG1	NOTCH2	autocrine	0.629065990611115
CALM2	CACNA1C	autocrine	0.629031004219685
BMP2	ACVR1	autocrine	0.628826681013611
SCT	PTH1R	autocrine	0.628318060916018
SEMA4D	PLXNB2	autocrine	0.627082495736208
ADAM15	ITGB1	autocrine	0.62630867307324
COL1A2	CD93	autocrine	0.626080436856621
CALM3	INSR	autocrine	0.625315621341604
COL18A1	GPC4	autocrine	0.624779852782062
GNAS	ADCY7	autocrine	0.624748856139256
NCAM1	FGFR2	autocrine	0.624635867668357
IGF1	IGF1R	autocrine	0.623866709509844
VEGFA	SIRPA	autocrine	0.623256288407536
LAMA4	ITGA6	autocrine	0.623055413148808
LRPAP1	VLDLR	autocrine	0.62295618720138
TGFB1	ACVRL1	autocrine	0.622897083869276
GPC3	IGF1R	autocrine	0.622479119936515
TGFB1	ITGAV	autocrine	0.620588669543442
NAMPT	INSR	autocrine	0.620500195747969
GDNF	GFRA1	autocrine	0.619871944482734
LAMA2	ITGB1	autocrine	0.618392263079821
APOA4	LDLR	autocrine	0.616311199110292
P4HB	MTTP	autocrine	0.616118749760541
TNC	ITGA5	autocrine	0.615796740750281
VEGFA	NRP2	autocrine	0.615794286937991
CLCF1	CNTFR	autocrine	0.615735175807646
SEMA4D	ERBB2	autocrine	0.615379266619241
HBEGF	CD9	autocrine	0.61463891831846
APOB	LRP1	autocrine	0.612773747264305
TGFB1	TGFBR2	autocrine	0.61227396451967
JAG1	NOTCH3	autocrine	0.611495488087712
FGF7	FGFR4	autocrine	0.610703646959571
THBS1	LRP5	autocrine	0.610518001080059
NTF3	NTRK3	autocrine	0.609509510352827
FN1	ROBO4	autocrine	0.60943753751486
EFNB1	EPHB4	autocrine	0.60797898720624
VEGFB	TYRO3	autocrine	0.607936200818225
CALM1	ABCA1	autocrine	0.607145985721677
HMGB1	THBD	autocrine	0.607132487388175
BMP2	BMPR1A	autocrine	0.606737025393852
LAMC1	ITGA6	autocrine	0.60549951986575
DUSP18	RPSA	autocrine	0.604008754112581
WNT5A	LDLR	autocrine	0.603742671047184
CALM1	PDE1C	autocrine	0.603715645887873
TNC	ITGAV	autocrine	0.603425970762198
COL1A1	ITGA2	autocrine	0.602951483402435
EFNB1	EPHB2	autocrine	0.601763456604486
