Neural	Neural	interaction type	LRscore
CTGF	LRP6	autocrine	0.76072089610551
LAMB1	ITGB1	autocrine	0.760380733809303
UBA52	ERBB2	autocrine	0.759334611381711
NCAM1	PTPRA	autocrine	0.759177605789998
SEMA3B	NRP1	autocrine	0.758307265786894
GNAS	ADCY1	autocrine	0.757080352670384
COL1A2	ITGA2	autocrine	0.755534840949202
CALR	LRP1	autocrine	0.755098629096217
RPS27A	RIPK1	autocrine	0.754896676899136
CYR61	ITGAV	autocrine	0.754883661798653
APOE	SORL1	autocrine	0.754759323579102
COL5A1	SDC3	autocrine	0.752846397838744
GNAI2	IGF1R	autocrine	0.751562481419979
COL9A2	ITGB1	autocrine	0.751336968846704
PTN	PLXNB2	autocrine	0.749822777263678
RTN4	TNFRSF19	autocrine	0.74880275078971
COL1A1	ITGA2	autocrine	0.748159366036941
LAMC1	ITGB1	autocrine	0.74794784740278
COL6A3	ITGB1	autocrine	0.747608206753673
COL6A1	ITGA6	autocrine	0.747419306300425
COL2A1	ITGB1	autocrine	0.747015791762415
LUM	ITGB1	autocrine	0.746793149389769
CALM1	ABCA1	autocrine	0.745227894029679
VEGFA	ITGB1	autocrine	0.744215973723145
VCAN	CD44	autocrine	0.743742427771584
CALM1	INSR	autocrine	0.741566928526483
PSAP	LRP1	autocrine	0.740914868349266
SEMA3B	NRP2	autocrine	0.738564300394783
B2M	TFRC	autocrine	0.738383990432897
CALM3	MYLK	autocrine	0.738256357620412
UBA52	TGFBR1	autocrine	0.737779901105173
CALM2	ABCA1	autocrine	0.737320919418146
MFAP2	NOTCH1	autocrine	0.736176388070337
SPP1	ITGB1	autocrine	0.73517345024296
CALM2	INSR	autocrine	0.733586952276172
LAMB1	ITGA1	autocrine	0.732825586223345
NID1	PTPRF	autocrine	0.732552666644002
RPS27A	SMAD3	autocrine	0.731467368235468
CALR	ITGAV	autocrine	0.729545366108738
VIP	RAMP2	autocrine	0.729324038975874
RTN4	LINGO1	autocrine	0.726398598657356
NLGN1	NRXN1	autocrine	0.725619806921166
FBN1	ITGB1	autocrine	0.722991486356508
FABP5	RXRA	autocrine	0.722542511870248
NCAM1	FGFR1	autocrine	0.721109960403918
NLGN2	NRXN1	autocrine	0.7208578490788
MDK	SDC1	autocrine	0.720507040717113
LAMC1	ITGA1	autocrine	0.719490409070615
COL6A3	ITGA1	autocrine	0.719126822031398
COL2A1	ITGA1	autocrine	0.718492727988873
TNC	ITGB1	autocrine	0.716255387554948
UBC	RIPK1	autocrine	0.714423961464522
GNAI2	F2R	autocrine	0.713643858798891
HSP90B1	ASGR1	autocrine	0.71346026447804
COL18A1	KDR	autocrine	0.710948003941407
HLA-C	DDR1	autocrine	0.7082527807635
VEGFA	GPC1	autocrine	0.706537103163421
JAM3	ITGB1	autocrine	0.704989616852904
LAMA1	RPSA	autocrine	0.704539632526936
ARPC5	LDLR	autocrine	0.699901810612291
HMGB1	SDC1	autocrine	0.69781969230274
UBB	RIPK1	autocrine	0.696829716702422
COL3A1	ITGA2	autocrine	0.696333770039546
APOE	LRP5	autocrine	0.69589499691386
TNC	PTPRZ1	autocrine	0.695883921969195
ARF1	INSR	autocrine	0.693745706965315
SERPINE2	LRP1	autocrine	0.693389630245748
L1CAM	ERBB2	autocrine	0.692382929174038
TIMP3	ADAM17	autocrine	0.691438689484409
LAMA5	ITGB1	autocrine	0.691038055229582
GNAS	ADCY9	autocrine	0.689669808595701
NLGN3	NRXN1	autocrine	0.689510284458155
UBC	SMAD3	autocrine	0.688721157287051
APP	TNFRSF21	autocrine	0.687555324475613
FN1	CD44	autocrine	0.687463462691657
JAG1	NOTCH1	autocrine	0.687416818930537
IGFBP4	FZD8	autocrine	0.687273181444856
TGFB1	TGFBR2	autocrine	0.686749341609868
VEGFB	NRP1	autocrine	0.686618711997808
MDK	TSPAN1	autocrine	0.686077046396934
HSP90AA1	FGFR3	autocrine	0.684862069761774
GSTP1	TRAF2	autocrine	0.684849905166986
FN1	SDC2	autocrine	0.683870956072652
LAMA2	ITGB1	autocrine	0.683667768547026
L1CAM	ITGAV	autocrine	0.682228128205221
EDN1	EDNRB	autocrine	0.680884697696207
SERPINA1	LRP1	autocrine	0.680029462308361
HLA-A	ERBB2	autocrine	0.679189298441097
TIMP3	KDR	autocrine	0.679108934649924
MDK	ITGA4	autocrine	0.678436420576161
HMGB1	THBD	autocrine	0.678146211207839
LRPAP1	LDLR	autocrine	0.677075179384628
NID1	ITGAV	autocrine	0.675777948650404
NECTIN2	NECTIN3	autocrine	0.674886321041792
APOC3	SDC2	autocrine	0.674450558636822
AGRN	LRP1	autocrine	0.673525595524629
NOV	NOTCH1	autocrine	0.672973663973944
CALCB	RAMP2	autocrine	0.672947367689303
COL5A3	SDC3	autocrine	0.672455485876991
FN1	ITGA6	autocrine	0.670884969102372
APP	ADRA2A	autocrine	0.670656755991082
UBB	SMAD3	autocrine	0.670274217967777
VEGFB	TYRO3	autocrine	0.669435078608101
LRPAP1	LRP1	autocrine	0.669080417289763
COL6A1	ITGA2	autocrine	0.665882536928664
VEGFB	RET	autocrine	0.665125053356022
CTGF	LRP1	autocrine	0.664174047454251
COL2A1	DDR1	autocrine	0.663448475794735
ARF1	CHRM3	autocrine	0.663013467289361
RPS27A	FGFR2	autocrine	0.662492146806327
AREG	ERBB3	autocrine	0.662157913298594
APOC3	LDLR	autocrine	0.661837085805299
CALM3	ABCA1	autocrine	0.66164935463445
LAMA4	ITGA6	autocrine	0.659511967680045
CALM3	INSR	autocrine	0.657339623008955
CALM1	KCNQ5	autocrine	0.657226579894967
SEMA3C	NRP1	autocrine	0.656064506130366
PSEN1	NOTCH1	autocrine	0.655892352252593
UBA52	ACVR1	autocrine	0.655886801913916
TGFB1	CAV1	autocrine	0.655180168901872
RPS27A	ADRB2	autocrine	0.654254926176655
ADAM10	NOTCH1	autocrine	0.653730552303267
ACTR2	LDLR	autocrine	0.653667631915487
APOC3	LRP1	autocrine	0.653658044779044
JAG1	CD46	autocrine	0.653456867482797
ADAM15	ITGB1	autocrine	0.65149803703909
LAMA2	ITGA1	autocrine	0.651336039007626
EFEMP2	AQP1	autocrine	0.650295658230689
COL18A1	ITGA3	autocrine	0.65017596583766
RGMB	BMPR2	autocrine	0.649840589758721
COL4A1	ITGB8	autocrine	0.649225759629276
HSPG2	LRP1	autocrine	0.648795990442715
CALM1	PDE1C	autocrine	0.6486079888429
CALM2	KCNQ5	autocrine	0.647878920083975
NCAM1	ROBO3	autocrine	0.647095612225584
TGFB1	SDC2	autocrine	0.646962497568282
TGFB2	TGFBR2	autocrine	0.646651906017493
CALM1	KCNQ3	autocrine	0.645952075630555
GNAI2	S1PR3	autocrine	0.645876521806783
DLL3	NOTCH1	autocrine	0.644183232337897
COL4A1	ITGAV	autocrine	0.642051723665484
P4HB	MTTP	autocrine	0.641060348655672
ADAM9	ITGB1	autocrine	0.640715017771684
FN1	ITGB8	autocrine	0.640163568689874
CALM1	CACNA1C	autocrine	0.640088189381458
CALM2	PDE1C	autocrine	0.639154338479549
TNFSF12	TNFRSF12A	autocrine	0.639067264017062
LAMA3	ITGB1	autocrine	0.638769047182706
DUSP18	RPSA	autocrine	0.63869973218407
GNAS	ADCY7	autocrine	0.637894223073333
UBA52	RIPK1	autocrine	0.637856812717447
CALM2	KCNQ3	autocrine	0.636467020297026
HRAS	CAV1	autocrine	0.636283974309324
FN1	IL17RC	autocrine	0.636120241770541
COL6A2	ITGA2	autocrine	0.63523164979696
CALCA	RAMP2	autocrine	0.633544827040409
NRG2	ERBB3	autocrine	0.632934700420121
FN1	ITGAV	autocrine	0.632908989336765
SEMA3C	NRP2	autocrine	0.632022536758171
LAMB1	ITGA6	autocrine	0.631372989513694
CALM2	CACNA1C	autocrine	0.630535892253955
GNAS	GCGR	autocrine	0.630086568448449
SORBS1	ITGA1	autocrine	0.629097535112593
GNAI2	ADCY1	autocrine	0.629083892934467
LRPAP1	SORL1	autocrine	0.628823784896121
ADAM17	ITGB1	autocrine	0.628606583077219
HRAS	SDC2	autocrine	0.627871750730833
BCAN	NRCAM	autocrine	0.627675008291141
CALCB	RAMP1	autocrine	0.627215994540717
BTC	ERBB3	autocrine	0.625355928260646
THBS1	ITGB1	autocrine	0.624379637160816
GNAI2	EDNRA	autocrine	0.623096473916307
COL11A1	ITGB1	autocrine	0.622875162860435
EFEMP2	PLSCR4	autocrine	0.621294958493864
VEGFA	NRP1	autocrine	0.620971307804052
LAMA4	ITGAV	autocrine	0.620965103603927
NLGN1	NRXN3	autocrine	0.620924337053041
RTN4	RTN4R	autocrine	0.619566836266572
NCAM1	ROBO1	autocrine	0.618399952185522
NAMPT	INSR	autocrine	0.617960968532978
SPP1	CD44	autocrine	0.617859274692311
WNT5A	MCAM	autocrine	0.616359899318917
LAMC1	ITGA6	autocrine	0.6156300481273
NLGN2	NRXN3	autocrine	0.615308660467334
UBC	FGFR2	autocrine	0.614551970187638
ARTN	GFRA1	autocrine	0.614487913209424
GNAI2	CNR1	autocrine	0.614185642114116
GNAI2	UNC5B	autocrine	0.612975929018731
UBA52	SMAD3	autocrine	0.609033948286308
PSEN1	CD44	autocrine	0.606789795936672
JAG1	NOTCH2	autocrine	0.606740530737505
GNAI2	ADRA2A	autocrine	0.606332860079332
UBC	ADRB2	autocrine	0.605840846200021
COL18A1	ITGB5	autocrine	0.605267097844579
VCAM1	ITGB1	autocrine	0.604021694510102
AGRN	ATP1A3	autocrine	0.602856873474991
VEGFA	TYRO3	autocrine	0.602273139974121
DCN	ERBB4	autocrine	0.601842436480577
P4HB	GPR162	autocrine	0.601295419993782
TGFB1	ITGB8	autocrine	0.601128508076617
