Endothelial	Pericytes	interaction type	LRscore
APP	GPC1	autocrine|paracrine	0.714719849370742
NID1	ITGAV	autocrine|paracrine	0.712403531249071
APOC3	LDLR	autocrine|paracrine	0.711807881153885
ADAM17	NOTCH1	autocrine|paracrine	0.711475116467516
COL1A1	ITGA5	autocrine|paracrine	0.70982524417196
PDGFA	PDGFRB	autocrine|paracrine	0.709338471776278
ADAM10	AXL	autocrine|paracrine	0.709254563153345
TGFB1	ENG	autocrine|paracrine	0.708908538500184
CALM1	INSR	autocrine|paracrine	0.708432009428876
TGFB3	ITGB1	autocrine|paracrine	0.708390891105214
TGFB1	ITGAV	autocrine|paracrine	0.707501110845944
COL18A1	ITGA5	autocrine|paracrine	0.707008907929455
COL4A5	ITGB1	autocrine|paracrine	0.706435381937878
LRPAP1	LRP1	autocrine|paracrine	0.706414396265734
DLL4	NOTCH2	autocrine|paracrine	0.705606287384018
NPNT	ITGB1	autocrine|paracrine	0.704978783419546
TFPI	LRP1	autocrine|paracrine	0.704689046507742
UBA52	EGFR	autocrine|paracrine	0.704136035723559
ADAM9	ITGB1	autocrine|paracrine	0.703969635280433
GAS6	AXL	autocrine|paracrine	0.703821803124652
SERPINA1	LRP1	autocrine|paracrine	0.703556743369569
LGALS3BP	ITGB1	autocrine|paracrine	0.700927539209869
ADM	RAMP2	autocrine|paracrine	0.700777125963385
JAG2	NOTCH2	autocrine|paracrine	0.700694909176899
PDGFD	PDGFRB	autocrine|paracrine	0.70017233883498
SEMA4C	PLXNB2	autocrine|paracrine	0.698773948581829
CALM2	PDE1A	autocrine|paracrine	0.698440724991077
GNAI2	ADRA2B	autocrine|paracrine	0.696507586254374
COL3A1	DDR1	autocrine|paracrine	0.696341373860753
APOE	LRP1	autocrine|paracrine	0.694981941946371
PTN	PLXNB2	autocrine|paracrine	0.693330760659261
PDGFB	LRP1	autocrine|paracrine	0.693105335552397
TGFB1	TGFBR2	autocrine|paracrine	0.69265690395226
EFNB2	EPHA3	autocrine|paracrine	0.692344129383343
SEMA4A	PLXNB2	autocrine|paracrine	0.6921828314209
HBEGF	CD82	autocrine|paracrine	0.691850155062073
UBA52	TGFBR1	autocrine|paracrine	0.691650659462891
HSPG2	SDC1	autocrine|paracrine	0.691533198962094
APP	NGFR	autocrine|paracrine	0.691518915483896
PTGS2	CAV1	autocrine|paracrine	0.689458503728353
APOC3	LRP1	autocrine|paracrine	0.689183852600539
ANXA1	EGFR	autocrine|paracrine	0.688521337813316
UBA52	ACVR1	autocrine|paracrine	0.688025348642393
HLA-C	DDR1	autocrine|paracrine	0.687605978101972
DUSP18	RPSA	autocrine|paracrine	0.686456894845537
CALM1	PDE1C	autocrine|paracrine	0.686261804356283
VCL	ITGB5	autocrine|paracrine	0.685632368488133
SERPING1	LRP1	autocrine|paracrine	0.685377977060015
COL1A1	DDR1	autocrine|paracrine	0.684930393728426
PLAT	LRP1	autocrine|paracrine	0.684875659714949
EFNA1	EPHA3	autocrine|paracrine	0.683841319658903
CALM2	EGFR	autocrine|paracrine	0.683584266426431
JAG1	NOTCH2	autocrine|paracrine	0.683553507737107
GNAS	ADCY1	autocrine|paracrine	0.683212549962632
TGFB1	ACVRL1	autocrine|paracrine	0.679596575508784
UBA52	SMAD3	autocrine|paracrine	0.679352807246027
BMP2	ENG	autocrine|paracrine	0.67776243370763
COL4A5	ITGA1	autocrine|paracrine	0.676818601980665
PSEN1	NOTCH1	autocrine|paracrine	0.676791136021789
ACTR2	ADRB2	autocrine|paracrine	0.67559551383557
GNAI2	ADRA2A	autocrine|paracrine	0.674388446721072
FBN1	ITGA5	autocrine|paracrine	0.674314506687665
SORBS1	ITGA1	autocrine|paracrine	0.673114078076426
FN1	ITGA3	autocrine|paracrine	0.672900717239366
LTBP1	ITGB5	autocrine|paracrine	0.671713595692715
CTGF	LRP6	autocrine|paracrine	0.671630458680237
CALM3	PDE1A	autocrine|paracrine	0.670988553847662
PSAP	SORT1	autocrine|paracrine	0.670590731259446
MFNG	NOTCH1	autocrine|paracrine	0.670000652798977
GNAI2	PTPRU	autocrine|paracrine	0.66992895543637
ICAM4	ITGAV	autocrine|paracrine	0.669455276848512
ADM	GPR20	autocrine|paracrine	0.669415572348236
HSP90AA1	CFTR	autocrine|paracrine	0.669010730434719
PDGFB	ITGAV	autocrine|paracrine	0.666977799669243
GSTP1	TRAF2	autocrine|paracrine	0.666889478844403
THBS1	LRP1	autocrine|paracrine	0.664961076814316
LAMA3	ITGB1	autocrine|paracrine	0.663913148914818
DLL1	NOTCH2	autocrine|paracrine	0.660328537362323
HBEGF	EGFR	autocrine|paracrine	0.660314795708626
ARF1	INSR	autocrine|paracrine	0.659279452079079
BMP2	BMPR2	autocrine|paracrine	0.658357627196803
P4HB	GPR162	autocrine|paracrine	0.657547718060367
VEGFB	NRP1	autocrine|paracrine	0.65729461938213
ARPC5	ADRB2	autocrine|paracrine	0.656898115353301
CALM2	PDE1B	autocrine|paracrine	0.655745689172809
CALM3	EGFR	autocrine|paracrine	0.655446835812837
EFNB2	EPHB6	autocrine|paracrine	0.654577439912821
FN1	ITGA6	autocrine|paracrine	0.654539555843531
APP	TNFRSF21	autocrine|paracrine	0.654435764827728
SERPINE2	LRP1	autocrine|paracrine	0.653311977709859
NAMPT	INSR	autocrine|paracrine	0.653195070079649
CALM1	ABCA1	autocrine|paracrine	0.651001952736073
HLA-C	NOTCH4	autocrine|paracrine	0.6501505493396
UBA52	RIPK1	autocrine|paracrine	0.649727393154739
EFNA1	EPHB6	autocrine|paracrine	0.645565200395368
HMGB1	SDC1	autocrine|paracrine	0.644616351578488
TNC	ITGB1	autocrine|paracrine	0.644389368091623
MDK	ITGA6	autocrine|paracrine	0.643732902042709
PSEN1	NCSTN	autocrine|paracrine	0.643419799619341
FGB	ITGB1	autocrine|paracrine	0.643096340194471
CYR61	ITGA5	autocrine|paracrine	0.642784808608474
FN1	CD44	autocrine|paracrine	0.642097727851162
APOA4	LDLR	autocrine|paracrine	0.641468757586236
LAMC2	ITGB1	autocrine|paracrine	0.637309047788716
CALM2	INSR	autocrine|paracrine	0.636656185777126
LAMB3	ITGB1	autocrine|paracrine	0.636346232537362
PLAU	ITGB5	autocrine|paracrine	0.63586424923649
CTGF	ITGA5	autocrine|paracrine	0.635771385579642
P4HB	MTTP	autocrine|paracrine	0.635384520016632
PTMA	VIPR1	autocrine|paracrine	0.635255956052536
DUSP18	ITGB1	autocrine|paracrine	0.634571110347584
RTN4	RTN4R	autocrine|paracrine	0.634034665399003
TGFB1	TGFBR3	autocrine|paracrine	0.633191414599949
COL1A2	CD36	autocrine|paracrine	0.633015247182926
COL1A1	CD36	autocrine|paracrine	0.630957712512985
PLAU	LRP1	autocrine|paracrine	0.630542560436997
LAMA3	SDC2	autocrine|paracrine	0.62843738229826
EFNB1	ERBB2	autocrine|paracrine	0.628177611713391
CD14	ITGB1	autocrine|paracrine	0.627849631238818
CALR	ITGA3	autocrine|paracrine	0.626496855413057
CALM3	PDE1B	autocrine|paracrine	0.626485359882037
BST1	CAV1	autocrine|paracrine	0.623116154480718
TNFSF10	TNFRSF10D	autocrine|paracrine	0.623064671506272
SEMA4A	PLXND1	autocrine|paracrine	0.622668455341857
SEMA4A	PLXND1	autocrine|paracrine	0.622668455341857
ANXA1	ADRA2A	autocrine|paracrine	0.621151752000502
LAMC2	CD151	autocrine|paracrine	0.620624105245931
COL18A1	ITGA3	autocrine|paracrine	0.62006109792323
LAMB3	CD151	autocrine|paracrine	0.619643431958997
GNAS	VIPR1	autocrine|paracrine	0.619610450053737
SEMA3B	NRP1	autocrine|paracrine	0.618958214998022
HMGB1	THBD	autocrine|paracrine	0.618616493721903
COL4A1	CD93	autocrine|paracrine	0.618562628709844
DUSP18	CD151	autocrine|paracrine	0.617835742546039
APOA4	LRP1	autocrine|paracrine	0.616299435257666
NID1	PTPRF	autocrine|paracrine	0.615973144750557
MDK	SDC1	autocrine|paracrine	0.615873265200678
VEGFA	NRP1	autocrine|paracrine	0.615389397476435
APP	ADRA2A	autocrine|paracrine	0.6153475882869
PROS1	AXL	autocrine|paracrine	0.613150184981257
ADM	ADRB2	autocrine|paracrine	0.61218835735264
COL2A1	ITGB1	autocrine|paracrine	0.612124489155949
CALM2	PDE1C	autocrine|paracrine	0.612017275783783
SEMA3F	NRP1	autocrine|paracrine	0.610472683948217
ADM	PTH1R	autocrine|paracrine	0.610284571981572
B2M	CD3D	autocrine|paracrine	0.608792162722158
C3	CD81	autocrine|paracrine	0.608583995740079
CALM1	TRPC3	autocrine|paracrine	0.607895119653919
MADCAM1	CD44	autocrine|paracrine	0.606998122230845
CALM3	INSR	autocrine|paracrine	0.606746362453139
DCN	EGFR	autocrine|paracrine	0.605122949408077
SEMA6A	PLXNA2	autocrine|paracrine	0.60498480413333
KITLG	EPOR	autocrine|paracrine	0.604286646717576
PLAU	ITGAV	autocrine|paracrine	0.60214611119717
CALM1	SCTR	autocrine|paracrine	0.602076420674513
DUSP18	ITGA1	autocrine|paracrine	0.601791000233411
B2M	HLA-F	autocrine|paracrine	0.601627626805244
GDF9	FXYD6	autocrine|paracrine	0.600702568967971
THBS1	CD47	autocrine|paracrine	0.60033727731638
