Epithelial	Epithelial	interaction type	LRscore
LRPAP1	SORL1	autocrine	0.765908394675884
ARF1	INSR	autocrine	0.764285003625152
HLA-B	CANX	autocrine	0.762594290674089
ARPC5	LDLR	autocrine	0.760901371633684
CGN	OCLN	autocrine	0.76031781529387
LAMC2	ITGA6	autocrine	0.758700447855677
EREG	ERBB2	autocrine	0.758356900112306
CALM2	INSR	autocrine	0.758293800294048
COL6A1	ITGA6	autocrine	0.757197398155242
APOC3	LRP1	autocrine	0.755024025558838
RPS27A	RIPK1	autocrine	0.754463315247666
CGN	F11R	autocrine	0.754338906580382
LAMA3	SDC2	autocrine	0.754249678596182
UBC	RIPK1	autocrine	0.750547428768837
GUCA2A	GUCY2C	autocrine	0.750164473773681
APOA4	LRP1	autocrine	0.748392928325649
LAMA3	ITGA3	autocrine	0.745961109392163
DSC2	DSG2	autocrine	0.744914581828889
CALM1	MYLK	autocrine	0.744261403921837
NECTIN2	NECTIN3	autocrine	0.743918012529411
PSAP	LRP1	autocrine	0.743127428117288
CALM1	VIPR1	autocrine	0.742957509486453
LAMA3	ITGB4	autocrine	0.742383682639808
MDK	LRP1	autocrine	0.742122971822571
MDK	ITGA6	autocrine	0.741822933724531
GNAS	PTGDR	autocrine	0.740516276358984
C3	CD81	autocrine	0.739426318135973
LRPAP1	LRP1	autocrine	0.738084995926575
CDH1	LRP5	autocrine	0.737017942223192
APOE	SCARB1	autocrine	0.736737810086409
UBB	SMAD3	autocrine	0.734823853802117
GPC3	LRP1	autocrine	0.734476036501497
FBLN1	ITGB1	autocrine	0.733840084878235
HSPG2	ITGB1	autocrine	0.733743138872139
COL6A2	ITGB1	autocrine	0.731324917751835
TNFSF10	TNFRSF10B	autocrine	0.730980089139517
FGB	ITGB1	autocrine	0.73006029167958
NAMPT	INSR	autocrine	0.729890514374918
HBEGF	CD9	autocrine	0.729624537635295
TGM2	ITGB1	autocrine	0.729262419358199
SPINK1	EGFR	autocrine	0.728214239805099
CALR	ITGA3	autocrine	0.727014558922618
RPS27A	FGFR2	autocrine	0.726746958546886
UBA52	TGFBR2	autocrine	0.723652505177316
COL2A1	ITGB1	autocrine	0.723493749690911
HMGB1	SDC1	autocrine	0.723283742057123
UBC	FGFR2	autocrine	0.722551596610793
AGRN	ITGB1	autocrine	0.722427549486456
CDH1	IGF1R	autocrine	0.722139360780528
CALM3	INSR	autocrine	0.722130604341181
APOA2	LDLR	autocrine	0.722103829617615
FN1	ITGA6	autocrine	0.721973204175878
VTN	PLAUR	autocrine	0.721275895872045
JAG1	CD46	autocrine	0.720754299173189
APP	LRP1	autocrine	0.719849730984847
CALM2	MYLK	autocrine	0.719633414833304
RARRES2	CCRL2	autocrine	0.718142939780511
CALM1	EGFR	autocrine	0.717792024590745
APP	NCSTN	autocrine	0.717406281320476
MDK	SDC4	autocrine	0.717276964651901
GNAI2	EDNRB	autocrine	0.716879477597122
THBS1	ITGB1	autocrine	0.715115047348552
CALR	ITGAV	autocrine	0.713968354505844
LAMA5	BCAM	autocrine	0.713452497552984
LAMB1	ITGB1	autocrine	0.710829752923517
CTGF	LRP1	autocrine	0.709595373996024
UBA52	NOTCH1	autocrine	0.707358003621286
CD55	ADGRE5	autocrine	0.706588494453934
LAMB3	ITGA3	autocrine	0.704705703985668
GPC3	IGF1R	autocrine	0.703199990111514
UBA52	EGFR	autocrine	0.702991459023762
RTN4	GJB2	autocrine	0.701654679820361
AREG	EGFR	autocrine	0.701620716508217
LAMB3	ITGB4	autocrine	0.700780347557749
APP	CD74	autocrine	0.700564238217568
RPS27A	TGFBR1	autocrine	0.700236445922746
CALM1	PTPRA	autocrine	0.700205971577038
GSTP1	TRAF2	autocrine	0.698053929613624
COL1A1	ITGA2	autocrine	0.697955820789917
LAMB2	ITGB1	autocrine	0.69791109887677
LUM	ITGB1	autocrine	0.697315626401521
COL1A1	ITGAV	autocrine	0.696003894105291
UBC	TGFBR1	autocrine	0.695804427255179
APOC3	SDC2	autocrine	0.695431251682224
COL3A1	ITGA2	autocrine	0.694726760545851
FN1	ITGB8	autocrine	0.694071175381133
TIMP2	ITGB1	autocrine	0.693271952190746
LAMB3	ITGA2	autocrine	0.693016136010699
CALM2	EGFR	autocrine	0.69167100015949
LAMC2	ITGA3	autocrine	0.690607237619573
CLCF1	IL6ST	autocrine	0.687868940047283
SEMA6A	PLXNA2	autocrine	0.68742430449821
LAMC2	ITGB4	autocrine	0.686577822181895
SCT	VIPR1	autocrine	0.68566142994324
VCAN	ITGB1	autocrine	0.684504777718637
CYR61	CAV1	autocrine	0.684490032273245
COL1A2	ITGA2	autocrine	0.683960805470108
FABP5	RXRA	autocrine	0.683817422414034
UBB	RIPK1	autocrine	0.683448536107202
COL1A2	ITGAV	autocrine	0.68195964928223
PSEN1	NCSTN	autocrine	0.681461154244207
COL5A2	ITGB1	autocrine	0.681326759062752
CALM1	KCNN4	autocrine	0.680247872532747
CALM3	MYLK	autocrine	0.680125975892671
LAMA5	ITGB1	autocrine	0.680051327480878
APP	CAV1	autocrine	0.680039065619952
LAMC2	ITGA2	autocrine	0.678614092733551
DUSP18	RPSA	autocrine	0.67838398439511
HSPG2	LRP1	autocrine	0.677263080343515
COL6A1	ITGA2	autocrine	0.676824679158639
GNAI2	IGF1R	autocrine	0.675843825926836
COL5A1	ITGB1	autocrine	0.675211131524344
FN1	TNFRSF11B	autocrine	0.675014868039648
UBA52	SMAD3	autocrine	0.673833708640561
COL2A1	DDR1	autocrine	0.673692332064924
CDH1	EGFR	autocrine	0.673219883251244
SCT	RAMP2	autocrine	0.672904789433565
NPNT	ITGB1	autocrine	0.672819760376839
SPTAN1	PTPRA	autocrine	0.670597233624663
RTN4	RTN4R	autocrine	0.67025275526851
BMP2	BMPR2	autocrine	0.669733626670201
GNAI2	CAV1	autocrine	0.668152536634529
VEGFA	EGFR	autocrine	0.666962112114237
VEGFA	EPHB2	autocrine	0.666276628091117
VEGFA	TYRO3	autocrine	0.666193300041236
TNFSF10	TNFRSF11B	autocrine	0.665788705746717
VTN	ITGB1	autocrine	0.665073540162619
AGRN	LRP1	autocrine	0.664644225119074
CXCL12	ITGB1	autocrine	0.664207850876276
MDK	SDC1	autocrine	0.662530673265784
VEGFA	ITGAV	autocrine	0.662105948099959
CDH1	ITGAE	autocrine	0.661997668479631
RPS27A	LRP2	autocrine	0.659758731882603
TFPI	LRP1	autocrine	0.659662356809281
SEMA4G	PLXNB2	autocrine	0.659454204007498
LAMC1	ITGB1	autocrine	0.658889038280529
FN1	SDC2	autocrine	0.658335095022324
ADAM9	ITGB1	autocrine	0.658217235092772
THBS1	LRP1	autocrine	0.656533191408845
THBS1	ITGA6	autocrine	0.656179706350468
TNFSF12	TNFRSF12A	autocrine	0.656170506566254
C3	CD46	autocrine	0.655164684277811
UBC	LRP2	autocrine	0.655023086655472
EFNA1	EPHA1	autocrine	0.654768545247817
COL6A3	ITGB1	autocrine	0.653775605295551
APOB	LRP6	autocrine	0.651910186191429
LAMB1	ITGA6	autocrine	0.651439999453563
UBB	FGFR2	autocrine	0.651419658623271
EFNB1	ERBB2	autocrine	0.651163976809168
VIM	CD44	autocrine	0.650409701137377
CALM3	EGFR	autocrine	0.650138909252782
PLAU	ST14	autocrine	0.649875923464407
COL16A1	ITGB1	autocrine	0.6498404306054
LYPD3	AGR2	autocrine	0.648598005912183
FN1	ITGA3	autocrine	0.648319909075138
RPS27A	ADRB2	autocrine	0.647233297002753
PLAU	PLAUR	autocrine	0.647206548496056
FGG	ITGB1	autocrine	0.646698051507939
TGM2	SDC4	autocrine	0.643908878174909
GNAS	ADCY9	autocrine	0.643579017560186
TGM2	ADGRG1	autocrine	0.643472597237515
FGA	PLAUR	autocrine	0.642871772523515
UBC	ADRB2	autocrine	0.642417804412868
MFAP2	NOTCH1	autocrine	0.639815479141119
HBEGF	ERBB2	autocrine	0.639691008341885
CYR61	ITGB5	autocrine	0.638945005195384
THBS1	LRP5	autocrine	0.638403426605257
CXCL12	ACKR3	autocrine	0.637849587444766
COL4A1	ITGB1	autocrine	0.637458127866863
ADM	VIPR1	autocrine	0.636659025169651
FN1	ITGA2	autocrine	0.635552600962309
CYR61	ITGAV	autocrine	0.635360086426874
CGN	TGFBR2	autocrine	0.633489244632279
RPS19	C5AR1	autocrine	0.633424663554583
FN1	ITGAV	autocrine	0.633409213959666
LEFTY1	ACVR1B	autocrine	0.63336516958061
FN1	IL17RC	autocrine	0.633134466027968
EFNA4	EPHA2	autocrine	0.631384326006879
TFPI	SDC4	autocrine	0.630823698379973
PTN	PLXNB2	autocrine	0.63082327767199
COL1A1	ITGA1	autocrine	0.630593930118716
PSAP	SORT1	autocrine	0.628748093945689
COL5A2	DDR1	autocrine	0.627837339348254
THBS1	SDC4	autocrine	0.627579076325205
APOA1	LRP2	autocrine	0.627426434527273
EFNB2	EPHB2	autocrine	0.625433120438668
GNAI2	EGFR	autocrine	0.623028489615207
ADM	RAMP2	autocrine	0.623007146191319
LRPAP1	SORT1	autocrine	0.622600655044239
GNAS	ADCY7	autocrine	0.622200278587078
APOC2	LDLR	autocrine	0.621635159521861
F10	F3	autocrine	0.621613631602094
UBB	TGFBR1	autocrine	0.62140812241486
EREG	EGFR	autocrine	0.620525120433436
APP	TNFRSF21	autocrine	0.619186213005521
LAMA5	ITGA6	autocrine	0.617739670548554
UBA52	RIPK1	autocrine	0.616804077850265
CALM1	KCNQ1	autocrine	0.616158374961581
COL1A2	ITGA1	autocrine	0.615198529023533
GPC6	LRP1	autocrine	0.614726303837454
FGF9	FGFR3	autocrine	0.614439874836638
APOA2	LRP1	autocrine	0.613630581851862
COL18A1	ITGB1	autocrine	0.612646832026455
CALM1	ABCA1	autocrine	0.611516690364294
CALM1	SCTR	autocrine	0.611279294385672
PCSK9	LDLR	autocrine	0.610108268466533
ICAM1	IL2RG	autocrine	0.608301263387144
NID1	PTPRF	autocrine	0.60741203236752
COL6A1	ITGA1	autocrine	0.607400988966185
THBS1	CD47	autocrine	0.604653036008567
THBS1	TNFRSF11B	autocrine	0.604200979400898
DCN	EGFR	autocrine	0.602557830278685
THBS1	SCARB1	autocrine	0.600582723047854
PSEN1	NOTCH1	autocrine	0.600224037199095
VEGFA	SIRPA	autocrine	0.600117775847917
