Immune	Neural	interaction type	LRscore
ARF1	CHRM3	autocrine|paracrine	0.651850435901954
FABP5	RXRA	autocrine|paracrine	0.651691804319124
EDN1	EDNRB	autocrine|paracrine	0.650919280947865
COL5A1	SDC3	autocrine|paracrine	0.650568583356154
MFAP2	NOTCH1	autocrine|paracrine	0.649221843609623
PSEN1	NCSTN	autocrine|paracrine	0.648427829219481
SERPINA1	LRP1	autocrine|paracrine	0.646723787375388
APP	NGFR	autocrine|paracrine	0.64346248110958
MMP2	SDC2	autocrine|paracrine	0.641838562753988
MUC2	AGR2	autocrine|paracrine	0.641558593111674
HMGB1	SDC1	autocrine|paracrine	0.640166001966434
MMP9	LRP1	autocrine|paracrine	0.639212869928534
TGM2	ITGB1	autocrine|paracrine	0.638516747993269
HBEGF	CD44	autocrine|paracrine	0.637232186095719
APOC3	SDC2	autocrine|paracrine	0.634703413330319
UBC	FGFR2	autocrine|paracrine	0.633632889250015
RPS27A	FGFR2	autocrine|paracrine	0.633324728144514
TGFB1	TGFBR3	autocrine|paracrine	0.63228620156837
COL5A2	ITGA1	autocrine|paracrine	0.631269857341356
APOB	LRP6	autocrine|paracrine	0.630426655718215
PSEN1	NOTCH2	autocrine|paracrine	0.630322180955267
COL4A1	ITGA1	autocrine|paracrine	0.63010530650512
UBA52	ACVR1	autocrine|paracrine	0.629838375821463
THBS1	ITGA6	autocrine|paracrine	0.629424796024674
GNAI2	S1PR3	autocrine|paracrine	0.625148370929271
UBC	ADRB2	autocrine|paracrine	0.625089921033707
RPS27A	ADRB2	autocrine|paracrine	0.624778829408626
LRPAP1	SORL1	autocrine|paracrine	0.624520888512529
THBS1	LRP1	autocrine|paracrine	0.621507583962526
APOC3	LDLR	autocrine|paracrine	0.62141437565433
COL4A1	CD47	autocrine|paracrine	0.619547704395181
SCT	RAMP2	autocrine|paracrine	0.619150440159403
HMGB1	THBD	autocrine|paracrine	0.618789490277533
ARPC5	LDLR	autocrine|paracrine	0.617349628505326
APP	CAV1	autocrine|paracrine	0.616841353766179
VCAN	CD44	autocrine|paracrine	0.61663716155058
NECTIN2	NECTIN3	autocrine|paracrine	0.616395899045301
SPP1	ITGB1	autocrine|paracrine	0.614231732123887
LAMC1	ITGB1	autocrine|paracrine	0.614116388592301
APOC3	LRP1	autocrine|paracrine	0.612829586333317
PRND	RPSA	autocrine|paracrine	0.612051797435319
UBA52	RIPK1	autocrine|paracrine	0.611252502178984
PSAP	SORT1	autocrine|paracrine	0.608896828448854
HSPG2	ITGB1	autocrine|paracrine	0.607502114068332
COL6A1	ITGA6	autocrine|paracrine	0.605581611454344
PLAU	LRP1	autocrine|paracrine	0.605306322914724
LAMB1	ITGB1	autocrine|paracrine	0.604521894064708
ADAM10	NOTCH1	autocrine|paracrine	0.602886671863124
PTN	PLXNB2	autocrine|paracrine	0.602583074558315
LAMB2	ITGB1	autocrine|paracrine	0.60231129886337
GNAI2	EDNRA	autocrine|paracrine	0.60185688203388
ADAM15	ITGB1	autocrine|paracrine	0.600447854006883
