Neural	Myofibroblast_Mesothelium	interaction type	LRscore
APP	CD74	autocrine|paracrine	0.820422648614047
GPC3	CD81	autocrine|paracrine	0.82002288079921
APOA1	LDLR	autocrine|paracrine	0.819588605372211
COL16A1	ITGB1	autocrine|paracrine	0.819534954301153
UBA52	ERBB2	autocrine|paracrine	0.819424683554629
COL1A1	ITGA5	autocrine|paracrine	0.817953608286775
COL1A2	ITGAV	autocrine|paracrine	0.816092240303988
UBB	TGFBR2	autocrine|paracrine	0.812559254173084
LAMB2	ITGB1	autocrine|paracrine	0.811300590252432
UBA52	LDLR	autocrine|paracrine	0.811214867204328
UBB	FGFR2	autocrine|paracrine	0.81081620760585
TGFB1	CAV1	autocrine|paracrine	0.810265161319025
COL18A1	ITGA5	autocrine|paracrine	0.810124148951485
COL1A1	ITGAV	autocrine|paracrine	0.810084525737291
COL3A1	DDR2	autocrine|paracrine	0.810018369499807
CXCL12	ITGB1	autocrine|paracrine	0.808861911475279
TGFB1	ITGB1	autocrine|paracrine	0.808647683977154
COL18A1	ITGB5	autocrine|paracrine	0.808186667775571
LAMB1	ITGB1	autocrine|paracrine	0.807379646353368
HSP90AA1	EGFR	autocrine|paracrine	0.80705147999818
COL18A1	GPC1	autocrine|paracrine	0.806358900911134
CXCL12	ACKR3	autocrine|paracrine	0.804772181062706
SERPINE2	LRP1	autocrine|paracrine	0.803698499455253
PTN	PLXNB2	autocrine|paracrine	0.802703648925122
UBC	TGFBR1	autocrine|paracrine	0.802188593977765
COL9A2	ITGB1	autocrine|paracrine	0.799642323428256
APP	GPC1	autocrine|paracrine	0.798531616042212
CALM1	PTPRA	autocrine|paracrine	0.798491034422595
HRAS	CAV1	autocrine|paracrine	0.797237515521463
FYN	THY1	autocrine|paracrine	0.796773689467985
LAMC1	ITGB1	autocrine|paracrine	0.79673345797702
COL6A3	ITGB1	autocrine|paracrine	0.79644166484756
COL2A1	ITGB1	autocrine|paracrine	0.795932584651492
LUM	ITGB1	autocrine|paracrine	0.79574122093209
SERPINA1	LRP1	autocrine|paracrine	0.793714937383566
VEGFA	ITGB1	autocrine|paracrine	0.793524501869555
GNAS	ADCY9	autocrine|paracrine	0.792880772015962
FABP5	RXRA	autocrine|paracrine	0.789807800509813
FN1	SDC2	autocrine|paracrine	0.789610944039215
CALM1	PDE1A	autocrine|paracrine	0.789049377978268
AGRN	LRP1	autocrine|paracrine	0.78880422441256
UBB	TGFBR1	autocrine|paracrine	0.788399994900492
CYR61	ITGA5	autocrine|paracrine	0.78763927721473
COL5A2	ITGA1	autocrine|paracrine	0.786661328638696
RPS27A	SMAD3	autocrine|paracrine	0.786624748958885
SPP1	ITGB1	autocrine|paracrine	0.785723245760339
CYR61	ITGB5	autocrine|paracrine	0.785533100721915
LRPAP1	LRP1	autocrine|paracrine	0.785428603551895
COL6A1	ITGA1	autocrine|paracrine	0.784571549935993
MDK	SDC3	autocrine|paracrine	0.782798479385064
APOC3	SDC2	autocrine|paracrine	0.782338629927813
CALM2	PDE1A	autocrine|paracrine	0.782104771246626
CTGF	LRP1	autocrine|paracrine	0.781684402285514
PKM	CD44	autocrine|paracrine	0.781667629426669
RPS27A	RIPK1	autocrine|paracrine	0.778891315580177
CYR61	ITGAV	autocrine|paracrine	0.778814175249489
LAMA2	RPSA	autocrine|paracrine	0.777618755863749
FBN1	ITGB1	autocrine|paracrine	0.775155400670968
APOC3	LRP1	autocrine|paracrine	0.773593749945059
MDK	ITGA6	autocrine|paracrine	0.773115658499409
HSPG2	LRP1	autocrine|paracrine	0.769822497913767
TNC	ITGB1	autocrine|paracrine	0.769282995356655
TIMP3	AGTR2	autocrine|paracrine	0.769282111152943
UBA52	TGFBR2	autocrine|paracrine	0.768623283471328
UBA52	FGFR2	autocrine|paracrine	0.766589031153991
HSP90AA1	FGFR3	autocrine|paracrine	0.765462724706423
UBA52	ACVR1	autocrine|paracrine	0.764395774977479
GNAI2	EDNRB	autocrine|paracrine	0.764330391319567
L1CAM	ERBB2	autocrine|paracrine	0.76399404719228
MDK	SDC1	autocrine|paracrine	0.762169019994373
APOE	LRP5	autocrine|paracrine	0.762143221610979
COL1A1	DDR1	autocrine|paracrine	0.761111501626065
COL6A2	ITGA1	autocrine|paracrine	0.760899170522458
TGFB1	SDC2	autocrine|paracrine	0.760728417098712
GNAS	PTGIR	autocrine|paracrine	0.759546318079768
JAM3	ITGB1	autocrine|paracrine	0.759415439581557
CALM1	EGFR	autocrine|paracrine	0.757773296874923
HLA-B	CANX	autocrine|paracrine	0.757762354360591
CALR	ITGAV	autocrine|paracrine	0.755147253522503
FN1	ITGA8	autocrine|paracrine	0.754509758043219
HLA-A	ERBB2	autocrine|paracrine	0.752775121463344
SPTAN1	PTPRA	autocrine|paracrine	0.752573380846829
CALM2	EGFR	autocrine|paracrine	0.750125124956167
UBC	SMAD3	autocrine|paracrine	0.749653692451193
VIP	RAMP2	autocrine|paracrine	0.748454973079458
LAMA5	ITGB1	autocrine|paracrine	0.747114494749785
GNAI2	UNC5B	autocrine|paracrine	0.74669399467694
B2M	TFRC	autocrine|paracrine	0.745790517565504
UBA52	EGFR	autocrine|paracrine	0.745599445749157
NCAM1	GFRA1	autocrine|paracrine	0.745417215714551
HRAS	SDC2	autocrine|paracrine	0.745368346870829
VCAN	CD44	autocrine|paracrine	0.74333264628491
PDGFB	PDGFRA	autocrine|paracrine	0.743144441284804
UBA52	NOTCH1	autocrine|paracrine	0.742953596370834
HMGB1	SDC1	autocrine|paracrine	0.741650898353262
MDK	ITGA4	autocrine|paracrine	0.741362526329358
UBC	RIPK1	autocrine|paracrine	0.741021454286709
UBA52	TGFBR1	autocrine|paracrine	0.740608868336253
LAMA2	ITGB1	autocrine|paracrine	0.740579728717239
COL5A1	ITGA1	autocrine|paracrine	0.738412534958509
ARPC5	LDLR	autocrine|paracrine	0.737489801911369
NCAM1	ROBO1	autocrine|paracrine	0.736383269401858
GNAI2	AGTR2	autocrine|paracrine	0.736132090781031
UBB	SMAD3	autocrine|paracrine	0.73342004291778
IGFBP4	FZD8	autocrine|paracrine	0.731740977697321
NCAM1	FGFR1	autocrine|paracrine	0.731673201940765
ICAM1	CAV1	autocrine|paracrine	0.72827847292903
GPC6	LRP1	autocrine|paracrine	0.727719652421352
SERPING1	LRP1	autocrine|paracrine	0.726802926590544
NID1	COL13A1	autocrine|paracrine	0.726548013888925
GNAI2	IGF1R	autocrine|paracrine	0.72591799891538
UBB	RIPK1	autocrine|paracrine	0.724433810499373
PDAP1	PDGFRB	autocrine|paracrine	0.723199185536478
COL4A1	ITGA1	autocrine|paracrine	0.722995103306848
NCAM1	PTPRA	autocrine|paracrine	0.722475961374211
OLFM2	ROBO2	autocrine|paracrine	0.721518219734939
L1CAM	ITGA5	autocrine|paracrine	0.721105831232274
PDGFA	PDGFRA	autocrine|paracrine	0.718815453037462
APOE	VLDLR	autocrine|paracrine	0.716463888413623
LRPAP1	LDLR	autocrine|paracrine	0.716363608606852
CALM3	PDE1A	autocrine|paracrine	0.714336002730711
GNAI2	EGFR	autocrine|paracrine	0.712954427360256
ADAM15	ITGB1	autocrine|paracrine	0.711757545866092
PDGFB	LRP1	autocrine|paracrine	0.711322725428003
COL3A1	DDR1	autocrine|paracrine	0.71092142195857
L1CAM	ITGAV	autocrine|paracrine	0.71053194263941
IGFBP4	LRP6	autocrine|paracrine	0.710187000899568
BCAN	EGFR	autocrine|paracrine	0.709047159117539
MDK	SDC4	autocrine|paracrine	0.70829415635272
CALM1	INSR	autocrine|paracrine	0.708245068083383
LAMA1	RPSA	autocrine|paracrine	0.706072965245161
NID1	ITGAV	autocrine|paracrine	0.704407354846225
COL4A1	CD47	autocrine|paracrine	0.702273466322208
APOC3	LDLR	autocrine|paracrine	0.702163927981693
VIP	PTH1R	autocrine|paracrine	0.702130660045108
ADAM9	ITGB1	autocrine|paracrine	0.701986147084661
HBEGF	CD9	autocrine|paracrine	0.701676949561103
RTN4	RTN4R	autocrine|paracrine	0.701302588656368
L1CAM	FGFR2	autocrine|paracrine	0.700860441405578
LAMA3	ITGB1	autocrine|paracrine	0.700216762254164
JAG1	CD46	autocrine|paracrine	0.699918530415743
CALM2	INSR	autocrine|paracrine	0.699652900158727
HSP90B1	ASGR1	autocrine|paracrine	0.699255155905275
APOE	SCARB1	autocrine|paracrine	0.697409042311002
NCAM1	FGFR2	autocrine|paracrine	0.697256730960057
ACTR2	LDLR	autocrine|paracrine	0.694519033143355
SEMA3B	NRP1	autocrine|paracrine	0.694499415172996
CALCB	RAMP2	autocrine|paracrine	0.694393251585055
TGFB1	ENG	autocrine|paracrine	0.693939910289955
TIMP3	ADAM17	autocrine|paracrine	0.693326367613633
CALM1	FAS	autocrine|paracrine	0.693194880766772
ADAM17	ITGB1	autocrine|paracrine	0.690946607636394
CALM1	CACNA1C	autocrine|paracrine	0.690346890687746
LPL	LRP1	autocrine|paracrine	0.690281181828647
RTN4	LINGO1	autocrine|paracrine	0.689644092621902
VCAN	EGFR	autocrine|paracrine	0.688997740366329
TGFB1	TGFBR3	autocrine|paracrine	0.688348812890139
FN1	COL13A1	autocrine|paracrine	0.68728556090044
GNAI2	EDNRA	autocrine|paracrine	0.687248553301856
THBS1	ITGB1	autocrine|paracrine	0.687075974270542
FN1	CD44	autocrine|paracrine	0.687001559526163
NECTIN2	NECTIN3	autocrine|paracrine	0.686798173097724
COL11A1	ITGB1	autocrine|paracrine	0.685696208747296
COL5A2	DDR1	autocrine|paracrine	0.683951661714033
A2M	LRP1	autocrine|paracrine	0.682768284191087
CALM2	CACNA1C	autocrine|paracrine	0.681464687317581
MDK	TSPAN1	autocrine|paracrine	0.680871886119726
UBA52	SMAD3	autocrine|paracrine	0.678278580204745
LAMB1	ITGA1	autocrine|paracrine	0.678246450600139
FN1	IL17RC	autocrine|paracrine	0.677454028260898
CALM3	EGFR	autocrine|paracrine	0.676523896140077
L1CAM	EGFR	autocrine|paracrine	0.676454831028747
CTGF	ITGA5	autocrine|paracrine	0.675725980058244
GNAI2	ADCY9	autocrine|paracrine	0.675666715988823
PTN	SDC3	autocrine|paracrine	0.675095184424087
FN1	ITGA5	autocrine|paracrine	0.674945699724343
HSPG2	COL13A1	autocrine|paracrine	0.673227260168145
COL4A2	ITGB5	autocrine|paracrine	0.672656263646506
TNC	ITGA8	autocrine|paracrine	0.672590794860986
RGMB	BMPR2	autocrine|paracrine	0.672315510472183
COL4A1	ITGAV	autocrine|paracrine	0.672214699765527
GNAI2	S1PR3	autocrine|paracrine	0.6701523137601
VCAM1	ITGB1	autocrine|paracrine	0.668310925767113
UBA52	RIPK1	autocrine|paracrine	0.668274292487396
GPC3	LRP1	autocrine|paracrine	0.666815085490336
FN1	ITGAV	autocrine|paracrine	0.663438535813502
LAMC1	ITGA1	autocrine|paracrine	0.663438234004999
COL6A3	ITGA1	autocrine|paracrine	0.663036020089753
APOA4	LRP1	autocrine|paracrine	0.662616516596286
COL2A1	ITGA1	autocrine|paracrine	0.662334755271039
LAMA1	ITGB1	autocrine|paracrine	0.662292633025395
CALM1	ABCA1	autocrine|paracrine	0.661941077302637
BST1	CAV1	autocrine|paracrine	0.661602888903855
CALM1	PDE1C	autocrine|paracrine	0.658720253699913
ARF1	INSR	autocrine|paracrine	0.65710893903802
COL6A1	ITGA6	autocrine|paracrine	0.656968959743816
CALCA	RAMP2	autocrine|paracrine	0.656254666887815
TGFB2	ENG	autocrine|paracrine	0.654299569476073
RGMB	NEO1	autocrine|paracrine	0.653296699228746
ANXA1	EGFR	autocrine|paracrine	0.65325532857103
LTBP3	ITGB5	autocrine|paracrine	0.652940187807662
CALM2	ABCA1	autocrine|paracrine	0.652654036727099
LAMA4	ITGAV	autocrine|paracrine	0.651941712612124
GSTP1	TRAF2	autocrine|paracrine	0.651523242095962
CALM2	PDE1C	autocrine|paracrine	0.649391597419946
PTN	SDC1	autocrine|paracrine	0.648825331613975
VIP	GPR20	autocrine|paracrine	0.648531173716693
TGFB2	TGFBR3	autocrine|paracrine	0.648351280183769
COL9A1	ITGB1	autocrine|paracrine	0.647311726998803
L1CAM	EPHB2	autocrine|paracrine	0.646622996861911
DCN	EGFR	autocrine|paracrine	0.644268190666567
MDK	GPC2	autocrine|paracrine	0.644058171792005
CALCB	PTH1R	autocrine|paracrine	0.642863612717767
VCL	ITGB5	autocrine|paracrine	0.642240579984417
RELN	ITGB1	autocrine|paracrine	0.641638747375649
DUSP18	RPSA	autocrine|paracrine	0.64040035277014
EFEMP2	PLSCR4	autocrine|paracrine	0.638373242054263
GNAS	ADCY7	autocrine|paracrine	0.63830711300545
LAMA3	SDC2	autocrine|paracrine	0.637322187342073
SEMA3C	PLXND1	autocrine|paracrine	0.636703620699377
VEGFB	TYRO3	autocrine|paracrine	0.636583142789647
NID1	PTPRF	autocrine|paracrine	0.635007361801601
THBS2	ITGB1	autocrine|paracrine	0.634915056595805
TGFB1	ITGB5	autocrine|paracrine	0.634643217288606
PSEN1	NCSTN	autocrine|paracrine	0.631309672429266
PDGFB	PDGFRB	autocrine|paracrine	0.63048839929701
AGRN	LRP4	autocrine|paracrine	0.630216635262728
MFAP2	NOTCH1	autocrine|paracrine	0.629718536872272
TGFB1	ACVRL1	autocrine|paracrine	0.627747661744359
HBEGF	ERBB2	autocrine|paracrine	0.627295563481367
SFRP1	FZD2	autocrine|paracrine	0.627254247733223
APOE	SORL1	autocrine|paracrine	0.626724178133497
FN1	PLAUR	autocrine|paracrine	0.626661383551242
TGFB1	ITGAV	autocrine|paracrine	0.625451085791468
SEMA3B	NRP2	autocrine|paracrine	0.624966677837925
SEMA4A	PLXNB2	autocrine|paracrine	0.623980778393456
LAMB1	ITGAV	autocrine|paracrine	0.623534229909288
EFNB2	EPHB3	autocrine|paracrine	0.622799543315153
LTBP1	ITGB5	autocrine|paracrine	0.620947831288957
CALM3	INSR	autocrine|paracrine	0.618741120083575
ARF1	PLD2	autocrine|paracrine	0.618279239277887
TFPI	LRP1	autocrine|paracrine	0.617617788069981
SPP1	CD44	autocrine|paracrine	0.617351760216896
TGFB1	TGFBR2	autocrine|paracrine	0.61717720653609
CTGF	LRP6	autocrine|paracrine	0.616624068398646
SEMA4C	PLXNB2	autocrine|paracrine	0.616456541526293
TGM2	ITGB1	autocrine|paracrine	0.616240988498743
JAG1	NOTCH2	autocrine|paracrine	0.615161711689613
HMGB1	THBD	autocrine|paracrine	0.614982817133903
APOB	LRP1	autocrine|paracrine	0.614774866904336
VEGFB	NRP1	autocrine|paracrine	0.613530422207341
THBS1	LRP1	autocrine|paracrine	0.610944319663332
COL5A1	SDC3	autocrine|paracrine	0.610901277856462
GNAS	PTGDR	autocrine|paracrine	0.610617972158802
COL4A5	ITGB1	autocrine|paracrine	0.609614660631552
VEGFA	GPC1	autocrine|paracrine	0.60956792439056
SCT	RAMP2	autocrine|paracrine	0.6076804012926
LAMC1	ITGAV	autocrine|paracrine	0.607664544883915
FGF2	SDC2	autocrine|paracrine	0.606835847811195
PSEN1	CD44	autocrine|paracrine	0.606276948422247
MFGE8	PDGFRB	autocrine|paracrine	0.605052787840385
SPP1	ITGA5	autocrine|paracrine	0.604158926248842
EFNB1	ERBB2	autocrine|paracrine	0.604153663792077
LAMB3	ITGB1	autocrine|paracrine	0.603114428973966
VEGFA	ITGAV	autocrine|paracrine	0.60295821559266
CALCA	PTH1R	autocrine|paracrine	0.601980341527161
PDGFA	PDGFRB	autocrine|paracrine	0.60121484554588
SPP1	ITGB5	autocrine|paracrine	0.601154489762751
TGS1	RXRA	autocrine|paracrine	0.601031404847207
