Neural	Epithelial	interaction type	LRscore
CALM1	KCNN4	autocrine|paracrine	0.71505956219327
UBB	RIPK1	autocrine|paracrine	0.713832672244429
COL9A2	ITGB1	autocrine|paracrine	0.713609716146374
AGRN	LRP1	autocrine|paracrine	0.712873021878035
CALR	ITGAV	autocrine|paracrine	0.711407529413205
UBA52	SMAD3	autocrine|paracrine	0.710429428005247
TNFSF12	TNFRSF12A	autocrine|paracrine	0.710355432081376
LAMC1	ITGB1	autocrine|paracrine	0.709904930682664
COL6A3	ITGB1	autocrine|paracrine	0.709533935124463
COL2A1	ITGB1	autocrine|paracrine	0.708886951317326
LRPAP1	LRP1	autocrine|paracrine	0.70873190293585
LUM	ITGB1	autocrine|paracrine	0.708643840785787
PTN	SDC1	autocrine|paracrine	0.7066784438249
VEGFA	ITGB1	autocrine|paracrine	0.705831326634995
MUC2	AGR2	autocrine|paracrine	0.705286075694824
GNAI2	EGFR	autocrine|paracrine	0.704324456962298
CTGF	LRP1	autocrine|paracrine	0.704153477361276
FN1	ITGA6	autocrine|paracrine	0.703084518546658
HLA-C	DDR1	autocrine|paracrine	0.702926367579644
NAMPT	INSR	autocrine|paracrine	0.702846335732879
CXCL12	ACKR3	autocrine|paracrine	0.701718045076584
UBC	FGFR2	autocrine|paracrine	0.70149215332482
BCAN	EGFR	autocrine|paracrine	0.700349089989711
TF	LDLR	autocrine|paracrine	0.69986322632002
COL6A1	ITGA2	autocrine|paracrine	0.697743780872324
GNAS	ADCY9	autocrine|paracrine	0.696882629051234
TIMP3	ADAM17	autocrine|paracrine	0.696693149515509
CALM3	MYLK	autocrine|paracrine	0.696512088742918
SPP1	ITGB1	autocrine|paracrine	0.695986151832083
APOC3	LRP1	autocrine|paracrine	0.694313191660692
LAMA4	ITGA6	autocrine|paracrine	0.692313901360743
GSTP1	TRAF2	autocrine|paracrine	0.691905160085285
LAMA1	RPSA	autocrine|paracrine	0.691861145362479
VCAM1	EZR	autocrine|paracrine	0.690092830196287
HSPG2	LRP1	autocrine|paracrine	0.689750978539991
COL1A1	DDR2	autocrine|paracrine	0.688378147903404
RARRES2	CCRL2	autocrine|paracrine	0.687629883777381
NECTIN2	NECTIN3	autocrine|paracrine	0.685559825240847
LAMA5	BCAM	autocrine|paracrine	0.683608660486666
UBB	FGFR2	autocrine|paracrine	0.683454195512025
FBN1	ITGB1	autocrine|paracrine	0.682779389224763
COL4A1	ITGB8	autocrine|paracrine	0.682772955138902
APOA4	LDLR	autocrine|paracrine	0.681124551368625
VCAN	EGFR	autocrine|paracrine	0.679970822186649
AREG	ERBB3	autocrine|paracrine	0.67919436677177
SPTAN1	PTPRA	autocrine|paracrine	0.678949426440482
GNAS	ADCY7	autocrine|paracrine	0.677096979057616
COL1A2	CD44	autocrine|paracrine	0.676407836222518
EFNA1	EPHA2	autocrine|paracrine	0.676082971949893
TNC	ITGB1	autocrine|paracrine	0.675504322858781
FN1	ITGB8	autocrine|paracrine	0.674142445571571
UBC	TGFBR1	autocrine|paracrine	0.673631792469034
FGF13	FGFR3	autocrine|paracrine	0.672974264121817
TIMP2	ITGA3	autocrine|paracrine	0.67285451090645
COL18A1	GPC4	autocrine|paracrine	0.672637997717331
NID1	ITGA3	autocrine|paracrine	0.67021120870292
COL6A2	ITGA2	autocrine|paracrine	0.668560912719656
PSAP	SORT1	autocrine|paracrine	0.668297690605522
COL1A1	CD44	autocrine|paracrine	0.667695089712739
CALM3	EGFR	autocrine|paracrine	0.667309744516419
L1CAM	EGFR	autocrine|paracrine	0.667239679753676
HBEGF	ERBB2	autocrine|paracrine	0.66676074917706
L1CAM	EPHB2	autocrine|paracrine	0.666554481416457
RPS27A	ADRB2	autocrine|paracrine	0.666204036801853
LAMB1	ITGA6	autocrine|paracrine	0.665510894550511
COL4A1	CD47	autocrine|paracrine	0.66377632144181
JAM3	ITGB1	autocrine|paracrine	0.663380977086311
L1CAM	ITGAV	autocrine|paracrine	0.662385514321109
IGFBP4	LRP6	autocrine|paracrine	0.659502812191228
GNAI2	F2R	autocrine|paracrine	0.65778417660908
COL2A1	DDR1	autocrine|paracrine	0.657699409631492
UBA52	RIPK1	autocrine|paracrine	0.656536985291167
NID1	ITGAV	autocrine|paracrine	0.65573581038394
UBB	TGFBR1	autocrine|paracrine	0.654738911021629
CALM1	KCNQ1	autocrine|paracrine	0.65440266193503
RTN4	RTN4R	autocrine|paracrine	0.6524235467206
NRG2	ERBB3	autocrine|paracrine	0.650667353305331
LAMC1	ITGA6	autocrine|paracrine	0.650418648499181
VIP	VIPR1	autocrine|paracrine	0.650246396743857
CALM1	ABCA1	autocrine|paracrine	0.649960721368727
LAMA5	ITGB1	autocrine|paracrine	0.648442925088531
CALM2	KCNQ1	autocrine|paracrine	0.645019586612535
EFNB1	ERBB2	autocrine|paracrine	0.64468129909068
NCAM1	PTPRA	autocrine|paracrine	0.644131155955285
SHBG	CLDN4	autocrine|paracrine	0.643952676395819
ANXA1	EGFR	autocrine|paracrine	0.643727421998868
BTC	ERBB3	autocrine|paracrine	0.643248340882067
EFNA5	EPHA2	autocrine|paracrine	0.643205292393927
RPS19	C5AR1	autocrine|paracrine	0.64239204742055
LAMA2	ITGB1	autocrine|paracrine	0.640585017726634
CALM2	ABCA1	autocrine|paracrine	0.640523294050448
GPC6	LRP1	autocrine|paracrine	0.63985383654204
CXCL12	SDC4	autocrine|paracrine	0.639464185338943
GNAI2	PTPRU	autocrine|paracrine	0.639147936200013
SERPING1	LRP1	autocrine|paracrine	0.638788118967543
FN1	SDC2	autocrine|paracrine	0.637294965555714
HRAS	INSR	autocrine|paracrine	0.637215038655197
VIP	RAMP2	autocrine|paracrine	0.636813808759488
TGFB1	ITGB8	autocrine|paracrine	0.636701560169334
RGMB	NEO1	autocrine|paracrine	0.636186294540408
DCN	EGFR	autocrine|paracrine	0.634631454285772
APOB	LDLR	autocrine|paracrine	0.63445955370834
COL5A2	ITGA1	autocrine|paracrine	0.633246077565851
SPINT1	ST14	autocrine|paracrine	0.63262663126671
COL6A1	ITGA1	autocrine|paracrine	0.630359645589237
COL3A1	DDR2	autocrine|paracrine	0.630328952586509
MFAP2	NOTCH1	autocrine|paracrine	0.62810926018967
UBA52	ACVR1	autocrine|paracrine	0.62791122842075
APOC3	SDC2	autocrine|paracrine	0.627243156631358
FN1	ITGA3	autocrine|paracrine	0.627012457918181
APOB	LSR	autocrine|paracrine	0.626457373422041
COL1A2	CD36	autocrine|paracrine	0.625079548083219
DUSP18	RPSA	autocrine|paracrine	0.624700967215777
TGFB1	CAV1	autocrine|paracrine	0.624320404962443
UBA52	FGFR2	autocrine|paracrine	0.623286046362867
COL4A1	ITGA2	autocrine|paracrine	0.623266281164731
VEGFB	TYRO3	autocrine|paracrine	0.62311491300881
PSEN1	NCSTN	autocrine|paracrine	0.621768948174668
COL4A1	ITGAV	autocrine|paracrine	0.621093715116177
PDGFB	LRP1	autocrine|paracrine	0.62092189098036
UBC	ADRB2	autocrine|paracrine	0.618487477245003
COL1A1	ITGA5	autocrine|paracrine	0.618310055722878
COL4A2	ITGB5	autocrine|paracrine	0.615920040072426
COL1A1	CD36	autocrine|paracrine	0.615769831924436
LAMA4	ITGA3	autocrine|paracrine	0.614993425816313
FN1	ITGA2	autocrine|paracrine	0.613932244618059
NCAM1	FGFR1	autocrine|paracrine	0.613754927132002
FN1	ITGAV	autocrine|paracrine	0.611739382465041
FN1	IL17RC	autocrine|paracrine	0.61145835604177
EDN1	EDNRB	autocrine|paracrine	0.608972329379269
CALCB	RAMP1	autocrine|paracrine	0.608203786412231
HSPA8	ADRB2	autocrine|paracrine	0.60681345610808
ADAM15	ITGB1	autocrine|paracrine	0.606555365899489
COL18A1	ITGA5	autocrine|paracrine	0.606029927288318
HRAS	CAV1	autocrine|paracrine	0.604753282015129
APOB	MTTP	autocrine|paracrine	0.603815056962567
HSPG2	SDC1	autocrine|paracrine	0.602649132997226
PKM	CD44	autocrine|paracrine	0.602321466582439
APOA2	LDLR	autocrine|paracrine	0.60210268595081
TGFB1	TGFBR2	autocrine|paracrine	0.601465946635177
FYN	THY1	autocrine|paracrine	0.600335661404652
HLA-E	SLC16A4	autocrine|paracrine	0.600298339518581
