Endothelial	Immune	interaction type	LRscore
UBB	TGFBR2	autocrine|paracrine	0.824634523922518
AGRN	ITGB1	autocrine|paracrine	0.823424369865019
RPS27A	TGFBR1	autocrine|paracrine	0.822664844250041
HSPA1A	TLR4	autocrine|paracrine	0.822593883547787
FABP5	RXRA	autocrine|paracrine	0.820899782176362
GNAI2	CAV1	autocrine|paracrine	0.820701352367719
CTGF	ITGB2	autocrine|paracrine	0.820545233388541
TGFB1	CXCR4	autocrine|paracrine	0.82007605105564
ICAM1	CAV1	autocrine|paracrine	0.819149099807981
COL4A2	CD93	autocrine|paracrine	0.818226391250436
ACTR2	LDLR	autocrine|paracrine	0.81791649537532
HLA-C	CD3D	autocrine|paracrine	0.816836165669583
CALM1	SELL	autocrine|paracrine	0.815460300621042
CD34	SELL	autocrine|paracrine	0.815084473988856
COL6A1	ITGB1	autocrine|paracrine	0.815040841177146
FBN1	ITGB1	autocrine|paracrine	0.813980923915632
COL1A2	CD36	autocrine|paracrine	0.813267348854226
A2M	LRP1	autocrine|paracrine	0.812361476644508
COL1A1	CD36	autocrine|paracrine	0.811920147628441
HSPA8	ADRB2	autocrine|paracrine	0.810604177769642
UBC	TGFBR1	autocrine|paracrine	0.810409682965395
LAMB1	ITGB1	autocrine|paracrine	0.809023478074539
MADCAM1	ITGB7	autocrine|paracrine	0.807877924441102
LAMB2	ITGB1	autocrine|paracrine	0.806727265231071
CALM2	MYLK	autocrine|paracrine	0.806453864535271
UBB	TLR4	autocrine|paracrine	0.80544190549556
LAMC1	ITGB1	autocrine|paracrine	0.805122375045688
ARPC5	LDLR	autocrine|paracrine	0.805054970671085
UBB	ADRB2	autocrine|paracrine	0.804962411009997
CXCL12	ITGB1	autocrine|paracrine	0.803203543349284
HLA-E	KLRC1	autocrine|paracrine	0.801399927738778
B2M	CD3G	autocrine|paracrine	0.798586623664126
RPS27A	ERBB2	autocrine|paracrine	0.798481838983112
HMGB1	TLR4	autocrine|paracrine	0.798376361628258
FN1	ITGA4	autocrine|paracrine	0.798349919685393
GNAS	ADCY7	autocrine|paracrine	0.797681982249986
GNAS	PTGIR	autocrine|paracrine	0.79332761966799
COL1A2	CD93	autocrine|paracrine	0.792436211721927
CALM2	ABCA1	autocrine|paracrine	0.792318262326823
COL1A1	CD93	autocrine|paracrine	0.790977348677871
MDK	ITGA4	autocrine|paracrine	0.790602734874687
UBB	TGFBR1	autocrine|paracrine	0.789295228272797
TIMP3	ADAM17	autocrine|paracrine	0.7862409122788
VCAN	CD44	autocrine|paracrine	0.786046656115115
CALM3	MYLK	autocrine|paracrine	0.785819263770787
HSP90B1	TLR4	autocrine|paracrine	0.785442339889525
B2M	LILRB1	autocrine|paracrine	0.785272865089392
UBC	ERBB2	autocrine|paracrine	0.784992237414105
LRPAP1	LDLR	autocrine|paracrine	0.784736976323969
COL5A1	ITGB1	autocrine|paracrine	0.781705258349652
ICAM4	ITGB2	autocrine|paracrine	0.781384831684519
LAMA4	ITGB1	autocrine|paracrine	0.781131646070428
HSP90AA1	ERBB2	autocrine|paracrine	0.779943212473573
HSP90B1	LRP1	autocrine|paracrine	0.779779044986041
CD55	ADGRE5	autocrine|paracrine	0.77962794886734
APP	CAV1	autocrine|paracrine	0.779516755159779
NID1	ITGB1	autocrine|paracrine	0.779104126457237
TIMP2	ITGB1	autocrine|paracrine	0.778522134980027
PODXL	SELL	autocrine|paracrine	0.775739269578778
APOE	LDLR	autocrine|paracrine	0.775384688676474
TGFB1	ITGB1	autocrine|paracrine	0.77497956546566
UBA52	TGFBR2	autocrine|paracrine	0.774072099388489
MADCAM1	ITGA4	autocrine|paracrine	0.773160481525398
PLAT	ITGB2	autocrine|paracrine	0.772797019861733
MDK	LRP1	autocrine|paracrine	0.771975415848648
LAMA5	ITGB1	autocrine|paracrine	0.771805113357175
APOC3	LDLR	autocrine|paracrine	0.770610511368938
CALM3	ABCA1	autocrine|paracrine	0.770605294305718
EFNB2	PECAM1	autocrine|paracrine	0.770586722308711
PLAU	PLAUR	autocrine|paracrine	0.770472090695684
VWF	SIRPA	autocrine|paracrine	0.767673697092725
B2M	HLA-F	autocrine|paracrine	0.766028566849292
FN1	ITGA5	autocrine|paracrine	0.764108747484726
CALM1	INSR	autocrine|paracrine	0.762495728384512
UBB	ERBB2	autocrine|paracrine	0.761878813929456
CALM2	SELL	autocrine|paracrine	0.76114868894725
FN1	SDC2	autocrine|paracrine	0.760956021753563
PSEN1	CD44	autocrine|paracrine	0.759456187563484
JAM3	ITGB2	autocrine|paracrine	0.759374577834243
COL5A2	ITGB1	autocrine|paracrine	0.756933653622554
HLA-B	CD3G	autocrine|paracrine	0.756623353389828
RPS27A	SMAD3	autocrine|paracrine	0.75520002613758
SEMA6D	TYROBP	autocrine|paracrine	0.753191939028247
GPC3	CD81	autocrine|paracrine	0.752624288654388
APOA1	LRP1	autocrine|paracrine	0.752128190807132
HBEGF	CD9	autocrine|paracrine	0.751605001784328
UBA52	TLR4	autocrine|paracrine	0.751016559886131
ICAM5	ITGB2	autocrine|paracrine	0.750702361592935
RPS27A	RIPK1	autocrine|paracrine	0.75061738875246
UBA52	ADRB2	autocrine|paracrine	0.750444491761996
GNAI2	IGF1R	autocrine|paracrine	0.748580286851838
FBLN1	ITGB1	autocrine|paracrine	0.748158350026758
FN1	ITGA6	autocrine|paracrine	0.746432844136756
CD99	PILRA	autocrine|paracrine	0.746016050152393
CALR	LRP1	autocrine|paracrine	0.743231608499191
ICAM4	ITGB1	autocrine|paracrine	0.742516510116059
HLA-B	LILRB1	autocrine|paracrine	0.741433866643018
GNAS	PTGDR	autocrine|paracrine	0.740188832474428
UBC	SMAD3	autocrine|paracrine	0.73975743145352
HSP90B1	ERBB2	autocrine|paracrine	0.738853100908663
COL9A3	ITGB1	autocrine|paracrine	0.737897832237547
CYR61	CAV1	autocrine|paracrine	0.737408678925891
MDK	ITGA6	autocrine|paracrine	0.737347271980729
CALM3	SELL	autocrine|paracrine	0.737257608639303
JAG1	CD46	autocrine|paracrine	0.736304672045384
SPON2	ITGB2	autocrine|paracrine	0.736280839978252
COL14A1	CD44	autocrine|paracrine	0.735171279212463
UBC	RIPK1	autocrine|paracrine	0.734987154531425
TGM2	ITGB1	autocrine|paracrine	0.734812302883401
CD36	TLR4	autocrine|paracrine	0.732781679418669
GNAI2	ADCY7	autocrine|paracrine	0.73256209785019
UBA52	TGFBR1	autocrine|paracrine	0.731856761492744
HSP90AA1	FGFR3	autocrine|paracrine	0.731419200640485
ADAM15	ITGA5	autocrine|paracrine	0.729364878713764
COL4A1	ITGAV	autocrine|paracrine	0.728681350690779
COL4A2	ITGB5	autocrine|paracrine	0.727712603202768
PLAU	ITGB2	autocrine|paracrine	0.727593626980388
VEGFC	ITGB1	autocrine|paracrine	0.72667302639922
APP	LRP1	autocrine|paracrine	0.725578329895994
COL4A1	ITGA1	autocrine|paracrine	0.724515216476422
ADAM17	ITGB1	autocrine|paracrine	0.723622940913619
COL1A1	ITGA5	autocrine|paracrine	0.722610384999912
PSAP	LRP1	autocrine|paracrine	0.72173459737097
VCAN	ITGB1	autocrine|paracrine	0.721229193044126
AGRN	LRP1	autocrine|paracrine	0.720294237107094
TNFSF10	TNFRSF10B	autocrine|paracrine	0.720235292673586
GNAI2	F2R	autocrine|paracrine	0.720230361983048
COL18A1	ITGA5	autocrine|paracrine	0.719869165830217
HLA-A	ERBB2	autocrine|paracrine	0.71958646591376
FN1	ITGAV	autocrine|paracrine	0.71917109818021
ARF1	INSR	autocrine|paracrine	0.718840079942501
ICAM1	ITGAM	autocrine|paracrine	0.718193250275433
JAM3	ITGB1	autocrine|paracrine	0.718005245969433
TGFB1	CAV1	autocrine|paracrine	0.71776333064834
CALM1	PTPRA	autocrine|paracrine	0.716890793644753
COL6A3	ITGB1	autocrine|paracrine	0.716036029846615
HLA-A	CD3G	autocrine|paracrine	0.715759179370149
UBA52	NOTCH1	autocrine|paracrine	0.71534100087654
COL6A2	ITGA1	autocrine|paracrine	0.71517909234898
THBS1	ITGB1	autocrine|paracrine	0.714781042096448
SERPINE1	PLAUR	autocrine|paracrine	0.714721679662662
ADAM10	AXL	autocrine|paracrine	0.71363425904329
UBB	SMAD3	autocrine|paracrine	0.713555672946177
NAMPT	INSR	autocrine|paracrine	0.713356862059898
LUM	ITGB1	autocrine|paracrine	0.711556524768988
HMGB1	THBD	autocrine|paracrine	0.710851497929518
APOA4	LDLR	autocrine|paracrine	0.70875099263462
UBB	RIPK1	autocrine|paracrine	0.7084943722937
GAS6	AXL	autocrine|paracrine	0.708249672749458
RPS27A	FGFR2	autocrine|paracrine	0.704406491917938
PSAP	SORT1	autocrine|paracrine	0.702830589350785
B2M	HFE	autocrine|paracrine	0.702316685701236
UBA52	ERBB2	autocrine|paracrine	0.699809066265018
APP	NCSTN	autocrine|paracrine	0.699657697831213
KITLG	KIT	autocrine|paracrine	0.699049061665736
HLA-A	LILRB1	autocrine|paracrine	0.699033784076207
CALM2	INSR	autocrine|paracrine	0.698362146758016
MDK	SDC3	autocrine|paracrine	0.696796889188054
MMP2	SDC2	autocrine|paracrine	0.695752611722599
MDK	SDC4	autocrine|paracrine	0.695535368428943
HBEGF	CD82	autocrine|paracrine	0.695369548192886
HLA-C	CD3G	autocrine|paracrine	0.69386099844952
GNAI2	S1PR4	autocrine|paracrine	0.693273367119163
HSPG2	CHRM3	autocrine|paracrine	0.692611218161807
TGFB1	TGFBR2	autocrine|paracrine	0.690731576481527
COL18A1	ITGB5	autocrine|paracrine	0.68908891316111
FBN1	ITGA5	autocrine|paracrine	0.687976488437693
EFNA1	EPHA2	autocrine|paracrine	0.687588424126628
UBC	FGFR2	autocrine|paracrine	0.687087348343428
CSF1	CSF1R	autocrine|paracrine	0.686737144483939
CXCL12	CD4	autocrine|paracrine	0.686504359108732
PTMA	VIPR1	autocrine|paracrine	0.685365492697306
PLAU	ITGB1	autocrine|paracrine	0.683040990258898
SEMA4C	PLXNB2	autocrine|paracrine	0.680793902578625
ACTR2	ADRB2	autocrine|paracrine	0.680595202367305
ADAM15	ITGAV	autocrine|paracrine	0.680575346171904
FN1	ITGA9	autocrine|paracrine	0.678519158069462
GNAI2	S1PR1	autocrine|paracrine	0.678286752438189
THBS1	CD36	autocrine|paracrine	0.676644957116642
HLA-C	LILRB1	autocrine|paracrine	0.676429568230391
CALR	ITGAV	autocrine|paracrine	0.676172439851522
PTN	PLXNB2	autocrine|paracrine	0.675176842776393
VEGFA	ITGB1	autocrine|paracrine	0.675133667451506
COL1A2	ITGAV	autocrine|paracrine	0.675092284549471
COL16A1	ITGB1	autocrine|paracrine	0.67480922642368
SEMA4A	PLXNB2	autocrine|paracrine	0.673992911779284
DLL4	NOTCH2	autocrine|paracrine	0.673475839921207
COL1A1	ITGAV	autocrine|paracrine	0.673148849548469
CALM3	INSR	autocrine|paracrine	0.670906192833673
GNAS	VIPR1	autocrine|paracrine	0.670755392463126
CTGF	LRP1	autocrine|paracrine	0.6707501262832
COL1A2	ITGA1	autocrine|paracrine	0.670475400450816
THBS1	CD47	autocrine|paracrine	0.669345960578888
COL6A1	ITGA6	autocrine|paracrine	0.668637549236582
COL1A1	ITGA1	autocrine|paracrine	0.66851790944611
JAG2	NOTCH2	autocrine|paracrine	0.668280428443207
HSP90B1	ASGR1	autocrine|paracrine	0.667642546928067
ICAM3	ITGB2	autocrine|paracrine	0.667412602358456
DUSP18	RPSA	autocrine|paracrine	0.665376754539867
APOB	ITGB2	autocrine|paracrine	0.665273582222871
EFNB2	EPHB2	autocrine|paracrine	0.662469437135284
SPTAN1	PTPRA	autocrine|paracrine	0.662466475043089
ARPC5	ADRB2	autocrine|paracrine	0.662041816648123
LAMB1	ITGA6	autocrine|paracrine	0.659845006658079
UBB	FGFR2	autocrine|paracrine	0.658034031710956
APOB	LDLR	autocrine|paracrine	0.65800972221913
CYR61	ITGA5	autocrine|paracrine	0.657096830170498
HBEGF	ERBB2	autocrine|paracrine	0.655660352382649
CALM1	PDE1B	autocrine|paracrine	0.654490160909349
LAMC1	ITGA6	autocrine|paracrine	0.654199117484321
CALR	HLA-F	autocrine|paracrine	0.652062397796499
GNAI2	EDNRB	autocrine|paracrine	0.651625480753261
DLL4	NOTCH1	autocrine|paracrine	0.651082633876644
GAS6	MERTK	autocrine|paracrine	0.651059042080777
VEGFC	NRP2	autocrine|paracrine	0.650945815134828
CTGF	ITGA5	autocrine|paracrine	0.650211491952021
JAG1	NOTCH2	autocrine|paracrine	0.65020935239115
ARF1	PLD2	autocrine|paracrine	0.646249001863514
CXCL12	ACKR3	autocrine|paracrine	0.646076286889898
JAG2	NOTCH1	autocrine|paracrine	0.645718351869506
ICAM2	ITGAM	autocrine|paracrine	0.645599373601624
UBA52	SMAD3	autocrine|paracrine	0.644762924609755
TGFB1	TGFBR1	autocrine|paracrine	0.640182449668026
ICAM4	ITGA4	autocrine|paracrine	0.639766719655463
UBA52	RIPK1	autocrine|paracrine	0.639100881029195
ADAM15	ITGA9	autocrine|paracrine	0.637155223922453
GSTP1	TRAF2	autocrine|paracrine	0.63618929130135
FBN1	ITGAV	autocrine|paracrine	0.635454845337403
RPS27A	LRP2	autocrine|paracrine	0.632699703196598
VCAN	SELL	autocrine|paracrine	0.632226509306953
COL6A1	ITGA1	autocrine|paracrine	0.632215672138074
HSP90AA1	CFTR	autocrine|paracrine	0.630841682376087
TGM2	ITGA4	autocrine|paracrine	0.630517961023914
TGFB1	SDC2	autocrine|paracrine	0.630374246745769
P4HB	MTTP	autocrine|paracrine	0.630010201317786
TGFB1	ENG	autocrine|paracrine	0.629702689650001
LAMB1	ITGAV	autocrine|paracrine	0.627914500411169
JAG1	NOTCH1	autocrine|paracrine	0.627103999416144
LRPAP1	LRP1	autocrine|paracrine	0.626555800013466
DLL1	NOTCH2	autocrine|paracrine	0.625876573706176
TFPI	LRP1	autocrine|paracrine	0.624610530005886
FN1	ITGA3	autocrine|paracrine	0.624325248867074
SERPINA1	LRP1	autocrine|paracrine	0.623335302021115
CYR61	ITGB5	autocrine|paracrine	0.623031135166972
LAMB1	ITGA1	autocrine|paracrine	0.623001599479554
LAMC1	ITGAV	autocrine|paracrine	0.622042201690009
HSPG2	LRP2	autocrine|paracrine	0.621835846033376
HSPG2	PTPRS	autocrine|paracrine	0.621790312934728
FN1	IL17RC	autocrine|paracrine	0.620801260992654
LAMA4	ITGA6	autocrine|paracrine	0.620388945374974
ADM	RAMP2	autocrine|paracrine	0.62021292383902
CFH	SELL	autocrine|paracrine	0.620172523761369
PROS1	AXL	autocrine|paracrine	0.618198256826233
ADM	ADRB2	autocrine|paracrine	0.617612160219159
LAMC1	ITGA1	autocrine|paracrine	0.617099046049043
TGFB3	ITGB1	autocrine|paracrine	0.615819979289794
VCAN	ITGA4	autocrine|paracrine	0.61439613066613
APOE	LRP1	autocrine|paracrine	0.613714085565917
COL4A5	ITGB1	autocrine|paracrine	0.613582320104072
UBC	LRP2	autocrine|paracrine	0.613484523103878
CYR61	ITGAM	autocrine|paracrine	0.612413176153166
CD55	ADGRE2	autocrine|paracrine	0.612052978847321
NPNT	ITGB1	autocrine|paracrine	0.611918101414249
PDGFB	LRP1	autocrine|paracrine	0.611616900541919
HRAS	CAV1	autocrine|paracrine	0.61110792227088
CD22	PTPRC	autocrine|paracrine	0.610903095775212
ADAM9	ITGB1	autocrine|paracrine	0.610766383137381
CEL	CXCR4	autocrine|paracrine	0.609840384978768
LRPAP1	SORL1	autocrine|paracrine	0.608979066493171
LAMA5	ITGA6	autocrine|paracrine	0.607653203810949
LGALS3BP	ITGB1	autocrine|paracrine	0.607300788776094
APOC3	LRP1	autocrine|paracrine	0.607244201378177
THBS1	ITGA4	autocrine|paracrine	0.606823984322853
CTGF	ITGAM	autocrine|paracrine	0.605169728301134
LRPAP1	SORT1	autocrine|paracrine	0.604727036812923
FN1	ITGA8	autocrine|paracrine	0.604196619474156
CXCL12	SDC4	autocrine|paracrine	0.603307363573157
SERPING1	LRP1	autocrine|paracrine	0.60301293760958
CALM1	VIPR1	autocrine|paracrine	0.602935563039151
PLAT	LRP1	autocrine|paracrine	0.602455394343732
CYR61	ITGAV	autocrine|paracrine	0.602381454997385
DLL1	NOTCH1	autocrine|paracrine	0.602147402816235
NECTIN2	NECTIN3	autocrine|paracrine	0.601036708719747
B2M	KLRD1	autocrine|paracrine	0.600214476843908
