Fibroblasts	Muscle	interaction type	LRscore
COL1A1	ITGA2	autocrine|paracrine	0.73526291427136
UBA52	ACVR1	autocrine|paracrine	0.733402787847291
SERPING1	LRP1	autocrine|paracrine	0.731617781080018
TGFB1	ITGB1	autocrine|paracrine	0.730531656801106
TGM2	ITGB1	autocrine|paracrine	0.728526570099174
CTGF	ITGA5	autocrine|paracrine	0.728416228986746
GNAS	ADRB3	autocrine|paracrine	0.727593926237669
COL1A2	ITGA2	autocrine|paracrine	0.724056794248216
COL3A1	ITGA2	autocrine|paracrine	0.72178396835154
B2M	TFRC	autocrine|paracrine	0.719620575803912
COL1A1	CD36	autocrine|paracrine	0.719546765617402
NCAM1	FGFR1	autocrine|paracrine	0.719426168058083
LAMC1	ITGA1	autocrine|paracrine	0.719141717601521
AGRN	LRP1	autocrine|paracrine	0.717517045641663
RPS27A	RIPK1	autocrine|paracrine	0.717255324608307
CALM1	PTPRA	autocrine|paracrine	0.716196174617685
ADAM17	ITGB1	autocrine|paracrine	0.716112685683216
VEGFA	ITGA9	autocrine|paracrine	0.71480922793137
APOE	LDLR	autocrine|paracrine	0.71310023434453
MDK	SDC4	autocrine|paracrine	0.712671598138818
ADAM9	ITGB1	autocrine|paracrine	0.712428171388578
CYR61	ITGAV	autocrine|paracrine	0.711284663771689
SEMA3B	NRP2	autocrine|paracrine	0.710980599888631
GSTP1	TRAF2	autocrine|paracrine	0.71048368293506
CALR	ITGAV	autocrine|paracrine	0.7103729367796
TGFB3	ITGB1	autocrine|paracrine	0.70869135385823
COL1A2	CD36	autocrine|paracrine	0.707939643896689
COL9A3	ITGB1	autocrine|paracrine	0.706030571085054
THBS1	LRP5	autocrine|paracrine	0.705033182321353
FN1	ITGA8	autocrine|paracrine	0.702344387199569
LAMA5	ITGB1	autocrine|paracrine	0.698536765260945
GPC3	IGF1R	autocrine|paracrine	0.697879054864247
COL1A2	ITGA2B	autocrine|paracrine	0.696761567233356
APOE	LRP5	autocrine|paracrine	0.69522181413565
APP	NCSTN	autocrine|paracrine	0.694894054590391
SEMA4A	PLXNB2	autocrine|paracrine	0.694395829857479
UBA52	SMAD3	autocrine|paracrine	0.692866760981314
PGF	NRP2	autocrine|paracrine	0.692295825171645
THBS2	CD47	autocrine|paracrine	0.691919744649775
NCAM1	GFRA1	autocrine|paracrine	0.690575956548652
A2M	LRP1	autocrine|paracrine	0.689837772532236
TNC	ITGA5	autocrine|paracrine	0.689681890988924
LRPAP1	LDLR	autocrine|paracrine	0.689657037651165
COL11A1	ITGB1	autocrine|paracrine	0.686481508928513
FBN1	ITGAV	autocrine|paracrine	0.685720484191045
TNC	ITGA9	autocrine|paracrine	0.68440774496738
EFNB1	ERBB2	autocrine|paracrine	0.683911270209337
FYN	THY1	autocrine|paracrine	0.682238715598589
CTGF	LRP6	autocrine|paracrine	0.681921470993001
CALM1	PDE1A	autocrine|paracrine	0.680744518035763
NCAM1	FGFR2	autocrine|paracrine	0.677001939403218
COL6A2	ITGA2	autocrine|paracrine	0.675380367795729
THBS1	CD47	autocrine|paracrine	0.674828932150199
MDK	PTPRZ1	autocrine|paracrine	0.67463506276246
UBC	RIPK1	autocrine|paracrine	0.674581317713254
NID1	ITGAV	autocrine|paracrine	0.674029451984967
FABP5	RXRA	autocrine|paracrine	0.673420768965973
CALM2	PDE1A	autocrine|paracrine	0.672252582958887
BMP4	BMPR2	autocrine|paracrine	0.668541231334011
NID1	COL13A1	autocrine|paracrine	0.667363381706623
APOC3	LDLR	autocrine|paracrine	0.666588051871122
P4HB	MTTP	autocrine|paracrine	0.664628564606084
LAMB1	ITGAV	autocrine|paracrine	0.664084881139152
VCAM1	EZR	autocrine|paracrine	0.663348652858202
NCAM1	CACNA1C	autocrine|paracrine	0.662054631751808
P4HB	GPR162	autocrine|paracrine	0.661263461157147
APOA4	LRP1	autocrine|paracrine	0.657549070835511
LAMB3	ITGB1	autocrine|paracrine	0.65749571903906
COL7A1	ITGB1	autocrine|paracrine	0.657492401970402
COL18A1	ITGA5	autocrine|paracrine	0.656161869232206
TNFSF12	TNFRSF12A	autocrine|paracrine	0.655790811946018
COL4A1	CD47	autocrine|paracrine	0.654630086695142
COL4A5	ITGA1	autocrine|paracrine	0.654036181202778
COL1A1	CD93	autocrine|paracrine	0.65376582384192
NCAM1	ROBO3	autocrine|paracrine	0.651611894036004
GNAI2	S1PR3	autocrine|paracrine	0.650554944011313
ADAM15	ITGB1	autocrine|paracrine	0.650453551280536
VCAM1	MSN	autocrine|paracrine	0.647735179766718
GNAI2	IGF1R	autocrine|paracrine	0.647102911837752
ARF1	CHRM3	autocrine|paracrine	0.645747600392927
CXCL12	SDC4	autocrine|paracrine	0.64506377577873
COL6A1	ITGA2	autocrine|paracrine	0.643802039552304
UBB	RIPK1	autocrine|paracrine	0.643365160136945
SPTAN1	PTPRA	autocrine|paracrine	0.642178002163238
GNAS	PTGDR	autocrine|paracrine	0.641696384276337
FN1	ITGB8	autocrine|paracrine	0.641262779074288
SEMA4C	PLXNB2	autocrine|paracrine	0.64100645399975
ACTR2	LDLR	autocrine|paracrine	0.640944536087184
COL1A2	CD93	autocrine|paracrine	0.640795312054021
NECTIN2	NECTIN3	autocrine|paracrine	0.640525080730004
LAMB3	CD151	autocrine|paracrine	0.640319287524779
ARPC5	LDLR	autocrine|paracrine	0.640063903275007
FGF7	FGFR1	autocrine|paracrine	0.639572745693076
VEGFC	ITGB1	autocrine|paracrine	0.639422668553762
HLA-C	DDR1	autocrine|paracrine	0.638521533262093
MDK	TSPAN1	autocrine|paracrine	0.637713368777547
LAMA2	RPSA	autocrine|paracrine	0.637176386841056
VCAM1	ITGA9	autocrine|paracrine	0.635762037548161
VEGFA	TYRO3	autocrine|paracrine	0.63364427720829
B2M	CD3D	autocrine|paracrine	0.63292678123139
CYR61	ITGB5	autocrine|paracrine	0.632650565362722
EFEMP2	PLSCR4	autocrine|paracrine	0.632364667225055
HSP90AA1	EGFR	autocrine|paracrine	0.632093304102266
BST1	CAV1	autocrine|paracrine	0.631343330819883
APP	TNFRSF21	autocrine|paracrine	0.630234290684272
SEMA3C	NRP2	autocrine|paracrine	0.630221014361623
CALM3	PDE1A	autocrine|paracrine	0.630167644381925
COL4A1	ITGAV	autocrine|paracrine	0.628691512544715
DCN	EGFR	autocrine|paracrine	0.628690266492666
CALM1	ABCA1	autocrine|paracrine	0.628648792097941
VEGFA	ITGAV	autocrine|paracrine	0.626888979251232
PSEN1	CD44	autocrine|paracrine	0.626151803223305
FST	BMPR2	autocrine|paracrine	0.625979183068049
GNAI2	EDNRA	autocrine|paracrine	0.62583704347915
COL3A1	MAG	autocrine|paracrine	0.624997035823969
GNAI2	F2R	autocrine|paracrine	0.623878900755877
APOC3	SDC2	autocrine|paracrine	0.623439875636945
B2M	HFE	autocrine|paracrine	0.621565768800196
FAT4	DCHS1	autocrine|paracrine	0.620839108314317
CALM2	ABCA1	autocrine|paracrine	0.619545595191388
B2M	KLRD1	autocrine|paracrine	0.619085674972226
APOB	LRP1	autocrine|paracrine	0.618546620348359
PTGS2	CAV1	autocrine|paracrine	0.617094513876686
C3	CD81	autocrine|paracrine	0.61610477448784
NCAM1	PTPRA	autocrine|paracrine	0.615051528748823
PLAU	ITGB1	autocrine|paracrine	0.614662270692321
MDK	GPC2	autocrine|paracrine	0.614496893872466
THBS2	NOTCH3	autocrine|paracrine	0.61417343206138
NLGN2	NRXN3	autocrine|paracrine	0.611856682607462
PSAP	SORT1	autocrine|paracrine	0.611391847152113
MDK	ITGA6	autocrine|paracrine	0.610793289372079
RTN4	RTN4R	autocrine|paracrine	0.610444936800644
SEMA3F	NRP2	autocrine|paracrine	0.608556814925405
PSEN1	NOTCH2	autocrine|paracrine	0.608025542206312
NLGN2	NRXN2	autocrine|paracrine	0.607973080859198
VEGFA	NRP1	autocrine|paracrine	0.606909485749311
PTN	PTPRZ1	autocrine|paracrine	0.606188153375999
ADAM10	NOTCH1	autocrine|paracrine	0.605066534193561
HBEGF	CD9	autocrine|paracrine	0.604626904399431
FN1	ITGA2	autocrine|paracrine	0.603985076013451
MFGE8	PDGFRB	autocrine|paracrine	0.603902547704469
LAMA2	ITGB1	autocrine|paracrine	0.602475745864179
COL1A1	FLT4	autocrine|paracrine	0.601692232656626
