Myofibroblast_Mesothelium	Pericytes	interaction type	LRscore
MDK	LRP1	autocrine|paracrine	0.866920759493788
COL5A2	ITGA1	autocrine|paracrine	0.866411259024131
RPS27A	TGFBR2	autocrine|paracrine	0.865324663660381
HSPA8	LDLR	autocrine|paracrine	0.863227291204115
UBB	LDLR	autocrine|paracrine	0.862387255995255
CALM1	MYLK	autocrine|paracrine	0.86219681125654
RPS27A	ERBB2	autocrine|paracrine	0.860632326425597
LAMB1	ITGA1	autocrine|paracrine	0.858281613482034
LGALS3BP	ITGB1	autocrine|paracrine	0.857986652226843
CALM2	MYLK	autocrine|paracrine	0.857734884121249
LAMA4	ITGB1	autocrine|paracrine	0.857197698495755
LAMB2	RPSA	autocrine|paracrine	0.856329989101105
TIMP2	ITGB1	autocrine|paracrine	0.856209276499972
FBN1	ITGB1	autocrine|paracrine	0.856145166562067
MFGE8	PDGFRB	autocrine|paracrine	0.850909958649362
CXCL12	ACKR3	autocrine|paracrine	0.850853212241503
EFEMP2	LINGO1	autocrine|paracrine	0.848900013227831
LAMC1	ITGB1	autocrine|paracrine	0.847884401115572
PDGFD	PDGFRB	autocrine|paracrine	0.846063800524509
CALM3	MYLK	autocrine|paracrine	0.844956407328847
LAMA5	BCAM	autocrine|paracrine	0.839325620913173
PTN	PLXNB2	autocrine|paracrine	0.838798711875471
COL16A1	ITGB1	autocrine|paracrine	0.837466883288419
UBC	TGFBR2	autocrine|paracrine	0.837458338892644
HSP90B1	LRP1	autocrine|paracrine	0.83680396509884
TGM2	ITGB1	autocrine|paracrine	0.836044048170771
FN1	ITGAV	autocrine|paracrine	0.835941027158942
CYR61	ITGB5	autocrine|paracrine	0.835888956415996
CTGF	LRP1	autocrine|paracrine	0.834684602010964
PDAP1	PDGFRB	autocrine|paracrine	0.833604159564969
UBA52	NOTCH1	autocrine|paracrine	0.833448450323188
LAMA5	ITGB1	autocrine|paracrine	0.833355695772846
UBC	ERBB2	autocrine|paracrine	0.831983605740206
TGFB1	CAV1	autocrine|paracrine	0.83189176211023
MFAP2	NOTCH1	autocrine|paracrine	0.830906084583904
LAMC1	ITGA1	autocrine|paracrine	0.829085396337062
COL1A1	ITGA5	autocrine|paracrine	0.828275323280766
APOA1	LDLR	autocrine|paracrine	0.82653649501827
JAG1	NOTCH3	autocrine|paracrine	0.825485311126925
LAMB2	ITGB1	autocrine|paracrine	0.825405377433851
UBA52	LDLR	autocrine|paracrine	0.824168541779737
COL4A5	ITGB1	autocrine|paracrine	0.823784477249645
UBB	TGFBR2	autocrine|paracrine	0.822962437856894
PLAT	LRP1	autocrine|paracrine	0.822523899895478
HLA-B	CANX	autocrine|paracrine	0.822371745039282
COL4A2	ITGB5	autocrine|paracrine	0.821154364250455
ICAM1	CAV1	autocrine|paracrine	0.819435466932365
HSP90AA1	ERBB2	autocrine|paracrine	0.817852888295385
UBB	ERBB2	autocrine|paracrine	0.817106083355506
CYR61	ITGAV	autocrine|paracrine	0.815312975906169
THBS1	ITGB1	autocrine|paracrine	0.813729218294992
DLL1	NOTCH1	autocrine|paracrine	0.81318337916411
CALR	LRP1	autocrine|paracrine	0.812307932578805
COL1A1	DDR1	autocrine|paracrine	0.810834444943637
APOA1	LRP1	autocrine|paracrine	0.810521550780346
MDK	ITGA4	autocrine|paracrine	0.810073341415211
GNAI2	EDNRA	autocrine|paracrine	0.809980751211834
FN1	IL17RC	autocrine|paracrine	0.807829442635349
PLAU	ITGB1	autocrine|paracrine	0.807306800995748
RPS27A	TGFBR1	autocrine|paracrine	0.806528335375109
LAMB1	ITGA7	autocrine|paracrine	0.806032752296988
HSPG2	ITGB1	autocrine|paracrine	0.805900780303429
FN1	PLAUR	autocrine|paracrine	0.805197358033622
FN1	ITGA8	autocrine|paracrine	0.804045404117312
HSP90B1	ERBB2	autocrine|paracrine	0.802835850023079
COL4A5	ITGA1	autocrine|paracrine	0.802700168939875
HLA-A	APLP2	autocrine|paracrine	0.802684122906821
COL3A1	DDR1	autocrine|paracrine	0.802616253203111
WNT5A	MCAM	autocrine|paracrine	0.800930393968301
TGFB1	ITGB1	autocrine|paracrine	0.799018770085564
RPS27A	SMAD3	autocrine|paracrine	0.797470532102322
VCAM1	ITGB1	autocrine|paracrine	0.797387836687918
CALR	ITGAV	autocrine|paracrine	0.793302298353084
B2M	TFRC	autocrine|paracrine	0.791620520145344
GNAS	ADCY9	autocrine|paracrine	0.790963595629649
FN1	ITGA4	autocrine|paracrine	0.790003396160995
PTGS2	CAV1	autocrine|paracrine	0.788421995181592
TNC	ITGB1	autocrine|paracrine	0.787159188817269
PSAP	LRP1	autocrine|paracrine	0.786646636092375
GNAS	PTGDR	autocrine|paracrine	0.786370645475829
AGRN	ITGB1	autocrine|paracrine	0.784801768500033
APOC3	SDC2	autocrine|paracrine	0.783878001066117
NID1	ITGAV	autocrine|paracrine	0.783164726954849
GNAI2	F2R	autocrine|paracrine	0.782789670566414
COL9A1	ITGB1	autocrine|paracrine	0.782046678773805
JAM3	ITGB1	autocrine|paracrine	0.781259360210105
CTGF	LRP6	autocrine|paracrine	0.779477515749639
COL4A1	ITGAV	autocrine|paracrine	0.778465038783646
HRAS	CAV1	autocrine|paracrine	0.777881607041532
UBA52	TGFBR2	autocrine|paracrine	0.776630421337186
VEGFA	NRP1	autocrine|paracrine	0.775480477981669
RPS27A	RIPK1	autocrine|paracrine	0.775146241000224
FN1	ITGA5	autocrine|paracrine	0.774408904060441
TGFB1	SDC2	autocrine|paracrine	0.772926494869595
LRPAP1	LDLR	autocrine|paracrine	0.772666045018094
COL1A1	CD36	autocrine|paracrine	0.771225725968292
UBC	TGFBR1	autocrine|paracrine	0.769733556084194
UBA52	ERBB2	autocrine|paracrine	0.76967037248807
APP	NCSTN	autocrine|paracrine	0.76944406456512
LAMC1	ITGA7	autocrine|paracrine	0.768969897936343
PSEN1	NOTCH3	autocrine|paracrine	0.768522625923218
SERPINE2	LRP1	autocrine|paracrine	0.766050730105143
VCAN	ITGA4	autocrine|paracrine	0.765812508498445
APP	LRP1	autocrine|paracrine	0.765075162571298
COL1A2	CD36	autocrine|paracrine	0.764052296304336
LAMB1	ITGAV	autocrine|paracrine	0.763312952594172
FYN	THY1	autocrine|paracrine	0.763251372258548
HSP90AA1	EGFR	autocrine|paracrine	0.762810118652482
TFPI	LRP1	autocrine|paracrine	0.760343481086569
CALM1	CACNA1C	autocrine|paracrine	0.759561600932184
UBC	SMAD3	autocrine|paracrine	0.759466868228848
VEGFA	ITGAV	autocrine|paracrine	0.759077044590312
EDIL3	ITGB5	autocrine|paracrine	0.754740133748647
LRPAP1	LRP1	autocrine|paracrine	0.753162842078377
CALM2	CACNA1C	autocrine|paracrine	0.752729521451022
CALM1	PTPRA	autocrine|paracrine	0.751819718340764
NPNT	ITGB1	autocrine|paracrine	0.751425021743363
CTGF	ITGA5	autocrine|paracrine	0.751029934947421
COL18A1	ITGB1	autocrine|paracrine	0.751006708650964
UBB	TGFBR1	autocrine|paracrine	0.750993649277928
SEMA3A	NRP1	autocrine|paracrine	0.750947239572789
HSP90AA1	FGFR3	autocrine|paracrine	0.750214848927445
FABP5	RXRA	autocrine|paracrine	0.75020668901755
COL4A1	CD47	autocrine|paracrine	0.749934372313126
BMP4	BMPR2	autocrine|paracrine	0.749258899428846
GNAI2	S1PR3	autocrine|paracrine	0.748794427043796
CYR61	ITGA5	autocrine|paracrine	0.748372926920043
UBA52	AGTR1	autocrine|paracrine	0.747935460827384
VIM	CD44	autocrine|paracrine	0.746207886497172
ADAM28	ITGA4	autocrine|paracrine	0.744460180859906
APOE	LDLR	autocrine|paracrine	0.743789585304494
DCN	EGFR	autocrine|paracrine	0.743557400338975
RTN4	NGFR	autocrine|paracrine	0.741960140685204
UBB	SMAD3	autocrine|paracrine	0.740173461327417
COL1A1	CD44	autocrine|paracrine	0.73991102072742
VCAN	EGFR	autocrine|paracrine	0.739637949271945
DLL1	NOTCH2	autocrine|paracrine	0.738469114001462
GPC6	LRP1	autocrine|paracrine	0.738399651174081
RTN4	CNTNAP1	autocrine|paracrine	0.737433437287013
VCL	ITGB5	autocrine|paracrine	0.737273532111802
LAMA4	ITGAV	autocrine|paracrine	0.735576375639672
ANGPT1	ITGB1	autocrine|paracrine	0.735252443686362
UBC	RIPK1	autocrine|paracrine	0.734348975064213
FBN1	ITGAV	autocrine|paracrine	0.733905696010997
ADAM9	ITGB1	autocrine|paracrine	0.733587689088299
ACTR2	LDLR	autocrine|paracrine	0.733440652609122
LTBP3	ITGB5	autocrine|paracrine	0.73324253749986
HSP90B1	ASGR1	autocrine|paracrine	0.732553977263679
COL1A2	CD44	autocrine|paracrine	0.732096775832961
JAG1	CD46	autocrine|paracrine	0.729241167314144
EDIL3	ITGAV	autocrine|paracrine	0.727308995766496
A2M	LRP1	autocrine|paracrine	0.724787518633414
APP	CD74	autocrine|paracrine	0.724390141296751
APOE	LRP1	autocrine|paracrine	0.722698134242066
LAMC1	ITGAV	autocrine|paracrine	0.720913636363812
JAG1	NOTCH1	autocrine|paracrine	0.718862459554399
HLA-A	ERBB2	autocrine|paracrine	0.715459366471736
THBS2	NOTCH3	autocrine|paracrine	0.715179228956258
ARPC5	LDLR	autocrine|paracrine	0.714664511042785
COL4A6	ITGB1	autocrine|paracrine	0.714509639858589
SERPINA1	LRP1	autocrine|paracrine	0.714509514313933
UBB	RIPK1	autocrine|paracrine	0.713800074385258
NPY	NPY1R	autocrine|paracrine	0.713613820634967
VCAM1	EZR	autocrine|paracrine	0.713455470743982
APOC3	LDLR	autocrine|paracrine	0.711477680026233
NTF3	NTRK3	autocrine|paracrine	0.710668079269102
COL1A1	CD93	autocrine|paracrine	0.710309666510763
MDK	ITGA6	autocrine|paracrine	0.707969593460544
VCAM1	MSN	autocrine|paracrine	0.707305079894454
HRAS	SDC2	autocrine|paracrine	0.706652201533075
UBA52	EGFR	autocrine|paracrine	0.705313688048649
CCL2	CCR10	autocrine|paracrine	0.70493214843332
MFGE8	ITGAV	autocrine|paracrine	0.703750162696897
COL1A2	CD93	autocrine|paracrine	0.701964296432921
VEGFA	GPC1	autocrine|paracrine	0.70126064386704
NID1	PTPRF	autocrine|paracrine	0.700485286521148
COL7A1	ITGB1	autocrine|paracrine	0.699373833365085
ADAM10	NOTCH1	autocrine|paracrine	0.698952840986633
FN1	ITGA3	autocrine|paracrine	0.698945716164654
TLN1	ITGB5	autocrine|paracrine	0.698839053886509
EFEMP2	PLSCR4	autocrine|paracrine	0.698636237686975
DLL4	NOTCH3	autocrine|paracrine	0.69845176428452
GPC3	LRP1	autocrine|paracrine	0.697504519109755
NECTIN2	NECTIN3	autocrine|paracrine	0.695654210536651
THBS1	LRP1	autocrine|paracrine	0.695392111737786
BMP5	BMPR2	autocrine|paracrine	0.695204473728648
GSTP1	TRAF2	autocrine|paracrine	0.695151676224677
UBA52	TGFBR1	autocrine|paracrine	0.692856330762859
VEGFA	NRP2	autocrine|paracrine	0.692147121705526
CALM1	PDE1A	autocrine|paracrine	0.69185878887667
PLAU	ITGB5	autocrine|paracrine	0.691372147840319
SERPING1	LRP1	autocrine|paracrine	0.691361478021553
BMP4	BMPR1A	autocrine|paracrine	0.691280177585083
COL6A1	ITGA6	autocrine|paracrine	0.68976358279491
IGFBP4	LRP6	autocrine|paracrine	0.689594931527728
VEGFB	NRP1	autocrine|paracrine	0.689436606308691
UBA52	ACVR1	autocrine|paracrine	0.68923882620817
GNAI2	IGF1R	autocrine|paracrine	0.688886872167152
APOC3	LRP1	autocrine|paracrine	0.688839061132208
TNC	ITGA7	autocrine|paracrine	0.688322018427259
PLAU	LRP1	autocrine|paracrine	0.686461676714349
SEMA3A	PLXNA3	autocrine|paracrine	0.686089063934162
THBS2	ITGB1	autocrine|paracrine	0.68594303123647
COL4A6	ITGA1	autocrine|paracrine	0.685344618643691
HSPG2	LRP1	autocrine|paracrine	0.684518467549295
COL4A5	ITGAV	autocrine|paracrine	0.684190162444511
ADAM17	ITGB1	autocrine|paracrine	0.684178219884369
CALM2	PDE1A	autocrine|paracrine	0.683903521903383
APP	GPC1	autocrine|paracrine	0.682711459871611
MDK	SDC1	autocrine|paracrine	0.682656867384822
FN1	ITGA6	autocrine|paracrine	0.681354234124217
UBA52	SMAD3	autocrine|paracrine	0.680584357433291
TIMP3	ADAM17	autocrine|paracrine	0.680218215790543
TGFB1	ITGB5	autocrine|paracrine	0.68007369219033
CALM1	EGFR	autocrine|paracrine	0.676828105819658
COL5A2	DDR1	autocrine|paracrine	0.674028994833265
VEGFA	TYRO3	autocrine|paracrine	0.672061265583039
SPTAN1	PTPRA	autocrine|paracrine	0.67183557909516
EFNB1	ERBB2	autocrine|paracrine	0.67154581919852
BMP2	ENG	autocrine|paracrine	0.670799939400135
EDN1	EDNRA	autocrine|paracrine	0.670328750723653
GNAI2	ADCY9	autocrine|paracrine	0.669932900388224
FN1	CD44	autocrine|paracrine	0.669390346373798
BST1	CAV1	autocrine|paracrine	0.669135804316966
VEGFA	EGFR	autocrine|paracrine	0.668966004245641
CALM2	EGFR	autocrine|paracrine	0.668670626842336
PSAP	SORT1	autocrine|paracrine	0.668640302614657
MDK	SDC3	autocrine|paracrine	0.664780199273751
SEMA3A	NRP2	autocrine|paracrine	0.662471373342493
LAMA2	RPSA	autocrine|paracrine	0.662417872130655
ADAM10	AXL	autocrine|paracrine	0.662351046089953
GNAS	ADCY1	autocrine|paracrine	0.662128526375612
GNAI2	EGFR	autocrine|paracrine	0.662049890710019
CALM3	PDE1A	autocrine|paracrine	0.661670039540018
ADM	RAMP2	autocrine|paracrine	0.660110215713126
PLAU	ITGAV	autocrine|paracrine	0.660045951440546
GNAI2	UNC5B	autocrine|paracrine	0.659271644231846
APP	NGFR	autocrine|paracrine	0.658152456411193
LAMB3	ITGB1	autocrine|paracrine	0.656377538632224
P4HB	GPR162	autocrine|paracrine	0.656363674791602
MDK	TSPAN1	autocrine|paracrine	0.656310604535012
SEMA3F	NRP1	autocrine|paracrine	0.65597138570456
AGRN	LRP1	autocrine|paracrine	0.655859337682246
VEGFC	ITGB1	autocrine|paracrine	0.65566665644902
SCT	RAMP2	autocrine|paracrine	0.655304920250706
NCAM1	CACNA1C	autocrine|paracrine	0.655158691259549
RTN4	RTN4R	autocrine|paracrine	0.65153798750434
BMP2	BMPR2	autocrine|paracrine	0.651191636938361
UBA52	RIPK1	autocrine|paracrine	0.651014277142278
FBN1	ITGA5	autocrine|paracrine	0.650121572702166
CALM1	FAS	autocrine|paracrine	0.650099910002984
ANOS1	SDC2	autocrine|paracrine	0.649931111639566
TGFB1	ENG	autocrine|paracrine	0.64973580077846
HMGB1	SDC1	autocrine|paracrine	0.64922073779048
ARF1	INSR	autocrine|paracrine	0.649032942356115
COL4A5	CD47	autocrine|paracrine	0.648992661890374
CALM1	PDE1B	autocrine|paracrine	0.648700588731436
TGFB1	ITGAV	autocrine|paracrine	0.648184258133231
LAMC3	ITGB1	autocrine|paracrine	0.647986586902364
NCAM1	FGFR1	autocrine|paracrine	0.646353882709955
CALM3	EGFR	autocrine|paracrine	0.645920421680792
NCAM1	PTPRA	autocrine|paracrine	0.645623537926877
CLCF1	IL6ST	autocrine|paracrine	0.645593424998385
COL9A3	ITGB1	autocrine|paracrine	0.64555346526712
APOA4	LDLR	autocrine|paracrine	0.645368246369949
SEMA3A	PLXNA1	autocrine|paracrine	0.644719980107053
LTBP1	ITGB5	autocrine|paracrine	0.644246326849506
CD14	ITGB1	autocrine|paracrine	0.64385904616541
COL11A1	ITGB1	autocrine|paracrine	0.642920262308995
LAMA3	ITGB1	autocrine|paracrine	0.642466525871855
HSP90AA1	CFTR	autocrine|paracrine	0.642410956842116
PSEN1	NOTCH1	autocrine|paracrine	0.642182935216016
SEMA3A	PLXNA2	autocrine|paracrine	0.641235299726422
CALM2	PDE1B	autocrine|paracrine	0.640210536292299
LAMB3	CD151	autocrine|paracrine	0.640074395071794
NPY	FAP	autocrine|paracrine	0.638739144973409
HLA-C	DDR1	autocrine|paracrine	0.638290676806296
GNAI2	EDNRB	autocrine|paracrine	0.638275803156686
VCAN	CD44	autocrine|paracrine	0.637677605859002
CALR	ITGA3	autocrine|paracrine	0.636197377248045
INHBA	ENG	autocrine|paracrine	0.635775896231802
TGM2	ITGA4	autocrine|paracrine	0.635663576861034
P4HB	MTTP	autocrine|paracrine	0.634166480559335
THBS1	CD47	autocrine|paracrine	0.633401990905266
WNT5A	LDLR	autocrine|paracrine	0.633185037565033
TGFB1	TGFBR2	autocrine|paracrine	0.63189596924493
FGB	ITGB1	autocrine|paracrine	0.631855380080313
TNC	ITGAV	autocrine|paracrine	0.631528682975122
TGFB3	ITGB1	autocrine|paracrine	0.631299692675448
BMP5	BMPR1A	autocrine|paracrine	0.630884285915309
CALM1	INSR	autocrine|paracrine	0.629441184106931
HGF	ITGB1	autocrine|paracrine	0.628644784615831
PTMA	VIPR1	autocrine|paracrine	0.628279991911617
EFNB1	EPHB3	autocrine|paracrine	0.627873440162159
PTN	SDC1	autocrine|paracrine	0.627744270032465
PDGFA	PDGFRB	autocrine|paracrine	0.627401133617955
ADM	GPR20	autocrine|paracrine	0.626756521617839
COL1A1	ITGA11	autocrine|paracrine	0.626589879456716
CXCL12	CD4	autocrine|paracrine	0.626130918691275
LRPAP1	SORT1	autocrine|paracrine	0.625454435606038
MDK	SDC4	autocrine|paracrine	0.624579514208521
APOE	LRP5	autocrine|paracrine	0.624452084184033
JAG1	NOTCH2	autocrine|paracrine	0.623873892881509
HMGB1	THBD	autocrine|paracrine	0.623360916648937
NID1	ITGA3	autocrine|paracrine	0.622025761871111
SCT	GPR20	autocrine|paracrine	0.621749880127099
COL1A2	ITGA2B	autocrine|paracrine	0.621471818862059
DLL1	NOTCH4	autocrine|paracrine	0.621328222843751
EFNB1	EPHB4	autocrine|paracrine	0.620900642849788
CALM2	INSR	autocrine|paracrine	0.620757791001873
CXCL12	CXCR4	autocrine|paracrine	0.620477130377096
FGF2	SDC2	autocrine|paracrine	0.620439279413964
APOA4	LRP1	autocrine|paracrine	0.620310639210029
EFEMP1	EGFR	autocrine|paracrine	0.619326352618472
APP	TNFRSF21	autocrine|paracrine	0.619266640989411
CXCL12	ADRA2A	autocrine|paracrine	0.618978046999152
TGFB1	ACVRL1	autocrine|paracrine	0.617678813104888
COL18A1	ITGB5	autocrine|paracrine	0.617258056643608
COL1A2	ITGA11	autocrine|paracrine	0.617132708869048
C3	CD81	autocrine|paracrine	0.616918569784947
ADAM15	ITGB1	autocrine|paracrine	0.616812878299538
CALM3	PDE1B	autocrine|paracrine	0.616626559912365
RPS27A	FGFR2	autocrine|paracrine	0.614797822934431
SEMA4C	PLXNB2	autocrine|paracrine	0.613904210511874
PLAU	PLAUR	autocrine|paracrine	0.611653352553925
ITGB3BP	ITGB5	autocrine|paracrine	0.611570098995395
SEMA4D	PLXNB2	autocrine|paracrine	0.610916827364449
LAMA2	ITGB1	autocrine|paracrine	0.608820947694672
B2M	CD3D	autocrine|paracrine	0.608752255220328
PTN	SDC3	autocrine|paracrine	0.608548052369859
FGF7	NRP1	autocrine|paracrine	0.607772039734464
PSEN1	NCSTN	autocrine|paracrine	0.607311602759884
LAMA3	SDC2	autocrine|paracrine	0.606070172226406
HBEGF	CD9	autocrine|paracrine	0.605376247971556
CALM1	PDE1C	autocrine|paracrine	0.604616859483599
PROS1	AXL	autocrine|paracrine	0.601619318665121
B2M	HLA-F	autocrine|paracrine	0.601587466740434
DUSP18	RPSA	autocrine|paracrine	0.601254589168902
