Immune	Endothelial	interaction type	LRscore
IL1B	IL1R1	autocrine|paracrine	0.82221109245968
TGFB1	TGFBR3	autocrine|paracrine	0.821049113148128
CALM1	MYLK	autocrine|paracrine	0.820092613977549
LRPAP1	LDLR	autocrine|paracrine	0.816080789101338
CYR61	CAV1	autocrine|paracrine	0.814911832183261
GNAI2	UNC5B	autocrine|paracrine	0.811765083666191
THBS1	ITGB1	autocrine|paracrine	0.809335819294226
CALM2	MYLK	autocrine|paracrine	0.807801763490023
UBB	SMAD3	autocrine|paracrine	0.807505625853936
LUM	ITGB1	autocrine|paracrine	0.806332308889303
UBC	RIPK1	autocrine|paracrine	0.805294607055532
RPS27A	RIPK1	autocrine|paracrine	0.805086419205625
COL6A2	ITGB1	autocrine|paracrine	0.804768033488387
GNAI2	IGF1R	autocrine|paracrine	0.804567918697389
SCT	RAMP2	autocrine|paracrine	0.804567625748934
GNAI2	F2R	autocrine|paracrine	0.802879833528079
SEMA4A	PLXND1	autocrine|paracrine	0.80266553552191
SEMA4A	PLXND1	autocrine|paracrine	0.80266553552191
ADAM17	ITGB1	autocrine|paracrine	0.801217082530575
HSP90B1	ASGR1	autocrine|paracrine	0.800566392027008
CXCL12	ITGB1	autocrine|paracrine	0.799731195063692
PLAU	ITGB1	autocrine|paracrine	0.798568741630962
COL1A1	ITGA1	autocrine|paracrine	0.795488975412005
PSEN1	NOTCH4	autocrine|paracrine	0.794670862786629
COL6A1	ITGB1	autocrine|paracrine	0.793266283464063
ADM	RAMP2	autocrine|paracrine	0.789514708479136
UBB	TGFBR1	autocrine|paracrine	0.789275490731601
GPC3	CD81	autocrine|paracrine	0.788930443276337
PSEN1	NOTCH1	autocrine|paracrine	0.788533119228091
VCAN	ITGB1	autocrine|paracrine	0.788374034630765
CALM1	INSR	autocrine|paracrine	0.787630459037655
THBS1	ITGA6	autocrine|paracrine	0.786765974797813
ITGB2	THY1	autocrine|paracrine	0.784370222220161
ARF1	INSR	autocrine|paracrine	0.783572896179589
COL1A2	ITGA1	autocrine|paracrine	0.782240122064026
THBS1	CD36	autocrine|paracrine	0.781666332279223
HRAS	CAV1	autocrine|paracrine	0.781243311468666
B2M	TFRC	autocrine|paracrine	0.780721334056207
APOC3	LDLR	autocrine|paracrine	0.779645559894308
COL5A1	ITGB1	autocrine|paracrine	0.777949900192922
ARPC5	LDLR	autocrine|paracrine	0.776669127153641
TNF	TNFRSF1A	autocrine|paracrine	0.776137709798884
CALM2	INSR	autocrine|paracrine	0.773733751568852
HSP90AA1	FGFR3	autocrine|paracrine	0.773634263688885
LTB	LTBR	autocrine|paracrine	0.773274681065046
GNAI2	S1PR1	autocrine|paracrine	0.771676729192912
FN1	ITGB1	autocrine|paracrine	0.770867789737368
LTB	TNFRSF1A	autocrine|paracrine	0.770861724004644
UBC	ERBB2	autocrine|paracrine	0.769696832750144
UBC	TLR4	autocrine|paracrine	0.769655804386597
RPS27A	ERBB2	autocrine|paracrine	0.769461478691573
RPS27A	TLR4	autocrine|paracrine	0.769420420960355
COL6A1	ITGA6	autocrine|paracrine	0.769336352174808
CALM1	PTPRA	autocrine|paracrine	0.767370575465958
FBLN1	ITGB1	autocrine|paracrine	0.767365945524076
ADAM17	NOTCH1	autocrine|paracrine	0.767337432638997
VEGFA	NRP2	autocrine|paracrine	0.767011665766506
APP	CD74	autocrine|paracrine	0.766510154993304
UBB	RIPK1	autocrine|paracrine	0.763457582011321
CALR	ITGAV	autocrine|paracrine	0.760967661007339
ADAM17	ITGA5	autocrine|paracrine	0.758557948284581
COL1A1	ITGAV	autocrine|paracrine	0.757452882187703
UBA52	SMAD3	autocrine|paracrine	0.756970005385103
SELPLG	ESAM	autocrine|paracrine	0.756805333711395
COL6A3	ITGB1	autocrine|paracrine	0.75676890996544
PLAU	ITGA5	autocrine|paracrine	0.75551469325405
NID1	ITGB1	autocrine|paracrine	0.755304420450344
OSM	IL6ST	autocrine|paracrine	0.752138693083141
ICAM4	ITGB1	autocrine|paracrine	0.750874268203378
LTB	CD40	autocrine|paracrine	0.747823369948054
B2M	HLA-F	autocrine|paracrine	0.74747286133867
FN1	ITGA6	autocrine|paracrine	0.745178028311492
TGFB1	ITGAV	autocrine|paracrine	0.744149162963938
OSM	LIFR	autocrine|paracrine	0.743089727634043
TGFB1	SMAD3	autocrine|paracrine	0.742624803054423
COL1A2	ITGAV	autocrine|paracrine	0.74253744598405
HSP90AA1	ERBB2	autocrine|paracrine	0.742133599835286
MFAP2	NOTCH1	autocrine|paracrine	0.739561112840135
UBA52	TGFBR1	autocrine|paracrine	0.735521430679578
EFNB2	PECAM1	autocrine|paracrine	0.73502034694518
FN1	ROBO4	autocrine|paracrine	0.732139909366778
APOA4	LDLR	autocrine|paracrine	0.730369684546801
VEGFB	FLT1	autocrine|paracrine	0.729371950483585
COL4A1	CD93	autocrine|paracrine	0.728946562560889
VIM	CD44	autocrine|paracrine	0.728449211660454
COL5A2	ITGB1	autocrine|paracrine	0.727648403405159
CALM3	MYLK	autocrine|paracrine	0.727594945012347
TGFB1	CXCR4	autocrine|paracrine	0.72695484094485
COL4A1	ITGB1	autocrine|paracrine	0.72665643982956
COL16A1	ITGB1	autocrine|paracrine	0.725902517344382
FN1	ITGA5	autocrine|paracrine	0.723939712632791
UBB	ERBB2	autocrine|paracrine	0.722843337471016
UBB	TLR4	autocrine|paracrine	0.722796968294762
SPTAN1	PTPRA	autocrine|paracrine	0.722647741950174
HBEGF	CD9	autocrine|paracrine	0.722319952188868
VEGFB	NRP1	autocrine|paracrine	0.721830521459123
APOE	LDLR	autocrine|paracrine	0.72163532797817
ARF1	CHRM3	autocrine|paracrine	0.721527139799155
TGFB1	ITGB5	autocrine|paracrine	0.720745549469953
TGFB1	TGFBR1	autocrine|paracrine	0.720377863227679
CYR61	ITGA5	autocrine|paracrine	0.720198648930452
BMP2	ENG	autocrine|paracrine	0.720041904518922
UBC	ADRB2	autocrine|paracrine	0.719321365199034
RPS27A	ADRB2	autocrine|paracrine	0.719053321655405
APOA1	LRP1	autocrine|paracrine	0.715051022313903
ADM	CALCRL	autocrine|paracrine	0.714847820968714
FABP5	RXRA	autocrine|paracrine	0.713959967267275
HSP90B1	LRP1	autocrine|paracrine	0.707707635005033
MDK	SDC3	autocrine|paracrine	0.706660156763159
HLA-A	ERBB2	autocrine|paracrine	0.705997099860834
TNFSF10	TNFRSF10D	autocrine|paracrine	0.705984088348399
UBA52	RIPK1	autocrine|paracrine	0.705574358198664
TGM2	ITGB1	autocrine|paracrine	0.704376423810928
APOB	LDLR	autocrine|paracrine	0.70344209287505
PSAP	SORT1	autocrine|paracrine	0.69969804415899
ADAM10	NOTCH1	autocrine|paracrine	0.699638228078558
IGFBP4	LRP6	autocrine|paracrine	0.698989543836873
PSAP	LRP1	autocrine|paracrine	0.696414676202927
C3	CD81	autocrine|paracrine	0.69606771995117
ARF1	PLD2	autocrine|paracrine	0.695615559827945
VEGFA	ITGAV	autocrine|paracrine	0.692833690514096
HSP90B1	ERBB2	autocrine|paracrine	0.692180808802285
HSP90B1	TLR4	autocrine|paracrine	0.692131494596864
GNAI2	EDNRB	autocrine|paracrine	0.691589134527423
GSTP1	TRAF2	autocrine|paracrine	0.69018979978132
CALM1	ABCA1	autocrine|paracrine	0.689360324146069
HMGB1	TLR4	autocrine|paracrine	0.688914003595282
LAMB2	RPSA	autocrine|paracrine	0.688424902951932
CALM3	INSR	autocrine|paracrine	0.684856326067531
SPP1	ITGB1	autocrine|paracrine	0.682314586185629
LAMC1	ITGB1	autocrine|paracrine	0.682209067148756
TNF	TNFRSF1B	autocrine|paracrine	0.680996961478865
HSPA1A	TLR4	autocrine|paracrine	0.680741230993506
INHBA	ENG	autocrine|paracrine	0.680656435959143
IL1A	IL1R1	autocrine|paracrine	0.679714872254535
IL1RN	IL1R1	autocrine|paracrine	0.678917954654323
CALR	LRP1	autocrine|paracrine	0.678888721965819
CD55	ADGRE5	autocrine|paracrine	0.676868221021377
HSPG2	ITGB1	autocrine|paracrine	0.676146446973966
PTN	PLXNB2	autocrine|paracrine	0.674826937223695
LAMB1	ITGB1	autocrine|paracrine	0.673407236432978
COL1A1	DDR2	autocrine|paracrine	0.672608138962884
LIF	IL6ST	autocrine|paracrine	0.672273506722587
CALM2	ABCA1	autocrine|paracrine	0.671713397511175
LAMB2	ITGB1	autocrine|paracrine	0.671372370554914
TGFB1	SDC2	autocrine|paracrine	0.670088222967181
COL6A2	ITGA1	autocrine|paracrine	0.670037209555403
EDN1	ADGRL4	autocrine|paracrine	0.669697317823534
ADAM15	ITGB1	autocrine|paracrine	0.66965504270139
CDH1	PTPRM	autocrine|paracrine	0.669192652180052
SEMA7A	ITGB1	autocrine|paracrine	0.666972325055045
UBB	ADRB2	autocrine|paracrine	0.666657803866684
FGB	ITGB1	autocrine|paracrine	0.665873847012589
TNFSF14	LTBR	autocrine|paracrine	0.665772118992831
PIGF	FLT1	autocrine|paracrine	0.664693120196223
PSEN1	NCSTN	autocrine|paracrine	0.663452120811526
LIF	LIFR	autocrine|paracrine	0.661620566627485
SEMA4A	PLXNB2	autocrine|paracrine	0.661303600835601
HSPA8	ADRB2	autocrine|paracrine	0.661179683133138
COL3A1	DDR2	autocrine|paracrine	0.66082570567786
COL9A2	ITGB1	autocrine|paracrine	0.660675028566763
RPS19	C5AR1	autocrine|paracrine	0.660532997615365
FYN	THY1	autocrine|paracrine	0.66041792038265
UBA52	ERBB2	autocrine|paracrine	0.65945473143357
UBA52	TLR4	autocrine|paracrine	0.65940275417822
IL1B	ADRB2	autocrine|paracrine	0.657015458267922
DLL1	NOTCH4	autocrine|paracrine	0.656217877954172
COL6A1	ITGA1	autocrine|paracrine	0.654010524416059
BMP2	BMPR2	autocrine|paracrine	0.652936956929946
CXCL12	ACKR3	autocrine|paracrine	0.65290131086681
JAG1	NOTCH4	autocrine|paracrine	0.651166180805755
LAMC1	ITGA6	autocrine|paracrine	0.651078383108107
BMP4	BMPR2	autocrine|paracrine	0.649442685073147
CALR	ITGA3	autocrine|paracrine	0.649104966867571
UBA52	ACVR1	autocrine|paracrine	0.648682899739089
CD14	RIPK1	autocrine|paracrine	0.647822748067365
DLL1	NOTCH1	autocrine|paracrine	0.647775860112109
CTGF	ITGA5	autocrine|paracrine	0.642818467518665
JAG1	NOTCH1	autocrine|paracrine	0.642667661834124
LAMB1	ITGA6	autocrine|paracrine	0.641866962156319
MUC2	AGR2	autocrine|paracrine	0.639616333040386
LAMA5	ITGB1	autocrine|paracrine	0.638896477339957
PLAU	IGF2R	autocrine|paracrine	0.63860336342493
ADAM9	ITGB1	autocrine|paracrine	0.63764967472391
BMP7	ENG	autocrine|paracrine	0.636617372973688
LGALS1	CD69	autocrine|paracrine	0.635945774229346
COL4A5	CD93	autocrine|paracrine	0.635728913131518
LAMA5	BCAM	autocrine|paracrine	0.635459958061089
PTMA	VIPR1	autocrine|paracrine	0.634037046178437
RTN4	TNFRSF19	autocrine|paracrine	0.633762598401407
COL5A1	ITGA1	autocrine|paracrine	0.633148253280614
COL4A5	ITGB1	autocrine|paracrine	0.63304767227054
COL4A2	CD93	autocrine|paracrine	0.630234014432507
TNF	RIPK1	autocrine|paracrine	0.629839408754942
VEGFA	ITGA9	autocrine|paracrine	0.629030350932101
APOA2	LDLR	autocrine|paracrine	0.628857234438783
LGALS3BP	ITGB1	autocrine|paracrine	0.628600732652454
GNAI2	TBXA2R	autocrine|paracrine	0.628498431939332
MDK	LRP1	autocrine|paracrine	0.628464182124783
SEMA3B	NRP1	autocrine|paracrine	0.628084224729372
THBS1	CD47	autocrine|paracrine	0.627765696840885
SPP1	ITGA5	autocrine|paracrine	0.626048171782983
SEMA4D	PLXNB2	autocrine|paracrine	0.623994890478929
TNFSF14	TNFRSF14	autocrine|paracrine	0.621485665762448
EFNA1	EPHA2	autocrine|paracrine	0.619162862071913
GPC3	IGF1R	autocrine|paracrine	0.618214132326102
LAMB3	ITGB1	autocrine|paracrine	0.617409858450635
COL18A1	ITGB1	autocrine|paracrine	0.614320316136365
TIMP3	KDR	autocrine|paracrine	0.61404712799675
C1QB	LRP1	autocrine|paracrine	0.613330085519493
APP	NCSTN	autocrine|paracrine	0.612667676062331
ADAM15	ITGA5	autocrine|paracrine	0.612420090465375
PLAU	ITGAV	autocrine|paracrine	0.610589497436508
JAM3	ITGB1	autocrine|paracrine	0.610384332381371
CALR	HLA-F	autocrine|paracrine	0.61013680179755
COL1A1	CD44	autocrine|paracrine	0.609464966354919
FGB	ITGA5	autocrine|paracrine	0.608366906154523
VEGFA	SIRPA	autocrine|paracrine	0.608223161407951
ADAM12	ITGB1	autocrine|paracrine	0.60625815435127
LAMA5	ITGA6	autocrine|paracrine	0.605973489944898
COL6A3	ITGA1	autocrine|paracrine	0.605165111121336
ADAM9	ITGA6	autocrine|paracrine	0.60468334861311
CDH1	IGF1R	autocrine|paracrine	0.603209243523856
PLAU	PLAUR	autocrine|paracrine	0.602635556596851
LAMA4	ITGB1	autocrine|paracrine	0.601543362674524
IGF1	IGF1R	autocrine|paracrine	0.601307379647758
EFNB2	EPHB4	autocrine|paracrine	0.60050580839204
THBS1	LRP5	autocrine|paracrine	0.600391095955077
