Pericytes	Immune	interaction type	LRscore
COL4A1	ITGAV	autocrine|paracrine	0.727369275182205
CALM1	INSR	autocrine|paracrine	0.726429900910408
SERPINE2	LRP1	autocrine|paracrine	0.726122252008607
COL4A1	ITGA1	autocrine|paracrine	0.723190647292566
ICAM1	CAV1	autocrine|paracrine	0.722007859834056
CYR61	ITGB5	autocrine|paracrine	0.721127814080229
ARPC5	ADRB2	autocrine|paracrine	0.720993136458444
COL6A3	ITGA1	autocrine|paracrine	0.719778254739986
FN1	ITGA4	autocrine|paracrine	0.718452855754331
RPS27A	FGFR2	autocrine|paracrine	0.718409672758282
CSF1	CSF1R	autocrine|paracrine	0.717562606732975
UBA52	NOTCH1	autocrine|paracrine	0.716266934748902
HMGB1	THBD	autocrine|paracrine	0.71585319931092
PLAU	PLAUR	autocrine|paracrine	0.715419188348843
JAM3	ITGB2	autocrine|paracrine	0.714365181368523
RARRES2	CCRL2	autocrine|paracrine	0.713259795012831
VEGFA	NRP2	autocrine|paracrine	0.712958617699542
PGF	NRP2	autocrine|paracrine	0.712912096632221
PLAT	LRP1	autocrine|paracrine	0.712175559494964
THBS1	CD36	autocrine|paracrine	0.709351413073119
COL6A1	ITGA1	autocrine|paracrine	0.7089338440992
LAMC3	ITGB1	autocrine|paracrine	0.708620035471001
VCAN	SELL	autocrine|paracrine	0.704689448931284
SEMA4A	PLXNB2	autocrine|paracrine	0.70366576498805
CYR61	ITGAV	autocrine|paracrine	0.70329263297715
THBS1	CD47	autocrine|paracrine	0.702466056562688
JAG1	NOTCH2	autocrine|paracrine	0.70079052423354
UBA52	ERBB2	autocrine|paracrine	0.700764388191411
CXCL12	CD4	autocrine|paracrine	0.700296056362679
UBC	FGFR2	autocrine|paracrine	0.699229663470078
TFPI	LRP1	autocrine|paracrine	0.696994442081155
LPL	CD44	autocrine|paracrine	0.696421989830725
TGFB1	ITGB1	autocrine|paracrine	0.694507845668727
CALR	ITGAV	autocrine|paracrine	0.693516650651905
COL9A1	ITGB1	autocrine|paracrine	0.69316652594543
PTMA	VIPR1	autocrine|paracrine	0.693029590181102
HSPG2	ITGB1	autocrine|paracrine	0.692684161473026
B2M	HFE	autocrine|paracrine	0.692241436377674
HSP90B1	ASGR1	autocrine|paracrine	0.689586935791815
APP	LRP1	autocrine|paracrine	0.688778797622034
VCAN	ITGA4	autocrine|paracrine	0.68864206714824
LAMA5	ITGB1	autocrine|paracrine	0.686578130947374
UBB	FGFR2	autocrine|paracrine	0.685421082070742
APOE	SCARB1	autocrine|paracrine	0.684044498929109
PLTP	ABCA1	autocrine|paracrine	0.683710215570631
VCAM1	ITGB1	autocrine|paracrine	0.683661735972785
CALM3	INSR	autocrine|paracrine	0.683090354948294
ADAM17	ITGB1	autocrine|paracrine	0.680778830883303
GAS6	MERTK	autocrine|paracrine	0.680627794182081
JAG1	NOTCH1	autocrine|paracrine	0.679378774385304
CALM1	PTPRA	autocrine|paracrine	0.676834806374671
FN1	ITGA5	autocrine|paracrine	0.676148208218055
APOA4	LDLR	autocrine|paracrine	0.673822232570787
PSAP	LRP1	autocrine|paracrine	0.673549738037243
GNAI2	IGF1R	autocrine|paracrine	0.672589244575867
FN1	SDC2	autocrine|paracrine	0.672324015890368
GSTP1	TRAF2	autocrine|paracrine	0.671801226392471
GNAS	VIPR1	autocrine|paracrine	0.671310963105744
PTN	SDC3	autocrine|paracrine	0.670139133521798
CALR	HLA-F	autocrine|paracrine	0.67006784817252
JAM3	ITGB1	autocrine|paracrine	0.66863433872253
MFGE8	ITGAV	autocrine|paracrine	0.667013515466696
PLAU	ITGB2	autocrine|paracrine	0.666705137526915
APOB	ITGB2	autocrine|paracrine	0.666362887848234
ARF1	PLD2	autocrine|paracrine	0.665349113514091
HLA-B	LILRB1	autocrine|paracrine	0.66354236769999
COL1A1	DDR2	autocrine|paracrine	0.661677996602586
APP	NCSTN	autocrine|paracrine	0.661006213815007
CXCL12	ACKR3	autocrine|paracrine	0.660767680081804
COL5A2	ITGA1	autocrine|paracrine	0.660111710563825
HGF	CD44	autocrine|paracrine	0.660110066288069
APOB	LDLR	autocrine|paracrine	0.659110554055114
VEGFA	SIRPA	autocrine|paracrine	0.658651817004703
AGRN	LRP1	autocrine|paracrine	0.658408366120315
MFAP2	NOTCH1	autocrine|paracrine	0.65533174827444
TGFB3	ITGB1	autocrine|paracrine	0.655031767569015
FN1	ITGA6	autocrine|paracrine	0.654858352584587
GNAI2	ADCY7	autocrine|paracrine	0.653967567347293
PSAP	SORT1	autocrine|paracrine	0.65294635446502
LRPAP1	LRP1	autocrine|paracrine	0.651671507447306
RPS27A	LRP2	autocrine|paracrine	0.648404300344464
UBA52	SMAD3	autocrine|paracrine	0.645804761374891
COL1A1	DDR1	autocrine|paracrine	0.645572772770073
GPC6	LRP1	autocrine|paracrine	0.644970141316113
MFGE8	PDGFRB	autocrine|paracrine	0.643317403266645
THBS1	ITGA4	autocrine|paracrine	0.642865192365191
ACTR2	ADRB2	autocrine|paracrine	0.640336771395168
UBA52	RIPK1	autocrine|paracrine	0.640150055609699
GNAI2	F2R	autocrine|paracrine	0.639793756420582
COL3A1	DDR2	autocrine|paracrine	0.639678153191026
P4HB	MTTP	autocrine|paracrine	0.637760533390459
VCAM1	MSN	autocrine|paracrine	0.636667150846756
HSP90AA1	CFTR	autocrine|paracrine	0.635391317839495
LRPAP1	SORL1	autocrine|paracrine	0.634587467553788
LAMA3	ITGB1	autocrine|paracrine	0.634132196138281
COL18A1	ITGA3	autocrine|paracrine	0.632138875545113
SERPINA1	LRP1	autocrine|paracrine	0.632057747306155
COL4A5	ITGB1	autocrine|paracrine	0.630655730949534
LRPAP1	SORT1	autocrine|paracrine	0.630444920204651
COL5A1	ITGA1	autocrine|paracrine	0.629546644487727
NID1	ITGAV	autocrine|paracrine	0.628861604004839
UBC	LRP2	autocrine|paracrine	0.626932159874821
TGFB1	CAV1	autocrine|paracrine	0.626686493396575
COL16A1	ITGB1	autocrine|paracrine	0.626214477637854
NAMPT	INSR	autocrine|paracrine	0.623362114819476
COL3A1	DDR1	autocrine|paracrine	0.623122164917211
FN1	ITGAV	autocrine|paracrine	0.622727387138147
ADAM10	AXL	autocrine|paracrine	0.621668944759611
VCAM1	ITGB7	autocrine|paracrine	0.621506998751602
COL5A1	SDC3	autocrine|paracrine	0.620208351204617
ADAM9	ITGB1	autocrine|paracrine	0.618892146933315
CXCL12	SDC4	autocrine|paracrine	0.618726402903114
VEGFA	FLT1	autocrine|paracrine	0.618666134601146
PGF	FLT1	autocrine|paracrine	0.61861250639811
CALM2	PDE1B	autocrine|paracrine	0.618170505777178
THBS1	LRP1	autocrine|paracrine	0.617454695610932
PLAU	ITGB1	autocrine|paracrine	0.617430222507005
VEGFC	ITGB1	autocrine|paracrine	0.616545717167515
SERPING1	LRP1	autocrine|paracrine	0.616119174153495
HLA-C	LILRB1	autocrine|paracrine	0.615382038293041
HLA-A	ERBB2	autocrine|paracrine	0.615236063762965
VEGFA	NRP1	autocrine|paracrine	0.614393067323856
PGF	NRP1	autocrine|paracrine	0.614339212793414
VCL	ITGB5	autocrine|paracrine	0.613354567136928
UBB	LRP2	autocrine|paracrine	0.611647848741282
IL34	CSF1R	autocrine|paracrine	0.610864291107429
LAMC1	ITGA6	autocrine|paracrine	0.610860296807446
MDK	TSPAN1	autocrine|paracrine	0.610558683978939
FBN1	ITGA5	autocrine|paracrine	0.610508569691547
LAMB1	ITGA6	autocrine|paracrine	0.610447333843658
CALM1	PDE1B	autocrine|paracrine	0.610403406148271
APOE	LRP5	autocrine|paracrine	0.610328504570158
TFPI	SDC4	autocrine|paracrine	0.608176575004961
MMP2	SDC2	autocrine|paracrine	0.607155862551994
DUSP18	RPSA	autocrine|paracrine	0.606619284253986
SEMA4C	PLXNB2	autocrine|paracrine	0.606264629257045
ADAM15	ITGB1	autocrine|paracrine	0.604650956589692
PODXL2	SELL	autocrine|paracrine	0.604313973183539
HAS2	CD44	autocrine|paracrine	0.60393830478022
HBEGF	CD9	autocrine|paracrine	0.603688983940122
LAMA4	ITGA6	autocrine|paracrine	0.60316549774511
ARF1	CHRM3	autocrine|paracrine	0.60239113315526
HRAS	CAV1	autocrine|paracrine	0.601987953366477
