Myofibroblast_Mesothelium	Neural	interaction type	LRscore
CXCL12	ITGB1	autocrine|paracrine	0.853118725703501
RPS27A	ERBB2	autocrine|paracrine	0.848802637883692
COL1A1	ITGAV	autocrine|paracrine	0.847541945398942
PTN	SDC3	autocrine|paracrine	0.84666263499881
LAMB1	ITGB1	autocrine|paracrine	0.845808928668101
VEGFA	ITGB1	autocrine|paracrine	0.842745260570712
COL5A1	ITGA1	autocrine|paracrine	0.842695811541537
COL1A2	ITGAV	autocrine|paracrine	0.842272082062602
MDK	ITGA6	autocrine|paracrine	0.841360796451214
COL4A1	ITGA1	autocrine|paracrine	0.837827727756437
MDK	LRP1	autocrine|paracrine	0.836797482230487
UBC	LDLR	autocrine|paracrine	0.835785226656227
COL5A2	ITGA1	autocrine|paracrine	0.835461861152297
FN1	CD44	autocrine|paracrine	0.834649462252943
RPS27A	TGFBR1	autocrine|paracrine	0.833503969873722
HLA-B	CANX	autocrine|paracrine	0.832800816274354
FN1	SDC2	autocrine|paracrine	0.832336188606595
COL4A1	CD47	autocrine|paracrine	0.83161458777886
RTN4	NGFR	autocrine|paracrine	0.830062109562282
COL6A1	ITGA6	autocrine|paracrine	0.829467659036785
LGALS3BP	ITGB1	autocrine|paracrine	0.826458596237484
LAMB1	ITGA1	autocrine|paracrine	0.825827391590822
LAMA4	ITGB1	autocrine|paracrine	0.825530105886888
TIMP2	ITGB1	autocrine|paracrine	0.824367403473192
FBN1	ITGB1	autocrine|paracrine	0.82429201007992
FN1	ITGA6	autocrine|paracrine	0.823878243311169
GNAI2	EDNRB	autocrine|paracrine	0.822992212471378
HSPA8	LDLR	autocrine|paracrine	0.822211734908955
UBB	LDLR	autocrine|paracrine	0.821171975348224
UBA52	NOTCH1	autocrine|paracrine	0.82034125104136
UBC	ERBB2	autocrine|paracrine	0.818235759843719
MFAP2	NOTCH1	autocrine|paracrine	0.817642584133983
HLA-A	APLP2	autocrine|paracrine	0.817216643087735
CYR61	CAV1	autocrine|paracrine	0.816831609277286
COL5A1	SDC3	autocrine|paracrine	0.816267414817025
VEGFA	GPC1	autocrine|paracrine	0.815991856356004
COL1A1	ITGA2	autocrine|paracrine	0.815725205842648
LAMC1	ITGB1	autocrine|paracrine	0.814598208008404
VCAN	CD44	autocrine|paracrine	0.814393312993598
MMP2	SDC2	autocrine|paracrine	0.813947129815825
UBA52	TGFBR2	autocrine|paracrine	0.813063500004372
COL1A2	ITGA2	autocrine|paracrine	0.809602626576957
COL3A1	ITGA2	autocrine|paracrine	0.8076690908221
MDK	GPC2	autocrine|paracrine	0.806438289832748
PTN	PLXNB2	autocrine|paracrine	0.804121967924021
FN1	ITGB8	autocrine|paracrine	0.803249822451182
HSP90AA1	ERBB2	autocrine|paracrine	0.803222273654138
APP	GPC1	autocrine|paracrine	0.802560800255118
COL16A1	ITGB1	autocrine|paracrine	0.802432281802765
UBB	ERBB2	autocrine|paracrine	0.802429973883385
HSP90B1	LRP1	autocrine|paracrine	0.801425085472401
TGM2	ITGB1	autocrine|paracrine	0.800775709378729
IGFBP4	LRP6	autocrine|paracrine	0.800603878366351
UBC	TGFBR1	autocrine|paracrine	0.800570908655986
FN1	IL17RC	autocrine|paracrine	0.800467845452271
CTGF	LRP1	autocrine|paracrine	0.798956654629415
DLL1	NOTCH1	autocrine|paracrine	0.798866239739534
FN1	ITGAV	autocrine|paracrine	0.798246963616079
LAMA5	ITGB1	autocrine|paracrine	0.797649034423739
COL5A2	DDR1	autocrine|paracrine	0.796821363843929
LAMC1	ITGA1	autocrine|paracrine	0.79156878944701
CALM1	PTPRA	autocrine|paracrine	0.791115773850406
LAMB2	ITGB1	autocrine|paracrine	0.788427697212137
HSP90B1	ERBB2	autocrine|paracrine	0.787312703772736
NID1	PTPRF	autocrine|paracrine	0.78657847769086
COL4A5	ITGB1	autocrine|paracrine	0.786552278648633
PLAT	LRP1	autocrine|paracrine	0.784845240142357
UBB	TGFBR1	autocrine|paracrine	0.783635216007403
COL6A2	ITGA2	autocrine|paracrine	0.779240250308415
APOA1	LDLR	autocrine|paracrine	0.777355929299718
THBS1	ITGB1	autocrine|paracrine	0.774952866012343
UBA52	LDLR	autocrine|paracrine	0.774499776738959
CYR61	ITGAV	autocrine|paracrine	0.774159859591684
CALR	LRP1	autocrine|paracrine	0.773058806541047
APOA1	LRP1	autocrine|paracrine	0.771004175407192
HLA-C	DDR1	autocrine|paracrine	0.769950747850581
CALM1	MYLK	autocrine|paracrine	0.769052367371271
PKM	CD44	autocrine|paracrine	0.767916314119597
PLAU	ITGB1	autocrine|paracrine	0.767575358120361
FN1	PLAUR	autocrine|paracrine	0.766754236034054
BMP4	BMPR2	autocrine|paracrine	0.766539696762114
RTN4	TNFRSF19	autocrine|paracrine	0.76653144014331
B2M	TFRC	autocrine|paracrine	0.766131158204218
COL6A1	ITGA2	autocrine|paracrine	0.766129604298652
HSPG2	ITGB1	autocrine|paracrine	0.765963473396086
APP	NGFR	autocrine|paracrine	0.765838057243527
EFEMP2	AQP1	autocrine|paracrine	0.764513035216644
CALM2	MYLK	autocrine|paracrine	0.762405611431471
COL4A5	ITGA1	autocrine|paracrine	0.761061014000568
FN1	ITGA2	autocrine|paracrine	0.759067207660671
RPS27A	RIPK1	autocrine|paracrine	0.758097972082104
TGFB1	ITGB1	autocrine|paracrine	0.758090491810985
VCAM1	ITGB1	autocrine|paracrine	0.756228759449123
GNAI2	CAV1	autocrine|paracrine	0.755224611474653
NCAM1	GFRA1	autocrine|paracrine	0.753443435332501
COL4A5	CD47	autocrine|paracrine	0.752774641839771
UBA52	ERBB2	autocrine|paracrine	0.752341536772328
VEGFA	NRP1	autocrine|paracrine	0.751097240241866
CALR	ITGAV	autocrine|paracrine	0.748755996458046
LAMB1	ITGA6	autocrine|paracrine	0.747522902123133
GNAS	ADCY1	autocrine|paracrine	0.746204114701828
RTN4	LINGO1	autocrine|paracrine	0.745170388542999
APP	CAV1	autocrine|paracrine	0.744729308922459
TNC	ITGB1	autocrine|paracrine	0.744587806545682
PSAP	LRP1	autocrine|paracrine	0.743724332128647
CALM3	MYLK	autocrine|paracrine	0.743623869700233
WNT5A	MCAM	autocrine|paracrine	0.743574779134099
AGRN	ITGB1	autocrine|paracrine	0.741913464064313
EFEMP2	PLSCR4	autocrine|paracrine	0.741214927332626
THBS1	CD47	autocrine|paracrine	0.739946535759303
COL9A1	ITGB1	autocrine|paracrine	0.738792046046433
COL4A1	ITGB8	autocrine|paracrine	0.73791166876669
JAM3	ITGB1	autocrine|paracrine	0.737900844008283
GNAI2	IGF1R	autocrine|paracrine	0.737745045331455
NID1	ITGAV	autocrine|paracrine	0.737157514227245
NLGN2	NRXN1	autocrine|paracrine	0.736822955543871
COL6A3	ITGA2	autocrine|paracrine	0.736646223151999
VEGFA	TYRO3	autocrine|paracrine	0.736090228035058
DLL1	NOTCH2	autocrine|paracrine	0.735903564246548
NLGN1	NRXN1	autocrine|paracrine	0.73546183157545
RPS27A	SMAD3	autocrine|paracrine	0.734867197572609
COL4A1	ITGAV	autocrine|paracrine	0.731802147154306
VEGFA	NRP2	autocrine|paracrine	0.730974261201437
UBA52	TGFBR1	autocrine|paracrine	0.730382893670493
APP	NCSTN	autocrine|paracrine	0.728394589013584
FABP5	RXRA	autocrine|paracrine	0.727264413024615
TNC	PTPRZ1	autocrine|paracrine	0.725470820468104
SEMA3A	NRP1	autocrine|paracrine	0.724845009651514
MDK	SDC1	autocrine|paracrine	0.72197875433796
CXCL12	ACKR3	autocrine|paracrine	0.721484265255459
SERPINE2	LRP1	autocrine|paracrine	0.720457377542669
FYN	THY1	autocrine|paracrine	0.719850159769029
APP	LRP1	autocrine|paracrine	0.719361336874322
SPTAN1	PTPRA	autocrine|paracrine	0.719063680688051
LAMA4	ITGA6	autocrine|paracrine	0.718618052747472
APP	CD74	autocrine|paracrine	0.715934817647089
UBC	RIPK1	autocrine|paracrine	0.715343406154566
BMP5	BMPR2	autocrine|paracrine	0.714792569373434
LAMB1	ITGAV	autocrine|paracrine	0.714628476068726
TFPI	LRP1	autocrine|paracrine	0.714053045917262
LRPAP1	LDLR	autocrine|paracrine	0.713506134800814
HSP90B1	ASGR1	autocrine|paracrine	0.71201222495051
EFEMP2	LINGO1	autocrine|paracrine	0.711990405234742
ARF1	INSR	autocrine|paracrine	0.711457725187024
HBEGF	CD9	autocrine|paracrine	0.710086514396948
VEGFA	ITGAV	autocrine|paracrine	0.709852469653174
VCAM1	EZR	autocrine|paracrine	0.706826068634725
SEMA3A	PLXNA3	autocrine|paracrine	0.706333315244726
COL14A1	CD44	autocrine|paracrine	0.706069589457373
LRPAP1	LRP1	autocrine|paracrine	0.706021697179601
NPNT	ITGB1	autocrine|paracrine	0.704390388915948
COL18A1	ITGB1	autocrine|paracrine	0.703924111241246
SEMA3A	NRP2	autocrine|paracrine	0.703437632035734
LAMC1	ITGA6	autocrine|paracrine	0.703394129411832
GDNF	GFRA1	autocrine|paracrine	0.701980239107091
JAG1	NOTCH1	autocrine|paracrine	0.69998370056042
GNAI2	F2R	autocrine|paracrine	0.698563340348269
CALM1	ABCA1	autocrine|paracrine	0.697768789146173
GDNF	EDNRB	autocrine|paracrine	0.6973566525903
HLA-A	ERBB2	autocrine|paracrine	0.695664672900176
NCAM1	PTPRA	autocrine|paracrine	0.694910907177286
UBB	RIPK1	autocrine|paracrine	0.693937093734406
CALM1	INSR	autocrine|paracrine	0.693706149878625
NECTIN2	NECTIN3	autocrine|paracrine	0.691809092154392
HMGB1	SDC1	autocrine|paracrine	0.690809198883123
CALM2	ABCA1	autocrine|paracrine	0.68989771235594
UBC	SMAD3	autocrine|paracrine	0.689687410982346
GPC6	LRP1	autocrine|paracrine	0.689601007966924
GSTP1	TRAF2	autocrine|paracrine	0.689335111669272
EDN1	EDNRB	autocrine|paracrine	0.689233915370955
MDK	TSPAN1	autocrine|paracrine	0.687651462279486
TFPI	F3	autocrine|paracrine	0.687291686754189
ANGPT1	ITGB1	autocrine|paracrine	0.686434656641476
CALM2	INSR	autocrine|paracrine	0.685776915192796
COL4A1	ITGA2	autocrine|paracrine	0.684813896352475
ADAM9	ITGB1	autocrine|paracrine	0.684594614526313
LAMA4	ITGAV	autocrine|paracrine	0.683551929855053
TGFB1	TGFBR2	autocrine|paracrine	0.682278457621161
FBN1	ITGAV	autocrine|paracrine	0.681694787948199
ARF1	CHRM3	autocrine|paracrine	0.681687346416825
LAMA5	ITGA6	autocrine|paracrine	0.680269051108353
APOE	LDLR	autocrine|paracrine	0.680225048475609
MDK	ITGA4	autocrine|paracrine	0.680031284986432
AREG	ERBB3	autocrine|paracrine	0.679654561080566
ADAM10	NOTCH1	autocrine|paracrine	0.679333507765467
DLL1	NOTCH3	autocrine|paracrine	0.679114032320555
NRG1	ERBB3	autocrine|paracrine	0.677527102571994
GNAS	ADCY9	autocrine|paracrine	0.677062818436224
COL3A1	MAG	autocrine|paracrine	0.676523343914909
FN1	ITGA3	autocrine|paracrine	0.67486946652044
A2M	LRP1	autocrine|paracrine	0.674568768790719
EDIL3	ITGAV	autocrine|paracrine	0.674378018532646
COL1A1	CD36	autocrine|paracrine	0.672736640236559
BMP2	BMPR2	autocrine|paracrine	0.672274877787471
APOE	LRP1	autocrine|paracrine	0.672270522411671
HMGB1	THBD	autocrine|paracrine	0.670894554977145
PTN	SDC1	autocrine|paracrine	0.670587022420465
PTN	PTPRS	autocrine|paracrine	0.668528845783538
ACTR2	LDLR	autocrine|paracrine	0.668453077732805
LRPAP1	SORL1	autocrine|paracrine	0.668029291202504
CALM3	ABCA1	autocrine|paracrine	0.667881100443132
P4HB	MTTP	autocrine|paracrine	0.667842829535457
TNFSF12	TNFRSF12A	autocrine|paracrine	0.667380054117836
LAMC1	ITGAV	autocrine|paracrine	0.667309121107914
UBB	SMAD3	autocrine|paracrine	0.66724921311934
JAG1	CD46	autocrine|paracrine	0.666727126895803
RPS27A	FGFR2	autocrine|paracrine	0.666366939853801
LAMB1	ITGA2	autocrine|paracrine	0.666004630841827
COL1A2	CD36	autocrine|paracrine	0.663821153758895
ADM	RAMP2	autocrine|paracrine	0.663757476362299
COL4A6	ITGB1	autocrine|paracrine	0.663616902160002
CALM3	INSR	autocrine|paracrine	0.663610389545907
LAMA2	RPSA	autocrine|paracrine	0.663339493062678
HSP90AA1	FGFR3	autocrine|paracrine	0.663301818864768
SERPINA1	LRP1	autocrine|paracrine	0.663286586878697
COL18A1	GPC1	autocrine|paracrine	0.662997621621932
BMP4	BMPR1A	autocrine|paracrine	0.662343062217622
COL1A1	CD93	autocrine|paracrine	0.660507554809052
VEGFB	NRP1	autocrine|paracrine	0.659808149165184
NAMPT	INSR	autocrine|paracrine	0.659018752894274
SCT	RAMP2	autocrine|paracrine	0.658977106285204
APOC3	SDC2	autocrine|paracrine	0.656674853712596
VCAM1	MSN	autocrine|paracrine	0.656315654941293
IGF1	IGF1R	autocrine|paracrine	0.654515255691076
GPC3	IGF1R	autocrine|paracrine	0.653177875743908
FN1	ITGA4	autocrine|paracrine	0.65212083151422
COL1A2	CD93	autocrine|paracrine	0.651431534366027
CLCF1	IL6ST	autocrine|paracrine	0.651430609642535
NCAM1	FGFR1	autocrine|paracrine	0.651349827537163
TGFB1	CAV1	autocrine|paracrine	0.650488025351575
EFNB1	ERBB2	autocrine|paracrine	0.650189838893312
THBS1	ITGA6	autocrine|paracrine	0.650181207382234
MFGE8	ITGAV	autocrine|paracrine	0.648456581599009
ARPC5	LDLR	autocrine|paracrine	0.647300600848514
UBA52	ACVR1	autocrine|paracrine	0.647284082806778
COL7A1	ITGB1	autocrine|paracrine	0.647115505249437
IGFBP4	FZD8	autocrine|paracrine	0.645608241181671
GPC3	LRP1	autocrine|paracrine	0.644747516895294
NTF3	NGFR	autocrine|paracrine	0.644220082909125
APOC3	LDLR	autocrine|paracrine	0.643736460545248
THBS1	LRP1	autocrine|paracrine	0.642455545316899
TGFB1	SDC2	autocrine|paracrine	0.642219595644162
RTN4	RTN4R	autocrine|paracrine	0.642056523206228
VEGFB	TYRO3	autocrine|paracrine	0.641921086853582
COL1A1	ITGA5	autocrine|paracrine	0.641296121565598
SEMA3A	PLXNA2	autocrine|paracrine	0.639851674182379
SERPING1	LRP1	autocrine|paracrine	0.638088996573458
SEMA3A	PLXNA1	autocrine|paracrine	0.638051938312694
FAT4	DCHS1	autocrine|paracrine	0.63620664205849
APOC3	LRP1	autocrine|paracrine	0.635360828060823
NLGN2	NRXN3	autocrine|paracrine	0.63424754763153
LAMA5	BCAM	autocrine|paracrine	0.633021636510866
PLAU	LRP1	autocrine|paracrine	0.632792663793366
NLGN1	NRXN3	autocrine|paracrine	0.632620426091335
THBS2	ITGB1	autocrine|paracrine	0.632576563467359
NRG1	GPC1	autocrine|paracrine	0.63240630464826
APOE	SORL1	autocrine|paracrine	0.632188631560686
HSPG2	LRP1	autocrine|paracrine	0.630695776822223
ADAM17	ITGB1	autocrine|paracrine	0.630673330593769
ICAM1	CAV1	autocrine|paracrine	0.630559584181663
COL4A6	ITGA1	autocrine|paracrine	0.630343891594237
VEGFA	KDR	autocrine|paracrine	0.629428638156975
P4HB	GPR162	autocrine|paracrine	0.629329372006181
GNAI2	S1PR3	autocrine|paracrine	0.629082063368028
UBA52	RIPK1	autocrine|paracrine	0.629058271313651
COL4A5	ITGAV	autocrine|paracrine	0.627179846995346
SEMA3F	NRP1	autocrine|paracrine	0.62488735013965
GNAS	ADCY7	autocrine|paracrine	0.624329597901048
INHBA	BAMBI	autocrine|paracrine	0.621169352988173
PSEN1	NOTCH1	autocrine|paracrine	0.620870705351696
JAG1	NOTCH2	autocrine|paracrine	0.620761497221071
COL4A6	CD47	autocrine|paracrine	0.619788990167821
VCAN	ITGA4	autocrine|paracrine	0.619692703143743
GNAS	GCGR	autocrine|paracrine	0.616405345600665
UBC	FGFR2	autocrine|paracrine	0.615619961671254
CXCL12	ADRA2A	autocrine|paracrine	0.615570135722698
LAMC1	ITGA2	autocrine|paracrine	0.614966688462081
GNAI2	ADCY1	autocrine|paracrine	0.611971495154112
FN1	MAG	autocrine|paracrine	0.610752695992494
CALR	ITGA3	autocrine|paracrine	0.60990369925095
NRG2	ERBB3	autocrine|paracrine	0.608057955455184
IGF1	IGF2R	autocrine|paracrine	0.607881664605814
TGM2	ADGRG1	autocrine|paracrine	0.606265703562311
GNAI2	EDNRA	autocrine|paracrine	0.605880902423512
SEMA3A	PLXNA4	autocrine|paracrine	0.6055117680614
SEMA3F	PLXNA3	autocrine|paracrine	0.603330942061828
DUSP18	RPSA	autocrine|paracrine	0.602242924756227
MFGE8	PDGFRB	autocrine|paracrine	0.60200424882309
NLGN2	NRXN2	autocrine|paracrine	0.601230168118072
PLAU	ITGAV	autocrine|paracrine	0.601217486493788
LAMB3	ITGB1	autocrine|paracrine	0.600910116038112
VEGFC	ITGB1	autocrine|paracrine	0.600154385989224
AGRN	LRP1	autocrine|paracrine	0.600004353582557
