Muscle	Endothelial	interaction type	LRscore
FN1	FLT4	autocrine|paracrine	0.864120154670555
COL1A1	ITGAV	autocrine|paracrine	0.861932181809917
FGF7	NRP1	autocrine|paracrine	0.861235961367464
TIMP2	ITGB1	autocrine|paracrine	0.860939903958119
MFAP2	NOTCH1	autocrine|paracrine	0.859788470524561
RPS27A	SMAD3	autocrine|paracrine	0.856096516299722
COL6A1	ITGA1	autocrine|paracrine	0.855215830806131
COL1A2	ITGAV	autocrine|paracrine	0.85494036792164
TNC	ITGB1	autocrine|paracrine	0.853697344888079
APP	CD74	autocrine|paracrine	0.853617655555121
FBLN1	ITGB1	autocrine|paracrine	0.853282156949973
LAMA4	ITGB1	autocrine|paracrine	0.851022436111031
LAMB1	ITGA6	autocrine|paracrine	0.849120568711719
BSG	SELE	autocrine|paracrine	0.849091936570324
COL6A3	ITGA2	autocrine|paracrine	0.848490078689305
IGFBP4	LRP6	autocrine|paracrine	0.848239373170237
ARPC5	LDLR	autocrine|paracrine	0.847056511833783
CALM2	MYLK	autocrine|paracrine	0.846480837766747
TIMP3	KDR	autocrine|paracrine	0.846468984115977
CTGF	LRP6	autocrine|paracrine	0.844552088031451
VEGFB	FLT1	autocrine|paracrine	0.844424898516486
CALM1	MYLK	autocrine|paracrine	0.842381958621458
RPS27A	TGFBR1	autocrine|paracrine	0.841565287177732
FBN1	ITGB1	autocrine|paracrine	0.84138278976924
VEGFB	NRP1	autocrine|paracrine	0.839383556648545
HSPG2	ITGA2	autocrine|paracrine	0.837904016918154
LGALS3BP	ITGB1	autocrine|paracrine	0.836735480716387
THBS1	ITGB1	autocrine|paracrine	0.833917662507037
COL4A1	ITGA2	autocrine|paracrine	0.832664146571543
EFEMP2	AQP1	autocrine|paracrine	0.832503265597781
LAMA4	ITGA6	autocrine|paracrine	0.832365142819148
COL16A1	ITGB1	autocrine|paracrine	0.832113881193692
UBC	SMAD3	autocrine|paracrine	0.831669708591136
LAMC1	ITGB1	autocrine|paracrine	0.830953695416554
VEGFA	ITGB1	autocrine|paracrine	0.830700274738853
COL6A3	ITGA1	autocrine|paracrine	0.827835465589448
TNC	PTPRB	autocrine|paracrine	0.826247120310203
SEMA4A	PLXND1	autocrine|paracrine	0.826220189018335
SEMA4A	PLXND1	autocrine|paracrine	0.826220189018335
LAMA5	ITGB1	autocrine|paracrine	0.825746389752372
FN1	ITGAV	autocrine|paracrine	0.824044310299263
LAMA5	BCAM	autocrine|paracrine	0.823597097555516
PTN	PLXNB2	autocrine|paracrine	0.823564757103845
VEGFA	FLT1	autocrine|paracrine	0.822861651199279
RPS27A	RIPK1	autocrine|paracrine	0.820698523832583
TNC	ITGA5	autocrine|paracrine	0.819767106600321
FN1	PLAUR	autocrine|paracrine	0.819159007696623
LRPAP1	LDLR	autocrine|paracrine	0.818434854030755
CALM2	INSR	autocrine|paracrine	0.817721821324192
VEGFA	NRP1	autocrine|paracrine	0.817272765624893
LUM	ITGB1	autocrine|paracrine	0.817070068205689
MDK	SDC3	autocrine|paracrine	0.816020762857896
VCAN	ITGB1	autocrine|paracrine	0.815299278183678
UBC	TGFBR1	autocrine|paracrine	0.815204320281488
TGFB1	CAV1	autocrine|paracrine	0.814192643640714
THBS1	ITGA6	autocrine|paracrine	0.813587465682707
CALM1	INSR	autocrine|paracrine	0.813024698848659
HLA-C	NOTCH4	autocrine|paracrine	0.812757742640216
ANGPTL2	TIE1	autocrine|paracrine	0.811315580938091
LAMC1	ITGA6	autocrine|paracrine	0.810343194082377
COL4A1	ITGA1	autocrine|paracrine	0.810334327544561
THBS1	CD36	autocrine|paracrine	0.808973533086393
VEGFA	KDR	autocrine|paracrine	0.808623630890071
CALM3	MYLK	autocrine|paracrine	0.805322198018496
FBN1	ITGA5	autocrine|paracrine	0.805248108026048
FST	BMPR2	autocrine|paracrine	0.805129878498158
RGMA	BMPR2	autocrine|paracrine	0.805118407112828
TGM2	ITGB1	autocrine|paracrine	0.80479098289232
FGF7	FGFR1	autocrine|paracrine	0.804758330933901
LAMA5	ITGA6	autocrine|paracrine	0.804650258189734
COL1A1	DDR2	autocrine|paracrine	0.804186942889822
CYR61	ITGAV	autocrine|paracrine	0.802853999542196
UBB	SMAD3	autocrine|paracrine	0.79948387147697
ARF1	INSR	autocrine|paracrine	0.798502972607574
SEMA3C	PLXND1	autocrine|paracrine	0.795393983484112
FN1	NT5E	autocrine|paracrine	0.795041253056419
CALM1	PTPRA	autocrine|paracrine	0.794555500121254
HLA-B	CANX	autocrine|paracrine	0.794301448432439
ADM	RAMP2	autocrine|paracrine	0.794260460174994
CALR	SCARF1	autocrine|paracrine	0.793598211617928
COL3A1	DDR2	autocrine|paracrine	0.793110212626658
HSP90B1	ASGR1	autocrine|paracrine	0.792691151259248
HLA-A	APLP2	autocrine|paracrine	0.792536485467826
UBC	RIPK1	autocrine|paracrine	0.791724908125959
ADAM9	ITGB1	autocrine|paracrine	0.791217273164307
COL5A2	ITGA1	autocrine|paracrine	0.78955336511451
SEMA3A	NRP1	autocrine|paracrine	0.78936607609098
COL5A1	ITGA1	autocrine|paracrine	0.789005913758262
PDGFC	FLT1	autocrine|paracrine	0.788417424970313
LAMB1	ITGA2	autocrine|paracrine	0.787899615771112
RPS27A	ERBB2	autocrine|paracrine	0.787172729960648
GREM1	KDR	autocrine|paracrine	0.786855269687062
CYR61	ITGB5	autocrine|paracrine	0.783256261335657
EFNB2	PECAM1	autocrine|paracrine	0.781511112198881
FN1	COL13A1	autocrine|paracrine	0.780790451342441
UBB	TGFBR1	autocrine|paracrine	0.780700354282662
BST1	CAV1	autocrine|paracrine	0.780662683292513
FN1	ITGA9	autocrine|paracrine	0.778793745898745
GNAI2	UNC5B	autocrine|paracrine	0.776875168021007
COL4A1	CD47	autocrine|paracrine	0.775065716908858
ACTR2	LDLR	autocrine|paracrine	0.774815666402682
FN1	IL17RC	autocrine|paracrine	0.774531744716681
COL4A1	ITGAV	autocrine|paracrine	0.774275800899941
GPC3	IGF1R	autocrine|paracrine	0.773507166844992
NCAM1	FGFR1	autocrine|paracrine	0.772960767440373
APOC3	LDLR	autocrine|paracrine	0.772717788870198
TGFB1	ENG	autocrine|paracrine	0.772556788418409
PDGFC	KDR	autocrine|paracrine	0.772177367791625
COL4A5	CD93	autocrine|paracrine	0.771085626017386
CALM3	INSR	autocrine|paracrine	0.7709393007342
PTGS2	CAV1	autocrine|paracrine	0.770407551248573
BMP2	ENG	autocrine|paracrine	0.770366883606132
TNC	ITGA2	autocrine|paracrine	0.770003408669873
HRAS	CAV1	autocrine|paracrine	0.769800651478659
CXCL12	ACKR3	autocrine|paracrine	0.769190098216605
COL4A5	ITGB1	autocrine|paracrine	0.769038729030181
GNAI2	IGF1R	autocrine|paracrine	0.768724054567936
APOE	LDLR	autocrine|paracrine	0.767857068653986
ADAM9	ITGA6	autocrine|paracrine	0.767119792573792
GNAI2	F2R	autocrine|paracrine	0.766816092961038
TGFB1	ITGB1	autocrine|paracrine	0.766707974771609
SORBS1	INSR	autocrine|paracrine	0.766351728923064
HSPG2	CHRM3	autocrine|paracrine	0.766007703783994
FN1	SDC2	autocrine|paracrine	0.765832949101404
PTN	SDC3	autocrine|paracrine	0.763530097163999
COL4A2	ITGB5	autocrine|paracrine	0.762671795414388
UBA52	SMAD3	autocrine|paracrine	0.762575670180372
LAMB1	ITGA1	autocrine|paracrine	0.761308645744928
SORBS1	ITGA1	autocrine|paracrine	0.760901961279516
THBS2	ITGB1	autocrine|paracrine	0.760181978303979
AGRN	ITGB1	autocrine|paracrine	0.759963601369122
SEMA3C	NRP1	autocrine|paracrine	0.758773282584154
HSP90AA1	FGFR3	autocrine|paracrine	0.758339962707401
COL1A1	CD44	autocrine|paracrine	0.757262627410396
MDK	LRP1	autocrine|paracrine	0.756950474650301
POMC	RAMP2	autocrine|paracrine	0.75678237050495
ICAM1	CAV1	autocrine|paracrine	0.755507421503435
UBC	ERBB2	autocrine|paracrine	0.754402830737755
UBB	RIPK1	autocrine|paracrine	0.754159066916008
JAM3	ITGB1	autocrine|paracrine	0.754038444475667
VCL	ITGB5	autocrine|paracrine	0.75393374712199
SLIT2	ROBO4	autocrine|paracrine	0.753726699998663
TGFB1	TGFBR2	autocrine|paracrine	0.753016560489287
VIM	CD44	autocrine|paracrine	0.752488213251808
COL1A2	CD44	autocrine|paracrine	0.746529039277932
TIMP3	ADAM17	autocrine|paracrine	0.746416769442852
LAMB2	ITGB4	autocrine|paracrine	0.742470363317407
LAMB1	ITGB4	autocrine|paracrine	0.742357142476726
UBA52	TGFBR1	autocrine|paracrine	0.741452845876022
COL5A1	SDC3	autocrine|paracrine	0.739550914279154
RPS27A	ADRB2	autocrine|paracrine	0.739325253787141
ARF1	CHRM3	autocrine|paracrine	0.739313427598846
VEGFA	NRP2	autocrine|paracrine	0.739067843949552
COL9A2	ITGB1	autocrine|paracrine	0.738630576674299
LAMC1	ITGA2	autocrine|paracrine	0.738238387733223
APP	NCSTN	autocrine|paracrine	0.737514836595095
CTGF	LRP1	autocrine|paracrine	0.736538037289662
SPTAN1	PTPRA	autocrine|paracrine	0.735746223387966
B2M	TFRC	autocrine|paracrine	0.733915174114809
THBS2	ITGA6	autocrine|paracrine	0.733708014861206
GNAI2	S1PR1	autocrine|paracrine	0.731811183477484
FN1	ITGA3	autocrine|paracrine	0.731276252091635
LAMA5	ITGA2	autocrine|paracrine	0.731099294919102
RTN4	TNFRSF19	autocrine|paracrine	0.730611160048187
HSPG2	COL13A1	autocrine|paracrine	0.730466022067984
THBS2	NOTCH4	autocrine|paracrine	0.729147985361978
CALM2	ABCA1	autocrine|paracrine	0.728577537961987
NID1	ITGAV	autocrine|paracrine	0.728186874670401
THBS2	CD36	autocrine|paracrine	0.727778500316472
SCT	RAMP2	autocrine|paracrine	0.726535393245223
DLK1	NOTCH4	autocrine|paracrine	0.726081623276609
HSP90AA1	ERBB2	autocrine|paracrine	0.725466234301982
APOA4	LDLR	autocrine|paracrine	0.723795135471592
FABP5	RXRA	autocrine|paracrine	0.722786627659785
CALM1	ABCA1	autocrine|paracrine	0.722363200068145
NPNT	ITGB1	autocrine|paracrine	0.721832151460604
TGFB1	ACVRL1	autocrine|paracrine	0.720730093182936
ADM	CALCRL	autocrine|paracrine	0.720681470927678
CALR	ITGAV	autocrine|paracrine	0.720420645670323
GCG	RAMP2	autocrine|paracrine	0.71926378678876
CXCL12	CXCR4	autocrine|paracrine	0.719208770945811
LAMB1	ITGAV	autocrine|paracrine	0.719159803503132
DLK1	NOTCH1	autocrine|paracrine	0.718619568605555
ADAM10	NOTCH1	autocrine|paracrine	0.717721229108352
NCAM1	PTPRA	autocrine|paracrine	0.717484581433801
GSTP1	TRAF2	autocrine|paracrine	0.715847727544007
ARF1	PLD2	autocrine|paracrine	0.714401753960363
TLN1	ITGB5	autocrine|paracrine	0.712671249637493
UBB	ERBB2	autocrine|paracrine	0.712549390943577
UBA52	RIPK1	autocrine|paracrine	0.711914335025127
JAG1	NOTCH4	autocrine|paracrine	0.71106736179346
SERPING1	SELE	autocrine|paracrine	0.710768733269227
BMP2	BMPR2	autocrine|paracrine	0.710474286642325
LAMC1	ITGA1	autocrine|paracrine	0.707730924741926
COL4A6	CD93	autocrine|paracrine	0.706486361091955
GDF11	BMPR2	autocrine|paracrine	0.706176497212528
COL4A6	ITGB1	autocrine|paracrine	0.70408350827172
SEMA3A	NRP2	autocrine|paracrine	0.70354980093583
JAG1	NOTCH1	autocrine|paracrine	0.703363391813021
HSPG2	LRP1	autocrine|paracrine	0.702948720999546
UBC	ADRB2	autocrine|paracrine	0.701977321453255
SEMA3B	NRP1	autocrine|paracrine	0.70166212451013
FN1	CD44	autocrine|paracrine	0.700628088146821
APOA1	LRP1	autocrine|paracrine	0.699844595224439
NAMPT	INSR	autocrine|paracrine	0.699674180730327
TNC	ITGAV	autocrine|paracrine	0.69768901244123
HSP90B1	LRP1	autocrine|paracrine	0.697550883014843
VCAM1	ITGB1	autocrine|paracrine	0.696850899486284
B2M	HLA-F	autocrine|paracrine	0.696330119931674
ANOS1	FGFR1	autocrine|paracrine	0.696200518015117
COL1A1	DDR1	autocrine|paracrine	0.695360992318612
SEMA4A	PLXNB2	autocrine|paracrine	0.695326995740717
SORBS1	ITGB5	autocrine|paracrine	0.693934188286538
LAMA4	ITGAV	autocrine|paracrine	0.693186861897072
PLAT	LRP1	autocrine|paracrine	0.693147235683409
SEMA3E	PLXND1	autocrine|paracrine	0.692150060807074
LTBP3	ITGB5	autocrine|paracrine	0.691745285381266
FN1	ITGA8	autocrine|paracrine	0.690504239968532
CALM2	CACNA1C	autocrine|paracrine	0.690054907533395
QDPR	DYSF	autocrine|paracrine	0.689684915413578
COL9A1	ITGB1	autocrine|paracrine	0.688416368986287
LAMC2	ITGB1	autocrine|paracrine	0.686495523170312
LAMC1	ITGB4	autocrine|paracrine	0.686278454182868
COL18A1	ITGB1	autocrine|paracrine	0.686043160880377
ANXA1	DYSF	autocrine|paracrine	0.685716295879595
PIGF	FLT1	autocrine|paracrine	0.685104545869574
CALM1	CACNA1C	autocrine|paracrine	0.683341913082148
COL9A3	ITGB1	autocrine|paracrine	0.682073003920656
HSP90B1	ERBB2	autocrine|paracrine	0.681727163138802
CALM2	KCNQ1	autocrine|paracrine	0.681607709469997
COL3A1	DDR1	autocrine|paracrine	0.680573419863295
PDGFC	FLT4	autocrine|paracrine	0.678856204072334
LAMA5	ITGB4	autocrine|paracrine	0.678339701213014
FBN1	ITGAV	autocrine|paracrine	0.677208115113864
VCAM1	MSN	autocrine|paracrine	0.675472606884264
CALM1	KCNQ1	autocrine|paracrine	0.674797981198041
RPS19	C5AR1	autocrine|paracrine	0.674210082931144
SEMA3A	PLXNA2	autocrine|paracrine	0.672975684613838
TGFB1	TGFBR3	autocrine|paracrine	0.6721791381246
NID1	COL13A1	autocrine|paracrine	0.670783205087274
RTN4	RTN4R	autocrine|paracrine	0.669698383509746
CALM3	ABCA1	autocrine|paracrine	0.668199284878424
MMP2	SDC2	autocrine|paracrine	0.666492492226873
UBA52	ERBB2	autocrine|paracrine	0.66631815496463
THBS1	CD47	autocrine|paracrine	0.666099102197898
SEMA3C	NRP2	autocrine|paracrine	0.665770404241971
RGMB	BMPR2	autocrine|paracrine	0.663903285606183
FGF7	FGFR3	autocrine|paracrine	0.663566090913119
PRSS23	TMEM222	autocrine|paracrine	0.660935229513515
SEMA3D	NRP1	autocrine|paracrine	0.660422451747101
LAMC1	ITGAV	autocrine|paracrine	0.660342153961847
VEGFA	ITGAV	autocrine|paracrine	0.659937637163567
TNFSF12	TNFRSF25	autocrine|paracrine	0.659729716554453
EFNB2	EPHB4	autocrine|paracrine	0.659669592738608
NCAM1	ROBO3	autocrine|paracrine	0.658974061315028
CCL2	ACKR1	autocrine|paracrine	0.658848803745798
CCL2	ACKR1	autocrine|paracrine	0.658848803745798
FN1	C5AR1	autocrine|paracrine	0.658024941395215
NID1	PTPRF	autocrine|paracrine	0.658002844044329
FGF2	NRP1	autocrine|paracrine	0.657629546115704
ADAM15	ITGB1	autocrine|paracrine	0.657558984624153
TNC	NT5E	autocrine|paracrine	0.656539419813153
COL4A5	ITGA2	autocrine|paracrine	0.656406833621339
SEMA4C	PLXNB2	autocrine|paracrine	0.656156867833495
UBA52	ACVR1	autocrine|paracrine	0.655650058320938
LAMC2	ITGA6	autocrine|paracrine	0.655572743829313
APOB	LDLR	autocrine|paracrine	0.655479686119682
UBB	ADRB2	autocrine|paracrine	0.655272262414745
P4HB	MTTP	autocrine|paracrine	0.654938205300646
HSPA8	ADRB2	autocrine|paracrine	0.653385510474957
COL18A1	KDR	autocrine|paracrine	0.652983200738219
CLCF1	IL6ST	autocrine|paracrine	0.651901161526098
DCN	MET	autocrine|paracrine	0.650642610448571
FYN	THY1	autocrine|paracrine	0.649613080711571
VEGFC	ITGB1	autocrine|paracrine	0.649188920606262
ADAM17	ITGB1	autocrine|paracrine	0.648943366789105
FAT4	DCHS1	autocrine|paracrine	0.648456348100998
SEMA3E	NRP1	autocrine|paracrine	0.64529126939169
NCAM1	ROBO1	autocrine|paracrine	0.644644776456262
GNAI2	EDNRB	autocrine|paracrine	0.644187790745946
PLAU	ITGB1	autocrine|paracrine	0.643708851378453
TGFB1	CD109	autocrine|paracrine	0.642210991028975
CLCF1	LIFR	autocrine|paracrine	0.640939694540653
EFNB1	EPHB4	autocrine|paracrine	0.640496237298499
SFRP1	FZD6	autocrine|paracrine	0.640041038765171
JAG1	CD46	autocrine|paracrine	0.640038793352116
THBS1	LRP5	autocrine|paracrine	0.63992661939316
SEMA3F	NRP1	autocrine|paracrine	0.639601236580001
BMP4	BMPR2	autocrine|paracrine	0.638145913907943
PSAP	SORT1	autocrine|paracrine	0.63775871359187
SEMA6A	PLXNA2	autocrine|paracrine	0.637348181087269
VEGFC	FLT1	autocrine|paracrine	0.636622487967262
PSEN1	NOTCH4	autocrine|paracrine	0.636038485534392
THBS1	SCARB1	autocrine|paracrine	0.635141292677414
COL3A1	MAG	autocrine|paracrine	0.634481967622927
TNC	ITGA9	autocrine|paracrine	0.634361957286736
PSAP	LRP1	autocrine|paracrine	0.634152221820225
LAMC2	CD151	autocrine|paracrine	0.633809065948189
LTBP1	ITGB5	autocrine|paracrine	0.631512547013691
CALR	LRP1	autocrine|paracrine	0.631167018701112
APP	LRP1	autocrine|paracrine	0.630452362914468
COL18A1	ITGA5	autocrine|paracrine	0.630079098169356
PSEN1	NOTCH1	autocrine|paracrine	0.627382312049094
MFGE8	ITGAV	autocrine|paracrine	0.626428268729531
ANGPTL4	TIE1	autocrine|paracrine	0.62476609447858
TGM2	ADGRG1	autocrine|paracrine	0.621361092772131
COL4A5	ITGA1	autocrine|paracrine	0.621255123019912
MDK	GPC2	autocrine|paracrine	0.619694513552007
CDH1	PTPRM	autocrine|paracrine	0.619568296861927
EFEMP2	PLSCR4	autocrine|paracrine	0.619472634642315
C3	CD81	autocrine|paracrine	0.617894181235306
TNFSF10	TNFRSF10D	autocrine|paracrine	0.616920421249197
CALM3	KCNQ1	autocrine|paracrine	0.616283816570553
VEGFC	KDR	autocrine|paracrine	0.614429257570001
RPS27A	FGFR2	autocrine|paracrine	0.611598913788157
NTN1	UNC5B	autocrine|paracrine	0.609589538246242
NID1	ITGA3	autocrine|paracrine	0.608868435015823
COL2A1	ITGB1	autocrine|paracrine	0.605426141726667
UBA52	ADRB2	autocrine|paracrine	0.604936500856292
LGALS3BP	VANGL1	autocrine|paracrine	0.603289678060759
PKM	CD44	autocrine|paracrine	0.602010747088138
ADAM17	NOTCH1	autocrine|paracrine	0.602002716360426
EFNA5	EPHA2	autocrine|paracrine	0.600544461455828
GPC3	LRP1	autocrine|paracrine	0.600230202268871
