Fibroblasts	Pericytes	interaction type	LRscore
RTN4	LINGO1	autocrine|paracrine	0.851797558242427
LAMB1	ITGA1	autocrine|paracrine	0.846612735265302
COL4A1	ITGB1	autocrine|paracrine	0.844523497003014
VEGFA	ITGB1	autocrine|paracrine	0.843507922676575
RPS27A	ADRB2	autocrine|paracrine	0.842958110079918
APOA1	LDLR	autocrine|paracrine	0.840978918284938
COL1A1	ITGA5	autocrine|paracrine	0.840708708663566
LAMB2	RPSA	autocrine|paracrine	0.83927266100509
CALM3	MYLK	autocrine|paracrine	0.83841635584851
UBC	TGFBR2	autocrine|paracrine	0.837656673855062
MFAP2	NOTCH1	autocrine|paracrine	0.837614061238225
MFGE8	PDGFRB	autocrine|paracrine	0.834565986836189
UBC	ERBB2	autocrine|paracrine	0.83218728240101
HSP90AA1	ERBB2	autocrine|paracrine	0.831072965225646
PTN	PLXNB2	autocrine|paracrine	0.830083537343133
EFEMP2	LINGO1	autocrine|paracrine	0.829876346446262
UBA52	NOTCH1	autocrine|paracrine	0.828880599810072
HSP90B1	LRP1	autocrine|paracrine	0.827944172002038
APOA1	LRP1	autocrine|paracrine	0.826016690139259
COL4A1	ITGA1	autocrine|paracrine	0.825394673202138
COL1A1	DDR1	autocrine|paracrine	0.824262676938457
TNC	ITGB1	autocrine|paracrine	0.823437009945975
HSPG2	ITGB1	autocrine|paracrine	0.819617255949689
UBA52	LDLR	autocrine|paracrine	0.819401329708292
UBB	TGFBR2	autocrine|paracrine	0.81785997317417
LGALS3BP	ITGB1	autocrine|paracrine	0.814952412816606
UBC	ADRB2	autocrine|paracrine	0.814345409875112
COL3A1	DDR1	autocrine|paracrine	0.814169847443839
UBB	ERBB2	autocrine|paracrine	0.811873414957357
FN1	ITGAV	autocrine|paracrine	0.811390924409832
ICAM1	CAV1	autocrine|paracrine	0.810859090921987
LAMA4	ITGB1	autocrine|paracrine	0.810847933218895
PDAP1	PDGFRB	autocrine|paracrine	0.81049126023293
MDK	ITGA4	autocrine|paracrine	0.808739370897072
CYR61	ITGB5	autocrine|paracrine	0.808646529186907
LAMB2	ITGB1	autocrine|paracrine	0.805510383606286
CALR	LRP1	autocrine|paracrine	0.804378895445451
RPS27A	TGFBR1	autocrine|paracrine	0.803793238867609
AGRN	ITGB1	autocrine|paracrine	0.800707904027658
COL18A1	ITGB1	autocrine|paracrine	0.800178976317364
APOC3	SDC2	autocrine|paracrine	0.79628542163503
RPS27A	SMAD3	autocrine|paracrine	0.794639990276403
HSP90B1	ERBB2	autocrine|paracrine	0.792589034114304
UBB	ADRB2	autocrine|paracrine	0.792410525478105
LAMB1	ITGA7	autocrine|paracrine	0.791108837851716
HSPA8	ADRB2	autocrine|paracrine	0.790835900029856
GNAS	ADCY9	autocrine|paracrine	0.790209605439533
VCAM1	ITGB1	autocrine|paracrine	0.789634467500409
LAMC1	ITGB1	autocrine|paracrine	0.789253101917011
GPC3	LRP1	autocrine|paracrine	0.788544360223191
HLA-B	CANX	autocrine|paracrine	0.787181971606976
COL1A1	CD36	autocrine|paracrine	0.786726089357655
GNAS	PTGDR	autocrine|paracrine	0.785604579103081
GNAI2	EDNRA	autocrine|paracrine	0.785579503230698
CYR61	ITGAV	autocrine|paracrine	0.785531299326446
CALR	ITGAV	autocrine|paracrine	0.784783091736754
FN1	IL17RC	autocrine|paracrine	0.78017886483096
HSP90AA1	EGFR	autocrine|paracrine	0.778945368537329
FN1	PLAUR	autocrine|paracrine	0.777272478180122
COL1A2	CD36	autocrine|paracrine	0.777037786119838
DCN	EGFR	autocrine|paracrine	0.776420209301616
FN1	ITGA8	autocrine|paracrine	0.776001330410325
HLA-A	APLP2	autocrine|paracrine	0.773777319710095
HRAS	CAV1	autocrine|paracrine	0.773506562679519
B2M	TFRC	autocrine|paracrine	0.772776189355827
RPS27A	RIPK1	autocrine|paracrine	0.772092862608055
UBA52	TGFBR2	autocrine|paracrine	0.770932563032644
UBC	TGFBR1	autocrine|paracrine	0.769991832829076
TGFB1	CAV1	autocrine|paracrine	0.769000767147181
APOE	LDLR	autocrine|paracrine	0.76765101096284
FYN	THY1	autocrine|paracrine	0.767440173708923
LTBP3	ITGB5	autocrine|paracrine	0.767067876424366
HSP90AA1	FGFR3	autocrine|paracrine	0.766945138372307
PSEN1	NOTCH3	autocrine|paracrine	0.766510254992357
CALM1	CACNA1C	autocrine|paracrine	0.766270659989238
GPC6	LRP1	autocrine|paracrine	0.765935101619722
LAMC1	ITGA1	autocrine|paracrine	0.765214660049639
FBN1	ITGAV	autocrine|paracrine	0.764363356095505
UBA52	ERBB2	autocrine|paracrine	0.763848957956361
VCAN	ITGA4	autocrine|paracrine	0.762737082956609
PLAT	LRP1	autocrine|paracrine	0.762061589117061
PSAP	LRP1	autocrine|paracrine	0.761696299313243
FN1	ITGA4	autocrine|paracrine	0.760548182048815
UBC	SMAD3	autocrine|paracrine	0.759733066031408
CALM2	CACNA1C	autocrine|paracrine	0.759249104321551
CALM1	PTPRA	autocrine|paracrine	0.758676168215422
COL4A2	ITGB5	autocrine|paracrine	0.758617434287464
COL1A1	CD44	autocrine|paracrine	0.756864196033998
THBS1	LRP1	autocrine|paracrine	0.756568190853299
GNAI2	F2R	autocrine|paracrine	0.755948766785012
NID1	ITGAV	autocrine|paracrine	0.754550642355257
APP	NCSTN	autocrine|paracrine	0.753039380280941
DLL1	NOTCH3	autocrine|paracrine	0.751304320328398
COL9A1	ITGB1	autocrine|paracrine	0.751151559286094
APP	LRP1	autocrine|paracrine	0.748461241916215
IGFBP4	LRP6	autocrine|paracrine	0.74836070395219
APOE	LRP1	autocrine|paracrine	0.747857963927894
LRPAP1	LDLR	autocrine|paracrine	0.74708434526674
CTGF	LRP1	autocrine|paracrine	0.746267419344943
COL1A2	CD44	autocrine|paracrine	0.74625688939629
LAMB1	ITGAV	autocrine|paracrine	0.746137373177209
UBB	TGFBR1	autocrine|paracrine	0.744461019903628
FN1	ITGA5	autocrine|paracrine	0.743476588515923
UBA52	AGTR1	autocrine|paracrine	0.741749032706403
JAG1	NOTCH3	autocrine|paracrine	0.741557395582561
UBA52	ADRB2	autocrine|paracrine	0.741002623988511
VCAN	EGFR	autocrine|paracrine	0.736337135308337
TNC	ITGA7	autocrine|paracrine	0.735791769601175
VIM	CD44	autocrine|paracrine	0.735617555176492
UBC	RIPK1	autocrine|paracrine	0.73463325788294
COL4A5	ITGB1	autocrine|paracrine	0.734397463829446
JAM3	ITGB1	autocrine|paracrine	0.73359510364147
UBB	SMAD3	autocrine|paracrine	0.733457715941668
VEGFA	NRP1	autocrine|paracrine	0.732501706239385
SERPINE2	LRP1	autocrine|paracrine	0.731117763580313
SERPINA1	LRP1	autocrine|paracrine	0.730062300780424
COL1A1	CD93	autocrine|paracrine	0.728484286270206
TGFB1	ITGB1	autocrine|paracrine	0.727852892629904
APOC3	LDLR	autocrine|paracrine	0.72659182863782
LRPAP1	LRP1	autocrine|paracrine	0.726164265697095
TGM2	ITGB1	autocrine|paracrine	0.725835354043318
HSP90B1	ASGR1	autocrine|paracrine	0.719928767704845
GNAI2	S1PR3	autocrine|paracrine	0.719259286235877
FABP5	RXRA	autocrine|paracrine	0.718495072022084
THBS2	CD47	autocrine|paracrine	0.717956259536573
COL1A2	CD93	autocrine|paracrine	0.717101632318396
COL5A2	DDR1	autocrine|paracrine	0.716332205945085
DLK1	NOTCH3	autocrine|paracrine	0.71598444337678
COL4A1	ITGAV	autocrine|paracrine	0.715688074054982
VEGFA	ITGAV	autocrine|paracrine	0.714115824365255
ADAM17	ITGB1	autocrine|paracrine	0.713346827949439
CCL2	CCR10	autocrine|paracrine	0.713278948703451
RTN4	NGFR	autocrine|paracrine	0.713205650399542
CYR61	ITGA5	autocrine|paracrine	0.711614942430292
ADAM9	ITGB1	autocrine|paracrine	0.70964097135987
RTN4	CNTNAP1	autocrine|paracrine	0.708372783059513
UBB	RIPK1	autocrine|paracrine	0.706672799246515
COL4A5	ITGA1	autocrine|paracrine	0.706429373854456
MDK	ITGA6	autocrine|paracrine	0.706178598587505
APP	CD74	autocrine|paracrine	0.706004610741245
TGFB3	ITGB1	autocrine|paracrine	0.705882888018373
GPC3	IGF1R	autocrine|paracrine	0.705661985502553
LAMA5	BCAM	autocrine|paracrine	0.704827732353125
APOC3	LRP1	autocrine|paracrine	0.70464682112111
VCAM1	EZR	autocrine|paracrine	0.703683806599699
HSPG2	LRP1	autocrine|paracrine	0.703658539147984
ACTR2	LDLR	autocrine|paracrine	0.703510642629949
COL9A3	ITGB1	autocrine|paracrine	0.703207195908599
ARPC5	LDLR	autocrine|paracrine	0.702712286538493
WNT5A	MCAM	autocrine|paracrine	0.702682361454957
THBS1	CD47	autocrine|paracrine	0.701687100356234
HRAS	SDC2	autocrine|paracrine	0.701412694944235
TFPI	LRP1	autocrine|paracrine	0.700047165200292
CALM1	PDE1A	autocrine|paracrine	0.699710124330254
UBA52	EGFR	autocrine|paracrine	0.698502868290405
VCAM1	MSN	autocrine|paracrine	0.697412630284416
TGFB1	SDC2	autocrine|paracrine	0.696036285885534
LAMA5	ITGB1	autocrine|paracrine	0.695672440411294
PDGFD	PDGFRB	autocrine|paracrine	0.693346636553558
SERPING1	LRP1	autocrine|paracrine	0.692624214141382
CALM2	PDE1A	autocrine|paracrine	0.691494038775405
LAMC1	ITGA7	autocrine|paracrine	0.691006594814544
SPTAN1	PTPRA	autocrine|paracrine	0.690956388410269
VEGFB	NRP1	autocrine|paracrine	0.68786507977928
THBS2	ITGA4	autocrine|paracrine	0.687711421394638
SEMA4A	PLXNB2	autocrine|paracrine	0.686102189648048
FBN1	ITGA5	autocrine|paracrine	0.686067099921467
UBA52	TGFBR1	autocrine|paracrine	0.685885819676977
CALM1	EGFR	autocrine|paracrine	0.684887988562517
GSTP1	TRAF2	autocrine|paracrine	0.684337927813208
EDN1	EDNRA	autocrine|paracrine	0.684201266063436
TNC	ITGAV	autocrine|paracrine	0.683673135034449
COL11A1	ITGB1	autocrine|paracrine	0.683554531025442
COL4A1	CD47	autocrine|paracrine	0.682371353390675
UBA52	ACVR1	autocrine|paracrine	0.68222387112707
SEMA3A	NRP1	autocrine|paracrine	0.682165796670221
COL18A1	ITGB5	autocrine|paracrine	0.681646957665371
COL6A1	ITGA6	autocrine|paracrine	0.681473288079668
MDK	SDC1	autocrine|paracrine	0.680780629019454
NECTIN2	NECTIN3	autocrine|paracrine	0.679097835019389
HLA-A	ERBB2	autocrine|paracrine	0.67888614010946
ADAM10	NOTCH1	autocrine|paracrine	0.677409035250547
MFGE8	ITGAV	autocrine|paracrine	0.677390169207439
AGRN	LRP1	autocrine|paracrine	0.67737818792177
CALM2	EGFR	autocrine|paracrine	0.676453884113935
NCAM1	CACNA1C	autocrine|paracrine	0.674870523668719
UBA52	SMAD3	autocrine|paracrine	0.673466595308762
CTGF	LRP6	autocrine|paracrine	0.673097566125512
CXCL12	CD4	autocrine|paracrine	0.673001799173913
THBS1	ITGA4	autocrine|paracrine	0.670498327029018
PDGFA	PDGFRB	autocrine|paracrine	0.669757309003152
EFEMP2	PLSCR4	autocrine|paracrine	0.668091029653255
CXCL12	CXCR4	autocrine|paracrine	0.667680614343797
NCAM1	FGFR1	autocrine|paracrine	0.666312673300116
CXCL12	ADRA2A	autocrine|paracrine	0.666267696126826
NID1	PTPRF	autocrine|paracrine	0.665619022140386
NCAM1	PTPRA	autocrine|paracrine	0.665602222254663
LAMA4	ITGAV	autocrine|paracrine	0.665170903458774
THBS1	LRP5	autocrine|paracrine	0.664755548718717
HSP90AA1	CFTR	autocrine|paracrine	0.663119450449553
MDK	SDC3	autocrine|paracrine	0.662850467497189
APP	GPC1	autocrine|paracrine	0.662839680046901
FN1	ITGA3	autocrine|paracrine	0.662179918109805
GNAS	ADCY1	autocrine|paracrine	0.66110893531882
CALM1	FAS	autocrine|paracrine	0.658490043227455
P4HB	GPR162	autocrine|paracrine	0.657941801287305
CALM1	PDE1B	autocrine|paracrine	0.657106577914982
VCL	ITGB5	autocrine|paracrine	0.656516968983927
TIMP3	ADAM17	autocrine|paracrine	0.655584565730717
GNAI2	IGF1R	autocrine|paracrine	0.655548275538269
LAMB3	ITGB1	autocrine|paracrine	0.654434353353281
COL7A1	ITGB1	autocrine|paracrine	0.65443102221886
MDK	TSPAN1	autocrine|paracrine	0.654357466612751
APOE	LRP5	autocrine|paracrine	0.654261430851562
LAMA2	RPSA	autocrine|paracrine	0.653385693381645
GNAI2	S1PR5	autocrine|paracrine	0.65219802753202
CALM3	PDE1A	autocrine|paracrine	0.650595664563734
VEGFA	GPC1	autocrine|paracrine	0.650477891950602
TLN1	ITGB5	autocrine|paracrine	0.649157903570931
CALM2	PDE1B	autocrine|paracrine	0.648310720524564
A2M	LRP1	autocrine|paracrine	0.647697013299205
COL1A1	ITGA11	autocrine|paracrine	0.647409672572134
ADAM15	ITGB1	autocrine|paracrine	0.647363000489485
IGFBP4	FZD8	autocrine|paracrine	0.646763839367592
UBA52	RIPK1	autocrine|paracrine	0.643582661748179
FN1	ITGA6	autocrine|paracrine	0.643535758781058
VEGFA	NRP2	autocrine|paracrine	0.640609118857945
HMGB1	SDC1	autocrine|paracrine	0.640054760339581
PSEN1	NOTCH1	autocrine|paracrine	0.639587307492627
ADAM10	AXL	autocrine|paracrine	0.639538740935842
APOA4	LDLR	autocrine|paracrine	0.638725261162141
COL1A2	ITGA2B	autocrine|paracrine	0.638592558138594
LAMB3	CD151	autocrine|paracrine	0.63808984912784
CALM1	INSR	autocrine|paracrine	0.638050884828897
APP	NGFR	autocrine|paracrine	0.637559115725899
CTGF	ITGA5	autocrine|paracrine	0.637312189309882
VEGFC	ITGB1	autocrine|paracrine	0.636289122827335
PSAP	SORT1	autocrine|paracrine	0.636270748687708
BMP4	BMPR2	autocrine|paracrine	0.636021370875835
P4HB	MTTP	autocrine|paracrine	0.635789981112323
GNAI2	ADCY9	autocrine|paracrine	0.635637487383005
TNC	ITGA8	autocrine|paracrine	0.63509661459335
ANOS1	SDC2	autocrine|paracrine	0.634652358948602
CALM3	EGFR	autocrine|paracrine	0.634615203370432
LAMC1	ITGAV	autocrine|paracrine	0.634442642418511
COL1A2	ITGA11	autocrine|paracrine	0.634334230094183
VCAN	CD44	autocrine|paracrine	0.633724283876101
SEMA4C	PLXNB2	autocrine|paracrine	0.632031698810641
C3	CD81	autocrine|paracrine	0.631493059683655
FN1	CD44	autocrine|paracrine	0.630921092964953
CALM2	INSR	autocrine|paracrine	0.629042164623074
BST1	CAV1	autocrine|paracrine	0.627690182104611
GNAI2	EGFR	autocrine|paracrine	0.627390961045934
NTF3	NTRK3	autocrine|paracrine	0.625463284034874
ARF1	INSR	autocrine|paracrine	0.625416759680038
GNAI2	UNC5B	autocrine|paracrine	0.62448939647879
CALR	ITGA3	autocrine|paracrine	0.624269805935
MDK	SDC4	autocrine|paracrine	0.62254975858064
PTMA	VIPR1	autocrine|paracrine	0.621129175879282
COL18A1	GPC4	autocrine|paracrine	0.620779843873885
JAG1	CD46	autocrine|paracrine	0.620316627294353
DLL1	NOTCH1	autocrine|paracrine	0.620211088837294
FGF7	NRP1	autocrine|paracrine	0.619435767058933
VEGFA	TYRO3	autocrine|paracrine	0.619011588332157
RTN4	RTN4R	autocrine|paracrine	0.617896493602731
FGF2	SDC2	autocrine|paracrine	0.617173404234717
SEMA4A	PLXND1	autocrine|paracrine	0.615976469552371
SEMA4A	PLXND1	autocrine|paracrine	0.615976469552371
VEGFA	EGFR	autocrine|paracrine	0.615701932446034
EFNB1	ERBB2	autocrine|paracrine	0.614316389116458
HMGB1	THBD	autocrine|paracrine	0.613921054458016
APOA4	LRP1	autocrine|paracrine	0.613479392345429
CALM1	PDE1C	autocrine|paracrine	0.613449128545183
PTGS2	CAV1	autocrine|paracrine	0.613386632620236
PTN	SDC1	autocrine|paracrine	0.612884709745865
NAMPT	INSR	autocrine|paracrine	0.612363632528881
PLAU	ITGB1	autocrine|paracrine	0.61144430392645
RPS27A	FGFR2	autocrine|paracrine	0.610660688495124
COL5A1	SDC3	autocrine|paracrine	0.609598139775329
SEMA3A	PLXNA3	autocrine|paracrine	0.608728430997781
JAG1	NOTCH1	autocrine|paracrine	0.608006997217326
ADAM17	NOTCH1	autocrine|paracrine	0.607308140822377
CALM3	PDE1B	autocrine|paracrine	0.604958063596047
PSEN1	NCSTN	autocrine|paracrine	0.604618758695099
CALM2	PDE1C	autocrine|paracrine	0.604207917448405
SEMA3D	NRP1	autocrine|paracrine	0.603009375614779
GNAI2	EDNRB	autocrine|paracrine	0.602642071409995
MUC2	AGR2	autocrine|paracrine	0.602486890073469
THBS2	NOTCH4	autocrine|paracrine	0.601234191032798
