Pericytes	Endothelial	interaction type	LRscore
COL1A2	ITGAV	autocrine|paracrine	0.842263685878018
COL4A1	ITGA1	autocrine|paracrine	0.841682336830507
LGALS3BP	ITGB1	autocrine|paracrine	0.840736775422009
MFAP2	NOTCH1	autocrine|paracrine	0.840527989527827
TIMP2	ITGB1	autocrine|paracrine	0.839799707675537
COL6A3	ITGA1	autocrine|paracrine	0.839406290521678
CTGF	LRP6	autocrine|paracrine	0.838994665101225
FN1	ITGA5	autocrine|paracrine	0.838824450095672
VEGFA	NRP1	autocrine|paracrine	0.838740142324665
PGF	NRP1	autocrine|paracrine	0.838709395026914
UBB	SMAD3	autocrine|paracrine	0.838478418543419
ANGPTL4	TIE1	autocrine|paracrine	0.837138044888922
FBLN1	ITGB1	autocrine|paracrine	0.835898676933848
GPC3	CD81	autocrine|paracrine	0.835219691048061
FBN1	ITGB1	autocrine|paracrine	0.833683372672205
HSP90B1	ASGR1	autocrine|paracrine	0.832657858421074
COL6A1	ITGA1	autocrine|paracrine	0.832111572600666
UBC	TGFBR1	autocrine|paracrine	0.831803690182118
FABP5	RXRA	autocrine|paracrine	0.830295610754987
TGFB1	CAV1	autocrine|paracrine	0.830059529129526
VEGFB	FLT1	autocrine|paracrine	0.828944645386836
LAMC1	ITGA6	autocrine|paracrine	0.8276327701927
LAMB1	ITGA6	autocrine|paracrine	0.827384845591385
PTN	PLXNB2	autocrine|paracrine	0.825254054515514
LRPAP1	LDLR	autocrine|paracrine	0.825191681537807
ARF1	INSR	autocrine|paracrine	0.82504231606699
THBS1	ITGB1	autocrine|paracrine	0.824864289113739
EFEMP2	AQP1	autocrine|paracrine	0.824681618791472
RPS27A	RIPK1	autocrine|paracrine	0.823840239787623
MDK	SDC3	autocrine|paracrine	0.82351411183603
VEGFB	NRP1	autocrine|paracrine	0.823506518784076
CALM2	INSR	autocrine|paracrine	0.823014914024456
LAMA4	ITGA6	autocrine|paracrine	0.822982261872535
UBB	TGFBR1	autocrine|paracrine	0.822536918403296
ANGPT1	ITGB1	autocrine|paracrine	0.820909429281644
FGF7	NRP1	autocrine|paracrine	0.819445725478198
HLA-A	APLP2	autocrine|paracrine	0.819081309582527
LUM	ITGB1	autocrine|paracrine	0.81867637901019
CALM1	INSR	autocrine|paracrine	0.818189185779616
CALM3	MYLK	autocrine|paracrine	0.817846839177176
EFNB2	PECAM1	autocrine|paracrine	0.816046198796685
JAG1	CD46	autocrine|paracrine	0.814978193886864
HRAS	CAV1	autocrine|paracrine	0.814840766460301
ANGPT1	TIE1	autocrine|paracrine	0.814546585101336
ANGPT2	TEK	autocrine|paracrine	0.813454822969812
ACTR2	LDLR	autocrine|paracrine	0.813380133779302
GNAI2	UNC5B	autocrine|paracrine	0.81178356985347
ADM	RAMP2	autocrine|paracrine	0.811609543547996
COL4A1	CD47	autocrine|paracrine	0.810882501916226
COL4A1	ITGAV	autocrine|paracrine	0.810187562632569
UBC	RIPK1	autocrine|paracrine	0.809941620349511
BMP2	ENG	autocrine|paracrine	0.806416773382357
GNAI2	IGF1R	autocrine|paracrine	0.804586941554374
THBS1	ITGA6	autocrine|paracrine	0.803686754234213
GNAI2	F2R	autocrine|paracrine	0.802898980445741
CALM1	PTPRA	autocrine|paracrine	0.800104702299265
UBB	RIPK1	autocrine|paracrine	0.799760314670571
THBS1	CD36	autocrine|paracrine	0.798888342513505
COL5A2	ITGA1	autocrine|paracrine	0.798065508738751
COL4A2	ITGB5	autocrine|paracrine	0.797143095930091
LAMC3	ITGB1	autocrine|paracrine	0.79669904803985
FBN1	ITGA5	autocrine|paracrine	0.796219498018619
CCL2	ACKR1	autocrine|paracrine	0.794135724192115
CCL2	ACKR1	autocrine|paracrine	0.794135724192115
FN1	ITGA2	autocrine|paracrine	0.792993911982793
HSP90AA1	FGFR3	autocrine|paracrine	0.792686874115178
CYR61	ITGAV	autocrine|paracrine	0.791326530927071
TGFB1	ENG	autocrine|paracrine	0.791066755933774
RPS27A	ERBB2	autocrine|paracrine	0.790752108952547
COL18A1	ITGB5	autocrine|paracrine	0.789886066885308
TGFB1	ITGB1	autocrine|paracrine	0.785561814074947
COL1A1	DDR2	autocrine|paracrine	0.785513813953099
CALM3	INSR	autocrine|paracrine	0.785085654085861
COL9A1	ITGB1	autocrine|paracrine	0.784496230167151
HSPG2	ITGB1	autocrine|paracrine	0.784112725465744
CALR	ITGAV	autocrine|paracrine	0.783558448607409
VIM	CD44	autocrine|paracrine	0.782978044633469
ANGPT1	ITGA5	autocrine|paracrine	0.781322894749486
IGFBP4	LRP6	autocrine|paracrine	0.780202402077738
LAMA5	ITGB1	autocrine|paracrine	0.779244342179558
APOC3	LDLR	autocrine|paracrine	0.777679509024407
VCAM1	ITGB1	autocrine|paracrine	0.776910033178146
LAMA5	BCAM	autocrine|paracrine	0.776676602837857
APOE	LRP5	autocrine|paracrine	0.776141056538229
COL5A1	ITGA1	autocrine|paracrine	0.775690650851041
UBC	ERBB2	autocrine|paracrine	0.774956026713858
PTGS2	CAV1	autocrine|paracrine	0.774927021272799
ADAM17	ITGB1	autocrine|paracrine	0.774596752736202
LAMC3	ITGA6	autocrine|paracrine	0.773052788672702
TGFB1	TGFBR2	autocrine|paracrine	0.77264878462551
APOE	SCARB1	autocrine|paracrine	0.772522496235747
GNAI2	S1PR1	autocrine|paracrine	0.771698045132627
ARF1	CHRM3	autocrine|paracrine	0.771416985531516
CYR61	ITGB5	autocrine|paracrine	0.770909859397782
UBA52	SMAD3	autocrine|paracrine	0.770410365004424
COL3A1	DDR2	autocrine|paracrine	0.768752287189218
SCT	RAMP2	autocrine|paracrine	0.76792538183858
CXCL12	ACKR3	autocrine|paracrine	0.767744518818219
VEGFA	NRP2	autocrine|paracrine	0.767104780521267
PGF	NRP2	autocrine|paracrine	0.767064167860513
B2M	TFRC	autocrine|paracrine	0.766903693256994
MDK	LRP1	autocrine|paracrine	0.766160281254471
PTN	SDC3	autocrine|paracrine	0.765630624218138
JAM3	ITGB1	autocrine|paracrine	0.764788302265253
UBB	ERBB2	autocrine|paracrine	0.763447932344477
HSP90AA1	ERBB2	autocrine|paracrine	0.763025400959683
GDF11	BMPR2	autocrine|paracrine	0.762855496164878
MFGE8	ITGAV	autocrine|paracrine	0.762171488017311
LAMC1	ITGA2	autocrine|paracrine	0.760155671596377
LAMB1	ITGA2	autocrine|paracrine	0.75983885471815
TGFB3	ENG	autocrine|paracrine	0.759751865382286
VCAM1	MSN	autocrine|paracrine	0.759226844300662
LAMA5	ITGA6	autocrine|paracrine	0.754194271367227
TGFB3	ITGB1	autocrine|paracrine	0.753678755727863
BMP2	BMPR2	autocrine|paracrine	0.752910887157306
FGF7	FGFR1	autocrine|paracrine	0.750879234601039
HSP90B1	LRP1	autocrine|paracrine	0.750076585960889
UBA52	TGFBR1	autocrine|paracrine	0.749755832945996
ARF1	PLD2	autocrine|paracrine	0.748529677674907
RGMA	BMPR2	autocrine|paracrine	0.746170263864843
ANGPT1	TEK	autocrine|paracrine	0.744287522622529
SEMA3A	NRP1	autocrine|paracrine	0.743492115318261
RPS27A	ADRB2	autocrine|paracrine	0.743447074218684
TIMP3	ADAM17	autocrine|paracrine	0.743304326185169
ADM	CALCRL	autocrine|paracrine	0.7422214293274
TGFB1	ACVRL1	autocrine|paracrine	0.742049572958297
TGFB3	TGFBR2	autocrine|paracrine	0.739482504888585
ADAM17	NOTCH1	autocrine|paracrine	0.737665575315322
NAMPT	INSR	autocrine|paracrine	0.73718455365948
APP	NCSTN	autocrine|paracrine	0.736400745491961
LAMA3	ITGB1	autocrine|paracrine	0.736350107032852
SEMA4A	PLXNB2	autocrine|paracrine	0.736073649515757
HSP90B1	ERBB2	autocrine|paracrine	0.735960728890581
COL4A5	CD93	autocrine|paracrine	0.735690609575388
CALM2	ABCA1	autocrine|paracrine	0.735622323884032
COL1A1	CD44	autocrine|paracrine	0.735585999504532
BMP5	BMPR2	autocrine|paracrine	0.73486726310501
COL4A5	ITGB1	autocrine|paracrine	0.733436630391416
BST1	CAV1	autocrine|paracrine	0.73325562701802
INHBA	ENG	autocrine|paracrine	0.733068726944543
GNAS	ADCY9	autocrine|paracrine	0.732460606573322
B2M	HLA-F	autocrine|paracrine	0.732278548671952
PSEN1	NOTCH4	autocrine|paracrine	0.73158744522375
LAMC1	ITGA1	autocrine|paracrine	0.731272770124171
LAMB1	ITGA1	autocrine|paracrine	0.73093130559396
NID1	ITGAV	autocrine|paracrine	0.730517449336148
GNAS	ADCY1	autocrine|paracrine	0.730185386108524
GSTP1	TRAF2	autocrine|paracrine	0.7301073857699
COL16A1	ITGB1	autocrine|paracrine	0.729701576864129
CALM1	ABCA1	autocrine|paracrine	0.729197775983125
CTGF	LRP1	autocrine|paracrine	0.728361037524529
ADAM17	ITGA5	autocrine|paracrine	0.728163079888062
COL1A2	CD44	autocrine|paracrine	0.727399171754306
ADAM10	NOTCH1	autocrine|paracrine	0.727166456411107
FN1	ITGAV	autocrine|paracrine	0.725329552930481
UBC	ADRB2	autocrine|paracrine	0.725320401171481
PIGF	FLT1	autocrine|paracrine	0.724283810878215
PSEN1	NOTCH1	autocrine|paracrine	0.724218410471112
COL5A1	SDC3	autocrine|paracrine	0.724205605731167
ADAM9	ITGB1	autocrine|paracrine	0.723511432163187
PLAU	ITGB1	autocrine|paracrine	0.722270733434637
VEGFC	ITGB1	autocrine|paracrine	0.721519293777069
UBA52	RIPK1	autocrine|paracrine	0.720808730451125
APOE	LRP1	autocrine|paracrine	0.720112337006648
APOE	VLDLR	autocrine|paracrine	0.719573529337678
LAMB2	ITGB4	autocrine|paracrine	0.719138846352373
RTN4	TNFRSF19	autocrine|paracrine	0.718712932648019
FN1	PLAUR	autocrine|paracrine	0.718639295347397
CXCL12	CXCR4	autocrine|paracrine	0.717565097142373
DLL4	NOTCH4	autocrine|paracrine	0.715392903203986
UBB	ADRB2	autocrine|paracrine	0.712216665007779
ADAM15	ITGB1	autocrine|paracrine	0.711356346100693
COL18A1	ITGA3	autocrine|paracrine	0.711121723748764
LAMC1	ITGB4	autocrine|paracrine	0.710842269670233
LAMB1	ITGB4	autocrine|paracrine	0.710485122548062
VEGFC	FLT1	autocrine|paracrine	0.710387954205993
DLL1	NOTCH4	autocrine|paracrine	0.71018153927712
DLL4	NOTCH1	autocrine|paracrine	0.707756866021839
A2M	LRP1	autocrine|paracrine	0.706834115993084
LGALS1	CD69	autocrine|paracrine	0.706503563823947
CALR	LRP1	autocrine|paracrine	0.706242198789531
EFNB2	EPHB4	autocrine|paracrine	0.706223870726104
TGFB3	ACVRL1	autocrine|paracrine	0.706117300901845
SPTAN1	PTPRA	autocrine|paracrine	0.706025787129311
APOA4	LDLR	autocrine|paracrine	0.705792523805702
NGF	MAGED1	autocrine|paracrine	0.70517706843944
BMP4	BMPR2	autocrine|paracrine	0.704619823657235
EFNA1	EPHA2	autocrine|paracrine	0.702994001097164
DLL1	NOTCH1	autocrine|paracrine	0.702463833235214
APOA1	LRP1	autocrine|paracrine	0.698521304186912
CALM2	CACNA1C	autocrine|paracrine	0.697684670739772
HSPA8	ADRB2	autocrine|paracrine	0.697629010296743
TGFB1	TGFBR3	autocrine|paracrine	0.695639816351776
EDN1	ADGRL4	autocrine|paracrine	0.695230697609326
ADAM9	ITGA6	autocrine|paracrine	0.694615575023783
ANGPTL2	TIE1	autocrine|paracrine	0.69319089827275
VEGFA	ITGAV	autocrine|paracrine	0.692944582898568
LAMC3	ITGA2	autocrine|paracrine	0.692156547885419
APOB	LDLR	autocrine|paracrine	0.691863404179244
GNAI2	EDNRB	autocrine|paracrine	0.691614939353829
HBEGF	CD9	autocrine|paracrine	0.691196711928191
CALM1	CACNA1C	autocrine|paracrine	0.690725807409067
MFGE8	PDGFRB	autocrine|paracrine	0.68938767949597
CALM2	KCNQ1	autocrine|paracrine	0.689351802710041
RPS19	C5AR1	autocrine|paracrine	0.688126641818793
POMC	RAMP2	autocrine|paracrine	0.688027265080053
HGF	ITGB1	autocrine|paracrine	0.687872521310488
GPC3	IGF1R	autocrine|paracrine	0.687093559481342
FN1	NT5E	autocrine|paracrine	0.686250382579648
CALM2	PDE1C	autocrine|paracrine	0.686169249614571
CALM3	ABCA1	autocrine|paracrine	0.686107248493737
LAMC1	ITGAV	autocrine|paracrine	0.686007599839599
LAMB1	ITGAV	autocrine|paracrine	0.685633344137085
TGM2	ITGB1	autocrine|paracrine	0.6854244522643
CALM1	KCNQ1	autocrine|paracrine	0.682288475448004
COL5A3	SDC3	autocrine|paracrine	0.681576923016852
P4HB	MTTP	autocrine|paracrine	0.681377486887781
GAS6	MERTK	autocrine|paracrine	0.680609916480358
VCAM1	EZR	autocrine|paracrine	0.680548991573008
CLCF1	IL6ST	autocrine|paracrine	0.680254225600415
CALM1	PDE1C	autocrine|paracrine	0.679067248511036
LAMA4	ITGAV	autocrine|paracrine	0.679017946475381
CALR	ITGA3	autocrine|paracrine	0.677791402548465
UBA52	ERBB2	autocrine|paracrine	0.675979573531157
HSPG2	ITGA2	autocrine|paracrine	0.675732298086551
TNC	ITGB1	autocrine|paracrine	0.675658093458808
TGFB2	ENG	autocrine|paracrine	0.674236635886908
VCL	ITGB5	autocrine|paracrine	0.673669325513385
NID1	COL13A1	autocrine|paracrine	0.673385206672601
EFNB1	EPHB4	autocrine|paracrine	0.673326083145909
TNFSF12	TNFRSF25	autocrine|paracrine	0.673168467098926
COL1A1	DDR1	autocrine|paracrine	0.670561337112823
SERPINE2	LRP1	autocrine|paracrine	0.670187031883625
COL7A1	ITGB1	autocrine|paracrine	0.670013782883521
CLCF1	LIFR	autocrine|paracrine	0.669733259586902
PLAU	ITGA5	autocrine|paracrine	0.66965484855846
LAMA5	ITGA2	autocrine|paracrine	0.669450181115556
PTMA	VIPR1	autocrine|paracrine	0.667825955512848
FN1	COL13A1	autocrine|paracrine	0.667597905417691
TGFB1	CD109	autocrine|paracrine	0.666753082526354
UBA52	ACVR1	autocrine|paracrine	0.665465281129894
FN1	ITGA9	autocrine|paracrine	0.665012517880723
FBN1	ITGAV	autocrine|paracrine	0.664715176600789
NGF	KIDINS220	autocrine|paracrine	0.664586386970138
NID1	PTPRF	autocrine|paracrine	0.660654755767011
FN1	IL17RC	autocrine|paracrine	0.6595167127399
PDGFB	S1PR1	autocrine|paracrine	0.658328967233167
ADAM15	ITGA5	autocrine|paracrine	0.657652807178164
COL18A1	GPC4	autocrine|paracrine	0.657349492627736
RTN4	RTN4R	autocrine|paracrine	0.656375138117995
TGFB3	TGFBR3	autocrine|paracrine	0.656237610959373
RGMB	BMPR2	autocrine|paracrine	0.655915228176967
THBS2	ITGB1	autocrine|paracrine	0.655296071251683
PLAT	LRP1	autocrine|paracrine	0.654746289183878
TLN1	ITGB5	autocrine|paracrine	0.653669647355209
APOE	LRP8	autocrine|paracrine	0.652333904869804
THBS1	CD47	autocrine|paracrine	0.65171833654782
TGFB2	TGFBR2	autocrine|paracrine	0.650075456509403
COL3A1	DDR1	autocrine|paracrine	0.648832572373304
FN1	SDC2	autocrine|paracrine	0.648394912934997
SEMA3A	NRP2	autocrine|paracrine	0.647335987121202
VIP	RAMP2	autocrine|paracrine	0.64703687670066
IGFBP4	FZD8	autocrine|paracrine	0.645599645852453
GNAS	VIPR1	autocrine|paracrine	0.645236953658023
SEMA4C	PLXNB2	autocrine|paracrine	0.643934461206998
MDK	SDC1	autocrine|paracrine	0.641576121476842
ADM	RAMP3	autocrine|paracrine	0.640409119982475
CALR	HLA-F	autocrine|paracrine	0.640243325672859
TFPI	LRP1	autocrine|paracrine	0.638075461838116
TFPI	VLDLR	autocrine|paracrine	0.637458235288231
NECTIN2	NECTIN3	autocrine|paracrine	0.635867115367009
LAMC3	ITGB4	autocrine|paracrine	0.635564929846901
CALM3	KCNQ1	autocrine|paracrine	0.635465147158636
ICAM4	ITGB1	autocrine|paracrine	0.633741386550819
CALM3	PDE1C	autocrine|paracrine	0.632025221670515
MDK	GPC2	autocrine|paracrine	0.63157386805223
TNC	PTPRB	autocrine|paracrine	0.62930805576801
VEGFA	ITGA9	autocrine|paracrine	0.629151948128875
APP	LRP1	autocrine|paracrine	0.629112376532058
GNAI2	TBXA2R	autocrine|paracrine	0.628526680171559
FGB	ITGB1	autocrine|paracrine	0.628456130081376
FYN	THY1	autocrine|paracrine	0.628232601105585
SEMA3B	NRP1	autocrine|paracrine	0.626975509772819
HRAS	INSR	autocrine|paracrine	0.626278940460801
LTBP3	ITGB5	autocrine|paracrine	0.625169043428581
THBS1	LRP5	autocrine|paracrine	0.625053144575617
JAG1	NOTCH3	autocrine|paracrine	0.624128935932636
INHBA	TGFBR3	autocrine|paracrine	0.623751184959422
THBS2	ITGA6	autocrine|paracrine	0.622985965331242
HMGB1	SDC1	autocrine|paracrine	0.62170692702698
PKM	CD44	autocrine|paracrine	0.620504249948018
THBS1	SCARB1	autocrine|paracrine	0.620187471404138
TNC	ITGA5	autocrine|paracrine	0.618871267010099
THBS2	NOTCH4	autocrine|paracrine	0.617518308704636
RPS27A	FGFR2	autocrine|paracrine	0.616693274584518
PRSS23	TMEM222	autocrine|paracrine	0.616631963232161
PSAP	SORT1	autocrine|paracrine	0.616296151948574
THBS2	CD36	autocrine|paracrine	0.61588174097987
UBA52	ADRB2	autocrine|paracrine	0.615349199331963
SEMA3A	PLXNA2	autocrine|paracrine	0.61414393479964
PSAP	LRP1	autocrine|paracrine	0.612605775066244
COL4A5	ITGA2	autocrine|paracrine	0.612197885197501
NID1	ITGA3	autocrine|paracrine	0.611676496819124
LAMA5	ITGB4	autocrine|paracrine	0.61103014442637
LGALS3BP	VANGL1	autocrine|paracrine	0.610347971125146
EDIL3	ITGAV	autocrine|paracrine	0.609881803411371
P4HB	GPR162	autocrine|paracrine	0.609501878285556
PDGFB	ITGAV	autocrine|paracrine	0.608418871948971
VEGFA	SIRPA	autocrine|paracrine	0.608347332357886
DUSP18	RPSA	autocrine|paracrine	0.607634577179143
EFEMP2	PLSCR4	autocrine|paracrine	0.606406259823129
VTN	ITGB1	autocrine|paracrine	0.606059625737681
ANOS1	FGFR1	autocrine|paracrine	0.605954786557619
FN1	ITGA3	autocrine|paracrine	0.605436454752951
GNAS	ADCY7	autocrine|paracrine	0.605078484207024
SEMA4A	PLXNB1	autocrine|paracrine	0.60394564095203
FGF13	FGFR1	autocrine|paracrine	0.601937013178507
COL18A1	GPC1	autocrine|paracrine	0.600744976185521
COL2A1	ITGB1	autocrine|paracrine	0.60032116207916
