Myofibroblast_Mesothelium	Epithelial	interaction type	LRscore
CYR61	CAV1	autocrine|paracrine	0.795932883241544
TIMP2	ITGB1	autocrine|paracrine	0.794692623539723
FBN1	ITGB1	autocrine|paracrine	0.794607665519822
FN1	ITGA3	autocrine|paracrine	0.794142417206369
ACTR2	LDLR	autocrine|paracrine	0.792882621597669
COL5A2	DDR1	autocrine|paracrine	0.792638521378023
LAMA5	BCAM	autocrine|paracrine	0.792011648869464
COL6A1	ITGA2	autocrine|paracrine	0.791425668844164
COL1A1	ITGA1	autocrine|paracrine	0.791136367419809
FN1	ITGA2	autocrine|paracrine	0.784912702389536
COL1A2	ITGA1	autocrine|paracrine	0.784412733871909
HSP90AA1	EGFR	autocrine|paracrine	0.784316417466582
LAMC1	ITGB1	autocrine|paracrine	0.783705907482275
HMGB1	SDC1	autocrine|paracrine	0.783632457795261
FN1	ITGAV	autocrine|paracrine	0.783348290801083
FN1	IL17RC	autocrine|paracrine	0.783147445079077
ARF1	INSR	autocrine|paracrine	0.782868361821189
PLAU	ST14	autocrine|paracrine	0.782180628848306
HSP90AA1	CFTR	autocrine|paracrine	0.782011882219071
MMP2	SDC2	autocrine|paracrine	0.780381073699735
PLAU	PLAUR	autocrine|paracrine	0.780178761353879
RARRES2	CCRL2	autocrine|paracrine	0.778669694610374
UBC	SMAD3	autocrine|paracrine	0.777797248461188
PSAP	LRP1	autocrine|paracrine	0.777407352753718
ARPC5	LDLR	autocrine|paracrine	0.777020572994698
LAMB1	ITGA6	autocrine|paracrine	0.774741993832082
HSP90B1	ASGR1	autocrine|paracrine	0.774587540741473
APOC3	LDLR	autocrine|paracrine	0.774310245535377
GNAS	PTGDR	autocrine|paracrine	0.774159417593066
RPS27A	RIPK1	autocrine|paracrine	0.772785194442512
GNAI2	EDNRB	autocrine|paracrine	0.772398975678122
LRPAP1	SORL1	autocrine|paracrine	0.770414899592486
COL16A1	ITGB1	autocrine|paracrine	0.770084995763829
TGM2	ITGB1	autocrine|paracrine	0.768235534419988
CALM1	INSR	autocrine|paracrine	0.768077948558079
PTN	SDC1	autocrine|paracrine	0.767437445411776
COL1A1	DDR2	autocrine|paracrine	0.766987392459318
DCN	EGFR	autocrine|paracrine	0.766274493151788
COL4A1	ITGB8	autocrine|paracrine	0.766033773401318
HLA-C	DDR1	autocrine|paracrine	0.765377603934855
LAMA5	ITGB1	autocrine|paracrine	0.764748197447663
COL6A3	ITGA2	autocrine|paracrine	0.764149567156426
CXCL12	SDC4	autocrine|paracrine	0.762780818209244
VCAN	EGFR	autocrine|paracrine	0.76259138986681
CALM2	INSR	autocrine|paracrine	0.76141184880652
CYR61	ITGB5	autocrine|paracrine	0.760854540589254
EFNB1	ERBB2	autocrine|paracrine	0.760647334108935
FABP5	RXRA	autocrine|paracrine	0.759729384811748
UBB	SMAD3	autocrine|paracrine	0.759508557871729
CYR61	ITGAV	autocrine|paracrine	0.758021650125371
COL3A1	DDR2	autocrine|paracrine	0.757434155164705
SERPINE2	LRP1	autocrine|paracrine	0.756195966793345
VIM	CD44	autocrine|paracrine	0.755763448397926
APP	LRP1	autocrine|paracrine	0.755192437487689
LAMB2	ITGB1	autocrine|paracrine	0.754489017848633
APP	NCSTN	autocrine|paracrine	0.752951452314028
COL4A5	ITGB1	autocrine|paracrine	0.752407233735989
COL6A2	ITGA1	autocrine|paracrine	0.751267496564271
TFPI	LRP1	autocrine|paracrine	0.750326663304319
COL4A1	CD47	autocrine|paracrine	0.750198911238371
UBA52	TGFBR2	autocrine|paracrine	0.749632176798395
COL1A1	CD44	autocrine|paracrine	0.749624117703205
LAMA4	ITGA6	autocrine|paracrine	0.747902410665377
RPS27A	FGFR2	autocrine|paracrine	0.746441953786782
CALR	ITGA3	autocrine|paracrine	0.743967530716932
LRPAP1	LRP1	autocrine|paracrine	0.742947363201607
CALM3	INSR	autocrine|paracrine	0.742578074705269
COL1A2	CD44	autocrine|paracrine	0.741999941288658
COL4A2	ITGB5	autocrine|paracrine	0.74146670619835
APOE	SORL1	autocrine|paracrine	0.741348215343672
THBS1	ITGB1	autocrine|paracrine	0.739566659002288
NAMPT	INSR	autocrine|paracrine	0.738639805412137
JAG1	CD46	autocrine|paracrine	0.737726804625511
APP	CD74	autocrine|paracrine	0.737452558673186
COL6A1	ITGA1	autocrine|paracrine	0.737056155171266
GNAI2	IGF1R	autocrine|paracrine	0.736452005258527
SEMA3A	PLXNA2	autocrine|paracrine	0.735437709547138
TNFSF12	TNFRSF12A	autocrine|paracrine	0.735391562400927
UBA52	NOTCH1	autocrine|paracrine	0.734307104923747
LAMC1	ITGA6	autocrine|paracrine	0.733675701707251
NID1	ITGA3	autocrine|paracrine	0.732227047521725
UBC	RIPK1	autocrine|paracrine	0.731707814555861
CALR	ITGAV	autocrine|paracrine	0.731432226834561
PLAU	ITGB1	autocrine|paracrine	0.731431141167205
MFAP2	NOTCH1	autocrine|paracrine	0.730740291394498
CALM1	MYLK	autocrine|paracrine	0.730426174792406
UBA52	EGFR	autocrine|paracrine	0.730189292100825
HSPG2	ITGB1	autocrine|paracrine	0.729656877809504
GNAI2	CAV1	autocrine|paracrine	0.729623467150112
CALM1	VIPR1	autocrine|paracrine	0.72907741830453
GPC6	LRP1	autocrine|paracrine	0.727794009677244
EFNA1	EPHA2	autocrine|paracrine	0.726329744230005
TFPI	SDC4	autocrine|paracrine	0.725979216861447
CALM2	MYLK	autocrine|paracrine	0.723068052054926
MDK	SDC3	autocrine|paracrine	0.722400004969452
RPS27A	TGFBR1	autocrine|paracrine	0.721108949758777
TGFB1	ITGB1	autocrine|paracrine	0.721007405895938
NID1	ITGAV	autocrine|paracrine	0.719333782944127
VCAM1	ITGB1	autocrine|paracrine	0.718966080697162
CTGF	LRP6	autocrine|paracrine	0.718668274021592
APP	CAV1	autocrine|paracrine	0.718439700778195
DCN	MET	autocrine|paracrine	0.717877227912196
APOA4	LDLR	autocrine|paracrine	0.716868482797167
COL4A1	ITGA2	autocrine|paracrine	0.715640787193802
A2M	LRP1	autocrine|paracrine	0.713843885713988
COL4A1	ITGAV	autocrine|paracrine	0.713756276506584
LAMA5	ITGA6	autocrine|paracrine	0.711944696938227
APOE	LRP1	autocrine|paracrine	0.711704465930905
UBB	RIPK1	autocrine|paracrine	0.711035004552085
MUC2	AGR2	autocrine|paracrine	0.710655377144912
LAMB1	ITGA3	autocrine|paracrine	0.709441978073782
COL1A1	ITGA5	autocrine|paracrine	0.707073179016114
TNC	ITGB1	autocrine|paracrine	0.706236933439157
DLL1	NOTCH1	autocrine|paracrine	0.706230948828633
WNT5A	LDLR	autocrine|paracrine	0.706022714701909
LAMB1	ITGB4	autocrine|paracrine	0.705553274784899
COL6A3	ITGA1	autocrine|paracrine	0.705317344927051
RTN4	GJB2	autocrine|paracrine	0.705195325622979
COL1A1	CD36	autocrine|paracrine	0.704841696029755
SERPINA1	LRP1	autocrine|paracrine	0.703324474940991
AGRN	ITGB1	autocrine|paracrine	0.703321031323273
CALM1	EGFR	autocrine|paracrine	0.70309607319141
UBA52	SMAD3	autocrine|paracrine	0.702571922409045
UBC	FGFR2	autocrine|paracrine	0.702435891910198
CALM3	MYLK	autocrine|paracrine	0.7023905494991
NECTIN2	NECTIN3	autocrine|paracrine	0.702172196581661
COL9A1	ITGB1	autocrine|paracrine	0.699921644724268
JAM3	ITGB1	autocrine|paracrine	0.698951863649572
LAMB1	ITGA2	autocrine|paracrine	0.69785951483913
COL1A2	CD36	autocrine|paracrine	0.696406131240213
GSTP1	TRAF2	autocrine|paracrine	0.696334478736422
AREG	ERBB3	autocrine|paracrine	0.696213494001072
LAMB1	ITGAV	autocrine|paracrine	0.695907236947257
VEGFA	EGFR	autocrine|paracrine	0.695585595852886
CALM2	EGFR	autocrine|paracrine	0.695303152198095
APOE	LRP5	autocrine|paracrine	0.695134599548377
VEGFA	EPHB2	autocrine|paracrine	0.694932079179481
VEGFA	TYRO3	autocrine|paracrine	0.694852629237965
NRG1	ERBB3	autocrine|paracrine	0.694146517641734
FGF7	FGFR3	autocrine|paracrine	0.691548727445824
VEGFA	ITGAV	autocrine|paracrine	0.690953407877626
TGM2	SDC4	autocrine|paracrine	0.689944894536876
TGM2	ADGRG1	autocrine|paracrine	0.68953782180246
GNAI2	EGFR	autocrine|paracrine	0.688967051989543
GPC3	LRP1	autocrine|paracrine	0.685946084524268
CALM1	PTPRA	autocrine|paracrine	0.684996124626821
GNAS	ADCY9	autocrine|paracrine	0.684434582877014
THBS1	LRP1	autocrine|paracrine	0.683789553563223
THBS1	ITGA6	autocrine|paracrine	0.683450594827842
BMP4	BMPR2	autocrine|paracrine	0.681857639473516
FN1	CD44	autocrine|paracrine	0.680600196981783
UBB	FGFR2	autocrine|paracrine	0.680492468797664
SERPING1	LRP1	autocrine|paracrine	0.679676112960588
LAMA4	ITGA3	autocrine|paracrine	0.678055076878964
APOC3	LRP1	autocrine|paracrine	0.677102798245508
TIMP2	ITGA3	autocrine|paracrine	0.676294945893228
IGF1	INSR	autocrine|paracrine	0.675981436813861
IGF1	IGF2R	autocrine|paracrine	0.674868441873501
PLAU	LRP1	autocrine|paracrine	0.674678093111202
UBC	TGFBR1	autocrine|paracrine	0.674622756974774
RTN4	RTN4R	autocrine|paracrine	0.673992916601618
CALM3	EGFR	autocrine|paracrine	0.67348868412736
HBEGF	CD9	autocrine|paracrine	0.673448492047069
LYPD3	AGR2	autocrine|paracrine	0.67274530188719
HSPG2	LRP1	autocrine|paracrine	0.672696674039391
PSAP	SORT1	autocrine|paracrine	0.671545517744731
PTN	SDC3	autocrine|paracrine	0.671050662374218
INHBA	BAMBI	autocrine|paracrine	0.669888022518798
THBS1	LRP5	autocrine|paracrine	0.666367388107242
SERPINE1	PLAUR	autocrine|paracrine	0.664688818496721
CALM1	KCNN4	autocrine|paracrine	0.664510612690805
GNAS	ADCY7	autocrine|paracrine	0.664227894980745
EFNA4	EPHA2	autocrine|paracrine	0.664103109191359
TFPI	F3	autocrine|paracrine	0.663915517151156
COL1A1	CD93	autocrine|paracrine	0.663831560632661
FN1	NT5E	autocrine|paracrine	0.663799062213819
LAMA4	ITGAV	autocrine|paracrine	0.66375123651621
NPNT	ITGB1	autocrine|paracrine	0.662737665108068
COL18A1	ITGB1	autocrine|paracrine	0.662237190970329
PLAU	IGF2R	autocrine|paracrine	0.662077283086084
FBN1	ITGAV	autocrine|paracrine	0.661835378415275
LAMC1	ITGA3	autocrine|paracrine	0.661669773213342
APP	TNFRSF21	autocrine|paracrine	0.661252183245219
APOE	SCARB1	autocrine|paracrine	0.660088264183471
COL5A1	ITGA1	autocrine|paracrine	0.658449993054626
EDIL3	ITGB5	autocrine|paracrine	0.657792645355951
LAMC1	ITGB4	autocrine|paracrine	0.657450419523537
THBS1	SDC4	autocrine|paracrine	0.655928977207277
SEMA4D	ERBB2	autocrine|paracrine	0.655413119061128
COL1A2	CD93	autocrine|paracrine	0.654797961190044
DLL1	NOTCH2	autocrine|paracrine	0.654373930608808
EDIL3	ITGAV	autocrine|paracrine	0.654293612241497
IGF1	IGF1R	autocrine|paracrine	0.65300486560753
GPC3	IGF1R	autocrine|paracrine	0.651664750567276
UBB	TGFBR1	autocrine|paracrine	0.651645453878986
COL4A1	ITGA1	autocrine|paracrine	0.650246564623434
LAMA2	RPSA	autocrine|paracrine	0.649771913771071
VCAN	CD44	autocrine|paracrine	0.649399542772786
COL4A5	CD47	autocrine|paracrine	0.649314050255889
LAMC1	ITGA2	autocrine|paracrine	0.649124819291756
ICAM1	IL2RG	autocrine|paracrine	0.649115527581042
CLCF1	IL6ST	autocrine|paracrine	0.648738054216851
UBA52	RIPK1	autocrine|paracrine	0.647941795751549
EFEMP1	EGFR	autocrine|paracrine	0.647836292347423
LAMC1	ITGAV	autocrine|paracrine	0.647016921013688
COL5A2	ITGA1	autocrine|paracrine	0.646299422358568
RPS19	C5AR1	autocrine|paracrine	0.644770549963513
ANGPT1	ITGB1	autocrine|paracrine	0.643532257337617
AGRN	LRP1	autocrine|paracrine	0.643522889572758
SEMA3A	PLXNA3	autocrine|paracrine	0.643044051804096
ADAM9	ITGB1	autocrine|paracrine	0.641571915498425
GNAI2	F2R	autocrine|paracrine	0.641240760730907
SPINT1	ST14	autocrine|paracrine	0.64079389610938
FGF13	FGFR3	autocrine|paracrine	0.639139521559296
LAMA5	ITGA3	autocrine|paracrine	0.636970571103358
VCL	ITGB5	autocrine|paracrine	0.636744781847736
THBS1	CD47	autocrine|paracrine	0.633729597961798
THBS1	TNFRSF11B	autocrine|paracrine	0.633290624897208
LAMA5	ITGB4	autocrine|paracrine	0.632614219674276
APOB	LDLR	autocrine|paracrine	0.63249956324869
FN1	ITGA5	autocrine|paracrine	0.632076220386445
LTBP3	ITGB5	autocrine|paracrine	0.631941374798527
TGFB1	ITGB8	autocrine|paracrine	0.631899239953371
VEGFA	SIRPA	autocrine|paracrine	0.631310505555277
LAMB1	ITGA1	autocrine|paracrine	0.630487517000871
NRG1	ERBB2	autocrine|paracrine	0.629811491070381
THBS1	SCARB1	autocrine|paracrine	0.6297753486996
LRPAP1	SORT1	autocrine|paracrine	0.628527929799456
LAMA5	SDC1	autocrine|paracrine	0.628076796342448
MFGE8	ITGAV	autocrine|paracrine	0.627656102867907
GDNF	EDNRB	autocrine|paracrine	0.627123435133144
NRG2	ERBB3	autocrine|paracrine	0.626282794434156
APOB	LSR	autocrine|paracrine	0.62447987155347
LAMA5	ITGA2	autocrine|paracrine	0.624030177666741
LAMB2	ITGA3	autocrine|paracrine	0.623879673704387
EFNB1	EPHB2	autocrine|paracrine	0.622748982034908
GNAI2	PTPRU	autocrine|paracrine	0.622221019698633
COL5A1	SDC3	autocrine|paracrine	0.621410579597153
DLL1	NOTCH3	autocrine|paracrine	0.621119509281721
BMP5	BMPR2	autocrine|paracrine	0.620630010383235
LAMB2	ITGB4	autocrine|paracrine	0.619460080935415
TGFB1	CAV1	autocrine|paracrine	0.619452241135351
COL4A6	ITGB1	autocrine|paracrine	0.619323891306059
UBA52	ACVR1	autocrine|paracrine	0.619015377670489
EDN1	EDNRB	autocrine|paracrine	0.618147863987761
TNC	SDC4	autocrine|paracrine	0.617432389473502
IGFBP4	LRP6	autocrine|paracrine	0.61620412750425
LAMB3	CD151	autocrine|paracrine	0.615437349981031
UBA52	FGFR2	autocrine|paracrine	0.614347532651209
EFEMP2	AQP1	autocrine|paracrine	0.610960864971582
CD55	ADGRE5	autocrine|paracrine	0.609113018342175
APOC3	SDC2	autocrine|paracrine	0.608386500297727
COL4A5	ITGA2	autocrine|paracrine	0.608090327461063
APOA4	LRP1	autocrine|paracrine	0.607462563309928
SEMA4C	PLXNB2	autocrine|paracrine	0.605940776960199
COL4A5	ITGAV	autocrine|paracrine	0.605885584508559
FN1	C5AR1	autocrine|paracrine	0.605814347845284
THBS1	ITGA3	autocrine|paracrine	0.605173041429433
FN1	ITGA8	autocrine|paracrine	0.604639284370584
SEMA4D	PLXNB2	autocrine|paracrine	0.602931630416076
COL7A1	ITGB1	autocrine|paracrine	0.601952967321643
APOB	MTTP	autocrine|paracrine	0.601793881469175
CTGF	ITGA5	autocrine|paracrine	0.601536436988456
MDK	GPC2	autocrine|paracrine	0.601434083675602
EFEMP2	PLSCR4	autocrine|paracrine	0.600849723694637
