Pericytes	Neural	interaction type	LRscore
GPC3	CD81	autocrine|paracrine	0.833367702252044
MDK	ITGA6	autocrine|paracrine	0.83309317198642
FN1	ITGB1	autocrine|paracrine	0.831926455848831
HSPA8	LDLR	autocrine|paracrine	0.831873988833451
RPS27A	TGFBR1	autocrine|paracrine	0.830555161993054
MDK	LRP1	autocrine|paracrine	0.828340558250909
COL1A1	ITGAV	autocrine|paracrine	0.826498404766225
UBB	ERBB2	autocrine|paracrine	0.824386262650033
HSP90AA1	ERBB2	autocrine|paracrine	0.824047493420078
PTN	SDC3	autocrine|paracrine	0.82272240843485
GNAI2	EDNRB	autocrine|paracrine	0.820546115118788
COL1A2	ITGAV	autocrine|paracrine	0.820439301805762
UBA52	NOTCH1	autocrine|paracrine	0.820177928894809
COL5A1	ITGA1	autocrine|paracrine	0.818123326351324
CALM1	PTPRA	autocrine|paracrine	0.817544286254006
UBC	TGFBR1	autocrine|paracrine	0.817068696313547
HSP90B1	LRP1	autocrine|paracrine	0.815503792133458
UBA52	TGFBR2	autocrine|paracrine	0.812895070865911
IGFBP4	LRP6	autocrine|paracrine	0.812180842834307
RTN4	NGFR	autocrine|paracrine	0.811721322427172
VCAN	ITGB1	autocrine|paracrine	0.81096928973406
LAMB2	ITGB1	autocrine|paracrine	0.810079063663982
VEGFA	ITGB1	autocrine|paracrine	0.808796661617529
CYR61	CAV1	autocrine|paracrine	0.808481646124518
UBB	TGFBR1	autocrine|paracrine	0.807178290609927
AGRN	ITGB1	autocrine|paracrine	0.806560595065795
LAMC1	ITGB1	autocrine|paracrine	0.803735692711139
LAMB1	ITGB1	autocrine|paracrine	0.803461558152597
CALM2	MYLK	autocrine|paracrine	0.802799408487706
HSP90B1	ERBB2	autocrine|paracrine	0.802144945427858
HLA-A	APLP2	autocrine|paracrine	0.802077958908811
COL6A1	ITGA6	autocrine|paracrine	0.801027539568265
COL5A2	DDR1	autocrine|paracrine	0.798815330839302
LAMA4	ITGB1	autocrine|paracrine	0.798597333864137
APP	GPC1	autocrine|paracrine	0.798452154331097
CTGF	LRP1	autocrine|paracrine	0.797941719546827
CALM1	MYLK	autocrine|paracrine	0.797558060709815
APOE	LDLR	autocrine|paracrine	0.797139183211696
MDK	GPC2	autocrine|paracrine	0.796790227616262
LGALS3BP	ITGB1	autocrine|paracrine	0.796478181051471
TIMP2	ITGB1	autocrine|paracrine	0.795344095537953
HBEGF	CD9	autocrine|paracrine	0.7931155795646
JAG1	NOTCH1	autocrine|paracrine	0.792893010576979
COL1A1	ITGA2	autocrine|paracrine	0.791371080889581
APOE	LRP1	autocrine|paracrine	0.791200223628898
COL18A1	GPC4	autocrine|paracrine	0.790926873193812
FBLN1	ITGB1	autocrine|paracrine	0.790630414122905
COL4A1	ITGB8	autocrine|paracrine	0.790301696906921
COL5A1	SDC3	autocrine|paracrine	0.788602191181914
FBN1	ITGB1	autocrine|paracrine	0.787959023556823
FABP5	RXRA	autocrine|paracrine	0.785752958341301
COL4A1	ITGAV	autocrine|paracrine	0.785057701111808
COL1A2	ITGA2	autocrine|paracrine	0.784405242420527
PKM	CD44	autocrine|paracrine	0.781276255887574
A2M	LRP1	autocrine|paracrine	0.780265419120405
CALR	LRP1	autocrine|paracrine	0.779775570483278
LAMC1	ITGA1	autocrine|paracrine	0.779721863295055
APOA1	LDLR	autocrine|paracrine	0.779672108667569
LAMB1	ITGA1	autocrine|paracrine	0.77942339226147
VEGFA	GPC1	autocrine|paracrine	0.77779052869002
THBS1	ITGB1	autocrine|paracrine	0.777362854809376
PTN	PLXNB2	autocrine|paracrine	0.775302634873119
COL3A1	ITGA2	autocrine|paracrine	0.774936136147149
MFAP2	NOTCH1	autocrine|paracrine	0.774534253248685
UBA52	LDLR	autocrine|paracrine	0.774306246706692
APOA1	LRP1	autocrine|paracrine	0.77336716794958
ANGPT1	ITGB1	autocrine|paracrine	0.772631005571732
LUM	ITGB1	autocrine|paracrine	0.769964665398574
JAG1	CD46	autocrine|paracrine	0.766499852501745
CYR61	ITGAV	autocrine|paracrine	0.764425659795749
GNAS	ADCY1	autocrine|paracrine	0.764365904843764
CALM3	MYLK	autocrine|paracrine	0.761791735430908
HLA-C	DDR1	autocrine|paracrine	0.761625528740117
APP	NGFR	autocrine|paracrine	0.761192612332279
APOE	SORL1	autocrine|paracrine	0.760481396006283
NGF	MAGED1	autocrine|paracrine	0.760322678408525
B2M	TFRC	autocrine|paracrine	0.757500671571181
COL6A2	ITGA2	autocrine|paracrine	0.757102225922999
CALR	ITGAV	autocrine|paracrine	0.755964987951247
RPS27A	RIPK1	autocrine|paracrine	0.754207480689475
NID1	PTPRF	autocrine|paracrine	0.752982791752545
COL5A3	SDC3	autocrine|paracrine	0.752525769198803
UBA52	ERBB2	autocrine|paracrine	0.75213507595316
GNAI2	CAV1	autocrine|paracrine	0.752124083784864
SERPINE2	LRP1	autocrine|paracrine	0.749545070673016
ARPC5	LDLR	autocrine|paracrine	0.745858694470708
COL4A1	ITGA2	autocrine|paracrine	0.744137612719237
LAMC3	ITGB1	autocrine|paracrine	0.743929948438477
RTN4	TNFRSF19	autocrine|paracrine	0.743453192536512
THBS1	CD47	autocrine|paracrine	0.742606889393121
FN1	CD44	autocrine|paracrine	0.742457869913958
COL6A3	ITGA2	autocrine|paracrine	0.74089092717111
APP	CAV1	autocrine|paracrine	0.739807371976115
FN1	SDC2	autocrine|paracrine	0.739257746051036
CALM2	ABCA1	autocrine|paracrine	0.738388752355386
CTGF	ERBB4	autocrine|paracrine	0.7374022656656
ARF1	INSR	autocrine|paracrine	0.737381030674421
UBC	RIPK1	autocrine|paracrine	0.736571690611637
PLAT	LRP1	autocrine|paracrine	0.736358069447966
CALM2	INSR	autocrine|paracrine	0.734664501948116
GNAI2	IGF1R	autocrine|paracrine	0.734500943857402
MFGE8	ITGAV	autocrine|paracrine	0.732781314091076
CALM1	ABCA1	autocrine|paracrine	0.732006939484828
TGFB1	ITGB1	autocrine|paracrine	0.730878416441296
RPS27A	SMAD3	autocrine|paracrine	0.730735790815432
COL6A1	ITGA2	autocrine|paracrine	0.730557709933038
HSP90B1	ASGR1	autocrine|paracrine	0.730296841882566
UBA52	TGFBR1	autocrine|paracrine	0.730164692587476
COL9A1	ITGB1	autocrine|paracrine	0.729634621944729
EFEMP2	AQP1	autocrine|paracrine	0.729626570002114
HSPG2	ITGB1	autocrine|paracrine	0.729187189548823
SPTAN1	PTPRA	autocrine|paracrine	0.728892023484469
JAG1	NOTCH2	autocrine|paracrine	0.728695506689907
CALM1	INSR	autocrine|paracrine	0.728225277530795
FN1	ITGA6	autocrine|paracrine	0.727640826627149
UBB	RIPK1	autocrine|paracrine	0.723800310983833
LAMA5	ITGB1	autocrine|paracrine	0.723516942631463
APP	NCSTN	autocrine|paracrine	0.723274728305158
TFPI	LRP1	autocrine|paracrine	0.721954469595873
NTF3	NGFR	autocrine|paracrine	0.721136836843716
VCAM1	ITGB1	autocrine|paracrine	0.72080449239258
RTN4	LINGO1	autocrine|paracrine	0.720749849508671
ADAM17	ITGB1	autocrine|paracrine	0.718120518193106
ARTN	GFRA1	autocrine|paracrine	0.717011582492255
VCAN	CD44	autocrine|paracrine	0.714177615845963
APP	LRP1	autocrine|paracrine	0.714138023322683
ICAM1	CAV1	autocrine|paracrine	0.713908933311452
NECTIN2	NECTIN3	autocrine|paracrine	0.712858628221596
UBC	SMAD3	autocrine|paracrine	0.712058849456654
APP	CD74	autocrine|paracrine	0.71067337924121
MDK	SDC1	autocrine|paracrine	0.709636609379332
ARF1	CHRM3	autocrine|paracrine	0.709192034052473
JAM3	ITGB1	autocrine|paracrine	0.706784783992629
VEGFA	NRP1	autocrine|paracrine	0.704305463944883
PGF	NRP1	autocrine|paracrine	0.704258122191647
EFEMP2	PLSCR4	autocrine|paracrine	0.704212322576672
APOE	LRP5	autocrine|paracrine	0.702449060526134
NLGN2	NRXN1	autocrine|paracrine	0.701604876718965
NGF	KIDINS220	autocrine|paracrine	0.700857479877725
FN1	ITGB8	autocrine|paracrine	0.699847055090151
PSAP	LRP1	autocrine|paracrine	0.69960868545583
CXCL12	ACKR3	autocrine|paracrine	0.698820083388625
NID1	ITGAV	autocrine|paracrine	0.698761614104426
UBB	SMAD3	autocrine|paracrine	0.698585368119791
GNAS	ADCY9	autocrine|paracrine	0.698171090446387
FN1	IL17RC	autocrine|paracrine	0.696156057800719
TFPI	F3	autocrine|paracrine	0.695617370512039
GSTP1	TRAF2	autocrine|paracrine	0.695154204168259
GNAI2	F2R	autocrine|paracrine	0.695034913971666
TGFB3	ITGB1	autocrine|paracrine	0.694031650023091
HSP90AA1	FGFR3	autocrine|paracrine	0.693280402211518
FN1	ITGAV	autocrine|paracrine	0.693219108884335
MFGE8	PDGFRB	autocrine|paracrine	0.692182226975176
FYN	THY1	autocrine|paracrine	0.691758888759554
HMGB1	SDC1	autocrine|paracrine	0.691727478675767
CALM3	ABCA1	autocrine|paracrine	0.689172873670778
LAMC1	ITGA6	autocrine|paracrine	0.688507659060408
LAMB1	ITGA6	autocrine|paracrine	0.68813502856178
VEGFA	TYRO3	autocrine|paracrine	0.687650468647291
LRPAP1	LDLR	autocrine|paracrine	0.686515621096367
AGRN	LRP1	autocrine|paracrine	0.685110918143288
CALM3	INSR	autocrine|paracrine	0.685046841709043
VEGFA	RET	autocrine|paracrine	0.683465643763298
VEGFA	NRP2	autocrine|paracrine	0.682001149252919
PGF	NRP2	autocrine|paracrine	0.68195184908084
LAMA4	ITGA6	autocrine|paracrine	0.681547823846988
VEGFB	NRP1	autocrine|paracrine	0.681199323283497
MMP2	SDC2	autocrine|paracrine	0.681087002225241
GAS6	TYRO3	autocrine|paracrine	0.679559808806847
LRPAP1	LRP1	autocrine|paracrine	0.678643649961215
EDN1	EDNRB	autocrine|paracrine	0.677204585718328
AREG	ERBB3	autocrine|paracrine	0.677194141673931
P4HB	MTTP	autocrine|paracrine	0.676360349632721
FGF7	NRP1	autocrine|paracrine	0.675155868149581
MDK	TSPAN1	autocrine|paracrine	0.674472525148258
HLA-A	ERBB2	autocrine|paracrine	0.674468902981534
LAMA3	ITGB1	autocrine|paracrine	0.674320086482237
FGF7	FGFR1	autocrine|paracrine	0.67367778545392
EFEMP2	LINGO1	autocrine|paracrine	0.672654558701917
GPC6	LRP1	autocrine|paracrine	0.672200173552106
HMGB1	THBD	autocrine|paracrine	0.671843884245418
JAG1	NOTCH3	autocrine|paracrine	0.671048844731654
COL4A5	ITGB1	autocrine|paracrine	0.671027383460753
NGF	NGFR	autocrine|paracrine	0.670867880181091
SEMA4A	PLXNB2	autocrine|paracrine	0.67079898929628
ACTR2	LDLR	autocrine|paracrine	0.669091433885986
BDNF	DDR1	autocrine|paracrine	0.668906859552206
BDNF	NGFR	autocrine|paracrine	0.668301267560347
VCAM1	EZR	autocrine|paracrine	0.667380365891882
COL16A1	ITGB1	autocrine|paracrine	0.666815112898126
MDK	ITGA4	autocrine|paracrine	0.666686673415698
COL14A1	CD44	autocrine|paracrine	0.665811989647217
TNFSF12	TNFRSF12A	autocrine|paracrine	0.664319881905602
VEGFB	TYRO3	autocrine|paracrine	0.663864004692705
IGFBP4	FZD8	autocrine|paracrine	0.662389411597517
RPS27A	FGFR2	autocrine|paracrine	0.66165957570992
ADAM9	ITGB1	autocrine|paracrine	0.65985611934793
SERPINA1	LRP1	autocrine|paracrine	0.659755686713922
VEGFB	RET	autocrine|paracrine	0.659518286047381
VEGFA	ITGAV	autocrine|paracrine	0.658828960690981
PLAU	ITGB1	autocrine|paracrine	0.658464616033462
VEGFC	ITGB1	autocrine|paracrine	0.65762237421591
COL18A1	ITGA3	autocrine|paracrine	0.655386133632574
DCN	ERBB4	autocrine|paracrine	0.653651985981846
GAS6	AXL	autocrine|paracrine	0.653585546637858
RPS27A	ADRB2	autocrine|paracrine	0.653412665752346
THBS1	ITGA6	autocrine|paracrine	0.653329631605217
GDF11	BMPR2	autocrine|paracrine	0.652747102318643
FN1	PLAUR	autocrine|paracrine	0.652469580543368
LAMC1	ITGAV	autocrine|paracrine	0.65150885378505
LAMB1	ITGAV	autocrine|paracrine	0.651114390667793
TGFB1	TGFBR2	autocrine|paracrine	0.650470355243959
CALM2	KCNQ5	autocrine|paracrine	0.649137327766247
GNAS	ADCY7	autocrine|paracrine	0.647088072185457
UBA52	ACVR1	autocrine|paracrine	0.647031130371529
ADAM17	NOTCH1	autocrine|paracrine	0.646982647080109
ADAM15	ITGB1	autocrine|paracrine	0.646270769566692
THBS1	LRP1	autocrine|paracrine	0.645635605007349
SERPING1	LRP1	autocrine|paracrine	0.644341797539201
LAMA4	ITGAV	autocrine|paracrine	0.644149600679953
FN1	ITGA2	autocrine|paracrine	0.642770880955828
CALM1	KCNQ5	autocrine|paracrine	0.641634972099919
UBC	FGFR2	autocrine|paracrine	0.640548180871903
CALM2	PDE1C	autocrine|paracrine	0.640426621164797
BMP2	BMPR2	autocrine|paracrine	0.640361918762272
LRPAP1	SORL1	autocrine|paracrine	0.638922562970504
SEMA4A	PLXNB1	autocrine|paracrine	0.638613306666647
P4HB	GPR162	autocrine|paracrine	0.638299613812374
COL4A5	ITGA1	autocrine|paracrine	0.638087621800189
COL1A1	CD36	autocrine|paracrine	0.637874119476472
EFNA1	EPHA2	autocrine|paracrine	0.634982682840946
ADAM10	NOTCH1	autocrine|paracrine	0.634651733403582
CALM1	PDE1C	autocrine|paracrine	0.632843356533603
UBC	ADRB2	autocrine|paracrine	0.632072831228907
APOC3	SDC2	autocrine|paracrine	0.632054471562965
RGMA	BMPR2	autocrine|paracrine	0.632051429384294
CALM2	CACNA1C	autocrine|paracrine	0.631821057886316
PSEN1	NOTCH1	autocrine|paracrine	0.631211019632734
PTN	SDC1	autocrine|paracrine	0.631133235964554
DUSP18	RPSA	autocrine|paracrine	0.630300469611691
ADM	RAMP2	autocrine|paracrine	0.629799295473967
FBN1	ITGAV	autocrine|paracrine	0.629141707175761
PTN	PTPRS	autocrine|paracrine	0.628964944029363
UBA52	RIPK1	autocrine|paracrine	0.628799743854694
COL1A2	CD36	autocrine|paracrine	0.628191123235018
COL4A5	CD47	autocrine|paracrine	0.627623208851418
UBB	FGFR2	autocrine|paracrine	0.625488471195296
NAMPT	INSR	autocrine|paracrine	0.625485174540775
GNAI2	S1PR3	autocrine|paracrine	0.625176721976639
COL1A1	CD93	autocrine|paracrine	0.625068344261531
CALM1	CACNA1C	autocrine|paracrine	0.624162812276722
COL4A2	ITGB5	autocrine|paracrine	0.621222967349363
HGF	ITGB1	autocrine|paracrine	0.620317972521928
CALR	ITGA3	autocrine|paracrine	0.619069884617025
APOC3	LDLR	autocrine|paracrine	0.618726956271277
BMP5	BMPR2	autocrine|paracrine	0.618266479895213
GDNF	GFRA1	autocrine|paracrine	0.618265236799242
TGM2	ITGB1	autocrine|paracrine	0.617634583058882
APOB	LRP6	autocrine|paracrine	0.617547118754116
TGFB1	CAV1	autocrine|paracrine	0.617282553792702
UBB	ADRB2	autocrine|paracrine	0.616870422310822
AGRN	ATP1A3	autocrine|paracrine	0.615518403767964
ARF1	PLD2	autocrine|paracrine	0.615310407866088
COL1A2	CD93	autocrine|paracrine	0.615249468592236
VCAM1	MSN	autocrine|paracrine	0.613787301314426
GDNF	EDNRB	autocrine|paracrine	0.613058773614597
RTN4	RTN4R	autocrine|paracrine	0.612887876753137
DLL4	NOTCH1	autocrine|paracrine	0.612170808098084
COL18A1	ITGB5	autocrine|paracrine	0.610745684717365
LAMC3	ITGA6	autocrine|paracrine	0.610601026334136
TIMP3	ADAM17	autocrine|paracrine	0.610436911815889
APOC3	LRP1	autocrine|paracrine	0.610119461289712
TGFB1	SDC2	autocrine|paracrine	0.608701121347099
TGFB3	TGFBR2	autocrine|paracrine	0.608511432174728
GNAI2	ADCY1	autocrine|paracrine	0.607998259385596
TNC	ITGB1	autocrine|paracrine	0.60697041791812
DLL1	NOTCH1	autocrine|paracrine	0.606110031645094
COL1A1	ITGA5	autocrine|paracrine	0.605050613050737
PDGFB	LRP1	autocrine|paracrine	0.603125389825189
PDAP1	PDGFRB	autocrine|paracrine	0.602027957018395
GNAI2	EDNRA	autocrine|paracrine	0.601885872838503
HBEGF	CD44	autocrine|paracrine	0.601829155721832
COL7A1	ITGB1	autocrine|paracrine	0.600836951746288
HSPA8	ADRB2	autocrine|paracrine	0.600162971924459
