Neural	Muscle	interaction type	LRscore
VCAN	CD44	autocrine|paracrine	0.787595331138477
COL5A1	ITGA1	autocrine|paracrine	0.786589681310415
UBA52	LDLR	autocrine|paracrine	0.785521571006652
SEMA3C	NRP2	autocrine|paracrine	0.785075538540195
CALM2	CACNA1C	autocrine|paracrine	0.783781136901538
APOE	LRP5	autocrine|paracrine	0.782083980698823
SPP1	ITGB1	autocrine|paracrine	0.781175654477949
SERPINE2	LRP1	autocrine|paracrine	0.776581766871962
ARF1	INSR	autocrine|paracrine	0.776419775569519
UBC	SMAD3	autocrine|paracrine	0.774674657549583
COL4A1	ITGA1	autocrine|paracrine	0.773139351317361
PTN	SDC3	autocrine|paracrine	0.772882294628267
L1CAM	ERBB2	autocrine|paracrine	0.7708129179681
COL1A2	ITGAV	autocrine|paracrine	0.770749466517885
COL18A1	GPC4	autocrine|paracrine	0.770610973649723
FBN1	ITGB1	autocrine|paracrine	0.770449052508208
HSP90AA1	FGFR3	autocrine|paracrine	0.767381364601874
SERPINA1	LRP1	autocrine|paracrine	0.765621277212053
FYN	THY1	autocrine|paracrine	0.765112338659363
NCAM1	FGFR1	autocrine|paracrine	0.764607629997089
TNC	ITGB1	autocrine|paracrine	0.764491073913336
COL1A1	ITGAV	autocrine|paracrine	0.763689444696817
ICAM1	CAV1	autocrine|paracrine	0.763078643315907
LAMA2	RPSA	autocrine|paracrine	0.763057634699709
AGRN	LRP1	autocrine|paracrine	0.760243799591973
HLA-A	ERBB2	autocrine|paracrine	0.759816233564901
UBB	SMAD3	autocrine|paracrine	0.759543064813256
COL3A1	DDR1	autocrine|paracrine	0.75933447249993
VEGFA	NRP2	autocrine|paracrine	0.758296241622388
LRPAP1	LRP1	autocrine|paracrine	0.75655257320362
CALM1	PTPRA	autocrine|paracrine	0.754952332349026
JAM3	ITGB1	autocrine|paracrine	0.754483980407987
UBA52	TGFBR2	autocrine|paracrine	0.754274324202972
CTGF	LRP1	autocrine|paracrine	0.752463297221006
UBA52	ACVR1	autocrine|paracrine	0.746948605529647
CALM3	INSR	autocrine|paracrine	0.746246820162722
APOC3	LRP1	autocrine|paracrine	0.743644872504255
LAMA5	ITGB1	autocrine|paracrine	0.742016549171947
CALCB	RAMP1	autocrine|paracrine	0.74109824465427
GNAS	ADRB3	autocrine|paracrine	0.739866204976552
L1CAM	ITGA5	autocrine|paracrine	0.739797720173612
HSPG2	LRP1	autocrine|paracrine	0.739542719820253
NCAM1	GFRA1	autocrine|paracrine	0.738715949358383
FN1	CD44	autocrine|paracrine	0.737548733878962
APP	TNFRSF21	autocrine|paracrine	0.737187510186287
IGFBP4	LRP6	autocrine|paracrine	0.73618354261575
LAMA2	ITGB1	autocrine|paracrine	0.735396704304094
COL5A2	DDR1	autocrine|paracrine	0.735199066922139
LAMB1	ITGA1	autocrine|paracrine	0.733505391209278
L1CAM	FGFR2	autocrine|paracrine	0.729808237711502
CYR61	ITGAV	autocrine|paracrine	0.727351049830928
NCAM1	FGFR2	autocrine|paracrine	0.726417130613022
MMP2	SDC2	autocrine|paracrine	0.724089563065414
CALM1	PDE1A	autocrine|paracrine	0.722465896934012
LAMC1	ITGA1	autocrine|paracrine	0.720191189054644
COL5A1	SDC3	autocrine|paracrine	0.719995482784717
COL6A3	ITGA1	autocrine|paracrine	0.719828156637201
COL2A1	ITGA1	autocrine|paracrine	0.719195027659101
HLA-B	CANX	autocrine|paracrine	0.718270792964993
NID1	PTPRF	autocrine|paracrine	0.717604463678097
VIP	NPR3	autocrine|paracrine	0.717524422949387
RPS27A	RIPK1	autocrine|paracrine	0.717266704346286
COL18A1	GPC1	autocrine|paracrine	0.716861823750105
GSTP1	TRAF2	autocrine|paracrine	0.716549209096553
HBEGF	CD9	autocrine|paracrine	0.715712136180738
CALM2	PDE1A	autocrine|paracrine	0.714123485899167
MDK	SDC4	autocrine|paracrine	0.712943262627432
NCAM1	CACNA1C	autocrine|paracrine	0.712786449255512
NAMPT	INSR	autocrine|paracrine	0.712618547947869
B2M	TFRC	autocrine|paracrine	0.711820225984485
UBA52	SMAD3	autocrine|paracrine	0.707651204122305
APP	GPC1	autocrine|paracrine	0.706732625849158
CALCA	RAMP1	autocrine|paracrine	0.706323200183678
ADAM15	ITGB1	autocrine|paracrine	0.706227101947317
ARPC5	LDLR	autocrine|paracrine	0.70540646488396
FABP5	RXRA	autocrine|paracrine	0.703229670125915
NCAM1	ROBO3	autocrine|paracrine	0.703208600638083
SPTAN1	PTPRA	autocrine|paracrine	0.702806142379945
BST1	CAV1	autocrine|paracrine	0.701441688611014
CALR	ITGAV	autocrine|paracrine	0.700296601351494
GNAI2	S1PR3	autocrine|paracrine	0.699635698684827
GNAI2	IGF1R	autocrine|paracrine	0.696442278815291
ADAM9	ITGB1	autocrine|paracrine	0.696348205404894
CTGF	ITGA5	autocrine|paracrine	0.696177855043649
FN1	ITGA5	autocrine|paracrine	0.695424605028542
LAMA3	ITGB1	autocrine|paracrine	0.694559911445511
GPC6	LRP1	autocrine|paracrine	0.69410209164768
SERPING1	LRP1	autocrine|paracrine	0.693119910967312
MFAP2	NOTCH1	autocrine|paracrine	0.690514511123851
FN1	ITGA9	autocrine|paracrine	0.690204219941984
APOE	VLDLR	autocrine|paracrine	0.690136980601719
LAMA1	RPSA	autocrine|paracrine	0.688702536660854
TGFB1	TGFBR3	autocrine|paracrine	0.685319984235571
ADAM17	ITGB1	autocrine|paracrine	0.685193474828394
LRPAP1	LDLR	autocrine|paracrine	0.682808784297148
COL18A1	ITGB5	autocrine|paracrine	0.682061217174065
THBS1	ITGB1	autocrine|paracrine	0.681284024589993
COL11A1	ITGB1	autocrine|paracrine	0.679890619112041
JAG1	NOTCH2	autocrine|paracrine	0.678115058699425
GNAI2	EDNRA	autocrine|paracrine	0.676664015868244
PDGFB	LRP1	autocrine|paracrine	0.676580424795145
MDK	PTPRZ1	autocrine|paracrine	0.674926286276578
GNAI2	F2R	autocrine|paracrine	0.674833666317717
CALM1	ABCA1	autocrine|paracrine	0.673917099398711
SPP1	CD44	autocrine|paracrine	0.673806286280376
UBC	RIPK1	autocrine|paracrine	0.673269695263484
SEMA3B	NRP1	autocrine|paracrine	0.6693963345267
NCAM1	PTPRA	autocrine|paracrine	0.669315009961501
APOC3	LDLR	autocrine|paracrine	0.667708464548802
PGF	NRP2	autocrine|paracrine	0.667561679133229
APOE	SCARB1	autocrine|paracrine	0.665316775829029
CALM2	ABCA1	autocrine|paracrine	0.664792453542155
PSEN1	CD44	autocrine|paracrine	0.663474734533514
VCAM1	ITGB1	autocrine|paracrine	0.662342341207224
RGMB	BMPR2	autocrine|paracrine	0.660962286656424
ACTR2	LDLR	autocrine|paracrine	0.659607901693029
LAMA1	ITGB1	autocrine|paracrine	0.656271451599248
GNAS	PTGDR	autocrine|paracrine	0.656008906033613
UBB	RIPK1	autocrine|paracrine	0.654366607601946
LPL	LRP1	autocrine|paracrine	0.654237466260491
TGFB1	TGFBR1	autocrine|paracrine	0.652833301661299
TNFSF12	TNFRSF12A	autocrine|paracrine	0.652571273768657
LAMA2	ITGA1	autocrine|paracrine	0.6521247609449
CYR61	ITGB5	autocrine|paracrine	0.650945388056953
L1CAM	ITGAV	autocrine|paracrine	0.650314934812604
JAG1	CD46	autocrine|paracrine	0.650089374175169
ARF1	CHRM3	autocrine|paracrine	0.649718319798019
VIP	RAMP2	autocrine|paracrine	0.648922999163818
HRAS	INSR	autocrine|paracrine	0.648064855928747
CTGF	LRP6	autocrine|paracrine	0.646839805610491
A2M	LRP1	autocrine|paracrine	0.646298253267914
PSEN1	NOTCH2	autocrine|paracrine	0.646135403850497
HBEGF	CD44	autocrine|paracrine	0.645315212124529
HLA-C	DDR1	autocrine|paracrine	0.645238783336742
TGFB2	TGFBR3	autocrine|paracrine	0.645134128176511
TIMP3	ADAM17	autocrine|paracrine	0.644675211290536
NID1	ITGAV	autocrine|paracrine	0.643555422333651
COL14A1	CD44	autocrine|paracrine	0.642436448721116
FN1	IL17RC	autocrine|paracrine	0.641776158595712
PSAP	SORT1	autocrine|paracrine	0.641367907539396
COL9A1	ITGB1	autocrine|paracrine	0.641168159521639
HAS2	CD44	autocrine|paracrine	0.641033931457535
NECTIN2	NECTIN3	autocrine|paracrine	0.64025748952642
COL1A2	ITGA2	autocrine|paracrine	0.639256137704148
RGMB	NEO1	autocrine|paracrine	0.63839793561885
MDK	TSPAN1	autocrine|paracrine	0.638019907881796
JAG1	NOTCH1	autocrine|paracrine	0.637471619784462
LPL	CD44	autocrine|paracrine	0.637088668531673
NID1	COL13A1	autocrine|paracrine	0.636602149583477
HBEGF	ERBB2	autocrine|paracrine	0.636183220598467
P4HB	MTTP	autocrine|paracrine	0.636107692767468
RELN	ITGB1	autocrine|paracrine	0.635452012976834
CALM3	PDE1A	autocrine|paracrine	0.635076736378617
COL4A1	CD47	autocrine|paracrine	0.634952017219679
FN1	SDC2	autocrine|paracrine	0.634704941859537
DLL3	NOTCH2	autocrine|paracrine	0.63427940263625
COL5A3	SDC3	autocrine|paracrine	0.63411237763199
HSP90AA1	EGFR	autocrine|paracrine	0.633668803435261
P4HB	GPR162	autocrine|paracrine	0.632614601680791
VEGFA	ITGA9	autocrine|paracrine	0.631864796336298
PDAP1	PDGFRB	autocrine|paracrine	0.630314018075278
COL1A1	ITGA2	autocrine|paracrine	0.630090123554864
SORBS1	ITGA1	autocrine|paracrine	0.629907979090038
GPC3	LRP1	autocrine|paracrine	0.629506231220017
THBS2	ITGB1	autocrine|paracrine	0.6286794195002
MAPK1	FGFR2	autocrine|paracrine	0.628373431165987
CALM1	FAS	autocrine|paracrine	0.62788995904822
SFRP1	FZD2	autocrine|paracrine	0.626877145131447
SPP1	ITGA5	autocrine|paracrine	0.62663048210088
L1CAM	ERBB3	autocrine|paracrine	0.625952429757188
APOA4	LRP1	autocrine|paracrine	0.62510184509358
APOC3	SDC2	autocrine|paracrine	0.624623633056572
L1CAM	EPHB2	autocrine|paracrine	0.623977953310346
NOV	NOTCH1	autocrine|paracrine	0.621989742233633
RTN4	RTN4R	autocrine|paracrine	0.621934835338612
DUSP18	RPSA	autocrine|paracrine	0.621230818251386
SPP1	ITGA9	autocrine|paracrine	0.620873799220135
COL1A2	CD36	autocrine|paracrine	0.620780091063295
SEMA4A	PLXNB2	autocrine|paracrine	0.616972692279633
ADAM23	ITGA5	autocrine|paracrine	0.616302995220094
CALM1	PDE1B	autocrine|paracrine	0.614830262931321
MDK	GPC2	autocrine|paracrine	0.614811211694069
HMGB1	THBD	autocrine|paracrine	0.613604632116602
EFNB1	ERBB2	autocrine|paracrine	0.613252938700184
VEGFB	TYRO3	autocrine|paracrine	0.61299906190102
APOE	SORL1	autocrine|paracrine	0.612998806568392
B2M	HFE	autocrine|paracrine	0.612506385182659
FBN1	ITGA5	autocrine|paracrine	0.61209006739691
COL1A1	CD36	autocrine|paracrine	0.61142998021517
MDK	ITGA6	autocrine|paracrine	0.611108715847431
TGFB2	TGFBR1	autocrine|paracrine	0.610854514127096
FN1	PLAUR	autocrine|paracrine	0.61040056011373
B2M	KLRD1	autocrine|paracrine	0.610004172051368
TGM2	ITGB1	autocrine|paracrine	0.609882376332472
SEMA4C	PLXNB2	autocrine|paracrine	0.609396006283144
SEMA4F	NRP2	autocrine|paracrine	0.609315172833063
COL4A1	ITGAV	autocrine|paracrine	0.608419580596324
FGF13	FGFR1	autocrine|paracrine	0.607928092753146
CALM2	PDE1B	autocrine|paracrine	0.605021263559573
TNC	ITGA5	autocrine|paracrine	0.604133762144173
PSEN1	NOTCH1	autocrine|paracrine	0.603813165836611
COL4A5	ITGB1	autocrine|paracrine	0.603216948409113
RTN4	LINGO1	autocrine|paracrine	0.602110298764395
ADAM10	NOTCH1	autocrine|paracrine	0.601522959337305
