Myofibroblast_Mesothelium	Endothelial	interaction type	LRscore
UBA52	LDLR	autocrine|paracrine	0.88100086921168
LAMB1	ITGB1	autocrine|paracrine	0.880943434190658
VEGFA	ITGB1	autocrine|paracrine	0.878477564089048
UBA52	NOTCH1	autocrine|paracrine	0.875089577357406
COL6A1	ITGA2	autocrine|paracrine	0.874598093594495
MFAP2	NOTCH1	autocrine|paracrine	0.87308605984845
VEGFA	FLT1	autocrine|paracrine	0.872511548531867
FN1	ITGA2	autocrine|paracrine	0.870256511229515
VEGFA	NRP1	autocrine|paracrine	0.868238327096298
COL1A1	ITGAV	autocrine|paracrine	0.866607769684386
GPC3	CD81	autocrine|paracrine	0.866132379181972
COL6A2	ITGA1	autocrine|paracrine	0.865815637385344
LAMB1	ITGA6	autocrine|paracrine	0.865440831458514
LGALS3BP	ITGB1	autocrine|paracrine	0.865300139450193
LAMA4	ITGB1	autocrine|paracrine	0.864545401264161
TIMP2	ITGB1	autocrine|paracrine	0.863599744518385
FBN1	ITGB1	autocrine|paracrine	0.863538404497601
DLL1	NOTCH4	autocrine|paracrine	0.863479965695751
COL1A2	ITGAV	autocrine|paracrine	0.861889543904049
VEGFA	KDR	autocrine|paracrine	0.861593032615581
RPS27A	SMAD3	autocrine|paracrine	0.861265224530062
DLL1	NOTCH1	autocrine|paracrine	0.859034215370562
COL6A1	ITGA1	autocrine|paracrine	0.856902405124161
COL6A3	ITGA2	autocrine|paracrine	0.856222812006143
APP	CD74	autocrine|paracrine	0.856096838056103
LAMC1	ITGB1	autocrine|paracrine	0.855630599712248
SEMA3A	NRP1	autocrine|paracrine	0.851905112438072
HLA-C	NOTCH4	autocrine|paracrine	0.851701990275471
EFEMP2	AQP1	autocrine|paracrine	0.849827466318748
BSG	SELE	autocrine|paracrine	0.849596581565397
TGFB1	CAV1	autocrine|paracrine	0.849310625163627
BMP4	BMPR2	autocrine|paracrine	0.848917624963475
PTN	PLXNB2	autocrine|paracrine	0.848915181569771
LAMA4	ITGA6	autocrine|paracrine	0.847277743289416
RPS27A	TGFBR1	autocrine|paracrine	0.847162747045607
COL16A1	ITGB1	autocrine|paracrine	0.845647000830629
LAMB2	RPSA	autocrine|paracrine	0.844635982075199
TGM2	ITGB1	autocrine|paracrine	0.844282460449361
LRPAP1	LDLR	autocrine|paracrine	0.842973390398047
LAMA5	ITGB1	autocrine|paracrine	0.841703614930336
CTGF	LRP6	autocrine|paracrine	0.839844780117315
LAMA5	BCAM	autocrine|paracrine	0.839712938328367
CALR	SCARF1	autocrine|paracrine	0.838625139536565
ICAM1	CAV1	autocrine|paracrine	0.837893504450414
LAMC1	ITGA6	autocrine|paracrine	0.837440175390042
COL6A3	ITGA1	autocrine|paracrine	0.836419131702274
HLA-B	CANX	autocrine|paracrine	0.836047836061599
COL4A5	CD93	autocrine|paracrine	0.834121175024017
LAMB2	ITGB1	autocrine|paracrine	0.834072263968214
ADM	RAMP2	autocrine|paracrine	0.83330458172367
HLA-A	APLP2	autocrine|paracrine	0.833189918888535
UBC	SMAD3	autocrine|paracrine	0.832721316596814
COL4A5	ITGB1	autocrine|paracrine	0.832515498753438
MDK	SDC3	autocrine|paracrine	0.832160635190005
FBN1	ITGA5	autocrine|paracrine	0.831439848632997
SCT	RAMP2	autocrine|paracrine	0.830318464073507
TIMP3	KDR	autocrine|paracrine	0.830264758487477
BMP2	ENG	autocrine|paracrine	0.827562521703736
RPS27A	RIPK1	autocrine|paracrine	0.826881548276893
CALM1	MYLK	autocrine|paracrine	0.823794101199857
THBS1	ITGB1	autocrine|paracrine	0.822851315011687
COL4A1	ITGA2	autocrine|paracrine	0.822246171513978
FN1	ITGAV	autocrine|paracrine	0.822184076900811
LAMA5	ITGA6	autocrine|paracrine	0.82212320458042
APOE	LDLR	autocrine|paracrine	0.820958130894979
HSP90B1	ASGR1	autocrine|paracrine	0.819598588205145
CALM2	MYLK	autocrine|paracrine	0.818350703859063
UBB	SMAD3	autocrine|paracrine	0.817894819149164
FN1	PLAUR	autocrine|paracrine	0.817258579650675
PLAU	ITGB1	autocrine|paracrine	0.816672558685563
UBC	TGFBR1	autocrine|paracrine	0.816336076083285
HSPG2	ITGB1	autocrine|paracrine	0.815319243611881
VEGFB	FLT1	autocrine|paracrine	0.814771372528586
GNAI2	UNC5B	autocrine|paracrine	0.814322079920007
TGFB1	ENG	autocrine|paracrine	0.813743847381854
ACTR2	LDLR	autocrine|paracrine	0.812942307614562
BMP5	BMPR2	autocrine|paracrine	0.810925972374685
COL1A1	DDR2	autocrine|paracrine	0.810387857576073
LAMB1	ITGA2	autocrine|paracrine	0.809355199923517
PTGS2	CAV1	autocrine|paracrine	0.809312602821127
VEGFB	NRP1	autocrine|paracrine	0.808986484281885
TGFB1	ITGB1	autocrine|paracrine	0.808691903156574
GNAI2	IGF1R	autocrine|paracrine	0.807199461367386
VCAM1	ITGB1	autocrine|paracrine	0.807120517232622
VEGFA	NRP2	autocrine|paracrine	0.806686574068747
GNAI2	F2R	autocrine|paracrine	0.805528612526391
ARF1	INSR	autocrine|paracrine	0.8054895538309
COL5A1	ITGA1	autocrine|paracrine	0.804626964385816
INHBA	ENG	autocrine|paracrine	0.804352248233697
CALM3	MYLK	autocrine|paracrine	0.802847791234803
COL3A1	DDR2	autocrine|paracrine	0.802154998154743
THBS1	ITGA6	autocrine|paracrine	0.801488948751178
UBB	TGFBR1	autocrine|paracrine	0.800405393897753
CYR61	ITGAV	autocrine|paracrine	0.800239633742734
HRAS	CAV1	autocrine|paracrine	0.799548343562642
COL4A1	ITGA1	autocrine|paracrine	0.798861963261136
ARPC5	LDLR	autocrine|paracrine	0.798225574011469
TNC	ITGB1	autocrine|paracrine	0.797258285140833
TGFB1	TGFBR2	autocrine|paracrine	0.796811455328307
THBS1	CD36	autocrine|paracrine	0.796650409209576
COL5A2	ITGA1	autocrine|paracrine	0.796066007410557
APOC3	LDLR	autocrine|paracrine	0.795705227258336
PTN	SDC3	autocrine|paracrine	0.795363046473946
AGRN	ITGB1	autocrine|paracrine	0.794983588833017
RPS27A	ERBB2	autocrine|paracrine	0.794221980956632
RPS27A	TLR4	autocrine|paracrine	0.794184153430952
UBC	RIPK1	autocrine|paracrine	0.792963940629875
FN1	NT5E	autocrine|paracrine	0.792951436773638
COL9A1	ITGB1	autocrine|paracrine	0.792324358183341
CALM1	INSR	autocrine|paracrine	0.791830300804971
JAM3	ITGB1	autocrine|paracrine	0.7915642708224
VCAM1	MSN	autocrine|paracrine	0.791188348137218
JAG1	NOTCH4	autocrine|paracrine	0.787930561419887
CXCL12	ACKR3	autocrine|paracrine	0.786804388159651
CALM2	INSR	autocrine|paracrine	0.785656390785677
LAMB1	ITGA1	autocrine|paracrine	0.784719144325695
SEMA3A	NRP2	autocrine|paracrine	0.784616153569698
SEMA3F	NRP1	autocrine|paracrine	0.784374529207186
JAG1	NOTCH1	autocrine|paracrine	0.781646697063642
FABP5	RXRA	autocrine|paracrine	0.780571242785674
CYR61	ITGB5	autocrine|paracrine	0.780453076835658
FN1	COL13A1	autocrine|paracrine	0.7785957947061
BMP2	BMPR2	autocrine|paracrine	0.77829441883281
CALR	ITGAV	autocrine|paracrine	0.776924054509471
MDK	LRP1	autocrine|paracrine	0.776855330686215
FN1	ITGA9	autocrine|paracrine	0.776584818922451
CCL2	ACKR1	autocrine|paracrine	0.776461133963393
CCL2	ACKR1	autocrine|paracrine	0.776461133963393
PLAU	ITGA5	autocrine|paracrine	0.776404584465578
UBB	RIPK1	autocrine|paracrine	0.775563358258036
B2M	TFRC	autocrine|paracrine	0.775298798055483
GNAI2	S1PR1	autocrine|paracrine	0.774627099709244
LAMC1	ITGA2	autocrine|paracrine	0.772748204157393
FN1	IL17RC	autocrine|paracrine	0.772292701913006
CALM1	PTPRA	autocrine|paracrine	0.771855023176064
UBA52	SMAD3	autocrine|paracrine	0.770606246014843
VIM	CD44	autocrine|paracrine	0.770400433148385
ADM	CALCRL	autocrine|paracrine	0.76963917393217
HSP90AA1	FGFR3	autocrine|paracrine	0.76918954160389
TGFB1	ACVRL1	autocrine|paracrine	0.768489879733691
CALM3	INSR	autocrine|paracrine	0.768153691773096
EFNB1	EPHB4	autocrine|paracrine	0.76801322106048
IGFBP4	LRP6	autocrine|paracrine	0.767219267283247
LAMB1	ITGB4	autocrine|paracrine	0.767057647805237
DCN	MET	autocrine|paracrine	0.766466851631676
NID1	ITGAV	autocrine|paracrine	0.766219925289724
ADAM10	NOTCH1	autocrine|paracrine	0.764728149877301
COL1A1	CD44	autocrine|paracrine	0.764514388596395
NAMPT	INSR	autocrine|paracrine	0.764482602394016
FN1	SDC2	autocrine|paracrine	0.763533895119181
NPNT	ITGB1	autocrine|paracrine	0.762708541350683
COL18A1	ITGB1	autocrine|paracrine	0.762303210103168
TNC	PTPRB	autocrine|paracrine	0.762168721104088
COL4A2	ITGB5	autocrine|paracrine	0.762157438989158
COL4A1	CD47	autocrine|paracrine	0.762086385949239
FAT4	DCHS1	autocrine|paracrine	0.761452019463586
SEMA3C	PLXND1	autocrine|paracrine	0.761386994697401
COL4A1	ITGAV	autocrine|paracrine	0.761264929216525
SEMA3A	PLXNA2	autocrine|paracrine	0.759545272996265
SEMA4A	PLXND1	autocrine|paracrine	0.758364420425895
SEMA4A	PLXND1	autocrine|paracrine	0.758364420425895
COL5A1	SDC3	autocrine|paracrine	0.757709025510788
COL1A2	CD44	autocrine|paracrine	0.757196771130801
UBC	ERBB2	autocrine|paracrine	0.75579540874583
UBC	TLR4	autocrine|paracrine	0.755752689727738
ANGPTL2	TIE1	autocrine|paracrine	0.755188408419875
TNC	ITGA5	autocrine|paracrine	0.75401041973537
LAMA5	ITGA2	autocrine|paracrine	0.753132607127264
UBA52	TGFBR1	autocrine|paracrine	0.749963616749257
ARF1	CHRM3	autocrine|paracrine	0.74770386191513
FGF7	NRP1	autocrine|paracrine	0.747232821930446
ANGPT1	ITGB1	autocrine|paracrine	0.747022931489593
ADAM9	ITGB1	autocrine|paracrine	0.745406562179692
LAMB1	ITGAV	autocrine|paracrine	0.745321296544658
LAMC1	ITGA1	autocrine|paracrine	0.744872785758627
WNT5A	MCAM	autocrine|paracrine	0.744786112519674
RTN4	TNFRSF19	autocrine|paracrine	0.743248146135363
SERPING1	SELE	autocrine|paracrine	0.742666024441149
APOA4	LDLR	autocrine|paracrine	0.741893694540279
B2M	HLA-F	autocrine|paracrine	0.741500358345544
APP	NCSTN	autocrine|paracrine	0.741364595292799
VEGFA	ITGAV	autocrine|paracrine	0.740872706399586
COL4A5	ITGA2	autocrine|paracrine	0.740389159594656
MMP2	SDC2	autocrine|paracrine	0.739956329732814
CXCL12	CXCR4	autocrine|paracrine	0.739344831581856
ANGPT1	TIE1	autocrine|paracrine	0.738870036459271
IGF1	IGF1R	autocrine|paracrine	0.738189551808295
HSP90AA1	ERBB2	autocrine|paracrine	0.737280401980744
GPC3	IGF1R	autocrine|paracrine	0.737045946921061
UBB	ERBB2	autocrine|paracrine	0.736309759092813
UBB	TLR4	autocrine|paracrine	0.736264820875239
HMGB1	TLR4	autocrine|paracrine	0.735530766465534
COL18A1	KDR	autocrine|paracrine	0.734161824075563
CLCF1	IL6ST	autocrine|paracrine	0.73398040648584
HSP90B1	LRP1	autocrine|paracrine	0.732642019512902
HSPA1A	TLR4	autocrine|paracrine	0.73231265833315
NCAM1	FGFR1	autocrine|paracrine	0.731730110277701
WNT5A	LDLR	autocrine|paracrine	0.731647701626236
CTGF	LRP1	autocrine|paracrine	0.729607041630374
COL4A6	CD93	autocrine|paracrine	0.729148798684513
FN1	ITGA3	autocrine|paracrine	0.728758085283787
JAG1	CD46	autocrine|paracrine	0.728584970863457
COL4A6	ITGB1	autocrine|paracrine	0.726859744385975
PIGF	FLT1	autocrine|paracrine	0.725876113467277
LAMC1	ITGB4	autocrine|paracrine	0.725087545993472
TGFB1	TGFBR3	autocrine|paracrine	0.725074724834704
GSTP1	TRAF2	autocrine|paracrine	0.724691260822821
CLCF1	LIFR	autocrine|paracrine	0.724511327431736
ARF1	PLD2	autocrine|paracrine	0.723293898091968
TIMP3	ADAM17	autocrine|paracrine	0.723106965058082
PSEN1	NOTCH4	autocrine|paracrine	0.722825691529173
ANGPTL4	TIE1	autocrine|paracrine	0.722054383838482
UBA52	RIPK1	autocrine|paracrine	0.721031606638201
SEMA3C	NRP1	autocrine|paracrine	0.720816080054791
VCAM1	EZR	autocrine|paracrine	0.71909034663068
HSP90B1	ERBB2	autocrine|paracrine	0.717911777017366
ADAM9	ITGA6	autocrine|paracrine	0.717906786588572
HSP90B1	TLR4	autocrine|paracrine	0.717864904809348
HSPG2	ITGA2	autocrine|paracrine	0.716949936293379
LAMA4	ITGAV	autocrine|paracrine	0.716260068132539
PGF	FLT1	autocrine|paracrine	0.715309904085943
PSEN1	NOTCH1	autocrine|paracrine	0.715309716730344
FBN1	ITGAV	autocrine|paracrine	0.714514711020481
COL18A1	ITGA5	autocrine|paracrine	0.714271209557679
NID1	COL13A1	autocrine|paracrine	0.713690295954866
INHBA	TGFBR3	autocrine|paracrine	0.71279018148674
GNAS	ADCY9	autocrine|paracrine	0.712763780794728
PLAT	LRP1	autocrine|paracrine	0.712380262988485
COL7A1	ITGB1	autocrine|paracrine	0.712114889029798
NPY	FAP	autocrine|paracrine	0.712014114263053
GNAS	ADCY1	autocrine|paracrine	0.710387285318664
COL4A5	ITGA1	autocrine|paracrine	0.710033905400724
EDIL3	ITGAV	autocrine|paracrine	0.707628799366009
PGF	NRP1	autocrine|paracrine	0.707533745376398
LGALS1	CD69	autocrine|paracrine	0.707005530942824
EDN1	ADGRL4	autocrine|paracrine	0.70687902985185
IGF1	INSR	autocrine|paracrine	0.705549995102818
COL1A1	DDR1	autocrine|paracrine	0.703738561916652
LAMA5	ITGB4	autocrine|paracrine	0.702939514720845
NID1	PTPRF	autocrine|paracrine	0.701835213149787
LAMC1	ITGAV	autocrine|paracrine	0.700961656562673
THBS2	ITGB1	autocrine|paracrine	0.699008330261353
CALR	LRP1	autocrine|paracrine	0.698150853363829
FN1	CD44	autocrine|paracrine	0.69794135185203
TGFB1	CD109	autocrine|paracrine	0.697767898771856
SEMA3F	NRP2	autocrine|paracrine	0.697304440168073
ADAM17	ITGB1	autocrine|paracrine	0.697284537232501
BST1	CAV1	autocrine|paracrine	0.697282187465716
ANGPT1	ITGA5	autocrine|paracrine	0.69712998715113
SPTAN1	PTPRA	autocrine|paracrine	0.695714545451581
APOA1	LRP1	autocrine|paracrine	0.695685004836789
GNAI2	EDNRB	autocrine|paracrine	0.695165580152274
CALM1	ABCA1	autocrine|paracrine	0.694750392945667
TNC	ITGA2	autocrine|paracrine	0.692892506354446
COL3A1	DDR1	autocrine|paracrine	0.692631388412424
RPS19	C5AR1	autocrine|paracrine	0.691706050013653
LAMB2	ITGB4	autocrine|paracrine	0.691073741925435
FST	BMPR2	autocrine|paracrine	0.690682019356307
FN1	ITGA8	autocrine|paracrine	0.687767136688958
CALM2	ABCA1	autocrine|paracrine	0.686835987599213
RTN4	RTN4R	autocrine|paracrine	0.683956737871819
TGM2	ADGRG1	autocrine|paracrine	0.683361020275912
CXCL1	ACKR1	autocrine|paracrine	0.683318118529639
CXCL1	ACKR1	autocrine|paracrine	0.683318118529639
MFGE8	ITGAV	autocrine|paracrine	0.683110518312821
VEGFA	ITGA9	autocrine|paracrine	0.682474709346307
EDIL3	ITGB5	autocrine|paracrine	0.682310712430893
IGF1	IGF2R	autocrine|paracrine	0.677787332059883
EFNB2	PECAM1	autocrine|paracrine	0.676239298146644
UBA52	ERBB2	autocrine|paracrine	0.676222161535678
TNFSF12	TNFRSF25	autocrine|paracrine	0.676187292397144
UBA52	TLR4	autocrine|paracrine	0.676171486774797
GDF11	BMPR2	autocrine|paracrine	0.676014021189091
ADM	RAMP3	autocrine|paracrine	0.673897997010403
P4HB	MTTP	autocrine|paracrine	0.672928155674044
SEMA6D	KDR	autocrine|paracrine	0.672288925626345
NCAM1	PTPRA	autocrine|paracrine	0.670474314192124
LAMB3	ITGB1	autocrine|paracrine	0.670081229874774
VEGFC	ITGB1	autocrine|paracrine	0.669384417892648
CALR	ITGA3	autocrine|paracrine	0.669283368535438
SCT	RAMP3	autocrine|paracrine	0.669189943094428
THBS2	ITGA6	autocrine|paracrine	0.668724180252207
VCAN	CD44	autocrine|paracrine	0.667607366524385
PSAP	SORT1	autocrine|paracrine	0.666820206363711
UBA52	ACVR1	autocrine|paracrine	0.665711848166914
PLAU	IGF2R	autocrine|paracrine	0.665054013401902
CALM3	ABCA1	autocrine|paracrine	0.664707645055579
COL4A5	CD47	autocrine|paracrine	0.663851231571307
THBS2	NOTCH4	autocrine|paracrine	0.663561623072903
PSAP	LRP1	autocrine|paracrine	0.663350321387202
VEGFA	SIRPA	autocrine|paracrine	0.663059463695918
COL4A5	ITGAV	autocrine|paracrine	0.6628406526459
FGF7	FGFR1	autocrine|paracrine	0.662536501205159
THBS2	CD36	autocrine|paracrine	0.662014236371044
VCL	ITGB5	autocrine|paracrine	0.661995975393914
LAMC3	ITGB1	autocrine|paracrine	0.66185251694553
APOB	LDLR	autocrine|paracrine	0.661460293148373
SEMA3A	PLXNA3	autocrine|paracrine	0.660274635886534
RGMA	BMPR2	autocrine|paracrine	0.659491476642924
COL9A3	ITGB1	autocrine|paracrine	0.659464869414361
FYN	THY1	autocrine|paracrine	0.659261603120092
CD14	ITGB1	autocrine|paracrine	0.657801701048686
LTBP3	ITGB5	autocrine|paracrine	0.657346786896147
VEGFC	FLT1	autocrine|paracrine	0.65715936489125
COL11A1	ITGB1	autocrine|paracrine	0.656880083951268
LAMA3	ITGB1	autocrine|paracrine	0.656434606895739
LGALS3BP	VANGL1	autocrine|paracrine	0.65590139926586
NID1	ITGA3	autocrine|paracrine	0.655703097723429
MDK	SDC1	autocrine|paracrine	0.655406434246415
FN1	C5AR1	autocrine|paracrine	0.655144053907241
SEMA3B	NRP1	autocrine|paracrine	0.654987672654264
CALM1	CACNA1C	autocrine|paracrine	0.653708645635406
ADAM17	NOTCH1	autocrine|paracrine	0.653354936987333
PTMA	VIPR1	autocrine|paracrine	0.65307891845585
TGFB3	ENG	autocrine|paracrine	0.652975988884119
APOE	LRP5	autocrine|paracrine	0.652402200482589
ANGPT1	TEK	autocrine|paracrine	0.652183210838946
EFNA1	EPHA2	autocrine|paracrine	0.651415227405163
EFEMP2	PLSCR4	autocrine|paracrine	0.649555431584054
FGF2	NRP1	autocrine|paracrine	0.649175224162384
THBS1	CD47	autocrine|paracrine	0.648563150374581
APOE	SCARB1	autocrine|paracrine	0.647691392809327
POMC	RAMP2	autocrine|paracrine	0.647540820550068
COL3A1	MAG	autocrine|paracrine	0.647378350096628
FGB	ITGB1	autocrine|paracrine	0.646009601954459
MDK	GPC2	autocrine|paracrine	0.645576922905457
TGFB3	ITGB1	autocrine|paracrine	0.645463291454627
DLL4	NOTCH4	autocrine|paracrine	0.645306138295286
CALM2	CACNA1C	autocrine|paracrine	0.645273441964723
CALM1	KCNQ1	autocrine|paracrine	0.644780790021792
HGF	ITGB1	autocrine|paracrine	0.64285267342992
ADAM17	ITGA5	autocrine|paracrine	0.642279451385711
LAMA2	RPSA	autocrine|paracrine	0.641547233899926
CALM1	PDE1C	autocrine|paracrine	0.6413791617028
BMP7	ENG	autocrine|paracrine	0.641315052624189
LAMB3	ITGA6	autocrine|paracrine	0.638392232096955
PLAU	ITGAV	autocrine|paracrine	0.637927995114679
DLL4	NOTCH1	autocrine|paracrine	0.636744495780908
WNT2B	FZD4	autocrine|paracrine	0.636713369775101
SERPINE2	LRP1	autocrine|paracrine	0.636354222539777
CALM2	KCNQ1	autocrine|paracrine	0.636249125385273
VEGFC	KDR	autocrine|paracrine	0.635502280372664
APP	LRP1	autocrine|paracrine	0.635095444701518
NTN1	UNC5B	autocrine|paracrine	0.633998601051611
CALM2	PDE1C	autocrine|paracrine	0.632812323144975
DLL1	NOTCH3	autocrine|paracrine	0.632714864759364
GNAI2	TBXA2R	autocrine|paracrine	0.63241764002301
SEMA4C	PLXNB2	autocrine|paracrine	0.631941365045966
CALR	HLA-F	autocrine|paracrine	0.631283178628433
QDPR	DYSF	autocrine|paracrine	0.631273249400663
ADAM15	ITGB1	autocrine|paracrine	0.631207885563699
PLAU	PLAUR	autocrine|paracrine	0.630194259285961
LAMC3	ITGA6	autocrine|paracrine	0.629809791198199
LAMB1	ITGA3	autocrine|paracrine	0.62969951196126
VEGFA	TYRO3	autocrine|paracrine	0.629266230696345
TFPI	LRP1	autocrine|paracrine	0.629015253973014
SEMA4D	PLXNB2	autocrine|paracrine	0.629009204234579
IGFBP4	FZD8	autocrine|paracrine	0.628452043133376
TFPI	VLDLR	autocrine|paracrine	0.628391574801785
TGFB3	TGFBR2	autocrine|paracrine	0.62810770783098
TGFB1	ITGAV	autocrine|paracrine	0.625732163502486
TGFB1	SMAD3	autocrine|paracrine	0.623858894683964
LRPAP1	SORT1	autocrine|paracrine	0.623530686599128
LAMA2	ITGB1	autocrine|paracrine	0.623332844084552
GNAS	VIPR1	autocrine|paracrine	0.622428759097486
THBS1	LRP5	autocrine|paracrine	0.621796576563298
RPS27A	FGFR2	autocrine|paracrine	0.621668534669057
HMGB1	SDC1	autocrine|paracrine	0.620694442612274
SEMA3C	NRP2	autocrine|paracrine	0.620498383312565
LRPAP1	LRP1	autocrine|paracrine	0.6198669726422
LRPAP1	VLDLR	autocrine|paracrine	0.61923722363279
TLN1	ITGB5	autocrine|paracrine	0.618251139441328
TGM2	ITGA9	autocrine|paracrine	0.617162069215491
THBS1	SCARB1	autocrine|paracrine	0.616914543749585
LAMB3	CD151	autocrine|paracrine	0.616178544805004
HSPG2	CHRM3	autocrine|paracrine	0.61599218084063
CALM3	KCNQ1	autocrine|paracrine	0.612562624749569
NECTIN2	NECTIN3	autocrine|paracrine	0.612243593551414
HLA-A	ERBB2	autocrine|paracrine	0.611129361038231
VEGFA	EPHB2	autocrine|paracrine	0.610418773934923
PLAU	ITGB5	autocrine|paracrine	0.6099015022181
INHBA	SMAD3	autocrine|paracrine	0.609487521892272
CALM3	PDE1C	autocrine|paracrine	0.609039544187262
TNC	ITGAV	autocrine|paracrine	0.608655411144272
FGF13	FGFR1	autocrine|paracrine	0.607992111235337
NCAM1	ROBO3	autocrine|paracrine	0.607553112759352
PGF	NRP2	autocrine|paracrine	0.605058366769976
TGFB1	CXCR4	autocrine|paracrine	0.604806010976039
COL4A6	ITGA2	autocrine|paracrine	0.604243775319032
TNFSF10	TNFRSF10D	autocrine|paracrine	0.603961632525265
CTF1	IL6ST	autocrine|paracrine	0.603323573181978
HRAS	INSR	autocrine|paracrine	0.603000625945443
C3	CD81	autocrine|paracrine	0.602903649493244
CALM1	SCN4A	autocrine|paracrine	0.602569292760991
PKM	CD44	autocrine|paracrine	0.602322700662607
GCG	RAMP2	autocrine|paracrine	0.601405798068763
GPC6	LRP1	autocrine|paracrine	0.601351193281364
MDK	SDC4	autocrine|paracrine	0.601129583323127
SEMA4A	PLXNB2	autocrine|paracrine	0.601040927632656
RTN4	RTN4RL1	autocrine|paracrine	0.600289456460691
P4HB	GPR162	autocrine|paracrine	0.600264708296851
