Myofibroblast_Mesothelium	Fibroblasts	interaction type	LRscore
HSPA8	LDLR	autocrine|paracrine	0.852020958604784
UBB	LDLR	autocrine|paracrine	0.851123966252454
COL1A1	ITGAV	autocrine|paracrine	0.849204552511229
LAMB2	RPSA	autocrine|paracrine	0.847962776981671
COL1A1	ITGA5	autocrine|paracrine	0.846472129125219
CYR61	CAV1	autocrine|paracrine	0.846247519411884
HSP90AA1	ERBB2	autocrine|paracrine	0.846106311688953
VIM	CD44	autocrine|paracrine	0.845638531500799
UBB	ERBB2	autocrine|paracrine	0.845453456347971
PTN	PLXNB2	autocrine|paracrine	0.843998724181296
COL1A2	ITGAV	autocrine|paracrine	0.843981579621701
LGALS3BP	ITGB1	autocrine|paracrine	0.842077138367068
MMP2	SDC2	autocrine|paracrine	0.84136520163456
COL1A1	CD44	autocrine|paracrine	0.84128393105836
LAMA4	ITGB1	autocrine|paracrine	0.841216156543933
TIMP2	ITGB1	autocrine|paracrine	0.84013774613
FBN1	ITGB1	autocrine|paracrine	0.840067809072997
RPS27A	TGFBR2	autocrine|paracrine	0.839265891858619
COL1A2	CD44	autocrine|paracrine	0.835839651204381
RPS27A	FGFR2	autocrine|paracrine	0.834268642190877
PSAP	LRP1	autocrine|paracrine	0.833666078781727
HSP90B1	ERBB2	autocrine|paracrine	0.832942815974846
LAMC1	ITGB1	autocrine|paracrine	0.831065983767276
COL1A1	ITGA1	autocrine|paracrine	0.822633636112606
RPS27A	SMAD3	autocrine|paracrine	0.822605977314634
COL16A1	ITGB1	autocrine|paracrine	0.819741539249542
TGM2	ITGB1	autocrine|paracrine	0.818197219553661
FN1	ITGA8	autocrine|paracrine	0.81776387004991
COL1A2	ITGA1	autocrine|paracrine	0.816689009964802
SERPINE2	LRP1	autocrine|paracrine	0.816550648214798
APP	LRP1	autocrine|paracrine	0.815735011389388
LAMA5	ITGB1	autocrine|paracrine	0.815280891427539
RPS27A	TGFBR1	autocrine|paracrine	0.815130143123409
APOA1	LDLR	autocrine|paracrine	0.81297526041791
COL1A1	DDR1	autocrine|paracrine	0.811792388488632
TFPI	LRP1	autocrine|paracrine	0.81177265093434
UBA52	LDLR	autocrine|paracrine	0.810464633979646
UBC	TGFBR2	autocrine|paracrine	0.807208926010572
LAMB2	ITGB1	autocrine|paracrine	0.80666830549929
LRPAP1	LRP1	autocrine|paracrine	0.805739249707308
COL4A5	ITGB1	autocrine|paracrine	0.80491456775562
COL3A1	DDR1	autocrine|paracrine	0.803605733832707
UBA52	ERBB2	autocrine|paracrine	0.803602813900906
CALM1	MYLK	autocrine|paracrine	0.801451578108417
UBC	FGFR2	autocrine|paracrine	0.801450803847955
FN1	ITGAV	autocrine|paracrine	0.800320496683693
FN1	IL17RC	autocrine|paracrine	0.799563977569857
MDK	SDC3	autocrine|paracrine	0.799241054918958
FN1	PLAUR	autocrine|paracrine	0.798223327397655
FN1	ITGA5	autocrine|paracrine	0.796914124386445
CALM2	MYLK	autocrine|paracrine	0.795489317909573
THBS1	ITGB1	autocrine|paracrine	0.794051741596369
GPC6	LRP1	autocrine|paracrine	0.793257443560897
HLA-A	APLP2	autocrine|paracrine	0.79249505270508
HLA-B	CANX	autocrine|paracrine	0.792357679575792
GNAI2	CAV1	autocrine|paracrine	0.79201510063471
UBB	TGFBR2	autocrine|paracrine	0.790689557770351
FN1	CD44	autocrine|paracrine	0.790465760908432
UBC	SMAD3	autocrine|paracrine	0.788065395099194
COL6A2	ITGA1	autocrine|paracrine	0.787159602754339
PLAU	ITGB1	autocrine|paracrine	0.787128350724797
HSPG2	ITGB1	autocrine|paracrine	0.785614193770794
UBB	FGFR2	autocrine|paracrine	0.784569725433901
B2M	TFRC	autocrine|paracrine	0.784482307039049
APP	CAV1	autocrine|paracrine	0.782643270082998
A2M	LRP1	autocrine|paracrine	0.781655719371785
APOE	LRP1	autocrine|paracrine	0.779866944770699
UBC	TGFBR1	autocrine|paracrine	0.779524072393183
PDGFD	PDGFRA	autocrine|paracrine	0.779227584560775
CALM3	MYLK	autocrine|paracrine	0.778563243080716
TGFB1	ITGB1	autocrine|paracrine	0.778210851077234
VCAM1	ITGB1	autocrine|paracrine	0.776458304562259
CYR61	ITGAV	autocrine|paracrine	0.77641160923264
CTGF	ITGA5	autocrine|paracrine	0.775190401129759
COL6A1	ITGA1	autocrine|paracrine	0.774383103227637
SERPINA1	LRP1	autocrine|paracrine	0.77283585841699
CYR61	ITGA5	autocrine|paracrine	0.772713202398645
GNAS	PTGIR	autocrine|paracrine	0.770469879715964
UBB	SMAD3	autocrine|paracrine	0.770372330678608
APP	CD74	autocrine|paracrine	0.768081851802246
DLL1	NOTCH3	autocrine|paracrine	0.76682953549033
VCAN	CD44	autocrine|paracrine	0.766312380620484
TNC	ITGB1	autocrine|paracrine	0.765483805827828
CTGF	LRP6	autocrine|paracrine	0.764515216176732
GNAI2	F2R	autocrine|paracrine	0.764358009300761
MFGE8	PDGFRB	autocrine|paracrine	0.764088184283278
AGRN	ITGB1	autocrine|paracrine	0.762958604803797
UBB	TGFBR1	autocrine|paracrine	0.761333898368362
COL9A1	ITGB1	autocrine|paracrine	0.760009382417848
JAM3	ITGB1	autocrine|paracrine	0.759166972762394
GPC3	LRP1	autocrine|paracrine	0.758128972602348
COL1A1	CD36	autocrine|paracrine	0.757810250673721
PTN	SDC3	autocrine|paracrine	0.75733076830902
PDGFD	PDGFRB	autocrine|paracrine	0.757225081306344
VEGFA	GPC1	autocrine|paracrine	0.756800283878514
THBS1	LRP1	autocrine|paracrine	0.756292001264081
LRPAP1	LDLR	autocrine|paracrine	0.756135852182682
HLA-A	ERBB2	autocrine|paracrine	0.754834294339716
DLL1	NOTCH2	autocrine|paracrine	0.75432087055475
FABP5	RXRA	autocrine|paracrine	0.752791946908689
SERPING1	LRP1	autocrine|paracrine	0.752780722720205
PLAU	MRC2	autocrine|paracrine	0.752643758045153
CALR	ITGAV	autocrine|paracrine	0.751179627200222
APOC3	LRP1	autocrine|paracrine	0.750579176473163
COL1A2	CD36	autocrine|paracrine	0.750352333287359
UBA52	NOTCH1	autocrine|paracrine	0.749743642375155
PLAU	LRP1	autocrine|paracrine	0.748501282900355
CXCL12	ACKR3	autocrine|paracrine	0.74807165419322
HSPG2	LRP1	autocrine|paracrine	0.746800753008202
MFAP2	NOTCH1	autocrine|paracrine	0.746312464565224
VEGFA	NRP1	autocrine|paracrine	0.745706627724309
COL6A3	ITGA1	autocrine|paracrine	0.745594704693751
GNAS	ADCY9	autocrine|paracrine	0.741582278592965
BMP4	BMPR2	autocrine|paracrine	0.740605795017594
APP	GPC1	autocrine|paracrine	0.740423137865499
FN1	COL13A1	autocrine|paracrine	0.740138089815916
PDAP1	PDGFRB	autocrine|paracrine	0.739786344524081
NID1	ITGAV	autocrine|paracrine	0.739654127052095
HSP90AA1	FGFR3	autocrine|paracrine	0.739403178658225
UBA52	TGFBR2	autocrine|paracrine	0.738594295589526
COL4A1	CD47	autocrine|paracrine	0.737405176759451
COL4A1	ITGAV	autocrine|paracrine	0.734331295365492
CYR61	ITGB5	autocrine|paracrine	0.732027018676707
CALM1	PTPRA	autocrine|paracrine	0.731781207851357
UBA52	FGFR2	autocrine|paracrine	0.731468590803191
NPNT	ITGB1	autocrine|paracrine	0.727370916371797
APP	NCSTN	autocrine|paracrine	0.727199715633558
COL18A1	ITGB1	autocrine|paracrine	0.726926834427626
RPS27A	RIPK1	autocrine|paracrine	0.726250751395902
APOE	LDLR	autocrine|paracrine	0.725904538826785
VEGFA	TYRO3	autocrine|paracrine	0.725526721887388
FAT4	DCHS1	autocrine|paracrine	0.723842750027673
MDK	SDC1	autocrine|paracrine	0.7235087086926
DLL1	NOTCH1	autocrine|paracrine	0.722682650569861
MDK	PTPRZ1	autocrine|paracrine	0.722453943312286
MDK	GPC2	autocrine|paracrine	0.721679818250054
AGRN	LRP1	autocrine|paracrine	0.721497543066002
SEMA3A	NRP1	autocrine|paracrine	0.719098473265411
LAMB1	ITGAV	autocrine|paracrine	0.717257002678698
VEGFA	NRP2	autocrine|paracrine	0.715970212381775
HSP90B1	ASGR1	autocrine|paracrine	0.715263580722516
COL5A1	SDC3	autocrine|paracrine	0.715184635729365
ACTR2	LDLR	autocrine|paracrine	0.715109892079385
UBA52	SMAD3	autocrine|paracrine	0.715042722780311
EFNB1	ERBB2	autocrine|paracrine	0.714573248700321
ARF1	INSR	autocrine|paracrine	0.713843728216326
VEGFA	ITGAV	autocrine|paracrine	0.712507289997186
PKM	CD44	autocrine|paracrine	0.712052563857391
COL4A2	ITGB5	autocrine|paracrine	0.711189227347668
ANGPT1	ITGB1	autocrine|paracrine	0.710236838069895
NCAM1	FGFR1	autocrine|paracrine	0.709916991420159
ADAM9	ITGB1	autocrine|paracrine	0.708477151783746
NID1	PTPRF	autocrine|paracrine	0.708149125055875
FN1	ITGB8	autocrine|paracrine	0.706235679024428
EFEMP2	PLSCR4	autocrine|paracrine	0.706049963551854
MDK	ITGA6	autocrine|paracrine	0.70529403321759
UBA52	TGFBR1	autocrine|paracrine	0.70466137019711
FYN	THY1	autocrine|paracrine	0.704308335817949
COL5A1	ITGA1	autocrine|paracrine	0.702430611631926
UBA52	ACVR1	autocrine|paracrine	0.701680805873067
APOC3	SDC2	autocrine|paracrine	0.698690025824498
TGFB1	CAV1	autocrine|paracrine	0.696698597719023
CALM1	INSR	autocrine|paracrine	0.696176257502428
ARPC5	LDLR	autocrine|paracrine	0.695578476403937
COL4A1	ITGA1	autocrine|paracrine	0.694793884586222
RTN4	NGFR	autocrine|paracrine	0.693862499468928
VCAM1	EZR	autocrine|paracrine	0.692733151033872
HMGB1	SDC1	autocrine|paracrine	0.692437609552448
APOC3	LDLR	autocrine|paracrine	0.692270266949626
COL5A2	ITGA1	autocrine|paracrine	0.691110662993369
APOA4	LRP1	autocrine|paracrine	0.689519346236196
COL4A6	ITGB1	autocrine|paracrine	0.688364800944102
CALM2	INSR	autocrine|paracrine	0.68828223423203
SEMA3A	NRP2	autocrine|paracrine	0.687554260310905
GNAI2	IGF1R	autocrine|paracrine	0.687290667497257
COL6A1	ITGA6	autocrine|paracrine	0.686994966424281
VEGFA	SIRPA	autocrine|paracrine	0.686394648103282
LAMA4	ITGAV	autocrine|paracrine	0.686341063866012
BMP5	BMPR2	autocrine|paracrine	0.685469030319562
TGFB1	SDC2	autocrine|paracrine	0.685155613245035
MDK	TSPAN1	autocrine|paracrine	0.684947143609956
FBN1	ITGAV	autocrine|paracrine	0.684492735309482
CALM1	PDE1A	autocrine|paracrine	0.68378616366935
COL1A1	CD93	autocrine|paracrine	0.683230659556574
UBC	RIPK1	autocrine|paracrine	0.680241568807993
FBN1	ITGA5	autocrine|paracrine	0.679900734310302
FN1	ITGA6	autocrine|paracrine	0.678545545424324
HSP90AA1	EGFR	autocrine|paracrine	0.678398770599521
ICAM1	CAV1	autocrine|paracrine	0.678101121212245
EFNB1	EPHB3	autocrine|paracrine	0.677360023744535
EDIL3	ITGAV	autocrine|paracrine	0.677209827240741
ADM	RAMP2	autocrine|paracrine	0.676571381022565
GNAI2	EDNRA	autocrine|paracrine	0.676316602621437
LAMB1	ITGA1	autocrine|paracrine	0.676298673449316
MDK	SDC4	autocrine|paracrine	0.676256737834935
CALM2	PDE1A	autocrine|paracrine	0.675720169846286
COL5A2	DDR1	autocrine|paracrine	0.67540238661373
NECTIN2	NECTIN3	autocrine|paracrine	0.675359432892785
COL1A2	CD93	autocrine|paracrine	0.674462717689952
JAG1	CD46	autocrine|paracrine	0.673412311646433
BMP4	BMPR1A	autocrine|paracrine	0.673097145472534
COL7A1	ITGB1	autocrine|paracrine	0.67247825476135
LAMA5	BCAM	autocrine|paracrine	0.672321906850413
PTN	SDC1	autocrine|paracrine	0.672271410166391
SCT	RAMP2	autocrine|paracrine	0.671883131266725
PTN	PTPRZ1	autocrine|paracrine	0.671110035611462
IGFBP4	LRP6	autocrine|paracrine	0.671107348629133
LAMC1	ITGAV	autocrine|paracrine	0.67017233860388
NID1	COL13A1	autocrine|paracrine	0.668754976170529
RTN4	LINGO1	autocrine|paracrine	0.667682383788361
CALM3	INSR	autocrine|paracrine	0.666206419974555
FN1	ITGA9	autocrine|paracrine	0.665007425159054
NAMPT	INSR	autocrine|paracrine	0.661632150486142
COL1A1	ITGA11	autocrine|paracrine	0.6610253026209
MDK	ITGA4	autocrine|paracrine	0.660910417958664
JAG1	NOTCH3	autocrine|paracrine	0.65892147013733
THBS2	ITGB1	autocrine|paracrine	0.658432707697068
NCAM1	ROBO1	autocrine|paracrine	0.657777311730274
GNAS	ADCY7	autocrine|paracrine	0.657515194158542
HMGB1	THBD	autocrine|paracrine	0.657475896158783
UBB	RIPK1	autocrine|paracrine	0.657459583213744
ADAM17	ITGB1	autocrine|paracrine	0.656590699269429
DCN	EGFR	autocrine|paracrine	0.655389718736242
GSTP1	TRAF2	autocrine|paracrine	0.65511695274383
GNAI2	EDNRB	autocrine|paracrine	0.654874442612302
VEGFA	EPHB2	autocrine|paracrine	0.65461128008684
VEGFB	NRP1	autocrine|paracrine	0.653352912960922
CALM3	PDE1A	autocrine|paracrine	0.653202966575519
COL1A2	ITGA11	autocrine|paracrine	0.651955830122035
MFGE8	ITGAV	autocrine|paracrine	0.651397289341465
VCAN	EGFR	autocrine|paracrine	0.650755654274702
SPTAN1	PTPRA	autocrine|paracrine	0.648359566833395
LAMA2	RPSA	autocrine|paracrine	0.647407379094617
CLCF1	CNTFR	autocrine|paracrine	0.646773851336242
P4HB	MTTP	autocrine|paracrine	0.645213436121418
GDNF	GFRA2	autocrine|paracrine	0.643778640215558
JAG1	NOTCH2	autocrine|paracrine	0.643316590208641
SEMA3A	PLXNA3	autocrine|paracrine	0.642280015265484
COL14A1	CD44	autocrine|paracrine	0.642254270832419
BMP2	BMPR2	autocrine|paracrine	0.640776788107355
SEMA3A	PLXNA1	autocrine|paracrine	0.64016815236468
ARF1	PLD2	autocrine|paracrine	0.63993100834336
HLA-C	DDR1	autocrine|paracrine	0.639734161312221
FGF7	FGFR1	autocrine|paracrine	0.637881497384799
EFNB1	EPHB4	autocrine|paracrine	0.636858093047413
COL4A5	CD47	autocrine|paracrine	0.633875061324782
PTGS2	CAV1	autocrine|paracrine	0.633664785285962
FN1	ITGA4	autocrine|paracrine	0.632234082448541
IGFBP4	FZD8	autocrine|paracrine	0.631340602148371
SLIT3	ROBO2	autocrine|paracrine	0.630274344092681
COL4A5	ITGAV	autocrine|paracrine	0.630197037163739
VEGFB	TYRO3	autocrine|paracrine	0.629485573070732
EFEMP2	LINGO1	autocrine|paracrine	0.629430462658663
VCAM1	MSN	autocrine|paracrine	0.628248093376507
LAMB3	ITGB1	autocrine|paracrine	0.627683092778562
VEGFC	ITGB1	autocrine|paracrine	0.626946586781355
LAMC1	ITGA1	autocrine|paracrine	0.625950299289352
P4HB	GPR162	autocrine|paracrine	0.625166701665335
SERPINE1	LRP1	autocrine|paracrine	0.624381276804459
APOA4	LDLR	autocrine|paracrine	0.624085129214278
COL4A1	ITGB8	autocrine|paracrine	0.623770395948396
BMP2	ENG	autocrine|paracrine	0.623677998690487
NPY	FAP	autocrine|paracrine	0.623262396110447
EFEMP2	AQP1	autocrine|paracrine	0.623140339269725
SEMA4C	PLXNB2	autocrine|paracrine	0.62309909460651
EDIL3	ITGB5	autocrine|paracrine	0.622702282641836
APOE	LRP5	autocrine|paracrine	0.621628541192672
NCAM1	PTPRA	autocrine|paracrine	0.621329282115556
NCAM1	GFRA1	autocrine|paracrine	0.621261245731615
TIMP3	ADAM17	autocrine|paracrine	0.620901843561322
SEMA4D	PLXNB2	autocrine|paracrine	0.620138834429361
HRAS	CAV1	autocrine|paracrine	0.619139006775134
LAMC3	ITGB1	autocrine|paracrine	0.618998173464986
SEMA3F	NRP1	autocrine|paracrine	0.618152963203835
THBS1	CD47	autocrine|paracrine	0.618008139087684
FN1	ITGA3	autocrine|paracrine	0.617041436018295
RTN4	TNFRSF19	autocrine|paracrine	0.616866180736572
COL9A3	ITGB1	autocrine|paracrine	0.616483273313901
TGFB1	TGFBR3	autocrine|paracrine	0.616124419988433
TFPI	VLDLR	autocrine|paracrine	0.616000706287473
CD14	ITGB1	autocrine|paracrine	0.614732822089485
FN1	TNFRSF11B	autocrine|paracrine	0.614564490579836
CLCF1	IL6ST	autocrine|paracrine	0.614058995948764
COL11A1	ITGB1	autocrine|paracrine	0.613763318273378
LAMA3	ITGB1	autocrine|paracrine	0.613294817020695
COL1A1	ITGA2	autocrine|paracrine	0.612882350970987
WNT5A	LDLR	autocrine|paracrine	0.61161077537871
GNAI2	UNC5B	autocrine|paracrine	0.611555147000074
BMP5	BMPR1A	autocrine|paracrine	0.611145026372544
UBA52	EGFR	autocrine|paracrine	0.610878390702563
RTN4	CNTNAP1	autocrine|paracrine	0.61071184847778
LRPAP1	VLDLR	autocrine|paracrine	0.606732143613915
HRAS	SDC2	autocrine|paracrine	0.606312236924362
GNAI2	ADCY9	autocrine|paracrine	0.606195234669223
JAG1	NOTCH1	autocrine|paracrine	0.604871392151525
PLAU	ITGAV	autocrine|paracrine	0.604312228396269
COL1A2	ITGA2	autocrine|paracrine	0.603297810533767
C3	CD81	autocrine|paracrine	0.60323732213798
APP	NGFR	autocrine|paracrine	0.602796220680793
FGB	ITGB1	autocrine|paracrine	0.602353754506602
WNT5A	FZD1	autocrine|paracrine	0.602157355162834
TGFB3	ITGB1	autocrine|paracrine	0.601781601335681
INHBA	TGFBR3	autocrine|paracrine	0.601646228242329
APOB	LRP1	autocrine|paracrine	0.601530744759587
TNC	ITGA8	autocrine|paracrine	0.601499928396759
TGFB1	ENG	autocrine|paracrine	0.601390408808509
PLAU	PLAUR	autocrine|paracrine	0.601182300016324
VCL	ITGB5	autocrine|paracrine	0.600805935127646
COL3A1	ITGA2	autocrine|paracrine	0.600303524516436
