Neural	Fibroblasts	interaction type	LRscore
B2M	TFRC	autocrine|paracrine	0.758225299772428
HSP90AA1	FGFR3	autocrine|paracrine	0.757869198457242
CYR61	ITGAV	autocrine|paracrine	0.757267344450609
COL1A1	ITGA1	autocrine|paracrine	0.756845773035862
UBA52	NOTCH1	autocrine|paracrine	0.756786358877592
SPP1	ITGB1	autocrine|paracrine	0.756587874861871
CYR61	ITGA5	autocrine|paracrine	0.753352867384825
SEMA3B	NRP1	autocrine|paracrine	0.753021458231853
GNAS	ADCY9	autocrine|paracrine	0.752590912036169
L1CAM	ERBB2	autocrine|paracrine	0.751963102605502
FABP5	RXRA	autocrine|paracrine	0.748359083730981
APOE	LRP5	autocrine|paracrine	0.746306125387218
UBA52	TGFBR2	autocrine|paracrine	0.745844413906046
FBN1	ITGB1	autocrine|paracrine	0.745049361510968
ARPC5	LDLR	autocrine|paracrine	0.743829038825589
CALM1	INSR	autocrine|paracrine	0.74379361425609
COL1A1	DDR1	autocrine|paracrine	0.743238440029213
VIP	RAMP2	autocrine|paracrine	0.740615699950341
HLA-A	ERBB2	autocrine|paracrine	0.740366622698815
UBA52	FGFR2	autocrine|paracrine	0.738846462206058
TNC	ITGB1	autocrine|paracrine	0.738655759156963
COL18A1	ITGB5	autocrine|paracrine	0.738439619438139
CALM2	INSR	autocrine|paracrine	0.735857903680274
CALM1	PDE1A	autocrine|paracrine	0.732599514972346
CALR	ITGAV	autocrine|paracrine	0.73208800487697
PKM	CD44	autocrine|paracrine	0.728366589780556
HLA-B	CANX	autocrine|paracrine	0.728051684999456
JAM3	ITGB1	autocrine|paracrine	0.727941552778696
NCAM1	ROBO1	autocrine|paracrine	0.726790828236189
SPTAN1	PTPRA	autocrine|paracrine	0.726273707998667
CALM2	PDE1A	autocrine|paracrine	0.724445531255665
FN1	SDC2	autocrine|paracrine	0.723956996207372
SEMA3B	NRP2	autocrine|paracrine	0.723823626854093
LRPAP1	LDLR	autocrine|paracrine	0.723021409187185
RPS27A	RIPK1	autocrine|paracrine	0.722782112973469
UBA52	SMAD3	autocrine|paracrine	0.722700806037386
MDK	SDC1	autocrine|paracrine	0.722041975912171
TIMP3	ADAM17	autocrine|paracrine	0.721993387706064
MDK	PTPRZ1	autocrine|paracrine	0.720983773005277
MDK	GPC2	autocrine|paracrine	0.720207135449898
GNAS	ADRB3	autocrine|paracrine	0.719099085574498
GPC6	LRP1	autocrine|paracrine	0.718279704975829
SERPING1	LRP1	autocrine|paracrine	0.717343541201074
HSP90B1	ASGR1	autocrine|paracrine	0.716701776715368
APOC3	SDC2	autocrine|paracrine	0.715233723751834
LAMA5	ITGB1	autocrine|paracrine	0.714636068013445
VIP	NPR3	autocrine|paracrine	0.714121338106719
UBA52	TGFBR1	autocrine|paracrine	0.712486265668997
IGFBP4	LRP6	autocrine|paracrine	0.711115849680637
CYR61	ITGB5	autocrine|paracrine	0.710499450788519
UBA52	ACVR1	autocrine|paracrine	0.709552120856247
APOC3	LDLR	autocrine|paracrine	0.709019650660428
LAMA2	ITGB1	autocrine|paracrine	0.707590510480664
MDK	ITGA6	autocrine|paracrine	0.703770236897216
PDGFB	PDGFRA	autocrine|paracrine	0.702909505139943
GNAI2	IGF1R	autocrine|paracrine	0.702695126655119
APOE	VLDLR	autocrine|paracrine	0.702340899416305
PDGFB	LRP1	autocrine|paracrine	0.701547442708575
ACTR2	LDLR	autocrine|paracrine	0.701475914460436
TGFB1	CAV1	autocrine|paracrine	0.701055474627428
HSP90AA1	EGFR	autocrine|paracrine	0.69943036058085
HMGB1	SDC1	autocrine|paracrine	0.699427245787949
ARF1	INSR	autocrine|paracrine	0.696215635279389
APP	NGFR	autocrine|paracrine	0.695301551954124
PTN	SDC3	autocrine|paracrine	0.694980763089782
NCAM1	PTPRA	autocrine|paracrine	0.694276758202601
NCAM1	GFRA1	autocrine|paracrine	0.694215378055771
GNAI2	EDNRA	autocrine|paracrine	0.692019412487502
RPS27A	ADRB2	autocrine|paracrine	0.691928926841376
COL3A1	DDR1	autocrine|paracrine	0.690818669531325
LAMA1	RPSA	autocrine|paracrine	0.689645046369963
TGFB1	SDC2	autocrine|paracrine	0.689604429657938
OLFM2	ROBO2	autocrine|paracrine	0.686525136884878
COL1A2	CD36	autocrine|paracrine	0.685985034165007
CALCB	RAMP2	autocrine|paracrine	0.685576952888433
L1CAM	ITGAV	autocrine|paracrine	0.685023553579676
VCAN	CD44	autocrine|paracrine	0.684450927004484
HRAS	CAV1	autocrine|paracrine	0.683458662802578
MDK	TSPAN1	autocrine|paracrine	0.68336537305899
APP	TNFRSF21	autocrine|paracrine	0.681870251266949
L1CAM	ITGA5	autocrine|paracrine	0.680435671443057
VEGFB	NRP1	autocrine|paracrine	0.680425809530923
LPL	LRP1	autocrine|paracrine	0.680113806191718
UBC	RIPK1	autocrine|paracrine	0.679259580932017
COL5A2	ITGA1	autocrine|paracrine	0.67888941695643
NID1	ITGAV	autocrine|paracrine	0.678603384929948
COL1A1	CD36	autocrine|paracrine	0.677407172503459
ADAM15	ITGB1	autocrine|paracrine	0.676703167425558
PDGFB	PDGFRB	autocrine|paracrine	0.676459084391945
PDGFA	PDGFRA	autocrine|paracrine	0.676428860057408
COL6A1	ITGA1	autocrine|paracrine	0.676178512932495
MDK	SDC4	autocrine|paracrine	0.674652060623295
IGFBP4	FZD8	autocrine|paracrine	0.673835516632383
RTN4	NGFR	autocrine|paracrine	0.67296987722067
A2M	LRP1	autocrine|paracrine	0.672471300167126
HRAS	SDC2	autocrine|paracrine	0.671649273083636
GNAI2	EDNRB	autocrine|paracrine	0.671111620582094
GNAS	ADCY7	autocrine|paracrine	0.670513934406262
VIP	PTH1R	autocrine|paracrine	0.670508386301285
L1CAM	FGFR2	autocrine|paracrine	0.668682021840504
ADAM9	ITGB1	autocrine|paracrine	0.666300567838045
NCAM1	FGFR2	autocrine|paracrine	0.664876019975934
HMGB1	THBD	autocrine|paracrine	0.66487553101382
LAMA3	ITGB1	autocrine|paracrine	0.664420593605303
COL5A2	DDR1	autocrine|paracrine	0.66286282034625
FN1	ITGA8	autocrine|paracrine	0.661640524287606
UBB	RIPK1	autocrine|paracrine	0.660528306471489
JAG1	CD46	autocrine|paracrine	0.660272606820236
CALM3	INSR	autocrine|paracrine	0.659959249656952
MDK	ITGA4	autocrine|paracrine	0.659268000552514
NECTIN2	NECTIN3	autocrine|paracrine	0.657979964403113
VEGFB	TYRO3	autocrine|paracrine	0.657445179832497
GPC3	LRP1	autocrine|paracrine	0.656260976021551
ADAM17	ITGB1	autocrine|paracrine	0.654589552451182
MFGE8	PDGFRB	autocrine|paracrine	0.652443510758551
APOA4	LRP1	autocrine|paracrine	0.651998819973491
THBS1	ITGB1	autocrine|paracrine	0.650493905995915
GSTP1	TRAF2	autocrine|paracrine	0.650388278201628
SEMA3C	NRP1	autocrine|paracrine	0.649575960818878
COL11A1	ITGB1	autocrine|paracrine	0.64903523395657
PDGFA	PDGFRB	autocrine|paracrine	0.648798782783741
COL4A1	CD47	autocrine|paracrine	0.648629489421019
CALCA	RAMP2	autocrine|paracrine	0.646897605040123
CALM3	PDE1A	autocrine|paracrine	0.64684143840416
MFAP2	NOTCH1	autocrine|paracrine	0.646747605431077
COL6A2	ITGA1	autocrine|paracrine	0.645969972726553
UBC	ADRB2	autocrine|paracrine	0.645935357826485
RTN4	LINGO1	autocrine|paracrine	0.645914840266082
JAG1	NOTCH3	autocrine|paracrine	0.6455056583565
COL4A1	ITGAV	autocrine|paracrine	0.645016679078865
CALM1	ABCA1	autocrine|paracrine	0.644221224713922
L1CAM	ERBB3	autocrine|paracrine	0.644092924757669
NID1	PTPRF	autocrine|paracrine	0.643273590428635
APOE	SORL1	autocrine|paracrine	0.639593217077882
CALM1	CACNA1C	autocrine|paracrine	0.637457770457907
FN1	ITGAV	autocrine|paracrine	0.635906730405025
CALM1	EGFR	autocrine|paracrine	0.635093923519815
FN1	IL17RC	autocrine|paracrine	0.634811537403808
CALM2	ABCA1	autocrine|paracrine	0.634716021459795
HSPA8	ADRB2	autocrine|paracrine	0.634605028249671
FN1	PLAUR	autocrine|paracrine	0.632874891634425
COL5A1	SDC3	autocrine|paracrine	0.632577461415783
CTGF	ITGA5	autocrine|paracrine	0.63181704869428
FN1	ITGA5	autocrine|paracrine	0.630988810977329
VCAM1	ITGB1	autocrine|paracrine	0.630714211004827
JAG1	NOTCH2	autocrine|paracrine	0.629631986867342
TIMP3	AGTR2	autocrine|paracrine	0.629562226668462
GNAI2	UNC5B	autocrine|paracrine	0.628674765023245
HBEGF	CD9	autocrine|paracrine	0.628600498209695
VEGFA	GPC1	autocrine|paracrine	0.628179922870422
CALM2	CACNA1C	autocrine|paracrine	0.627876247020155
UBB	ADRB2	autocrine|paracrine	0.626328546629858
SFRP1	FZD2	autocrine|paracrine	0.625875296279346
EFNB2	EPHB3	autocrine|paracrine	0.625846210892713
CALM2	EGFR	autocrine|paracrine	0.625486630473297
L1CAM	EPHB2	autocrine|paracrine	0.624509602219526
LAMA1	ITGB1	autocrine|paracrine	0.624397140569984
LAMA4	ITGAV	autocrine|paracrine	0.624002436738085
GNAI2	ADCY9	autocrine|paracrine	0.623405610102166
DUSP18	RPSA	autocrine|paracrine	0.622265567300151
FN1	CD44	autocrine|paracrine	0.621772486383226
TGFB1	TGFBR3	autocrine|paracrine	0.62100910927132
CXCL12	ACKR3	autocrine|paracrine	0.620908748627522
NAMPT	INSR	autocrine|paracrine	0.620707935419318
ARF1	PLD2	autocrine|paracrine	0.620172395823519
UBA52	EGFR	autocrine|paracrine	0.619847556140025
COL5A1	ITGA1	autocrine|paracrine	0.618099592479664
FGF13	FGFR1	autocrine|paracrine	0.617861094308134
CTGF	LRP6	autocrine|paracrine	0.617691360184389
P4HB	MTTP	autocrine|paracrine	0.617650941141793
RGMB	BMPR2	autocrine|paracrine	0.617413382267972
SEMA4A	PLXNB2	autocrine|paracrine	0.617014636068445
SEMA3C	NRP2	autocrine|paracrine	0.614410896249064
VEGFA	NRP1	autocrine|paracrine	0.614210020588187
PSEN1	NOTCH3	autocrine|paracrine	0.612139275617872
HBEGF	ERBB2	autocrine|paracrine	0.611836604094318
GNAI2	S1PR3	autocrine|paracrine	0.609938654206865
SEMA4C	PLXNB2	autocrine|paracrine	0.609438254544887
COL9A1	ITGB1	autocrine|paracrine	0.608728314386407
CALCB	PTH1R	autocrine|paracrine	0.608458113453201
TFPI	LRP1	autocrine|paracrine	0.606425096619218
GNAS	ADCY1	autocrine|paracrine	0.60640866461476
TGFB1	ENG	autocrine|paracrine	0.606342794409266
APOE	SCARB1	autocrine|paracrine	0.605244107266231
TF	LDLR	autocrine|paracrine	0.604581033449334
APOB	LRP1	autocrine|paracrine	0.603552375992361
RELN	ITGB1	autocrine|paracrine	0.602815524162605
COL1A2	CD93	autocrine|paracrine	0.600934957600633
PTMA	VIPR1	autocrine|paracrine	0.600779562442335
NID1	COL13A1	autocrine|paracrine	0.600068048103019
