Muscle	Myofibroblast_Mesothelium	interaction type	LRscore
LAMA4	ITGB1	autocrine|paracrine	0.848341737884904
HSP90AA1	ERBB2	autocrine|paracrine	0.846814945971989
GNAI2	CAV1	autocrine|paracrine	0.846281091713942
MMP2	SDC2	autocrine|paracrine	0.84203519799277
FBN1	ITGB1	autocrine|paracrine	0.838561540422974
UBB	ERBB2	autocrine|paracrine	0.838335259805347
FN1	COL13A1	autocrine|paracrine	0.836291925753005
FN1	CD44	autocrine|paracrine	0.836110979826547
LGALS3BP	ITGB1	autocrine|paracrine	0.833847895067075
THBS1	ITGB1	autocrine|paracrine	0.830990305904935
UBB	LDLR	autocrine|paracrine	0.830807686889207
FN1	IL17RC	autocrine|paracrine	0.829986209309189
GNAI2	F2R	autocrine|paracrine	0.829859268505895
HSPA8	LDLR	autocrine|paracrine	0.829631882334838
RPS27A	TGFBR1	autocrine|paracrine	0.829592651307579
COL16A1	ITGB1	autocrine|paracrine	0.829161244531287
FN1	ITGA5	autocrine|paracrine	0.828363543483134
LAMC1	ITGB1	autocrine|paracrine	0.827984872405089
COL6A3	ITGA1	autocrine|paracrine	0.827789193169703
VEGFA	ITGB1	autocrine|paracrine	0.827727923801973
UBC	TGFBR2	autocrine|paracrine	0.824686611977055
UBC	FGFR2	autocrine|paracrine	0.823031778675064
LAMA5	ITGB1	autocrine|paracrine	0.822705627420061
PTN	PLXNB2	autocrine|paracrine	0.822363109403856
PSAP	LRP1	autocrine|paracrine	0.822121318261723
FN1	ITGAV	autocrine|paracrine	0.820845880500573
CALR	LRP1	autocrine|paracrine	0.820235102275703
COL1A1	DDR1	autocrine|paracrine	0.820207195578913
APP	LRP1	autocrine|paracrine	0.819782185655957
HSP90B1	ERBB2	autocrine|paracrine	0.817546995510571
LUM	ITGB1	autocrine|paracrine	0.81391202214522
CTGF	ITGA5	autocrine|paracrine	0.81267036957438
VCAN	ITGB1	autocrine|paracrine	0.812117691296114
APOA1	LDLR	autocrine|paracrine	0.810947754264382
COL4A1	ITGA1	autocrine|paracrine	0.810284429331321
COL3A1	DDR1	autocrine|paracrine	0.809822387487751
CYR61	ITGA5	autocrine|paracrine	0.80757193010925
UBA52	ERBB2	autocrine|paracrine	0.80685059619587
CYR61	ITGB5	autocrine|paracrine	0.805614655067857
UBC	TGFBR1	autocrine|paracrine	0.801709002636629
TGM2	ITGB1	autocrine|paracrine	0.80147246087688
HLA-A	APLP2	autocrine|paracrine	0.800671684548275
GPC3	LRP1	autocrine|paracrine	0.800135093920622
CYR61	ITGAV	autocrine|paracrine	0.799364167445166
UBA52	LDLR	autocrine|paracrine	0.798209882238708
FN1	PLAUR	autocrine|paracrine	0.795979673057764
HSPG2	COL13A1	autocrine|paracrine	0.795369765754771
COL4A1	CD47	autocrine|paracrine	0.794234175609182
SERPINA1	LRP1	autocrine|paracrine	0.793490708309977
UBB	TGFBR2	autocrine|paracrine	0.791500299854541
UBB	FGFR2	autocrine|paracrine	0.789612126741344
COL5A2	ITGA1	autocrine|paracrine	0.7894994199444
COL5A1	ITGA1	autocrine|paracrine	0.78895186576713
ADAM9	ITGB1	autocrine|paracrine	0.787728862960413
COL4A2	ITGB5	autocrine|paracrine	0.786575002592325
LRPAP1	LRP1	autocrine|paracrine	0.784985087624082
RPS27A	SMAD3	autocrine|paracrine	0.782361175261176
CALM1	PTPRA	autocrine|paracrine	0.781436308715846
HSP90AA1	EGFR	autocrine|paracrine	0.781197665863534
TNC	ITGA8	autocrine|paracrine	0.778779779800507
THBS1	LRP1	autocrine|paracrine	0.778588717634011
VCL	ITGB5	autocrine|paracrine	0.778461390029258
CALM2	PDE1A	autocrine|paracrine	0.776879696564768
IGFBP4	LRP6	autocrine|paracrine	0.77501754561039
RPS27A	RIPK1	autocrine|paracrine	0.774517509943223
HLA-B	CANX	autocrine|paracrine	0.771504614706522
CALM1	PDE1A	autocrine|paracrine	0.771424305665412
COL4A1	ITGAV	autocrine|paracrine	0.770424741412068
CTGF	LRP6	autocrine|paracrine	0.770033529269765
PKM	CD44	autocrine|paracrine	0.767300682141682
FGF7	FGFR4	autocrine|paracrine	0.767090805103815
A2M	LRP1	autocrine|paracrine	0.766617782911774
UBB	TGFBR1	autocrine|paracrine	0.765410377941398
COL4A5	ITGB1	autocrine|paracrine	0.76528967895569
TGFB1	CAV1	autocrine|paracrine	0.764824272033561
MDK	SDC3	autocrine|paracrine	0.764582347666619
PDGFC	PDGFRA	autocrine|paracrine	0.763961654277477
TGFB1	ITGB1	autocrine|paracrine	0.762932753794159
FN1	ITGA9	autocrine|paracrine	0.762238881870256
LAMB1	ITGA1	autocrine|paracrine	0.76124964974582
SORBS1	ITGA1	autocrine|paracrine	0.760842896339141
APP	NCSTN	autocrine|paracrine	0.75679919565269
COL6A1	ITGA6	autocrine|paracrine	0.756409063774369
THBS2	ITGB1	autocrine|paracrine	0.756334713549483
AGRN	ITGB1	autocrine|paracrine	0.756113957265561
ARPC5	LDLR	autocrine|paracrine	0.755799165887213
MDK	ITGA6	autocrine|paracrine	0.754342298249778
FN1	ITGA6	autocrine|paracrine	0.75408963344535
UBA52	TGFBR2	autocrine|paracrine	0.753575538890222
GNAS	PTGIR	autocrine|paracrine	0.752870346200094
UBA52	FGFR2	autocrine|paracrine	0.751451768842653
JAM3	ITGB1	autocrine|paracrine	0.750125018659541
UBA52	ACVR1	autocrine|paracrine	0.749162816700654
UBC	SMAD3	autocrine|paracrine	0.749086570516999
APP	CD74	autocrine|paracrine	0.748633736858764
FGF7	FGFR1	autocrine|paracrine	0.748573328149049
NID1	COL13A1	autocrine|paracrine	0.745042377925359
CALM2	EGFR	autocrine|paracrine	0.744383821191386
APOC3	SDC2	autocrine|paracrine	0.743364696313061
UBC	RIPK1	autocrine|paracrine	0.740441548007905
TLN1	ITGB5	autocrine|paracrine	0.739892911315303
CALM1	EGFR	autocrine|paracrine	0.738401436507455
FABP5	RXRA	autocrine|paracrine	0.738227111939092
ANOS1	SDC2	autocrine|paracrine	0.736066007242771
HSP90AA1	FGFR3	autocrine|paracrine	0.735860156031649
COL9A2	ITGB1	autocrine|paracrine	0.734558300024517
APOC3	LRP1	autocrine|paracrine	0.733587199422376
B2M	TFRC	autocrine|paracrine	0.731332599635196
SERPING1	LRP1	autocrine|paracrine	0.731036245254256
EFEMP2	PLSCR4	autocrine|paracrine	0.730228020877243
UBA52	EGFR	autocrine|paracrine	0.72958113865146
APOE	LRP1	autocrine|paracrine	0.728183999819767
FST	BMPR2	autocrine|paracrine	0.727454472756755
RGMA	BMPR2	autocrine|paracrine	0.727439976793488
UBA52	NOTCH1	autocrine|paracrine	0.72682973038334
BST1	CAV1	autocrine|paracrine	0.725390262770436
NCAM1	GFRA1	autocrine|paracrine	0.72532057160017
UBA52	TGFBR1	autocrine|paracrine	0.72439248417757
NID1	ITGAV	autocrine|paracrine	0.723829961894946
CALM3	PDE1A	autocrine|paracrine	0.723163605131028
SORBS1	ITGB5	autocrine|paracrine	0.722239147057106
APP	GPC1	autocrine|paracrine	0.720967797195104
PDAP1	PDGFRB	autocrine|paracrine	0.720932850499503
MDK	ITGA4	autocrine|paracrine	0.72091024873349
FN1	ITGA4	autocrine|paracrine	0.720635932697149
SPTAN1	PTPRA	autocrine|paracrine	0.720194098886111
LTBP3	ITGB5	autocrine|paracrine	0.720171044069195
NPNT	ITGB1	autocrine|paracrine	0.717598213360598
CALR	ITGAV	autocrine|paracrine	0.715987800065957
NCAM1	ROBO1	autocrine|paracrine	0.715845338630444
LRPAP1	LDLR	autocrine|paracrine	0.715828986123833
FGF7	FGFR2	autocrine|paracrine	0.715481604306816
HLA-A	ERBB2	autocrine|paracrine	0.715456470048188
LAMB1	ITGAV	autocrine|paracrine	0.714714883191046
PTGS2	CAV1	autocrine|paracrine	0.713499282113901
HRAS	CAV1	autocrine|paracrine	0.712798031419096
NCAM1	FGFR1	autocrine|paracrine	0.710912375515506
RGMA	NEO1	autocrine|paracrine	0.710241684166537
MFAP2	NOTCH1	autocrine|paracrine	0.708949295735483
RTN4	RTN4R	autocrine|paracrine	0.707837671232987
TGFB1	SDC2	autocrine|paracrine	0.707703438036155
LAMC1	ITGA1	autocrine|paracrine	0.707663771251007
FYN	THY1	autocrine|paracrine	0.707531121192011
UBB	SMAD3	autocrine|paracrine	0.706679412114698
GNAI2	EDNRB	autocrine|paracrine	0.705388951786266
TFPI	LRP1	autocrine|paracrine	0.705203977249662
TNC	ITGA5	autocrine|paracrine	0.703995772995104
TIMP3	AGTR2	autocrine|paracrine	0.703273486546155
PTN	SDC3	autocrine|paracrine	0.70276161306782
NCAM1	PTPRA	autocrine|paracrine	0.701294043880953
COL4A6	ITGB1	autocrine|paracrine	0.69969181312064
UBB	RIPK1	autocrine|paracrine	0.697163971052685
ICAM1	CAV1	autocrine|paracrine	0.696361516762065
RTN4	LINGO1	autocrine|paracrine	0.696323796379298
SEMA4A	PLXNB2	autocrine|paracrine	0.693576920148893
CALM2	INSR	autocrine|paracrine	0.693226179723631
TNC	ITGAV	autocrine|paracrine	0.693049311868288
VCAM1	ITGB1	autocrine|paracrine	0.692398759724047
THBS1	CD47	autocrine|paracrine	0.690849607618346
AGRN	LRP1	autocrine|paracrine	0.689180303541908
LAMA4	ITGAV	autocrine|paracrine	0.688508913732947
COL5A2	DDR1	autocrine|paracrine	0.68761353142176
LAMA5	BCAM	autocrine|paracrine	0.686803883044144
CALM1	INSR	autocrine|paracrine	0.686550671189723
MDK	SDC4	autocrine|paracrine	0.686333302036838
CALM3	EGFR	autocrine|paracrine	0.686006356534646
GNAI2	UNC5B	autocrine|paracrine	0.685158585243177
COL9A1	ITGB1	autocrine|paracrine	0.683896547633931
FBN1	ITGA5	autocrine|paracrine	0.683748470308718
LAMC2	ITGB1	autocrine|paracrine	0.681960710767831
COL18A1	ITGB1	autocrine|paracrine	0.681504840858108
APOA4	LRP1	autocrine|paracrine	0.679732682136173
COL9A3	ITGB1	autocrine|paracrine	0.677504272072936
COL5A1	SDC3	autocrine|paracrine	0.67524124204842
NCAM1	FGFR2	autocrine|paracrine	0.675015800627309
CALM2	CACNA1C	autocrine|paracrine	0.674829659361222
GNAI2	AGTR2	autocrine|paracrine	0.673153997259125
FGF7	NRP1	autocrine|paracrine	0.673138186162076
MFGE8	PDGFRB	autocrine|paracrine	0.672785805216642
FBN1	ITGAV	autocrine|paracrine	0.67240167781122
PRSS23	TMEM222	autocrine|paracrine	0.671969113789352
COL1A1	CD36	autocrine|paracrine	0.671172304727128
CALM1	FAS	autocrine|paracrine	0.670901390211567
CALM1	CACNA1C	autocrine|paracrine	0.667945586233762
GPC3	IGF1R	autocrine|paracrine	0.667663195068271
ARF1	INSR	autocrine|paracrine	0.666238582216715
FN1	ITGB8	autocrine|paracrine	0.663673580593771
LTBP1	ITGB5	autocrine|paracrine	0.662785008234112
SERPINE2	LRP1	autocrine|paracrine	0.662275953355892
GNAI2	IGF1R	autocrine|paracrine	0.661622673211982
VEGFA	GPC1	autocrine|paracrine	0.66123511236166
HSP90B1	ASGR1	autocrine|paracrine	0.660219992837392
UBA52	SMAD3	autocrine|paracrine	0.659954633357145
DCN	EGFR	autocrine|paracrine	0.659842139353648
COL1A2	CD36	autocrine|paracrine	0.65834940026376
TNC	EGFR	autocrine|paracrine	0.657904993734382
ACTR2	LDLR	autocrine|paracrine	0.657864385362533
MDK	TSPAN1	autocrine|paracrine	0.657843849387487
NID1	PTPRF	autocrine|paracrine	0.656768093527377
VEGFB	TYRO3	autocrine|paracrine	0.656752600636997
GDNF	GFRA1	autocrine|paracrine	0.656719460930726
PDGFC	PDGFRB	autocrine|paracrine	0.656212156722829
LAMC1	ITGAV	autocrine|paracrine	0.655412366815331
VCAN	CD44	autocrine|paracrine	0.655389779757416
APOC3	LDLR	autocrine|paracrine	0.655161871390127
VEGFA	ITGAV	autocrine|paracrine	0.655005046242848
SEMA4C	PLXNB2	autocrine|paracrine	0.654293660150534
ADAM15	ITGB1	autocrine|paracrine	0.652817289268529
C3	CD81	autocrine|paracrine	0.651515822553573
UBA52	RIPK1	autocrine|paracrine	0.64967484076791
APOE	LDLR	autocrine|paracrine	0.64892929726092
HRAS	SDC2	autocrine|paracrine	0.648842590248565
GNAI2	EGFR	autocrine|paracrine	0.647096451910812
GSTP1	TRAF2	autocrine|paracrine	0.646275660895504
CALM2	ABCA1	autocrine|paracrine	0.645730869615211
LPL	LRP1	autocrine|paracrine	0.64543504824114
EFEMP2	LINGO1	autocrine|paracrine	0.645044019559377
VEGFC	ITGB1	autocrine|paracrine	0.644394004466562
ADAM17	ITGB1	autocrine|paracrine	0.644146934128309
CXCL12	CD4	autocrine|paracrine	0.642571172560755
SFRP1	FZD2	autocrine|paracrine	0.639500850651286
PLAU	ITGB1	autocrine|paracrine	0.638880698368724
CALM1	ABCA1	autocrine|paracrine	0.638560707621519
GDNF	EDNRB	autocrine|paracrine	0.636818178137879
FGF7	FGFR3	autocrine|paracrine	0.636496109304817
COL14A1	CD44	autocrine|paracrine	0.634559727325083
VEGFB	NRP1	autocrine|paracrine	0.634244193053809
CXCL12	CXCR4	autocrine|paracrine	0.633740832091111
TGFB1	ENG	autocrine|paracrine	0.633249555998147
BMP2	ENG	autocrine|paracrine	0.630360113692865
GNAS	ADCY7	autocrine|paracrine	0.629905202736761
CALM3	INSR	autocrine|paracrine	0.628988512690074
THBS1	LRP5	autocrine|paracrine	0.628865999894122
SLIT2	ROBO1	autocrine|paracrine	0.627902532657244
ARF1	PLD2	autocrine|paracrine	0.627857232902776
ADM	RAMP2	autocrine|paracrine	0.627345794030526
TGFB1	TGFBR3	autocrine|paracrine	0.62714546884078
CALM1	GLP2R	autocrine|paracrine	0.627077645009745
LAMB1	ITGA6	autocrine|paracrine	0.626410851657971
COL1A1	CD93	autocrine|paracrine	0.626164298370972
SEMA3A	PLXNA2	autocrine|paracrine	0.625677529443423
PDGFA	PDGFRA	autocrine|paracrine	0.62354361626621
ANOS1	FGFR1	autocrine|paracrine	0.623395061028676
NRTN	GFRA1	autocrine|paracrine	0.622979268065954
SORBS1	INSR	autocrine|paracrine	0.622948420086887
SLIT2	ROBO2	autocrine|paracrine	0.622443334253717
MFGE8	ITGAV	autocrine|paracrine	0.621288551322908
COL4A5	ITGA1	autocrine|paracrine	0.621178735552129
JAG1	CD46	autocrine|paracrine	0.621080601962149
VEGFA	TYRO3	autocrine|paracrine	0.620856620184341
MDK	GPC2	autocrine|paracrine	0.619856829890892
TFPI	F3	autocrine|paracrine	0.619372295669934
GNAI2	EDNRA	autocrine|paracrine	0.618647455893868
SEMA4A	PLXND1	autocrine|paracrine	0.61811816722889
SEMA4A	PLXND1	autocrine|paracrine	0.61811816722889
VEGFA	EGFR	autocrine|paracrine	0.617906343478551
LAMC2	CD151	autocrine|paracrine	0.616806903938113
TIMP3	ADAM17	autocrine|paracrine	0.616422199649476
MAPK1	FGFR2	autocrine|paracrine	0.614631966001876
BMP2	BMPR2	autocrine|paracrine	0.613195420645442
SLIT3	ROBO2	autocrine|paracrine	0.612735144118051
COL1A2	CD93	autocrine|paracrine	0.612599327546225
FN1	ROBO4	autocrine|paracrine	0.612474396754339
TNC	ITGA9	autocrine|paracrine	0.612377892391439
NPNT	ITGA8	autocrine|paracrine	0.610220289312985
NECTIN2	NECTIN3	autocrine|paracrine	0.60937800986499
GDF11	BMPR2	autocrine|paracrine	0.608249828071983
FGF2	SDC2	autocrine|paracrine	0.608213673396592
APOB	LRP1	autocrine|paracrine	0.60644478544711
ADAM9	ITGB5	autocrine|paracrine	0.604017020189654
GNAS	PTGDR	autocrine|paracrine	0.601973938140731
COL2A1	ITGB1	autocrine|paracrine	0.6004012567458
