Epithelial	Pericytes	interaction type	LRscore
LAMA5	BCAM	autocrine|paracrine	0.773527275781476
CALM1	CACNA1C	autocrine|paracrine	0.772367526418382
VCAN	ITGB1	autocrine|paracrine	0.769459333799137
LRPAP1	LDLR	autocrine|paracrine	0.768190432076575
LAMB1	ITGA1	autocrine|paracrine	0.76695233675521
COL5A2	ITGB1	autocrine|paracrine	0.76684558602959
LAMA5	ITGB1	autocrine|paracrine	0.76579477187162
APOC3	LRP1	autocrine|paracrine	0.764911432920366
CALM1	PTPRA	autocrine|paracrine	0.764910360564129
COL1A1	ITGAV	autocrine|paracrine	0.763395469006511
MFAP2	NOTCH1	autocrine|paracrine	0.762827485266948
COL5A1	ITGB1	autocrine|paracrine	0.761797358266013
GNAI2	EDNRA	autocrine|paracrine	0.760789562896271
NPNT	ITGB1	autocrine|paracrine	0.759816731984848
GNAS	ADCY9	autocrine|paracrine	0.759044603585623
APOA4	LRP1	autocrine|paracrine	0.758462352910776
RPS27A	RIPK1	autocrine|paracrine	0.756954871257768
SCT	RAMP2	autocrine|paracrine	0.756702992361722
BMP2	ENG	autocrine|paracrine	0.755256413137158
GNAS	PTGDR	autocrine|paracrine	0.753968477993688
VTN	ITGB1	autocrine|paracrine	0.753375229337875
PSAP	LRP1	autocrine|paracrine	0.753338126868534
UBC	RIPK1	autocrine|paracrine	0.753065715281327
CXCL12	ITGB1	autocrine|paracrine	0.752652892093045
UBA52	TGFBR2	autocrine|paracrine	0.752527403694181
MDK	LRP1	autocrine|paracrine	0.752360292432825
VEGFA	NRP1	autocrine|paracrine	0.751687565706767
COL1A2	ITGAV	autocrine|paracrine	0.751352365811091
HRAS	CAV1	autocrine|paracrine	0.750507240104772
CALM2	CACNA1C	autocrine|paracrine	0.74953533054453
LRPAP1	LRP1	autocrine|paracrine	0.748428277496065
LAMC1	ITGB1	autocrine|paracrine	0.748203930157625
ADAM9	ITGB1	autocrine|paracrine	0.747640657082424
B2M	TFRC	autocrine|paracrine	0.747391686085839
HSP90AA1	EGFR	autocrine|paracrine	0.747206212753348
UBA52	ERBB2	autocrine|paracrine	0.745062855597193
GPC3	LRP1	autocrine|paracrine	0.744912583038993
COL6A3	ITGB1	autocrine|paracrine	0.743908991785064
COL5A2	ITGA1	autocrine|paracrine	0.741089713437078
HLA-B	CANX	autocrine|paracrine	0.740602620878194
COL16A1	ITGB1	autocrine|paracrine	0.740591782727326
SPTAN1	PTPRA	autocrine|paracrine	0.73931289702009
CYR61	ITGB5	autocrine|paracrine	0.739114333271803
HSP90B1	ASGR1	autocrine|paracrine	0.73898041753987
BMP2	BMPR2	autocrine|paracrine	0.738719212656069
RTN4	NGFR	autocrine|paracrine	0.738697433657895
NECTIN2	NECTIN3	autocrine|paracrine	0.737972708034017
FGG	ITGB1	autocrine|paracrine	0.737935385059358
SEMA3B	NRP1	autocrine|paracrine	0.737332248265175
COL5A1	ITGA1	autocrine|paracrine	0.735676043719156
APP	NCSTN	autocrine|paracrine	0.735438065415034
VEGFA	ITGAV	autocrine|paracrine	0.734141765024747
RTN4	CNTNAP1	autocrine|paracrine	0.734134003248635
HSP90AA1	FGFR3	autocrine|paracrine	0.734071207673273
HLA-A	ERBB2	autocrine|paracrine	0.731813289001014
PSEN1	NOTCH1	autocrine|paracrine	0.731074197065586
MMP2	SDC2	autocrine|paracrine	0.730814064436417
APP	LRP1	autocrine|paracrine	0.730650344320344
COL4A1	ITGB1	autocrine|paracrine	0.730085687824835
SCT	GPR20	autocrine|paracrine	0.728935735534236
GNAI2	F2R	autocrine|paracrine	0.728915241960504
UBB	TGFBR1	autocrine|paracrine	0.725750540201473
APOB	ADRB2	autocrine|paracrine	0.722228631190079
UBA52	AGTR1	autocrine|paracrine	0.721845056274598
APOB	LRP6	autocrine|paracrine	0.721558418365308
LAMC1	ITGA1	autocrine|paracrine	0.721137626823057
UBA52	ADRB2	autocrine|paracrine	0.72106275354361
CTGF	LRP1	autocrine|paracrine	0.720637899479642
CDH1	ITGAE	autocrine|paracrine	0.717317976646541
COL6A3	ITGA1	autocrine|paracrine	0.716555910640911
BST1	CAV1	autocrine|paracrine	0.715437601200566
UBB	SMAD3	autocrine|paracrine	0.714250816709294
ADM	RAMP2	autocrine|paracrine	0.714158421297737
JAG1	CD46	autocrine|paracrine	0.711933953979359
CYR61	ITGAV	autocrine|paracrine	0.710605644013718
FN1	ITGAV	autocrine|paracrine	0.708872882799943
COL18A1	ITGB1	autocrine|paracrine	0.70871690488867
EFNA1	EPHA2	autocrine|paracrine	0.707689976745617
CALM1	PDE1A	autocrine|paracrine	0.706879069428956
MUC2	AGR2	autocrine|paracrine	0.70570620135903
APOE	LRP5	autocrine|paracrine	0.705552938524898
ACTR2	LDLR	autocrine|paracrine	0.704249997492702
SPINK1	EGFR	autocrine|paracrine	0.703230550514802
CXCL12	ACKR3	autocrine|paracrine	0.70201511264834
COL4A1	ITGA1	autocrine|paracrine	0.701847894443042
JAG1	NOTCH1	autocrine|paracrine	0.70116369030916
PSEN1	NCSTN	autocrine|paracrine	0.700830065822511
ADAM10	NOTCH1	autocrine|paracrine	0.699129759646773
GSTP1	TRAF2	autocrine|paracrine	0.696874909023337
ARPC5	LDLR	autocrine|paracrine	0.695802324963393
FBN1	ITGB1	autocrine|paracrine	0.693407727570926
LAMB1	ITGA7	autocrine|paracrine	0.693073202050461
CALM1	EGFR	autocrine|paracrine	0.692255157003307
DUSP18	RPSA	autocrine|paracrine	0.690488937959571
GNAI2	S1PR3	autocrine|paracrine	0.68982919502543
HSPG2	LRP1	autocrine|paracrine	0.688996193346726
ADAM17	ITGB1	autocrine|paracrine	0.687600180966049
APP	CD74	autocrine|paracrine	0.686446867165114
UBB	RIPK1	autocrine|paracrine	0.686361139099102
EDN1	EDNRB	autocrine|paracrine	0.685606165763883
COL1A1	ITGA5	autocrine|paracrine	0.684910181478561
CLCF1	IL6ST	autocrine|paracrine	0.6849044756744
DLL4	NOTCH3	autocrine|paracrine	0.684478944576625
PLAU	ITGB1	autocrine|paracrine	0.684100086957703
ADM	GPR20	autocrine|paracrine	0.683566069344265
NID1	ITGB1	autocrine|paracrine	0.680746685255277
CALM2	PDE1A	autocrine|paracrine	0.680197982062905
FGA	ITGB1	autocrine|paracrine	0.679994486501517
BMP2	BMPR1A	autocrine|paracrine	0.679346382801949
AGT	AGTR1	autocrine|paracrine	0.677251157505087
SCT	ADRB2	autocrine|paracrine	0.677041101440394
UBA52	EGFR	autocrine|paracrine	0.676718491790523
AGRN	LRP1	autocrine|paracrine	0.676617046567157
SCT	PTH1R	autocrine|paracrine	0.675286815926489
AREG	EGFR	autocrine|paracrine	0.675282503488685
HRAS	SDC2	autocrine|paracrine	0.67417631611701
CDH1	IGF1R	autocrine|paracrine	0.673137569908505
VEGFA	GPC1	autocrine|paracrine	0.67291985645811
P4HB	GPR162	autocrine|paracrine	0.67290575622717
FABP5	RXRA	autocrine|paracrine	0.672582710179683
TFPI	LRP1	autocrine|paracrine	0.671725192291775
CDH1	LRP5	autocrine|paracrine	0.671456466815812
GAS6	AXL	autocrine|paracrine	0.671338051762745
DLL1	NOTCH3	autocrine|paracrine	0.670451385789524
EREG	ERBB2	autocrine|paracrine	0.668774030851979
THBS1	LRP1	autocrine|paracrine	0.668651226384007
FN1	IL17RC	autocrine|paracrine	0.667644741806422
HBEGF	CD9	autocrine|paracrine	0.667480580151194
CGN	TGFBR2	autocrine|paracrine	0.66745582832604
SEMA4G	PLXNB2	autocrine|paracrine	0.666930636966057
CALM1	FAS	autocrine|paracrine	0.666173562867287
MDK	ITGA4	autocrine|paracrine	0.6654605148766
CALM2	EGFR	autocrine|paracrine	0.664874018550628
CALM1	PDE1B	autocrine|paracrine	0.664805379387951
FN1	PLAUR	autocrine|paracrine	0.663891467595916
UBA52	TGFBR1	autocrine|paracrine	0.663628816689347
VEGFA	NRP2	autocrine|paracrine	0.663356799100064
VEGFB	NRP1	autocrine|paracrine	0.662873301258252
ADAM10	AXL	autocrine|paracrine	0.662539089550406
FN1	ITGA8	autocrine|paracrine	0.662254409524955
FYN	THY1	autocrine|paracrine	0.661959029963226
COL7A1	ITGB1	autocrine|paracrine	0.661354090145395
COL4A2	ITGB5	autocrine|paracrine	0.661029332942441
UBA52	ACVR1	autocrine|paracrine	0.659836080576594
COL1A1	DDR1	autocrine|paracrine	0.65890495738141
THBS2	NOTCH3	autocrine|paracrine	0.658884427735422
FGB	ITGAV	autocrine|paracrine	0.658480863416059
APOB	LSR	autocrine|paracrine	0.657719500555195
HLA-C	DDR1	autocrine|paracrine	0.657340093558053
COL3A1	DDR1	autocrine|paracrine	0.65546449961146
CD55	ADGRE5	autocrine|paracrine	0.654990880672366
TGFB1	CAV1	autocrine|paracrine	0.654339459345322
CXCL2	ADRA2A	autocrine|paracrine	0.654214568763268
LTBP3	ITGB5	autocrine|paracrine	0.653239473940327
GPC3	IGF1R	autocrine|paracrine	0.652465580725956
APOA2	LDLR	autocrine|paracrine	0.651282564263349
P4HB	MTTP	autocrine|paracrine	0.651209279502705
UBA52	SMAD3	autocrine|paracrine	0.650777657918744
SORBS1	ITGA1	autocrine|paracrine	0.648416323138049
COL9A2	ITGB1	autocrine|paracrine	0.648133841824271
CDH1	PTPRF	autocrine|paracrine	0.647815592553419
RTN4	RTN4R	autocrine|paracrine	0.647674876538736
SEMA3B	NRP2	autocrine|paracrine	0.646297796818317
CALM1	INSR	autocrine|paracrine	0.64594700685632
CDH1	EGFR	autocrine|paracrine	0.645640866593633
BMP2	ACVR1	autocrine|paracrine	0.645599928944536
C3	CD46	autocrine|paracrine	0.645292175770658
CTGF	LRP6	autocrine|paracrine	0.643606809212853
FN1	ITGA4	autocrine|paracrine	0.642568568727583
VEGFA	TYRO3	autocrine|paracrine	0.642363112721428
APP	GPC1	autocrine|paracrine	0.641867052609988
LAMC1	ITGA7	autocrine|paracrine	0.639560318804362
VEGFA	EGFR	autocrine|paracrine	0.639138054633737
DUSP18	ITGB1	autocrine|paracrine	0.638919416879632
VIM	CD44	autocrine|paracrine	0.638702747648595
LAMA3	ITGA3	autocrine|paracrine	0.638622491388676
PTN	PLXNB2	autocrine|paracrine	0.638583791057199
PSEN1	NOTCH2	autocrine|paracrine	0.638134662979254
CALM3	PDE1A	autocrine|paracrine	0.637929454605275
EFNA1	EPHA3	autocrine|paracrine	0.636968144792567
LAMB1	ITGAV	autocrine|paracrine	0.636688655437291
CALM2	PDE1B	autocrine|paracrine	0.636265208352567
LAMA4	ITGB1	autocrine|paracrine	0.631484145017258
EFNB2	EPHB3	autocrine|paracrine	0.630542748932353
SHBG	CLDN4	autocrine|paracrine	0.629624074900767
TNFSF10	TNFRSF10D	autocrine|paracrine	0.628634770800902
LEFTY1	ACVR1B	autocrine|paracrine	0.628282447650776
GPC6	LRP1	autocrine|paracrine	0.627482427139505
ADM	ADRB2	autocrine|paracrine	0.627425078555295
COMP	ITGB1	autocrine|paracrine	0.627388859311014
THBS2	ITGB1	autocrine|paracrine	0.626884411365952
APOA2	LRP1	autocrine|paracrine	0.626400935458704
PSAP	SORT1	autocrine|paracrine	0.625675336483995
ADM	PTH1R	autocrine|paracrine	0.625550340330835
ARF1	INSR	autocrine|paracrine	0.624489403677143
EFNB2	EPHB4	autocrine|paracrine	0.62358998332416
CYR61	ITGA5	autocrine|paracrine	0.623251243995456
MFGE8	ITGAV	autocrine|paracrine	0.623085580493342
GNAI2	IGF1R	autocrine|paracrine	0.622940614489128
HSP90AA1	CFTR	autocrine|paracrine	0.622803032950943
VCL	ITGB5	autocrine|paracrine	0.62235698849253
SCT	VIPR2	autocrine|paracrine	0.622314393476337
DUSP18	CD151	autocrine|paracrine	0.622264647720577
CALM3	EGFR	autocrine|paracrine	0.62170652918207
CALM1	PDE1C	autocrine|paracrine	0.621563627169477
FN1	ITGA5	autocrine|paracrine	0.62127420403876
VTN	ITGB5	autocrine|paracrine	0.620255527022779
UBA52	RIPK1	autocrine|paracrine	0.619988928649433
GNAS	ADCY1	autocrine|paracrine	0.619988472575634
CCL25	CCR10	autocrine|paracrine	0.619724055796931
LRPAP1	SORT1	autocrine|paracrine	0.619507807731763
GNAI2	S1PR5	autocrine|paracrine	0.619457319481022
HLA-C	NOTCH4	autocrine|paracrine	0.618270411280698
CALM2	INSR	autocrine|paracrine	0.616726853937067
APOB	MTTP	autocrine|paracrine	0.615995699695366
APP	NGFR	autocrine|paracrine	0.615925136383115
CALR	ITGA3	autocrine|paracrine	0.615793685958556
ADAM9	ITGB5	autocrine|paracrine	0.613015596311613
EFEMP2	LINGO1	autocrine|paracrine	0.612300275362713
ADAM15	ITGB1	autocrine|paracrine	0.60795535170888
CTGF	ITGA5	autocrine|paracrine	0.606480525957193
DUSP18	ITGA1	autocrine|paracrine	0.606287357069596
THBS1	CD47	autocrine|paracrine	0.60431565995406
JAG1	NOTCH2	autocrine|paracrine	0.603493575720866
TGFB1	ITGB1	autocrine|paracrine	0.603303215716762
COL1A1	CD36	autocrine|paracrine	0.603057740712511
GNAI2	ADCY9	autocrine|paracrine	0.602288482144056
BMP2	ACVR2B	autocrine|paracrine	0.601488495918626
ACTR2	ADRB2	autocrine|paracrine	0.60025036828104
