Myofibroblast_Mesothelium	Immune	interaction type	LRscore
LAMA4	ITGB1	autocrine|paracrine	0.798423312992004
APOE	LDLR	autocrine|paracrine	0.797919264550119
TIMP2	ITGB1	autocrine|paracrine	0.797124359356603
FBN1	ITGB1	autocrine|paracrine	0.797040150614152
COL1A2	ITGAV	autocrine|paracrine	0.795948172208923
CALM2	MYLK	autocrine|paracrine	0.795599797610461
VCAN	ITGA4	autocrine|paracrine	0.795244162321057
HLA-B	CD3D	autocrine|paracrine	0.792674009400337
COL1A2	ITGA1	autocrine|paracrine	0.792520831532624
GNAI2	C5AR1	autocrine|paracrine	0.791526930804119
MDK	ITGA6	autocrine|paracrine	0.790205787775099
ACTR2	LDLR	autocrine|paracrine	0.789136907802538
CALM1	ABCA1	autocrine|paracrine	0.787160927267727
HSP90B1	TLR4	autocrine|paracrine	0.78707163527712
VCAM1	EZR	autocrine|paracrine	0.786445202148354
LAMC1	ITGB1	autocrine|paracrine	0.786232769667652
UBB	TGFBR1	autocrine|paracrine	0.785857645280608
COL4A1	CD93	autocrine|paracrine	0.785511467803518
FN1	ITGA5	autocrine|paracrine	0.78520953707123
FN1	SDC2	autocrine|paracrine	0.782258463332913
GNAS	ADCY7	autocrine|paracrine	0.781783190676285
HSP90B1	LRP1	autocrine|paracrine	0.781439379045115
HLA-C	CD3D	autocrine|paracrine	0.781436910613131
CALM2	ABCA1	autocrine|paracrine	0.780886853752592
CTGF	LRP1	autocrine|paracrine	0.778791084727218
CALM3	MYLK	autocrine|paracrine	0.778680322548889
GNAS	PTGIR	autocrine|paracrine	0.777182230046363
UBC	ERBB2	autocrine|paracrine	0.776493628036006
TGFB1	CXCR4	autocrine|paracrine	0.776372710436913
ADAM28	ITGA4	autocrine|paracrine	0.775789650789667
COL6A1	ITGA6	autocrine|paracrine	0.775500881625548
UBA52	TGFBR2	autocrine|paracrine	0.775060306721207
PLAU	ITGB2	autocrine|paracrine	0.774086495394737
ARPC5	LDLR	autocrine|paracrine	0.773070097569538
HLA-A	CD3D	autocrine|paracrine	0.773044360396842
COL16A1	ITGB1	autocrine|paracrine	0.772724837820223
RPS27A	SMAD3	autocrine|paracrine	0.771333748323886
TGM2	ITGB1	autocrine|paracrine	0.770890293928554
APOC3	LDLR	autocrine|paracrine	0.770325945237061
FN1	ITGA6	autocrine|paracrine	0.768636016723206
LAMA5	ITGB1	autocrine|paracrine	0.767430809971569
RPS27A	RIPK1	autocrine|paracrine	0.766959934872211
B2M	HLA-F	autocrine|paracrine	0.765998533955094
PLAT	LRP1	autocrine|paracrine	0.763682892381339
CALM3	ABCA1	autocrine|paracrine	0.763112118198856
VCAM1	ITGB2	autocrine|paracrine	0.762959598392411
CTGF	ITGA5	autocrine|paracrine	0.762606760076991
GNAI2	CAV1	autocrine|paracrine	0.762542963619448
COL6A2	ITGA1	autocrine|paracrine	0.76024114582773
CYR61	ITGA5	autocrine|paracrine	0.760033824372022
MMP2	SDC2	autocrine|paracrine	0.759960945064776
CD55	ADGRE5	autocrine|paracrine	0.759698154375194
HSP90AA1	ERBB2	autocrine|paracrine	0.75904761120024
VEGFA	NRP2	autocrine|paracrine	0.758849930064692
UBB	ERBB2	autocrine|paracrine	0.75813100678566
LAMB2	ITGB1	autocrine|paracrine	0.757251483034054
COL4A5	ITGB1	autocrine|paracrine	0.755185522386628
MDK	SDC3	autocrine|paracrine	0.755105708643295
MDK	SDC4	autocrine|paracrine	0.754001141311708
F10	ITGB2	autocrine|paracrine	0.753345527708082
HLA-B	LILRB2	autocrine|paracrine	0.752327482280238
APP	CAV1	autocrine|paracrine	0.752258517080707
UBA52	TLR4	autocrine|paracrine	0.752073312548308
CALR	LRP1	autocrine|paracrine	0.751104804461746
CSF1	CSF1R	autocrine|paracrine	0.750995554644025
RARRES2	CCRL2	autocrine|paracrine	0.74981853166394
APOA1	LRP1	autocrine|paracrine	0.748915967549803
ICAM1	ITGB2	autocrine|paracrine	0.748858394415852
COL6A1	ITGA1	autocrine|paracrine	0.746369421586023
FABP5	RXRA	autocrine|paracrine	0.746320072076936
JAM3	ITGB2	autocrine|paracrine	0.744967076008522
FN1	ITGAV	autocrine|paracrine	0.742939306333039
THBS1	ITGB1	autocrine|paracrine	0.742439711308768
HSP90B1	ERBB2	autocrine|paracrine	0.740719395219403
HLA-C	LILRB2	autocrine|paracrine	0.739621913322655
CD99	PILRA	autocrine|paracrine	0.739362064240171
PLAU	ITGB1	autocrine|paracrine	0.734361706673497
SEMA3A	NRP2	autocrine|paracrine	0.733124853274663
UBA52	TGFBR1	autocrine|paracrine	0.73296591930258
HSPG2	ITGB1	autocrine|paracrine	0.732599725830336
HLA-E	KLRC1	autocrine|paracrine	0.732396467942855
CYR61	ITGB5	autocrine|paracrine	0.732023939874266
HLA-A	LILRB2	autocrine|paracrine	0.730178131078267
PSEN1	CD44	autocrine|paracrine	0.730170496993806
UBC	SMAD3	autocrine|paracrine	0.730085616884803
UBC	RIPK1	autocrine|paracrine	0.725203910323267
TGFB1	ITGB1	autocrine|paracrine	0.724008794809385
CXCL12	CD4	autocrine|paracrine	0.722893212066444
RPS27A	FGFR2	autocrine|paracrine	0.722658423611237
VCAM1	ITGB1	autocrine|paracrine	0.721980962171689
GNAS	PTGDR	autocrine|paracrine	0.721350291989191
PSAP	LRP1	autocrine|paracrine	0.719960532062793
UBA52	NOTCH1	autocrine|paracrine	0.716492010565835
ICAM1	IL2RG	autocrine|paracrine	0.71605457666075
COL6A3	ITGA1	autocrine|paracrine	0.715320579970695
HMGB1	THBD	autocrine|paracrine	0.714977173206087
CYR61	ITGAV	autocrine|paracrine	0.714609831647627
TIMP3	ADAM17	autocrine|paracrine	0.713867383267876
COL4A5	CD47	autocrine|paracrine	0.713607956832738
MFAP2	NOTCH1	autocrine|paracrine	0.712779583214996
APOA4	LDLR	autocrine|paracrine	0.712246966183632
COL4A2	ITGB5	autocrine|paracrine	0.711186003591996
VEGFA	SIRPA	autocrine|paracrine	0.709690144703149
ARF1	INSR	autocrine|paracrine	0.709595752735383
UBB	SMAD3	autocrine|paracrine	0.709337464255931
TNC	ITGB1	autocrine|paracrine	0.709333163445646
DLL1	NOTCH2	autocrine|paracrine	0.708443332157947
HSP90AA1	FGFR3	autocrine|paracrine	0.707643116204889
PTN	SDC3	autocrine|paracrine	0.707355371543738
THBS1	CD36	autocrine|paracrine	0.706483195039017
AGRN	ITGB1	autocrine|paracrine	0.706435219566863
SERPINE1	PLAUR	autocrine|paracrine	0.706327555217369
FN1	ITGA9	autocrine|paracrine	0.704313374348567
UBB	RIPK1	autocrine|paracrine	0.704232524253168
COL9A1	ITGB1	autocrine|paracrine	0.703056450405452
B2M	HFE	autocrine|paracrine	0.70228165311276
JAM3	ITGB1	autocrine|paracrine	0.70209248823963
WNT5A	LDLR	autocrine|paracrine	0.701297929966951
UBA52	ERBB2	autocrine|paracrine	0.70099662803987
PSAP	SORT1	autocrine|paracrine	0.700985934543299
THBS1	CD47	autocrine|paracrine	0.699558670044835
SEMA3A	PLXNA3	autocrine|paracrine	0.697502121613611
SERPINE2	LRP1	autocrine|paracrine	0.695419654976546
COL1A1	DDR2	autocrine|paracrine	0.695343391658558
APP	LRP1	autocrine|paracrine	0.694267104369395
COL4A5	CD93	autocrine|paracrine	0.693052867515734
CALM1	INSR	autocrine|paracrine	0.691779252428144
TFPI	LRP1	autocrine|paracrine	0.688689567953631
DLL1	NOTCH1	autocrine|paracrine	0.687334888650496
CALR	ITGAV	autocrine|paracrine	0.685231012645789
CXCL12	ACKR3	autocrine|paracrine	0.685004626389045
COL3A1	DDR2	autocrine|paracrine	0.684062775508104
CALM2	INSR	autocrine|paracrine	0.683822870457855
JAG1	CD46	autocrine|paracrine	0.68194455132237
LRPAP1	LRP1	autocrine|paracrine	0.680264825154493
COL1A1	DDR1	autocrine|paracrine	0.680065870337257
ICAM1	ITGAX	autocrine|paracrine	0.679698730325999
PTMA	VIPR1	autocrine|paracrine	0.678863423858481
VCAM1	MSN	autocrine|paracrine	0.677997798002485
LAMB1	ITGA6	autocrine|paracrine	0.677700143597996
UBC	FGFR2	autocrine|paracrine	0.676314570621383
GNAI2	IGF1R	autocrine|paracrine	0.67625640136244
TGM2	ITGA4	autocrine|paracrine	0.674499601693274
VEGFA	FLT1	autocrine|paracrine	0.672712289777973
MADCAM1	CD44	autocrine|paracrine	0.672210991157846
NID1	ITGAV	autocrine|paracrine	0.671984655731613
HSP90B1	ASGR1	autocrine|paracrine	0.66979030729021
COL5A1	ITGA1	autocrine|paracrine	0.669298229793085
VEGFA	NRP1	autocrine|paracrine	0.668720548230802
COL3A1	DDR1	autocrine|paracrine	0.668489263898395
SEMA6D	TYROBP	autocrine|paracrine	0.667540917144923
ADAM10	AXL	autocrine|paracrine	0.667105661487859
APP	NCSTN	autocrine|paracrine	0.66674732065426
NPNT	ITGB1	autocrine|paracrine	0.666075594306383
COL4A1	ITGAV	autocrine|paracrine	0.665903231761442
GSTP1	TRAF2	autocrine|paracrine	0.665750698942915
COL18A1	ITGB1	autocrine|paracrine	0.665577573975108
FBN1	ITGA5	autocrine|paracrine	0.66429316465791
LRPAP1	SORL1	autocrine|paracrine	0.663859801016856
VCAM1	ITGB7	autocrine|paracrine	0.663651113774212
HBEGF	CD44	autocrine|paracrine	0.663411486219004
GPC6	LRP1	autocrine|paracrine	0.663091974084247
CALM3	INSR	autocrine|paracrine	0.661586522328754
CALR	HLA-F	autocrine|paracrine	0.661457736195433
COL4A1	ITGA1	autocrine|paracrine	0.661221298612882
COL5A1	SDC3	autocrine|paracrine	0.66042147802662
LRPAP1	SORT1	autocrine|paracrine	0.659871237205468
TGFB1	CAV1	autocrine|paracrine	0.659526086478431
GNAI2	ADCY7	autocrine|paracrine	0.65773715921181
COL5A2	ITGA1	autocrine|paracrine	0.657332742347151
NAMPT	INSR	autocrine|paracrine	0.656981539823288
UBB	FGFR2	autocrine|paracrine	0.653395357507695
PLTP	ABCA1	autocrine|paracrine	0.653256051844633
FN1	ITGA3	autocrine|paracrine	0.652239125782464
GNAS	VIPR1	autocrine|paracrine	0.649267895619893
FN1	IL17RC	autocrine|paracrine	0.648829699946163
A2M	LRP1	autocrine|paracrine	0.647432294905296
ANGPT1	ITGB1	autocrine|paracrine	0.646959009998721
LAMB1	ITGAV	autocrine|paracrine	0.646547904892379
UBA52	SMAD3	autocrine|paracrine	0.646058111915776
APOE	LRP1	autocrine|paracrine	0.645043248151807
ADAM9	ITGB1	autocrine|paracrine	0.645007117622315
LAMA4	ITGA6	autocrine|paracrine	0.644602092584027
CXCL12	SDC4	autocrine|paracrine	0.644350346633102
GNAI2	F2R	autocrine|paracrine	0.643633613859484
HAS2	CD44	autocrine|paracrine	0.642823857824249
LAMB1	ITGA1	autocrine|paracrine	0.641740660333408
FGF2	CD44	autocrine|paracrine	0.641442082158119
VEGFA	ITGAV	autocrine|paracrine	0.641204558476817
LAMA2	RPSA	autocrine|paracrine	0.640567785751366
UBA52	RIPK1	autocrine|paracrine	0.64040519870616
ICAM1	CAV1	autocrine|paracrine	0.639827639944877
THBS1	ITGA4	autocrine|paracrine	0.639674146189025
CALM1	PTPRA	autocrine|paracrine	0.639023916535759
HLA-A	ERBB2	autocrine|paracrine	0.638219842201301
SEMA3A	NRP1	autocrine|paracrine	0.6379677547148
CEL	CXCR4	autocrine|paracrine	0.636654601320122
ARF1	PLD2	autocrine|paracrine	0.635827085374096
SERPINA1	LRP1	autocrine|paracrine	0.63571737658375
APOB	ITGB2	autocrine|paracrine	0.634771913417688
SEMA3F	NRP2	autocrine|paracrine	0.634659024097658
FN1	ITGA8	autocrine|paracrine	0.632726285006099
TGFB1	TGFBR2	autocrine|paracrine	0.629793447257417
P4HB	MTTP	autocrine|paracrine	0.628784697454534
APOE	SORL1	autocrine|paracrine	0.627819783271388
LAMC1	ITGA6	autocrine|paracrine	0.627449673387318
APOB	LDLR	autocrine|paracrine	0.627217040175876
MDK	TSPAN1	autocrine|paracrine	0.624886079165026
LPL	CD44	autocrine|paracrine	0.623525685473687
COL4A6	ITGB1	autocrine|paracrine	0.622846973186138
EDIL3	ITGB5	autocrine|paracrine	0.622698595179495
BGN	TLR4	autocrine|paracrine	0.622211165905399
IL7	IL2RG	autocrine|paracrine	0.621441291956809
GPC3	LRP1	autocrine|paracrine	0.6165379286077
VCAM1	ITGA4	autocrine|paracrine	0.615282321531073
THBS1	LRP1	autocrine|paracrine	0.614172869139843
ICAM1	SPN	autocrine|paracrine	0.614014577115829
HGF	CD44	autocrine|paracrine	0.613336780844491
LAMA4	ITGAV	autocrine|paracrine	0.612081918781611
FBN1	ITGAV	autocrine|paracrine	0.610044622038619
SERPING1	LRP1	autocrine|paracrine	0.609670769042401
MUC2	AGR2	autocrine|paracrine	0.608101468007148
VEGFA	EPHB2	autocrine|paracrine	0.607215200602489
APOC3	LRP1	autocrine|paracrine	0.606860364630196
PROS1	AXL	autocrine|paracrine	0.606721347437484
FYN	SPN	autocrine|paracrine	0.606397877999326
COL7A1	ITGB1	autocrine|paracrine	0.605534418052481
PLAU	LRP1	autocrine|paracrine	0.604216510677358
HSP90AA1	CFTR	autocrine|paracrine	0.602994755215683
HSPG2	LRP1	autocrine|paracrine	0.602059061769327
EDIL3	ITGAV	autocrine|paracrine	0.602042334398
LAMA5	ITGA6	autocrine|paracrine	0.601755890220443
VCL	ITGB5	autocrine|paracrine	0.600802170854766
B2M	KLRD1	autocrine|paracrine	0.600174268994173
