Pericytes	Myofibroblast_Mesothelium	interaction type	LRscore
COL18A1	GPC1	autocrine|paracrine	0.809922969659406
UBB	TGFBR1	autocrine|paracrine	0.809451921803534
PDGFA	PDGFRA	autocrine|paracrine	0.808397414714511
PSAP	LRP1	autocrine|paracrine	0.808298711884315
COL4A1	ITGAV	autocrine|paracrine	0.806796307585234
CTGF	ITGA5	autocrine|paracrine	0.806234647356534
UBA52	LDLR	autocrine|paracrine	0.805169121236293
COL1A1	DDR1	autocrine|paracrine	0.8026869523341
JAG1	CD46	autocrine|paracrine	0.802388908693609
FN1	ITGA8	autocrine|paracrine	0.801119585733738
GNAS	ADCY9	autocrine|paracrine	0.79937714074894
COL5A2	ITGA1	autocrine|paracrine	0.798013187340837
AGRN	LRP1	autocrine|paracrine	0.797528503413389
MFGE8	PDGFRB	autocrine|paracrine	0.79713923305547
CYR61	ITGA5	autocrine|paracrine	0.796250317431
CYR61	ITGB5	autocrine|paracrine	0.794207230462217
LAMC3	ITGB1	autocrine|paracrine	0.793278299027941
LRPAP1	LRP1	autocrine|paracrine	0.792671386552338
GPC6	LRP1	autocrine|paracrine	0.787799360480333
CYR61	ITGAV	autocrine|paracrine	0.78768660470305
MMP2	SDC2	autocrine|paracrine	0.787468785872581
CALM1	PTPRA	autocrine|paracrine	0.787244984350694
COL3A1	DDR1	autocrine|paracrine	0.786903389344961
RPS27A	SMAD3	autocrine|paracrine	0.785999476719905
TGFB1	CAV1	autocrine|paracrine	0.783787415318668
CALM2	PDE1A	autocrine|paracrine	0.783044119658694
TGFB1	ITGB1	autocrine|paracrine	0.782004945256845
COL9A1	ITGB1	autocrine|paracrine	0.780926615638357
PKM	CD44	autocrine|paracrine	0.780908813989637
HSPG2	ITGB1	autocrine|paracrine	0.7805385356172
CALR	ITGAV	autocrine|paracrine	0.779820724032492
ARPC5	LDLR	autocrine|paracrine	0.779503907011233
SERPINA1	LRP1	autocrine|paracrine	0.778296012650963
RPS27A	RIPK1	autocrine|paracrine	0.77824976980895
CALM1	PDE1A	autocrine|paracrine	0.77742327709892
COL5A1	ITGA1	autocrine|paracrine	0.77563416195725
LAMA5	ITGB1	autocrine|paracrine	0.775612617372401
MDK	SDC3	autocrine|paracrine	0.773589461861723
VCAM1	ITGB1	autocrine|paracrine	0.773251080451308
HSP90AA1	FGFR3	autocrine|paracrine	0.772443360675583
ADAM17	ITGB1	autocrine|paracrine	0.770911046974503
UBC	SMAD3	autocrine|paracrine	0.769948996559422
APOE	LRP5	autocrine|paracrine	0.767746024705436
THBS1	LRP1	autocrine|paracrine	0.767360682255361
GNAS	PTGIR	autocrine|paracrine	0.766780694888921
SERPING1	LRP1	autocrine|paracrine	0.766350467257076
HRAS	CAV1	autocrine|paracrine	0.765595021543883
B2M	TFRC	autocrine|paracrine	0.764538576366072
NGF	MAGED1	autocrine|paracrine	0.763940040043519
MDK	ITGA6	autocrine|paracrine	0.763620072905781
PDGFB	PDGFRA	autocrine|paracrine	0.76361872860511
CTGF	LRP6	autocrine|paracrine	0.762560985651468
UBC	RIPK1	autocrine|paracrine	0.761794198057288
TFPI	F3	autocrine|paracrine	0.761771570410375
UBA52	TGFBR2	autocrine|paracrine	0.761614384727913
JAM3	ITGB1	autocrine|paracrine	0.760991700363522
UBA52	FGFR2	autocrine|paracrine	0.759537788808076
UBB	SMAD3	autocrine|paracrine	0.758264726403779
MFGE8	ITGAV	autocrine|paracrine	0.758178415290735
UBA52	ACVR1	autocrine|paracrine	0.75729925227626
APP	NCSTN	autocrine|paracrine	0.755739846669329
MDK	SDC1	autocrine|paracrine	0.752362042131201
CALM2	EGFR	autocrine|paracrine	0.751158473693552
UBB	RIPK1	autocrine|paracrine	0.749830321101264
TGFB3	ITGB1	autocrine|paracrine	0.749761506233331
APOC3	SDC2	autocrine|paracrine	0.748758865215379
HLA-A	ERBB2	autocrine|paracrine	0.748736910335361
GNAI2	EDNRB	autocrine|paracrine	0.747851515376139
APP	CD74	autocrine|paracrine	0.747550684734451
NID1	COL13A1	autocrine|paracrine	0.74727858769858
CALM1	EGFR	autocrine|paracrine	0.744980582360115
FN1	COL13A1	autocrine|paracrine	0.742299537520089
FN1	CD44	autocrine|paracrine	0.742046746729903
COL1A1	ITGA11	autocrine|paracrine	0.740360601704921
CALM3	PDE1A	autocrine|paracrine	0.739262601381905
APOC3	LRP1	autocrine|paracrine	0.73911475508299
UBA52	EGFR	autocrine|paracrine	0.738130723145907
HMGB1	SDC1	autocrine|paracrine	0.736108183483846
JAG1	NOTCH2	autocrine|paracrine	0.735643007592054
UBA52	NOTCH1	autocrine|paracrine	0.735434759224386
SEMA4A	PLXNB2	autocrine|paracrine	0.734468246859843
FN1	IL17RC	autocrine|paracrine	0.733527009400504
PDGFB	LRP1	autocrine|paracrine	0.733423666654462
UBA52	TGFBR1	autocrine|paracrine	0.73304608951565
COL1A2	ITGA11	autocrine|paracrine	0.732267799336453
LAMA3	ITGB1	autocrine|paracrine	0.732255178982471
FN1	ITGA5	autocrine|paracrine	0.731281773864165
LAMC1	ITGA1	autocrine|paracrine	0.731208971406068
MDK	ITGA4	autocrine|paracrine	0.731000398249024
LAMB1	ITGA1	autocrine|paracrine	0.730867455643984
TGFB1	SDC2	autocrine|paracrine	0.729644339564185
GNAI2	UNC5B	autocrine|paracrine	0.729418484706308
COL4A5	ITGB1	autocrine|paracrine	0.729313085758113
NID1	ITGAV	autocrine|paracrine	0.726183846382538
COL16A1	ITGB1	autocrine|paracrine	0.725541874862685
PDAP1	PDGFRB	autocrine|paracrine	0.72553594795914
LRPAP1	LDLR	autocrine|paracrine	0.725121778486215
NECTIN2	NECTIN3	autocrine|paracrine	0.723948288279405
APOE	VLDLR	autocrine|paracrine	0.722751265251719
COL6A1	ITGA6	autocrine|paracrine	0.722650881749358
FN1	ITGAV	autocrine|paracrine	0.720944391483436
JAG1	NOTCH3	autocrine|paracrine	0.72088089244719
GPC3	LRP1	autocrine|paracrine	0.720205969779054
APP	GPC1	autocrine|paracrine	0.719810155865182
ADAM9	ITGB1	autocrine|paracrine	0.719293114262843
EFEMP2	PLSCR4	autocrine|paracrine	0.719241078077576
PTGS2	CAV1	autocrine|paracrine	0.718729991450461
GNAI2	AGTR2	autocrine|paracrine	0.718407904586231
PLAU	ITGB1	autocrine|paracrine	0.718040863320619
HSPG2	LRP1	autocrine|paracrine	0.717806366136129
VEGFC	ITGB1	autocrine|paracrine	0.717282458826694
HSP90B1	ASGR1	autocrine|paracrine	0.716594848973381
LGALS1	CD69	autocrine|paracrine	0.715637348082933
HBEGF	CD9	autocrine|paracrine	0.713993356758395
VCAN	CD44	autocrine|paracrine	0.713738753889103
PDGFA	PDGFRB	autocrine|paracrine	0.713320614061332
ACTR2	LDLR	autocrine|paracrine	0.708933634161312
IGFBP4	FZD8	autocrine|paracrine	0.70889682592714
HRAS	SDC2	autocrine|paracrine	0.708590063959579
GNAI2	IGF1R	autocrine|paracrine	0.707780079124383
ADAM15	ITGB1	autocrine|paracrine	0.707027674380021
FGF7	FGFR4	autocrine|paracrine	0.706606594411926
OLFM2	ROBO2	autocrine|paracrine	0.706334748138205
PTN	SDC3	autocrine|paracrine	0.70519351645026
APOE	SCARB1	autocrine|paracrine	0.703944357367998
ARF1	INSR	autocrine|paracrine	0.703735073931535
CALM3	EGFR	autocrine|paracrine	0.703379870583957
VCL	ITGB5	autocrine|paracrine	0.703046401726124
CALM2	INSR	autocrine|paracrine	0.700811724353045
SLIT3	ROBO2	autocrine|paracrine	0.700555019185373
JAG1	NOTCH1	autocrine|paracrine	0.699994842072913
TIMP3	AGTR2	autocrine|paracrine	0.699844449885597
COL5A2	DDR1	autocrine|paracrine	0.698675337547841
MDK	SDC4	autocrine|paracrine	0.697148382011278
RTN4	RTN4R	autocrine|paracrine	0.695353010022625
GNAI2	EGFR	autocrine|paracrine	0.694319870364513
VEGFA	GPC1	autocrine|paracrine	0.694174483458235
CALM1	INSR	autocrine|paracrine	0.693893260196902
DCN	EGFR	autocrine|paracrine	0.693369819148674
SERPINE1	LRP1	autocrine|paracrine	0.690596998540081
NTF3	NTRK3	autocrine|paracrine	0.690323164677167
SPTAN1	PTPRA	autocrine|paracrine	0.689462786086925
VEGFA	ITGAV	autocrine|paracrine	0.688264601974073
FYN	THY1	autocrine|paracrine	0.687987313573857
FN1	PLAUR	autocrine|paracrine	0.687491117820166
IGFBP4	LRP6	autocrine|paracrine	0.686294264155609
FGF7	FGFR1	autocrine|paracrine	0.685253422753175
TLN1	ITGB5	autocrine|paracrine	0.684002622078503
RTN4	LINGO1	autocrine|paracrine	0.683567074060395
HGF	ITGB1	autocrine|paracrine	0.683348439650099
CALM2	CACNA1C	autocrine|paracrine	0.682661857732203
LAMC1	ITGAV	autocrine|paracrine	0.681270520932839
LAMB1	ITGAV	autocrine|paracrine	0.680893245419803
TGM2	ITGB1	autocrine|paracrine	0.680881348842942
PTN	SDC1	autocrine|paracrine	0.680204441051605
BMP2	ENG	autocrine|paracrine	0.679237788337602
CALM1	FAS	autocrine|paracrine	0.678438866763267
THBS1	CD47	autocrine|paracrine	0.677017942594005
MFAP2	NOTCH1	autocrine|paracrine	0.676758366746345
CALM1	CACNA1C	autocrine|paracrine	0.675518018572114
GDF11	BMPR2	autocrine|paracrine	0.675128731956623
LAMA4	ITGAV	autocrine|paracrine	0.674225494090674
LAMA3	SDC2	autocrine|paracrine	0.672942713572822
FBN1	ITGA5	autocrine|paracrine	0.671385830775643
BST1	CAV1	autocrine|paracrine	0.671070352589328
TNC	ITGB1	autocrine|paracrine	0.67104163685418
UBA52	SMAD3	autocrine|paracrine	0.669708969640924
MDK	TSPAN1	autocrine|paracrine	0.669167734194555
GNAI2	EDNRA	autocrine|paracrine	0.667722958966423
ARF1	PLD2	autocrine|paracrine	0.667513802153254
COL7A1	ITGB1	autocrine|paracrine	0.665356778886373
COL14A1	CD44	autocrine|paracrine	0.665333664974699
SEMA4A	PLXND1	autocrine|paracrine	0.664203971332845
SEMA4A	PLXND1	autocrine|paracrine	0.664203971332845
BMP2	BMPR2	autocrine|paracrine	0.663129845327974
GSTP1	TRAF2	autocrine|paracrine	0.662380018584616
APOC3	LDLR	autocrine|paracrine	0.661565919238829
APOA4	LRP1	autocrine|paracrine	0.660206403092726
FBN1	ITGAV	autocrine|paracrine	0.659816162041231
UBA52	RIPK1	autocrine|paracrine	0.659571947434605
NID1	PTPRF	autocrine|paracrine	0.659424624085821
TGFB1	ENG	autocrine|paracrine	0.658079073041433
COL5A1	SDC3	autocrine|paracrine	0.65785982645677
GAS6	AXL	autocrine|paracrine	0.657108205261184
LTBP3	ITGB5	autocrine|paracrine	0.656687190499228
VCAN	EGFR	autocrine|paracrine	0.656037932251022
PDGFB	PDGFRB	autocrine|paracrine	0.655783221528705
GNAI2	ADCY9	autocrine|paracrine	0.655780211499879
VEGFA	TYRO3	autocrine|paracrine	0.655677693476957
RGMA	BMPR2	autocrine|paracrine	0.65506207545468
CALM2	ABCA1	autocrine|paracrine	0.653904495366483
VEGFA	EGFR	autocrine|paracrine	0.652846867950582
ADM	RAMP2	autocrine|paracrine	0.652613977597325
TGFB1	TGFBR3	autocrine|paracrine	0.652161243422064
ANOS1	SDC2	autocrine|paracrine	0.651738695682211
ANGPT1	ITGA5	autocrine|paracrine	0.651359512281068
ICAM1	EGFR	autocrine|paracrine	0.651324374222054
HLA-C	DDR1	autocrine|paracrine	0.651060376309029
CALM2	PDE1C	autocrine|paracrine	0.650647514154687
THBS2	ITGB1	autocrine|paracrine	0.650539694379448
GNAI2	S1PR3	autocrine|paracrine	0.650102788375261
F10	F3	autocrine|paracrine	0.648771528133469
NID2	COL13A1	autocrine|paracrine	0.648430281238467
CALM3	INSR	autocrine|paracrine	0.647897601733658
FGF7	FGFR2	autocrine|paracrine	0.647749420037233
GNAS	ADCY7	autocrine|paracrine	0.647496271964173
GAS6	TYRO3	autocrine|paracrine	0.647183773271461
CALM1	ABCA1	autocrine|paracrine	0.646448555731958
LPL	LRP1	autocrine|paracrine	0.645778521284689
PLAU	LRP1	autocrine|paracrine	0.645556375374665
COL1A1	CD36	autocrine|paracrine	0.64540766188104
APOB	LRP1	autocrine|paracrine	0.645203965697785
FN1	ITGA9	autocrine|paracrine	0.643836641831415
CALM1	PDE1C	autocrine|paracrine	0.64315969897187
COL4A1	ITGB8	autocrine|paracrine	0.642664000211954
AGRN	LRP4	autocrine|paracrine	0.642523126275422
SEMA4C	PLXNB2	autocrine|paracrine	0.642041154340167
BMP5	BMPR2	autocrine|paracrine	0.641650438192562
HBEGF	ERBB2	autocrine|paracrine	0.641112178148837
TFPI	VLDLR	autocrine|paracrine	0.641102377926124
CXCL12	CD4	autocrine|paracrine	0.640702999423248
NGF	KIDINS220	autocrine|paracrine	0.638779704972622
VCAM1	MSN	autocrine|paracrine	0.638033431251863
ARTN	GFRA1	autocrine|paracrine	0.636902525235328
COL1A2	CD36	autocrine|paracrine	0.635811095894042
RGMA	NEO1	autocrine|paracrine	0.635584658085399
CALM1	GLP2R	autocrine|paracrine	0.635072879232584
APOE	SORL1	autocrine|paracrine	0.633984920714906
FN1	ITGA6	autocrine|paracrine	0.633580017212573
VEGFA	NRP1	autocrine|paracrine	0.633138172952937
PGF	NRP1	autocrine|paracrine	0.633085372946247
EFEMP2	LINGO1	autocrine|paracrine	0.632334563587879
DUSP18	RPSA	autocrine|paracrine	0.632017847342885
CXCL12	CXCR4	autocrine|paracrine	0.63185294807248
MDK	GPC2	autocrine|paracrine	0.631734127271303
EFEMP1	EGFR	autocrine|paracrine	0.631418194826174
VEGFB	TYRO3	autocrine|paracrine	0.630763787750268
ICAM4	ITGB1	autocrine|paracrine	0.628856040770167
PRSS23	TMEM222	autocrine|paracrine	0.628296759708314
P4HB	MTTP	autocrine|paracrine	0.62521830105123
VCAM1	EZR	autocrine|paracrine	0.624868135229777
EFNB1	ERBB2	autocrine|paracrine	0.624673780261028
FGB	ITGB1	autocrine|paracrine	0.623542164047069
VEGFA	EPHB2	autocrine|paracrine	0.622054477913996
LAMA5	BCAM	autocrine|paracrine	0.62027402491286
GNAS	PTGDR	autocrine|paracrine	0.620091909132443
HGF	SDC2	autocrine|paracrine	0.618841308127443
TGFB3	ENG	autocrine|paracrine	0.616495018707789
EDIL3	ITGB5	autocrine|paracrine	0.614045640702836
THBS1	LRP5	autocrine|paracrine	0.613811367629202
TIMP3	ADAM17	autocrine|paracrine	0.612542448181154
COL5A3	SDC3	autocrine|paracrine	0.610491778130082
HSPG2	COL13A1	autocrine|paracrine	0.61042883750171
TGFB3	TGFBR3	autocrine|paracrine	0.610283689309976
HMGB1	THBD	autocrine|paracrine	0.608158319297311
VEGFB	NRP1	autocrine|paracrine	0.607569488361367
VEGFA	ITGA9	autocrine|paracrine	0.607048672772514
BMP4	BMPR2	autocrine|paracrine	0.606463463914023
PSEN1	NCSTN	autocrine|paracrine	0.605924508553713
EDIL3	ITGAV	autocrine|paracrine	0.604658106470461
PDGFB	ITGAV	autocrine|paracrine	0.603188331439067
GPI	AMFR	autocrine|paracrine	0.602303040306087
CLCF1	IL6ST	autocrine|paracrine	0.601822886687774
HBEGF	CD44	autocrine|paracrine	0.601314089279845
VTN	ITGB1	autocrine|paracrine	0.601037491916959
FGF7	NRP1	autocrine|paracrine	0.600947908586424
EFNB2	EPHB3	autocrine|paracrine	0.600767426022633
