Endothelial	Epithelial	interaction type	LRscore
LAMB1	ITGA3	autocrine|paracrine	0.692547545744803
SERPINA1	LRP1	autocrine|paracrine	0.692127491004155
SEMA4C	PLXNB2	autocrine|paracrine	0.69168186195256
LAMB2	ITGA3	autocrine|paracrine	0.689388561468261
COL6A1	ITGA2	autocrine|paracrine	0.689103727817617
RTN4	GJB2	autocrine|paracrine	0.689101126639321
LAMB1	ITGB4	autocrine|paracrine	0.688532003301464
HBEGF	EGFR	autocrine|paracrine	0.68730488189558
LAMC1	ITGA3	autocrine|paracrine	0.687187129368274
PTN	PLXNB2	autocrine|paracrine	0.686168075858682
FBN1	ITGAV	autocrine|paracrine	0.685610032457215
UBC	TGFBR1	autocrine|paracrine	0.685425651240535
LAMB2	ITGB4	autocrine|paracrine	0.685350505744607
GNAS	ADCY7	autocrine|paracrine	0.685243189125413
SEMA4A	PLXNB2	autocrine|paracrine	0.685005516150966
UBB	FGFR2	autocrine|paracrine	0.684943359192001
HLA-E	SLC16A4	autocrine|paracrine	0.684835825997474
APOE	LRP1	autocrine|paracrine	0.683370874075679
LAMC1	ITGB4	autocrine|paracrine	0.683133608705711
CALM3	EGFR	autocrine|paracrine	0.682637811719516
PDGFB	LRP1	autocrine|paracrine	0.681455574077729
CALM1	KCNQ1	autocrine|paracrine	0.681306836097195
TGFB1	CAV1	autocrine|paracrine	0.681231015334136
TIMP3	ADAM17	autocrine|paracrine	0.681088507275572
AREG	ERBB3	autocrine|paracrine	0.681040672994412
LAMB1	ITGA2	autocrine|paracrine	0.680594827986952
PLAU	ITGB1	autocrine|paracrine	0.6797911209645
SEMA4A	PLXNB1	autocrine|paracrine	0.679426833058843
LAMB1	ITGAV	autocrine|paracrine	0.678582374366168
APOC3	LRP1	autocrine|paracrine	0.677454505041952
CALM1	ABCA1	autocrine|paracrine	0.677040035560157
CALM1	SCTR	autocrine|paracrine	0.67682151910103
LAMC1	ITGA2	autocrine|paracrine	0.675123775375772
DUSP18	RPSA	autocrine|paracrine	0.67426863845874
SERPINE1	PLAUR	autocrine|paracrine	0.673723334139443
SERPING1	LRP1	autocrine|paracrine	0.673573032349407
PSAP	SORT1	autocrine|paracrine	0.673487196468937
LAMC1	ITGAV	autocrine|paracrine	0.673093407993078
PLAT	LRP1	autocrine|paracrine	0.673060858159394
VEGFA	ITGB1	autocrine|paracrine	0.671841674091561
COL16A1	ITGB1	autocrine|paracrine	0.671515544993681
DLL4	NOTCH1	autocrine|paracrine	0.671121294926812
EFNB2	EPHB3	autocrine|paracrine	0.668558279492296
GSTP1	TRAF2	autocrine|paracrine	0.668129587050179
SPINT1	ST14	autocrine|paracrine	0.668054634086173
APOE	LRP5	autocrine|paracrine	0.665936910477135
JAG2	NOTCH1	autocrine|paracrine	0.665907004427048
TFPI	SDC4	autocrine|paracrine	0.665851604200423
APOB	LDLR	autocrine|paracrine	0.66309028173597
RPS27A	LRP2	autocrine|paracrine	0.662498376914235
GNAI2	UNC5B	autocrine|paracrine	0.66203761294921
IGFBP4	FZD8	autocrine|paracrine	0.6616109329775
TNFSF10	TNFRSF11B	autocrine|paracrine	0.66047489590214
TGFB1	TGFBR2	autocrine|paracrine	0.659952989051114
MDK	SDC3	autocrine|paracrine	0.659812271239129
COL1A2	ITGA1	autocrine|paracrine	0.659646142341828
CYR61	ITGB5	autocrine|paracrine	0.658111236976273
COL1A1	ITGA1	autocrine|paracrine	0.657657168263204
RTN4	RTN4R	autocrine|paracrine	0.65702376398954
TGFB1	SDC2	autocrine|paracrine	0.656840469453262
UBB	TGFBR1	autocrine|paracrine	0.65629522814889
APOB	LSR	autocrine|paracrine	0.655374420758057
LAMA4	ITGA3	autocrine|paracrine	0.654900892427682
CTHRC1	FZD5	autocrine|paracrine	0.654698169200784
CYR61	ITGAV	autocrine|paracrine	0.654613750981696
FN1	CD44	autocrine|paracrine	0.653754310429267
THBS1	LRP1	autocrine|paracrine	0.652778166932406
THBS1	ITGA6	autocrine|paracrine	0.652422863266092
NID1	ITGA3	autocrine|paracrine	0.652224636615458
HSPG2	LRP2	autocrine|paracrine	0.652031159848617
TIMP2	ITGA3	autocrine|paracrine	0.65145790525251
RPS27A	ADRB2	autocrine|paracrine	0.650020297159516
JAG1	NOTCH1	autocrine|paracrine	0.647774778938635
TGM2	SDC4	autocrine|paracrine	0.646957875459725
UBA52	RIPK1	autocrine|paracrine	0.646649731441349
TGM2	ADGRG1	autocrine|paracrine	0.646523279454481
UBC	LRP2	autocrine|paracrine	0.64396486973124
LAMA5	ITGA3	autocrine|paracrine	0.642656082358587
SERPINE2	LRP1	autocrine|paracrine	0.640934206945981
LAMA4	ITGAV	autocrine|paracrine	0.640114333487069
EFNB2	PECAM1	autocrine|paracrine	0.63834957265069
LAMA5	ITGB4	autocrine|paracrine	0.638329218372199
COL3A1	DDR2	autocrine|paracrine	0.637810203830477
NID1	ITGAV	autocrine|paracrine	0.637386899357842
FN1	NT5E	autocrine|paracrine	0.636295659831854
RARRES2	CCRL2	autocrine|paracrine	0.63627429081663
CD55	ADGRE5	autocrine|paracrine	0.635540307762252
TGFB1	ITGB5	autocrine|paracrine	0.635466081899461
THBS1	LRP5	autocrine|paracrine	0.634560520862716
DCN	EGFR	autocrine|paracrine	0.63406811377105
LAMA5	SDC1	autocrine|paracrine	0.633821522419898
APOB	MTTP	autocrine|paracrine	0.633459343566958
TGFB1	ITGAV	autocrine|paracrine	0.631866522679011
UBC	ADRB2	autocrine|paracrine	0.63118303657833
LTBP3	ITGB5	autocrine|paracrine	0.630630047874934
VCAM1	EZR	autocrine|paracrine	0.630549192899055
LAMA5	ITGA2	autocrine|paracrine	0.629800566825765
RPS19	C5AR1	autocrine|paracrine	0.629735846462108
APOE	SCARB1	autocrine|paracrine	0.629323920610964
FYN	THY1	autocrine|paracrine	0.626000684545526
COL1A1	DDR2	autocrine|paracrine	0.625383007048837
GNAI2	ADCY9	autocrine|paracrine	0.623821248963291
THBS1	SDC4	autocrine|paracrine	0.623688942922271
DLL1	NOTCH1	autocrine|paracrine	0.623370741589441
PSEN1	NCSTN	autocrine|paracrine	0.622336965639067
HSPA8	LRP2	autocrine|paracrine	0.621744728727074
ADM	VIPR1	autocrine|paracrine	0.621572168178509
COL6A1	ITGA1	autocrine|paracrine	0.620840111127226
LGALS8	ITGA3	autocrine|paracrine	0.620144629961899
MADCAM1	CD44	autocrine|paracrine	0.619119766055501
PLAU	LRP1	autocrine|paracrine	0.617827403334194
UBA52	ACVR1	autocrine|paracrine	0.617679793078889
COL18A1	GPC4	autocrine|paracrine	0.617309875508432
DLL4	NOTCH2	autocrine|paracrine	0.616432680525625
CDH1	ERBB3	autocrine|paracrine	0.615002218374862
ADAM10	NOTCH1	autocrine|paracrine	0.61458180116637
TLN1	ITGB5	autocrine|paracrine	0.614063292382147
UBB	LRP2	autocrine|paracrine	0.613161922683817
UBA52	FGFR2	autocrine|paracrine	0.613005814584632
TGFB3	ITGB1	autocrine|paracrine	0.612272118553663
LAMB1	ITGA1	autocrine|paracrine	0.611516168690257
JAG2	NOTCH2	autocrine|paracrine	0.610854083828953
COL4A5	ITGB1	autocrine|paracrine	0.610026880819842
HSPG2	COL13A1	autocrine|paracrine	0.609168939930101
APOC3	SDC2	autocrine|paracrine	0.608769807609524
HSPA8	ADRB2	autocrine|paracrine	0.608649968036651
NPNT	ITGB1	autocrine|paracrine	0.60835712342382
ADM	RAMP2	autocrine|paracrine	0.607702717132348
ADAM9	ITGB1	autocrine|paracrine	0.607201620892501
CALM2	KCNQ1	autocrine|paracrine	0.606561979928798
LAMC1	ITGA1	autocrine|paracrine	0.605547646496881
COL1A2	CD44	autocrine|paracrine	0.605046554770968
TGFB1	SMAD3	autocrine|paracrine	0.60492014275573
PLAU	IGF2R	autocrine|paracrine	0.604316010788041
LGALS3BP	ITGB1	autocrine|paracrine	0.603724880187326
FN1	ITGA5	autocrine|paracrine	0.603527699850539
APOA4	LRP1	autocrine|paracrine	0.603402407802465
COL1A1	CD44	autocrine|paracrine	0.602930572132702
MFAP2	NOTCH1	autocrine|paracrine	0.602533363975752
HRAS	INSR	autocrine|paracrine	0.602525478896844
GAS6	TYRO3	autocrine|paracrine	0.602513312486688
GNAI2	ADCY7	autocrine|paracrine	0.601990311650019
CALM2	ABCA1	autocrine|paracrine	0.60187923043595
GUCA2A	GUCY2C	autocrine|paracrine	0.601337680059782
THBS1	CD47	autocrine|paracrine	0.600675804022556
THBS1	TNFRSF11B	autocrine|paracrine	0.600222206500252
