Epithelial	Fibroblasts	interaction type	LRscore
COL1A1	CD44	autocrine|paracrine	0.704909881749195
SCT	PTH1R	autocrine|paracrine	0.704803160185652
COL4A1	ITGB1	autocrine|paracrine	0.704777907137388
SEMA3B	NRP1	autocrine|paracrine	0.70442769008434
UBA52	FGFR2	autocrine|paracrine	0.704347500620846
APOB	LRP6	autocrine|paracrine	0.704157849255258
COL1A2	ITGAV	autocrine|paracrine	0.703871957028236
APP	GPC1	autocrine|paracrine	0.703784541340054
APOE	LRP5	autocrine|paracrine	0.703049188089271
HLA-B	CANX	autocrine|paracrine	0.701782267974258
UBC	RIPK1	autocrine|paracrine	0.701219458838936
EDN1	EDNRB	autocrine|paracrine	0.701050173486244
CALM1	PDE1A	autocrine|paracrine	0.699028763655457
VEGFA	TYRO3	autocrine|paracrine	0.698498248376301
GPC6	LRP1	autocrine|paracrine	0.696024484091445
APOA2	LRP1	autocrine|paracrine	0.695045274362173
MFGE8	PDGFRB	autocrine|paracrine	0.692678297964679
ARF1	INSR	autocrine|paracrine	0.691679435180505
COL1A2	CD44	autocrine|paracrine	0.691094471756431
RTN4	NGFR	autocrine|paracrine	0.690245530134823
APP	NCSTN	autocrine|paracrine	0.689477429887734
VEGFA	NRP2	autocrine|paracrine	0.688404835821
UBA52	SMAD3	autocrine|paracrine	0.686972604365145
CLCF1	CNTFR	autocrine|paracrine	0.686017647458329
PDAP1	PDGFRB	autocrine|paracrine	0.684871921496936
ACTR2	LDLR	autocrine|paracrine	0.684774606484717
VEGFA	ITGAV	autocrine|paracrine	0.684753811518418
CALM2	INSR	autocrine|paracrine	0.68460435299048
COL18A1	ITGB1	autocrine|paracrine	0.682277469433403
FN1	ITGA8	autocrine|paracrine	0.681973148565223
EFNB2	EPHB3	autocrine|paracrine	0.679855355592867
AREG	ERBB3	autocrine|paracrine	0.679717535438968
COL1A1	ITGA1	autocrine|paracrine	0.676398665042564
DUSP18	RPSA	autocrine|paracrine	0.676116333653367
UBA52	TGFBR1	autocrine|paracrine	0.676031950089852
ARPC5	LDLR	autocrine|paracrine	0.676026553831819
FABP5	RXRA	autocrine|paracrine	0.67562397870573
SEMA4G	PLXNB2	autocrine|paracrine	0.675530142737643
RPS27A	ADRB2	autocrine|paracrine	0.673704139356298
UBA52	ACVR1	autocrine|paracrine	0.672896577570649
PSEN1	NOTCH3	autocrine|paracrine	0.672550868453242
SEMA3B	NRP2	autocrine|paracrine	0.671987487971197
CALM2	PDE1A	autocrine|paracrine	0.671964711974608
CDH1	IGF1R	autocrine|paracrine	0.671499093362878
UBC	ADRB2	autocrine|paracrine	0.669065233151677
CDH1	LRP5	autocrine|paracrine	0.668798885472507
EDN1	ADGRL4	autocrine|paracrine	0.668157841301477
GNAS	ADRB3	autocrine|paracrine	0.6678401470081
FBN1	ITGB1	autocrine|paracrine	0.666233119461565
RTN4	LINGO1	autocrine|paracrine	0.663905926293539
C3	LRP1	autocrine|paracrine	0.663777306863267
SHBG	CLDN4	autocrine|paracrine	0.662837845084186
APOB	LSR	autocrine|paracrine	0.662680920742575
PKM	CD44	autocrine|paracrine	0.662324954515582
P4HB	MTTP	autocrine|paracrine	0.662015878528363
COL1A2	ITGA1	autocrine|paracrine	0.661888680464461
BMP2	BMPR1A	autocrine|paracrine	0.660805357771613
COL1A1	DDR1	autocrine|paracrine	0.66030995676864
ADAM17	ITGB1	autocrine|paracrine	0.660163101124036
IHH	PTCH1	autocrine|paracrine	0.659801571828113
HSP90AA1	EGFR	autocrine|paracrine	0.659718922857563
BMP2	ACVR1	autocrine|paracrine	0.658924479837153
CYR61	ITGAV	autocrine|paracrine	0.658877025915462
HLA-C	DDR1	autocrine|paracrine	0.658748200420544
EFNA1	EPHA2	autocrine|paracrine	0.658675617249931
MFAP2	NOTCH1	autocrine|paracrine	0.658186407876032
VEGFA	SIRPA	autocrine|paracrine	0.657332693062738
ADM	PTH1R	autocrine|paracrine	0.657293302328483
PSEN1	NOTCH2	autocrine|paracrine	0.657245190975641
FN1	ITGAV	autocrine|paracrine	0.656984045631568
GSTP1	TRAF2	autocrine|paracrine	0.656954813731077
COL3A1	DDR1	autocrine|paracrine	0.65687629073038
PLAU	ITGB1	autocrine|paracrine	0.656509167809717
CDH1	PTPRF	autocrine|paracrine	0.656165603533621
FN1	IL17RC	autocrine|paracrine	0.655917947866972
APOE	VLDLR	autocrine|paracrine	0.655052425497204
CLCF1	IL6ST	autocrine|paracrine	0.654998653583752
COL6A1	ITGA1	autocrine|paracrine	0.654505921544571
JAG1	CD46	autocrine|paracrine	0.654228535440596
CYR61	ITGA5	autocrine|paracrine	0.654100604683358
FN1	PLAUR	autocrine|paracrine	0.654032231163889
NID1	ITGB1	autocrine|paracrine	0.653011436245764
FGA	ITGB1	autocrine|paracrine	0.652227274016278
FN1	ITGA5	autocrine|paracrine	0.652195110447353
APOB	VLDLR	autocrine|paracrine	0.651768853071928
PSEN1	NCSTN	autocrine|paracrine	0.651704530113072
NAMPT	INSR	autocrine|paracrine	0.651521168861191
GPC3	IGF1R	autocrine|paracrine	0.650777240484117
CDH1	ERBB3	autocrine|paracrine	0.650271076256361
MDK	SDC3	autocrine|paracrine	0.649944503640916
PTN	PLXNB2	autocrine|paracrine	0.647528382507742
A2M	LRP1	autocrine|paracrine	0.646918344554496
FN1	CD44	autocrine|paracrine	0.64320894347052
CALM3	INSR	autocrine|paracrine	0.642612219706361
P4HB	GPR162	autocrine|paracrine	0.642392341571245
EFNB2	EPHB4	autocrine|paracrine	0.639499957304474
JAG1	NOTCH3	autocrine|paracrine	0.63934237221949
ICAM1	CAV1	autocrine|paracrine	0.638782218838481
CTGF	ITGA5	autocrine|paracrine	0.63790530507252
LIPH	LPAR4	autocrine|paracrine	0.636336612542903
MMP2	SDC2	autocrine|paracrine	0.634463592185656
TNFSF10	TNFRSF10D	autocrine|paracrine	0.633368289305205
COL7A1	ITGB1	autocrine|paracrine	0.632842757578153
CDH1	PTPRM	autocrine|paracrine	0.632676283711404
APOA2	LDLR	autocrine|paracrine	0.630150979889828
CALM3	PDE1A	autocrine|paracrine	0.629201199444167
UBB	RIPK1	autocrine|paracrine	0.627438389183741
APOB	MTTP	autocrine|paracrine	0.627268855833865
VEGFB	NRP1	autocrine|paracrine	0.625380297908422
VEGFA	EPHB2	autocrine|paracrine	0.624216465522295
CTGF	LRP6	autocrine|paracrine	0.623874145181686
JAG1	NOTCH2	autocrine|paracrine	0.623353751624007
PLAT	LRP1	autocrine|paracrine	0.623209391177229
GNAI2	IGF1R	autocrine|paracrine	0.621192115107416
CGN	TGFBR2	autocrine|paracrine	0.619927093055405
SCT	VIPR2	autocrine|paracrine	0.619870657687522
PSEN1	NOTCH1	autocrine|paracrine	0.619413120876864
COL9A2	ITGB1	autocrine|paracrine	0.619150427616758
HMGB1	SDC1	autocrine|paracrine	0.619019261569917
GNAS	ADCY7	autocrine|paracrine	0.615134201148378
ARF1	PLD2	autocrine|paracrine	0.615128405681039
LGALS3BP	VANGL1	autocrine|paracrine	0.61485913435547
RTN4	TNFRSF19	autocrine|paracrine	0.612847094617818
PLAU	MRC2	autocrine|paracrine	0.611313486396097
EFNA1	EPHA7	autocrine|paracrine	0.610363557461748
SPINT1	ST14	autocrine|paracrine	0.609968136791224
DUSP18	ITGB1	autocrine|paracrine	0.609634143372763
GNAI2	EDNRA	autocrine|paracrine	0.609217325604676
SPINK1	EGFR	autocrine|paracrine	0.608498237429311
CD55	ADGRE5	autocrine|paracrine	0.607783013783488
RTN4	CNTNAP1	autocrine|paracrine	0.606669367878847
PLAU	LRP1	autocrine|paracrine	0.606043039668712
CALM1	ABCA1	autocrine|paracrine	0.605529409878578
LIPH	LPAR1	autocrine|paracrine	0.604546890826216
CYR61	ITGB5	autocrine|paracrine	0.603088148773015
FGB	ITGAV	autocrine|paracrine	0.602645021129716
GAS6	TYRO3	autocrine|paracrine	0.601990685981972
LAMA4	ITGB1	autocrine|paracrine	0.601971510307375
VEGFB	TYRO3	autocrine|paracrine	0.600763866219948
LRPAP1	VLDLR	autocrine|paracrine	0.600678044468107
HBEGF	CD9	autocrine|paracrine	0.600289214652869
PSEN1	CD44	autocrine|paracrine	0.600142922190917
