Endothelial	Endothelial	interaction type	LRscore
CXCL12	ITGB1	autocrine	0.86801680233263
IGFBP4	LRP6	autocrine	0.866961001764054
COL1A1	ITGA5	autocrine	0.866554067380746
COL18A1	ITGA5	autocrine	0.864969516700821
GNAI2	UNC5B	autocrine	0.862092178941825
COL4A1	ITGA2	autocrine	0.861746133339566
COL6A1	ITGA6	autocrine	0.860571136714937
ADM	RAMP2	autocrine	0.857715844400089
GNAI2	IGF1R	autocrine	0.856479060492782
COL6A2	ITGA2	autocrine	0.856137269700222
FN1	ITGA2	autocrine	0.855978200868782
LAMB1	ITGA6	autocrine	0.855772913199663
GNAI2	F2R	autocrine	0.855158647139017
EFNB2	EPHB4	autocrine	0.852942753578786
LAMC1	ITGA6	autocrine	0.85265284117653
COL5A1	ITGB1	autocrine	0.852296785575433
LAMA4	ITGB1	autocrine	0.851873517029327
TGFB1	ENG	autocrine	0.851540345413955
NID1	ITGB1	autocrine	0.850375798540899
RPS27A	SMAD3	autocrine	0.85024476240882
TIMP2	ITGB1	autocrine	0.849945419671635
FN1	FLT4	autocrine	0.847640754700375
TGFB1	ITGB1	autocrine	0.847321230457699
FABP5	RXRA	autocrine	0.847143780924865
FBN1	ITGA5	autocrine	0.846063874145716
LAMA5	ITGB1	autocrine	0.844963166404904
CALM1	INSR	autocrine	0.844743458243597
LAMA5	BCAM	autocrine	0.843005835107454
DLL4	NOTCH4	autocrine	0.842985528507284
COL4A1	ITGA1	autocrine	0.842563341695988
JAG2	NOTCH4	autocrine	0.839845850227899
UBC	SMAD3	autocrine	0.839523779795029
ACTR2	LDLR	autocrine	0.83913514279621
DLL4	NOTCH1	autocrine	0.837997594810481
TGFB1	TGFBR2	autocrine	0.83735723956695
COL6A2	ITGA1	autocrine	0.836324059256986
BSG	SELE	autocrine	0.835877355358318
PRND	RPSA	autocrine	0.835687178043329
RPS27A	TGFBR1	autocrine	0.835236354012788
SEMA4A	PLXND1	autocrine	0.834943220875747
SEMA4A	PLXND1	autocrine	0.834943220875747
JAG2	NOTCH1	autocrine	0.834777725824749
COL3A1	ITGA2	autocrine	0.834491555014699
HSPG2	CHRM3	autocrine	0.833861691927983
COL5A2	ITGB1	autocrine	0.833832944669543
LAMA4	ITGA6	autocrine	0.833301931393611
CALR	SCARF1	autocrine	0.832904540799159
ANXA1	DYSF	autocrine	0.832230148065997
EFNA1	EPHA2	autocrine	0.832172662590073
BMP2	ENG	autocrine	0.832039687304857
GNAI2	S1PR1	autocrine	0.830483766389269
CALM1	PTPRA	autocrine	0.828747447515872
JAG1	NOTCH4	autocrine	0.828725749145842
CALM2	MYLK	autocrine	0.828257442661118
COL1A2	ITGA2	autocrine	0.828244258010229
ARPC5	LDLR	autocrine	0.827456227112612
FBLN1	ITGB1	autocrine	0.827200108102719
COL1A1	ITGA2	autocrine	0.826982121664331
CYR61	ITGA5	autocrine	0.826892838434708
LAMA5	ITGA6	autocrine	0.825702453815988
UBC	TGFBR1	autocrine	0.823663754658498
JAG1	NOTCH1	autocrine	0.823379730535733
ICAM4	ITGB1	autocrine	0.822909855946616
CTGF	ITGA5	autocrine	0.822495924875622
UBB	SMAD3	autocrine	0.820935300705768
HRAS	CAV1	autocrine	0.820537462073554
COL9A3	ITGB1	autocrine	0.819382468931517
TNFSF10	TNFRSF10D	autocrine	0.818677056497937
COL1A2	FLT4	autocrine	0.818641455884584
HSP90B1	ASGR1	autocrine	0.818160682066803
COL1A1	FLT4	autocrine	0.817324317734352
TGM2	ITGB1	autocrine	0.817018322632715
HBEGF	CD9	autocrine	0.816385896215997
RPS27A	RIPK1	autocrine	0.813720540567923
TGFB1	ACVRL1	autocrine	0.813363418773881
DLL1	NOTCH4	autocrine	0.813244429071689
ARF1	INSR	autocrine	0.812487972701376
COL4A1	CD47	autocrine	0.811896597312494
COL4A1	ITGAV	autocrine	0.811204516851193
VEGFC	ITGB1	autocrine	0.810752339742091
CALM3	MYLK	autocrine	0.809397996026643
LRPAP1	LDLR	autocrine	0.808918828584927
ADAM17	ITGB1	autocrine	0.808393109568093
NAMPT	INSR	autocrine	0.808344154626154
DLL1	NOTCH1	autocrine	0.807527417642616
VCAN	ITGB1	autocrine	0.806537277460974
HSPG2	COL13A1	autocrine	0.806016506522084
COL1A2	ITGA1	autocrine	0.805462432681907
COL1A1	ITGA1	autocrine	0.8040724878248
JAM3	ITGB1	autocrine	0.804031840172792
FN1	ITGAV	autocrine	0.803808053174529
UBB	TGFBR1	autocrine	0.803667788601375
COL6A1	ITGA2	autocrine	0.802917987818335
COL6A3	ITGB1	autocrine	0.802498116876406
VEGFC	FLT1	autocrine	0.802210029554484
ADAM10	NOTCH1	autocrine	0.801668646399709
THBS1	ITGB1	autocrine	0.801519329267026
ADM	CALCRL	autocrine	0.801148929330489
UBC	RIPK1	autocrine	0.800996785186496
EDN1	ADGRL4	autocrine	0.800916865882407
GPC3	CD81	autocrine	0.800735355618657
APOE	LDLR	autocrine	0.800349851869184
LUM	ITGB1	autocrine	0.798999670436524
FN1	PLAUR	autocrine	0.798498290488994
CALM2	INSR	autocrine	0.796903684071996
LAMB1	ITGA2	autocrine	0.796604649302516
CCL2	ACKR1	autocrine	0.796072124916692
CCL2	ACKR1	autocrine	0.796072124916692
APOC3	LDLR	autocrine	0.795966677161497
TIMP3	ADAM17	autocrine	0.793818451266528
MFAP2	NOTCH1	autocrine	0.793503618222943
LAMC1	ITGA2	autocrine	0.79251492515628
VEGFB	FLT1	autocrine	0.791681528469032
SPTAN1	PTPRA	autocrine	0.789512664334832
HSP90AA1	FGFR3	autocrine	0.789449592965638
MDK	SDC3	autocrine	0.787023802735732
VEGFC	KDR	autocrine	0.786742272623169
VEGFB	NRP1	autocrine	0.785365483842263
VIP	RAMP2	autocrine	0.784029606659075
HSPG2	LRP1	autocrine	0.783930806093041
BMP2	BMPR2	autocrine	0.783716462974608
RPS27A	ERBB2	autocrine	0.779240965127639
RPS27A	TLR4	autocrine	0.779201149294598
UBB	RIPK1	autocrine	0.779119746074832
THBS1	ITGA6	autocrine	0.778277693670317
APLN	APLNR	autocrine	0.778190165372408
COL6A1	ITGA1	autocrine	0.77767858409874
JAG1	CD46	autocrine	0.777573615546163
COL4A2	ITGB5	autocrine	0.776683198716647
PLAU	ITGB1	autocrine	0.776412424723105
TGFB1	TGFBR3	autocrine	0.775909567186523
CALM3	INSR	autocrine	0.775534302554162
ADAM17	NOTCH1	autocrine	0.775393649698631
B2M	TFRC	autocrine	0.775327987410507
SCT	RAMP2	autocrine	0.774371032556109
ADAM15	ITGAV	autocrine	0.773175665721547
THBS1	CD36	autocrine	0.773033610318337
FN1	NT5E	autocrine	0.772390740336605
LAMB1	ITGA1	autocrine	0.77078753672886
VEGFA	ITGB1	autocrine	0.770050282806426
FYN	THY1	autocrine	0.770015662522127
IGFBP4	FZD8	autocrine	0.769813384853793
COL16A1	ITGB1	autocrine	0.769788311188028
VIM	CD44	autocrine	0.769631414322275
CALR	ITGAV	autocrine	0.769617076269054
UBA52	SMAD3	autocrine	0.769604287762146
APP	NCSTN	autocrine	0.769454113767096
COL1A2	ITGAV	autocrine	0.768742011597283
A2M	LRP1	autocrine	0.768422047812529
COL1A1	ITGAV	autocrine	0.767165545189747
ADAM17	ITGA5	autocrine	0.766825787555823
LAMC1	ITGA1	autocrine	0.766330972690427
CALM1	ABCA1	autocrine	0.765016740221776
UBC	ERBB2	autocrine	0.764842699499992
UBC	TLR4	autocrine	0.764801070623623
GNAI2	EDNRB	autocrine	0.764734781899991
EFNB2	EPHA4	autocrine	0.762314443329279
HSPA1A	TLR4	autocrine	0.761433179261963
EFEMP2	AQP1	autocrine	0.76119555435275
VEGFA	FLT1	autocrine	0.760214123705372
HSP90AA1	ERBB2	autocrine	0.75946549065955
LAMA5	ITGA2	autocrine	0.757690927934105
SEMA6D	KDR	autocrine	0.75716170869497
FN1	COL13A1	autocrine	0.75704631173636
ARF1	CHRM3	autocrine	0.756151975718832
SEMA3B	NRP1	autocrine	0.756038162057441
CXCL12	ACKR3	autocrine	0.755975089220927
PIGF	FLT1	autocrine	0.755950555561034
EFNA1	EPHA4	autocrine	0.755061289096168
FN1	ITGA9	autocrine	0.754901220824045
VEGFA	NRP1	autocrine	0.753241385311801
PSEN1	NOTCH4	autocrine	0.752638487413984
LAMB1	ITGB4	autocrine	0.752343810562031
CTGF	LRP6	autocrine	0.752132483480997
TGFB1	CD109	autocrine	0.751924383230263
FN1	IL17RC	autocrine	0.750326460432705
LAMB2	ITGB4	autocrine	0.749577054329418
SEMA3F	NRP1	autocrine	0.749369204913379
UBA52	TGFBR1	autocrine	0.748900874111087
LAMC1	ITGB4	autocrine	0.747646051115445
PSEN1	NOTCH1	autocrine	0.745646457066377
COL18A1	ITGB5	autocrine	0.742548416559198
VEGFA	KDR	autocrine	0.742516287524131
PGF	FLT1	autocrine	0.741608519825011
B2M	HLA-F	autocrine	0.741532474516622
FN1	SDC2	autocrine	0.741006073102849
UBB	ERBB2	autocrine	0.740279856201343
UBB	TLR4	autocrine	0.740235355875133
COL5A1	ITGA1	autocrine	0.739759235091635
MFNG	NOTCH1	autocrine	0.739746310621975
CD34	SELP	autocrine	0.73972092522707
POMC	RAMP2	autocrine	0.739064400324363
APOA4	LDLR	autocrine	0.7386257280684
SERPING1	SELE	autocrine	0.737299217267431
FBN1	ITGAV	autocrine	0.73606273432168
PGF	NRP1	autocrine	0.734283854802458
EFNB1	EPHB4	autocrine	0.732304902524067
ARF1	PLD2	autocrine	0.73226670005839
GNAS	ADCY9	autocrine	0.731967126963972
HMGB1	TLR4	autocrine	0.731590913845711
HSP90B1	LRP1	autocrine	0.73073871940333
PLAU	ITGA5	autocrine	0.730222516405885
RPS27A	ADRB2	autocrine	0.730221420266496
SEMA6A	PLXNA2	autocrine	0.730219691260722
CALM1	CACNA1C	autocrine	0.729747504976116
LAMB1	ITGAV	autocrine	0.729718265020811
GNAS	ADCY1	autocrine	0.729689258587356
RTN4	TNFRSF19	autocrine	0.728431351592222
TGFB3	ENG	autocrine	0.72749132668783
VWF	SIRPA	autocrine	0.726770863965979
LAMC1	ITGAV	autocrine	0.724748344149075
VWF	SELP	autocrine	0.722054360024698
CALM1	KCNQ1	autocrine	0.721946187384704
MDK	LRP1	autocrine	0.721817264548317
COL4A5	CD93	autocrine	0.721327088235754
TGFB3	ITGB1	autocrine	0.720902295511999
UBA52	RIPK1	autocrine	0.719891821996452
ADAM15	ITGA9	autocrine	0.719299389940372
COL4A5	ITGB1	autocrine	0.718997405452893
CALM1	PDE1C	autocrine	0.718961423291158
NPNT	ITGB1	autocrine	0.717578218260332
PTGS2	CAV1	autocrine	0.716608244883232
ADAM9	ITGB1	autocrine	0.716594842240037
HSP90B1	ERBB2	autocrine	0.715944270527031
HSP90B1	TLR4	autocrine	0.715897200770353
SEMA4C	PLXNB2	autocrine	0.714688915944058
UBC	ADRB2	autocrine	0.713800263877306
ADM	RAMP3	autocrine	0.713630896517796
LGALS3BP	ITGB1	autocrine	0.713629709003614
VEGFC	NRP2	autocrine	0.712065526197199
COL5A2	ITGA1	autocrine	0.711981484207703
GNAI2	TBXA2R	autocrine	0.710340203393307
PTN	PLXNB2	autocrine	0.709413720457314
SEMA4A	PLXNB2	autocrine	0.708300664924485
LAMA5	ITGB4	autocrine	0.708065381522796
CYR61	ITGAV	autocrine	0.70792159557915
TP53	TNFRSF10D	autocrine	0.707616798266644
TGFB3	TGFBR2	autocrine	0.705555028568381
CXCL12	CXCR4	autocrine	0.704232450873724
FN1	ITGA3	autocrine	0.704200717967434
CALM2	ABCA1	autocrine	0.701297230429546
COL6A3	ITGA2	autocrine	0.699814055033074
APOA1	LRP1	autocrine	0.699304805253204
GSTP1	TRAF2	autocrine	0.697977817833332
VEGFC	FLT4	autocrine	0.697046492382901
COL3A1	DDR2	autocrine	0.695725920345269
HLA-A	ERBB2	autocrine	0.695683621998124
FAT4	DCHS1	autocrine	0.694878457058252
LAMA4	ITGAV	autocrine	0.694616063989907
HSPA8	ADRB2	autocrine	0.693866603246043
PDGFB	S1PR1	autocrine	0.692666770745248
NID1	ITGAV	autocrine	0.692103000226438
APOB	LDLR	autocrine	0.690818726064363
CALR	LRP1	autocrine	0.689295502494419
ADAM9	ITGA6	autocrine	0.687288558540718
TNFSF10	TNFRSF10B	autocrine	0.687180501445167
GDF11	BMPR2	autocrine	0.68705412500106
TGFB1	ITGAV	autocrine	0.687006568365467
ANGPTL2	TIE1	autocrine	0.686463740232306
UBB	ADRB2	autocrine	0.686094053725827
TNFSF12	TNFRSF25	autocrine	0.685787901458059
TGFB1	SMAD3	autocrine	0.685285737674887
CALM1	SCN4A	autocrine	0.684416361094201
COL1A1	DDR2	autocrine	0.684302297828371
COL5A1	SDC3	autocrine	0.68339316001665
CYR61	ITGB5	autocrine	0.682617491472672
RPS19	C5AR1	autocrine	0.677664747848532
LAMA3	ITGB1	autocrine	0.677463991685129
UBA52	ERBB2	autocrine	0.674981824369508
UBA52	TLR4	autocrine	0.674931048801417
LGALS1	CD69	autocrine	0.674810907838583
GNAS	AVPR2	autocrine	0.674422594553542
P4HB	MTTP	autocrine	0.674083464432809
CALM3	ABCA1	autocrine	0.673983718165216
MMP2	SDC2	autocrine	0.672701521233217
ANGPT2	TIE1	autocrine	0.672366472927033
FN1	CD44	autocrine	0.671850257019504
NECTIN2	NECTIN3	autocrine	0.671659257258295
TGFB3	ACVRL1	autocrine	0.669784975754555
APP	LRP1	autocrine	0.669582571931579
PSAP	SORT1	autocrine	0.668776041285598
TGFB1	CXCR4	autocrine	0.667686934893491
RTN4	RTN4R	autocrine	0.667250168846044
COL6A3	ITGA1	autocrine	0.666849288104825
DUSP18	RPSA	autocrine	0.666323814021681
EFNB2	EPHB2	autocrine	0.665470631433595
PSAP	LRP1	autocrine	0.665316301879845
HSPG2	SDC1	autocrine	0.664670571760209
UBA52	ACVR1	autocrine	0.66445122683674
AGRN	LRP1	autocrine	0.663719976468908
SEMA3B	NRP2	autocrine	0.66244989051096
FN1	ITGA8	autocrine	0.661223793288067
TGFB1	ITGB5	autocrine	0.660758805787818
CALM2	CACNA1C	autocrine	0.660705842927368
TGFB1	TGFBR1	autocrine	0.660349357309906
CALR	ITGA3	autocrine	0.659993573777704
PTMA	VIPR1	autocrine	0.659841458453581
VEGFA	NRP2	autocrine	0.659064041398055
TNC	ITGB1	autocrine	0.658322278914598
FGB	ITGB1	autocrine	0.657052950063785
LTBP3	ITGB5	autocrine	0.656076713700051
GNAI2	ADCY9	autocrine	0.654847828844734
SEMA3F	NRP2	autocrine	0.654392090528397
COL18A1	ITGA3	autocrine	0.653816061265952
CD36	TLR4	autocrine	0.65369335215099
BST1	CAV1	autocrine	0.653148098153709
RGMB	BMPR2	autocrine	0.652944642118321
EFNB2	EPHB3	autocrine	0.652249279305758
GNAI2	ADCY1	autocrine	0.652225957968127
CALM2	KCNQ1	autocrine	0.651862312532348
LAMC2	ITGB1	autocrine	0.651369282271922
GAS6	MERTK	autocrine	0.651040357809812
LAMB3	ITGB1	autocrine	0.650423318476772
DUSP18	ITGB1	autocrine	0.648678974451467
CALM2	PDE1C	autocrine	0.648491528592796
ICAM4	ITGAV	autocrine	0.647622680009251
SEMA3G	NRP2	autocrine	0.646663731157547
IL6	IL6ST	autocrine	0.646433763020613
ANGPTL4	TIE1	autocrine	0.646243021856195
CTHRC1	FZD6	autocrine	0.645873776771254
TGFB2	ENG	autocrine	0.645523070176788
PDGFB	ITGAV	autocrine	0.645068322277245
EDN1	EDNRB	autocrine	0.644724381834103
GNAS	VIPR1	autocrine	0.644660639316431
CD14	ITGB1	autocrine	0.642070620876047
BMP4	BMPR2	autocrine	0.640793485784558
SEMA3A	NRP1	autocrine	0.640790382710462
TLN1	ITGB5	autocrine	0.639999745747029
TGM2	ADGRG1	autocrine	0.639937560960113
ADM2	RAMP2	autocrine	0.63978117823047
KITLG	KIT	autocrine	0.638413621680365
MADCAM1	CD44	autocrine	0.638023587768993
PGF	NRP2	autocrine	0.636364140121602
HRAS	INSR	autocrine	0.635179623913155
GPC3	IGF1R	autocrine	0.635151476958843
DCN	MET	autocrine	0.634317354318656
SEMA3C	PLXND1	autocrine	0.634257586720209
VEGFC	LYVE1	autocrine	0.633322278955032
EFNA1	EPHA7	autocrine	0.632006050741238
NID1	COL13A1	autocrine	0.630941054138142
NID2	COL13A1	autocrine	0.629366294484554
HBEGF	ERBB2	autocrine	0.629116911779812
CALM1	PDE1A	autocrine	0.628814541999263
PTN	SDC3	autocrine	0.628078344480498
FN1	C5AR1	autocrine	0.62733012114235
COL2A1	ITGB1	autocrine	0.626588998071616
COL1A2	CD44	autocrine	0.624224913919564
CALM3	KCNQ1	autocrine	0.622461946196991
EFNB2	EPHB1	autocrine	0.622353497603684
COL1A1	CD44	autocrine	0.622147513379
CALR	HLA-F	autocrine	0.621529574468009
APOE	LRP5	autocrine	0.621341269212733
TGFB2	TGFBR2	autocrine	0.62043116158558
CXCL1	ACKR1	autocrine	0.620321368659036
CXCL1	ACKR1	autocrine	0.620321368659036
CALM3	PDE1C	autocrine	0.61897289028016
LAMC2	ITGA6	autocrine	0.618905161872393
GNAI2	C5AR1	autocrine	0.6187832877797
LAMB3	ITGA6	autocrine	0.617922780689958
NID1	PTPRF	autocrine	0.617495978797498
TGFB3	TGFBR3	autocrine	0.617082762727341
APOE	SCARB1	autocrine	0.616456984385601
DUSP18	ITGA6	autocrine	0.6161119799506
THBS1	CD47	autocrine	0.616036944462655
HMGB1	SDC1	autocrine	0.615937125469067
UBA52	ADRB2	autocrine	0.614271286208425
EFNA1	EPHB1	autocrine	0.61299758522404
VCAM1	ITGB1	autocrine	0.61196147632809
GNAI2	ADRA2A	autocrine	0.611520192240467
TNC	PTPRB	autocrine	0.610921466766486
CDH1	PTPRM	autocrine	0.610783258457535
LAMB1	ITGA3	autocrine	0.610712686206154
CALM2	SCN4A	autocrine	0.609983311784922
CTGF	LRP1	autocrine	0.609586459697517
PSEN1	NCSTN	autocrine	0.607814935082926
PLAU	IGF2R	autocrine	0.607499914182545
LAMB2	ITGA3	autocrine	0.607189787659215
TGFB1	SDC2	autocrine	0.605180689577448
LAMC1	ITGA3	autocrine	0.604739798548547
GNAS	ADCY7	autocrine	0.604476922175542
VCL	ITGB5	autocrine	0.603515464930355
P4HB	GPR162	autocrine	0.601524698560208
RPS27A	FGFR2	autocrine	0.600445071490535
TNC	ITGA5	autocrine	0.600295804604369
VIP	RAMP3	autocrine	0.600114705936272
