Pericytes	Epithelial	interaction type	LRscore
APOB	LSR	autocrine|paracrine	0.656479306845792
HLA-E	SLC16A4	autocrine|paracrine	0.65623049382962
APP	TNFRSF21	autocrine|paracrine	0.655465327381186
LAMB2	ITGA3	autocrine|paracrine	0.655001734272497
APOC3	LRP1	autocrine|paracrine	0.653173630589238
TGFB3	ITGB1	autocrine|paracrine	0.651641180272826
MFGE8	PDGFRB	autocrine|paracrine	0.651410477918426
LAMB2	ITGB4	autocrine|paracrine	0.650743116911098
COL5A2	ITGA1	autocrine|paracrine	0.64912010589542
VCL	ITGB5	autocrine|paracrine	0.648827594478545
UBA52	RIPK1	autocrine|paracrine	0.647689058266444
CD55	ADGRE5	autocrine|paracrine	0.647009017610595
VCAN	EGFR	autocrine|paracrine	0.646545116082267
PDGFB	LRP1	autocrine|paracrine	0.646504418878974
CALM2	KCNQ1	autocrine|paracrine	0.646282633955336
JAG1	NOTCH2	autocrine|paracrine	0.646011047022838
RTN4	RTN4R	autocrine|paracrine	0.645991831822045
LAMC1	ITGA3	autocrine|paracrine	0.645743861468555
LAMC3	ITGA6	autocrine|paracrine	0.645582754907088
LAMB1	ITGA3	autocrine|paracrine	0.645346425057393
UBC	ADRB2	autocrine|paracrine	0.644371857931198
VEGFA	EGFR	autocrine|paracrine	0.643313865946968
VEGFA	EPHB2	autocrine|paracrine	0.642605789782797
VEGFA	TYRO3	autocrine|paracrine	0.642519722456782
UBB	LRP2	autocrine|paracrine	0.642188557778613
CALM2	ABCA1	autocrine|paracrine	0.641793455097298
ICAM1	EGFR	autocrine|paracrine	0.641772504730357
LAMC1	ITGB4	autocrine|paracrine	0.641433525082348
LAMB1	ITGB4	autocrine|paracrine	0.641033941104398
RPS19	C5AR1	autocrine|paracrine	0.640929085699694
HGF	ST14	autocrine|paracrine	0.639834756383851
CALM1	KCNQ1	autocrine|paracrine	0.638753206882604
LAMA4	ITGA3	autocrine|paracrine	0.638330448485474
VEGFA	ITGAV	autocrine|paracrine	0.638299878963714
GNAI2	F2R	autocrine|paracrine	0.637389645895561
THBS1	CD47	autocrine|paracrine	0.636943409651981
THBS1	TNFRSF11B	autocrine|paracrine	0.636506079048774
APOB	MTTP	autocrine|paracrine	0.634595316466846
MMP2	SDC2	autocrine|paracrine	0.634320169850042
CALM1	ABCA1	autocrine|paracrine	0.634222552597435
CALM1	SCTR	autocrine|paracrine	0.633990727133125
GAS6	TYRO3	autocrine|paracrine	0.633882457983821
TIMP2	ITGA3	autocrine|paracrine	0.633675929974272
IGFBP4	LRP6	autocrine|paracrine	0.633587422463484
FGF13	FGFR3	autocrine|paracrine	0.633275342486371
THBS1	SCARB1	autocrine|paracrine	0.633003763857365
LAMC1	ITGA2	autocrine|paracrine	0.632935982169055
LAMB1	ITGA2	autocrine|paracrine	0.632532353581839
PTN	SDC3	autocrine|paracrine	0.631621901315464
GPC3	LRP1	autocrine|paracrine	0.631144453386615
LAMC1	ITGAV	autocrine|paracrine	0.630786146215872
LAMA3	ITGB1	autocrine|paracrine	0.630652019481087
LAMB1	ITGAV	autocrine|paracrine	0.63038153414898
UBB	ADRB2	autocrine|paracrine	0.62937965590477
MDK	LRP2	autocrine|paracrine	0.628552688722836
COL1A1	CD93	autocrine|paracrine	0.628544199639236
HSPG2	LRP1	autocrine|paracrine	0.628375159227866
TLN1	ITGB5	autocrine|paracrine	0.628145827030448
SPINT1	ST14	autocrine|paracrine	0.628115296648819
COL4A5	ITGB1	autocrine|paracrine	0.627161928404124
HSPA8	LRP2	autocrine|paracrine	0.625915643659438
LAMA4	ITGAV	autocrine|paracrine	0.623242345781495
COL16A1	ITGB1	autocrine|paracrine	0.622703797230447
EFEMP1	EGFR	autocrine|paracrine	0.621637786598398
PSAP	SORT1	autocrine|paracrine	0.62133110672634
LAMA5	ITGA6	autocrine|paracrine	0.621320562799502
NGF	KIDINS220	autocrine|paracrine	0.619519856492153
COL1A2	CD93	autocrine|paracrine	0.618760832240138
UBA52	ACVR1	autocrine|paracrine	0.618754092861233
GNAI2	PTPRU	autocrine|paracrine	0.61828727231835
SEMA4C	PLXNB2	autocrine|paracrine	0.618269322156776
COL5A1	ITGA1	autocrine|paracrine	0.618138392938869
RGMA	NEO1	autocrine|paracrine	0.618111106124454
VEGFB	TYRO3	autocrine|paracrine	0.61720957660581
TIMP3	ADAM17	autocrine|paracrine	0.616305299328338
DUSP18	RPSA	autocrine|paracrine	0.616171841095898
ADAM9	ITGB1	autocrine|paracrine	0.615354936541118
MUC2	AGR2	autocrine|paracrine	0.614785976499718
UBA52	FGFR2	autocrine|paracrine	0.614085042348764
PLAU	ITGB1	autocrine|paracrine	0.613887908607836
VEGFC	ITGB1	autocrine|paracrine	0.613000346735603
HSPA8	ADRB2	autocrine|paracrine	0.612875370485264
JAG1	NOTCH3	autocrine|paracrine	0.612428558473491
COL18A1	ITGA5	autocrine|paracrine	0.61150472233484
THBS1	ITGA3	autocrine|paracrine	0.608482620254412
FBN1	ITGAV	autocrine|paracrine	0.607889443314401
SPTAN1	PTPRA	autocrine|paracrine	0.606869581780997
EDN1	EDNRB	autocrine|paracrine	0.604944081048728
GUCA2A	GUCY2C	autocrine|paracrine	0.60436278651077
PKM	CD44	autocrine|paracrine	0.601257298540965
ADAM15	ITGB1	autocrine|paracrine	0.601066769131993
CTGF	ITGA5	autocrine|paracrine	0.600023800815609
