Muscle	Epithelial	interaction type	LRscore
UBA52	ERBB2	autocrine|paracrine	0.832383268794891
CTGF	LRP1	autocrine|paracrine	0.832076039301976
COL1A1	ITGA2	autocrine|paracrine	0.8312825998673
COL1A1	ITGAV	autocrine|paracrine	0.829982399995921
ARPC5	LDLR	autocrine|paracrine	0.82988964663599
MDK	SDC4	autocrine|paracrine	0.829537851197659
FN1	ITGB8	autocrine|paracrine	0.827842705369192
B2M	TFRC	autocrine|paracrine	0.825688661506638
FGF7	FGFR3	autocrine|paracrine	0.824777251188037
COL5A2	ITGB1	autocrine|paracrine	0.823199847220364
COL1A2	ITGA2	autocrine|paracrine	0.823057304133353
COL5A1	ITGB1	autocrine|paracrine	0.822720270464266
NID1	PTPRF	autocrine|paracrine	0.822138898111762
COL1A2	ITGAV	autocrine|paracrine	0.821707312264629
COL3A1	ITGA2	autocrine|paracrine	0.821398206631832
UBC	TGFBR2	autocrine|paracrine	0.814938021105808
FN1	TNFRSF11B	autocrine|paracrine	0.814896781656549
CXCL12	ITGB1	autocrine|paracrine	0.812215917330559
HLA-A	APLP2	autocrine|paracrine	0.80770633682608
HSPG2	LRP1	autocrine|paracrine	0.807483359997498
RPS27A	SMAD3	autocrine|paracrine	0.807069236874809
PTN	PLXNB2	autocrine|paracrine	0.806965963025453
NID1	ITGB1	autocrine|paracrine	0.805488297815708
APOA1	LRP1	autocrine|paracrine	0.80516883699429
HSP90B1	LRP1	autocrine|paracrine	0.803453946957584
FN1	SDC2	autocrine|paracrine	0.803304371555953
COL6A2	ITGA2	autocrine|paracrine	0.801594859263165
PLAT	LRP1	autocrine|paracrine	0.800150474361675
LRPAP1	LDLR	autocrine|paracrine	0.798818413332342
CYR61	CAV1	autocrine|paracrine	0.798589427387703
LAMB2	ITGB1	autocrine|paracrine	0.798412726141561
LAMB1	ITGB1	autocrine|paracrine	0.798317419100592
HLA-B	CANX	autocrine|paracrine	0.797750269404071
FN1	ITGA3	autocrine|paracrine	0.796223301708661
CALM2	INSR	autocrine|paracrine	0.796163218852239
CXCL12	ACKR3	autocrine|paracrine	0.793870135743132
CALM1	INSR	autocrine|paracrine	0.791052507784012
TIMP2	ITGB1	autocrine|paracrine	0.791014244824679
COL6A1	ITGA2	autocrine|paracrine	0.789157257390437
FN1	ITGA2	autocrine|paracrine	0.787061867880873
COL5A2	DDR1	autocrine|paracrine	0.78604584026588
FN1	ITGAV	autocrine|paracrine	0.785508816353411
FN1	IL17RC	autocrine|paracrine	0.785309424602956
COL1A1	ITGA1	autocrine|paracrine	0.784473309438917
TNC	ITGB1	autocrine|paracrine	0.781055962668408
FBLN1	ITGB1	autocrine|paracrine	0.780487634731053
UBB	TGFBR2	autocrine|paracrine	0.780397727504621
COL4A1	ITGB8	autocrine|paracrine	0.778860244667125
GNAS	PTGDR	autocrine|paracrine	0.777992270467665
LAMA4	ITGB1	autocrine|paracrine	0.777399231887254
UBC	SMAD3	autocrine|paracrine	0.776493032850536
ARF1	INSR	autocrine|paracrine	0.775295921602373
COL1A2	ITGA1	autocrine|paracrine	0.774584782642445
HSP90AA1	EGFR	autocrine|paracrine	0.773968949695619
LAMA5	BCAM	autocrine|paracrine	0.772399697849345
HSP90AA1	CFTR	autocrine|paracrine	0.771586052062972
RPS27A	RIPK1	autocrine|paracrine	0.765218675226131
FBN1	ITGB1	autocrine|paracrine	0.764315076503149
CYR61	ITGB5	autocrine|paracrine	0.763832238089246
COL4A1	CD47	autocrine|paracrine	0.763625611627223
CALM2	MYLK	autocrine|paracrine	0.761656111667988
CYR61	ITGAV	autocrine|paracrine	0.761023542069057
COL1A1	DDR2	autocrine|paracrine	0.759787858861143
LGALS3BP	ITGB1	autocrine|paracrine	0.758059059695057
FGF7	FGFR4	autocrine|paracrine	0.757698722656739
CALM1	MYLK	autocrine|paracrine	0.755945430275642
PSAP	LRP1	autocrine|paracrine	0.754439618021276
THBS1	ITGB1	autocrine|paracrine	0.754282110380953
COL6A3	ITGA2	autocrine|paracrine	0.752894015091319
CALR	LRP1	autocrine|paracrine	0.752052161715262
ACTR2	LDLR	autocrine|paracrine	0.751915078779408
COL16A1	ITGB1	autocrine|paracrine	0.751870774831929
APP	LRP1	autocrine|paracrine	0.751479507638012
LAMB1	ITGA6	autocrine|paracrine	0.750591373268547
LAMC1	ITGB1	autocrine|paracrine	0.750322451047346
VEGFA	ITGB1	autocrine|paracrine	0.749984523336652
APOC3	LDLR	autocrine|paracrine	0.749672781653056
HLA-A	ERBB2	autocrine|paracrine	0.749317009139748
APP	NCSTN	autocrine|paracrine	0.749215820917332
COL6A2	ITGA1	autocrine|paracrine	0.749035582429653
AREG	ERBB3	autocrine|paracrine	0.747270819541369
COL3A1	DDR2	autocrine|paracrine	0.746989744583117
CALM3	INSR	autocrine|paracrine	0.745569190787522
APOE	LDLR	autocrine|paracrine	0.744482186278705
CXCL12	SDC4	autocrine|paracrine	0.743827926649175
LAMA5	ITGB1	autocrine|paracrine	0.743398375366815
HSP90B1	ASGR1	autocrine|paracrine	0.743071133986924
COL1A1	CD44	autocrine|paracrine	0.742068515373628
COL4A2	ITGB5	autocrine|paracrine	0.742010661903101
UBA52	TGFBR2	autocrine|paracrine	0.741114018714098
SORBS1	INSR	autocrine|paracrine	0.740644447213691
RPS27A	FGFR2	autocrine|paracrine	0.738295259330628
LRPAP1	SORL1	autocrine|paracrine	0.738060956535937
HSPG2	ITGA2	autocrine|paracrine	0.737693500177808
VIM	CD44	autocrine|paracrine	0.737099001337199
UBB	SMAD3	autocrine|paracrine	0.737092173654015
CALM2	EGFR	autocrine|paracrine	0.736349338426499
COL6A1	ITGA1	autocrine|paracrine	0.734394878263994
APP	CD74	autocrine|paracrine	0.733565496758126
VCL	ITGB5	autocrine|paracrine	0.732778437687707
LUM	ITGB1	autocrine|paracrine	0.731952815531402
IGFBP4	LRP6	autocrine|paracrine	0.73138290135952
COL1A2	CD44	autocrine|paracrine	0.730901812245662
COL4A1	ITGA2	autocrine|paracrine	0.730257091331879
CALM1	EGFR	autocrine|paracrine	0.730247058214283
UBC	RIPK1	autocrine|paracrine	0.730226905965452
VCAN	ITGB1	autocrine|paracrine	0.72963072259029
GNAI2	EDNRB	autocrine|paracrine	0.729307684413887
COL4A1	ITGAV	autocrine|paracrine	0.728432688138604
GPC3	LRP1	autocrine|paracrine	0.726867080620157
LAMA4	ITGA6	autocrine|paracrine	0.726419488990033
CTGF	LRP6	autocrine|paracrine	0.725774276446451
UBA52	NOTCH1	autocrine|paracrine	0.725458502746346
UBA52	EGFR	autocrine|paracrine	0.721255609082827
TNFSF12	TNFRSF12A	autocrine|paracrine	0.720700127410003
SERPINA1	LRP1	autocrine|paracrine	0.718643443204331
TGM2	ITGB1	autocrine|paracrine	0.715946550872225
APP	CAV1	autocrine|paracrine	0.714380172394143
MMP2	SDC2	autocrine|paracrine	0.713922236953753
VCAM1	EZR	autocrine|paracrine	0.713277474333567
CALM1	PTPRA	autocrine|paracrine	0.713126957002377
RPS27A	TGFBR1	autocrine|paracrine	0.712461856402527
HLA-C	DDR1	autocrine|paracrine	0.711444274115258
LRPAP1	LRP1	autocrine|paracrine	0.708188755251819
MFAP2	NOTCH1	autocrine|paracrine	0.707524430972233
CALM3	MYLK	autocrine|paracrine	0.705663535703739
TNC	SDC4	autocrine|paracrine	0.705435548697527
UBC	FGFR2	autocrine|paracrine	0.700859464829454
THBS1	LRP1	autocrine|paracrine	0.700379807286843
THBS1	ITGA6	autocrine|paracrine	0.700050831339496
MDK	SDC3	autocrine|paracrine	0.69951650349775
COL1A1	ITGA5	autocrine|paracrine	0.698749539438839
FABP5	RXRA	autocrine|paracrine	0.698575690032934
ADAM9	ITGB1	autocrine|paracrine	0.698509410977044
APOA4	LDLR	autocrine|paracrine	0.697730092994529
COL1A1	CD36	autocrine|paracrine	0.696481866657227
LAMC1	ITGA6	autocrine|paracrine	0.695569969111365
GPC3	IGF1R	autocrine|paracrine	0.695066876349837
RGMA	NEO1	autocrine|paracrine	0.694627971862781
UBA52	SMAD3	autocrine|paracrine	0.693108132027613
COL6A3	ITGA1	autocrine|paracrine	0.692384379565256
NID1	ITGA3	autocrine|paracrine	0.690894761267788
TLN1	ITGB5	autocrine|paracrine	0.68942977062505
GNAI2	IGF1R	autocrine|paracrine	0.68929264886537
LAMA5	ITGA6	autocrine|paracrine	0.687759363488952
GSTP1	TRAF2	autocrine|paracrine	0.686973513265549
UBB	RIPK1	autocrine|paracrine	0.685968512930973
A2M	LRP1	autocrine|paracrine	0.68588632809903
COL1A2	CD36	autocrine|paracrine	0.684181514304281
THBS1	LRP5	autocrine|paracrine	0.683448554486337
FN1	CD44	autocrine|paracrine	0.683371203463968
CALR	ITGA3	autocrine|paracrine	0.682527560756404
GNAI2	CAV1	autocrine|paracrine	0.681770208120094
LAMB2	ITGA3	autocrine|paracrine	0.681300023294407
LAMB1	ITGA3	autocrine|paracrine	0.681171457705819
EFNA5	EPHA2	autocrine|paracrine	0.681038528427161
EFNA1	EPHA2	autocrine|paracrine	0.67969463440956
LAMB2	ITGB4	autocrine|paracrine	0.677206050178918
LAMB1	ITGB4	autocrine|paracrine	0.677076615851997
CALM3	EGFR	autocrine|paracrine	0.676933324695765
NID1	ITGAV	autocrine|paracrine	0.676889542387428
APOE	SORL1	autocrine|paracrine	0.6740116300796
THBS1	SDC4	autocrine|paracrine	0.673282539888935
UBC	TGFBR1	autocrine|paracrine	0.672967582738116
SEMA4A	PLXNB2	autocrine|paracrine	0.671476321640383
TIMP2	ITGA3	autocrine|paracrine	0.67137250382178
COL4A5	ITGB1	autocrine|paracrine	0.670582911598263
SORBS1	ITGB5	autocrine|paracrine	0.669879156771887
NAMPT	INSR	autocrine|paracrine	0.669791726500696
GNAS	ADCY7	autocrine|paracrine	0.669129060698143
LAMB1	ITGA2	autocrine|paracrine	0.668987861769592
CALR	ITGAV	autocrine|paracrine	0.668325230218445
TGFB1	ITGB1	autocrine|paracrine	0.667687922119525
LTBP3	ITGB5	autocrine|paracrine	0.667600624681991
LAMB1	ITGAV	autocrine|paracrine	0.666938065086629
COL4A1	ITGA1	autocrine|paracrine	0.666658503740432
FN1	NT5E	autocrine|paracrine	0.666644436504793
SEMA4A	PLXNB1	autocrine|paracrine	0.665774939271674
GDNF	EDNRB	autocrine|paracrine	0.663649445318336
RPS27A	ADRB2	autocrine|paracrine	0.660572537514208
THBS2	ITGB1	autocrine|paracrine	0.659621695320479
RTN4	RTN4R	autocrine|paracrine	0.659508824919907
AGRN	ITGB1	autocrine|paracrine	0.659352782274682
APP	TNFRSF21	autocrine|paracrine	0.656762048996367
COL1A1	CD93	autocrine|paracrine	0.654878932391261
UBB	FGFR2	autocrine|paracrine	0.654065551187934
LAMA4	ITGA3	autocrine|paracrine	0.653378572766562
JAM3	ITGB1	autocrine|paracrine	0.652081086295088
THBS1	CD47	autocrine|paracrine	0.651608115633437
THBS1	TNFRSF11B	autocrine|paracrine	0.65117877572895
JAG1	CD46	autocrine|paracrine	0.650733346057612
DCN	EGFR	autocrine|paracrine	0.650398364253574
BTC	ERBB3	autocrine|paracrine	0.648542244883778
TNC	EGFR	autocrine|paracrine	0.648436092238026
THBS1	SCARB1	autocrine|paracrine	0.647739593958386
APOC3	LRP1	autocrine|paracrine	0.646695586941857
TNC	ITGA2	autocrine|paracrine	0.645571721447772
SEMA3A	PLXNA2	autocrine|paracrine	0.644253913604602
SERPING1	LRP1	autocrine|paracrine	0.643716710408205
VEGFB	TYRO3	autocrine|paracrine	0.643613379478865
TNC	ITGAV	autocrine|paracrine	0.643454202193615
PSAP	SORT1	autocrine|paracrine	0.642675325130269
COL1A2	CD93	autocrine|paracrine	0.641759786988803
SPTAN1	PTPRA	autocrine|paracrine	0.641524746246225
APOE	LRP1	autocrine|paracrine	0.64039398311352
LAMA4	ITGAV	autocrine|paracrine	0.638562785232771
CALM2	KCNQ1	autocrine|paracrine	0.638028646540897
ADAM9	ITGA6	autocrine|paracrine	0.637878356442917
UBA52	RIPK1	autocrine|paracrine	0.637636282070746
GNAI2	EGFR	autocrine|paracrine	0.637493222999283
COL5A2	ITGA1	autocrine|paracrine	0.637183794114975
COL5A1	ITGA1	autocrine|paracrine	0.636422494708687
FN1	ITGA5	autocrine|paracrine	0.635042464220396
FGF7	FGFR1	autocrine|paracrine	0.634370601774637
CALM2	ABCA1	autocrine|paracrine	0.633494119126276
COL9A2	ITGB1	autocrine|paracrine	0.633391558013493
LAMC2	CD151	autocrine|paracrine	0.633081643682754
EFNB1	ERBB2	autocrine|paracrine	0.631026681019548
SEMA4C	PLXNB2	autocrine|paracrine	0.630867695045606
CALM1	KCNQ1	autocrine|paracrine	0.630791728466802
PTN	SDC3	autocrine|paracrine	0.628902468358236
TGM2	SDC4	autocrine|paracrine	0.628533357565634
TGM2	ADGRG1	autocrine|paracrine	0.628089119136165
EFNA4	EPHA2	autocrine|paracrine	0.627014341562866
APOB	LDLR	autocrine|paracrine	0.626296386135649
CALM1	ABCA1	autocrine|paracrine	0.626219653337429
RPS19	C5AR1	autocrine|paracrine	0.626050958943084
UBB	TGFBR1	autocrine|paracrine	0.62415038205538
CDH1	ERBB3	autocrine|paracrine	0.623750690889676
THBS1	ITGA3	autocrine|paracrine	0.623617604129091
APOE	LRP5	autocrine|paracrine	0.621902926177402
FBN1	ITGAV	autocrine|paracrine	0.621293425626441
TIMP3	ADAM17	autocrine|paracrine	0.62017073611766
NCAM1	PTPRA	autocrine|paracrine	0.620113763588099
LAMC1	ITGA3	autocrine|paracrine	0.61861697963537
APOB	LSR	autocrine|paracrine	0.61822303486351
UBC	ADRB2	autocrine|paracrine	0.617774719126334
LAMC1	ITGB4	autocrine|paracrine	0.614173790928488
TFPI	LRP1	autocrine|paracrine	0.61392700446632
NPNT	ITGB1	autocrine|paracrine	0.613369790592801
FST	BMPR2	autocrine|paracrine	0.61179300596452
RGMA	BMPR2	autocrine|paracrine	0.611775641300178
EREG	ERBB3	autocrine|paracrine	0.6117345835972
HBEGF	CD9	autocrine|paracrine	0.611640110279333
CTGF	ITGA5	autocrine|paracrine	0.609995461572449
LAMA5	ITGA3	autocrine|paracrine	0.609939200228817
FN1	C5AR1	autocrine|paracrine	0.608861298392516
UBA52	ACVR1	autocrine|paracrine	0.608374905689555
NECTIN2	NECTIN3	autocrine|paracrine	0.608008266569932
VEGFA	EGFR	autocrine|paracrine	0.607989991310932
FN1	ITGA8	autocrine|paracrine	0.60768943596401
MUC2	AGR2	autocrine|paracrine	0.607433354629622
SEMA6A	PLXNA2	autocrine|paracrine	0.607323127928606
VEGFA	EPHB2	autocrine|paracrine	0.607254602386726
VEGFA	TYRO3	autocrine|paracrine	0.607165226095437
LAMA5	ITGB4	autocrine|paracrine	0.605459391699221
LAMC1	ITGA2	autocrine|paracrine	0.60542762210339
LTBP1	ITGB5	autocrine|paracrine	0.605341690600537
UBA52	FGFR2	autocrine|paracrine	0.603660164113873
LAMC1	ITGAV	autocrine|paracrine	0.603217673884742
VEGFA	ITGAV	autocrine|paracrine	0.602786047958578
CYR61	ITGA5	autocrine|paracrine	0.602081849240213
FGF13	FGFR3	autocrine|paracrine	0.600977458587125
