Myofibroblast_Mesothelium	Muscle	interaction type	LRscore
COL5A1	SDC3	autocrine|paracrine	0.789489109772938
TNC	ITGB1	autocrine|paracrine	0.789423084681763
UBA52	TGFBR1	autocrine|paracrine	0.788614029855032
AGRN	ITGB1	autocrine|paracrine	0.787083956811861
LRPAP1	LRP1	autocrine|paracrine	0.786840048093973
CTGF	LRP6	autocrine|paracrine	0.786341437705266
UBA52	NOTCH1	autocrine|paracrine	0.784991947572329
UBA52	FGFR2	autocrine|paracrine	0.78474005828842
COL9A1	ITGB1	autocrine|paracrine	0.78435005638934
HLA-B	CANX	autocrine|paracrine	0.784204089712615
JAM3	ITGB1	autocrine|paracrine	0.783568755666769
FN1	PLAUR	autocrine|paracrine	0.782390720869464
MFAP2	NOTCH1	autocrine|paracrine	0.7819034641629
APOA1	LDLR	autocrine|paracrine	0.78188261066144
HRAS	CAV1	autocrine|paracrine	0.780576224429079
UBA52	LDLR	autocrine|paracrine	0.779068023895999
MMP2	SDC2	autocrine|paracrine	0.778457614365401
CALM1	INSR	autocrine|paracrine	0.776387455040081
UBC	SMAD3	autocrine|paracrine	0.775461086178058
BMP4	BMPR2	autocrine|paracrine	0.775236827804848
FN1	ITGAV	autocrine|paracrine	0.774127714700426
NID1	PTPRF	autocrine|paracrine	0.773717143717755
HLA-A	ERBB2	autocrine|paracrine	0.773531625505096
GPC6	LRP1	autocrine|paracrine	0.773485294165277
CALM2	INSR	autocrine|paracrine	0.769888639518625
FN1	COL13A1	autocrine|paracrine	0.768806519926761
COL4A5	ITGA1	autocrine|paracrine	0.761692338690105
SEMA3F	NRP2	autocrine|paracrine	0.76133877190039
A2M	LRP1	autocrine|paracrine	0.761108164861119
DLL1	NOTCH1	autocrine|paracrine	0.760525033271569
VEGFA	ITGA9	autocrine|paracrine	0.759698092381524
APOE	LRP1	autocrine|paracrine	0.759202912718359
UBB	SMAD3	autocrine|paracrine	0.757040177286615
APP	CD74	autocrine|paracrine	0.754893117922133
COL14A1	CD44	autocrine|paracrine	0.754239081292019
NPNT	ITGB1	autocrine|paracrine	0.753950198531758
COL18A1	ITGB1	autocrine|paracrine	0.753534741102372
SERPINA1	LRP1	autocrine|paracrine	0.751721935046828
CALM3	INSR	autocrine|paracrine	0.75150562795197
HSP90AA1	FGFR3	autocrine|paracrine	0.74940091016599
CALM1	CACNA1C	autocrine|paracrine	0.748841657666094
CYR61	ITGAV	autocrine|paracrine	0.748069842350693
NAMPT	INSR	autocrine|paracrine	0.747657527201296
UBA52	TGFBR2	autocrine|paracrine	0.747183167170331
COL5A2	DDR1	autocrine|paracrine	0.74607878079878
CALM2	CACNA1C	autocrine|paracrine	0.741808512938367
B2M	TFRC	autocrine|paracrine	0.741398045250566
UBA52	ACVR1	autocrine|paracrine	0.73971899352659
FBN1	ITGA5	autocrine|paracrine	0.739324083969902
ANGPT1	ITGB1	autocrine|paracrine	0.737884602727849
FN1	ITGA8	autocrine|paracrine	0.736478550859287
ADAM9	ITGB1	autocrine|paracrine	0.73623046166009
GPC3	LRP1	autocrine|paracrine	0.736114850612261
EFNB1	ERBB2	autocrine|paracrine	0.735264173654971
THBS1	LRP1	autocrine|paracrine	0.734169310451709
SERPING1	LRP1	autocrine|paracrine	0.730452894271298
APOC3	LRP1	autocrine|paracrine	0.728124324893241
PLAU	LRP1	autocrine|paracrine	0.725927670438608
COL4A1	CD47	autocrine|paracrine	0.725722129055748
BMP5	BMPR2	autocrine|paracrine	0.724725164901719
HSPG2	LRP1	autocrine|paracrine	0.724130762043495
CALR	ITGAV	autocrine|paracrine	0.720789674950555
RPS27A	RIPK1	autocrine|paracrine	0.720777693436688
GSTP1	TRAF2	autocrine|paracrine	0.720767216120872
LRPAP1	LDLR	autocrine|paracrine	0.718861483802987
COL1A1	ITGA2	autocrine|paracrine	0.717365997802044
COL4A6	ITGB1	autocrine|paracrine	0.717268724741174
HLA-C	DDR1	autocrine|paracrine	0.714898500336808
MDK	SDC4	autocrine|paracrine	0.714439019233423
FAT4	DCHS1	autocrine|paracrine	0.714289078869005
APP	NCSTN	autocrine|paracrine	0.713692632672144
COL1A2	ITGA2	autocrine|paracrine	0.709140667003203
CALM1	PTPRA	autocrine|paracrine	0.708596367889986
NID1	ITGAV	autocrine|paracrine	0.708402935969117
FABP5	RXRA	autocrine|paracrine	0.708147486423065
COL3A1	ITGA2	autocrine|paracrine	0.706556694955316
CXCL12	ACKR3	autocrine|paracrine	0.705260019011116
TGM2	ITGA9	autocrine|paracrine	0.703365712066853
COL4A1	ITGAV	autocrine|paracrine	0.702697985811325
COL7A1	ITGB1	autocrine|paracrine	0.702218232902223
NID1	COL13A1	autocrine|paracrine	0.702129155665047
NCAM1	FGFR1	autocrine|paracrine	0.701219711623154
COL1A1	CD36	autocrine|paracrine	0.701019422554757
UBA52	SMAD3	autocrine|paracrine	0.699750172338445
BMP4	BMPR1A	autocrine|paracrine	0.699069031395328
IGFBP4	LRP6	autocrine|paracrine	0.698173212844049
AGRN	LRP1	autocrine|paracrine	0.697479778048027
SEMA3C	NRP2	autocrine|paracrine	0.693642275855342
COL1A2	CD36	autocrine|paracrine	0.692522272358693
JAG1	NOTCH2	autocrine|paracrine	0.690887741803693
THBS2	ITGB1	autocrine|paracrine	0.688857972730624
ADAM17	ITGB1	autocrine|paracrine	0.687102069640677
IGF1	INSR	autocrine|paracrine	0.686242735509212
APOE	LDLR	autocrine|paracrine	0.685928669139021
VEGFA	TYRO3	autocrine|paracrine	0.685691020097126
LAMB1	ITGAV	autocrine|paracrine	0.684464229974517
GNAI2	S1PR3	autocrine|paracrine	0.6841439729217
BMP2	BMPR2	autocrine|paracrine	0.683031578609645
COL1A2	ITGA2B	autocrine|paracrine	0.681019995615253
GNAI2	IGF1R	autocrine|paracrine	0.680860978134915
TGFB1	TGFBR3	autocrine|paracrine	0.68083818069679
TNFSF12	TNFRSF12A	autocrine|paracrine	0.680354598931972
PGF	NRP2	autocrine|paracrine	0.679641705894347
LAMA5	BCAM	autocrine|paracrine	0.679621536800403
VEGFA	ITGAV	autocrine|paracrine	0.679409864790484
FN1	ITGB8	autocrine|paracrine	0.679202191909337
FYN	THY1	autocrine|paracrine	0.677160860339621
MDK	PTPRZ1	autocrine|paracrine	0.67653025944309
SEMA3A	PLXNA2	autocrine|paracrine	0.676164079583074
CYR61	ITGB5	autocrine|paracrine	0.6748749731376
ACTR2	LDLR	autocrine|paracrine	0.674266121282798
UBC	RIPK1	autocrine|paracrine	0.674261227573378
VCAM1	EZR	autocrine|paracrine	0.673833919981561
CALM1	PDE1A	autocrine|paracrine	0.672629312317067
BST1	CAV1	autocrine|paracrine	0.672594403929811
NCAM1	GFRA1	autocrine|paracrine	0.67135261471987
COL6A2	ITGA2	autocrine|paracrine	0.669301674811513
ARF1	CHRM3	autocrine|paracrine	0.66876086705402
INHBA	TGFBR3	autocrine|paracrine	0.6674834819792
APOE	LRP5	autocrine|paracrine	0.667147370015268
PLAU	ITGA5	autocrine|paracrine	0.666284442483103
EFEMP2	PLSCR4	autocrine|paracrine	0.664546876446493
CALM2	PDE1A	autocrine|paracrine	0.664418396997778
APOA4	LRP1	autocrine|paracrine	0.664027994065979
JAG1	CD46	autocrine|paracrine	0.663422166036876
P4HB	MTTP	autocrine|paracrine	0.66306548979728
VEGFA	NRP1	autocrine|paracrine	0.660720672957539
GNAI2	EDNRA	autocrine|paracrine	0.660562312842772
P4HB	GPR162	autocrine|paracrine	0.659692733051111
LAMB3	ITGB1	autocrine|paracrine	0.659430648204361
VEGFC	ITGB1	autocrine|paracrine	0.658722798191758
GNAI2	F2R	autocrine|paracrine	0.6586867903808
VCAM1	MSN	autocrine|paracrine	0.658456358662309
B2M	CD3D	autocrine|paracrine	0.658239965719964
NECTIN2	NECTIN3	autocrine|paracrine	0.658069523371358
NCAM1	FGFR2	autocrine|paracrine	0.657353720551509
VEGFA	EPHB2	autocrine|paracrine	0.654098645096831
WNT5A	MCAM	autocrine|paracrine	0.653757212218175
ARPC5	LDLR	autocrine|paracrine	0.653292153760096
SEMA3A	PLXNA3	autocrine|paracrine	0.653113746653885
COL6A1	ITGA2	autocrine|paracrine	0.652572943229077
COL4A2	ITGB5	autocrine|paracrine	0.651707502111847
LAMA4	ITGAV	autocrine|paracrine	0.651703810247281
UBB	RIPK1	autocrine|paracrine	0.651271591403453
LAMC3	ITGB1	autocrine|paracrine	0.651074618216731
JAG1	NOTCH1	autocrine|paracrine	0.651027105122219
APP	TNFRSF21	autocrine|paracrine	0.651016007255803
APOC3	LDLR	autocrine|paracrine	0.649755799222863
FBN1	ITGAV	autocrine|paracrine	0.649755530243746
PLAU	MRC2	autocrine|paracrine	0.649580235915953
COL9A3	ITGB1	autocrine|paracrine	0.648651267758014
TGFB1	TGFBR1	autocrine|paracrine	0.648126374224696
B2M	HFE	autocrine|paracrine	0.647225731793319
CD14	ITGB1	autocrine|paracrine	0.646963558969002
VCAM1	ITGA9	autocrine|paracrine	0.646648830861888
LAMA2	RPSA	autocrine|paracrine	0.646402366220339
COL11A1	ITGB1	autocrine|paracrine	0.646028459589556
LAMA3	ITGB1	autocrine|paracrine	0.645576495426346
B2M	KLRD1	autocrine|paracrine	0.64481770786506
PSAP	SORT1	autocrine|paracrine	0.644739244896887
RTN4	RTN4R	autocrine|paracrine	0.644364888819107
FN1	ITGA2	autocrine|paracrine	0.64367626756108
GNAS	PTGDR	autocrine|paracrine	0.642742818715061
LAMB3	CD151	autocrine|paracrine	0.642298461494289
EDIL3	ITGAV	autocrine|paracrine	0.642090048766142
NCAM1	CACNA1C	autocrine|paracrine	0.641978002793356
CALM3	PDE1A	autocrine|paracrine	0.641532742657929
MDK	TSPAN1	autocrine|paracrine	0.639708773181545
BMP5	BMPR1A	autocrine|paracrine	0.639402048508363
TNC	ITGA5	autocrine|paracrine	0.638003483633337
THBS1	LRP5	autocrine|paracrine	0.637117898383222
VEGFA	GPC1	autocrine|paracrine	0.636156741436223
FGB	ITGB1	autocrine|paracrine	0.635005212633056
LAMC1	ITGAV	autocrine|paracrine	0.634699901236945
TGFB3	ITGB1	autocrine|paracrine	0.634451529074037
DLL1	NOTCH3	autocrine|paracrine	0.6340123479604
COL1A1	CD93	autocrine|paracrine	0.633108653848937
MFGE8	PDGFRB	autocrine|paracrine	0.633014048157245
TNC	ITGA9	autocrine|paracrine	0.632319263119498
HGF	ITGB1	autocrine|paracrine	0.631806079779763
NCAM1	ROBO3	autocrine|paracrine	0.631260412904171
COL4A6	ITGA1	autocrine|paracrine	0.631153208946244
HBEGF	CD9	autocrine|paracrine	0.630613296994217
SEMA3A	NRP1	autocrine|paracrine	0.629636546214581
ADAM10	NOTCH1	autocrine|paracrine	0.628794188486112
PSEN1	CD44	autocrine|paracrine	0.628788032165318
FGF7	FGFR1	autocrine|paracrine	0.628155703571311
NPY	FAP	autocrine|paracrine	0.627113028696633
RTN4	LINGO1	autocrine|paracrine	0.625007352479533
SEMA3B	NRP2	autocrine|paracrine	0.624742228820243
SEMA4D	ERBB2	autocrine|paracrine	0.624380931514987
PDGFD	PDGFRB	autocrine|paracrine	0.624213126230381
COL1A2	CD93	autocrine|paracrine	0.623717435760161
SEMA4C	PLXNB2	autocrine|paracrine	0.623057410088461
ADAM10	AXL	autocrine|paracrine	0.622748504376726
EFEMP2	AQP1	autocrine|paracrine	0.62248995163195
SPTAN1	PTPRA	autocrine|paracrine	0.621691607210556
PTN	PTPRZ1	autocrine|paracrine	0.621145868335594
SEMA4D	PLXNB2	autocrine|paracrine	0.620097022127157
ADAM15	ITGB1	autocrine|paracrine	0.62001401432823
COL4A5	CD47	autocrine|paracrine	0.619959765574154
CALM1	ABCA1	autocrine|paracrine	0.619948658011729
VEGFC	NRP2	autocrine|paracrine	0.618095376936426
MAPK1	FGFR2	autocrine|paracrine	0.617217523893246
ARF1	PLD2	autocrine|paracrine	0.616724137997036
MDK	GPC2	autocrine|paracrine	0.61654328084308
COL6A3	ITGA2	autocrine|paracrine	0.615950085735188
APP	GPC1	autocrine|paracrine	0.615779983977403
MFGE8	ITGAV	autocrine|paracrine	0.615065431739519
MDK	ITGA6	autocrine|paracrine	0.612846949918844
FN1	ITGA2B	autocrine|paracrine	0.612683269567946
LAMA2	ITGB1	autocrine|paracrine	0.612046855712738
GDNF	GFRA1	autocrine|paracrine	0.611587960997824
WNT5A	FZD7	autocrine|paracrine	0.611487866277952
CALM2	ABCA1	autocrine|paracrine	0.611180230784433
PSEN1	NOTCH2	autocrine|paracrine	0.610710122841169
HSP90AA1	EGFR	autocrine|paracrine	0.610597564542178
COL3A1	MAG	autocrine|paracrine	0.607354147710857
BMP2	ACVR1	autocrine|paracrine	0.606508201102478
HMGB1	THBD	autocrine|paracrine	0.605744216628814
APOC3	SDC2	autocrine|paracrine	0.605717760474329
THBS1	CD47	autocrine|paracrine	0.603866661585681
TFPI	VLDLR	autocrine|paracrine	0.602261539342365
PDAP1	PDGFRB	autocrine|paracrine	0.602238816349865
C3	CD81	autocrine|paracrine	0.601305922015546
LRPAP1	SORT1	autocrine|paracrine	0.600300458418959
